春秋榖梁傳僖公第五	○名申惠王十八年即位
曰棄師之道也	江熈曰經書敗莒師而傳云二人相搏則師不戰何以得敗理自不通也夫王赫斯怒貴在爰整子所慎三戰居其一季友令德之人豈當舎三軍之整佻身獨鬪潜刃相害以决勝負者哉雖千載之事難明然風味之所期古猶今也此又事之不然傳或失之○赫呼白反舎音捨佻他堯反又徒堯反
十有二月丁巳夫人氏之䘮至自齊其不以不言師也	人不得居師上貴賤之序○夏陽户雅反左氏作下陽先蘇薦反下文及注同
其先晉何也	據小不先大
爲主乎滅夏陽也夏陽者虞虢之塞邑也	其地險要故二國以爲塞邑○塞蘇代反注同
滅夏陽而虞虢舉矣虞之爲主乎滅夏陽何也晉獻公欲伐虢荀息曰君何不以屈産之乗垂棘之璧而借道乎虞也	荀息晉大夫屈邑産駿馬垂棘出良璧○屈其勿反又君勿反地名也乗繩證反駿音俊借子夜反及下不借而借皆同
公曰此晉國之寳也如受吾幣而不借吾道則如之何荀息曰此小國之所以事大國也	此謂璧馬之屬
彼不借吾道必不敢受吾幣如受吾幣而借吾道則是我取之中府而藏之外府取之中廏而置之外廏也公曰宫之竒存焉	宫之竒虞之賢大夫○廏音救竒其冝反
必不使受之也荀息曰宫之竒之爲人也逹心而懦	懦弱○懦乃亂反又乃卧反
又少長於君逹心則其言略	明逹之人言則舉綱領要不言提其耳則愚者不悮○少詩召反下同長丁丈反提徒兮反本作題音同
懦則不能彊諌少長於君則君輕之且夫玩好在耳目之前而患在一國之後此中知以上乃能慮之臣料虞君中知以下也公遂借道而伐虢宫之竒諌曰晉國之使者其辭卑而幣重必不便於虞虞公弗聽遂受其幣而借之道宫之竒諌曰語曰脣亡則齒寒其斯之謂與	語諺言也○彊其良反又其丈反好呼報反知音智下同上時掌反料力彫反又力弔反使所吏反便婢面反與音餘諺音彦
挈其妻子以奔曹獻公亡虢五年而後舉虞荀息牽馬操璧而前曰璧則猶是也而馬齒加長矣	猶是言如故○挈去結反操七刀反加長丁丈反
秋九月齊侯宋公江人黃人盟于貫	貫宋地○貫古亂反
貫之盟不期而至者江人黃人也江人黃人者逺國之辭也中國稱齊宋逺國稱江黃以爲諸侯皆來至也○冬十月不雨不雨者勤雨也	言不雨是欲得雨之心勤也明君之恤民○勤如字麋氏音覲後年同
楚人侵鄭三年春王正月不雨不雨者勤雨也○夏四月不雨	一時不雨則書首月不言旱不爲災
一時言不雨者閔雨也	經一時輒言不雨憂民之至閔憂也
閔雨者有志乎民者也○徐人取舒○六月雨雨云者喜雨也喜雨者有志乎民者也○秋齊侯宋公江人黃人㑹于陽榖	陽榖齊地
陽榖之㑹桓公委端搢笏而朝諸侯	委委貌之冠也端玄端之服搢挿也笏以記事者也所謂衣裳之㑹○搢音進又音箭笏音忽朝直遥反挿楚洽反
諸侯皆諭乎桓公之志○冬公子季友如齊莅盟	傳例曰莅位也内之前定之盟謂之莅外之前定之盟謂之來○莅音利又音類
莅者位也	盟誓之言素定今但往其位而盟
其不日前定也不言及者以國與之也不言其人亦以國與之也○楚人伐鄭四年春王正月公㑹齊侯宋公陳侯衛侯鄭伯許男曹伯侵蔡蔡潰	傳例曰侵時而此月蓋爲潰○潰户内反蓋爲于僞反下爲退同
潰之爲言上下不相得也	君臣不和而自潰散
侵淺事也侵蔡而蔡潰以桓公爲知所侵也	責得其罪故裁侵而潰
不土其地不分其民明正也遂伐楚次于陘	楚彊齊欲綏之以德故不速進而次于陘陘楚地○陘音刑
遂繼事也次止也○夏許男新臣卒	十四年冬蔡侯肹卒傳曰諸侯時卒惡之也宣九年辛酉晉侯黒臀卒于扈傳曰其地于外也其日未踰竟也然則新臣卒于楚故不日耳非惡也○惡烏路反下同臀徒門反
諸侯死於國不地死於外地死於師何爲不地	據宣九年晉侯黒臀卒于扈地
内桓師也	齊桓威德洽著諸侯安之雖卒於外與其在國同
楚屈完來盟于師盟于召陵	屈完來如陘師盟齊桓以其服義爲退一舎次于召陵而與之盟召陵楚地○召上照反
楚無大夫	無命卿也
其曰屈完何也以其來㑹桓成之爲大夫也	尊齊桓不欲令與卑者盟○令力呈反下同
其不言使權在屈完也	邵曰齊桓威陵江漢楚人大懼未能量敵遣屈完如師完權事之冝以義郤齊遂得與盟以安竟内功皆在完故不言使○與音預又如字
則是正乎曰非正也	臣無自專之道
以其來㑹諸侯重之也	重其宗中國歸有道
來者何内桓師也	來者内辭也内桓師故言來
于師前定也于召陵得志乎桓公也得志者不得志也	屈完來盟桓公退于召陵是屈完得其本志屈完得志則桓公不得志
以桓公得志爲僅矣	桓爲覇主以㑹諸侯楚子不來屈完受盟令問諸江辭又不順僅乃得志言楚之難服○爲僅其靳反
屈完曰大國之以兵向楚何也桓公曰昭王南征不反菁茅之貢不至故周室不祭	菁茅香草所以縮酒楚之職貢○菁茅子丁反下亡交反菁茅香草也尚書傳云菁以爲菹茅以縮酒○縮所六反
屈完曰菁茅之貢不至則諾昭王南征不反我將問諸江	問江邊之民有見之者不此不服罪之言故退干召陵而與之盟屈完所以得志桓公之不得志爾
齊人執陳袁濤塗	袁濤塗陳大夫○濤徒刀反
齊人者齊侯也其人之何也於是哆然外齊侯也不正其踰國而執也	江熙曰踰國謂踰陳而執陳大夫主人之不敬客由客之不先敬主人哆然衆有不服之心故春秋因而譏之所謂以萬物爲心也莊十七年齊人執鄭詹傳與其執者詹奔在齊因執之○哆昌者反又昌氏反詹之廉反
秋及江人黃人伐陳不言其人及之者何内師也○八月公至自伐楚有二事偶則以後事致後事小則以先事致其以伐楚致大伐楚也	鄭君曰㑹爲大事伐爲小事今齊桓伐楚而後盟于召陵公當致㑹而致伐者楚彊莫能伐者故以伐楚爲大事
○葬許穆公○冬十有二月公孫兹帥師㑹齊人宋人衛人鄭人許人曹人侵陳	莊十年春二月公侵宋傳曰侵時此其月何也惡之故謹而月之然則凢侵而月者皆惡之○惡烏路反下同
五年春晉侯殺其丗子申生目晉侯厈殺惡晉侯也	厈指厈
𣏌伯姬來朝其子婦人旣嫁不踰竟踰竟非正也諸侯相見曰朝伯姬爲志乎朝其子也伯姬爲志乎朝其子則是𣏌伯失夫之道矣	凱曰不能刑于寡妻○朝直遥反下皆同爲志于僞反下同
諸侯相見曰朝以待人父之道待人之子非正也故曰𣏌伯姬來朝其子參譏也	參譏謂伯姬𣏌伯魯侯也桓九年曹伯使其丗子射姑來朝譏丗子此不譏者明子隨母行年尚㓜弱未可責以人子之道伯姬以莊二十五年夏嫁至今十三年則子㓜可知○參七南反又音三
夏公孫兹如牟○公及齊侯宋公陳侯衛侯鄭伯許男曹伯㑹王丗子于首戴	惠王之丗子名鄭後立爲襄王首戴衛地○首戴左氏作首止
及以㑹尊之也	言及諸侯然後㑹王丗子不敢令丗子與諸侯齊列○令力呈反
何尊焉王丗子云者唯王之貳也云可以重之存焉尊之也何重焉天子丗子丗天下也○秋八月諸侯盟于首戴	言諸侯者前目而後凡他皆放比
無中事而復舉諸侯何也尊王丗子而不敢與盟也尊則其不敢與盟何也盟者不相信也故謹信也不敢以所不信而加之尊者桓諸侯也不能朝天子是不臣也王丗子子也塊然受諸侯之尊已而立乎其位是不子也桓不臣王丗子不子則其所善焉何也是則變之正也	雖非禮之正而合當時之冝○復扶又反下同瑰苦對反又苦怪反
天子微諸侯不享覲桓控大國扶小國統諸侯不能以朝天子亦不敢致天王尊王丗子于首戴乃所以尊天王之命也丗子含王命㑹齊桓亦所以尊天王之命也丗子受之可乎是亦變之正也天子微諸侯不享覲丗子受諸侯之尊己而天王尊矣丗子受之可也鄭伯逃歸不盟以其去諸侯故逃之也	專己背衆故書逃傳例曰逃義曰逃○控大苦貢反背衆音佩
楚人滅弦弦子奔黃弦國也其不日微國也○九月戊申朔日有食之○冬晉人執虞公	虞公貪璧馬之寳棄兄弟之親拒絶忠諌之口不圗社稷之危故晉命行于虞使下執上虞同于晉是以謂之晉人執虞公江熙曰春秋有州公郭公虞公凡三公非爵也傳以爲下執之辭甞試因此論之五等諸侯民皆稱日公存有王爵之限没則申其臣民之稱州公舎其國故先書州公郭公盗而歸曹故先名而後稱郭公夏陽亡則虞爲滅國故冝稱虞公三人殊而一致三公舛而同歸生死齊稱蓋春秋所賤○之稱尺證反下齊稱同舎音捨舛昌兖反
執不言所於地緼於晉也	時虞巳包裹屬於晉故雖在虞執而不書其處○緼紆粉反包音苞裹音果處昌吕反
其曰公何也	據十九年宋人執滕子嬰齊不言公
猶曰其下執之之辭也	臣民執其君故稱公
其猶下執之之辭何也晉命行乎虞民矣	虞服于晉故從晉命而執其君
虞虢之相救非相爲賜也今日亡虢而明日亡虞矣	言明日喻其速○爲于僞反又如字
六年春王正月○夏公㑹齊侯宋公陳侯衛侯曹伯伐鄭圍新城伐國不言圍邑此其言圍何也	據元年楚人伐鄭不言園
病鄭也著鄭伯之罪也	泰曰諸伐國而言圍邑傳皆以爲伐者之罪而以此著鄭伯之罪者齊桓行覇尊崇王室綏合諸侯翼戴丗子盟之美者莫盛於此而鄭伯辟義逃歸違叛霸者是以諸侯伐而圍之罪著于上討顯于下圍伐之文雖同而善惡之義有殊亦猶桓盟不日以明信而葵丘之盟日之以爲美○著張慮反辟音避
○秋楚人圍許諸侯遂救許	伐鄭之諸侯
善救許也○冬公至自伐鄭其不以救許致何也大伐鄭也七年春齊人伐鄭○夏小邾子來朝	○朝直遥反
○鄭殺其大夫申侯稱國以殺大夫殺無罪也○秋七月公㑹齊侯宋公陳丗子欵鄭丗子華盟于寍母	寍母某地○寍母上音如字又音寗下音無又荗后反左氏作寗
衣裳之㑹也○曹伯班卒	○班必顔反
公子友如齊○冬葬曹昭公八年春王正月公㑹王人齊侯宋公衛侯許男曹伯陳丗子𣢾盟于洮	洮曹地
王人之先諸侯何也貴王命也朝服雖敝必加於上弁冕雖舊必加於首周室雖衰必先諸侯兵車之㑹也鄭伯乞盟以向之逃歸乞之也	向謂五年逃首戴之盟齊桓爲兵車之㑹于此乃震服懼不得盟故乞得與之不録使者使若鄭伯自來所以抑一人之惡申衆人之善○之先悉薦反下同朝服直遥反弁皮彦反以向香亮反本又作郷注同得與音豫使者所吏反
乞者重辭也	人道貴讓故以乞爲重
重是盟也	悔前逃歸故以重言
乞者處其所而請與也	言乞知不自來
蓋汋之也	汋血而與之○汋由若反一音酌
○夏狄伐晉○秋七月禘于大廟	禘三年大祭之名大廟周公廟禮記明堂位曰季夏六月以禘禮祀周公于大廟雜記下曰孟獻子曰七月日至可以有事子祖七月而禘獻子爲之案宣九年仲孫蔑如京帥於是獻子始見經襄十九年卒然則失禮非獻子所始明矣雜記之云寗所未詳○大廟音泰見賢徧反下文而見同
用致夫人	劉向曰夫人成風也致之于大廟立之以爲夫人○夫人成風也左氏以爲哀姜
用者不冝用者也致者不冝致者也言夫人必以其氏姓言夫人而不以氏姓非夫人也立妾之辭也非正也	夫人者正嫡之稱謂非崇妾之嘉號以妾體君則上下無别雖尊其母是卑其父故曰非正也禮有君之母非夫人者又庻子爲後爲其母緦是妾不爲夫人明矣○適丁歷反本亦作嫡稱尺證反别彼列反爲其于僞反緦音思
夫人之我可以不夫人之乎夫人卒葬之我可以不卒葬之乎	鄭嗣曰君以爲夫人君以夫人之禮卒葬之主書者不得不以爲夫人也成風以文四年薨五年葬傳終說其事
一則以宗廟臨之而後貶焉	臣無貶君之義故于大廟去夫人氏姓以明君之非正○去起吕反
一則以外之弗夫人而見正焉	秦人來歸僖公成風之禭不言夫人○禭音遂
○冬十有二月丁未天王崩	惠王也
九年春王三月丁丑宋公禦說卒	○禦魚吕反本亦作御說音恱
夏公㑹宰周公齊侯宋子衛侯鄭伯許男曹伯于葵丘	宰官周采地天子三公不字宋子襄公葵丘地名○采音菜
天子之宰通于四海	宰天官冡宰兼爲三公者三公論道之官無事于㑹盟冡宰掌建邦之六典以佐王治邦國故曰通于四海
宋其稱子何也未葬之辭也禮柩在堂上孤無外事今背殯而	音章又之亮反
母訖糴	訖止也謂貯粟○糴音狄貯張吕反
母易樹子	樹子嫡子嫡丁歴反
母以妾爲妻母使婦人與國事	女正位於内○與音豫
甲子晉侯詭諸卒	獻公也枉殺丗子申生失德不葬○詭諸九委反左氏作佹諸枉紆往反
冬晉里克殺其君之子奚齊其君之子云者國人不子也國人不子何也不正其殺丗子申生而立之也	諸侯在䘮稱子言國人不君之故繫干其君
十年春王正月公如齊○狄滅温温子奔衛○晉里克弑其君卓及其大夫荀息以尊及卑也荀息閑也	○卓勑角反
夏齊侯許男伐北戎○晉殺其大夫里克稱國以殺罪累上也里克弑二君與一大夫	二君奚齊卓子一大夫荀息
其以累上之辭言之何也	據有罪
其殺之不以其罪也其殺之不以其罪奈何里克所爲弑者爲重耳也	殺奚齊卓子者欲以重耳爲君重耳夷吾兄文么○所爲于僞反下文皆同重直龍反殺奚齊申志反又如字
夷吾曰是又將殺我乎故殺之不以其罪也其爲重耳弑柰何晉獻公伐虢得麗姬獻公私之有二子長曰奚齊稚曰卓子麗姬欲爲亂	亂謂殺申生而立其子○麗姐力池反伐虢所得左氏伐麗戎所得長丁丈反稚直吏反
故謂君曰吾夜者夢夫人趨而來曰吾苦畏	夫人申生母○苦如字又祜路反下同
胡不使大夫將衛士而衛冡乎公曰孰可使曰臣莫尊於丗子則丗子可故君謂丗子曰麗姬夢夫人趨而來曰吾苦畏女其將衛士而往衛冡乎丗子曰敬諾築宫宫成麗姬又曰吾夜者夢夫人趨而來日吾苦飢丗子之宫巳成則何爲不使祠也故獻公謂丗子曰其祠丗予柌巳祠致福於君君田而不在麗姬以酖爲酒藥脯以毒獻公田來麗姬曰丗子巳祠故致福於君君將食麗姬跪曰食自外來者不可不試也覆酒於地而地賁	賁沸起也○女音汝下皆同祠自絲反酖直䕃反以鳩烏毛畫酒跪求委反覆芳服反賁扶粉反注同
以脯與犬犬死麗姬下堂而啼呼曰天乎天乎國子之國也子何遟於爲君君喟然歎曰吾與女未有過切	吾與女未有過差切急○呼火故反喟去塊反又去怪反差初賣反又如字
是何與我之深也使人謂丗子曰爾其圖之丗子之傅里克謂丗子曰入自明入自明則可以生不入自明則不可以生丗予日吾君巳老矣巳昬矣吾若此而入自明則麗姬必死麗姬死則吾君不安所以使吾君不安者吾不若自死吾寍自殺以安吾君以重耳爲寄矣	慮麗姬又譛重耳故以託里克使保全之
刎脰而死	○刎亡粉反脰音豆頸也
故里克所爲弑者爲重耳也夷吾曰是又將殺我也○秋七月○冬大雨雪	○雨于付反
十有一年春晉殺其大夫㔻鄭父	○㔻浦悲反
稱國以殺罪累上也○夏公及夫人姜氏㑹齊侯于陽榖○秋八月大雩雩月正也雩得雨曰雩不得雨曰旱	禮龍見而雩常祀不書書者皆以旱也故得雨則喜以月爲正也不得雨則書旱明旱災成何休曰公羊書雩者善人君應變求索不雩則言旱旱而不害物言不雨也就如榖梁設本不雩何以明之如以不雨明之設旱而不害物何以别乎鄭君釋之曰雩者夏祈榖實之禮也旱亦用焉得雨書雩明雩有益不得雨書旱明旱災成後得雨無及也國君而遭旱雖有不憂民事者何乃廢禮本不雩禱哉顧不能致精誠也旱而不害物固以乆不雨别之文二年十三年自十有二月自正月不雨至于秋七月是也榖梁傳曰歷時而言不雨文不閔雨也以文不憂雨故不如僖時書不雨文所以不閔雨者素無志於民性退弱而不明又見時乆不雨而無災耳○雩音于龍見賢徧反下同應變應對之應索所白反别彼列反下同禱丁老反又丁報反
○冬楚人伐黃十有二年春王三月庚午日有食之○夏楚人滅黃貫之盟管仲曰江黃逺齊而近楚楚爲利之國也若伐而不能救則無以宗諸侯矣	宗諸侯謂諸侯宗之○貫古亂反逺于萬反近附近之近爲于僞反
桓公不聽遂與之盟管仲死楚伐江滅黃桓公不能救故君子閔之也	閔其貪慕伯者以致滅
秋七月○冬十有二月丁丑陳侯杵臼卒	○杵昌吕反
十有三年春狄侵衛○夏四月葬陳宣公○公㑹齊侯宋公陳侯衛侯鄭伯許男曹伯于鹹	鹹衛地鹹音咸
兵車之㑹也○秋九月大雩○冬公子友如齊十有四年春諸侯城縁陵	縁陵𣏌邑
其曰諸侯散辭也	直曰諸侯無小大之序是各自欲城無緫一之者非伯者所制故曰散辭
聚而曰散何也	據言諸侯城則是聚
諸侯城有散辭也桓德衰矣	言諸侯城則非伯者之爲可知也齊桓德衰所以散也何休曰案先是盟亦言諸侯非散也又榖梁美九年諸侯盟于葵丘即散何以美之邪鄭君釋之曰九年公㑹宰周公齊侯宋子衛侯鄭伯許男曹伯于葵丘九月戊辰盟于葵丘時諸侯𥘉在㑹未有歸者故可以不序今此十三年夏公㑹齊侯宋公陳侯衛侯鄭伯許男曹伯于鹹而冬公子友如齊此聘也書聘則㑹固前巳歸矣今云諸侯城縁陵而不序其人明其散桓德衰矣葵丘之事安得以難此○難乃旦反
夏六月季姬及繒子遇于防使繒子來朝	遇例時此非所冝遇故謹而月之○繒在陵反朝直遥反下文及注同
遇者同謀也	魯女無故逺㑹諸侯遂得淫通此亦事之不然左傳曰繒季姬來寍公怒之以繒子不朝遇于防而使來朝此近合人情○近如字又附近之近
來朝者來請己也	使來朝請己爲妻
朝不言使言使非正也以病繒子也○秋八月辛卯沙鹿崩	沙鹿晉山
林屬於山爲鹿	鹿山足○屬之玉反
沙山名也無崩道而崩故志之也其日重其變也	劉向曰鹿在山下平地臣象隂位也崩者散落背叛不事上之象○背音佩
○狄侵鄭○冬蔡侯肸卒	○肸許乞反
諸侯時卒惡之也	○惡烏路反
十有五年春王正月公如齊○楚人伐徐○三月公㑹齊侯宋公陳侯衛侯鄭伯許男曹伯盟于牡丘	牡丘地名
兵車之㑹也遂次于匡	救徐也時楚人伐徐匡衛地
遂繼事也次止也有畏也	畏楚
○公孫敖帥師及諸侯之大夫救徐	諸侯旣盟次匡皆遣大夫將兵救徐故不復具列諸國○復扶又反
善救徐也○夏五月日有食之	夜食
○秋七月齊師曹師伐厲	徐邈曰案齊桓末年用師及㑹皆危之而月也于時覇業巳衰勤王之誠替于内震矜之容見於外禍釁旣兆動接危理故月衆國之君雖有失道未足爲一丗興衰齊桓威攝羣后政行天下其得失皆治亂所繫故春秋重而詳之録所善而著所危云爾○見賢徧反釁許靳反衰本作䘮息浪反治直吏反
八月螽	○螽音終
螽蟲災也甚則月不甚則時○九月公至自㑹	莊二十七年傳曰桓㑹不致安之也而此致者齊桓徳衰故危而致之
季姬歸于繒○己卯晦震夷伯之廟	夷謚伯字
晦冥也震雷也夷伯魯大夫也因此以見天子至于士皆有廟	明夷伯之廟過制故因此以言禮○冥亡定反見賢徧反
天子七廟	祭法曰王立七廟曰考廟王考廟皇考廟顯考廟祖考廟有二祧遠廟稱祧○桃它堯反
諸侯五	曰考廟王考廟皇考廟顯考廟祖考廟
大夫三	曰考廟王考廟皇考廟
士二	曰考廟王考廟
故徳厚者流光徳薄者流卑	雍曰德厚者位尊道隆者爵重故天子逺及七丗士祭祖而巳
是以貴始徳之本也始封必爲祖	若契爲殷祖棄爲周祖○契息列反
冬宋人伐曹○楚人敗徐于婁林	婁林徐地○敗必邁反下相敗同
夷狄相敗志也○十有一月壬戍晉侯及秦伯戰于韓	韓晉地
獲晉侯	獲者不與之辭諸侯非可相獲
韓之戰晉侯失民矣以其民未敗而君獲也十有六年春王正月戊申朔隕石于宋五	劉向曰石隂類也五陽數也象隂而陽行將致隊落○隕云敏反行下孟反下隂行同隊直類反
先隕而後石何也	據莊七年星隕如雨先言星後言隕
隕而後石也	旣隕後乃知是石
于宋四竟之内曰宋後數散辭也耳治也	隕石記聞也聞其磌然視之則石察之則五○竟音境治直吏反下目治同磌之人反又大年反声響也
是月六鶂退飛過宋都	是月隕石之月劉向曰鶂陽也六隂數也象陽而隂行必衰退○鶂五歷反
是月者决不日而月也	欲著石日鶂月故言是月若不言是月則嫌與戊申同
六鶂退飛過宋都先數聚辭也目治也	六鶂退飛記見也視之則六察之則鶂徐而察之則退飛
子曰石無知之物鶂微有知之物石無知故日之	石無知而隕必天使之然故詳而日之
鶂微有知之物故月之	鶂或時自欲退飛耳是以略而月之
君子之於物無所苟而巳石鶂且猶盡其辭而况於人乎故五石六鶂之辭不設則王道不亢矣	不遺微細故王道可舉○亢苦浪反
民所聚曰都○三月壬申公子季友卒大夫日卒正也	季友桓公之子
稱公弟叔仲賢也大夫不言公子公孫䟽之也○夏四月丙申繒季姬卒○秋七月甲子公孫兹卒大夫日卒正也○冬十有二月公㑹齊侯宋公陳侯衛侯鄭伯許男邢侯曹伯于淮兵車之㑹也	〇淮音懐
十有七年春齊人徐人伐英氏	○英於京反
夏滅項孰滅之桓公也何以不言桓公也	據莊十年齊師滅譚稱齊師○項户講反國名也齊滅之左氏以爲魯滅
爲賢者諱也項國也不可滅而滅之乎桓公知項之可滅也	知政昬亂易可滅○爲于僞反下爲之諱同
而不知已之不可以滅也	覇者存恤鄰國抑彊輔弱義不可滅人之國
旣滅人之國矣何賢乎君子惡惡疾其始	絶其始則得不終於惡邵曰謂疾其𥘉爲惡之事不終身疾之○惡惡並如字又烏路反
善善樂其終	樂賢者終其行也邵曰謂始有善事則終身善之○行下孟反
桓公甞有存亡繼絶之功故君子爲之諱也	邵曰存亡謂存邢衛繼絕謂立僖公所以終其善
秋夫人姜氏㑹齊侯于卞	卞魯地○卞皮彦反
九月公至自㑹	相㑹不致而今致㑹桓公德衰威信不著陳列兵車又以滅項往㑹旣非踰年乃反故往還皆月以危之
冬十有二月乙亥齊侯小白卒此不正其日之何也	據二十四年晉侯夷吾卒不書日
其不正前見矣其不正之前見何也以不正入虚國故稱嫌焉爾	莊九年齊小白入于齊貶不稱公子虚國謂齊無君傳例曰以國氏者嫌也○見賢徧反下同
十有八年春王正月宋公曹伯衛人邾人伐齊非伐䘮也	伐䘮無道故謹而月之
夏師救齊	魯師
善救齊也○五月戊寅宋師及齊師戰于甗	甗齊地○甗魚輦反又音言
齊師敗績戰不言伐客不言及言及惡宋也	何休曰戦言及者所以别客主直不直也故文十二年晉人秦人戰于何曲兩不直故不云及今宋言及明直在宋非所以惡宋也即言及爲惡是河曲之戦爲兩善乎又榖梁以河曲不言及略之也則自相反矣鄭君釋之曰及者別異客主耳不施於直與不直也直不直自在事而巳義兵則客直宣十二年夏晉荀林父帥師及楚子戰于邲晉師敗績是也兵不義則主人直莊二十八年春衛人及齊人戰衛人敗績是也今齊桓卒未葬宋襄欲興霸事而伐䘮於禮尤反故反其文以宋及齊即實以宋及齊明直在宋邲之戰直在楚不以楚及晉何邪秦晉戰于河曲不言及疾其亟戰爭舉兵故略其先後○惡烏路反下同別彼列反下同邲蒲必反一音弼亟欺兾反
狄救齊善救齊也○秋八月丁亥葬齊桓公	竪刀易牙爭權五公子争立故危之○刀音雕
冬邢人狄人伐衛狄其稱人何也善累而後進之	累積
伐衛所以救齊也	何休曰即伐衛救齊當兩舉如伐楚救江矣又傳以爲江遠楚近故伐楚救江今狄亦近衛而逺齊其事一也義異何也鄭君釋之曰文三年冬晉陽處父帥師伐楚救江兩舉之者以晉未有救江文故明言之今此春宋公曹伯衛人邾人伐齊夏狄救齊冬邢人狄人伐衛爲其救齊可知故省文耳事同義又何異○近衛如字又附近之近逺齊如字又于萬反爲其于僞反省所景反
功近而德逺矣	伐衛功近耳夷狄而憂中國其德逺也
十有九年春王三月宋人執滕子嬰齊○夏六月宋公曹人邾人盟于曹南	曹南曹之南鄙
繒子㑹盟于邾已酉邾人執繒子用之微國之君因邾以求與之盟	與厠豫也○與音豫注及下文同
人因已以求與之盟已迎而執之惡之故謹而日之也用之者叩其鼻以衈社也	衈者釁也取鼻血以釁祭社器○惡烏路反下惡其長同叩音口衈音二
○秋宋人圍曹○衛人伐邢○冬㑹陳人蔡人楚人鄭人盟于齊	㑹無主名内卑者也四國稱人外卑者也杜預曰地於齊齊亦與盟
○梁亡自亡也湎於酒淫於色心昬耳目塞上無正長之治大臣背叛民爲寇盗梁亡自亡也如加力役焉湎不足道也	如使伐之而滅亡則淫湎不足記也使其自亡然後其惡明○湎面善反長丁丈反下及注同皆音佩
梁亡鄭棄其師我無加損焉正名而巳矣梁亡出惡正也	正謂政教
鄭棄其師惡其長也	長謂髙克
二十年春新作南門作爲也有加其度也	更加使大
言新有故也非作也	責其改舊制
南門者法門也	法門謂天子諸侯皆南面而治法令之所出入故謂之法門
○夏郜子來朝	○郜古報反
五月乙巳西宫災謂之新宫則近爲襧宫	言閔公非僖公之父故不言新宫也○近附近之近禰乃禮反父廟也
以謚言之則如䟽之然	故不言閔宫而云西宫
以是爲閔宫也○鄭人入滑○秋齊人狄人盟于邢邢爲主焉爾邢小其爲主何也其爲主乎救齊	十八年邢人狄人伐衛以救齊是也
○冬楚人伐隨隨國也二十有一年春狄侵衛○宋人齊人楚人盟于鹿上	宋爲盟主故序齊上鹿上宋地
夏大旱	傳例曰得雨曰雩不得雨曰旱
旱時正也○秋宋公楚子陳侯蔡侯鄭伯許男曹伯㑹于雩	雩宋地雩或爲宇
執宋公以伐宋以重辭也	傳例曰以者不以者也此傳及定七年齊人執衛行人北宫結以侵衛傳皆曰以重辝也然則以有二義矣國之所重故曰重辭
冬公伐邾楚人使冝申來獻捷	楚稱人者爲執宋公貶○捷在接反爲于僞反
捷軍得也其不曰宋捷何也	據莊三十一年齊侯求獻戎捷
不與楚捷於宋也	不與夷狄捷中國
十有二月癸丑公㑹諸侯盟于薄	㑹雩之諸侯
