春秋榖梁傳文公第六	〇襄王二十六年即位名興
歷時而言不雨文不憂雨也	僖公憂民歷一時輒書不雨今文公歷四時乃書是不勤雨也
不憂雨者無志乎民也	無恤民志
○八月丁卯大事于大廟躋僖公	大事祫也時三年之喪未終而吉祭於大廟則其譏自明○大廟音泰注及傳大祖同躋子兮反升也祫户夾反下及注皆同
大事者何大是事也著祫甞	祫合也甞秋祭
祫祭者毀廟之主陳于大祖未毀廟之主皆升合祭于大祖	祫祭著皆合祭諸廟巳毀未毀者之主於大祖廟中以昭繆爲次序父爲昭子爲繆昭南郷繆北郷孫從王父坐也祭畢則復還其廟○昭繆音韶穆下及傳同郷音向下同
躋升也先親而後祖也逆祀也	舊說僖公閔公庶兄故文公升僖公之主於閔么之上耳僖公雖長巳爲臣矣閔公雖小巳爲君矣臣不可以先君猶子不可以先父故以昭穆父祖爲喻寗曰即之於傳則無以知其然若引左氏以釋此傳則義雖有似而於文不辨髙宗殷之賢主猶祭豐于禰以致雉雊之變然後率脩常禮文公傎倒祖考固不足多怪矣親謂僖祖謂莊○長丁丈反先悉薦反下同禰乃禮反雊古豆反雉鳴也傎倒丁田反下丁老反
逆祀則是無昭穆也無昭穆則是無祖也無祖則無天也故曰文無天無天者是無天而行也	祖人之始也人之所仰天也
君子不以親親害尊尊此春秋之義也	尊卑有序不可亂也
○冬晉人宋人陳人鄭人伐秦○公子遂如齊納幣	䘮制未畢而納幣書非禮
三年春王正月叔孫得臣㑹晉人宋人陳人衛人鄭人伐沈沈潰	沈國也潰之爲言上下不相得〇沈音審潰户内反
○夏五月王子虎卒叔服也此不卒者也	外大夫不書卒
何以卒之以其來㑹葬我卒之也	㑹葬在元年
或曰以其甞執重以守也	僖二十四年天王出居于鄭叔服執重任以守國○守手又反
○秦人伐晉○秋楚人圍江○雨螽于宋外災不志此何以志也曰災甚也其甚奈何茅茨盡矣	茅茨猶盡則嘉榖可知茨蒺藜○雨螽于付反下司下音終茨在思反茅草也
著於上見於下謂之雨	○見賢徧反
○冬公如晉○十有二月己巳公及晉侯盟○晉陽處父帥師伐楚救江此伐楚其言救江何也江逺楚近伐楚所以救江也	時楚人圍江晉師伐楚楚國有難則江圍自解○難乃旦反解音蟹又古買反
四年春公至自晉○夏逆婦姜于齊其曰婦姜爲其禮成乎齊也	婦禮成于齊故在齊使稱婦○爲于僞反
其逆者誰也親逆而稱婦或者公與何其速婦之也	鄭嗣曰皆問者之辭問者以使大夫逆例稱女而今稱婦爲是公親逆與怪稱婦速故反覆推之〇公與音餘注同反覆芳服反
曰公也其不言公何也	據莊二十四年公如齊逆女言公
非成禮於齊也	非責
曰婦有姑之辭也其不言氏何也貶之也何爲貶之也夫人與有貶也	邵曰夫人能以禮自防則夫婦之禮不成於齊故譏公而夫人與焉○與音豫注同貶彼撿反
○狄侵齊○秋楚人滅江○晉侯伐秦○衛侯使寗俞來聘	○俞羊朱反
〇冬十有一月壬寅夫人風氏薨	僖公母風姓
五年春王正月王使榮叔歸含且賵	含口實也禮記曰飯用米貝弗忍虚也諸侯含用玉榮叔天子之上大夫也榮采地叔字○含户暗反釋舊作唅賵芳鳯反飯扶晚反
含一事也賵一事也兼歸之非正也	禮含賵禭各異人○禭音遂
其曰且志兼也其不言來不周事之用也	何休曰四年夫人風氏薨九年秦人來歸僖公成風之襚最晚矣何以言來鄭君釋之曰秦自敗于殽之後與晉爲仇兵無休時乃加免繆公之䘮而來君子原情不責晚用或作辭○殽户交反
賵以早	乗馬曰賵乗馬所以助葬成風未葬故書早○乗繩證反下同
而含以晚	巳殯故言晚國有逺近皆令及事理不通也禮雜記曰含者執璧蔣命曰寡君使某含相者入告岀曰孤某須矣含者入升堂致命子拜稽顙含者坐委於殯東南有葦席旣葬蒲席降岀反位明君之於臣有含賵之義所以助䘮盡恩含不必用示有其禮○令力呈反相息亮反稽顙音啓下息黨反葦于鬼反
○三月辛亥葬我小君成風王使毛伯來㑹葬㑹葬之禮於鄙上	從竟至墓主爲送葬來○竟音境爲于僞反
○夏公孫敖如晉○秦人入鄀	○鄀音若
○秋楚人滅六○冬十月甲申許男業卒六年春葬許僖公○夏季孫行父如陳	行父季友孫
○秋季孫行父如晉○八月乙亥晉侯驩卒	○驩好官反
○冬十月公子遂如晉○葬晉襄公○晉殺其大夫陽處父稱國以殺罪累上也襄公巳葬其以累上之辭言之何也君漏言也上泄則下闇下闇則上聾且闇且聾無以相通	臣闇不言君無所聞上下否塞○累劣僞反下同或如字泄息列反又以制反聾魯公反
夜姑殺者也	殺處父○左氏作射姑
夜姑之殺奈何曰晉將與狄戰使狐夜姑爲將軍趙盾佐之陽處父曰不可古者君之使臣也使仁者佐賢者不使賢者佐仁者今趙盾賢夜姑仁其不可乎	邵曰賢者多才也戰主于攻伐仁者有惻隱之恩不如多才者有權略○盾徒本反攻如字又音貢惻𥘉力反
襄公曰諾謂夜姑曰吾始使盾佐女今女佐盾矣	稱處父語以語之故傳曰漏言也○女音汝語魚慮反
夜姑曰敬諾襄公死處父主竟上之事	待諸侯㑹葬在鄙上○竟音境
夜姑使人殺之君漏言也	親殺者夜姑而歸罪於君明由君言而殺之罪在君也故稱君以殺
故士造辟而言詭辭而出	辟君也詭辭而岀不以實告人○造七報反辟必亦反君也注同詭九委反
曰用我則可不用我則無亂其德	此士對君言之辭
○晉狐夜姑岀奔狄○閏月不告月猶朝于廟	禮天子以十二月朔政班告于諸侯諸侯受於禰廟孝子尊事先君不敢自專也言朝者縁生以事死親存朝朝莫夕不敢泄鬼神故事畢感月始而朝之○猶朝直遥反注及下同朝朝上如字下直遥反莫音慕泄息列反
不告月者何也不告朔也不告朔則何爲不言朔也閏月者附月之餘日也積分而成於月者也	一歳三百六十日餘六日又有小月六積五歳得六十日而再閏積衆月之餘分以成此月
天子不以告朔而喪事不數也	閏是叢殘之數非月之正故吉凶大事皆不用也○不數所古反叢徂洪反
猶之爲言可以巳也	郊然後三望告朔然後朝廟俱言猶義相類也旣廢其大而行其細故譏之
七年春公伐邾三月甲戌取須句取邑不日此其日何也	據僖二十六年公伐齊取榖不日○須句其俱反
不正其再取故謹而日之也	僖二十二年公巳伐邾取須句過而不改於此爲甚故録日以志之
遂城郚遂繼事也	因伐邾之師○郚音吾
〇夏四月宋公壬臣卒	〇壬本或作王臣
○宋人殺其大夫稱人以殺誅有罪也○戊子晉人及秦人戰于令狐	令狐秦地○令力丁反
晉先蔑奔秦不言出在外也輟戰而奔秦以是爲逃軍也	輟止也爲將而獨奔故曰逃軍○輟丁劣反將子匠反
○狄侵我西鄙○秋八月公㑹諸侯晉大夫盟于扈	扈鄭地〇扈音戸
其曰諸侯略之也	晉侯新立公始往㑹晉侯不盟大夫受盟旣以䘮娶又取二邑爲諸侯所賤不得序于㑹諱使若扈之􁋼都不可知故略之○喪取七住反本亦作娶
○冬徐伐莒○公孫敖如莒莅盟莅位也其曰位何也前定也其不日前定之盟不日也八年春王正月○夏四月○秋八月戊申天王崩	襄王
○冬十月壬午公子遂㑹晉趙盾盟于衡雍	衡雍鄭地○雍於用反
○乙酉公子遂㑹雒戎盟于暴	鄭地○雒戎音洛本或作伊雒之戎誤
○公孫敖如京師	弔周喪
不至而復丙戍奔莒不言所至未如也	若其巳行當如公子遂至黄乃復今不言所至而直言復知其實未如也
未如則未復也未如而曰如不廢君命也	雍曰受命而岀義無私留書如京師以顯命行于下不書所至以表不去之罪
未復而曰復不專君命也	復者事畢之辭未如故知其未復加畢事之文者言君命無輙專之道
其如非如也其復非復也唯奔莒之爲信故謹而日之也○螽○宋人殺其大夫司馬司馬官也其以官稱無君之辭也	何休曰近上七年宋公壬臣卒宋人殺其大夫不言官今此在三年中言官義相違鄭君釋之曰七年殺其大夫此實無君也今殺其司馬無人君之徳耳司馬司城君之爪牙守國之臣乃殺其司馬奔其司城無道之甚故稱官以見輕慢也傳例稱人以殺殺有罪也此上下俱失之○見賢遍反
〇宋司城來奔司城官也其以官稱無君之辭也來奔者不言出舉其接我也九年春毛伯來求金求車猶可求金甚矣	凱曰求俱不可在喪尢甚不稱使者天子當喪未君也
○夫人姜氏如齊	歸寧
○二月叔孫得臣如京師京大也師衆也言周必以衆與大言之也○辛丑葬襄王天子志崩不志葬舉天下而葬一人其道不疑也志葬危不得葬也	不得備禮葬
日之甚矣其不葬之辭也	王室微弱諸侯無復往魯葬○復扶又反
○晉人殺其大夫先都○三月夫人姜氏至自齊卑以尊致病文公也	夫人行例不致乃以君禮致刺公寵之過○刺七賜反
○晉人殺其大夫士縠及箕鄭父稱人以殺誅有罪也鄭父累也	○箕居其反
○楚人伐鄭○公子遂㑹晉人宋人衛人許人救鄭○夏狄侵齊○秋八月曹伯襄卒○九月癸酉地震震動也地不震者也震故謹而日之也	穀梁說曰大臣盛將動有所變
○冬楚子使萩來聘楚無大夫	無命卿○萩子遥反又子小反或作菽左氏作椒
其曰萩何也以其來我襃之也○秦人來歸僖公成風之禭秦人弗夫人也	言秦人弗以成風爲夫人故不言夫人
即外之弗夫人而見正焉	見不以妾爲妻之正○而見賢徧反
○葬曹共公	○共音恭
十年春王三月辛卯臧孫辰卒〇夏秦伐晉○楚殺其大夫冝申	僖四年傳曰楚無大夫而今云殺其大夫者楚本祝融之後季連之胄也而國近南蠻遂漸其俗故棄而夷之今知内附中國亦轉強大故進之○胄直又反國近附近之近
○自正月不雨至于秋七月歷時而言不雨文不閔雨也不閔雨者無志乎民也○及蘇子盟于女栗	女栗某地蘇子周卿士○女音汝
○冬狄侵宋○楚子蔡侯次于厥貉	厥貉某地也○貉亡白反
十有一年春楚子伐麇	○麇九倫反
○夏叔彭生㑹晉郤缺于承匡	承匡宋地○缺苦悅反
○秋曹伯來朝	○朝直遥反
○公子遂如宋○狄侵齊○冬十月甲午叔孫得臣敗狄于鹹不言帥師而言敗何也	據僖元年公子反帥師敗莒師于麗獲莒挐稱帥師○敗必邁反鹹音咸麗力知反拏女居反
直敗一人之辭也一人而曰敗何也以衆焉言之也	言其力足以敵衆
傳曰長狄也弟兄三人佚宕中國	佚猶更也○佚宕大結反更也害本又作宕更音庚
瓦石不能害	肌膚堅強瓦石打擿不能虧損○強其丈反擿直隻反
叔孫得臣最善射者也射其目身横九畒	廣一歩長百歩爲一畒九畒五丈四尺○射其食亦反下注同廣古曠反長直亮反
斷其首而載之眉見於軾	兵車之軾髙三尺二寸○斷丁管反見賢徧反軾音式
然則何爲不言獲也	據莒挐言獲
曰古者不重創不禽二毛故不言獲爲内諱也	不重創恤病也不禽二毛敬老也仁者造次必於是顚沛必於是故爲内諱也旣射其目又斷其首爲重創鬢髪白爲二毛○重直用反注同創𥘉羊反爲内于僞反造七報反沛音貝
其之齊者王子成父殺之則未知其之晉者也十有二年春王正月郕伯來奔	○郕音成
○𣏌伯來朝	僖二十七年稱子今稱伯盖時王所進○朝直遥反
○二月庚子子叔姬卒其曰子叔姬貴也公之母姊妹也	同母姊妹
其一傳曰許嫁以卒之也男子二十而冠冠而列丈夫三十而娶女子十五而許嫁二十而嫁	禮二十而冠冠而在丈夫之列譙周曰國不可乆無儲貳故天子諸侯十五而冠十五而娶娶必先冠以夫婦之道王教之本不可以童子之道治之禮十五爲成童以次成人欲人君之早有繼體故因以爲節書稱成王十五而冠著在金縢周禮媒氏曰令男三十而娶女二十而嫁内則云女子十五而笄說曰許嫁也是故男自二十以及三十女自十五以及二十皆得以嫁娶先是則速後是則晚凡人嫁娶或以賢淑或以方類豈但年數而巳若必差十年乃爲夫婦是廢賢淑方類苟比年數而巳禮何爲然哉則三十而娶二十而嫁說嫁娶之限盖不得復過此爾故舜年三十無室書稱曰鰥周禮云女子年二十未有嫁者仲春之月奔者不禁奔者不待禮聘因媒請嫁而巳矣寗謂禮爲夫之姊妹服長殤年十九至十六如此男不必三十而娶女不必二十而嫁明矣此又士大夫之禮〇冠江喚反娶七住反譙在遥反笄古兮反先是蘇徧反後是户豆反比毗至反或如字得復扶又反鰥古頑反禮爲于偽反服長丁丈反
○夏楚人圍巢○秋滕子來朝○秦伯使術來聘	術秦大夫○術音述
○冬十有二月戊午晉人秦人戰于河曲	河曲晉地
不言及秦晉之戰已亟故略之也	亟數也夫戰必有曲直以一人主之二國戰闘數曲真不可得詳故略之不言晉人及秦人戰○亟去兾反數也注同
○季孫行父帥師城諸及鄆稱帥師言有難也	○難乃旦反
十有三年春王正月○夏五月壬午陳侯朔卒○邾子籧篨卒	○籧其居反篨直居反
○自正月不雨至于秋七月○大室屋壞	屋者主於覆蓋明廟不都壞〇大音泰傳皆同
大室屋壞者有壞道也譏不脩也大室猶丗室也	丗丗有是室故言丗室
周公曰大廟	爾雅曰室有東西廂曰廟
伯禽曰大室羣公曰宫	爾雅曰宫謂之室室謂之宮然則其實一也盖尊伯禽而異其名
禮宗廟之事君親割	割牲
夫人親春	舂粢盛
敬之至也爲社稷之主而先君之廟壊極稱之志不敬也	極稱言屋壞不復依違其文○復扶又反
○冬公如晉○衛侯㑹公于沓	沓地也○沓徒荅反
○狄侵衛○十有二月已丑公及晉侯盟還自晉還者事未畢也自晉事畢也○鄭伯㑹公于棐	棐鄭地○棐芳匪反
十有四年春王正月公至自晉○邾人伐我南鄙○叔彭生帥師伐邾○夏五月乙亥齊侯潘卒	○潘浦干反
○六月公㑹宋公陳侯衛侯鄭伯許伯曹伯晉趙盾癸酉同盟于新城	新城宋地
同者有同也同外楚也○秋七月有星孛入于北斗孛之爲言猶茀也其曰入北斗斗有環域也	據孛于大辰及東方皆不言入此言入者明斗有規郭入其魁中也劉向曰北斗貴星人君之象也茀星亂臣之類言邪亂之臣將並弒其君○孛歩内反茀李軌扶憒反徐邈扶勿反一音步勿反又音弗邪俄嗟反弒音試
○公至自㑹○晉人納捷菑于邾弗克納是郤克也其曰人何也微之也何爲微之也長轂五百乗緜地千里	長轂兵車四馬曰乗一乗甲士三人歩卒七十二人五百乗合三萬七千五百人緜猶彌漫○捷菑在接反下側其反轂古木反乗繩證反卒子忽反
過宋鄭滕薛夐入千乗之國欲變人之主	夐猶逺也變人之主謂時邾巳立貜且邾小國而言千乗者大郤克之事○夐况盛反
至城下然後知何知之晚也	征不廟筭正其得失勞師逺渉乃至城下邾以義拒然後方悟貶之曰人不亦冝乎○悟五故反
弗克納未伐而曰弗克何也弗克其義也	非力不足義不可勝
捷菑晉出也貜且齊岀也	娕妹之子曰岀
貜且正也捷菑不正也	正適○適丁歷反
○九月甲申公孫敖卒于齊奔大夫不言卒而言卒何也	據閔二年公子慶父岀奔莒後不言卒
爲受其喪不可不卒也其地於外也	成十七年公孫嬰齊卒于貍蜃傳曰其地未踰竟宣八年仲遂卒于垂垂齊地然則地或踰竟或未踰竟凡大夫卒在常所則不地地者皆非其常所隨其所在而書其地耳不係於踰竟與不踰竟○爲于僞反貍力之反蜃市軫反竟音境並同
○齊公子商人弑其君舎舎未踰年其曰君何也成舎之爲君所以重商人之弑也	舎不成君則殺者非弒也○殺其音試本又作弒
啇人其不以國氏何也	據隱四年衛祝吁弒其君完不言公子
不以嫌代嫌也	春秋以正治不正不以亂平亂舎不冝立有不正之嫌啇人專權有當國之嫌故不書國氏明不以嫌相代
舎之不日何也未成爲君也〇宋子哀來奔其曰子哀失之也	言失其氏族不知何人
○冬單伯如齊	單伯魯大夫○單音善
齊人執單伯私罪也單伯淫于齊齊人執之齊人執子叔姬叔姬同罪也十有五年春季孫行父如晉○三月宋司馬華孫來盟	泰曰擅權專國不君其君縁其不臣因曰無君上司馬司城皆不名而此獨名者以華孫奉使出盟爲好於我故書官以見專録名以存善○華户化反使所吏反好呼報反見賢徧反
司馬官也其以官稱無君之辭也來盟者何前定也不言及者以國與之也	○稱尺證反年末注同
○夏曹伯來朝	○朝直遥反
○齊人歸公孫敖之䘮○六月辛丑朔日有食之鼔用牲于社○單伯至自齊大夫執則致致則名此其不名何也	據昭十四年意如至自晉稱名
天子之命大夫也○晉郤缺帥師伐蔡戊申入蔡○秋齊人侵我西鄙其曰鄙逺之也其逺之何也不以難介我國也	介猶近也○難乃旦反介音界注同
○季孫行父如晉○冬十有一月諸侯盟于扈	諸侯皆㑹而公獨不與故耻而略之
○十有二月齊人來歸子叔姬其曰子叔姬貴之也其言來歸何也父母之於子雖有罪猶欲其免也	凱曰書來歸是見出之辭有罪之人猶與貴稱書之曰子者蓋父母之恩欲免罪也
齊侯侵我西鄙遂伐曹入其郛	郛郭○郛芳浮反
十有六年春季孫行父㑹齊侯于陽榖齊侯弗及盟弗及者内辭也行父失命矣齊得内辭也	行父出㑹失辭義無可納故齊侯以正道拒而弗受不盟由齊故得内辭
○夏五月公四不視朔天子告朔于諸侯諸侯受乎禰廟禮也	毎月天子以朔政班于諸侯諸侯受而納之桶廟告廟以羊今公自二月不視朔至于五月是後視朔之禮遂廢故子貢欲去其羊○去起吕反
公四不視朔公不臣也以公爲厭政以甚矣	天子班朔而公不視是不臣○厭於艶反
○六月戊辰公子遂及齊侯盟于師亡	師丘齊地○師丘左氏作郪丘公羊作犀丘
復行父之盟也	春齊侯不與行父盟故復使遂脩之○復行扶又反又音服注復使及下注而復皆同
○秋八月辛未夫人姜氏薨	僖公夫人
○毀泉臺䘮不貳事貳事緩䘮也	䘮事土哀而復毁泉臺是以䘮爲緩
以文爲多失道矣	緩作主躋僖公四不視朔毀泉臺之類
自古爲之今毀之不如勿處而巳矣	若以夫人居之而薨者但當莫處
○楚人秦人巴人滅庸○冬十有一月宋人弒其君杵臼	泰曰傳稱人者衆辭衆之所同則君過可知又曰稱國以弒其君君惡甚矣然則舉國重於書人也○杵昌吕反臼其九反
十有七年春晉人衛人陳人鄭人伐宋	衛序陳上蓋主㑹者降之
○夏四月癸亥葬我小君聲姜○齊侯伐我西鄙○六月癸未公及齊侯盟于榖諸侯㑹于扈	言諸侯者義與上十五年同○范云言諸侯者義與上十五年同亦諸侯皆㑹公獨不與恥而略之
○秋公至自榖○冬公子遂如齊十有八年春王二月丁丑公薨于臺下臺下非正也○秦伯罃卒	○罃乙耕反
○夏五月戊戍齊人弑其君商人○六月癸酉葬我君文公○秋公子遂叔孫得臣如齊使舉上客而不稱介不正其同倫而相介故列而數之也	上客聘主也禮大夫爲卿介遂與得臣俱爲卿是以同倫爲副使故兩言之明無差降○使舉所吏反注同介音界下同副使也數所主反
〇冬十月子卒	子赤也諸侯在喪旣葬之稱
子卒不日故也	故殺也不稱殺諱也
○夫人姜氏歸于齊惡宣公也	姜氏子赤之母其子𬒳殺故大歸也宣公亦文公之子其母敬嬴惡不奉姜氏惡烏路反注同嬴音盈依左傳應作項熊
有不待貶絶而罪惡見者	泰曰直書姜氏之歸則宣公罪惡不貶而自見
有待貶絶而惡從之者	齊小白以國氏之類是也
姪娣者不孤子之意也	言其一人有子則共飬〇姪大結反娣音弟共養並如子一讀上九用反下餘亮反
一人有子三人緩帶	共望其禄
一曰就賢也	若並有子則就其賢謂年同也宣公不奉哀姜非此之謂故惡之
○季孫行父如齊○莒弑其君庻其	傳例曰稱國以弒其君君惡甚矣
春	_
秋	_
榖	_
梁	_
卷	_
第	_
六	_
經	_
傳	_
叄	_
阡	_
貳	_
伯	_
字	_
注	_
叄	_
阡	_
壹	_
伯	_
玖	_
拾	_
伍	_
字	_
音	_
義	_
壹	_
阡	_
單	_
伍	_
字	_
余	_
仁	_
仲	_
刋	_
于	_
家	_
塾	_
