春秋榖梁傳襄公第九	〇襄公名午簡王十四年即位
○秋公至自晉〇冬晉荀罃帥師伐許四年春王三月已酉陳侯午卒〇夏叔孫豹如晉〇秋七月戊子夫人姒氏薨	成公夫人襄公母也姒𣏌姓○𣏌音起
○葬陳成公〇八月辛亥葬我小君定姒	定謚
〇冬公如晉○陳人圍頓五年春公至自晉○夏鄭伯使公子發來聘〇叔孫豹繒丗子巫如晉外不言如而言如爲我事往也	外相如不書爲魯事往故同於内〇巫亡符反爲于僞反
〇仲孫蔑衞孫林父㑹吴于善稻	善稻吴地○善稻吴謂之伊緩左氏作善道
吴謂善伊謂稻緩號從中國名從主人	夷狄所號地形及物類當從中國言之以教殊俗故不言伊緩而言善稻人名當從其本浴言
○秋大雩○楚殺其大夫公子壬夫○公㑹晉侯宋公陳侯衞侯鄭伯曹伯莒子邾子滕子薛伯齊丗子光吴人繒人于戚	繒以外甥爲子曽夷狄之不若故序吴下所以不復殊外吴者以其數㑹中國故○曽夷才登反又如字不復扶又反數㑹音朔
公至自㑹○冬戍陳内辭也	不言諸侯是魯戍之
○楚公子貞帥師伐陳○公㑹晉侯宋公衞侯鄭伯曹伯莒子邾子滕子薛伯齊丗子光救陳十有二月公至自救陳善救陳也	楚人伐陳公能救中國而攘夷狄故善之善之謂以救陳致
○辛未季孫行父卒六年春王三月壬午𣏌伯姑容卒夏宋華弱來奔○秋葬𣏌桓公○滕子來朝	○朝直遥反
莒人滅繒	莒是繒甥立以爲後非其族類神不歆其祀故言滅○莒人滅繒似陵反立其甥爲後異姓故言滅也
非滅也	非以兵滅
中國日卑國月夷狄時繒中國也而時非滅也家有旣亡國有旣滅	㓕猶亡亡猶滅家立異姓爲後則亡國立異姓爲嗣則滅旣盡也
滅而不自知由别之而不别也	繒不逹滅亡之義故國滅而不知○别彼列反
莒人滅繒非滅也非立異姓以莅祭祀滅亡之道也	〇莅音利又音類
○冬叔孫豹如邾○季孫宿如晉	宿行父子
○十有二月齊侯滅萊七年春郯子來朝	○郯音談朝直遥反下同
夏四月三卜郊不從乃免牲夏四月不時也三卜禮也乃者亡乎人之辭也○小邾子來朝○城費	○費音秘
○秋季孫宿如衛○八月螽○冬十月衞侯使孫林父來聘壬戍及孫林父盟○楚公子貞帥師圍陳○十有二月公㑹晉侯宋公陳侯衞侯曹伯莒子邾子于鄬	鄬鄭地○鄬本又作䧦于詭
鄭伯髡原如㑹	〇髡苦門反本又作郡或作頵頵音於倫反左氏作髡頑
未見諸侯丙戌卒于操	操鄭地○操七報反
未見諸侯其曰如㑹何也致其志也禮諸侯不生名此其生名何也卒之名也卒之名則何爲加之如㑹之上見以如㑹卒也其見以如㑹卒何也鄭伯將㑹中國其臣欲從楚不勝其臣弑而死其不言弑何也不使夷狄之民加乎中國之君也	邵曰以其臣欲從楚故謂夷狄之民不欲使夷狄之臣得弒中國之君故去弑而言卒使若正卒然○見以賢徧反去起吕反
其地於外也其日未踰竟也日卒時葬正也	○踰竟音境
陳侯逃歸以其去諸侯故逃之也	鄭伯欲從中國而罹其凶禍諸侯莫有討心於是懼而去之背華即夷故書逃以抑之〇背音佩
八年春王正月公如晉○夏葬鄭僖公○鄭人侵蔡獲蔡公子濕	獲者不與之辭侵者所以服不義無相獲之道○公子濕本又作隰同音隰又音夑二十年同左氏作燮
人微者也侵淺事也而獲公子公子病矣○季孫宿㑹晉侯鄭伯齊人宋人衞人邾人于邢丘	邢丘地〇邢音刑
見魯之失正也公在而大夫㑹也	○見賢徧反
〇公至自晉○莒人伐我東鄙○秋九月大雩○冬楚公子貞帥師伐鄭○晉侯使士匄來聘九年春宋災外災不志此其志何也故宋也	故猶先也孔子之先宋人
夏季孫宿如晉○五月辛酉夫人姜氏薨	成公母
○秋八月癸未葬我小君穆姜○冬公㑹晉侯宋公衞侯曹伯莒子邾子滕子薛伯𣏌伯小邾子齊丗子光伐鄭十有二月已亥同盟于戲	戲鄭地○于戲許冝反
不異言鄭善得鄭也不致恥不能據鄭也	戲盟還而楚伐鄭故恥不能終有鄭
楚子伐鄭十年春公㑹晉侯宋公衞侯曹伯莒子邾子滕子薛伯𣏌伯小邾子齊丗子光㑹吴于柤	柤楚地○于柤莊加反
㑹又㑹外之也	五年㑹于戚不殊㑹今殊㑹吴者復夷狄故○復夷扶又反下不復皆同
○夏五月甲午遂滅傅陽	○傳陽左氏作偪陽
遂直遂也其曰遂何也不以中國從夷狄也	言時實吴㑹諸侯㓕傳陽恥以中國之君從夷狄之主故加甲午使若改日諸侯自滅傅陽滅卑國月此日蓋爲遂耳○爲于僞反
公至自㑹㑹夷狄不致惡事不致	夷狄不致恥與同惡事不致恥有惡
此其致何也	㑹吴㑹夷狄也滅傳陽惡事也據不應致
存中國也	以中國之君從夷狄之主而滅人之邑也此即夷狄爾是無中國也故加甲午使若改日諸侯自滅傳陽爾不以諸侯從夷狄也滅中國雖惡事自諸侯之一眚爾從夷狄而滅人則中國不復存矣○眚所景反
中國有善事則并焉	若中國有善事則不復言㑹諸侯改日遂㓕傅陽如僖四年諸侯侵蔡蔡潰遂伐楚是并焉○則并必性反又如字
無善事則異之存之也	諸侯㑹吴于柤甲午遂㓕傅陽是則若㑹與遂異人
汲鄭伯	汲猶引也鄭伯髠原爲臣所弑而不書弒此引而致於善事○汲音急
逃歸陳侯	鄬之㑹陳侯不㑹以其爲楚故言逃歸〇爲于僞反
致柤之㑹存中國也○楚公子貞鄭公孫輙帥師伐宋○晉師伐秦○秋莒人伐我東鄙○公㑹晉侯宋公衞侯曹伯莒子邾子齊丗子光滕子薛伯𣏌伯小邾子伐鄭	齊丗子光序滕薛之上盖驕蹇○蹇紀輦反
冬盗殺鄭公子斐公子發公孫輙稱盗以殺大夫弗以上下道惡上也	兩下相殺不志乎春秋惡鄭伯不能脩政刑致盗殺大夫也以上下道當言鄭人殺其大夫○斐芳尾反左氏作騑惡烏絡反
○戍鄭虎牢	不稱其人則魯戍也猶戍陳
其曰鄭虎牢决鄭乎虎牢也	二年鄭去楚而從中國故城虎牢不言鄭使與中國無異自爾巳來數反覆無從善之意故繫之於鄭决絶而棄外○數所角反覆芳服反
○楚公子貞帥師救鄭公至自伐鄭十有一年春王正月作三軍作爲也古者天子六師諸侯一軍作三軍非正也	周禮司馬法曰萬有二千五百人爲軍王六軍大國三軍次國二軍小國一軍其將皆命卿二千五百人爲師然則此言天子六師凡萬有五千人大國三軍則☰萬七千五百人諸侯制踰天子非義也揔云諸侯一軍又非制也昭五年經曰舎中軍傳曰貴復正也然則魯有二軍今云作三軍増置中軍爾魯爲次國於此爲明○將子匠反舎中音捨
夏四月四卜郊不從乃不郊夏四月不時也四卜非禮也○鄭公孫舎之帥師侵宋○公㑹晉侯宋公衞侯曹伯齊丗子光莒子邾子滕子薛伯𣏌伯小邾子伐鄭○秋七月已未同盟于京城北	盟謀更共伐鄭京城北鄭者〇京城左氏京作亳
公至自伐鄭不以後致盟後復伐鄭也	傳例曰巳伐而盟復伐者則以伐致盟不復伐者則以㑹致此言不以後致謂㑹在伐後○復扶又反
○楚子鄭伯伐宋公㑹晉侯宋公衛侯曹伯齊丗子光莒子邾子滕子薛伯𣏌伯小邾子伐鄭㑹于蕭魚	蕭魚鄭地
公至自㑹伐而後㑹不以伐鄭致得鄭伯之辭也	鄭與㑹而服中國喜之故以㑹致○鄭與音豫
楚人執鄭行人良宵行人者挈國之辭也	行人是傳國之辭命者○傳直專反
○冬秦人伐晉十有二年春王三月莒人伐我東鄙圍邰	蓋攻守之害深故以危録其月〇邰本又作台他來反又音臺
伐國不言圍邑舉重也	伐國重圍邑輕舉重可以包輕
取邑不書圍安足書也	不足書而今書蓋爲下事起〇爲于僞反
○季孫宿帥師救邰遂入鄆	鄆莒邑鄆音運
遂繼事也受命而救邰不受命而入鄆惡季孫宿也	○惡烏路反
夏晉侯使士魴來聘○秋九月吴子乗卒○冬楚公子貞帥師侵宋○公如晉十有三年春公至自晉○夏取邿	○邿音詩
秋九月庚辰楚子審卒	共王○共音㳟
冬城防十有四年春王正月季孫宿叔老㑹晉士匄齊人宋人衞人鄭公孫蠆曹人莒人邾人滕人薜人𣏌人小邾人㑹呉于向	向鄭地○蠆丑邁反向舒亮反
二月乙未朔日有食之○夏四月叔孫豹㑹晉荀偃齊人宋人衛北宫括鄭公孫蠆曹人莒人邾人滕人薛人𣏌人小邾人伐秦○己未衞侯出奔齊	諸侯出奔例月衎結怨于民自棄於位君弑而歸與知逆謀故出入皆日以著其惡〇與音豫
莒人侵我東鄙○秋楚公子貞帥師伐吴○冬季孫宿㑹晉士匄宋華閱衛孫林父鄭公孫蠆莒人邾人于戚	〇閱音悅
十有五年春宋公使向戍來聘	○向舒亮反戍音恤
○二月己亥及向戍盟于劉○劉夏逆王后于齊	劉采地夏名書名則非卿也天子無外所命則成故不言逆女〇劉夏户雅反注同
過我故志之也	○過音戈
夏齊侯伐我北鄙圍成公救成至遇	至遇而齊師巳退也遇魯地
○季孫宿叔孫豹帥師城成郛	郛郭○郛音孚
秋八月丁巳日有食之○邾人伐我南鄙○冬十有一月癸亥晉侯周卒十有六年春王正月葬晉悼公○三月公㑹晉侯宋公衞侯鄭伯曹伯莒子邾子薛伯𣏌伯小邾子于溴梁	湨梁地○溴古閴反
戊寅大夫盟湨梁之㑹諸侯失正矣諸侯㑹而曰大夫盟正在大夫也諸侯在而不曰諸侯之大夫大夫不臣也晉人執莒子邾子以歸〇齊侯伐我北鄙○夏公至自㑹○五月甲子地震○叔老㑹鄭伯晉荀偃衞寗殖宋人伐許○秋齊侯伐我北鄙圍成○大雩○冬叔孫豹如晉十有七年春王二月庚午邾子瞷卒	○􁃂音閑左氏作牼
○宋人伐陳○夏衞石買帥師伐曹○秋齊侯伐我北鄙圍防○九月大雩○宋華臣岀奔陳○冬邾人伐我南鄙十有八年春白狄來	不言朝不能行朝禮○朝直遥反
○夏晉人執衛行人石買稱行人怨接於上也	怨其君而執其使稱行人明使人爾罪在上也○其使所吏反下同
○秋齊侯伐我北鄙○冬十月公㑹晉侯宋公衞侯鄭伯曹伯莒子邾子滕子薛伯𣏌伯小邾子同圍齊非圍而曰圍	據實伐
齊有大焉亦有病焉	齊若無罪諸侯豈得同病之乎
非大而足同與	齊非大國諸侯豈足同共圍之與○同與音餘
諸侯同罪之也亦病矣	諸侯同罪大國是不量力必爲大國所讎則亦病矣
○曹伯負芻卒于師閔之也〇楚公子午帥師伐鄭十有九年春王正月諸侯盟于祝柯	前年同圍齊之諸侯也祝柯齊地○祝柯古河反注同
晉人執邾子公至自伐齊春秋之義巳伐而盟復伐者則以伐致	京城北之類是〇復扶又反下及注皆同
盟不復伐者則以㑹致	㑹于䔥魚之類是
祝柯之盟盟復伐齊與	怪不以㑹致〇與音餘
曰非也	不復伐齊
然則何爲以伐致也曰與人同事或執其君或取其地	同與邾圍齊而晉執其君魯取其地此與盟後復伐無異
取邾田自漷水	以漷水爲界○漷水火虢反又音郭水名
軋辭也	軋委曲隨漷水言取邾田之多○軋於八反
其不日惡盟也	○惡烏路反
○季孫宿如晉○葬曹成公○夏衞孫林父帥師伐齊○秋七月辛卯齊侯環卒○晉士匄帥師侵齊至榖聞齊侯卒乃還還者事未畢之辭也受命而誅生死無所加其怒不伐䘮善之也善之則何爲未畢也君不尸小事臣不專大名善則稱君過則稱己則民作讓矣士匄外專君命故非之也然則爲士匄者冝奈何冝墠帷而歸命乎介	除地爲墠於墠張帷反命于介介歸告君君命乃還不敢專也○墠音善介音界副使也
○八月丙辰仲孫蔑卒○齊殺其大夫髙厚○鄭殺其大夫公子嘉○冬葬齊靈公○城西郛〇叔孫豹㑹晉士匄于柯	柯地
○城武城二十年春王正月辛亥仲孫速㑹莒人盟于向	向莒邑○向舒亮反
夏六月庚申公㑹晉侯齊侯宋公衞侯鄭伯曹伯莒子邾子滕子薛伯𣏌伯小邾子盟于澶淵	澶淵衛地〇澶市然反
○秋公至自㑹○仲孫速帥師伐邾○蔡殺其大夫公子濕蔡公子履出奔楚○陳侯之弟光出奔楚諸侯之尊兄弟不得以屬通其弟云者親之也親而奔之惡也	顯書弟明其親也親而奔逐之所以惡陳侯○弟光左氏作黄惡烏路反
○叔老如齊〇冬十月丙辰朔日有食之○季孫宿如宋二十有一年春王正月公如晉○邾庻其以􁇀閭丘來奔以者不以者也	凱曰人臣無專禄以邑叛之道○􁇀音七閭力居反
來奔者不言岀舉其接我者也􁇀閭丘不言及小大敵也○夏公至自晉〇秋晉欒盈出奔楚○九月庚戍朔日有食之○冬十月庚辰朔日有食之○曹伯來朝	〇朝直遥反
公㑹晉侯齊侯宋公衞侯鄭伯曹伯莒子邾子于啇任	啇任某地〇任音壬
○庚子孔子生二十有二年春王正月公至自㑹○夏四月○秋七月辛酉叔老卒○冬公㑹晉侯齊侯宋公衞侯鄭伯曹伯莒子邾子滕子薛伯𣏌伯小邾子于沙隨〇公至自㑹○楚殺其大夫公子追舒二十有三年春王二月癸酉朔日有食之○三月已已𣏌伯匄卒	〇匄古害反
○夏邾卑我來奔	〇卑必二反
葬𣏌孝公○陳殺其大夫慶虎及慶寅稱國以殺罪累上也及慶寅慶寅累也陳侯之弟光自楚歸于陳	光反稱弟言歸無罪明矣
○晉欒盈復入于晉入于曲沃	曲沃晉地〇復扶又反
○秋齊侯伐衞遂伐晉○八月叔孫豹帥師救晉次于雍渝	雍渝晉地○雍於用反又如字渝羊朱反
言救後次非救也	惡其不遂君命而專止次故先通君命而後言次尊君抑臣之義鄭嗣曰次止也凡先書救而後言次㫮非救也僖元年齊師宋師曹師次于聶北救邢此師本欲止聶北遥爲之援爾隨其本意而書故先言次而後言救豹本受君命救晉中道不能故先言救而後言次若鄭伯未見諸侯而曰如㑹致其本意〇惡其烏路反下傳惡之同聶北不輙反中道丁仲反又如字
巳卯仲孫速卒○冬十月乙亥臧孫紇出奔邾其日正臧孫紇之出也	正其有罪
蘧伯玉曰不以道事其君者其岀乎	必不見容〇籧其居反
晉人殺欒盈惡之弗有也	不言殺其大夫是不有之以爲大夫
〇齊侯襲莒	輕行掩其不備曰襲○輕遣政反又如字
二十有四年春叔孫豹如晉〇仲孫羯帥師侵齊○夏楚子伐呉○秋七月甲子朔日有食之旣○齊崔杼帥師伐莒○大水○八月癸巳朔日有食之〇公㑹晉侯宋公衞侯鄭伯曹伯莒子邾子滕子薛伯𣏌伯小邾子于夷儀○冬楚子蔡侯陳侯許男伐鄭○公至自㑹○陳鍼冝咎出奔楚	○鍼其廉反咎其九反
○叔孫豹如京師○大饑五榖不升爲大饑	升成也
一榖不升謂之嗛	嗛不足貌〇嗛去簟反
二榖不升謂之饑三榖不升謂之饉	〇饉音近
四榖不升謂之康	康虚
五榖不升謂之大侵	侵傷
大侵之禮君食不兼味臺榭不塗	塗堊飾○榭音謝堊烏路反又烏洛反
弛侯廷道不除	弛廢也侯射侯也廢侯不燕射廷内道路不脩除○弛侯式氏反廷道徒佞反朝廷之道也一音庭
百官布而不制	官職脩列不可闕廢不更有造作
鬼神禱而不祀	周書曰大荒有禱無祀
此大侵之禮也二十有五年春齊崔杼帥師伐我北鄙○夏五月乙亥齊崔杼弑其君光莊公失言淫于崔氏	放言將淫崔氏爲此見弑也邵曰淫過也言莊公言語失漏有過於崔子而崔子弒之故傳載其致弒之由以明崔杼之罪甚○爲此于僞反下爲其同
〇公㑹晉侯宋公衞侯鄭伯曹伯莒子邾子滕子薛伯𣏌伯小邾子于夷儀○六月壬子鄭公孫舎之帥師入陳○秋八月己巳諸侯同盟于重丘	㑹夷儀之諸侯也重丘齊地○重直龍反
公至自㑹〇衞侯入于夷儀	夷儀本邢地衛滅邢而爲衛地
楚屈建帥師滅舒鳩	○屈居勿反
○冬鄭公孫夏帥師伐陳	○夏尸雅反
〇十有二月呉子謁伐楚門于巢卒以伐楚之事門于巢卒也	所以攻巢之門者爲其伐楚之事故也然則伐楚經巢〇子謁左氏作遏
于巢者外乎楚也	若但言伐楚卒而不言于巢者則卒在楚也言于巢則不在楚
門于巢乃伐楚也	先攻巢然後楚乃可得伐
諸侯不生名取卒之名加之伐楚之上者見以伐楚卒也其見以伐楚卒何也	據伐楚惡事無縁致本意○見賢徧反
古者大國過小邑小邑必飾城而請罪禮也	飾城者脩守備請罪問所以爲闕致師之意〇守備手又反或如字
吴子謁伐楚至巢入其門門人射呉子有矢創反舎而卒古者雖有文事必有武備非巢之不飾城而請罪非吴子之自輕也	非責○射食亦反創𥘉良反
二十有六年春王二月辛卯衞寗喜弑其君剽此不正其日何也殖也立之喜也君之正也	父立以爲君則子宜君之以明正也○君剽匹妙反
○衛孫林父入于戚以叛○甲午衞侯衎復歸于衞日歸見知弑也	書喜弑君衎可言歸衎實與弑故録日所以知其與弑者言辛卯弑君甲午便歸是待弑而入故得速也〇衎苦旦反一本作衍見知賢徧反實與音豫下同
夏晉侯使荀吴來聘○公㑹晉人鄭良霄宋人曹人于澶淵○秋宋公殺其丗子座	〇座在禾反
〇晉人執衞寗喜〇八月壬午許男寗卒于楚	宣九年九月辛酉晉侯黒臀卒于扈傳曰其日未踰竟也此乃在楚何以日邪隱三年八月庚辰宋公和卒傳曰日卒正也許男卒于楚則在外巳顯日卒明其正○竟音境
〇冬楚子蔡侯陳侯伐鄭○葬許靈公二十有七年春齊侯使慶封來聘夏叔孫豹㑹晉趙武楚屈建蔡公孫歸生衞石惡陳孔奐鄭良霄許人曹人于宋	○奐呼亂反
○衛殺其大夫寗喜稱國以殺罪累上也寗喜弑君其以累上之辭言之何也甞爲大夫與之渉公事矣	鄭嗣曰若獻公以喜有弑君之罪而殺之則不冝旣入以爲大夫而復殺之明以他故○復扶又反
寗喜由君弑君而不以弑君之罪罪之者惡獻公也	獻公即衎也鄭嗣曰書寗喜弒其君則喜之罪不嫌不明今若不言喜之無罪而死則獻公之惡不彰○惡獻烏路反
○衞侯之弟專出奔晉	○專左氏作鱄
專喜之徒也專之爲喜之徒何也巳雖急納其兄與人之臣謀弑其君是亦弑君者也專其曰弟何也	據稱弟則無罪○巳音紀
專有是信者	言君本使專與喜爲約納君許以寵賂今反殺之獻公使專失信故稱弟見獻公之惡也○見賢徧反
君賂不入乎喜而殺喜是君不直乎喜也故出奔晉織絇邯鄲終身不言衞	恥失信〇絇其俱反邯音寒鄲音舟
專之去合乎春秋	何休曰寗喜本弑君之家獻公過而殺之小負也專以君之小負自絶非大義也何以台乎春秋鄭君釋之曰寗喜雖弑君之家本專與約納獻公爾公由喜得入已與喜以君臣從事矣春秋襏亂重盟約今獻公背之而殺忠干己者是獻公惡而難親也獻公旣惡而難親專又與喜爲黨懼禍將及君子見幾而作不俟終日微子去紂孔子以爲上仁專之去䘙其心若此合于春秋不亦冝乎○與約如字又於妙反下同爲約于僞反本或作盟約背之音佩
○秋七月辛巳豹及諸侯之大夫盟于宋溴梁之㑹諸侯在而不曰諸侯之大夫大夫不臣也晉趙武恥之豹云者恭也	不舉氏姓
諸侯不在而曰諸侯之大夫大夫臣也其臣恭也晉趙武爲之㑹也○冬十有二月乙亥朔日有食之二十有八年春無冰○夏衞石惡出奔晉○邾子來朝	○朝直遥反
○秋八月大雩○仲孫羯如晉○冬齊慶封來奔十有一月公如楚○十有二月甲寅天王崩	靈王
○乙未楚子昭卒二十有九年春王正月公在楚閔公也	閔公爲楚所制故存録
〇夏五月公至自楚喜之也	凱曰逺之蠻國喜得全歸
致君者殆其往	殆危
而喜其反此致君之意義也○庚午衞侯衎卒○􁆻弑呉子餘祭􁆻門者也寺人也不稱名姓􁆻不得齊於人不稱其君􁆻不得君其君也禮君不使無恥不近刑人	無恥不知臧否○􁆻音昬守門人也祭側界反寺人本又作侍人不近附近之近下同否音鄙又方九反
不狎敵不邇怨賤人非所貴也貴人非所刑也刑人非所近也舉至賤而加之呉子呉子近刑人也􁆻弑呉子餘祭仇之也	怨仇餘祭故弑之○狎户甲反怨於願反又於元反仇音求
○仲孫羯㑹晉荀盈齊髙止宋華定衞丗叔儀鄭公孫段曹人莒人邾人滕人薛人小邾人城𣏌古者天子封諸侯其地足以容其民其民足以滿城以自守也𣏌危而不能自守故諸侯之大夫相帥以城之此變之正也	諸侯微弱政由大夫大夫能同恤災危故曰變之正
〇晉侯使士鞅來聘𣏌子來盟	𣏌復稱子蓋時王所黜○復扶又反
○吴子使札來聘	杜預曰吴子餘祭旣遣札聘上國而後死札以六月到魯夫聞䘮也不稱公子其禮未同於止國○札側八反
吴其稱子何也善使延陵季子故進之也身賢賢也使賢亦賢也延陵季子之賢尊君也	以季札之賢吴子得進稱子是尊君也
其名成尊於上也	春秋賢者不名而礼名者許夷狄不一而足唯成吴之尊稱直稱吴則不得有大夫〇尊稱尺證反
○秋九月葬衞獻公○齊髙止出奔北燕其曰北燕從史文也	南燕姞姓在鄭䘙之間北燕姬姓在晉之北史曰北燕據時然故不改也傅所言解時但有言有燕者○北燕音烟國名姞其乙反又其吉反
○冬仲孫羯如晉三十年春王正月楚子使薳罷來聘	聘例時此聘月之何也泰曰桓二年宋督弑其君與夷傳曰書王以正與夷之卒然則義有所明皆湏王以正之書王必上繫于春下統于月此書王以治蔡般弒父之罪爾非以録薳罷之聘○薳罷于委反下音皮與夷如字又音餘宋殤公名
○夏四月蔡丗子般弑其君固其不日子奪父政是謂夷之	比之夷狄故不日也丁未楚丗子啇臣弑其父傳曰日髠之卒所以謹商臣之弒也楚公子比弑其君傳曰不日比不弑般弒不日而曰夷之何也徐乾曰凡中國君正卒皆書日以録之夷狄君卒皆不日以略之所以别中國與夷狄夷狄弒君而日者閔其爲惡之甚謹而録之中國君卒例日不以弑與不弑也至于卒而不日者乃所以略之與夷狄同例○子舨音班本又作班髠苦門反以别彼列反
〇五月甲午宋災伯姬卒取卒之日加之災上者見以災卒也其見以災卒奈何伯姬之舎失火左右曰夫人少辟火乎伯姬曰婦人之義傅母不在宵不下堂	宵夜○見以賢徧反辟音避下同
左右又曰夫人少辟火乎伯姬曰婦人之義保母不在宵不下堂遂逮乎火而死婦人以貞爲行者也伯姬之婦道盡矣詳其事賢伯姬也	○逮音代又大計反行下孟反
○天王殺其弟佞夫傳曰諸侯且不首惡况於天子乎君無忍親之義天子諸侯所親者唯長子母弟耳天王殺其弟侫夫甚之也	○長丁丈反
○王子瑕奔晉	不言出周無外
○秋七月叔弓如宋葬共姬	共姬從夫之謚○共音恭
外夫人不書葬此其言葬何也吾女也卒災故隱而葬之也○鄭良霄出奔許自許入于鄭鄭人殺良霄不言大夫惡之也	○惡烏路反
〇冬十月葬蔡景公不日卒而月葬不葬者也卒而葬之不忍使父失民於子也	鄭嗣曰夫葬者臣子之事也景公無子不可謂無民無民則景公有失於民有民則罪歸於子若不書葬則嫌亦失民故曰不忍使父失民於子
○晉人齊人宋人衞人鄭人曹人莒人邾人滕人薛人𣏌人小邾人㑹于澶淵宋災故㑹不言其所爲其曰宋災故何也不言災故則無以見其善也其曰人何也救災以衆何救焉更宋之所䘮財也	償其所䘮財故雖不及災時而猶曰救災○所爲于僞反以見賢徧反更音庚償也䘮息浪反償時亮反
澶淵之㑹中國不侵伐夷狄夷狄不入中國無侵伐八年善之也晉趙武楚屈建之力也三十有一年春王正月○夏六月辛巳公薨于楚宫楚宫非正也	楚宫别宫名非路寢
○秋九月癸巳子野卒	襄公大子〇大音㤗
子卒日正也○已亥仲孫羯卒○冬十月滕子來㑹葬	書非禮
癸	_
酉	_
葬	_
我	_
君	_
襄	_
公	_
○	_
十	_
有	_
一	_
月	_
莒	_
人	_
弑	_
其	_
君	_
密	_
州	_
春	_
秋	_
榖	_
梁	_
卷	_
第	_
九	_
經	_
傳	_
肆	_
阡	_
陸	_
伯	_
捌	_
拾	_
玖	_
字	_
玖	_
拾	_
壹	_
字	_
音	_
義	_
玖	_
伯	_
零	_
單	_
肆	_
字	_
千	_
家	_
塾	_
