春官宗伯第三僉曰	七潛反皆也
南郷	許亮反下及注同
紛純	章允反劉之閏反司農音均下同
爲王	于僞反下爲布同
爲豳	彼貧反
縁也	恱絹反
藻率	音律下同
馮玉	皮冰反
蒲蒻	音弱
編以	必緜反
繢	胡内反
柔嚅	本或作懦又作擩同如兖反
甸役	音田注同
其柏	鄭音椁劉依司農音迫
用萑	音丸
每敦	音道劉音疇
藏中	才浪反
曰燾	音導
翌日	音翼劉音育
於祊	補庚反
天府守藏	手又反下才浪反
世傳	直專反
玉鎭	珍忍反又音珍
作瑱	他見反
琬	於阮反
琰	以冉反
天球	音求
賁鼓	扶云反
兊之	徒外反
垂之	如字劉音瑞
見衣	賢遍反
之治	直吏反下及注同
中	丁仲反下注同
沃盥	音管
朝于	直遥反
者與	音餘
數榖數	上所主反下所具反
下能	他來反
而上	時掌反
典瑞之藏	才浪反
以見	賢遍反下見於時見殷見同
繅藉	在夜反下同
以朝	直遥反注及後放此
韋衣	於旣反
薦申	如字下同一音箭
謂臿	初洽反或初輙反
杼上	除汝反
信圭	音身
瑑圭	直轉反
以覜	他弔反
有圻	魚斤反
鄂	魚各反
有邸	丁禮反又音帝
著其	直畧反
僢而	昌絹反
同柢	音帝
以肆	如字又他歷反注同
以挹	於十反又於集反
䘏彼	音瑟又作邲
取殺	色界反劉色例反下同
邸射	食亦反注同
以造	七報反
射剡	以冉反或囚冉反
度其	待洛反下度地度日同
地中	如字劉丁仲反
徴守	劉手又反注徴守同
王使之	所吏反下今使者亦王使於使者皆同
闓府	音開
袤	音茂
駔圭	音祖
以斂	力驗反注同
令汁	力呈反下令爲同
和難	乃旦反注同
及郯	音談
叚嘉	音遐本又作瑕亦作假皆同
結好	呼報反注同
易行	下孟反注同
除慝	吐得反
飯玉	扶晩反注同
含玉	戸暗反
柱左	張注反
右顚	如字儀禮作齻音同
典命樊纓	畔干反
介牢	音界
適子	丁歷反
則下	遐嫁反
射姑	音亦
司服鷩	必滅反劉府弊反
毳	昌銳反劉淸歳反
希冕	本又作絺陟里反劉猪履反注下皆同
不窋	張律反
諸盩	直留反或音胄
裨衣	婢支反又方支反
罽衣	居例反
作繢	胡對反
作黹	張里反
希刺	七亦反劉七賜反沈此擊反下同
以韎	劉音妹又莫拜反
衣韎	於旣反
之跗	方符反又音附
注	之樹反
緹衣	音體戚音提
眂朝	音視
凡甸	音田注同
斬衰	七雷反下皆同
齊	音咨
此近	附近之近
作􁃌	音弁
爲天	于僞反下及注除爲害一字皆同
滑易	以豉反
去其	起吕反下同
縞冠	古老反劉剛操反
其齊	側皆反注士齊同
有	音儒本亦作𥜗
而屬	音燭
是廣	古曠反後廣袤同
其袪	起吕反
以上	時掌反
侈之	昌氏反
斂衣	力驗反
廞衣	虚今反
典祀而蹕	音畢
遮列	章奢反
令入	力呈反
守祧􁇠	於糾反司農音幽
堊	烏路反或烏洛反本或作惡同
其隋	許恚反劉相恚反
世婦比其	本亦作庇鄭毗志反注及下同司農匹氏反劉芳美反沈又上二反
齍盛	音咨下文同
相外	息亮反
朝莫	音暮下同
而呵	胡何反
譴也	弃戰反
内宗佐傳	直專反注同
則從	才用反
外宗羞齍	音咨
不與	音預注同
冢人夾處	古洽反劉古協反
亦併	薄令反
別尊	彼列反
請度	待洛反注量度同
之窆	彼驗反又補鄧反
去碑	起吕反
以咸	本又作緘同古鹹反
巾車	如字劉居覲反
猶語	魚據反下同
俑者	音勇
以涖	音利又音類
職喪贈賵	芳鳳反
齍號	音咨
宗伯下大司樂瞽宗	音古瞽宗殷學
命夔	求龜反
育子	音胄本亦作胄
泮宫	音判本亦作頖同
興道	許應反劉虛甑反注同下音導
諷誦	方鳳反
以剴	古愛反劉古哀反
倍文	音佩
大卷	大劉皆音泰戚如字卷音權又眷勉反又居遠反沈又居勉反
大㲈	上昭反
大濩	戸故反
共財	音恭
能殫	時戰反
傅土	音孚或音附
其邪	似嗟反
以說	音恱
其長	如字
上生	時掌反後上生皆同
去一	起吕反下文去樂及注同
度律	待洛反
謂徧	音遍
物鬽	眉兾反
羽臝	力果反下臝物同
戛擊	居八反劉古八反
鳴球	音求
搏	音博
拊	芳甫反
鼗	徒刀反
柷	昌六反
敔	本又作梧魚吕反
以閒	閒厠之閒
牄牄	本又作蹌七羊反
於予	上如字劉音烏下羊汝反
效應	應對之應後皆同不更音
夏正	音征
大蔟	音太下七豆反下同
四竇	本又作瀆同音獨
樂與	音餘
𬎼賔	人誰反
函鍾	胡南反函鍾林鍾也
中吕	音仲亦如字後同
姜嫄	音元本亦作原
所妃	音配本亦作配
閟宫	音祕
無射	音亦注下同
夾鍾	古洽反
圜鍾	于權反
被也	皮寄反
介物	音界
大蜡	七嫁反
易致	以豉反
孔竅	苦弔反
蛤蟹	古荅反
之分	扶問反
之知	音智
爲畜	許又反下同
魚鮪	于軌反
不淰	音審
不矞	休律反本又作獝亦作同
不狘	休越反
爲角	如字古音鹿
爲徴	張里反下同
靁	音雷
九㲈	依字九音大諸書所引皆依字
崐崘	本又作混淪各依字讀
而祼	古亂反
嚳	苦篤反
大辰	如字劉音泰
輿鬼	音餘本亦作與
辟之	音避下同
宿縣	音玄下樂縣之類皆放此
屍出	音尸本亦作尸
騶虞	側留反
召南	上照反下召南同
挾矢	子協反又音協
三侑	音又勸也
敗楚	必邁反
城濮	音卜
大傀	劉九靡反舊音怪說文以爲傀偉之字解引此文字林公回反李一音杜回反
㑹稽	古外反
沂山	魚依反
雍州	於用反
奔霣	于敏反
猶繹	音亦
大札	側八反鄭音截
令弛	式氏反
哀樂	音洛
廞樂	許金反
興也	許應反後皆放此
鎛師	音博
樂師幼少	詩照反
舞勺	章畧反
帗	音拂一音弗
作䍿	音皇
析羽	星歷反下同
氂牛	舊音毛劉音來沈音狸或音茅字或作犛或作斄皆同
旱暵	呼旦反
趨以	劉淸須反
采齊	本又作薺徐私反
朝廷	直遥反下同
作跢	倉注反
鼓陔	改才反
撞黃	直江反
采蘋	音頻
采蘩	音煩
毋怠	音無下同
視瞭	音了
令相	息亮反注及下同
冕見	賢遍反下注同
饗食	音嗣下注䟽食同凡言饗食皆放此
遂倡	昌亮反
治訟	直吏反
大胥之版	音板
之酎	直救反
適子	丁歷反
以上	時掌反下六上同
舎采	音釋下音菜注同
䟽食	所居反劉音蘇
以下	戸嫁反
曲折	之設反
爲大	于僞反
不紕	匹毗反劉博雞反
比樂	劉如字下同比校也杜毗志反次比也鄭大夫匹婢反具也
爲庇	匹婢反
陳數	所主反
大昕	音欣
小胥鱑	古橫反本或作觥同
兕	徐履反
其觩	巨樛反
而撻	吐達反
抶也	勑乙反又勑栗反
荆扑	普卜反
士犆	音特本亦作特
筍	息允反
簴	音巨
去其	起吕反下同
繁纓	歩干反
以朝	直遥反
辟王	音避
爲堵	丁古反
大師匏	白交反
玄枵	虛驕反
娵	子榆反
訾	子斯反
大梁	如字劉音泰
降婁	戸江反
貿處	音茂
取妻	七喻反
土塤	虚袁反
曰興	虚應反注皆同
治道	直吏反下治功皆同
言鋪	普吳反又音孚
爲之	于僞反下爲之爲作皆同
歌邶	歩内反
知仁	音智
擊拊	音撫
鼓􁇭	音胤小鼓也
道	音導
引之引	並音胤
授將	子匠反下同
士卒	子忽反下同
大呼	火故反
數怒	所角反
之行	下孟反下同
小師摇之	音遥本亦作摇
飴	以之反
餳	辭盈反李音唐
漆筩	音動
有椎	直追反
六空	音孔
箎	音馳
􁌀	音狄
併兩	薄冷反
令奏	力呈反
應鼙	薄西反
喪與	音預
其和	戸臥反注同
錞于	音淳本或作淳
瞽矇世奠	音定
繫	戸計反注同
以刺	七賜反
瞍賦	素口反
德行	下孟反
怵懼	勑律反北本作休
眡瞭擊頌	衆家不音當依字戚音容
相瞽	息亮反注同
鼜	音戚
愷樂	音洛
疾數	音朔
典同聲䃂	古本反或胡本反
陂聲	彼義反
聲韽	劉音闇又於瞻反鄭於貪反戚於感反李烏南反
侈聲	昌氏反又式氏反
筰	側百反
弇	沈戚音掩劉於驗反
甄	音震注同
作硍	音艱又苦耕反字林音限云石聲
鏗	苦耕反
鎗	初衡反劉初耕反
唶唶	側百反
短罷	皮買反字或作矲音同桂林之間謂人短爲矲矮矮音古買反
䳺	烏南反
當䠋	音婢李又孚葵反一音豐巳反或音蒲年反
正傭	勑龍反
形大上	大音泰下形大下大厚同舊菟佐反上音時掌反
飛鉆	張林反又其廉反戚或音沾劉又渠金反說文云鐵鋷也一曰膏車鐵鉆銸音竹渉反
涅	乃結反劉其兼反
鴻殺	色介反舊色例反
約也	舊如字戚於敎反
掉也	徒弔反劉奴較反
之齊	才計反注同
廣	古曠反
長也	直亮反
磬師敎縵	莫半反杜音慢
學操	七曹反
鍾師夏納	本或作納夏
齊夏	側皆反本又作齋
祴夏	音陔古哀反
鷔夏	五羔反劉五到反
使臣	色吏反
與聞	音預
繁遏	於葛反
執傹	音競詩作競
穰穰	如羊反
合好	呼報反
和之	胡臥反
笙師龡	昌垂反
竽	音于
舂牘	音獨或大録反
七空	音孔下同
髤	香牛反或七利反
鞔之	莫干反
鎛師以鼖	扶云反
將趨	左傳作掫音莊九反杜注云行夜
籥章豳	彼貧反注邠同
蒯	苦對反劉苦壞反
桴	音孚
伊耆	又作帆􁆃二皆音耆
中春	音仲下同
以樂	音洛
田畯	音俊
饁	于輒反劉于法反
而索	色白反
爲其	于僞反
勞農	力報反
穫稻	戸郭反
躋堂	子兮反
無疆	居良反
鞮鞻氏曰任	音壬下同
典庸器博選	胥兖反
從者	子容反
爲鐻	音距舊本作此字今或作虡
大卜三􁎂	音兆亦作兆
之舋	舊許靳反沈一依聶氏音問云依字一作璺璺玉之坼也龜兆文似之占人注同
鏬	劉火嫁反又音呼坼之呼
謂繇	直又反下同
又重	直用反
坼也	勑白反
曰濟	節細反又才禮反
曰圛	音亦
曰蟊	音濛劉莫溝反沈音謀
揲	時設反劉音舌
虙	音服
戲	本又作虧音羲
重之	直龍反
三􁎃	音夢本多作夢
觭夢	居綺反注掎同又紀冝反杜其冝反
咸陟	如字或音得
作緷	胡本反字林云大束也說文音運云緯也聶音徽
爲煇	音運
視祲	子鴆反
曰瘳	勑留反
以命龜	命亦作令
謂菑	音災
見吉	賢遍反
鮒也	音附左傳作魴
演其	以善反
視髙	音示下同
冢適	丁歷反
竟界	音境
疆	居良反
鄆田	音運
骨近	附近之近
令可	力呈反
爇也	人恱反
龜燋	哉約反
西塾終	如字又音祈
乃舎	音釋注舎萌同
萌	亡耕反
去故	起吕反
始難	戚乃多反劉依杜乃旦反注以意求之儺字亦同
磔	陟百反
禳	如羊反
眡祲十煇	音運
炁也	音氣本亦作氣
曰鑴	鄭許規反劉思隨反或下圭反
曰瞢	亡鄧反
曰隮	子兮反
反郷	許亮反
如暈	音運本亦作煇音同
白虹	音洪又古巷反劉古項反
則弊	必世反下注同
斷	丁亂反
大祝六祝	之秀反後除大祝宗祝諸官皆同以意求之
永長	如字
遠罪	于万反
曰造	七報反注下皆同
禬	戚古外反劉音㑹
禜	音詠
祈嘄	音叫劉音禱
爲有	于僞反
號	戸羔反
呼	火故反
作見	賢遍反
是禡	莫駕反
縈社	烏營反
炤炤	章摇反
瀐滅	子廉反
四曰㑹	如字注同
禆	婢支反
諶	市林反
蒯	苦怪反
聵	五怪反
在難	乃旦反
自佚	音逸
德行	下孟反
閔天	音旻武巾反
不憖	魚覲反
嬛嬛	求營反
在疚	九又反
尼父	音甫
奐焉	音喚
九京	音原
齍號	音咨
美稱	尺證反
大武	如字劉音泰
剛鬣	力輒反
香其	音基
嘉䟽	所魚反劉音蘇
衍祭	音延
炮祭	百交反兼也劉依司農白交反
擩祭	而泉反一音而劣反劉又而誰反
繚祭	音了劉音料
共祭	音恭注同
虞芮	人劣反又而歳反下同
爲坐	才卧反
從持胏	劉沈皆子容反今本或無持字從則如字
禮殺	色界反劉色例反
左郤	去逆反又起略反
執食	音嗣
猶徧	音遍下同
九􁅛	音拜下同
䭫首	音啓本又作稽
振動	如字李依本夫音董杜徒弄反今俀人拜以兩手相擊如鄭大夫之說蓋古之遺法
竒􁅛	紀冝反
褒􁅛	音報
享右	音又勸也
相近	附近之近
哀慟	徒弄反
倚拜	於綺反下同
撎	於立反即今之揖
爲事	于僞反
使者	所吏反
朝獻	直遥反
大禋	音因
司烜	況彼反
爲祊	必庚反
隋釁	許規反又思恚反後同
右亦	音又
令皐	臯音嘷戸髙反劉戸報反
爲卒	劉子忽反
噑呼	火故反
相尸	息亮反下同
渳	彌爾反
相飯	扶晚反
賛斂	力驗反
付練	付音附出注
復	他兮反
猶語	魚據反下同
祓社	芳弗反劉音廢
以從	才用反一音如字下注同
舎奠	音釋一音赦
山川與	音餘
小祝彌烖	依注音敉亡爾反下注同
遠辠	于万反
熬	五羔反
爲名	音銘下取名同
緽末	勑貞反
竹杠	音江
重木	直龍反下同
粥	之六反又音育
盛以	音成
二鬲	音歷
可別	彼列反
識識	並傷志反一讀下識如字
斯盡	津忍反
蚍	音毗
蜉	音浮
四種	章勇反下同
西坫	丁念反
道齎	音咨
遣奠	弃戰反
作禩	音祀
無令	力呈反下令可同
喪祝爲披	彼寄反下同
倡帥	昌亮反
傾戲	音虧
菆塗	才官反
龍楯	勑倫反
及朝	直遥反注皆同
御匶	音舊
離其	力智反下同
飯於	扶晚反
還車	音旋一音回
郷外	許亮反
執翿	音導
與更	音庚
說載	吐活反注同劉詩恱反
去棺	起吕反
四歰	所甲反本亦作翣
安錯	七故反
便其	婢面反
窆	彼驗反劉補鄧反
桃厲	劉音例記作茢黍苕穰也音例亦音列
惡之	烏路反
亳社	歩博反
而棧	劉才産反一音士諫反
甸祝表貉	莫駕反注禡同
甸以	音田下文同
舎奠	音釋下同
乃屬	音燭
饁	于輒反
禂牲	音誅一音禱
別其	彼列反
爲馬	于僞反下同
今侏	音誅字林音朱
司巫巫尪	烏黃反
共匰	音丹
及蒩	子都反
爲鉏	子都反下同
鉏藉	慈夜反下同
租飽	劉上音緅又音卷下音苞又音弭沈租音子餘反
茅裹	音果
爲神	于僞反
刌茅	音忖
守瘞	於例反
下禓	音傷
男巫望衍	依注音延
爲之	于僞反
爲矰	音曽
彌兵	與弭同及敉皆亡氏反
女巫上巳	音祀
旱暵	呼旱反
繆公	音穆
縣子	音玄
暴巫	蒲卜反
大史之治	直吏反下及注其治同
爲王	于僞反下爲有同
厎日	音旨
于朝	直遥反下同
攷焉	音考
爭訟	爭鬪之爭
則辟	婢亦反劉芳益反注同
抵冒	丁禮反
中數	所主反下同
作叶	音協
爲汁	音執又音協劉子集反
與大師	音泰注大師同
抱式	劉音勑今俗音如字
焉知	於虔反
夾日	古洽反劉古協反
當先	悉薦反
遣之	弃戰反注同
其行	下孟反
舎算	音釋
以盛	音成
中則釋	丁仲反
於竟	音境
小史奠	音定
繫世	户計反注同
昭穆	如字或作巶音韶
校比	毗志反
馮相氏	音憑下息亮反
以㑹	如字注同
以見	賢遍反下皆同
南譌	五和反
直某	音值
保章氏文識	音志又音試又如字下同
運	本又作煇又作暈音同
朓	他了反晦而月見西方
側匿	女力反劉吐則反朔而月見東方曰側匿亦名肭肭女六反
有分	扶問反注同
參爲	所林反
娵訾	上子須反下子斯反
降婁	戸江反
彗	似歳反又息遂反
孛	音佩
之相	息亮反下同
内史八柄	本又作枋兵病反
王治	直吏反下同
興父	音甫
逖	吐歷反
王慝	吐得反
食九	音嗣下同
牘也	音獨
外史令下	戸嫁反
之乗	繩證反
檮	徒刀反
杌	五忽反
三墳	扶云反
使于	所吏反注同
御史之治	直吏反注及下凡治同
數凡	所主反
見在	賢遍反
巾車錫	音陽
樊纓	歩干反下同
二斿	音留
鞶	歩干反
三重	直龍反
罽	居例反
爲縿	所銜反又所廉反
則屬	音燭
大旂	其依反
以賔	如字劉沈方刃反
婁頷	尺感反
率以	音律又音類
以朝	直遥反注皆同
龍勒	如字戚音尨
條纓	依注作絛他刀反
鞔	莫干反
前樊	依注作翦子踐反淺也
鵠纓	戸篤反
重翟	直龍反注同
朱緫	作動反
厭翟	於渉反注同
繢	戸對反
鷖	烏兮反劉烏計反
坐乗	繩證反下坐乗皆同或如字
爲䌆	戚云檢字林蒼推及說文皆無此字衆家亦不見有音者唯昌宗音廢以形聲㑹意求之實所未了當是廢而不用乎非其音也李兵廢反本或作緦恐是意改也
作繄	烏兮反
著馬	直略反
兩鑣	表驕反
幨車	昌廉反
幢容	本亦作潼詩注作童皆音同
衡輨	劉音管一音胡瞎反
謂蔽	劉音弗下及文並同一音必世反
見於	賢遍反下同
去飾	起吕反下去戈去毛同
有握	劉音屋下馬皆作幄烏學反沈云劉音非
軿車	薄經反
連車	音輦本亦作輦
組	音祖
輓	音晚
有翣	所甲反
從容	七容反
爲輇	市專反
爲翳	烏帝反
爲䭷爲	並音獵䭷或音毛
五乗	繩證反下五乗同
犬䄙	莫歷反
尾櫜	沈音羔劉姑道反
謂蠃	魯火反劉又音果
覆笭	力丁反劉又音泠
爲揟	本又作偦同思如反
之弢	吐刀反
之縁	恱絹反下同
攝菔	音服
虎賁	音奔
子釗	古堯反又音昭
棼蔽	扶云反
堊車	烏路反又烏洛反
爲薠	扶文反
作􁍱	音揔又音藻李一音倉㑹反
雚	音丸
髤飾	香求反
爲	音次
爲桼	音七
垸之	胡翫反
豻䄙	五旦反胡犬也
此禫	直感反
夏篆	音瑑直轉反
縵	莫干反
棧車	才産反又仕板反
有約	如字又於貌反下同
方箱	息羊反
散車	素旱反
輜車	側其反
有沽	音古
入齎	音咨
以償	時讓反
遣車	弃戰反注同
從車	才用反注同
弊車	婢世反
不任	音壬
以和	胡卧反下相應和同
警衆	音景
爲軨	音零劉音領
典路用說	書銳反舎車也注及下駕說并注同
有朝	直遥反下同
趣馬	倉口反
贅路	章銳反又作綴張衞反
左塾	音孰
上計	時掌反
屬車	音燭
路從	才用反注及下注同
車僕之萃	七内反副也下及注同
廣車	古曠反注同
苹車	薄經反又薄田反
輕車	遣政反注同
橫陳	直刃反下同
猶屏	并領反又薄經反
公喪	息浪反
四十乗	繩證反下千乗乗車同
爲軿	薄經反
司常爲旜	之然反
鳥隼	息允反
爲旟	音餘
爲旐	音兆
爲旞	音遂
徽識	式志反又音志又昌志反下同
所被	普皮反又皮寄反
著絳	丁畧反又直畧反
大閱	音恱
升朝	直遙反下朝各就同
扞難	乃旦反
辟害	音避
題別	彼列反下相別同
亡則	音無
解說	吐活反
弊之	婢世反劉薄計反
仆之	薄北反一音赴
甸亦	音田
獲旌	如字李一音胡霸反
都宗人之壝	唯癸反劉欲鬼反
祠	本亦作禱丁老反一音丁報反
報塞	西代反
家宗人居句	紀慮反下紀具反
繭栗	工典反
齊肅	側皆反
其知	音智
曰覡	胡歷反李胡隔反
令此	力呈反
物鬽	眉祕反
以禬	依注胡對反劉又戸外反
之札	側八反又音截
於墠	音善
螭鬽	勑知反
