J	經典釋文卷二
F	頻忍反
C	徐邈
F	扶忍反
C	又
F	扶允反
E	有攸
C	音由所也
E	喪_朋
F	息浪反
C	馬云失也下及注並同
E	必離_
F	力智反
E	无疆_
C	或作壃同
F	居良反
C	下及注同
E	必爭
C	爭鬬之爭
E	履霜
C	如字鄭讀履為禮
E	積著_
F	張慮反
C	衆經不音者皆同
E	始凝_
F	魚氷反
E	馴
F	似遵反
C	向秀云從也徐音訓此依鄭義
E	任_其
F	而鴆反
C	衆經皆同
E	知光
C	音智注同
E	不擅_
F	善戰反
C	専也
E	括
F	古活反
C	結也方言云閉也廣雅云塞也
E	囊
F	乃剛反
E	无譽
C	音餘又音預
E	不造_
F	七到反
C	又
F	曹早反
E	否
F	皮鄙反
E	閉
F	必計反
C	字林
F	兵結反
C	云闗也
E	施慎
C	並如字慎謹也象詞同本或作順非
E	之飾_
F	申職反
C	本或作飾俗字
E	坤至柔
C	本或有文言曰者
E	為邪_
F	似嗟反
E	餘殃_
F	於良反
C	鄭云禍惡也説文云凶也
E	臣弑_
F	式志反
C	本或作殺音同下同
E	由辯
C	如字馬云别也荀作變
E	言順
C	如字
E	直方大不習无不利則不疑其所行
C	張璠本此上有易曰衆家皆無
E	木蕃_
F	伐袁反
E	而暢_
F	勑亮反
E	隂疑
C	如字荀虞姚信蜀才本作凝
E	為_其
F	于偽反
C	注為其同
E	嫌
F	户謙反
C	注同鄭作謙荀虞陸董作嗛
E	未離_
F	力智反
E	gua屯_
F	張倫反
C	難也盈也坎宫二世卦
E	則否_
F	備鄙反
E	得主則定
C	本亦作則寜
E	而難_
F	乃旦反
C	卦内除六二注難可餘並同賈逵注周語云畏憚也
E	天造_
F	徂早反
C	注同
E	草昧
C	音妹廣雅云草造也董云草昧微物
E	而不寧
C	而辭也鄭讀而曰能能猶安也
E	經論
C	音倫鄭如字謂論撰書禮樂施政事黄頴云經論匡濟也本亦作綸
E	磐
C	本亦作盤又作槃
F	歩千反
E	桓
C	馬云槃桓旋也
E	晏_安
C	本又作宴各依字晏
F	一諫反
C	宴
F	一見反
E	下_賤
F	遐嫁反
E	屯如
C	子夏傳云如辭也
E	邅_如
F	張連反
C	馬云難行不進之貌
E	乗_馬
F	繩證反
C	四馬曰乗下及注並同鄭云馬牝牡曰乘子夏傳音繩
E	班如
C	如字子夏傳云相牽不進貌鄭本作般
E	媾
C	古后反馬云重㛰本作冓鄭云猶㑹本或作構者非
E	相近
C	附近之近下近五同又如字
E	即鹿
C	王肅作麓云山足
E	君子幾
C	徐音祈辭也注同又音機近也速也鄭作機云弩牙也
E	如舍_
F	式夜反
C	止也注下同徐音捨
E	往吝_
F	力刃反
C	又
F	力慎反
C	馬云恨也
E	雖比_
F	毗志反
C	下皆同
E	之易_
F	以䜴反
E	不揆_
F	葵癸反
E	以從_
C	如字鄭黄
F	于用反(?)
E	合好_
F	呼報反
C	下同
E	恢_（弘）
F	苦回反
C	大也
E	博施_
F	式豉反
C	及下文皆同
E	拯
C	拯救之拯
E	亨于
C	許庚反
E	他間
C	間厠之間
E	漣如
C	音連説文云泣下也
E	應援_
F	于眷反
C	又音袁
E	闉
C	音因塞也春秋傳云當陳隧者井堙木刋是也
E	厄
F	於革反
C	又
F	於賣反
E	委仰_
C	如字又
F	魚亮反
E	長_也
F	直良反
E	gua蒙_
F	莫公反
C	蒙蒙也稚也稽覽圖云無以敎天下曰蒙方言云蒙萌也離宫四世卦
E	童
C	如字字書作僮鄭云未冠之稱廣雅云癡也
E	筮
F	市制反
C	決也鄭云問
E	告
F	古毒反
C	示也語也
E	再三_
F	息暫反
C	又如字
E	瀆
C	音獨亂也鄭云䙝也
E	則復_
F	扶又反
E	能斷_
F	丁亂反
E	夫疑
C	音扶六五注同
E	時中_
F	張仲反
C	注時中決中同又如字和也
E	童蒙求我
C	一本作來求我
E	不諮
C	本亦作咨又作資並通
E	果行_
F	下孟反
C	注及六三注象同
E	用説_
F	吐活反
C	注同徐又音税
E	桎
C	音質
E	梏
F	古毒反
C	在足曰桎在手曰梏小爾雅云杻謂之梏械謂之桎杻音丑
E	所惡_
F	烏路反
E	包蒙
C	如字鄭云苞當作彪彪文也
E	用取_
F	七住反
C	本又作娶下及注同
E	獨逺_
F	于万反
C	下文同
E	能比_
F	毗志反
E	以巽
C	音遜鄭云當作遜
E	擊_蒙
F	經厯反
C	王肅云治也馬鄭作繫
E	擊去_
F	起呂反
C	下同
E	為_之
F	于偽反
C	又如字
E	扞
F	胡旦反
E	禦
F	魚吕反
C	本又作衛
E	gua需
C	音須字從雨重而者非飲食之道也訓養鄭讀為秀解云陽氣秀而不直前者畏上坎也坤宫遊魂卦
E	有孚
C	徐音敷信也又作敷
E	光
C	師讀絶句
E	亨貞吉
C	一句馬鄭揔為一句
E	不陷
C	䧟没之陷
E	位乎
C	如字鄭音涖
E	雲上_
F	時掌反
C	干寳云升也
E	於天
C	王肅本作雲在天上
E	宴
F	烏練反
C	徐
F	烏殄反
C	安也下同鄭云享宴也李軌
F	烏衍反
E	樂
C	音洛注同
E	最逺_
F	袁万反
C	下逺險同
E	於難_
F	乃旦反
C	下及注皆同
E	利用恒未失常也
C	本亦冇无咎者
E	于沙
C	如字鄭作沚
E	轉近
C	附近之近
E	後_時
F	胡豆反
E	衍_在
F	以善反
C	徐
F	怡戰反
E	致寇
C	如字鄭王肅本作戎
E	則辟
C	音避下同
E	已得
C	音紀又音已
E	所復_
F	扶又反
E	不速
C	如字馬云召也釋詁云疾也釋言云徴也召也
E	gua訟_
F	才用反
C	爭也言之於公也鄭云辯財曰訟離宫遊魂卦
E	窒
F	張栗反
C	徐
F	得悉反
C	又
F	得失反
C	馬作咥云讀為躓猶止也鄭云咥覺悔貌
E	惕
F	湯厯反
C	王注或在惕字上或在下皆通在中吉下者非
E	中
C	如字馬
F	丁仲反
E	吉
C	有孚窒一句惕中吉一句
E	渉難_
F	乃旦反
E	猶復_
F	扶又反
C	下同
E	不枉_
F	紆往反
E	而令_
F	力呈反
E	正夫
C	音符下注同
E	斷_不
F	丁亂反
C	下注並同
E	契_之
F	苦計反
C	下同
E	其分_
F	符問反
E	相濫_
F	力暫反
E	爭何
C	爭鬬之爭
E	隂和_
F	胡臥反
E	而逋_
F	補呉反
C	徐
F	方呉反
E	眚
F	生領反
C	子夏傳云妖祥曰眚馬云災也鄭云過也
E	下_物
F	遐嫁反
E	竄
F	七亂反
C	徐_又
F	七外反
C	逃也
E	掇
C	徐
F	都活反
C	説文云拾取也鄭本作惙_
F	陟劣反
C	憂也
E	忤_也
F	五故反
E	復即
C	音服後同者更不音
E	渝
F	以朱反
C	變也馬同鄭云然也
E	不邪_
F	似嗟反
E	錫
F	星厯反
C	又
F	星自反
C	賜也
E	鞶
F	歩干反
C	馬云大也徐云王肅作槃
E	(帶？)
C	音帶亦作帶
E	終朝
C	馬云旦至食時為終朝
E	三
F	息暫反
C	注同或如字
E	褫
C	徐
F	敇紙反
C	又
F	直是反
C	本又作褫音同王肅云解也鄭本作拕
F	徒可反
E	gua師
C	彖云衆也馬云二千五百人為師坎宫歸魂卦
E	貞丈人
C	絶句丈人嚴莊之稱鄭云能以法度長於人
E	之稱_
F	尺證反
E	以王
C	如字物歸往也徐又
F	往況反
E	毒
F	徒篤反
C	役也馬云治也
E	畜_衆
F	敕六反
C	聚也王肅
F	許六反
C	養也
E	否
C	音鄙惡也注同馬鄭王肅
F	方有反
E	臧
F	作郎反
C	善也
E	三錫_
F	星厯反
C	徐音賜鄭本作賜
E	天寵
C	如字鄭云光耀也王肅作龍云寵也
E	背髙
C	音佩
E	有禽
C	徐本作擒
E	長_子
F	丁丈反
C	注及下同
E	軍帥_
F	色類反
E	gua比_
F	毗志反
C	卦内並同彖云輔也序卦云比比也子夏傳云地得水而柔水得地而流故曰比徐又
F	補履反
C	坤宫歸魂卦
E	凶邪_
F	似嗟反
E	求有
C	本亦作求得
E	其炎_
F	于亷反
E	缶
F	方有反
C	瓦器也鄭云汲器也爾雅云盎謂之缶
E	有它_
F	敇多反
C	本亦作他
E	匪_人
F	非鬼反
C	馬云匪非也王肅本作匪人凶
E	三驅_
F	匡愚反
C	徐云鄭作敺馬云三驅者一曰乾豆二曰賔客三曰君庖
E	狹_矣
F	戸夾反
E	舍
C	音赦又音捨
E	背已
C	音佩
E	則射_
F	食亦反
E	惡_而
F	烏路反
E	舍逆
C	音捨
E	gua小畜_
C	本又作蓄同
F	敕六反
C	積也聚也卦内皆同鄭
F	許六反
C	養也巽宫一世卦
E	施_未
F	始豉反
C	注皆同
E	陽上_
F	時掌反
E	蒸
F	職膺反
E	車説_
F	吐活反
C	下文并注並同説文云解也
E	輻也
C	音福
E	雖復_
F	扶又反
C	上九注同
E	輿
C	音餘
E	輻
C	音福本亦作輹音服馬云車下縛也鄭云伏莬
E	隂長_
F	丁丈反
C	下同
E	血
C	知字馬云當作恤憂也
E	去
F	起吕反
C	注同
E	亦惡_
F	烏路反
C	履卦同
E	攣
F	力専反
C	馬云連也徐又
F	力轉反
C	子夏傳作戀云思也
E	幾
C	徐音祈又音機注同子夏傳作近
E	唯泰也則然
C	一本作然則讀即以也字絶句
E	有難_
F	乃旦反
E	可盡_
F	津忍反
E	gua履_
F	利恥反
C	禮也艮宫五世卦
E	咥
F	直結反
C	齧也馬云齕
E	説而
C	音悦注及後同
E	行夫
C	音符下同
E	佞邪_
F	似嗟反
E	疚
F	久又反
C	馬云病也陸本作疾
E	坦坦_
F	吐但反
C	説文云安也廣雅云平也明也蒼頡篇云著也
E	不憙_
F	虚備反
C	又音喜
E	險厄_
F	於革反
C	又作戹
E	眇
F	妙小反
C	字書云盲也説文云小目
E	跛
F	波我反
C	足跛也依字作破
E	不脩
C	本又作循
E	行_未
F	下孟反
E	愬愬_
F	山革反
C	子夏傳云恐懼貌何休注公羊傳云驚愕也馬本作虩虩音
F	許逆反
C	云恐懼也説文同廣雅云懼也
E	逼近
C	附近之近
E	夬
F	古快反
E	考祥
C	本亦作詳
S	周易上經泰傳第二
E	gua泰
C	如字大通也鄭云通也馬云大也坤宫三世卦
E	道長_
F	丁丈反
E	財成
C	音才徐才載反荀作裁
E	輔相_
F	息亮反
C	注同
E	以左
C	音佐注同
E	右民
C	音佑注同左右助也
E	拔
F	蒲八反
E	茅
F	卯交反
C	鄭音苗
E	茹
F	汝據反
C	牽引也鄒湛同王肅音如
E	彚
C	音胃類也李于鬼反傅氏注云彚古偉字美也古文作𦳢董作夤出也鄭云勤也
E	包
C	本又作苞
F	必交反
C	下卦同音
F	薄交反
E	荒
C	本亦作巟音同鄭注禮云穢也説文水廣也又大也鄭讀為康云虚也
E	用馮
C	音憑注同
E	荒穢_
F	於廢反
E	不陂_
F	彼偽反
C	徐
F	甫寄反
C	傾也注同又
F	破河反
C	偏也
E	象曰无平不陂
C	一本作无往不復
E	篇篇
C	如字子夏傳作翩翩向本同云輕舉貌古文作偏偏
E	以祉_
C	音恥一音
F	勑子反
C	又音止
E	女處
C	本亦作爻處
E	盡夫
C	音符後皆放此以意求之
E	隍
C	音皇城塹也子夏作堭姚作湟
E	所應
C	如字舊音應對之應
E	上_承
F	時掌反
E	下施_
F	始䜴反
E	否_道
F	備鄙反
E	gua否_
F	備鄙反
C	卦内同閉也塞也乾宫三世卦
E	道長_
F	丁丈反
E	辟難_
C	上音避下
F	乃旦反
E	入邪_
F	似嗟反
E	不諂_
F	勑撿反
E	否亨_
F	許庚反
E	疇
F	直留反
C	鄭作古（？）字
E	休_否
F	虚虬反
C	美也又
F	許求反
C	息也注同
E	gua同人
C	和同也離宫歸魂卦
E	以邪_
F	似嗟反
E	炎上_
F	時掌反
E	辯_物
C	如字王肅
F	卜免反
E	繫吝
C	繫或作係本作黨係
E	則否_
F	方有反
C	又
F	備鄙反
E	褊
F	必淺反
E	狹
F	户夾反
E	于莽_
F	莫蕩反
C	王肅
F	冥黨反
C	鄭云叢木也
E	物黨
C	物或作朋
E	所比_
F	毗志反
E	所當
C	如字
E	量斯
C	音良又音亮
E	其墉
C	徐音容鄭作庸
E	而效_
F	下敎反
E	不克則反反則得吉也
C	一本作反則得得則吉也
E	號
F	戸羔反
E	咷
F	道刀反
C	號咷啼呼也
E	而逺_
F	袁万反
E	内爭
C	爭鬭之爭
E	異災
C	一本作它災
E	gua大有
C	包容豐富之象乾宫歸魂卦
E	遏
F	於葛反
C	止也徐又音謁
E	休_命
F	虚虬反
C	美也徐又
F	許求反
E	大車_
C	王肅
F	荆余反
C	蜀才作輿
E	不泥_
F	乃計反
E	用亨_
F	許庚反
C	通也下同衆家並
F	香兩反
C	京云獻也干云亨宴也姚云亨祀也
E	其彭_
F	歩郎反
C	子夏作旁干云彭亨驕滿貌王肅云壯也虞作尪姚云彭旁徐音同
E	上近
C	如字亦附近之近
E	下比_
F	毗志反
E	至知
C	音智
E	可舍
C	音捨
E	斯數_
F	色助反
E	晢
F	章舌反
C	王廙作晣同音徐李之世反又作哲字鄭本作遰云讀如明星晢哲陸本作逝虞作折
E	何難_
C	依象冝如字一音
F	乃旦反
E	易_而
F	以豉反
E	祐之
C	音又
E	不累_
F	劣偽反
C	下同
E	盡_夫
F	津忍反
E	繫辭
C	音係
E	gua謙
C	卑退為義屈已下物也兊宫五世卦子夏作嗛云嗛謙也
E	下濟_
F	節細反
E	而上_
F	時掌反
C	下注上承上行同
E	虧盈
C	馬本作毁盈
E	而福
C	京本作而富
E	惡_盈
F	烏路反
C	卦末注同
E	而好_
F	呼報反
E	裒
F	蒲侯反
C	鄭荀董蜀才作捊云取也字書作掊廣雅云掊減
E	稱_物
F	尺證反
E	平施_
F	始䜴反
C	注同
E	大難_
F	乃旦反
E	自牧
C	牧養之牧徐音目一音茂
E	鳴者聲名聞之謂也
C	一讀鳴者聲絶句聞音問
E	匪解_
F	佳賣反
E	撝
F	毁皮反
C	指撝也義與麾同書云右秉白旄以麾是也馬云撝猶離也鄭讀為宣
E	下下_
F	上遐嫁
C	反下如字下句同
E	用侵
C	王廙作寢
E	征國
C	本或作征邑國者非
E	不與
C	音預
E	爲爭
C	爭鬭之争
E	gua豫_
F	餘慮反
C	悦豫也備豫也馬云豫樂震宫一世卦
E	不忒_
F	他得反
C	鄭云差也京作貸
E	地奮_
F	方問反
E	殷
F	於勤反
C	馬云盛也說文云作樂之盛稱殷京作隱
E	薦
F	将電反
C	本又作（薦）同本或作廌獸名耳非
E	介_于
C	音界纎介古文作砎鄭
F	古八反
C	云謂磨砎也馬作扴云觸小石聲
E	苟説
C	音悦
E	盱
F	香于反
C	睢盱也向云睢盱小人喜悦之貌王肅云盱大也鄭云誇也説文云張目也字林
F	火孤反
C	又火于反子夏作紆京作汙姚作旴云日始出引詩旴日始旦
E	睢
F	香維反
C	説文云仰目也字林火佳反
E	由豫
C	由從也鄭云用也馬作猶云猶豫疑也
E	盍
F	胡臘反
C	合也
E	簪
C	徐
F	側林反
C	子夏傳同疾也鄭云速也埤蒼同王肅又
F	祖感反
C	古文作貸京作撍馬作臧荀作宗虞作戠戠叢合也蜀才本依京義從鄭
E	冥
F	覓經反
C	馬云冥昧耽於樂也王廙云深也又
F	亡定反
C	鄭讀為鳴
E	有渝_
F	羊朱反
E	盡
F	津忍反
E	樂
C	音洛
E	gua隨
C	從也震宫歸魂卦
E	而下_
F	遐嫁反
C	注下柔同
E	而説
C	音悦注下皆同
E	大亨貞
C	木又作大亨利貞
E	而天下隨時
C	王肅本作隨之
E	隨時之義
C	王肅本作隨之時義
E	而令_
F	力呈反
E	否_之
F	備鄙反
E	以嚮
C	本又作向
F	許亮反
C	王肅本作鄉音同
E	入宴_
C	徐
F	烏練反
C	王肅
F	烏顯反
E	官有
C	蜀才作館有
E	故舍
C	音捨下文同
E	以擅_
F	市戰反
E	盡_隨
F	津忍反
C	盡卷末同
E	位正中也
C	一本作中正
E	拘
F	句于反
E	用亨_
F	許庚反
C	通也陸
F	許兩反
C	云祭也
E	之濵
C	音賔
E	gua蠱_
C	音古事也惑也亂也左傳云於文皿蠱又云女惑男風落山謂之蠱徐又
F	姬祖反
C	一音故巽宫歸魂卦
E	先_甲
F	息薦反
C	彖并注同
E	後_甲
F	胡豆反
C	彖并注同
E	以斷_
F	丁亂反
E	施令_
F	力政反
C	下同
E	競争
C	爭鬭之爭
E	治_也
F	直吏反
C	注同
E	説隨
C	音悦
E	創_制
F	初亮反
C	此俗字也依字作剏
E	復_始
F	扶又反
E	以振
C	舊
F	之慎反
C	濟也師讀音真振振仁厚也
E	育徳
C	王肅作毓古育字
E	有子考无咎
C	絶句周依馬王肅以考絶句
E	當_事
F	丁堂反
E	盡_承
F	津忍反
C	下皆同
E	裕_父
F	羊樹反
C	馬云寛也
E	不累_
F	劣偽反
E	gua臨
C	如字序卦云大也坤宫二世卦
E	剛浸_
F	子鴆反
E	而長_
F	丁丈反
C	除六三注末及象咎不長皆同一音此
F	治良反
E	說而
C	音恱下同
E	敎思_
F	息吏反
C	注同
E	无疆_
F	居良反
C	注同
E	剛勝_
F	升證反
C	下同
E	佞邪_
F	似嗟反
C	下同
E	媚
F	密備反
E	位當也
C	本或作當位實非也
E	知臨
C	音智注同又如字
E	gua觀_
F	官喚反
C	示也乾宫四世卦
E	盥
C	音管
E	而不薦
C	王又作（薦）同牋練反王肅本作而觀薦
E	顒
F	魚恭反
E	足復_
F	扶又反
E	既灌_
F	官喚反
E	不忒_
F	吐得反
E	神道設敎
C	一本作以神道設敎
E	省_方
F	悉井反
E	童觀
C	馬云童猶獨也鄭云稚也
E	最逺_
F	逺万反
E	朝_美
F	直遥反
E	所鑒_
F	古暫反
C	下同
E	趣
F	促裕反
E	闚
F	苦規反
C	本亦作窺
E	者狹_
F	戸夾反
E	象曰闚觀女貞
C	一本有利字
E	不比_
F	毗志反
E	觀_國之光
C	如字或音
F	官喚反
E	最近
C	附近之近
E	居近
C	如字
E	徳見_
F	賢遍反
E	平易_
F	以豉反
E	盡夫觀盛故觀至大觀在上
C	王肅音官
E	以觀天下
C	徐唯此一字作官音
E	觀盥而不薦觀之為道而以觀感風行地上觀處於觀時君子處大觀之時處大觀之時大觀廣鑒
C	亦音官
E	居觀_之時為觀之主觀之盛也
C	從盡夫觀以下並
F	官喚反
C	餘不出者並音官
S	周易上經噬嗑傳第三
E	gua噬_
F	市制反
C	齧也
E	嗑
F	胡臘反
C	合也巽宫五世卦
E	齧
F	研節反
E	有間
C	如字下同又音間厠之間
E	與過
C	一本作有過
E	頤
F	以之反
E	不合本
C	又作而合
E	不溷_
F	胡困反
C	濁也雜也亂也韋昭云汙辱也
E	上_行
F	時掌反
C	注同
E	勑_法
F	恥力反
C	此俗字也字林作（敕）鄭云勑猶理也一云整也
E	屨
F	紀具反
E	校
F	爻敎反
C	注及下同馬音敎
E	滅止
C	本亦作趾趾足也
E	桎
F	章實反
E	足懲_
F	直氷反
E	木絞_
F	交夘反
E	械
F	口戒反
E	不行也
C	木或作止不行也
E	噬膚_
F	方于反
C	馬云柔脃肥美曰膚
E	未盡_
F	津忍反
C	下同
E	其分_
F	扶問反
E	脃
F	七歳反
E	腊肉
C	音昔馬云晞於陽而（煬）於火曰腊肉鄭注周禮小物全乾曰腊
E	乾
C	音干
E	胏
F	緇美反
C	馬云有骨謂之胏鄭云簀也字林云含食所遺也一曰脯也子夏作脯徐音甫荀董同
E	未光大也本
C	亦無大字
E	何_校
F	何可反
C	又音何本亦作荷音同下同王肅云荷擔
E	聦不眀也
C	馬云耳無所聞鄭云目不眀耳不聦王肅云言其聦之不眀
E	可解_
F	佳買反
E	gua賁_
F	彼偽反
C	徐
F	甫寄反
C	李軌
F	府瓫反
C	傅氏云賁古斑字文章貌鄭云變也文飾之貌王肅
F	符文反
C	云有文飾黄白色艮宫一世卦
E	剛上_
F	時掌反
C	注剛上皆同
E	觀天
C	音官下同
E	以明
C	蜀才本作命
E	折
F	之舌反
C	注同鄭云斷也斷音
F	丁亂反
E	其趾
C	一本作止鄭云趾足
E	舍
C	音捨下及注同
E	車
C	音居鄭張本作輿從漢時始有居音
E	安夫
C	音符
E	其須
C	如字字從彡作水邉非
E	而比_
F	毗志反
C	下同
E	上_附
F	時掌反
E	循
F	似遵反
E	濡
F	如臾反
E	皤
F	白波反
C	說文云老人貌董音槃云馬作足横行曰皤鄭陸作燔音煩荀作波
E	翰
F	户旦反
C	董黄云馬舉頭髙卬也馬荀云髙也鄭云白也亦作
F	寒案反
E	媾
F	古豆反
E	而閡_
F	五戴反
E	寇難_
F	乃旦反
C	下同
E	賁于丘園
C	黄本賁作世
E	束帛
C	子夏傳云五匹為束三（玄）二纁象隂陽
E	戔戔_
F	在千反
C	馬云委積貌薛虞云禮之多也又音牋黄云猥積貌一云顯見貌子夏傳作殘殘
E	有喜_
C	如字徐
F	許意反
C	无妄大畜卦放此
E	gua剥_
F	邦角反
C	彖云剥剥也馬云落也説文云裂也乾宫五世卦
E	人長_
F	丁丈反
C	下注皆同
E	激
F	經厯反
E	拂
F	附弗反
E	觸忤_
F	五故反
E	以殞_
F	于敏反
E	失處_
F	昌呂反
C	又
F	昌預反
E	蔑
F	莫結反
C	猶削也楚俗有削蔑之言馬云無也鄭云輕慢荀作滅
E	猶削_
F	相略反
C	或作消此從荀本也下皆然
E	辨
C	徐音辦具之辦足上也馬鄭同黄云牀簀也薛虞膝下也鄭
F	符勉反
C	王肅
F	否勉反
E	道浸_
F	子鴆反
C	下同
E	稍近
C	附近之近
E	六三剥无咎
C	一本作剥之无咎非
E	以膚_
F	方于反
C	京作簠謂祭器
E	切近_
C	如字徐
F	巨靳反
C	鄭云切急也
E	貫_魚
F	古亂反
C	徐音官穿也
E	駢_頭
F	薄田反
E	得輿
C	音餘京作徳輿董作徳車
E	廬
F	力居反
E	覆䕃_
F	於鴆反
E	所芘_
C	本又作
F	庇必反
C	又
F	悲備反
E	gua復_
C	音服反也還也坤宫一世卦
E	朋來
C	如字京作崩
E	反復_
F	芳福反
C	劉本同本又作覆彖并注反復皆同
E	剛反
C	絶句
E	剛長_
F	丁丈反
C	下文注皆同
E	心見_
F	賢遍反
E	具存
C	本亦作其存
E	商旅
C	鄭云資貨而行曰商旅客也
E	无祗_
C	音支辭也馬同音
F	之是反
C	韓伯
F	祈支反
C	云大也鄭云病也王肅作禔
F	時支反
C	陸云禔安也九家本作㩼字音支
E	幾悔
C	音機下同又音祈
E	患難_
F	乃旦反
E	逺_矣
F	袁万反
E	錯_之
F	七故反
E	休_復
F	虚虬反
E	最比_
F	毗志反
E	仁行_
F	下孟反
E	下_仁
F	遐嫁反
E	以下_仁也
C	如字王肅云下附於仁徐
F	戸嫁反
E	頻復
C	如字本又作嚬嚬眉也鄭作顰音同馬云憂頻也
E	頻戚_
F	干寂反
C	下同憂也又
F	子六反
E	自考也
C	鄭云考成也向云察也
E	有灾
C	木又作災鄭作烖案説文烖正字也灾或字也災籕文也
E	眚
F	生領反
C	下卦同子夏傳云傷害曰災妖祥曰眚鄭云異自内生曰眚自外曰祥害物曰災
E	量斯
C	音良
E	雖復_
F	扶又反
E	gua无妄_
F	亡亮反
C	无妄无虚妄也説文云妄亂也馬鄭王肅皆云妄猶望謂无所希望也巽宫四世卦
E	柔邪_
F	似嗟反
E	不佑
C	音又鄭云助也本又作祐馬作右謂天不右行
E	茂對時
C	茂盛也馬云茂勉也對配也
E	下_賤
F	遐嫁反
E	不耕_穫
F	黄郭反
C	或依注作不耕而穫非下句亦然
E	不菑_
F	側其反
C	馬云田一歳也董云反草也
E	畬
C	音餘馬曰田三歳也董云悉耨曰畬說文云二歳治田也字林
F	弋恕反
E	不擅_
F	市戰反
E	行_違
F	下孟反下
C	之行同
E	稼
C	音嫁
E	穡
C	音色
E	爲獲
C	如字或作穫非
E	比
F	毗志反
E	近
C	附近之近
E	可試
C	試驗一云用也
E	gua大畜_
C	本又作蓄
F	勑六反
C	義與小畜同艮宫二世卦
E	大畜剛健
C	絶句
E	篤實煇
C	音輝
E	光
C	絶句
E	日新其徳
