title,juan,juan_title,index,headword,annotation
周易,61,中孚,18,長隂,丁丈反
周易,61,中孚,19,相比,毗志反
周易,61,中孚,20,而閡,五代反
周易,61,中孚,21,憊,備拜反
周易,61,中孚,22,幾望,音禨又音祈京作近荀作旣
周易,61,中孚,23,而上,時掌反象同
周易,61,中孚,24,攣,力圎反廣雅云拲也
周易,61,中孚,25,可舎,音捨
周易,61,中孚,26,翰,胡旦反髙飛
周易,61,中孚,27,内喪,息浪反
周易,49,革,1,䷰革,馬鄭云改也坎宫四世卦
周易,49,革,2,樂成,音洛上六注同
周易,49,革,3,相息,如字馬云滅也李斐注漢書同說文作熄
周易,49,革,4,欲上,時掌反
周易,49,革,5,革而信之,一本無之字
周易,49,革,6,以說,音恱注同
周易,49,革,7,鞏,九勇反固也馬同
周易,49,革,8,堅韌,仁震反
周易,49,革,9,行有,如字又下孟反
周易,49,革,10,相比,毗志反
周易,49,革,11,文炳,兵領反
周易,49,革,12,文蔚,音尉又紆弗反廣雅云茂也敷也說文作斐
周易,48,井,1,䷯井,精領反雜卦云通也彖云養而不窮周書云黃帝穿井世本云化益作井宋衷云化益伯益也堯臣廣雅云井深也鄭云井法也字林作井子挺反周云井以不變更爲義師說井以淸絜爲義震宫五世卦
周易,48,井,2,无喪,息浪反
周易,48,井,3,汔,徐許訖反注同幾也王肅音其乞反
周易,48,井,4,繘,音橘徐又居密反鄭云綆也方言云關西謂綆爲繘郭璞云汲水索也又其律反又音述
周易,48,井,5,羸,律悲反徐力追反下同蜀才作累鄭讀曰虆
周易,48,井,6,瓶,白經反
周易,48,井,7,幾至,音祈或音機
周易,48,井,8,而覆,芳福反
周易,48,井,9,而上水,時掌反注及下注上水皆同
周易,48,井,10,井養,如字徐以上反
周易,48,井,11,木上,如字師又時掌反
周易,48,井,12,以勞,力報反注同
周易,48,井,13,勸相,息亮反注同王肅如字
周易,48,井,14,井泥,乃計反注及下同
周易,48,井,15,滓穢,側里反
周易,48,井,16,不嚮,許亮反
周易,48,井,17,棄舎,音捨下文同
周易,48,井,18,井谷,古木反又音浴
周易,48,井,19,射,食亦反注同徐食夜反鄭玉肅皆音亦云厭也荀作耶
周易,48,井,20,鮒,音附魚名也子夏傳謂蝦蟇
周易,48,井,21,甕,屋送反李於鍾反鄭作甕云停水器也說文作罋汲缾也
周易,48,井,22,敝,婢世反王肅徐扶滅反
周易,48,井,23,谿谷,口啼反
周易,48,井,24,注下,章喻反下同
周易,48,井,25,而復,扶又反
周易,48,井,26,无與之也,一本作則莫之與也
周易,48,井,27,渫,息列反徐又食列反黃云治也
周易,48,井,28,心惻,初力反說文云痛也
周易,48,井,29,汲,音急
周易,48,井,30,停汙,音烏
周易,48,井,31,其行,下孟反象并注皆同
周易,48,井,32,甃,側舊反馬云爲瓦裹下達上也子夏傳云脩治也干云以􁒑壘井曰甃字林云井壁也
周易,48,井,33,洌,音列絜也說文云水淸也王肅音例
周易,48,井,34,不橈,乃孝反
周易,48,井,35,不食,如字又音嗣
周易,48,井,36,井收,徐詩救反又如字馬云汲也陸云井幹也荀作甃
周易,48,井,37,勿幕,音莫覆也干本勿作网
周易,60,節,1,䷻節,薦絜反止也明禮有制度之名一云分段支節之義坎宫一世卦
周易,60,節,2,男女别,彼列反
周易,60,節,3,復正,扶又反
周易,60,節,4,說以,音恱注同
周易,60,節,5,澤上有水,上或作中今不用
周易,60,節,6,德行,下孟反下注同
周易,60,節,7,故匿,女力反
周易,60,節,8,所怨,紆万反又紆元反
周易,58,兌,1,䷹兊,徒外反恱也八純卦象澤
周易,58,兌,2,兊說,音恱卦内並同
周易,58,兌,3,以先,西薦反又如字
周易,58,兌,4,犯難,乃旦反
周易,58,兌,5,麗澤,如字麗連也鄭作離云猶併也
周易,58,兌,6,黨繫,本亦作係
周易,58,兌,7,商兊,如字商商量也鄭云隱度也
周易,58,兌,8,介疾,音界隔也馬云大也
周易,58,兌,9,將近,附近之近
周易,58,兌,10,比於,毗志反
周易,58,兌,11,道長,丁丈反
周易,64,未濟,1,䷿未濟,離宫三世卦
周易,64,未濟,2,小狐,徐音胡
周易,64,未濟,3,汔,許訖反說文云水涸也鄭云幾也
周易,64,未濟,4,令物,力呈反
周易,64,未濟,5,各得其所,一本得作當
周易,64,未濟,6,經綸,本又作論同音倫又魯門反
周易,64,未濟,7,屯,張倫反
周易,64,未濟,8,蹇,紀勉反
周易,64,未濟,9,循難,似遵反猶履也
周易,64,未濟,10,喪其,息浪反
周易,64,未濟,11,已比,上音紀下毗志反
周易,64,未濟,12,以近,附近之近
周易,64,未濟,13,暉,許歸反字又作輝
周易,64,未濟,14,而耽,丁南反
周易,64,未濟,15,於樂,音洛
周易,65,繫辭上,1,周易繫,徐胡詣反本系也又音係續也字從􁀎若直作􁀎下糸者音口奚反非
周易,65,繫辭上,2,辭,本亦作􁀏依字應作詞說也說文云詞者意内而言外也辤不受也受辛者辤辝籕文辤字也
周易,65,繫辭上,3,上第七,本亦作繫辭上王肅本皆作繫辭上傳訖於雜卦皆有傳字本亦有無上字者
周易,65,繫辭上,4,韓伯注,本亦作韓康伯注案王輔嗣止注六經講者相承用韓注繫辭以下續之
周易,65,繫辭上,5,地卑,如字又音婢本又作埤同
周易,65,繫辭上,6,其易之門,本亦作其易之門户
周易,65,繫辭上,7,斷矣,丁亂反
周易,65,繫辭上,8,之分,符問反章末注同
周易,65,繫辭上,9,著矣,張慮反
周易,65,繫辭上,10,見矣,賢徧反注同
周易,65,繫辭上,11,縣象,音玄
周易,65,繫辭上,12,雨施,始䜴反
周易,65,繫辭上,13,相摩,本又作磨末何反京云相磑切也磑音古代反馬云摩切也鄭注禮記云迫也迫音百
周易,65,繫辭上,14,相盪,衆家作蕩王肅音唐黨反馬云除也桓云動也唯韓云相推盪
周易,65,繫辭上,15,鼓之,虞陸董皆云鼓鼓動也
周易,65,繫辭上,16,霆,王肅吕忱音庭徐又徒鼎反又音定京云霆者雷之餘氣挺生万物也說文同蜀才云凝爲電
周易,65,繫辭上,17,運行,姚作違行
周易,65,繫辭上,18,大始,音泰王肅作泰
周易,65,繫辭上,19,坤作,虞姚作坤化姚云化當爲作
周易,65,繫辭上,20,易知,以豉反訖章末同鄭荀董並音亦
周易,65,繫辭上,21,簡能,如字姚云能當爲從
周易,65,繫辭上,22,而成位乎其中,馬王肅作而易成位乎其中
周易,65,繫辭上,23,繫辭,音系卷内皆同
周易,65,繫辭上,24,焉而明吉凶,虞本更有悔吝二字
周易,65,繫辭上,25,迭,田節反
周易,65,繫辭上,26,剛柔者晝夜之象,虞作晝夜者剛柔之象
周易,65,繫辭上,27,三極,陸云極至也馬云三統也鄭韓云三才也王肅云隂陽剛柔仁義爲三極
周易,65,繫辭上,28,能見,賢遍反
周易,65,繫辭上,29,易之序也,陸云序象也京云次也虞本作象
周易,65,繫辭上,30,所樂,音岳適會也虞本作所變
周易,65,繫辭上,31,而玩,五亂反研玩也馬云貪也鄭作翫
周易,65,繫辭上,32,祐之,音又後同
周易,65,繫辭上,33,爻者,戸交反說文云交也
周易,65,繫辭上,34,小疵,徐才斯反馬云瑕也
周易,65,繫辭上,35,辯吉凶,如字京云明也虞董姚顧蜀才並云别也音彼列反
周易,65,繫辭上,36,見乎,賢遍反
周易,65,繫辭上,37,乎介,音界注同王肅干韓云纎介也
周易,65,繫辭上,38,纎,息亷反
周易,65,繫辭上,39,震无咎,馬云震驚也鄭云懼也王肅韓云動也周云救也
周易,65,繫辭上,40,險易,以豉反注同京云險惡也易善也
周易,65,繫辭上,41,之否,備鄙反
周易,65,繫辭上,42,天地準,如字京云準等也鄭云中也平也
周易,65,繫辭上,43,彌,如字本又作弥
周易,65,繫辭上,44,綸,音倫京云彌遍綸知也王肅云綸纒裹也荀云彌終也綸迹也
周易,65,繫辭上,45,天下之道,一本作天地
周易,65,繫辭上,46,俯以,音甫
周易,65,繫辭上,47,察於,一本作觀於
周易,65,繫辭上,48,反終,鄭虞作及終
周易,65,繫辭上,49,之說,如字宋衷始銳反云舎也
周易,65,繫辭上,50,烟,音因
周易,65,繫辭上,51,煴,紆云反
周易,65,繫辭上,52,盡聚,津忍反下同
周易,65,繫辭上,53,知周,音智注同
周易,65,繫辭上,54,道濟,如字鄭云道當作導
周易,65,繫辭上,55,不流,如字京作畱
周易,65,繫辭上,56,樂天,音洛注同虞作變天
周易,65,繫辭上,57,功贍,渉豔反
周易,65,繫辭上,58,範圍,鄭云範法也馬王肅張作犯違張云犯違猶裁成也
周易,65,繫辭上,59,而知,如字荀爽荀柔之明僧紹音智
周易,65,繫辭上,60,以上,時掌反
周易,65,繫辭上,61,之稱,尺證反下章及注同
周易,65,繫辭上,62,知者,音智下之知注知者其知仁知並同
周易,65,繫辭上,63,其分,符問反
周易,65,繫辭上,64,鮮矣,悉淺反注同師說云盡也鄭作尟馬鄭王肅云少也
周易,65,繫辭上,65,藏諸,才剛反鄭作臧云善也
周易,65,繫辭上,66,衣,於旣反
周易,65,繫辭上,67,被,皮寄反
周易,65,繫辭上,68,則有經營之功也,本亦无功字一本功作迹
周易,65,繫辭上,69,成象,蜀才作盛象
周易,65,繫辭上,70,爻法,胡孝反馬韓如字云放也蜀才作效
周易,65,繫辭上,71,形詰,去吉也
周易,65,繫辭上,72,大虚,音泰下大極同
周易,65,繫辭上,73,欻爾,況勿反
周易,65,繫辭上,74,自造,在早反下同
周易,65,繫辭上,75,稱極,尺征反
周易,65,繫辭上,76,爲稱,尺證反
周易,65,繫辭上,77,不禦,魚吕反禁止也
周易,65,繫辭上,78,乎迩,本又作邇音尒
周易,65,繫辭上,79,也專,如字陸作塼音同
周易,65,繫辭上,80,也翕,虚級反斂也
周易,65,繫辭上,81,也闢,婢亦反開也
周易,65,繫辭上,82,易簡,以豉反
周易,65,繫辭上,83,知崇,音智注同
周易,65,繫辭上,84,禮,蜀才作體
周易,65,繫辭上,85,卑,必彌反本亦作埤徐音婢下同
周易,65,繫辭上,86,賾,仕責反下同九家作冊京作嘖云情也
周易,65,繫辭上,87,典禮,京作等禮姚作典體
周易,65,繫辭上,88,以斷,丁亂反下注同
周易,65,繫辭上,89,惡也,於嫁反荀作亞亞次也又烏路反馬鄭烏洛反亞通
周易,65,繫辭上,90,言天下之至動而不可亂也,衆家本並然鄭本作至賾云賾當爲動九家亦作冊
周易,65,繫辭上,91,可逺,袁万反
周易,65,繫辭上,92,之惡,烏路反
周易,65,繫辭上,93,錯之,七各反
周易,65,繫辭上,94,議之,陸姚桓玄荀柔之作儀之
周易,65,繫辭上,95,則盡,津忍反
周易,65,繫辭上,96,子和,胡臥反注同
周易,65,繫辭上,97,縻之,本又作靡亡池反徐又亡彼反京作劘
周易,65,繫辭上,98,行發,下孟反下同
周易,65,繫辭上,99,見乎,賢遍反
周易,65,繫辭上,100,樞,尺朱反王廙云户樞也一云門臼
周易,65,繫辭上,101,機,王廙云弩牙也
周易,65,繫辭上,102,先號,戸羔反
周易,65,繫辭上,103,咷,道羔反
周易,65,繫辭上,104,或黙,亡北反字或作嘿
周易,65,繫辭上,105,利斷,丁亂反王肅丁管反
周易,65,繫辭上,106,其臭,昌又反
周易,65,繫辭上,107,初六藉,在夜反下同
周易,65,繫辭上,108,用白茅,卯交反
周易,65,繫辭上,109,无咎,或以此爲別章今不用
周易,65,繫辭上,110,苟錯,七故反本亦作措
周易,65,繫辭上,111,可重,直勇反
周易,65,繫辭上,112,愼斯術也,時震反鄭干同一本作順師用義鄭云術道
周易,65,繫辭上,113,不德,鄭陸蜀才作置鄭云置當爲德
周易,65,繫辭上,114,下人,遐嫁反後同
周易,65,繫辭上,115,爲階,姚作機
周易,65,繫辭上,116,爲易者,本又云作易者
周易,65,繫辭上,117,乗釁,許覲反
周易,65,繫辭上,118,致寇至,徐或作戎宋衷云戎誤
周易,65,繫辭上,119,乗也者,如字一讀繩證反
周易,65,繫辭上,120,慢藏,才浪反
周易,65,繫辭上,121,誨,如字敎也虞作悔謂悔恨
周易,65,繫辭上,122,冶容,音也鄭陸虞姚王肅作野言妖野容儀敎誨淫泆也王肅云作野音也
周易,65,繫辭上,123,大衍,延善反又注演同鄭云衍演也干云合也王廙蜀才云廣也
周易,65,繫辭上,124,大極,音泰
周易,65,繫辭上,125,掛一,卦買反别也王肅音卦
周易,65,繫辭上,126,揲,時設反案揲猶數也說文云閱持也一音思頰反徐音息列反鄭云取也
周易,65,繫辭上,127,歸竒,紀冝反注下同
周易,65,繫辭上,128,於扐,郎得反下同馬云指間也荀柔之云別也
周易,65,繫辭上,129,後掛,京作卦云再扐而後布卦
周易,65,繫辭上,130,之䇿,初革反字亦作筴
周易,65,繫辭上,131,當,如字下同
周易,65,繫辭上,132,期,本又作朞音基同
周易,65,繫辭上,133,而伸,本又作信音身
周易,65,繫辭上,134,而長,丁丈反
周易,65,繫辭上,135,德行,下孟反
周易,65,繫辭上,136,酬,市由反徐又音疇
周易,65,繫辭上,137,酢,在洛反京作醋
周易,65,繫辭上,138,與祐,音又助也馬云配也荀作侑
周易,65,繫辭上,139,聖人之道,明僧紹作君子之道
周易,65,繫辭上,140,以言者,下三句無以字一本四句皆有
周易,65,繫辭上,141,如嚮,許兩反又作響
周易,65,繫辭上,142,能與,音預下及注同
周易,65,繫辭上,143,參伍,七南反
周易,65,繫辭上,144,錯,七各反
周易,65,繫辭上,145,綜,宗統反
周易,65,繫辭上,146,天地之文,一本作天下虞陸本作之爻
周易,65,繫辭上,147,无籌,直周反
周易,65,繫辭上,148,研,蜀才作揅
周易,65,繫辭上,149,幾也,如字本或作機鄭云機當作幾幾微也
周易,65,繫辭上,150,夫易開,王肅作闓音同
周易,65,繫辭上,151,物成務,一本無夫易二字
周易,65,繫辭上,152,冒天,莫報反注同覆也
周易,65,繫辭上,153,以斷,丁亂反下二章同
周易,65,繫辭上,154,蓍,音尸
周易,65,繫辭上,155,圎而,本又作貟音同
周易,65,繫辭上,156,方以知,音智注同下知以叡知注神知皆同
周易,65,繫辭上,157,有分,符問反
周易,65,繫辭上,158,易以,以豉反韓音亦謂變易
周易,65,繫辭上,159,貢,如字告也京陸虞作工荀作功
周易,65,繫辭上,160,洗心,劉瓛悉殄反盡也王肅韓悉禮反京荀虞董張蜀才作先石經同
周易,65,繫辭上,161,洗濯,直角反
周易,65,繫辭上,162,藏往,如字劉作臧善也
周易,65,繫辭上,163,能與,音預
周易,65,繫辭上,164,不殺,馬鄭王肅干所戒反師同徐所例反陸韓如字
周易,65,繫辭上,165,者夫,音符如字
周易,65,繫辭上,166,齊戒,側皆反注同
周易,65,繫辭上,167,以神明其德夫,荀虞顧絶句衆皆以夫字爲下句一本無夫字
周易,65,繫辭上,168,闔戸,胡臘反
周易,65,繫辭上,169,闢戶,婢亦反王肅甫亦反
周易,65,繫辭上,170,施生,始豉反
周易,65,繫辭上,171,見乃,賢遍反
周易,65,繫辭上,172,是故易有大極,大音泰注同大極无也馬云北辰也王肅云此章首獨言是故者揔衆章之意
周易,65,繫辭上,173,无稱之稱,並尺證反
周易,65,繫辭上,174,縣象,音玄
周易,65,繫辭上,175,探,吐南反
周易,65,繫辭上,176,賾,九家作冊
周易,65,繫辭上,177,索隱,色白反
周易,65,繫辭上,178,亹亹,亡偉反
周易,65,繫辭上,179,莫善乎蓍龜,本亦作莫大
周易,65,繫辭上,180,見吉,賢遍反
周易,65,繫辭上,181,河出,如字又尺遂反下同
周易,65,繫辭上,182,洛出,王肅作雒漢家以火德王故從各佳
周易,65,繫辭上,183,又以尚賢也,鄭本作有以
周易,65,繫辭上,184,子曰書不盡,如字又津忍反下同
周易,65,繫辭上,185,之緼,紆粉反徐於憤反王肅又於問反
周易,65,繫辭上,186,之奥,烏報反
周易,65,繫辭上,187,而上,時掌反
周易,65,繫辭上,188,而錯,七故反注同本又作措
周易,65,繫辭上,189,之賾,本亦作之至賾
周易,65,繫辭上,190,而裁,音才本又作財
周易,65,繫辭上,191,黙而成,本或作黙而成之
周易,65,繫辭上,192,德行,下孟反
周易,59,渙,1,䷺渙,呼亂反散也序卦云離也離宫五世卦
周易,59,渙,2,王假,庚白反下同梁武帝音賈
周易,59,渙,3,而上,如字又時掌反
周易,59,渙,4,之難,乃旦反卦内同
周易,59,渙,5,之累,劣僞反
周易,59,渙,6,享于,香兩反
周易,59,渙,7,用拯,拯救之拯馬云舉也伏曼容云濟也王肅云拔也子夏作抍抍取也
周易,59,渙,8,以逝,逝又作遊
周易,59,渙,9,厄劇,本又作危處又作厄處
周易,59,渙,10,逃竄,七亂反
周易,59,渙,11,險爭,爭鬪之爭
周易,59,渙,12,机,音几
周易,59,渙,13,有丘,姚作有近
周易,59,渙,14,匪夷,荀作匪弟
周易,59,渙,15,丘墟,去魚反
周易,59,渙,16,渙汗,下旦反
周易,59,渙,17,以盪,徒黨反
周易,59,渙,18,險阨,於隔反
周易,59,渙,19,以假,古雅反
周易,59,渙,20,逖,湯歷反
周易,59,渙,21,血去,羌吕反
周易,59,渙,22,最逺,袁万反下於逺象逺害並同
周易,59,渙,23,不近,附近之近
周易,67,說卦,1,周易說卦第九幽賛,本或作讃子旦反幽深也賛明也
周易,67,說卦,2,蓍,音尸說文云蒿屬生千歳三百莖易以爲數天子九尺諸侯七尺大夫五尺士三尺毛詩草木䟽云似藾蕭靑色科生鴻範五行傳云蓍百年一本生百莖論衡云七十歳生一莖七百歳生十莖神靈之物故生遲也史記云生滿百莖者其下必有神龜守之其上常有雲氣覆之淮南子云上有叢蓍下有伏龜
周易,67,說卦,3,如嚮,香兩反本又作響
周易,67,說卦,4,參,七南反又如字音三
周易,67,說卦,5,天,或作夫者非
周易,67,說卦,6,而倚,於綺反馬云依也王肅其綺反云立也虞同蜀才作竒通
周易,67,說卦,7,數,色具反
周易,67,說卦,8,參竒,紀冝反
周易,67,說卦,9,觀變,一本作觀變化
周易,67,說卦,10,發揮,音輝鄭云揚也王廙韓云散也
周易,67,說卦,11,盡性,津忍反
周易,67,說卦,12,要其,一遥反
周易,67,說卦,13,迭用,田節反
周易,67,說卦,14,六位而成章,本又作六畫
周易,67,說卦,15,相薄,旁各反陸云相附薄也馬鄭顧云薄入也
周易,67,說卦,16,相射,食亦反虞陸董姚王肅音亦云厭也
周易,67,說卦,17,數往,色具反又色主反
周易,67,說卦,18,而數,色主反下文同
周易,67,說卦,19,晅,況晚反京云乾也本又作暅徐古鄧反又一音香元反
周易,67,說卦,20,以說,音恱後皆同
周易,67,說卦,21,嚮明,許亮反
周易,67,說卦,22,而治,直吏反
周易,67,說卦,23,妙萬物,如字王肅作眇音妙董云眇成也
周易,67,說卦,24,橈,徐乃飽反王肅乃敎反又呼勞反
周易,67,說卦,25,熯,王肅云呼但反火氣也徐本作暵音漢云熱暵也說文同
周易,67,說卦,26,莫盛,是政反鄭音成云裹也
周易,67,說卦,27,水火不相逮,音代一音大計反鄭宋陸王肅王廙無不字
周易,67,說卦,28,悖,必内反逆也
周易,67,說卦,29,爲豕,京作彘
周易,67,說卦,30,爲狗,音苟
周易,67,說卦,31,一索,色白反下同馬云數也王肅云求也
周易,67,說卦,32,長男,丁丈反下長女長子皆同
周易,67,說卦,33,中男,丁仲反下同
周易,67,說卦,34,少男,詩照反下少女皆同
周易,67,說卦,35,爲圜,音圎
周易,67,說卦,36,瘠,在亦反下同王廙云健之甚者爲多骨也京荀作柴云多筋幹
周易,67,說卦,37,駁,邦角反
周易,67,說卦,38,爲釡,房甫反
周易,67,說卦,39,爲吝,京作遴
周易,67,說卦,40,嗇,音色
周易,67,說卦,41,爲柄,彼病反
周易,67,說卦,42,爲龍,如字虞干作駹虞云倉色干云雜色
周易,67,說卦,43,爲旉,王肅音孚干云花之通名鋪爲花貌謂之􁁋本又作專如字虞同姚云專一也鄭市戀反
周易,67,說卦,44,蒼筤,音郎或作琅通
周易,67,說卦,45,萑,音九廣雅云藡也藡音狄
周易,67,說卦,46,葦,韋鬼反蘆
周易,67,說卦,47,馵,主樹反京作朱荀同陽在下
周易,67,說卦,48,的,丁歷反說文作馰
周易,67,說卦,49,顙,桑黨反的顙白顚
周易,67,說卦,50,反生,麻豆之屬反生戴莩甲而出也虞作阪云陵坂也陸云阪當爲反
周易,67,說卦,51,蕃,音煩
周易,67,說卦,52,鮮,息連反
周易,67,說卦,53,爲臭,昌又反王肅作爲香臭
周易,67,說卦,54,寡髮,如字本又作宣黒白雜爲宣髮
周易,67,說卦,55,爲廣,如字鄭作黃
周易,67,說卦,56,爲近,附近之近
周易,67,說卦,57,三倍,歩罪反
周易,67,說卦,58,其究,九又反
周易,67,說卦,59,矯,紀表反一本作撟同
周易,67,說卦,60,輮,如九反王肅奴又反又女九反又如又反馬鄭陸王肅本作此宋衷王廙作揉宋云使曲者直直者曲爲揉京作柔荀作橈
周易,67,說卦,61,弓輪,姚作倫
周易,67,說卦,62,美脊,精亦反
周易,67,說卦,63,爲亟,紀力反王肅去記反荀作極云中也
周易,67,說卦,64,爲薄,旁博反
周易,67,說卦,65,蹄,徒低反
周易,67,說卦,66,爲曳,以制反
周易,67,說卦,67,眚,生領反王廙云病也
周易,67,說卦,68,甲胄,直又反
周易,67,說卦,69,乾卦,古丹反鄭云乾當爲幹陽在外能幹正也董作幹
周易,67,說卦,70,鱉,卑列反本又作鼈同
周易,67,說卦,71,蟹,戸賣反
周易,67,說卦,72,蠃,力禾反京作螺姚作蠡
周易,67,說卦,73,蚌,歩項反本又作蜯同
周易,67,說卦,74,科,苦禾反空也虞作折
周易,67,說卦,75,槁,苦老反鄭作槀干作熇
周易,67,說卦,76,爲徑,古定反
周易,67,說卦,77,果蓏,力火反馬云果桃李之屬蓏瓜瓠之屬應劭云木實曰果草實曰蓏說文云在木曰果在地曰蓏張晏云有核曰果無核曰蓏京本作果墮之字
周易,67,說卦,78,􁆻,音昬
周易,67,說卦,79,寺,如字徐音侍亦作䦙字
周易,67,說卦,80,黔,其亷反徐音禽王肅其嚴反鄭作黚謂虎豹之屬貪冒之類
周易,67,說卦,81,喙,況廢反徐丁遘反
周易,67,說卦,82,爲堅多節,一本無堅字
周易,67,說卦,83,爲巫,亡符反
周易,67,說卦,84,附決,如字徐音穴
周易,67,說卦,85,剛鹵,力杜反鹹土也
周易,67,說卦,86,爲羊,虞作羔此六子依求索而爲次第也本亦有以三男居前三女後從乾健也章至此韓無注或有注者非也荀爽九家集解本乾後更有四爲龍爲直爲衣爲言巛後有八爲牝爲迷爲方爲囊爲裳爲黃爲帛爲漿震後有三爲王爲鵠爲鼓巽後有二爲楊爲鸛坎後有八爲宫爲律爲可爲棟爲叢棘爲狐爲蒺蔾爲桎梏離後有一爲牝牛艮後有三爲鼻爲虎爲狐兊後有二爲常爲輔頰注云常西方神也不同故記之於此
周易,66,繫辭下,1,周易繫辭下第八而重,直龍反注同
周易,66,繫辭下,2,明治,直吏反
周易,66,繫辭下,3,繫辭,音係卷内皆同
周易,66,繫辭下,4,而命,孟作明
周易,66,繫辭下,5,或否,備鄙反
周易,66,繫辭下,6,而斷,丁亂反
周易,66,繫辭下,7,則見,賢遍反下及注皆同
周易,66,繫辭下,8,趣時,七樹反
周易,66,繫辭下,9,貞勝,姚本作貞稱
周易,66,繫辭下,10,乎累,劣僞反
周易,66,繫辭下,11,殉吉,辭俊反後同
周易,66,繫辭下,12,未離,力智反
周易,66,繫辭下,13,盡會,津忍反下同
周易,66,繫辭下,14,貞觀,官換反又音官
周易,66,繫辭下,15,貞夫,音符
周易,66,繫辭下,16,確然,苦角反馬韓云剛貌說文云髙至
周易,66,繫辭下,17,人易,以豉反下注同
周易,66,繫辭下,18,隤然,大回反馬韓云柔貌也孟作退陸董姚作妥
周易,66,繫辭下,19,像此,音象
周易,66,繫辭下,20,施生,始豉反
周易,66,繫辭下,21,大寶,孟作保
周易,66,繫辭下,22,曰人,王肅卜伯玊桓玄明僧紹作仁
周易,66,繫辭下,23,禁民,音金又金鴆反
周易,66,繫辭下,24,包,本又作庖白交反鄭云取也孟京作伏
周易,66,繫辭下,25,犧,許冝反字又作羲鄭云鳥獸全具曰犧孟京作戲云伏服也戲化也
周易,66,繫辭下,26,氏,包犧氏大皥三皇之最先
周易,66,繫辭下,27,之王,于況反
周易,66,繫辭下,28,不究,九又反
周易,66,繫辭下,29,爲罟,音古馬姚云猶网也黃本作爲网罟云取獸曰网取魚曰罟
周易,66,繫辭下,30,以佃,音田本亦作田
