召誥第十四周書孔氏傳成王在豐欲宅洛邑	成王克商遷九鼎於洛邑欲以爲都故成王居焉
今時旣墜厥命	墜其王命
今冲子嗣則無遺壽耇	童子言成王少嗣位治政無遺棄老成人之言欲其法之少詩照反
曰其稽我古人之德矧曰其有能稽謀自天	冲子成王其考行古人之德則善矣况曰其有能考謀從天道乎言至善
嗚呼有王雖小元子哉其丕能諴于小民今休	召公歎曰有成王雖少而人爲天所子其大能和於小民成今之美勉之諴音咸
王不敢後用顧畏于民碞	王爲政當不敢後能用之士必任之爲先碞僭也又當顧畏於下民僭差禮義能此二者則德化立而美道成碞五咸反徐又音吟
王來紹上帝自服于土中	言王今來居洛邑繼天爲治躬自服行教化於地勢正中治直吏反下爲治致治皆同
旦曰其作大邑其自時配皇天	稱周公言其爲大邑於土中其用是大邑配上天而爲治
毖祀于上下其自時中乂	爲治當愼祀于天地則其用是土中大致治
重言	其自時中乂二見洛誥
王厥有成命治民今休	用是土中致治則王其有天之成命治民今獲太平之美
王先服殷御事比介于我有周御事	召公旣述周公所言又自陳巳意以終其戒言當先服治殷家御事之臣使比近於我有周治事之臣必和恊乃可一比毗志反徐扶志反近附近之近
節性惟日其邁	和比殷周之臣時節其性令不失中則道化惟日其行令力呈反
王敬作所不可不敬德	敬爲所不可不敬之德則下敬奉其命矣
我不可不監于有夏亦不可不監于有殷	言王當視夏殷法其歷年戒其不長
我不敢知曰有夏服天命惟有歷年	以能敬德故多歷年數我不敢獨知亦王所知
重言	我不敢知六本篇四君奭二〇惟有歷年二見下文
我不敢知曰不其延惟不敬厥德乃早墜厥命	言桀不謀長乆惟以不敬其德故乃早墜失其王命亦王所知
我不敢知曰有殷受天命惟有歷年	夏言服殷言受明受而服行之互相兼也殷之賢王猶夏之賢王所以歷年亦王所知
我不敢知曰不其延惟不敬厥德乃早墜厥命	紂早墜其命猶桀不敬其德亦王所知
今王嗣受厥命我亦惟兹二國命嗣若功	其夏殷也繼受其王命亦惟當以此夏殷長短之命爲監戒繼順其功德者而法則之
王乃𥘉服嗚呼若生子罔不在厥𥘉生自貽哲命	言王新即政始服行教化當如子之𥘉生習爲善則善矣自遺智命無不在其𥘉生爲政之道亦猶是也遺唯季反
今天其命哲命吉凶命歷年	今天制此三命惟人所修修敬德則有智則常吉則歷年爲不敬德則愚凶不長雖說之其實在人
知今我𥘉服宅新邑肆惟王其疾敬德	天巳知我王今𥘉服政居新邑洛都故惟王其當疾行敬德
王其德之用祈天永命	言王當其德之用求天長命以歷年
重言	祈天永命又見本篇末
其惟王勿以小民淫用非彞	勿用小民過用非常欲其重民秉常
亦敢殄戮用乂民	亦當果敢絶刑戮之道用治民戒以愼罰
若有功其惟王位在德元	順行禹湯所有成功則其惟王居位在德之首
小民乃惟刑用于天下越王顯	主在德元則小民乃惟用法於天下言治政於王亦有光明
上下勤恤其曰我受天命丕若有夏歷年式勿替有殷歷年	言當君臣勤憂敬德曰我受天命大順有夏之多歷年勿用廢有殷歷年庶幾兼之
欲王以小民受天永命	我欲王用小民受天長命言常有民
拜手稽首曰予小臣敢以王之讎民百君子	拜手首至手稽首首至地盡禮致敬以入其言言我小臣謙辭敢以王之匹民百君子治民者非一人言民在下自上匹之讎字或作酬
重言	拜手稽首四本篇二立政二
越友民保受王威命明德	言與匹民百君子於友愛民者共安受王之威命明德奉行之
王末有成命王亦顯	臣下安受王命則王終有天成命於王亦昭著
我非敢勤惟恭奉幣用供王能祈天永命	言我非敢獨勤而巳惟恭敬奉其幣帛用供待王能求天長命將以慶王多福必上下勤恤乃與小民受天永命奉如字又芳孔反供音恭徐紀用反注供待同
重言	祈天永命重見上文
