顧命第二十四周書孔氏傳成王將崩命召公畢公	二公爲二伯中分天下而治之治直吏反
西序東嚮敷重厎席綴純文貝仍几	東西廂謂之序厎蒻苹綴雜彩有文之貝飾几此旦夕聽事之坐厎之復反馬云青蒲也蒻音弱苹音平
東序西嚮敷重豐席畫純雕玉仍几	豐筦彩色爲畫雕刻鏤此養國老饗羣臣之坐豐芳弓反筦音管又音關鏤來豆反
西夾南嚮敷重筍席玄紛純漆仍几	西箱夾室之前筍蒻竹玄紛黒綬此親屬私宴之坐故席几質飾夾工洽反徐音頰注同筍息允反馬云箁箬也徐云竹子竹爲席于貧反紛孚云反漆音七徐七利反綬音受
越玉五重陳寳	於東西序坐比列玉五重又陳先王所寳之器物越馬云越地所獻玉也重直容反
赤刀大訓弘璧琬琰在西序	寳刀赤刀削大訓虞書典謨大璧琬琰之珪爲二重琬紆晚反琰以冉反削音笑
大玉夷玉天球河圖在東序	三玉爲三重夷常也球雍州所貢河圗八卦伏犧氏王天下龍馬出河遂則其文以畫八卦謂之河圖及典謨皆歷代傳寳之夷玉馬云越地東夷之美玉說文夷玉即珣玗琪球音求馬云玉磬雍於用反本亦作邕
㣧之舞衣大貝鼖鼓在西房	㣧國所爲舞者之衣皆中法大貝如車渠鼖鼓長八尺商周傳寳之西房西夾坐東鼖扶云反注同中丁仲反車渠上尺遮反車渠車䡃也
兊之戈和之弓垂之竹矢在東房	兊和古之巧人垂舜共工所爲皆中法故亦傳寳之東房東廂夾室兊徒外反共音恭
大輅在賔階面綴輅在阼階面	大輅玉綴輅金面前皆南向阼才故反向許亮反
先輅在左塾之前次輅在右塾之前	先輅象次輅木金玉象皆以飾車木則無飾皆在路寢門内左右塾前北面凡所陳列皆象成王生時華國之事所以重顧命塾音孰一音育重直用反
二人雀弁執惠立于畢門之内	士衛殯與在廟同故雀韋弁惠三隅矛路寢門一名畢門弁皮彦反徐扶變反
四人綦弁執戈上刃夾兩階戺	綦文鹿子皮弁亦士堂廉曰戺士所立處綦音其馬本作騏云青黒色夾徐工洽反戺音侯徐音士廉力占反稜也
一人冕執劉立于東堂一人冕執鉞立于西堂	冕皆大夫也劉鉞屬立於東西廂之前堂鉞音越說文云大斧也
一人冕執戣立于東垂一人冕執瞿立于西垂	戣瞿皆㦸屬正于東西下之階上戣音逵瞿其俱反徐音懼
一人冕執銳立于側階	銳矛屬也側階北下立階上銳以稅反
王麻冕黼裳由賔階隮	王及羣臣皆吉服用西階升不敢當主隮子西反徐子詣反
重言	由賔階隮二重見下文
卿士邦君麻冕蟻裳入即位	公卿大夫及諸侯皆同服亦廟中之禮蟻裳名色玄蟻魚綺反
太保太史太宗皆麻冕彤裳	執事各異裳彤纁也太宗上宗即宗伯也
太保承介圭上宗奉同瑁由阼階隮	大圭尺二寸天子守之故奉以奠康王所以同爵名瑁所以冐諸侯圭以齊瑞信方四寸邪刻之用阼階升由便不嫌瑁莫報反
太史秉書由賔階隮御王冊命	太史持冊書顧命進康王故同階
曰皇后憑玉几道揚末命命汝嗣訓	冊命之辭大君成王言憑玉几所道稱揚終命所以感動康王命汝繼嗣其道言任重因以託戒憑皮氷反
臨君周邦率循大卞	用是道臨君周國率群臣循大法下皮彦反徐扶變反
爕和天下用荅揚文武之光訓	言用和道和天下用對揚聖祖文武之大教叙成王意
重意	荅揚文武之光訓君牙對揚文武之光命
王再拜興荅曰眇眇予末小子其能而亂四方以敬忌天威	言微微我淺末小子其能如父祖治四方以敬忌天威德乎謙辭託不能眇彌小反
乃受同瑁王三宿三祭三咤	王受瑁爲王受同以祭禮成於三故酌者實三爵於王王三進爵三祭酒三奠爵告巳受羣臣所傳顧命咤陟嫁反字亦作宅又音妬徐又音託又豬夜反說文作丁故反奠爵也馬本作詫與說文音義同
上宗曰饗	祭必受福讃王日饗福酒
太保受同降	受王所饗同下堂反於篚
盥以異同秉璋以酢	太保以盥手洗異同實酒秉璋以酢祭半圭曰璋臣所奉玉巳祭太保又祭報祭曰酢酢才各反
授宗人同拜王荅拜	宗人小宗伯佐太宗者大宗供王宗人供太保拜曰巳傳顧命故授宗人同拜王荅拜尊所受命供音恭
太保受同祭嚌	太保旣拜而祭旣祭受福嚌至齒則王亦至齒王言饗太保言嚌互相備嚌才細反互音護
宅授宗人同拜王荅拜	太保居其所授宗人同拜白成王以事畢王荅拜敬所白宅如字馬同徐殆故反
重言	王荅拜二重見下文
太保降収	太保下堂則王亦可知有司於此盡収徹徹丑列反徐直列反
諸侯出廟門俟	言諸侯則卿士巳下亦可知殯之所處故曰廟皆待主後命處昌吕反
