中庸第三十一	鄭云以其記中和之爲用也庸用也孔子之孫子思作之以昭明聖祖之德也
脫誤	音奪
重在	直用反
知仁	音智下近乎知注言有知皆同
長	丁丈反
己臨之	音紀
勉強	其兩反注同
好學	呼報反
近乎	附近之近下同
力行	皇如字徐下孟反
子庶民	如字徐將吏反愛也下句放此
蕃國	方元反
不眩	玄遍反
齊明	側皆反
去䜛	起吕反
逺色	于萬反
好惡	呼報反下烏路反又並如字注同
薄斂	力驗反
旣	依注音餼許氣反
稟	彼錦反一本又力錦反旣稟謂稍食也
稱事	尺證反
朝聘	直遥反
槀人	苦報反一音古老反
以下上	時掌反
不跲	其劫反皇音跲躓也
行前	下孟反
不疚	音救病也
躓也	徐音致
而中	丁仲反又如字下中道同
從容	上七容反
弗措	七路反下及注皆同置也
必強	其良反
大平	音泰
禎祥	音貞
妖	於驕反左傳云地反物爲妖說文作䄏云衣服歌謡草木之怪謂之䄏
孽	魚列反說文作蠥云禽獸蟲蝗之怪謂之蠥
見乎	賢遍反下不見注著見同一本乎作於
蓍龜	音尸注同
皆爲	于僞反
自道	音導注自道同
知也	音智注同
無疆	居良反
不貳	本亦作㒃音二
今夫	音扶下同
昭昭	章遥反注同本亦作炤同猶耿耿小明也
一撮	七活反
華嶽	戸化戸瓜二反本亦作山嶽
不泄	息列反
一卷	李音權又羌權反范羌阮反猶區也注同
寳藏	才浪反
一勺	徐市若反
黿	音元
鼉	徒河反一音直丹反
鮫龍	音交本又作蛟
鼈	必列反
耿耿	公迥反又公頂反舊音孔頂反
猶區	羌俱反
於穆	上音烏下於乎亦同
於乎	好奴反
愼德	如字一本又作順
是與	音餘
洋洋	音羊
峻極	思閏反髙大也
優優	於求反倡優也
不凝	本又作疑魚澄反成也
如燖	音尋
不驕	本亦作喬音嬌
不倍	音佩
其黙	亡北反
且哲	陟列反徐本作知音智
謂與	音餘
而好	呼報反下同
烖及	音災
行同倫	下孟反
杞不	音起
王天下	于況反又如字
不繆	音謬
不悖	布内反後同
逺之	如字又于萬反
近之	如字又附近之近
不厭	於豔反後皆同
無射	音亦注同
而蚤	音早
行在	下孟反
而斷	丁亂反
曷爲	于僞反又如字
撥亂	半末反
莫近	附近之近又如字
道與	音餘
編年	必緜反又甫連反
辟如	音譬下同
覆幬	徒報反
之錯	七各反
當焉	丁浪反又丁郎反
浸潤	子鴆反
作燾	徒報反
明叡	音銳
知	音智下聖知同
齊莊	側皆反
有別	彼列反
溥博	音普
普徧	音遍
思慮	息嗣反又如字
見而	賢遍反
不說	音恱
施及	以豉反
蠻貉	本又作貊武伯反說文云北方人也
所隊	直類反
能經論	本又作綸同音倫
夫焉	於䖍反
所倚	依綺於寄二反注同
肫肫	依注音之淳反懇誠貌
浩浩	胡老反
被德	皮義反
偏頗	破河反
懇誠	口很反
純純	音淳又之淳反
尚絅	本又作顈詩作褧同口迥反徐口定反一音口穎反
惡其	烏路反
之著	張慮反
闇然	於感反又如字
而日	而一反下同
的然	丁曆反
易知	以豉反下易舉同
襌爲	音丹
爲其	于僞反
露見	賢遍反
淡而	徒暫反又大敢反下注同
不厭	於豔反
其睹	音覩
探端	音貪
之昭	本又作炤同之召反又章遥反
不疚	九又反
隱遯	大困反本又作遁字亦同
無愆	起䖍反
相在	息亮反注同
不愧	本又作媿同九位反
視女	音汝
奏	如字詩作􁈻子公反
假	古雅反大也
有爭	爭鬪之爭注同
大平	音泰
鈇	方于反又音斧
鉞	音越
百辟	音璧君也注同
末也	亡曷反
德輶	音酉一音由注同
易	以豉反
之載	依注讀曰烖音災生也詩音再
猶比	必履反下同或音毗志反又必利反皆非也
有重	直勇反又直容反
