莊子外篇在宥第十一	音義曰以義名篇
雲將曰朕也自以爲猖狂而民隨予所往朕也不得已於民今則民之放也	夫乗物非爲迹而迹自彰猖狂非招民而民自往故爲民所放效而不得巳也○放方往反效也注同
願聞一言鴻⬤曰亂天下之經逆物之情玄天弗成	若夫順物性而不治則情不逆而經不亂玄黙成而自然得也
解獸之羣而鳥皆夜鳴	離其所以静也
災及草木禍及止蟲	皆坐而受害也○止蟲如字本亦作昆虫崔本作止虫坐才臥反
意治人之過也	夫有治之迹亂之所由生也○意音醫本又作噫下皆同
雲將曰然則吾柰何鴻⬤曰意毒哉	言治人之過深
僊僊乎歸矣	僊僊坐起之貌嫌不能隤然通放故遣使歸僊音仙
雲將曰吾遇天難願聞一言鴻⬤曰意心養	夫心以用傷則養心者其唯不用心乎
汝徒處無爲而物自化墮爾形體吐爾聦明倫與物⬤	理與物皆不以存懷而闇付自然則無爲而自化矣○墮音許規反
大同乎涬溟	與物無際○涬戸項反又音幸溟亡頃反司馬云涬溟自然氣也
解心釋神莫然無魂	坐亡任獨
萬物云云各復其根各復其根而不知	不知而復乃眞復也
渾渾沌沌終身不離	渾沌無知而任其自復乃能終身不離其本也○渾戸本反沌徒本反離力智反下及注皆同
若彼知之乃是離之	知而復知與復⬤矣
無問其名無闚其情物故自生	闚問則失其自生也
雲將曰天降朕以德示朕以黙躬身求之乃今也得	知而不黙常自失也
再拜稽首起辭而行世俗之人皆喜人之同乎己而惡人之異於已也同於已而欲之異於已而不欲者以出乎衆爲心也	心欲出羣爲衆携也○惡烏路反
夫以出乎衆爲心者曷常出乎衆哉	衆皆以出爲心故所以爲衆人也若我亦欲出乎衆則與衆無異而不能相出矣夫衆皆以相出爲心而我獨無往而不同乃大殊於衆而爲衆主也
因衆以寧所聞不如衆技衆矣	吾一人之所聞不如衆技多故因衆則寧也若不因衆則衆之千萬皆我敵也○因衆以寧所聞因衆人之所聞見委而任之則自寧安不如衆技音其綺反衆以若役我之知逹衆人衆人之技多於我矣安得而不自困哉
而欲爲人之國者此攬乎三王之利而不見其患者也	夫欲爲人之國者不因衆之自爲而以巳爲之者此爲徒求三王主物之利而不見巳爲之患也然則三王之所以利豈爲之哉因天下之自爲而任耳攬音覽本亦作覽
此以人之國僥倖也幾何僥倖而不䘮人之國乎無萬分之一而䘮人之國也一不成而萬有餘䘮矣	與天下相因而成者也今以一巳而專制天下則天下塞矣巳豈通哉故一身旣不成而萬方有餘䘮矣○僥古堯反徐古了反字或作徼倖音幸一云僥倖求利不止之貌幾居豈反郭巨幾反䘮息浪反下及注同分如字又扶問反
悲夫有土者之不知也夫有土者有大物也有大物者不可以物物	不能用物而爲物用即是物耳豈能物物哉不能物物則不足以有大物矣
而不物故能物物	夫用物者不爲物用也不爲物用斯不物矣不物故物天下之物使各自得也
明乎物物者之非物也豈獨治天下百姓而已哉出入六合遊乎九州	用天下之自爲故馳萬物而不窮
獨往獨來是謂獨有	人皆自異而巳獨羣遊斯乃獨往獨來者也獨有斯獨可謂獨有矣
獨有之人是之謂至貴	夫與衆玄同非求貴於衆而衆人不能不貴斯至貴也若乃信其偏見而以獨異爲心則雖同於一致故是俗中之一物耳非獨有者也未能獨有而欲饕竊軒冕冐取非分衆豈歸之也哉故非至貴也○饕吐刀反冐亡報反又亡北反
大人之教若形之於影聲之於嚮	百姓之心形聲也大人之教影嚮也大人之於天下何心哉猶影嚮之隨形聲耳嚮許丈反本又作響注及下同
有問而應之盡其所懷	使物之所懷各得自盡也
爲天下配	問者爲主應故爲配
處乎無嚮	寂以待物
行乎無方	隨物轉化
挈汝適復之撓撓	撓撓自動也提挈萬物使復歸自動之性即無爲之至也○挈苦結反廣雅云持也撓而小反
以遊無端	與化倶故無端
出入無旁	玄同無表
與日無始	與日新俱故無始也
頌論形軀合乎大同	其形容與天地無異
大同而無巳	有巳則不能大同也
無巳惡乎得有有	天下之難無者巳也巳旣無矣則羣有不足復有之○惡音烏復扶又反
覩有者昔之君子	能美其名者耳
覩無者天地之友	覩無則任其獨生也
賤而不可不任者物也卑而不可不因者民也	因其性而任之則治反其性而凌之則亂夫民物之所以卑而賤者不能因任故也是以任賤者貴因卑者尊此必然之符也○治直吏反
匿而不可不爲者事也	夫事藏於彼故匿也彼各自爲故不可不爲但當因任耳○匿女力反
麤而不可不陳者法也	法者妙事之迹也安可以迹麄而不陳妙事哉
逺而不可不居者義也	當乃居之所以爲逺
親而不可不廣者仁也	親則苦偏故廣乃仁耳
節而不可不積者禮也	夫禮節者患於係一故物物體之則積而周矣
中而不可不高者德也	事之下者雖中非德○中而不可不高者德也中者順也順其性而高也
一而不可不易者道也	事之難者雖一非道况不一哉○易以䜴反下注同
神而不可不爲者天也	執意不爲雖神非天况不神哉
故聖人觀於天而不助	順自爲而巳
成於德而不累	自然與高會也
出於道而不謀	不謀而一所以爲易
會於仁而不恃	恃則不廣
薄於義而不積	率性居逺非積也
應於禮而不諱	自然應禮非由忌諱
接於事而不辭	事以理接能否自任應動而動無所辭讓○應憶升反
齊於法而不亂	御粗以妙故不亂也
恃於民而不輕	恃其自爲耳不輕用也○
因於物而不去	因而就任之不去其本也
物者莫足爲也而不可不爲	夫爲者豈以足爲故爲哉自體此爲故不可得而止也○物者莫足爲也分外也而不可不爲分內也
不明於天者不純於德	不明自然則有爲有爲而德不純也
不通於道者無自而可	不能虚巳以待物則事事失會
不明於道者悲夫何謂道有天道有人道無爲而尊者天道也	在上而任萬物之自爲也
有爲而累者人道也	以有爲爲累者不能率其自德也
主者天道也	同乎天之任物則自然居物上
臣者人道也	各當所任
天道之與人道也相去逺矣	君任無爲而委百官百官有所司而君不與焉二者俱以不爲而自得則君道逸臣道勞勞逸之際不可同日而論之也○與焉音預
不	_
可	_
不	_
#	_
S	_
B	_
1	_
_	_
0	_
5	_
3	_
5	_
-	_
1	_
5	_
8	_
.	_
p	_
n	_
g	_
#	_
p	_
a	_
g	_
e	_
m	_
i	_
s	_
s	_
i	_
n	_
g	_
#	_
S	_
B	_
1	_
_	_
0	_
5	_
3	_
5	_
-	_
1	_
5	_
9	_
.	_
p	_
n	_
g	_
#	_
p	_
a	_
g	_
e	_
m	_
i	_
s	_
s	_
i	_
n	_
g	_
