春秋榖梁傳桓公第二	○桓公名允桓王九年即位
丁酉公之䘮至自齊○秋七月○冬十有二月己丑葬我君桓公葬我君接上下也	言我君舉國上下之辭
君弑賊不討不書葬此其言葬何也	據隱公不書葬
不責踰國而討于是也	禮君父之讎不與共戴天而曰不責踰國而討于是者時齊強大非已所討君子即而恕之以申臣子之恩
桓公葬而後舉謚謚所以成德也於卒事乎加之矣	謚者行之迹所以表德人之終卒事畢於葬故於葬定稱號也昔武王崩周公制謚法大行受大名小行受小名所以勤善而懲惡禮天子崩稱天命以謚之諸侯薨天子謚之卿大夫卒受謚於其君○行之下孟反下同稱尺證反
知者慮義者行仁者守有此三者備然後可以㑹矣	桓無此三者而出㑹大國所以見殺○知音智守如字又音狩
春	_
秋	_
榖	_
梁	_
卷	_
第	_
二	_
經	_
傳	_
叄	_
阡	_
零	_
伍	_
拾	_
叄	_
字	_
注	_
叄	_
阡	_
柒	_
伯	_
捌	_
拾	_
肆	_
字	_
音	_
義	_
壹	_
阡	_
零	_
貳	_
拾	_
肆	_
字	_
余	_
仁	_
仲	_
刋	_
于	_
家	_
塾	_
