康誥第十一周書孔氏傳成王旣伐管叔蔡叔	滅三監
惟弔兹不于我政人得罪	惟人至此不孝不慈不友不恭不於我執政之人得罪乎道教不至所致弔音的
天惟與我民彞大泯亂	天與我民五常使父義母慈兄友弟恭子孝而廢棄不行是以滅亂天道泯武軫反
曰乃其速由文王作罰刑兹無赦	言當速用文王所作違教之罰刑此亂五常者無得赦
不率大戞矧惟外庶子訓人	戞常也凡民不循大常之教猶刑之無赦况在外掌衆子之官主訓民者而親犯乎戞簡八反
惟厥正人越小臣諸節	惟其正官之人於小臣諸有符節之吏及外庶子其有不循大常者則亦在無赦之利
重意	惟厥正人洪範凡厥正人
乃别播敷造民大譽弗念弗庸􁄺厥君時乃引惡惟朕憝	汝今往之國當分别播布德教以立民大善之譽若不念我言不用我法者病其君道是汝長惡惟我亦惡汝别彼列反注同汝長丁丈反下同
巳汝乃其速由兹義率殺亦惟君惟長	汝乃其速用此典刑宜於時丗者循理以刑殺則亦惟君長之正道
不能厥家人越厥小臣外正惟威惟虐大放王命乃非德用乂	爲人君長而不能治其家人之道則於其小臣外正官之吏並爲威虐大放棄王命乃由非德用治之故
汝亦罔不克敬典乃由𥙿民惟文王之敬忌	常事人之所輕故戒以無不能敬常汝用寛民之道當惟念文王之所敬忌而法之忌其記反
乃𥙿民曰我惟有及則予一人以懌	汝行寛民之政曰我惟有及於民則我一人以此恱懌汝德懌音亦
王曰封爽惟民迪吉康	明惟治民之道而善安之
我時其惟殷先哲王德用康乂民作求	我是其惟殷先智王之德用安治民爲求等爲于僞反
矧今民罔迪不適不迪則罔政在厥邦	治民乃欲求等殷先智王况今民無道不之言從教也不以道訓之則無善政在其國
王曰封予惟不可不監告汝德之說于罰之行	我惟不可不監視古義告汝施德之說於罰之所行欲其勤德愼刑說如字徐始銳反
今惟民不靜未戾厥心迪屢未同	假令今天下民不安未定其心於周教道屢數而未和同設事之言令力呈反數所角反
爽惟天其罰殛我我其不怨	明惟天其以民不安罰誅我我其不恐天汝不治我罰汝汝亦不可怨我殛紀力反
惟厥罪無在大亦無在多矧曰其尚顯聞于天	民之不安雖小邑小民猶有誅罰不在多大况曰不愼罰明聞于天者乎言罪大
王曰嗚呼封敬哉無作怨勿用非謀非彞	言當修已以敬無爲可怨之事勿用非善謀非常法
重言	欽哉五本篇二洛誥蔡仲之命君陳各一
蔽時忱丕則敏德	斷行是誠道大法敏德信則人任焉敏則有功
用康乃心顧乃德逺乃猷	用是誠道安汝心顧省汝德無令有非逺汝謀思爲長乆
𥙿乃以民寜不汝瑕殄	行寛政乃以民安則我不汝罪過不絶亡汝
王曰嗚呼肆汝小子封惟命不于常	以民安則不絶亡汝故當念天命之不于常汝行善則得之行惡則失之
互註	記大學康誥曰惟命不于常道善則得之不善則失之矣
汝念哉無我殄	無絶棄我言而不念
重言	汝念哉本篇二
享明乃服命	享有國土當明汝所服行之命令使可則
髙乃聽用康乂民	髙汝聽聽先王道德之言以安治民
○重言	用康乂民三上文一
王若曰往哉封勿替敬典	汝往之國勿廢所冝敬之常法
重言	往哉七舜典二盤庚微子之命本篇畢命文侯之命各一
聽朕告汝乃以殷民丗享	順從我所告之言即汝乃以殷民丗丗享國福流後丗
