周官第二十二周書孔氏傳成王旣黜殷命滅淮夷	黜殷在周公東征時滅淮夷在成王即政後事相因故連言之
司徒掌邦教敷五典擾兆民	地官卿司徒主國教化布五常之教以安和天下衆民使小大恊睦擾而小反徐又音饒
重意	敷五典君牙弘敷五典舜典愼徽五典
宗伯掌邦禮治神人和上下	春官卿宗廟官長主國禮治天地神祇人鬼之事及國之吉凶軍賔嘉五禮以和上下尊卑等列
司馬掌邦政統六師平邦國	夏官卿主戎馬之事掌國征伐統正六軍平治王邦四方國之亂者
重意	統六師嗣征掌六帥
司寇掌邦禁詰姦慝刑暴亂	秋官卿主寇賊法禁治姦惡刑強暴作亂者夏司馬計惡助長物秋司寇刑姦順時殺慝吐得反
司空掌邦土居四民時地利	冬官卿主國空土以居民上農工商四人使順天時分地利授之土能吐生百榖故曰土
六卿分職各率其屬以倡九牧阜成兆民	六卿各率其屬官大夫士治其所分之職以倡導九州牧伯爲政大成兆民之性命皆能其官則政治倡尺亮反下同阜音負治直吏反
六年五服一朝	五服侯甸男采衛六年一朝㑹京師朝直遥反
又六年王乃時廵考制度于四岳	周制十二年一廵守春東夏南秋西冬北故曰時廵考正制度禮法于四岳之下如虞帝廵守然守音狩下同本亦作狩
重意	又六年王乃時廵舜典五載一廵守
諸侯各朝于方岳大明黜陟	覲四方諸侯各朝于方岳之下大明考績黜陟之法黜丑律反貶下也
重意	諸侯各朝于方岳舜典羣后四朝〇大明黜陟舜典黜陟幽明
王曰嗚呼凡我有官君子欽乃有司慎乃出令令出惟行弗惟反	有官君子大夫已上歎而戒之使敬汝所司慎汝出令從政之本令出必惟行之不惟反改若二三其令亂之道上時掌反
以公㓕私民其允懷	從政以公平㓕私情則民其信歸之
學古入官議事以制政乃不迷	言當先學古訓然後入官治政凡制事必以古義議度終始政乃不迷錯度徒洛反
其爾典常作之師無以利口亂厥官	其汝爲政當以舊典常故事爲師法無以利口辯佞亂其官
蓄疑敗謀怠忽荒政不學牆面莅事惟煩	積疑不决必敗其謀怠惰忽畧必亂其政人而不學其猶正牆面而立臨政事必煩蓄勑六反莅音利又音類
戒爾卿士功崇惟志業廣惟勤惟克果斷乃罔後艱	此戒凡有官位但言卿士舉其掌事者功髙由志業廣由勤惟能果斷行事乃無後難言多疑必致患斷丁亂反下注同
位不期驕禄不期侈	貴不與驕期而驕自至冨不與侈期而侈自來驕侈以行己所以速亡
恭儉惟德無載爾僞	言當恭儉惟以立德無行姦僞
作德心逸日休作僞心勞日拙	爲德直道而行於心逸豫而名日美爲僞飾巧百端於心勞苦而事日拙不可爲
居寵思危罔不惟畏弗畏入畏	言雖居貴寵當思危懼無所不畏若乃不畏則入可畏之刑
推賢讓能庻官乃和不和政厖	賢能相讓俊乂在官所以和諧厖亂也厖武江反
舉能其官惟爾之能稱匪其人惟爾不任	所舉能修其官亦惟汝之功能舉非其人亦惟汝之不勝其任勝音升
王曰嗚呼三事曁大夫敬爾有官亂爾有政	歎而勑之公卿巳下各敬居汝所有之官治汝所有之職
以佑乃辟永康兆民萬邦惟無斁	言當敬治官政以助汝君長安天下兆民則天下萬國惟乃無厭我周德斁音亦長直艮反厭於豔反
成王旣伐東夷肅愼來賀	海東諸夷駒麗扶餘馯貃之屬武王克商皆通道焉成王即政而叛王伐而服之故肅愼氏來賀肅愼馬本作息愼云北夷也駒俱付反又如字麗力支反馯戸旦反地理志音寒貃孟白反說文作貉北方豸種孔子曰貉之言貃貃惡也
王俾榮伯作賄肅愼之命	榮國名同姓諸侯爲卿大夫王使之爲命書以幣賄賜肅愼之夷亡俾必爾反馬本作辨
周公在豐	致政老歸
將没欲葬成周	已所營作示始終念之
公薨成王葬于畢	不敢臣周公故使近文武之墓近附近之近
告周公作亳姑	周公徙奄君於毫姑因告柩以葬畢之義并及奄君已定亳姑言所遷之功成亡柩其乆反
