春秋經傳集解僖公上第五	僖公名申莊公之子閔公之兄母成風謚法小心畏忌曰僖
公子友敗諸酈獲莒子之弟挐非卿也嘉獲之也	莒旣不能爲魯討慶父受魯之賂而又重來其求無厭故嘉季友之獲而書之爲于僞切重直用切厭於鹽切
公賜季友汶陽之田及費	汶陽田汶水北地汶水出泰山萊蕪縣西入濟汶音問費音秘萊音來
○夫人氏之喪至自齊君子以齊人之殺哀姜也爲巳甚矣女子從人者也	言女子有三從之義在夫家有罪非父母家所宜討也
經二年春王正月城楚丘	楚丘衛邑不言城衛衛未遷
〇夏五月辛巳葬我小君哀姜	無傳反哭成喪故稱小君例在定十五年
○虞師晉師滅下陽	下陽虢邑在河東大陽縣晉於此始赴見經滅例在襄十三年大音泰一音如字見賢遍切
〇秋九月齊侯宋公江人黄人盟于貫	貫宋地梁國蒙縣西北有貰城貰與貫字相似江國在汝南安陽縣貫古亂切貰市夜切又音世
〇冬十月不雨	傳在三年
〇楚人侵鄭傳二年春諸侯城楚丘而封衛焉	君死國滅故傳言封
不書所會後也	諸侯旣罷而魯後至諱不及期故以獨城爲文
〇晉荀息請以屈産之乗與垂棘之璧假道於虞以伐虢	荀息荀叔也屈地生良馬垂棘出美玉故以爲名四馬曰乗自晉適虢途出於虞故借道屈求勿切又居勿切注同乗繩證切
公曰是吾寳也對曰若得道於虞猶外府也公曰宫之竒存焉	宫之竒虞忠臣竒其宜切
對曰宫之竒之爲人也懦而不能強諫	懦弱也懦本又作燸乃亂切又乃貨切字林作愞音乃亂切強其良切又其丈切
且少長於君君暱之雖諫將不聽	親而狎之必輕其言少詩照切長丁丈切暱女乙切
乃使荀息假道於虞曰冀爲不道入自顚軨伐鄍三門	前是冀伐虞至鄍鄍虞邑河東大陽縣東北有顛軨坂軨音零鄍亡丁切坂音反
冀之旣病則亦唯君故	言虞報伐冀使病將欲假道故稱虞彊以說其心冀國名平陽皮氏縣東北有冀亭說音悅
今虢爲不道保於逆旅	逆旅客舎也虢稍遣人分依客舎以聚衆抄晉邊邑抄初孝切又楚稍切強取物
以侵敝邑之南鄙敢請假道以請罪于虢	問虢伐已以何罪
虞公許之且請先伐虢	喜於厚賂而欲求媚
宫之竒諫不聽遂起師夏晉里克荀息帥師會虞師伐虢滅下陽	晉猶主兵不信虞
先書虞賄故也	虞非倡兵之首而先書之惡貪賄也賄呼罪切惡烏路切
〇秋盟于貫服江黃也	江黃楚與國也始來服齊故爲合諸侯爲于僞切下同
〇齊寺人貂始漏師于多魚	寺人内奄官豎貂也多魚地名闕齊桓多嬖寵内則如夫人者六人外則幸豎貂易牙之等終以此亂國傳言貂於此始擅貴寵漏洩桓公軍事爲齊亂張本寺如字又音侍貂音彫豎上主切擅時戰切洩息列切又以制切
○虢公敗戎于桑田	桑田虢地在弘農陜縣東北
晉卜偃曰虢必亡矣亡下陽不懼而又有功是天奪之鑒	鑒所以自照
而益其疾也	驕則生疾
必易晉而不撫其民矣不可以五稔	稔熟也爲下五年晉滅虢張本易以䜴切稔入甚切
○冬楚人伐鄭鬬章囚鄭耼伯	經書侵傳言伐本以伐興權行侵掠爲後年楚伐鄭鄭伯欲成張本耼乃甘切掠音亮
經三年春王正月不雨夏四月不雨	一時不雨則書首月傳例曰不曰旱不爲災
○徐人取舒	無傳徐國在下邳僮縣東南舒國今廬江舒縣勝國而不用大師亦曰取例在襄十三年邳皮悲切僮音童廬力居切
○六月雨	示旱不竟夏
○秋齊侯宋公江人黃人會于陽穀	陽榖齊地在東平須昌縣北
○冬公子友如齊涖盟	涖臨也涖音利又音類
〇楚人伐鄭傳三年春不雨夏六月雨自十月不雨至于五月不曰旱不爲災也	周六月夏四月於播種苗稼無損夏戸雅切
〇秋會于陽榖謀伐楚也	二年楚侵鄭故
○齊侯爲陽榖之會來㝷盟冬公子友如齊涖盟	公時不會陽榖故齊侯自陽榖遣人詣魯來㝷􁋼魯使上卿詣齊受􁋼謙也爲于僞切
○楚人伐鄭鄭伯欲成孔叔不可曰齊方勤我	孔叔鄭大夫勤恤鄭難難乃旦切
弃德不祥	祥善也
○齊侯與蔡姬乗舟于囿蕩公	蔡姬齊侯夫人蕩搖也囿苑也蓋魚池在苑中囿音又
公懼變色禁之不可公怒歸之未之絶也蔡人嫁之	爲明年齊侵蔡傳
經四年春王正月公會齊侯宋公陳侯衛侯鄭伯許男曹伯侵蔡蔡潰	民逃其上曰潰例在文三年
遂伐楚次于陘	遂兩事之辭楚強齊欲綏之以德故不速進而次陘陘楚地潁川召陵縣南有陘亭陘音刑召上照切
〇夏許男新臣卒	未同盟而赴以名
○楚屈完來盟于師盟于召陵	屈完楚大夫也楚子遣完如師以觀齊屈完覩齊之盛因而求盟故不稱使以完來盟爲文齊桓退舎以禮楚故盟召陵召陵潁川縣也
〇齊人執陳轅濤塗	轅濤塗陳大夫轅本亦作袁濤音桃
〇秋及江人黃人伐陳	受齊命討陳之罪而以與謀爲文者時齊不行使魯爲主與謀例在宣七年與音預下同
〇八月公至自伐楚	無傳告于廟
○葬許穆公〇冬十有二月公孫兹帥師會齊人宋人衛人鄭人許人曹人侵陳	公孫兹叔牙子叔孫戴伯
傳四年春齊侯以諸侯之師侵蔡蔡潰遂伐楚楚子使與師言曰君處北海寡人處南海唯是風馬牛不相及也	楚界猶未至南海因齊處北海遂稱所近牛馬風逸蓋末界之微事故以取喻近附近之近
不虞君之渉吾地也何故管仲對曰昔召康公命我先君大公	召康公周大保召公奭也大音泰注同奭音釋
曰五侯九伯女實征之以夾輔周室	五等諸侯九州之伯皆得征討其罪齊桓因此命以夸楚女音汝夾古洽切舊古恊切夸苦瓜切
賜我先君履東至于海西至于河南至于穆陵北至于無棣	穆陵無棣皆齊竟也履所踐履之界齊桓又因以自言其盛棣大計切竟音境下同
爾貢包茅不入王祭不共無以縮酒寡人是徴	包裹束也茅菁茅也束茅而灌之以酒爲縮酒尚書包匭菁茅茅之爲異未審共本亦作供音恭下及注同縮所六切裹音果菁子丁切包或作苞匭本或作軌音同
昭王南征而不復寡人是問	昭王成王之孫南巡守渉漢舩壞而溺周人諱而不赴諸侯不知其故故問之守手又切溺乃歷切
對曰貢之不入寡君之罪也敢不共給昭王之不復君其問諸水濵	昭王時漢非楚竟故不受罪濵音賔
師進次于陘	楚不服罪故復進師復扶又切
夏楚子使屈完如師	如陘之師觀強弱
師退次于召陵	完請盟故
齊侯陳諸侯之師與屈完乗而觀之	乗共載乗繩證切注同
齊侯曰豈不榖是爲先君之好是繼與不榖同好如何	言諸侯之附從非爲己乃㝷先君之好謙而自廣因求與楚同好孤寡不榖諸侯謙稱爲于僞切注同好呼報切下及注同稱尺證切
對曰君惠儌福於敝邑之社稷辱收寡君寡君之願也齊侯曰以此衆戰誰能禦之以此攻城何城不克對曰君若以德綏諸侯誰敢不服君若以力楚國方城以爲城漢水以爲池	方城山在南陽葉縣南以言竟土之逺漢水出武都至江
繇曰專之渝攘公之羭	繇卜兆辭渝變也攘除也羭美也言變乃除公之美繇直救切渝羊朱切下羭同音攘如羊切
一薫一蕕十年尚猶有臭	薰香草蕕臭草十年有臭言善易消惡難除薰許云切蕕音由易以䜴切
必不可弗聽立之生奚齊其娣生卓子及將立奚齊旣與中大夫成謀姬謂大子曰君夢齊姜必速祭之	齊姜大子母言求食卓吐濁切
大子祭于曲沃歸胙于公	胙祭之酒肉胙才故切
公田姬寘諸宫六日公至毒而獻之	毒酒經宿輒敗而經六日明公之惑寘之䜴切
公祭之地地墳與犬犬斃與小臣小臣亦斃姬泣曰賊由大子大子奔新城	新城曲沃墳扶粉切斃婢丗切
公殺其傅杜原𣢾或謂大子子辭君必辯焉	以六日之狀自理款苦管切辯兵免切
大子曰君非姬氏居不安食不鮑我辭姬必有罪君老矣吾又不樂	吾自理則姬死姫死則君必不樂不樂爲由吾也樂音洛注同
曰子其行乎大子曰君實不察其罪被此名也以出人誰納我十二月戊申縊于新城姬遂譖二公子曰皆知之重耳奔蒲夷吾奔屈	二子時在朝爲明年晉殺申生傳被皮寄切又皮綺切縊一賜切譛側鴆切
經五年春晉侯殺其丗子申生	稱晉侯惡用讒書春從告惡烏路切
〇𣏌伯姬來朝其子	無傳伯姬來寜寧成風也朝其子者時子年在十歳左右因有諸侯子得行朝義而卒不成朝禮故繫於母而曰朝其子𣏌伯姫來絶句朝其子猶言其子朝
〇夏公孫兹如牟	叔孫戴伯娶於牟卿非君命不越竟故奉公命聘於牟因自爲逆竟音境爲于僞切
○公及齊侯宋公陳侯衛侯鄭伯許男曹伯會王丗子于首止	惠王大子鄭也不名而殊會尊之也首止衛地陳留襄邑縣東南有首郷
○秋八月諸侯盟于首止	間無異事復稱諸侯者王丗子不盟故也王之丗子尊與王同齊桓行霸翼戴天子尊崇王室故殊貴丗子復扶又切
〇鄭伯逃歸不盟	逃其師而歸也逃例在文三年
〇楚人滅弦弦子奔黃	弦國在弋陽􁉨縣東南􁉨音犬
〇九月戊申朔日有食之	無傳
○冬晉人執虞公	虞公貪璧馬之寳距絶忠諫稱人以執同於無道於其民之例例在成十五年所以罪虞且言易也晉侯脩虞之祀而歸其職貢於王故不以滅同姓爲譏易以䜴切
傳五年春王正月辛亥朔日南至	周正月今十一月冬至之日日南極
公旣視朔遂登觀臺以望而書禮也	視朔親告朔也觀臺臺上􁀌屋可以逺觀者也朔旦冬至歷數之所始治歷者因此則可以明其術數審别隂陽叙事訓民魯君不能常脩此禮故善公之得禮觀古亂切注同臺以望絶句而書本或作而書雲物非也别彼列切
凢分至啓閉必書雲物	分春秋分也至冬夏至也啓立春立夏閉立秋立冬雲物氣色災孌也傳重申周典不言公者日官掌其職重直用切
爲備故也	素察妖祥逆爲之備
〇晉侯使以殺大子申生之故來告	釋經必須告乃書
初晉侯使士蔿爲二公子築蒲與屈不愼寘薪焉	不謹愼爲于僞切下乃爲同寘之䜴切
夷吾訴之公使讓之	譴讓之譴弃戰切
士蔿稽首而對曰臣聞之無喪而慼憂必讎焉	讎猶對也
無戎而城讎必保焉	保而守之
寇讎之保又何愼焉守官廢命不敬固讎之保不忠失忠與敬何以事君詩云懷德惟寧宗子惟城	詩大雅懷德以安則宗子之固若城
君其脩德而固宗子何城如之	言城不如固宗子
三年將㝷師焉焉用愼	㝷用也焉於䖍切
退而賦曰狐裘尨茸一國三公吾誰適從	士蔿自作詩也尨茸亂貌公與二公子爲三言城不堅則爲公子所訴爲公所讓堅之則爲固讎不忠無以事君故不知所從尨莫江切又音蒙茸如容切適丁歷切
及難公使寺人披伐蒲重耳曰君父之命不校乃徇曰校者吾讎也踰垣而走披斬其祛遂出奔翟	祛袂也難乃旦切披普皮切校音敎徇似俊切垣音表袪起魚切翟音狄袂靣丗切
〇夏公孫兹如牟娶焉	因聘而娶故傳實其事娶本或作取七喻切
〇會于首止會王大子鄭謀寧周也	惠王以惠后故將廢大子鄭而立王子帶故齊桓帥諸侯會王大子以定其位
〇齊轅宣仲怨鄭申侯之反己於召陵	宣仲轅濤塗
故勸之城其賜邑	齊桓所賜虎牢
曰美城之大名也子孫不忘吾助子請乃爲之請於諸侯而城之美	樓櫓之備美設美城之絶句櫓音魯
遂譖諸鄭伯曰美城其賜邑將以叛也申侯由是得罪	爲七年鄭殺申侯傳
〇秋諸侯盟王使周公召鄭伯曰吾撫女以從楚輔之以晉可以少安	周公宰孔也王恨齊桓定大子之位故召鄭伯使叛齊也晉楚不服於齊故以鎭安鄭秋諸侯盟本或此下更有于首止三字非女音汝
鄭伯喜於王命而懼其不朝於齊也故逃歸不盟孔叔止之曰國君不可以輕輕則失親	孔叔鄭大夫親黨援也輕遣正切下同
失親患必至病而乞盟所喪多矣君必悔之弗聽逃其師而歸	喪息浪切
〇楚鬪榖於莬滅弦弦子奔黃於是江黃道栢方睦於齊皆弦姻也	姻外親也道國在汝南安陽縣南栢國名汝南西平縣有栢亭
弦子恃之而不事楚又不設備故亡〇晉侯復假道於虞以伐虢宫之竒諫曰虢虞之表也虢亡虞必從之晉不可啓寇不可翫	翫習也復扶又切下六年同
一之謂甚其可再乎	爲二年假晉道滅下陽
諺所謂輔車相依脣亡齒寒者其虞虢之謂也	輔頰輔車牙車車尺奢切
公曰晉吾宗也豈害我哉對曰大伯虞仲大王之昭也大伯不從是以不嗣	大伯虞仲皆大王之子不從父命俱讓適呉仲雍支子别封西呉虞公其後也穆生昭昭生穆以丗次計故大伯虞仲於周爲昭大音泰下及注同昭上饒切注同後昭穆倣此
虢仲虢叔王季之穆也	王季者大伯虞仲之母弟也虢仲虢叔王季之子文王之母弟也仲叔皆虢君字
爲文王卿士勲在王室藏於盟府	盟府司盟之官
將虢是滅何愛於虞且虞能親於桓莊乎其愛之也桓莊之族何罪而以爲戮不唯偪乎	桓叔莊伯之族晉獻公之從祖昆弟獻公患其偪盡殺之事在莊二十五年偪彼力切
親以寵偪猶尚害之況以國乎公曰吾享祀豐絜神必據我	據猶安也享興兩切
對曰臣聞之鬼神非人實親惟德是依故周書曰皇天無親惟德是輔	周書逸書
又曰黍稷非馨明德惟馨	馨香之逺聞聞音問又如字
又曰民不易物惟德繄物	黍稷牲玉無德則不見饗有德則見饗言物一而異用繄烏兮切是也
如是則非德民不和神不享矣神所馮依將在德矣若晉取虞而明德以薦馨香神其吐之乎弗聽許晉使宫之竒以其族行	行去也馮皮冰切下注同使所吏切
曰虞不臘矣	臘歳終祭衆神之名臘力盍切
在此行也晉不更舉矣	不更舉兵
八月甲午晉侯圍上陽	上陽虢國都在弘農陜縣東南
問於卜偃曰吾其濟乎對曰克之公曰何時對曰童謠云丙之晨龍尾伏辰	龍尾尾星也日月之會曰辰日在尾故尾星伏不見謠音遙見賢遍切
均服振振取虢之旂	戎事上下同服振振盛貌旂軍之旌旗均如字同也字林作礿音同振音眞注同
鶉之賁賁天䇿焞焞火中成軍虢公其奔	鶉鶉火星也賁賁鳥星之體也天策傅說星時近日星微焞焞無光耀也言丙子平且鶉火中軍事有成功也此巳上皆童謠言也童齓之子未有念慮之感而會成嬉戲之言似若有馮者其言或中或否愽覽之士能懼思之人兼而志之以爲鑒戒以爲將來之驗有益於丗敎鶉述春切又常倫切賁音奔焞他門切說音悅近附近之近上時掌切齓初問切又恥問切毁齒也嬉許宜切中丁仲切
其九月十月之交乎	以星驗推之知九月十月之交謂夏之九月十月也交晦朔交會夏戸雅切下同
丙子旦日在尾月在䇿	是夜日月合朔於尾月行疾故至旦而過在䇿
鶉火中必是時也冬十二月丙子朔晉滅虢虢公醜奔京師	不書不告也周十二月夏之十月
師還館于虞遂襲虞滅之執虞公及其大夫井伯以媵秦穆姬	秦穆姬晉獻公女送女曰媵以屈辱之
而脩虞祀且歸其職貢於王	虞所命祀
故書曰晉人執虞公罪虞且言易也	易以䜴切
經六年春王正月○夏公會齊侯宋公陳侯衛侯曹伯伐鄭圍新城	新城鄭新密今滎陽密縣
〇秋楚人圍許	楚子不親圍以圍者告
○諸侯遂救許	皆伐鄭之諸侯故不復更叙
○冬公至自伐鄭	無傳
傳六年春晉侯使賈華伐屈夷吾不能守盟而行	賈華晉大夫非不欲校力不能守言不如重耳之賢
將奔狄卻芮曰後岀同走罪也	嫌與重耳同謀而相隨郤去逆切芮如銳切
不如之梁梁近秦而幸焉乃之梁	以梁爲秦所親幸秦旣大國且穆姫在爲故欲因以求入近附近之近
〇夏諸侯伐鄭以其逃首止之盟故也	首止盟在五年
圍新密鄭所以不時城也	實新密而經言新城者鄭以非時興土功齊桓聲其罪以告諸侯
〇秋楚子圍許以救鄭諸侯救許乃還冬蔡穆侯將許僖公以見楚子於武城	楚子退舎武城猶有忿志而諸侯各罷兵故蔡将許君歸楚武城楚地在南陽宛縣北見賢遍切罷扶罵切又扶買切宛於元切
許男靣縛銜璧大夫衰絰士輿櫬	縛手於後唯見其靣以璧爲贄手縛故銜之櫬棺也將受死故衰絰衰七雷切絰直結切注同櫬初覲切贄本又作質音置又如字縛如字舊扶卧切
楚子問諸逢伯	逢伯楚大夫
對曰昔武王克殷微子啓如是	微子啓紂庶兄宋之祖也
武王親釋其縛受其璧而祓之	祓除凶之禮祓芳弗切徐音廢
焚其櫬禮而命之使復其所楚子從之經七年春齊人伐鄭〇夏小邾子來朝	無傳郳犂來始得王命而來朝也邾之别封故曰小邾
〇鄭殺其大夫申侯	申侯鄭卿專利而不厭故稱名以殺罪之也例在文六年厭於鹽切傳同
○秋七月公會齊侯宋公陳丗子𣢾鄭丗子華盟于寗母	髙平方與縣東有泥母亭音如寗母如字又音無注同方音房與音預泥乃麗切又音寗王奴兮切
○曹伯班卒	無傳五年同盟于首止
〇公子友如齊	無傳罷盟而聘謝不敏也
○冬葬曹昭公	無傳
傳七年春齊人伐鄭孔叔言於鄭伯曰諺有之曰心則不競何憚於病	競强也憚難也憚徒旦切難乃旦切下及八年經傳並同
旣不能疆又不能弱所以斃也國危矣請下齊以救國公曰吾知其所由來矣姑少待我	欲以申侯說下戸嫁切
對曰朝不及夕何以待君夏鄭殺申侯以說于齊且用陳轅濤塗之譖也	濤塗譖在五年朝如字
初申侯申出也	姊妹之子爲出
有寵於楚文王文王將死與之璧使行曰唯我知女女專利而不厭子取子求不女疵瑕也	從我取從我求我不以女爲罪釁女音汝下皆同疵似斯切又疾移切釁許靳切下同
後之人將求多於女	謂嗣君也求多以禮義大望責之
女必不免我死女必速行無適小國將不女容焉	政狹法峻狹音洽
旣葬出奔鄭又有寵於厲公子丈聞其死也曰古人有言曰知臣莫若君弗可改也巳〇秋盟于寗母謀鄭故也管仲言於齊侯曰臣聞之招攜以禮懷逺以德	攜離也
德禮不易無人不懷齊侯脩禮於諸侯諸侯官受方物	諸侯官司各於齊受其方所當貢天子之物
鄭伯使大子華聽命於會言於齊侯曰洩氏孔氏子人氏三族實違君命	三族鄭大夫洩息列切
若君去之以爲成我以鄭爲内臣君亦無所不利焉	以鄭事齊如封内臣去起吕切
齊侯將許之管仲曰君以禮與信屬諸侯而以姦終之無乃不可乎子父不奸之謂禮守命共時之謂信	守君命共時事奸音干共音恭注同
違此二者姦莫大焉公曰諸侯有討於鄭未捷今苟有釁從之不亦可乎	子華犯父命是其釁隙隙去逆切
對曰君若綏之以德加之以訓辭而帥諸侯以討鄭鄭將覆亡之不暇豈敢不懼若揔其罪人以臨之	揔将領也子華奸父之命即罪人覆芳服切
鄭有辭矣何懼	以大義爲辭
且夫合諸侯以崇德也會而列姦何以示後嗣	列姦用子華
夫諸侯之會其德刑禮義無國不記記姦之位	位會位也子華爲姦人而列在會位將爲諸侯所記
君盟㬱矣	朁廢也朁他計切
作而不記非盛德也	君舉必書雖復齊史隱諱亦損盛德復扶又切
君其勿許鄭必受盟夫子華旣爲大子而求介於大國以弱其國亦必不免	介因也介音界
鄭有叔詹堵叔師叔三良爲政未可間也齊侯辭焉子華由是得罪於鄭冬鄭伯使請盟于齊	以齊侯不聽子華故堵丁古切又音者間閒廁之閒
〇閏月惠王崩襄王惡大叔帶之難	襄王惠王大子鄭也大叔帶襄王弟惠后之子也有寵於惠后惠后欲立之未及而卒惡烏路切大音泰叔又作升
懼不立不發喪而告難于齊	爲八年盟洮傳洮他刀切
經八年春王正月公會王人齊侯宋公衛侯許男曹伯陳丗子𣢾盟于洮	王人與諸侯盟不譏者王室有難故洮曹地
鄭伯乞盟	新服未與會故不序列别言乞盟與音預下同
〇夏狄伐晉〇秋七月禘于大廟用致夫人	禘三年大祭之名大廟周公廟致者致新死之主於廟而列之昭穆夫人淫而與弑不薨於寢於禮不應致故僖公疑其禮歷三禘今果行之嫌異常故書之大音泰弒音試
○冬十有二月丁未天王崩	實以前年閏月崩以今年十二月丁未告
傳八年春盟于洮謀王室也鄭伯乞盟請服也襄王定位而後發喪	王人會洮還而後王位定
○晉里克帥師梁由靡御虢射爲右以敗狄于采桑	傳言前年事也平陽北屈縣西南有采桑津射食亦切
梁由靡曰狄無恥從之必大克	不恥走故可逐
里克曰拒之而巳無速衆狄	恐怨深而羣黨來報
虢射曰期年狄必至示之弱矣夏狄伐晉報采桑之役也復期月	明期年之言驗期音基本或作朞注同
○秋禘而致哀姜焉非禮也凡夫人不薨于寢不殯于廟不赴于同不祔于姑則弗致也	寢小寢同同盟將葬又不以殯過廟據經哀姜薨葬之文則爲殯廟赴同祔姑今當以不薨于寢不得致也祔音附
冬王人來告喪難故也是以緩	有大叔帶之難
〇宋公疾大子兹父固請曰目夷長且仁君其立之	兹父襄公也目夷兹父庶兄子魚也父音甫長丁丈切
公命子魚子魚辭曰能以國讓仁孰大焉臣不及也且又不順	立庶不順禮
遂走而退經九年春王三月丁丑宋公御說卒	四同盟御魚吕切說音悅
○夏公會宰周公齊侯宋子衛侯鄭伯許男曹伯于葵丘	周公宰孔也宰官周采地天子三公不字宋子襄公也傳例曰在喪公侯曰子陳留外黄縣東有葵丘
〇秋七月乙酉伯姬卒	無傳公羊榖梁曰未適人故不稱國巳許嫁則以成人之禮書不復殤也婦人許嫁而笄猶丈夫之冠復扶又切殤式羊切笄古兮切冠古喚切
〇九月戊辰諸侯盟于葵丘	夏會葵丘次伯姫卒文不相比故重言諸侯宰孔先歸不與盟比毗志切重直用切與音預
○甲子晉侯佹諸卒	未同盟而赴以名甲子九月十一日戊辰十五日也書在盟後從赴佹九委切
○冬晉里克殺其君之子奚齊	獻公未葬奚齊未成君故稱君之子奚齊受命繼位無罪故里克稱名殺如字傳同公羊音試
傳九年春宋桓公卒未葬而襄公會諸侯故曰子凡在喪王曰小童公侯曰子	在喪未葬也小童者童蒙幼末之稱子者繼父之辭公侯位尊上連王者下絶伯子男周康王在喪稱予一人釗禮稱亦不言小童或所稱之辭各有所施此謂王自稱之辭非諸夏所得書故經無其事傳通取舊典之文以事相接稱尺證切釗古堯切又音昭
○夏會于葵丘㝷盟且脩好禮也	好呼報切下于好井及注同
王使宰孔賜齊侯胙	胙祭肉尊之比二王後胙才素切
曰天子有事于文武	有祭事也
使孔賜伯舅胙	天子謂異姓諸侯曰伯舅
齊侯將下拜孔曰且有後命天子使孔曰以伯舅耋老加勞賜一級無下拜	七十曰耋級等也耋田節切又他結切勞力報切級音急
對曰天威不違顔咫尺	言天鑒察不逺威嚴常在顔面之前八寸曰咫咫之氏切
小白余敢貪天子之命無下拜	小白齊侯名余身也
恐隕越于下	隕越顚墜也據天王居上故言恐顚隊亍下隊直類切下同
以遺天子羞敢不下拜下拜登受	拜堂下受胙於堂上遺于季切
秋齊侯盟諸侯于葵丘曰凡我同盟之人旣盟之後言歸于好	義取脩好故傳顯其盟辭
宰孔先歸	旣會先諸侯去先悉薦切
遇晉侯曰可無會也	晉侯欲來會葵丘
齊侯不務德而勤逺略故北伐山戎	在莊三十一年
南伐楚	在四年
西爲此會也東略之不知西則否矣	言或向東必不能復西略復扶又切下不復會同
其在亂乎君務靖亂無勤於行	在存也微戒獻公言晉将有亂
晉侯乃還	不復會齊
九月晉獻公卒里克㔻鄭欲納文公故以三公子之徒作亂	㔻鄭晉大夫三公子申生重耳夷吾㔻普悲切
初獻公使荀息傳奚齊公疾召之曰以是藐諸孤	言其幼賤與諸子縣藐藐妙小切又亡角切縣音玄
辱在大夫其若之何	欲屈辱荀息使保護之
稽首而對曰臣竭其股肱之力加之以忠貞其濟君之靈也不濟則以死繼之公曰何謂忠貞對曰公家之利知無不爲忠也送往事居耦俱無猜貞也	往死者居生者耦兩也送死事生兩無疑恨所謂正也猜七才切
及里克將殺奚齊先告荀息曰三怨將作	三公子之徒
秦晉輔之子將何如荀息曰將死之里克曰無益也荀叔曰吾與先君言矣不可以貳能欲復言而愛身乎	荀叔荀息也復言言可復也
雖無益也將焉辟之且人之欲善誰不如我我欲無貳而能謂人巳乎	言不能止里克使不忠於申生等焉於䖍切及下文焉能克同
冬十月里克殺奚齊于次	次喪寢
書曰殺其君之子未葬也荀息將死之人曰不如立卓子而輔之荀息立公子卓以葬十一月里克殺公子卓于朝荀息死之君子曰詩所謂白圭之玷尚可磨也斯言之玷不可爲也	詩大雅言此言之缺難治甚於白圭玷丁簟切又丁念切
荀息有焉	有此詩人重言之義
〇齊侯以諸侯之師伐晉及髙梁而還討晉亂也	髙梁晉地在平陽縣西南
令不及魯故不書	前巳發不書例今復重發嫌霸者異於凡諸侯令力政切本又作命復扶又切重直用切
○晉郤芮使夷吾重賂秦以求入	卻芮卻克祖父從夷吾者從才用切
曰人實有國我何愛焉	言國非已之有何愛而不以賂秦
入而能民土於何有從之	能得民不患無土
齊隰朋帥師會秦師納晉惠公	隰朋齊大夫惠公夷吾隰音習
秦伯謂郤芮曰公子誰恃對曰臣聞亡人無黨有黨必有讎	言夷吾無黨無黨則無讎易出易入以微勸秦易以䜴切
夷吾弱不好弄	弄戲也好呼報切
能鬪不過	有節制
長亦不改不識其他公謂公孫枝曰夷吾其定乎	公孫枝秦大夫子桑也長丁丈切
對曰臣聞之唯則定國詩曰不識不知順帝之則丈王之謂也	詩大雅帝天也則法也言文王闇行自然合天之法
又曰不僭不賊鮮不爲則	僭過差也賊傷害也皆忌克也能不然則可爲人法則僭子念切下注同鮮息淺切
無好無惡不忌不克之謂也今其言多忌克	旣僣而賊好呼報切人如字惡烏路切
難哉	言能自定難
公曰忌則多怨又焉能克是吾利也	其言雖多忌適足以自害不能勝人也秦伯慮其還害己故曰是吾利
〇宋襄公即位以公子目夷爲仁使爲左師以聽政於是宋治故魚氏丗爲左師經十年春王正月公如齊	無傳
○狄滅温温子奔衛	蓋中國之狄滅而居其土地
○晉里克弑其君卓及其大夫荀息	弒卓在前年而以今春書者從赴也獻公旣葬卓巳免喪故稱君也荀息稱名者雖欲復言本無逺謀從君於昏
〇夏齊侯許男伐北戎	無傳北伐山戎
