春秋經傳集解成上第十二	陸云成公名黑肱宣公子謚法安民立政曰成
〇庚寅衛侯速卒	宣十七年盟于斷道據傳庚寅九月七日
〇取汶陽田	晉使齊還魯故書取不以好得故不言歸汶音問好呼報切
〇冬楚師鄭師侵衛	子重不書不親代
〇十有一月公㑹楚公子嬰齊于蜀	公與大夫㑹不貶嬰齊者時有許蔡之君故
〇丙申公及楚人秦人宋人陳人衛人鄭人齊人曹人邾人薛人鄫人盟于蜀	齊在鄭下非卿傳曰卿不書匱盟也然則楚卿於是始與中國凖自此以下楚卿不書皆貶惡也匱其位切
傳二年春齊侯伐我北鄙圍龍	龍魯邑在泰山博縣西南
頃公之嬖人盧蒲就魁門焉	攻龍門也頃音傾嬰必計切魁苦囬切
龍人囚之齊侯曰勿殺吾與而盟無入而封	封竟竟音境
弗聽殺而膊諸城上	膊磔也膊普各切磔陟百切
齊侯親鼓士陵城三日取龍遂南侵及巢丘	取龍侵巢丘不書其義未聞
衛侯使孫良夫石稷寗相向禽將侵齊與齊師遇	齊伐魯還相遇於衛地良夫孫林父之父石稷石碏四世孫寗相寗俞子相息亮切向舒亮切碏七略切俞羊朱切
石子欲還孫子曰不可以師伐人遇其師而還將謂君何	言無以荅君
若知不能則如無出仐旣遇矣不如戰也夏有	闕文失新築戰事
石成子曰師敗矣子不少須衆懼盡	成子石稷也衛師巳敗而孫良夫復欲戰故成子欲使須救復扶又切
子喪師徒何以復命皆不對又曰子國卿也隕子辱矣	隕見禽獲喪息浪切隕干敏切
子以衆退我此乃止	我於此止禦齊師禦魚吕切
且告車來甚衆	新築人救孫桓子故並告令軍中
齊師乃止次于鞫居	鞫居衛地鞫居六切
新築人仲叔于奚救孫桓子桓子是以免	于奚守新築大夫
旣衛人賞之以邑	賞于奚
辭請曲縣	軒縣也周禮天子樂宫縣四周諸侯軒縣闕南方縣音玄注同
繁纓以朝許之	繁纓馬飾皆諸侯之服繁歩干切注同
仲尼聞之曰惜也不如多與之邑唯器與名不可以假人	器車服名爵號
君之所司也名以出信	名位不愆爲民所信愆起䖍切
信以守器	動不失信則車服可保
器以藏禮	車服所以表尊卑
禮以行義	尊卑有禮各得其冝
義以生利	得其冝則利生
利以平民政之大節也若以假人與人政也政亡則國家從之弗可止也巳孫桓子還於新築不入	不入國
遂如晉乞師臧宣叔亦如晉乞師皆主郤獻子	宣十七年郤克至齊爲婦人所笑遂怒故魯衛因之孫桓子臧宣叔皆不以國命各自詣卻克故不書
晉侯許之七百乗	五萬二千五百人乘繩證切下同
郤子曰此城濮之賦也	城濮在僖二十八年濮音卜
有先君之明與先大夫之肅故捷克於先大夫無能爲役	不中爲之役使
請八百乗許之	六萬人
郤克將中軍士爕佐上軍	苑文子代荀庚將子匠切
欒書將下軍	代趙朔
韓厥爲司馬以救魯衛臧宣叔逆晉師且道之季文子帥師㑹之及衛地韓獻子將斬人郤獻子馳將救之至則旣斬之矣郤子使速以徇告其僕曰吾以分謗也	不欲使韓氏獨受謗道音導徇似俊切
師從齊師于莘	莘齊地莘所巾切
六月壬申師至于靡笄之下	靡笄孔名靡如字又音摩笄音雞
齊侯使請戰曰子以君師辱於敝邑不腆敝賦詰朝請見	詰朝平旦腆他典切詰起吉切朝如字注及下朝夕朝食同見賢遍切
對曰晉與魯衛兄弟也來告曰大國朝夕釋憾於敝邑之地	大國謂齊敝邑魯衛自稱憾胡暗切本又作感
寡君不忍使羣臣請於大國無令輿師淹於君地	輿衆也淹久也令力呈切帥如字下無令輿師同一音所類切
能進不能退君無所辱命	言自欲戰不復須君命復扶又切
齊侯曰大夫之許寡人之願也若其不許亦將見也齊髙固入晉師桀石以投人	桀擔也擔丁甘切
禽之而乗其車	旣獲其人因釋已車而載所獲者車
繫桑本焉以徇齊壘	將至齊壘以桑樹繫車而走欲自異壘力軌切
曰欲勇者賈余餘勇	賈買也言已勇有餘欲賣之賈音古注同賣摩懈切
癸酉師陳于鞌邴夏御齊侯逢丑父爲右晉解張御郤克鄭丘緩爲右齊侯曰余姑翦滅此而朝食	姑且也翦盡也陳直覲切邴音丙又彼命切夏戸雅切解音蟹張如字又直亮切
不介馬而馳之	介甲也
郤克傷於矢流血及屨未絶鼔音	中軍將自執旗鼔故雖傷而擊鼓不息將子匠切下將在左同
曰余病矣張侯曰自始合而矢貫余手及肘余折以御左輪朱殷豈敢言病吾子忍之	張侯解張也朱血色血色乆則殷殷音近烟今人謂赤黒爲殷色言血多汚車輪御猶不敢息貫直亂切下注同肘竹九切折之設切殷於閑切徐於辰切注同近附近之近污汗穢之汗字林一故切
緩曰自始合苟有儉余必下推車子豈識之然子病矣	以其不識巳推車推昌誰切又他囬切注及下推車同
張侯曰師之耳目在吾旗鼓進退從之此車一人殿之可以集事	殿鎭也集成也殿多練切住同
若之何其以病	陸云絶旬
敗君之大事也擐甲執兵固即死也	擐貫也即就也擐音患
病未及死吾子勉之左并轡右援枹而鼔馬逸不能止師從之	晉師從郤克軍并必政切徐方聘切援音爰枹音浮鼔槌也字林云擊鼔柄也本亦作桴
齊師敗績遂之三周華不注	華不注山名華如字又户化切注之住切
韓厥夢子輿謂已曰且辟左右	子與韓厥父
故中御而從齊侯	居中代御者自非元帥御者皆在中將在左帥所類切
邴夏曰射其御者君子也公曰謂之君子而射之非禮也	齊侯不知戎禮射食亦切下并注皆同
射其左越于車下	越隊也隊宜類切
射其右斃于車中綦母張喪車從韓厥曰請寓乗	綦母張晉大夫寓寄也綦音其母音無喪息浪切乘繩證切
從左右皆射之使立於後	以左右皆死不欲使立其處處昌慮切
韓厥俛定其右	俛俯也右被射仆車中故俯安隱之俛音勉仆音赴又蒲比切
逢丑父與公易位	居公處
將及華泉絓於木而止	驂馬絓也華戸化切絓戸卦切一音卦驂七南切
丑父寢於轏中	轏士車轏仕産切又仕板切字林仕諫切云卧車也
蛇出於其下以肱擊之傷而匿之故不能推車而及	爲韓厥所及丑父欲爲右故匿其傷肱古弘切匿女力切注同
韓厥執縶馬前	縶馬絆也執之示脩臣僕之職縶張立切絆音半
再拜稽首奉觴加璧以進	進觴璧亦以示敬觴式羊切
曰寡君使羣臣爲魯衛請曰無令輿師陷入君地	本但爲二國救請不欲乃過入君地謙辭爲于僞切注同令力呈切
下臣不幸屬當戎行無所逃隱	屬適屬音燭注同行下郎切
且懼奔辟而忝兩君臣辱戎士	若奔辟則爲辱晉君并爲齊侯羞故言二君此蓋韓厥目處臣僕謙敬之飾言辟音避注同徐扶臂切服氏扶赤切
敢告不敏攝官承乏	言欲以己不敏攝承空乏從君俱還從才用切义如字
丑父使公下如華泉取飲鄭周父御佐車宛茷爲右載齊侯以免	佐車副車宛紆元切茷扶廢切
韓厥獻丑父郤獻子將戮之呼曰自今無有代其君任患者有一於此將爲戮乎郤子曰人不難以死免其君我戮之不祥赦之以勸事君者乃免之齊侯免求丑父三入三出	重其代已故三入晉軍求之呼火故切任音壬難乃旦切
每出齊師以帥退入于狄卒	齊師大敗皆有退心故齊侯輕出其衆以帥厲退者遂迸入狄卒狄卒者狄人從晉討齊者卒子忽切注同輕遺政切迸補諍切
狄卒皆抽戈楯冒之以入于衛師衛師免之	狄衛畏齊之彊故不敢害齊侯皆共免護之楯食凖切又音允冒亡報切
遂自徐關入齊侯見保者曰勉之齊師敗矣	所過城邑皆勉勵其守者
辟女子	使辟君也齊侯單還故婦人不辟之辟音避注下同一音扶亦切單音丹
女子曰君免乎曰免矣曰銳司徒免乎曰免矣	銳司徒主銳兵者銳恱歳切
曰茍君與吾父免矣可若何	言餘人不可復如何復扶又切
乃奔	走辟君
齊侯以爲有禮	先問君後問父故也
旣而問之辟司徒之妻也	辟司徒主壘壁者辟音壁必覓切注同徐甫亦切
予之石窌	石窌邑名濟北盧孫東有地名石窌窌力救切一音力到切
晉師從齊師入自丘輿擊馬陘	丘輿馬陘皆齊邑陘音刑
齊侯使賔媚人賂以紀甗玉磬與地	媚人國佐也甗玉甑皆滅紀所得媚美冀切賂音路甗魚輦切徐音彦又音言字林牛徤切甑子孕切又慈陵切
不可則聽客之所爲賔媚人致賂晉人不可曰必以蕭同叔子爲質	同叔蕭君之字齊侯外祖父子女也難斥言其母故逺言之質徐音致下同難乃旦切
而使齊之封内盡東其畝	使壟畝東西行盡津忍切壟力勇切行户郎切又如字
對曰蕭同叔子非他寡君之母也若以匹敵則亦晉君之母也吾子布大命於諸侯而曰必質其母以爲信其若王命何	言違王命
且是以不孝令也詩曰孝子不匱永錫爾類	詩大雅言孝心不乏者又能以孝道長賜其志類
若以不孝今於諸侯其無乃非德類也乎	不以孝德賜同類
先王疆理天下物土之冝而布其利	疆界也理正也物土之冝播殖之物各從土冝疆居良切注下皆同
故詩曰我疆我理南東其畝	詩小雅或南或東從其土冝
今吾子疆理諸侯而曰盡東其畝而巳唯吾子戎車是利	晉之伐齊循壟東行易易以䜴切
無顧土冝其無乃非先王之命也乎反先王則不義何以爲盟主其晉實有闕	闕失
四王之王也	禹湯文武下王于況切
樹德而濟同欲焉	樹立也濟成也
五伯之霸也	夏伯昆吾商伯大彭豕韋周伯齊桓晉文釋文或曰齊桓晉文宋襄秦穆楚莊
勤而撫之以役王命	役事也
今吾子求合諸侯以逞無疆之欲	疆竟也竟如字又音境
詩曰布政優優百禄是遒	詩頌殷湯布政優和故百禄來聚遒聚也遒在由切徐子由切
子實不優而棄百禄諸侯何害焉	言不能爲諸侯害
不然	不見許
寡君之命使臣則有辭矣曰子以君師辱於敝邑不腆敝賦以犒從者	戰而曰犒爲孫辭使所吏切犒苦報切從才用切
畏君之震師徒橈敗	震動橈曲也橈刀敎切
吾子惠徼齊國之福不泯其社稷使繼舊好唯是先君之敝器土地不敢愛子又不許請收合餘燼	燼火餘木泯彌忍切好呼報切合如字一音閤燼似刃切
背城借一	欲於城下復借一戰背音佩復扶又切
敝邑之幸亦云從也況其不幸敢不唯命是聽	言完全之時尚不敢違晉今若不幸則從命
魯衛諫曰齊疾我矣	諫卻克也
其死亡者皆親暱也子若不許讎我必甚唯子則又何求子得其國寳	謂甗磬暱女乙切
我亦得地	齊歸所侵
而紓於難	齊服則難緩紓音舒緩也一音直吕切難乃旦切注同
其榮多矣齊晉亦唯天所授豈必晉晉人許之對曰羣臣帥賦輿	賦輿猶兵車
以爲魯衛請若苟有以藉口而復於寡君	藉薦復白也爲于僞切藉在夜切注同
君之惠也敢不唯命是聽禽鄭自師逆公	禽鄭魯大夫歸逆公㑹晉師
秋七月晉師及齊國佐盟于爰婁使齊人歸我汶陽之田公㑹晉師于上鄍	上鄍地闕公㑹晉師不書史闕鄍覓經切
賜三帥先路三命之服	三帥郤克士爕欒書巳甞受王先路之賜今改而易新并此車所建所服之物帥所類切注及下同
司馬司空輿帥候正亞旅皆受一命之服	晉司馬司空皆大夫輿帥主兵車候正主斥候亞旅亦大夫也皆魯侯賜
○八月宋文公卒始厚葬用蜃炭益車馬始用殉	燒蛤爲炭以瘞壙多埋車馬用人從葬蜃市忍切蛤也炭吐旦切殉似俊切蛤古荅切瘞於例切曠苦晃切一音曠
重器備	重猶多也重直恭切注同
椁有四阿棺有翰檜	四阿四注椁也翰旁飾檜上飾皆王禮椁音郭翰戸旦切一音韓檜古外切徐音㑹
君子謂華元樂舉於是乎不臣臣治煩去惑者也是以伏死而爭今二子者君生則縱其惑	謂文十八年殺母弟須去起吕切下去之同爭爭鬬之爭
死又益其侈是棄君於惡也何臣之爲	若言何用爲臣侈昌氏切又式氏切
〇九月衛穆公卒晉三子自役弔焉哭於大門之外	師還過衛故因弔之未復命故不敢成禮過古禾切又古卧切
衛人逆之	逆於門外設喪位
婦人哭於門内	喪位婦人哭於堂賔在門外故移在門内
送亦如之遂常以葬	至葬行此禮
〇楚之討陳夏氏也	在宣十一年夏戸雅切下同
莊王欲納夏姬申公巫臣曰不可君召諸侯以討罪也今納夏姬貪其色也貪色爲淫淫爲大罰周書曰明德愼罰	周書康誥
文王所以造周也明德務崇之之謂也愼罰務去之之謂也若興諸侯以取大罰非愼之也君其圖之王乃止子反欲取之巫臣曰是不祥人也是天子蠻	子蠻鄭靈公夏姬之兄殺死無後殺申志切下丈殺靈侯同
敎御叔	御叔夏姬之夫亦早死御魚據切
殺靈	子跪其委切一音居委切從才用切郢以井切又以政切
曰異哉夫子有三軍之懼而又有桑中之喜宜將竊妻以逃者也	桑中衛風淫奔之詩
及鄭使介反幣而以夏姬行	介副也幣聘物介音界
將奔齊齊師新敗曰吾不處不勝之國遂奔晉而因郤至	至郤克族子
以臣於晉晉人使爲邢大夫	邢晉邑邢音刑
子反請以重幣錮之	禁錮勿令仕錮音固令力呈切
王曰止其自爲謀也則過矣其爲吾先君謀也則忠忠社稷之固也所蓋多矣	蓋覆也上爲于僞切父如字下爲于僞切
且彼若能利國家雖重幣晉將可乎	言不許
若無益於晉晉將棄之何勞錮焉	爲七年楚滅巫臣族晉南通具張仁
〇晉師歸范文子後入武子曰無爲吾望爾也乎	武子士㑹文子之父
對曰師有功國人喜以逆之先入必屬耳目焉是代帥受名也故不敢武子曰吾知免矣	知其不益己禍屬章欲切後同帥所類切下注稱帥軍帥將帥同吾知一本無知字
郤伯見公曰子之力也夫對曰君之訓也二三子之力也臣何力之有焉	郤伯郤克見賢遍切下同夫音扶
范叔見勞之如郤伯對曰庚所命也克之制也爕何力之有焉	荀庚將上軍時不出范文子上軍佐代行故稱帥以讓勞力報切將子匠切下同
欒伯見公亦如之對曰爕之詔也士用命也書何力之有焉	詔告也欒書下軍帥故推功上軍傳言晉將帥克讓所以能勝齊
〇宣公使求好于楚莊王卒宣公薨不克作好	在宣十八年好呼報切下同
公即位受盟于晉	元年盟赤棘
㑹晉伐齊衛人不行使于楚	不聘楚使所吏切
而亦受盟于晉從於伐齊故楚令尹子重爲陽橋之役以救齊將起師子重曰君弱	傳曰寡人生十年而喪先君共王即位至是三年蓋年十二三矣
羣臣不如先大夫師衆而後可詩曰濟濟多士文王以寧	詩大雅言文王以衆士安濟子禮切
夫文王猶用衆況吾儕乎	儕等儕仕皆切
且先君莊王屬之曰無德以及逺方莫如惠恤其民而善用之乃大戸	閱民戸口閱音恱
巳責	棄逋責逋𥙷呉切
逮鰥	施及老鰥鰥古頑切施始豉切
救乏赦罪悉師王卒盡行彭名御戎蔡景公爲左許靈公爲右	王卒盡行故王戎車亦行雖無楚王令二君當左右之位卒子忽切注同令力呈切
二君弱皆強冠之冬楚師侵衛遂侵我師于蜀	公賂之而退故不書侵強其丈切冠古亂切
使臧孫往	臧孫宣叔也
辭曰楚逺而乆固將退矣無功而受名臣不敢	不敢虚受退楚名
楚侵及陽橋	陽橋魯地
孟孫請往賂之	楚侵遂深故孟孫請以賂往孟孫獻子也
以執斵執鍼織紝	執斵匠人執鍼女工織紝織繒布者斲竹角切鍼之林切紝女金切徐而鴆切
皆百人公衡爲質	公衡成公子質音致
以請盟楚人許平十一月公及楚公子嬰齊蔡侯許男秦右大夫說宋華元陳公孫寧衛孫良夫鄭公子去疾及齊國之大夫盟于蜀	齊大夫不書其名非卿也說音恱去起吕切
卿不書匱盟也於是乎畏晉而竊與楚盟故曰匱盟	匱乏也
蔡侯許男不書乗楚車也謂之失位	乗楚王車爲左右則失位也卿不書則稱人諸侯不書皆不見經君臣之别見賢遍切别彼列切
君子曰位其不可不愼也乎蔡許之君一失其位不得列於諸侯況其下乎詩曰不解于位民之攸墍	詩大雅言在上者勤正其位則國安而民息也悠所也墍息也解佳賣切墍許器切
其是之謂矣楚師及宋公衡逃歸臧宣叔曰衡父不忍數年之不宴	宴樂也數所主切樂音浴
以棄魯國國將若之何誰居後之人必有任是夫國棄矣	居辭也言後人必有當此患居音基任音壬夫音扶
是行也晉辟楚畏其衆也君子曰衆之不可以巳也大夫爲政猶以衆克況明君而善用其衆乎大誓所謂商兆民離周十人同者衆也	大誓周書萬億曰兆民離則弱合則成衆言殷以散亡周以衆興
〇晉侯使鞏朔獻齊捷于周王弗見使單襄公辭焉曰蠻夷戎狄不式王命	式用也捷在妾切
淫湎毀常王命伐之則有獻捷王親受而勞之所以懲不敬勸有功也兄弟甥舅侵敗王略	兄弟同姓國甥舅異姓國略經略法度湎面善切勞力報切敗必邁切
王命伐之告事而巳不獻其功所以敬親暱	告伐事而不獻囚俘暱女乙切
禁淫慝也	涇慝爲虣掠百姓取囚俘也慝他得切虣本又作暴薄報切掠音亮
今叔父克遂有功于齊	克能也
而不使命卿鎭撫王室所使來撫余一人而鞏伯實來未有職司於王室	鞏朔上軍大夫非命卿名位不達於王室
又奸先王之禮	謂獻齊捷奸音于
余雖欲於鞏伯	欲受其獻
其敢廢舊典以忝叔父夫齊甥勇之國也而大師之後也	齊世與周昏故曰甥舅大音泰
寧不亦淫從其欲以怒叔父抑豈不可諫誨士莊伯不能對	莊伯鞏朔從子用切本亦作縱
王使委於三吏	委屬也三吏三公也陸云天子之吏也
禮之如侯伯克敵使大夫告慶之禮降於卿禮一等王以鞏伯宴而私賄之使相告之曰非禮也勿籍	相相禮者籍書也王畏晉故私宴賄以慰鞏朔相息亮切注同
經三年春王正月公㑹晉侯宋公衛侯曹伯伐鄭	宋衛未葬而稱爵以接鄰國非禮也
〇辛亥葬衛穆公	無傳
○二月公至自伐鄭	無傳
〇甲子新宫災三日哭	無傳三年喪畢宣公神主新入廟故謂之新宫書三日哭善得禮宗廟親之神靈所馮居而遇災故哀而哭之馮皮氷切
〇乙亥葬宋文公	無傳七月而葬緩
○夏公如晉〇鄭公子去疾帥師伐許○公至自晉	無傳
〇秋叔孫僑如帥師圍棘	棘汶陽田之邑在濟北蛇丘縣蛇以支切一音如宇
〇大雩	無傳以過時書
〇晉郤克衛孫良夫伐廧咎如	赤狄别種廧在良切咎古刀切種章勇切
○冬十有一月晉侯使荀庚來聘〇衛侯使孫良夫來聘○丙午及荀庚盟〇丁未及孫良夫盟	先晉後衛尊霸主
〇鄭伐許	無傳不書將帥告辭略將子匠切帥所類切
傳三年春諸侯伐鄭次于伯牛討邲之役也	伯牛鄭地邲役在宣十二年
遂東侵鄭	晉潜軍深入
鄭公子偃帥師禦之	偃穆公子
使東鄙覆諸鄤	覆伏兵也覆扶又切注同鄤亡袁切又莫干切徐武旦切一音萬
敗諸丘輿	鄤丘輿皆鄭地晉偏軍爲鄭所敗故不書
皇戍如楚獻捷○夏公如晉拜汶陽之田	前年晉使齊歸魯汶陽田故
〇許恃楚而不事鄭鄭子良伐許○晉人歸公子榖臣與連尹襄老之尸于楚以求知罃	邲之戰楚獲知罃
於是荀首佐中軍矣	荀首知罃父
故楚人許之王送知罃曰子其怨我乎對曰二國治戎臣不才不勝其任以爲俘馘執事不以釁鼓	以血塗鼔爲釁鼔勝音升下注同俘芳夫切馘古獲切釁許覲切
使歸即戮君之惠也臣實不才又誰敢怨王曰然則德我乎對曰二國圖其社稷而求紓其民	紓緩也紓音舒
各懲其忿以相宥也	宥赦也懲直升切宥音又
兩釋纍囚以成其好	纍繁也纍力誰切好呼報切下同
二國有好臣不與及其誰敢德	言二國本不爲己與音預爲于僞切
王曰子歸何以報我對曰臣不任受怨君亦不任受德無怨無德不知所報王曰雖然必告不榖對曰以君之靈纍臣得歸骨於晉寡君之以爲戮死且不朽	戮其不勝任任音壬下亦不任同
若從君之惠而免之以賜君之外臣首	稱於異國君曰外臣
首其請於寡君而以戮於宗亦死且不朽若不獲命	君不許戮
而使嗣宗職	嗣其祖宗之位職
次及於事而帥偏師以脩封疆雖遇執事	遇楚將帥疆居良切
其弗敢違	違辟也
其竭力致死無有二心以盡臣禮所以報也王曰晉未可與爭重爲之禮而歸之○秋叔孫僑如圍棘取汶陽之田棘不服故圍之	僑如叔孫得臣子
○晉郤克衛孫良夫伐廧如討赤狄之餘焉	宣十五年晉滅赤狄潞氏其餘民散入廧咎如故咎之
廧咎如潰上失民也	此傳釋經之文而經無廧咎如潰蓋經闕此四字潰戸内切
〇冬十一月晉侯使荀庚來聘且㝷盟	㝷元年赤棘盟荀庚林父之子
衛侯使孫良夫來聘且㝷盟	㝷宣七年盟
公問諸臧宣叔曰仲行伯之於晉也其位在三	下卿
孫子之於衛也位爲上卿將誰先對曰次國之上卿當大國之中中當其下下當其上大夫	降一等
小國之上卿當大國之下卿中當其上大夫下當其下大夫	降大國二等
上下如是古之制也	古制公爲大國侯伯爲次國子男爲小國
衛在晉不得爲次國	春秋時以強弱爲大小故衛雖侯爵猶爲小國
晉爲盟主其將先之	計等則二人位敵以盟主故先晉
丙午盟晉丁未盟衛禮也〇十二月甲戍晉作六軍	爲六軍僣王也萬二千五百人爲軍僣子念切
韓厥趙括鞏朔韓穿荀騅趙旃皆爲卿賞鞌之功也	韓厥爲新中軍趙括佐之鞏朔爲新上軍韓穿佐之荀騅爲新下軍趙旃佐之晉舊自有三軍今増此故爲六軍騅音佳
〇齊侯朝于晉將授玉	行朝禮
郤克趨進曰此行也君爲婦人之笑辱也寡君未之敢任	言齊侯之來以謝婦人之笑非爲脩好故云晉君不任當此惠爲于僞切及下爲兩君同任音壬
晉侯享齊侯齊侯視韓厥韓厥曰君知厥也乎齊侯曰服改矣	戎朝異服也言服改明識其人
韓厥登舉爵曰臣之不敢愛死爲兩君之在此堂也〇荀罃之在楚也鄭賈人有將寘諸禇中以出旣謀之未行而楚人歸之賈人如晉荀罃善視之如實出己賈人曰吾無其功敢有其實乎吾小人不可以厚誣君子遂適齊	傳言知罃之賢賈音古下同寘之䜴切褚中吕切
經四年春宋公使華元來聘〇三月壬申鄭伯堅卒	無傳二年大夫盟于蜀壬申二月二十八日
〇𣏌伯來朝〇夏四月甲寅臧孫許卒	無傳
〇公如晉〇葬鄭襄公	無傳
〇秋公至自晉〇冬城鄆	無傳公欲叛晉故城而爲備鄆音運
〇鄭伯伐許傳四年春宋華元來聘通嗣君也	宋共公即位共音恭
〇𣏌伯來朝歸叔姬故也	將出叔姬先脩禮朝魯言其故
〇夏公如晉晉侯見公不敬季文子曰晉侯必不免	言將不能壽終也後十年陷厠而死
詩曰敬之敬之天惟顯思命不易哉	詩頌言天道顯明受其命甚難不可不敬以奉之易以䜴切
夫晉侯之命在諸侯矣可不敬乎	敬諸侯則得天命
秋公至自晉欲求成于楚而叛晉季文子曰不可晉雖無道未可叛也國大臣睦而邇於我	邇近也
諸侯聽焉未可以貳	聽服也
史佚之志有之	周文王大史大音泰
曰非我族類其心必異楚雖大非吾族也	與魯異姓
其肯字我乎公乃止	字愛也
〇冬十一月鄭公孫申帥師疆許田	前年鄭伐許侵其田今正其界疆居良切
許人敗諸展陂鄭伯伐許取鉏任泠敦之田	展陂亦許地陂彼皮切鉏仕居切任音壬泠力丁切
晉欒書將中軍	代郤克將子匠切
荀首佐之士爕佐上軍以救許伐鄭取汜祭	汜祭鄭地成皐縣東有汜水汜音凡注同或音祀祭側介切
楚子反救鄭鄭伯與許男訟焉	於子反前爭曲直
皇戍攝鄭伯之辭	代之對
子反不能決也曰君若辱在寡君寡君與其二三臣共聽兩君之所欲成其可知也	欲使自屈在楚子前決之
不然側不足以知二國之成	側子反名爲明年許愬鄭於楚張本愬音素
○晉趙嬰通于趙莊姬	趙嬰趙盾弟莊姬趙朔妻朔盾之子
經五年春王正月𣏌叔姬來歸	出也傳在前年
〇仲孫蔑如宋〇夏叔孫僑如㑹晉荀首于榖	榖齊地
〇梁山崩	記異也梁山在馮翊夏陽縣北
〇秋大水	無傳
〇冬十有一月已酉天王崩〇十有二月已丑公㑹晉侯齊侯宋公衛侯鄭伯曹伯邾子杞伯同盟于蟲牢	蟲牢鄭地陳留封丘縣北有桐牢
傳五年春原屏放諸齊	放趙嬰也原同屏季嬰之兄屏歩丁切
嬰曰我在故欒氏不作我云吾二昆其憂哉且人各有能有不能	言己雖淫而能今莊姬護趙氏令力丁切
舎我何害弗聽嬰夢天使謂己祭余余福女使問諸士貞伯貞伯曰不識也旣而告其人	自告貞伯從人舎音捨又音赦聽吐丁切女音汝従才用切
曰神福仁而禍淫淫而無罰福也祭其得亡乎	以得放遣爲福
祭之之明日而亡	爲八年晉殺趙同趙括傳
〇孟獻子如宋報華元也	前年宋華元來聘
〇夏晉荀首如齊逆女故宣伯餫諸榖	野饋曰餫運糧饋之敬大國也餫音鄆饋其媿切
〇梁山崩晉侯以傳召伯宗	傳驛傳中戀切注及下同驛音亦
伯宗辟重曰辟傳	重載之車上辟匹亦切徐甫赤切本又作僻下辟音避
重人曰待我不如捷之速也	捷邪出捷在妾切邪似嗟切
問其所曰絳人也問絳事焉曰梁山崩將召伯宗謀之問將若之何曰山有朽壤而崩可若何國主山川	主謂所主祭絳古巷切壤如大切
故山崩川竭君爲之不舉	去盛饌爲于僞切去起吕切饌仕戀切
降服	損盛服
乗縵	車無文縵武旦切又莫半切
徹樂	息八音
出次	舎於郊
祝幣	陳玉帛
史辭	自罪責
以禮焉	禮山川
其如此而已雖伯宗若之何伯宗請見之	見之於晉君見賢遍切注皆同
不可	不肯見
遂以告而從之	從重人言
○許靈公愬鄭伯于楚	前此年鄭伐許故
六月鄭悼公如楚訟不勝楚人執皇戍及子國	以鄭伯不直故也子國鄭穆公子
故鄭伯歸使公子偃請成于晉秋八月鄭伯及晉趙同盟于垂棘	垂棘晉地
〇宋公子圍龜爲質于楚而還	圍龜文公子質音致下注同
華元享之請鼔譟以出鼓譟以復入	出入輒擊鼔譟素報切復扶又切下同
