春秋經傳集解成下第十三杜氏盡十八年經十有一年春王三月公至自晉	正月公在晉不書諱見止
○六月丁卯夜鄭公子班自訾求入于大宫不能殺子印子羽	訾鄭地大宫鄭祖廟十年班出奔許今欲還爲亂子印子羽皆穆公子班本亦作般訾子斯切大音泰下同印一刃切
反軍于市己巳子駟帥國人盟于大宫	子駟穆公子
遂從而盡焚之	焚燒也
殺子如子駹孫叔孫知	子如公子班子駹班弟孫叔子如子孫知子駹子駹武邦切
〇曹人使公子負芻守使公子欣時逆曹伯之喪	二子皆曹宣公庶子芻初俱切守手又切欣時如字徐或作𣢾亦音欣案公羊傳作喜時冝音忻
秋負芻殺其大子而自立也	宣公太子
諸侯乃請討之晉人以其役之勞請俟他年冬葬曹宣公旣葬子臧將亡	子臧公子欣時
國人皆將從之	不義負芻故
成公乃懼	成公負芻
告罪且請焉	請留子臧
乃反而致其邑	還邑於成公爲十五年執曹伯傳
經十有四年春王正月莒子朱卒	無傳九年盟于蒲
〇夏衛孫林父自晉歸于衛	晉納之故曰歸
〇秋叔孫僑如如齊逆女○	成公逆夫人最爲得禮而經無納幣者文闕絶也
○鄭公子喜帥師伐許〇九月僑如以夫人婦姜氏至自齊○冬十月庚寅衛侯臧卒	五同盟
〇秦伯卒	無傳二年大夫盟於蜀而不赴以名例在隱七年
傳十四年春衛侯如晉晉侯強見孫林父焉	林父以七年奔晉強見欲歸之強其丈切注同見賢遍切注及下而見之同
定公不可夏衛侯旣歸晉侯使郤犫送孫林父而見之衛侯欲辭定姜曰不可	定姜定公夫人
是先君宗卿之嗣也	同姓之卿
大國又以爲請不許將亡雖惡之不猶愈於亡乎君其忍之	違大國必見伐故亡爲如字或于僞切惡烏路切
安民而宥宗卿不亦可乎衛侯見而復之	復林父位宥音又
衛侯饗苦成叔	成叔郤犫
寗惠子相	相佐禮惠子寗殖相息亮切注同
苦成叔傲寗子曰苦成家其亡乎古之爲享食也以觀威儀省禍福也故詩曰兕觵其觩旨酒思柔	詩小雅言君子好禮飲酒皆思柔德雖設兕觵觩然不用以兕角爲觵所以罰不敬觩陳設之貌傲五報切本又作敖注及下同食音嗣兕徐辭媡切觵古横切觩徐音糾又巨彪切一音巨秋切好呼報切
彼交匪傲萬福來求	彼之交於事而不惰傲乃萬福之所求
今夫子傲取禍之道也	爲十七年郤氏亡
〇秋宣伯如齊逆女稱族尊君命也〇八月鄭子罕伐許敗焉	爲許所敗敗必邁切下同
戊戍鄭伯復伐許庚子入其郛	郛郭也復扶又切
許人平以叔申之封	四年鄭公孫申疆許田許人敗之不得定其封疆今許以是所封田求和於鄭疆居良切下同
〇九月僑如以夫人婦姜氏至自齊舎族尊夫人也	舎族謂不稱叔孫舎音捨注同
故君子曰春秋之稱微而顯	辭微而義顯稱尺證切
志而晦	志記也晦亦微也謂約言以記事事敘而文微晦呼内切
婉而成章	婉曲也謂曲屈其辭有所辟諱以示大順而成篇章婉怨晩切注同
盡而不汙	謂直言其事盡其事實無所汙曲汙憂于切注同
懲惡而勸善	善名必書惡名不滅所以爲懲勸懲直升切
非聖人誰能脩之	脩史䇿成此五者
○衛侯有疾使孔成子寗惠子立敬姒之子衎以爲大子	成子孔達之孫敬姒定公妾衎獻公衎徐苦旦切
〇冬十月衛定公卒夫人姜氏旣哭而息見大子之不哀也不内酌飲歎曰是夫也將不唯衛國之敗其必始於未亡人	定姜言獻公行無禮必從已始下言暴妾使余是也内如字徐音納酌市略切又音略切
烏呼天禍衛國也夫吾不獲鱄也使主社稷	鱄衎之母弟夫音扶鱄徐市戀切一音專
大夫聞之無不聳懼孫文子自是不敢舎其重器於衛	寳器聳息勇切舎音赦或音捨
盡寘諸戚	寘置也戚孫氏邑寘之䜴切
而甚善晉大夫	備亂起欲以爲援爲襄十四年衛侯出奔傳
經十有五年春王二月葬衛定公	無傳
〇三月乙巳仲嬰齊卒	無傳襄仲子公孫歸父弟宣十八年逐東門氏旣而又使嬰齊紹其後曰仲氏
〇癸丑公㑹晉侯衛侯鄭伯曹伯宋丗子成齊國佐邾人同盟于戚	成音城
〇晉侯執曹伯歸于京師	不稱人以執者曹伯罪不及民歸之京師禮也
〇公至自㑹	無傳
〇夏六月宋公固卒	四同盟
〇楚子伐鄭〇秋八月庚辰葬宋共公	三月而葬速共音恭
〇宋華元出奔晉〇宋華元自晉歸于宋	華元欲挾晉以自重故以外納告挾音恊
〇宋殺其大夫山	不書氏明背其族
〇宋魚石出奔楚	公子目夷之曾孫
〇冬十有一月叔孫僑如㑹晉士爕齊髙無咎宋華元衛孫林父鄭公子鰌邾人㑹呉于鍾離	呉夷未甞與中國㑹今始來通晉帥諸侯大夫而㑹之故殊㑹明本非同好鍾離楚邑淮甫縣爕息恊切咎其九切鰌音秋好呼報切
〇許遷于葉	許畏鄭南依楚故以自遷爲文葉今南陽葉縣也葉舒渉切
傳十五年春㑹于戚討曹成公也	討其殺大于而自立事在十三年
執而歸諸京師書曰晉侯執曹伯不及其民也	惡不及民
凡君不道於其民諸侯討而執之則曰某人執某侯	稱人示衆所欲執
不然則否	謂身犯不義者
諸侯將見子臧於王而立之子臧辭曰前志有之曰聖達節	聖人應天命不拘常禮見賢遍切應應對之應拘九于切
次守節	謂賢者
下失節	愚者妄動
爲君非吾節也雖不能聖敢失守乎遂逃奔宋〇夏六月宋共公卒	爲下宋亂起
〇楚將北師	侵鄭衛
子囊曰新與晉盟而背之無乃不可乎子反曰敵利則進何盟之有	晉楚盟在十二年子囊莊王子公子貞曩乃郎切
申叔時老矣在申	老歸本邑
聞之曰子反必不免信以守禮禮以庇身信禮之亡欲免得乎	言不得免庇必利切又音秘
楚子侵鄭及暴隧遂侵衛及首止鄭子罕侵楚取新石	新石楚邑隧音遂
欒武子欲報楚韓獻子曰無庸	庸用也
使重其罪民將叛之	背盟數戰罪也數所角切
無民孰戰	爲明年晉敗楚於鄢陵傳
〇秋八月葬宋共公於是華元爲右師魚石爲左師蕩澤爲司馬	蕩澤公孫壽之孫
華喜爲司徒	華父督之玄孫
公孫師爲司城	莊公孫
向爲人爲太司寇鱗朱爲少司寇	鱗矔孫少詩照切下同矔古亂切
向􁁔爲大宰魚府爲少宰蕩澤弱公室殺公子肥	輕公室以爲弱故殺其枝黨肥文公子􁁔音帶本又作帶大音泰
華元曰我爲右師君臣之訓師所司也今公室卑而不能正	不能討蕩澤
吾罪大矣不能治官敢頼寵乎乃出奔晉二華戴族也	華元華喜
司城莊族也六官者皆桓族也	魚石蕩澤向爲人鱗朱向帶魚府皆出桓公
魚石將止華元魚府曰右師反必討是無桓氏也	恐華元還討蕩澤并及六族
魚石曰右師苟獲反雖許之討必不敢	言畏桓族強
且多大功國人與之不反懼桓氏之無祀於宋也	華元大功克合晉楚之成劫子反以免宋圍
石師討猶有戍在	向戌桓公曽孫言其賢華元必不討戍音恤
桓氏雖亡必偏	偏不盡
魚石自止華元于河上請討許之乃反使華喜公孫師帥國人攻蕩氏殺子山	喜師非桓族故使攻之
書曰宋殺其大夫山言背其族也	蕩氏宋公族還害公室故去族以示其罪去起吕切
魚石向爲人鱗朱向帶魚府出舎於睢上	睢水名五大夫畏同族罪及將出奔睢音雖徐許惟切又音綏
華元使止之不可冬十月華元自止之不可乃反	五子不止華元還
魚府曰今不從不得入矣	不得復入宋復扶又切
右師視速而言疾有異志焉若不我納今將馳矣登丘而望之則馳騁而從之	五子亦馳逐之陸云登丘而望之則馳絶句騁勑景切
則決睢澨	澨水涯決壞也澨市制切涯本又作崖魚佳切一音冝壞音怪
閉門登陴矣左師二司寇二宰遂出奔楚	四大夫不書獨魚石告陴毗支切
華元使向戍爲左師老佐爲司馬樂裔爲司寇以靖國人	老佐戴公五丗孫裔以制切
〇晉三郤害伯宗譖而殺之及欒弗忌	欒弗忌晉賢大夫
伯州犂奔楚	伯宗子犂力兮切
韓獻子曰郤氏其不免乎善人天地之紀也而驟絶之不亡何待	旣殺伯宗又及弗忌故曰驟也爲十七年晉殺二郤傳驟仕救切
初伯宗每朝其妻必戒之曰盗憎主人民惡其上子好直言必及於難	傳見雖婦人之言不可廢惡烏路切好呼報切難乃旦切見賢遍切
〇十一月㑹呉于鍾離始通呉也	始與中國接
〇許靈公畏偪于鄭請遷于楚辛丑楚公子申遷許于葉經十有六年春王正月雨木冰	無傳記寒過節冰封著樹雨木冰如字公羊傳云雨而木冰也舊于付切著直略切
〇夏四月辛未滕子卒	不書名未同盟
〇鄭公子喜帥師侵宋	喜穆公子子罕也
〇六月丙寅朔日有食之	無傳
〇晉侯使欒黶來乞師	將伐鄭黶欒書子黶於斬切徐於玷切
○甲午晦晉侯及楚子鄭伯戰于鄢陵楚子鄭師敗績	楚師未大崩楚子傷目而退故曰楚子敗績鄢陵鄭地今屬穎川郡鄢謁晩切又於建切
〇楚殺其大夫公子側	側子反背盟無禮卒以敗師故書名
〇秋公㑹晉侯齊侯衛侯宋華元邾人于沙隨	沙隨宋地梁國寧陵縣北有沙隨亭
不見公	不及鄢陵戰故不諱者恥輕於執止
○公至自㑹	無傳
〇公㑹尹子晉侯齊國佐邾人伐鄭	尹子王卿士子爵
〇曹伯歸自京師	爲晉侯所赦故書歸諸侯歸國或書名或不書名或言歸自某或言自某歸傳無義例從告辭
〇九月晉人執季孫行父舎之于苕丘	苕丘晉地舎之苕丘明不以歸不稱行人非使人苕音條使所吏切
○冬十月乙亥叔孫僑如出奔齊	公未歸命國人逐之
〇十有二月乙丑季孫行父及晉郤犫盟于扈	晉許魯平故盟
〇公至自㑹	無傳伐而以㑹致史異文
〇乙酉刺公子偃	魯殺大夫皆言刺義取於周禮三刺之法刺本又作㓨七賜切
傳十六年春楚子自武城使公子成以汝隂之田求成于鄭	汝水之南近鄭地近附近之近
鄭叛晉子駟從楚子盟于武城	爲晉伐鄭起
〇夏四月滕文公卒鄭子罕伐宋	滕宋之與國鄭因滕有喪而伐宋故傳舉滕侯卒侵伐經傳異文經從告傳言實他皆放此
宋將鉏樂懼敗諸汋陂	敗鄭師也樂懼戴公六丗孫將鉏樂氏族鉏仕魚切徐音在魚切汋七藥切徐又音酌一音市藥切陂彼冝切
退舎於夫渠不儆	宋師不儆備夫音扶儆京領切
鄭人覆之敗諸汋陵獲將鉏樂懼宋恃勝也	汋陂夫渠汋陵皆宋地覆徐音敷目切一音扶又切又音芳又切
○衛侯伐鄭至于鳴鴈爲晉故也	鳴鴈在陳留雍丘縣西北爲于僞切
晉侯將伐鄭范文子曰若逞吾願諸侯皆叛晉可以逞	逞快也晉厲公無道三郤驕故欲使諸侯叛冀其懼而思德
若唯鄭叛晉國之憂可立俟也欒武子曰不可以當吾丗而失諸侯必伐鄭乃興師欒書將中軍士爕佐之	代荀庚
郤錡將上軍	代士爕
荀偃佐之	代郤錡偃荀庚子
韓厥將下軍郤至佐新軍荀罃居守	荀罃下軍佐於是郤犫代趙旃將新軍新上下軍罷矣守手又切
郤犫如衛遂如齊皆乞師焉欒黶來乞師孟獻子曰有勝矣	卑讓有禮故知其將勝楚
戊寅晉師起鄭人聞有晉師使告于楚姚句耳與往	句耳鄭大夫與往非使也爲先歸張本句古侯切與音預使所吏切
楚子救鄭司馬將中軍	子反
令尹將左	子重
右尹子辛將右	公子壬夫
過申子反入見申叔時	叔時老在申過古禾切
曰師其何如對曰德刑詳義禮信戰之器也	器猶用也
德以施惠刑以正邪詳以事神義以建利禮以順時信以守物民生厚而德正	財足則思無邪邪似嗟切注皆同
用利而事節	動不失利則事得其節
時順而物成	羣生得所
上下和睦周旋不逆	動順理
求無不具	下應上應應對之應
各知其極	無二心
故詩曰立我烝民莫匪爾極	烝衆也極中也詩頌言先王立其衆民無不得中正烝之承切注同
是以神降之福時無災害民生敦厖和同以聽	敦厚也厖大也厖莫邦切
莫不盡力以從上命致死以補其闕	闕戰死者
此戰之所由克也今楚内棄其民	不施惠
而外絶其好	義不建利好呼報切
瀆齊盟	不詳事神瀆徒木切
而食話言	信不守物話戸快切
奸時以動	禮不順時周四月今二月妨農業好音于本或作干
而疲氏以逞	刑不正邪而苟快意疲本亦作罷音皮下注同
民不知信進退罪也人恤所底其誰致死	厎至也厎徐音旨又之履切
子其勉之吾不復見子矣	言其必敗不反復見一本無復字復扶又切
姚句耳先歸子駟問焉對曰其行速過險而不整速則失志	不思慮也
不整喪列志失列喪將何以戰楚懼不可用也五月晉師濟河聞楚師將至范文子欲反曰我僞逃楚可以紓憂	紓緩也喪息浪切下同紓音舒
夫合諸候非吾所能也以遺能者我若羣臣輯睦以事君多矣武子曰不可六月晉楚遇於鄢陵范文子不欲戰郤至曰韓之戰惠公不振旅	衆散敗也在僖十五年遺唯季切下注問遺也同輯又作集音同亦七入切
箕之役先軫不反命	死於秋也在僖三十三年
邲之師荀伯不復從	荀林父奔走不復故道在宣十二年從徐子容切音或如字
皆晉之恥也子亦見先君之事矣	見先君成敗之事
今我辟楚又益恥也文子曰吾先君之亟戰也有故	亟數也亟去吏切數所角切
秦狄齊楚皆彊不盡力子孫將弱今三彊服矣	齊秦狄
敵楚而巳唯聖人能外内無患自非聖人外寧必有内憂	驕亢則憂患生也元苦浪切
盍釋楚以爲外懼乎甲午晦楚晨壓晉軍而陳	壓笮其未備盍戸臘切壓於甲切徐於輙切陳直覲切下及注皆同笮側百切
軍吏患之范匄趨進	匄士爕子匄本又作丏古害切
曰塞井夷竈陳於軍中而䟽行首	䟽行首者當陳前決開營壘爲戰道行戸郎切一音如字注同壘力軌切
晉楚唯天所授何患焉文子執戈逐之曰國之存亡天也童子何知焉欒書曰楚師輕窕固壘而待之三日必退退而擊之必獲勝焉郤至曰楚有六間不可失也其二卿相惡	子重子反窕勑彫切又勑弔切惡如字又烏路切
王卒以舊	罷老不代卒子忽切下皆同
鄭陳而不整	不整列
蠻軍而不陳	蠻夷從楚者不結陳
陳不違晦	晦月終隂之盡故兵家以爲忌
在陳而嚻	嚻喧嘩也嚻許驕切徐讀曰嗷五髙切注及後同喧本又作諠況元切華本又作譁音華
合而加嚻	陳合冝靜而益有聲
各顧其後莫有鬬心	人恤其所底
舊不必良以犯天忌我必克之楚子登巢車以望晉軍	巢車車上爲櫓巢說文作轈云兵車髙如巢以望敵也字林同櫓音魯
子重使大宰伯州犂侍于王後	州犂晉伯宗子前年奔楚大音泰
王曰騁而左右何也	騁走也
曰召軍吏也皆聚於中軍矣曰合謀也張幕矣曰䖍卜於先君也	䖍敬也幕音莫
徹幕矣曰將發命也甚嚻且塵上矣曰將塞井夷竈而爲行也	夷平也上時掌切行戸郎切下公行同
皆乗矣左右執兵而下矣曰聽誓也	左將帥右車右乘繩證切下同將子匠切下去將同帥所類切下元帥同
戰乎曰未可知也乗而左右皆下矣曰戰禱也	禱請於鬼神禱丁老切或丁報切
伯州犂以公卒告王	公晉侯
苗賁皇在晉侯之側亦以王卒告	賁皇楚鬬椒子宣四年奔晉賁扶云切
皆曰國士在且厚不可當也	晉侯左右皆以伯州犂在楚知晉之情且謂楚衆多故憚合戰與苗賁皇意異憚徒旦切
苗賁皇言於晉侯曰楚之良在其中軍王族而巳請分良以擊其左右而三軍萃於王卒	萃集也萃似醉切
必大敗之公筮之史曰吉其卦遇復䷗	震下坤上復無變
曰南國䠞射其元王中厥目	北卜者辭也復陽長之卦陽氣起子南行推隂故曰南國䠞也南國勢䠞則離受其咎離爲諸侯又爲目陽氣激南飛矢之象故曰射其元王中厥目䠞子六切射食亦切注及下射之同中丁仲切注同長丁丈切激古狄切
國䠞王傷不敗何待公從之	從其言而戰
有淖於前	淖泥也淖乃孝切徐徒較切
