春秋公羊經傳解詁定公第十一	〇何以定公爲昭公子與左氏異
慬然後得免自是走之晉寳者何璋判白	判半也半圭曰璋白藏天子青藏諸侯魯得郊天故錫以白不言璋言玉者起珪璧琮璜璋五玉盡亡之也傳獨言璋者所以郊事天尤重詩云奉璋峨峨髦士攸宜是也禮珪以朝璧以聘琮以發兵璜以發衆璋以徴召○慬其靳反璋音章琮在宗反璜音黄峨峨五多反本又作娥髦音毛
弓繡質	質拊也言大者力千斤○拊芳甫反又方于反
龜青純	純縁也謂縁甲􁊝也千歳之龜青髯明于吉凶易曰定天下之吉凶成天下之亹舋者莫善乎蓍龜經不言龜者以先知從寳省文謂之寳者丗丗保用之辭此皆魯始封之錫不言取而言竊者正名也定公從季孫假馬孔子曰君之於臣有取無假而君臣之義立主書者定公失政權移陪臣拘其尊卿喪其五玉無以合信天子交質諸侯當絶之不書拘季孫者舉五玉爲重書大弓者使若都以國寳書微辭也〇青純之閏反注同純縁悅絹反下同􁊝而占反亹亡匪反蓍音尸喪息浪反
九年春王正月〇夏四月戊申鄭伯囆卒	○囆勑邁反左氏作蠆
得寳玉大弓何以書國寳也喪之書得之書	微辭也使若都以重國寳故書不以罪定公者其寳失之當坐得之當除以竊寳不月知得例不蒙上月○喪息浪反
六月葬鄭獻公○秋齊侯衛侯次于五氏	欲伐魯也善魯能却難早故書次而去〇卻難起略反下乃旦反卻亦作却
秦伯卒〇冬葬秦哀公十年春王三月及齊平	月者頰谷之㑹齊侯欲執定公故不易〇不易以䜴反下同
○夏公㑹齊侯于頰谷公至自頰谷	上平爲頰谷之㑹不易故月致地者頰谷之㑹齊侯作侏儒之樂欲以執定公孔子曰匹夫而熒惑於諸侯者誅於是誅侏儒侏儒首足異處齊侯大懼曲節從教得意故致也〇頰谷古協反左氏作夾谷熒惑音螢一音于瓊反處昌慮反
〇晉趙鞅帥師圍衛〇齊人來歸運讙龜隂田齊人曷爲來歸運讙龜隂田	据齊甞取魯邑
孔子行乎季孫三月不違	孔子仕魯政事行乎季孫三月之中不見違過是違之也不言政行乎定公者政在季氏之家
齊人爲是來歸之	齊侯自頰谷㑹歸謂晏子曰寡人獲過於魯侯如之何晏子曰君子謝過以質小人謝過以文齊甞侵魯四邑請皆還之歸濟西田不言來比其言來者巳絶魯不應復得故從外來常文與齊人來歸衛寳同夫子雖欲不受定公貪而受之比違之驗○爲于僞反復得扶又反年末及十一年同
叔孫州仇仲孫何忌帥師圍郈	〇郈音后
〇秋叔孫州仇仲孫何忌帥師圍費宋樂丗心出奔曹宋父子池出奔陳	○池左氏作地
〇冬齊侯衛侯鄭游遬㑹于鞌	〇于鞌左氏作安甫
〇叔孫州仇如齊○宋公之弟辰曁宋仲佗石彄岀奔陳	復出宋者惡仲佗悉欲帥國人去故舉國言之公子池樂世心石彄從之皆是也辰言曁者明仲佗強與俱出也三大夫出不月者舉國危亦見矣○曁其器反佗大多反彄古侯反惡烏路反強其丈反見賢徧反
十有一年春宋公之弟辰及仲佗石彄公子池自陳入于蕭以叛	不復言宋仲佗者本舉國巳明矣辰言及者後汲汲當坐重○復扶又反
夏四月秋宋樂丗心自曹入于蕭	不言叛者從叛臣叛可知
冬及鄭平叔還如鄭莅盟	○還音旋
十有二年春薛伯定卒	不日月者子無道當廢之而以爲後未至三年失衆見弑危社稷宗廟禍端在定故略之○見殺音試
〇夏葬薛襄公○叔孫州仇帥師墮郈	○墮許規反下同
衛公孟彄帥師伐曹○季孫斯仲孫何忌帥師墮費曷爲帥師墮郈帥師墮費	据城費
孔子行乎季孫三月不違曰家不藏甲邑無百雉之城於是帥師墮郈帥師墮費	郈叔孫氏所食邑費季氏所食邑二大夫宰吏數叛患之以問孔子孔子曰陪臣執國命采長數叛者坐邑有城池之固家有甲兵之藏故也季氏說其言而墮之故君子時然後言人不厭其言書者善定公任大聖復古制弱臣勢也不書去甲者舉墮城爲重〇吏數所角反下同采長七代反下丁丈反說音恱厭於豔反去起吕反
雉者何五板而堵	八尺曰板堵凡四十尺〇堵丁古反
五堵而雉	二百尺
百雉而城	二萬尺凡周十一里三十三歩二尺公侯之制也禮天子千雉蓋受百雉之城十伯七十雉子男五十雉天子周城諸侯軒城軒城者缺南面以受過也
秋大雩	不能事事信用孔子聖澤廢
〇冬十月癸亥公㑹晉侯盟于黃○十有一月丙寅朔日有食之	是後薛弒其君比晉荀寅士吉射入于朝歌以叛〇射食亦反又食夜反朝歌如字
○公至自黃○十有二月公圍成公至自圍成	成仲孫氏邑圍成月又致者天子不親征下士諸侯不親征叛邑公親圍成不能服不能以一國爲家甚危若從他國來故危録之
十有三年春齊侯衛侯次于垂瑕	〇垂瑕如字又音加二傳作垂葭
夏築蛇淵囿大蒐于比蒲	○大廋所求反本又作蒐比音毗
○衛公孟彄帥師伐曹秋晉趙鞅入于晉陽以叛〇冬晉荀寅及士吉射入于朝歌以叛○晉趙鞅歸于晉此叛也其言歸何	据叛與出入惡同
以地正國也	軍以井田立數故言以地
其以地正國奈何晉趙鞅取晉陽之甲以逐荀寅與士吉射荀寅與士吉射者曷爲者也君側之惡人也此逐君側之惡人曷爲以叛言之無君命也	無君命者操兵郷國故初謂之叛後知其意欲逐君側之惡人故録其釋兵書歸赦之君子誅意不誅事晉陽之甲者趙簡子之邑以邑中甲逐之〇操七曹反郷許亮反
薛弑其君比十有四年春衛公叔戍來奔晉趙陽出奔宋	〇晉趙陽左氏作衛趙陽
○三月辛巳楚公子結陳公子佗人帥師滅頓以頓子牄歸	不别以歸何國者明楚陳以滅人爲重頓子以不死位爲重〇公子佗人大河反二傳作公孫佗人牄七良反二傳作牂别彼列反
〇夏衛北宫結來奔五月於越敗呉于醉李	月者爲下卒出○醉李本又作雋音司爲于僞反
呉子光卒〇公㑹	反相息亮反粥羔羊六反間間厠之間近附近之近
十有五年春王正月邾婁子來朝鼷䑕食郊牛牛死改卜牛曷爲不言其所食	据食角〇鼷音兮
漫也	漫者徧食其身災不敬也不舉牛死爲重復舉食者内災甚矣録内不言火是也○漫亡半反猶徧也徧音遍復舉扶又反下同
二月辛丑楚子滅胡以胡子豹歸夏五月辛亥郊曷爲以夏五月郊	据魯郊正當卜春三正也又養牲不過三月
三卜之運也	運轉也巳卜春三正不吉復轉卜夏三月周五月得二吉故五月郊也易曰再三瀆瀆則不告不得其事雖吉猶不當爲也不舉卜者從可知
壬申公薨于髙寢鄭軒逹帥師伐宋	○軒逹左氏作罕逹
〇齊侯衛侯次于籧篨	○籧篨其居反下直居反
○邾婁子來奔喪其言來奔喪何	据㑹葬以禮書歸含且賵不言來〇含户暗反賵芳鳯反
奔喪非禮也	但解奔䘮者明言來者常文不爲早晩施也禮天子崩諸侯奔喪㑹葬諸侯薨有服者奔䘮無服者㑹葬邾婁與魯無服故以非禮書禮有不
