春秋公羊經傳解詁桓公第二何休學元年春王正月公即位繼弑君不言即位此其言即位何	据莊公不言即位〇繼弑申志反注皆同二年放此
宋始以不義取之故謂之郜鼎	宋始以不義取之不應得故正之謂之郜鼎如以義應得當言取宋大鼎郜本所以有大鼎者周家以丗孝天瑞之鼎以助享祭諸侯有丗孝者天子亦作鼎以賜之禮祭天子九鼎諸侯七卿大夫五元士三也
至乎地之與人則不然	凡取地皆就有之與噐異也
俄而可以爲其有矣	俄者謂須臾之間制得之頃也諸侯土地各有封疆里數今日取之然後王者起興滅國繼絶丗反取邑不嫌不明故卒可使以爲其有不復追録繫本主〇疆居良反
然則爲取可以爲其有乎	爲取恣意辭也弟子未解故云爾〇解音蟹
曰否何者	何者將設事類之辭
若楚王之妻媦無時焉可也	媦妺也引此爲喻者明其終不可名有也經不正者從可知省文也〇媦音胃妺也
戊申納于大廟何以書譏何譏爾遂亂受賂納于大廟非禮也	納者入辭也周公稱大廟所以必有廟者縁生時有宫室也孝子三年喪畢思念其親故爲之立宗廟以鬼享之廟之爲言貌也思想儀貌而事之故曰齊之日思其居處思其笑語思其志意思其所樂思其所嗜祭之日入室僾然必有見乎其位周旋出入肅然必有聞乎其容聲出戸而聽慨然必有聞乎其嘆息之聲孝子之至也質家右宗廟上親親文家右社稷尚尊尊○大廟音泰下及注同嗜市志反僾音愛又烏改反慨苦愛反
秋七月紀侯來朝	稱侯者天子將娶於紀與之奉宗廟傳之無窮重莫大焉故封之百里月者明當尊而不臣所以廣孝敬蓋以爲天子得娶庶人女以其得專封也
〇蔡侯鄭伯㑹于鄧離不言㑹此其言㑹何	据齊侯鄭伯如紀二國㑹曰離二人議各是其所是非其所非所道不同不能決事定是非立善惡不足采取故謂之離㑹
蓋鄧與㑹爾	時因鄧都得與鄧㑹自三國以上言㑹者重其少從多也能決事定是非立善惡尚書曰三人議則從二人之言蓋取諸此〇與㑹音預
〇九月入𣏌〇公及戎盟于唐	不日者戎怨隱不反國善桓能自復翕然相親信
〇冬公至自唐	致者君子疾賢者失其所不肖者反以相親榮故與隱相違也明前隱與戎盟雖不信猶可安也今桓與戎盟雖信猶可危也所以深抑小人也凡致者臣子喜其君父脫危而至
三年春正月公㑹齊侯于嬴	無王者以見桓公無王而行也二年有王者見始也十年有王者數之終也十八年有王者桓公之終也明終始有王桓公無之爾不就元年見始者未無王也二月非周之正月所以復去之者明春秋之道亦通於三王非主假周以爲漢制而巳○嬴音盈以見賢徧反下并年末以見同復扶又反下同去起吕反
〇夏齊侯衛侯胥命于蒲胥命者何相命也	胥相也時盟不歃血但以命相誓〇歃本又作歃所洽反又所甲反
何言乎相命	据盟亦相命不道也
近正也	以不言􁋼也〇近正附近之近下及注同
此其爲近正奈何古者不盟結言而退	善其近正似於古而不相背故書以撥亂也〇背音佩
○六月公㑹紀侯于盛	○盛音成
○秋七月壬辰朔日有食之旣旣者何盡也	光明滅盡也是後楚滅鄧榖上僭稱王故尤甚也楚滅鄧榖不書者後治夷狄
〇公子翬如齊逆女○九月齊侯送姜氏于讙何以書譏何譏爾諸侯越竟送女非禮也	以言姜氏也禮送女父母不下堂姑姊妹不出門○讙呼官反
此入國矣何以不稱夫人	据讙魯地
自我言齊	恕己以及人也
父母之於子雖爲鄰國夫人猶曰吾姜氏	所以崇父子之親從父母辭不言孟姜言姜氏者從魯辭起魯地
〇公㑹齊侯于讙夫人姜氏至自齊翬何以不致	据遂以夫人婦姜至自齊致
得見乎公矣	本所以致夫人者公不親迎有危也翬當井致者翬親迎重在翬也上㑹讙時夫人以得見公得禮失禮在公不復在翬故不復致不就讙上致者婦人危重故据都城乃致也月者爲夫人至例危重之〇親迎魚敬反下同爲夫于僞反下同
○冬齊侯使其弟年來聘○有年有年何以書	方分别問大有年故不但言何以書〇别彼列反
以喜書也大有年何以書亦以喜書也此其曰有年何僅有年也	僅猶劣也謂五榖多少皆有不能大成熟○僅其靳反劣也
彼其曰大有年何	問宣十六年也
大豐年也	謂五榖皆大熟成
僅有年亦足以當喜乎恃有年也	恃賴也若桓公之行諸侯所當誅百姓所當叛而又元年大水二年耗減民人將去國喪無日賴得五榖皆有使百姓安土樂業故喜而書之所以見不肖之君爲國尤危又明爲國家者不可不有年○行下孟反耗減呼報反下佳斬反喪息浪反
四年春正月公狩于郎狩者何田狩也	田者蒐狩之揔名也古者肉食衣皮服捕禽獸故謂之田取獸于田故曰狩易曰結繩罔以田魚○狩手又反冬獵也
春曰苗	苗毛也明當見物取未懷任者
秋曰蒐	蒐簡擇也簡擇㓜稚取其大者○曰廋本又作搜亦作蒐所求反簡擇也
冬曰狩	狩猶獸也冬時禽獸長大遭獸可取不以夏田者春秋制也以爲飛烏未去於巢走獸未離於穴恐傷害於㓜稚故於苑囿中取之○長大丁丈反年末同離力智反囿音又
常事不書此何以書譏何譏爾逺也	以其地逺禮諸侯田狩不過郊
諸侯曷爲必田狩	据有囿也
一曰乾豆	一者第一之殺也自左膘射之逹於右髃中心死疾鮮絜故乾而豆之中薦於宗廟豆祭器名狀如鐙天子二十有六諸公十有六諸侯十有二卿上大夫八下大夫六士二○左膘毗小反又扶了反三蒼云小腹兩邊肉說文云脅後髀前肉射之食亦反下同右髃本又作腢魚俱反又五苟反說文云肩前也字林云肩前兩乳骨也五口反中心丁仲反下同鐙都鄧反又音登
二曰賔客	二者第二之殺也自左膘射之逹於右脾逺心死難故以爲賔客〇逺于萬反
三曰充君之庖	充備也庖厨也三者第三之殺也自左膘射之逹于右䯚中膓􁉼汚泡死遟故以充君之庖厨巳有三牲必田狩者孝子之意以爲巳之所養不如天地自然之牲逸豫肥美禽獸多則傷五榖因習兵事又不空設故因以捕禽獸所以共承宗廟示不忘武備又因以爲田除害狩例時此月者譏不時也周之正月夏之十一月陽氣始施烏獸懷任草木萌牙非所以養微○庖歩苞反左脾方爾反又歩啓反股外也本又作膘右䯚羊紹反字林子小反一本作胘音賢泡普交反又百交反捕音歩本又作搏音博又音付共音恭爲田于僞反下皆同
夏天王使宰渠伯糾來聘宰渠伯糾者何天子之大夫也其稱宰渠伯糾何	据劉卷卒氏采不名且字〇糾居黝反氏采七代反後放此
下大夫也	天子下大夫繫官氏名且字繫官者卑不得專官事也稱伯者上敬老也上敬老則民益孝上尊齒則民益弟是以王者以父事三老兄事五更食之於辟雝天子親袒而割牲執醬而餽執爵而酳冕而揔干率民之至也先王之所以治天下者有五貴有徳爲其近於道也貴臣爲其近於君也貴老爲其近於父也敬長爲其近於兄也慈㓜爲其近於子弟也禮君於臣而不名者有五諸父兄不名經曰王札子是也詩曰王謂叔父是也上大夫不名祭伯是也盛徳之士不名叔肸是也老臣不名宰渠伯糾是也下去二時者桓公無王而行天子不能誅反下聘之故爲貶見其罪明不宜〇弟大計反更音庚食音嗣辟必亦反袒音但饋其愧反酳以刃反又士刃反其近附近之近下同札側八反肸許乙反去起吕反見賢徧反
五年春正月甲戍已丑陳侯鮑卒曷爲以二日卒之㤜也	㤜者狂也齊人語〇㤜呼述反狂也齊人語
甲戍之日亡已丑之日死而得君子疑焉故以二日卒之也	君子謂孔子也以二日卒之者闕疑
〇夏齊侯鄭伯如紀外相如不書此何以書	据蔡侯東國卒于楚不言如也
離不言㑹也	時紀不與㑹故略言如也春秋始録内小惡書内離會略外小惡不書外離㑹至所聞之丗著治升平内諸夏而詳録之乃書外離㑹嫌外離㑹常書故變文見意以别嫌明疑〇與音預治直吏反見意賢徧反下文注並同别彼列反
○天王使仍叔之子來聘仍叔之子者何天子之大夫也其稱仍叔之子何	据宰渠氏官武氏子不稱字又不加之尹氏不稱子
譏何譏爾譏父老子代從政也	禮七十縣車致仕不言氏者起父在也加之者起子辟一人〇縣音玄
〇葬陳桓公	不月者責臣子也知君父有疾當營衛不謹而失之也傳曰葬生者之事
○城祝丘○秋蔡人衛人陳人從王伐鄭其言從王伐鄭何	据河陽舉王符别出朝文文不連王王師不道所加○從王如字又才用反下及注同
從王正也	美其得正義也故以從王征伐録之蓋起時天子微弱諸侯背叛莫肯從王者征伐以善三國之君獨能尊天子死節稱人者刺王者也天下之君海内之主當秉綱撮要而親自用兵故見其微謂僅能從微者不能從諸侯猶莒稱人則從不疑也不使王者首兵者本不爲王舉也知實諸侯者以美得正〇撮七活反不爲于僞反下所爲與爲六年同
〇大雩大雩者何旱祭也	雩旱請雨祭名不解大者祭言大雩大旱可知也君親之南郊以六事謝過自責曰政不一與民失職與宫室禜與婦謁盛與苞苴行與讒夫倡與使童男女各八人舞而呼雩故謂之雩不地者常地也○一與音餘下同苴子餘反
然則何以不言旱	据日食鼔用牲于社
言雩則旱見言旱則雩不見	從可知故省文也日食獨不省文者與大水同禮若但言鼔用牲則不知其所爲必見雩者善其能戒懼天災應變求雨憂民之急也〇應應對之應下同
何以書記災也	旱者政教不施之應先是桓公無王行比爲天子所聘得志益驕去國逺狩大城祝丘故致此旱
〇􁈰何以書記災也	􁈰者煩擾之所生與上旱同說○􁈰音終本亦作說文或螽字
○冬州公如曹外相如不書此何以書過我也	爲六年化我張本也傳不言化我者張本非再化也稱公者申其尊起其慢責無禮○過古禾反又古卧反
六年春正月寔來寔來者何猶曰是人來也	猶曰是人來不録何等人之辭〇寔市力反
孰謂謂州公也	以上如曹書
曷爲謂之寔來慢之也曷爲慢之	据葵丘之盟日
化我也	行過無禮謂之化齊人語也諸侯相過至竟必假塗入都必朝所以崇禮讓絶慢易戒不虞也今州公過魯都不朝魯是慢之爲惡故書寔來見其義也月者危録之無禮之人不可備責之〇易以䜴反見其賢徧反下見無正同
○夏四月公㑹紀侯于成〇秋八月壬午大閱大閱者何簡車徒也	大簡閱兵車使可任用而習之〇閱音恱任音壬
何以書蓋以罕書也	空希也孔子曰以不教民戰是謂棄之故比年簡徒謂之蒐三年簡車謂之大閱五年大簡車徒謂之大蒐存不忘亡安不忘危不地者常地也蒐例時此日者桓旣無文德又忽忘武備故尤危録
〇蔡人殺陳佗陳佗者何陳君也	以躍卒不書葬也○佗大阿反
陳君則曷爲謂之陳佗	据殺蔡侯般不言蔡般〇侯般音班
絶也	絶者國當絶
曷爲絶之	据戕鄫子不絶〇戕在良反鄫才陵反
賤也其賤奈何外淫也惡乎淫	惡乎猶於何也〇惡音烏烏乎猶於何也注同
淫于蔡蔡人殺之	蔡稱人者與使得討之故從討賊辭也賤而去其爵者起其見卑賤猶律文立子姦母見乃得殺之也不日不書葬者從賤文〇去起吕反
〇九月丁卯子同生子同生者孰謂謂莊公也	以夫人言同非吾子〇嚴公音莊本亦作莊案後漢諱莊改爲嚴
何言乎子同生	据君存稱丗子子般不言生
喜有正也	喜國有正嗣
未有言喜有正者此其言喜有正何乆無正也子公羊子曰其諸以病桓與	其諸辭也本所以書莊公生者感隱桓之禍生於無正故喜有正而不以丗子正稱書者明欲以正見無正疾惡桓公日者喜録之禮生與來日死與往日各取其所見日也禮丗子生三日卜士負之寢門外以桑狐蓬矢射天地四方明當有天地四方之事三月君名之大夫負朝于廟以名徧告之〇桓與音餘稱尺證反惡烏路反射食亦反徧音遍
○冬紀侯來朝	朝聘例時
七年春二月已亥焚咸丘焚之者何樵之也	樵薪也以樵燒之故因謂之樵之樵之齊人語○樵似遥反薪也
樵之者何以火攻也何言乎以火攻	据戰伐不道所用兵○攻音貢又如字下同
疾始以火攻也	征伐之道不過用兵服則可以退不服則可以進火之盛炎水之盛衝雖欲服罪不可復禁故疾其暴而不仁也傳不託始者前此未有無所託也〇復扶又反
咸丘者何邾婁之邑也曷爲不繫乎邾婁	据郱鄑郚繫紀〇郱歩丁反鄑子斯反一音晉郚音吾
國之也	欲使如國故無所繫加之者辟寔國也
曷爲國之	据郱鄑郚不國
君存焉爾	所以起邾婁君在咸丘邑明臣子當赴其難與在國等也日者重録以火攻也〇難乃旦反
〇夏榖伯綏來朝鄧侯吾離來朝皆何以名	据滕薛不名也
失地之君也其稱侯朝何	据以賤也
貴者無後待之以初也	榖鄧本與魯同貴爲諸侯今失爵亡土來朝託寄也義不可卑故明當待之如初所謂故舊不遺則民不偷無後者施於所奔國也獨妻得配夫託衣食於公家子孫當受田而耕故云爾下去二時者桓公以火攻人君故貶明大惡不月者失地君朝惡人輕也名者見不丗也〇不偷他侯反本又作偷去起吕反見賢徧反
八年春正月已卯烝烝者何冬祭也春曰祠	薦尚韭卵祠猶食也猶繼嗣也春物始生孝子思親繼嗣而食之故曰祠因以别死生〇烝之承反冬祭也祠嗣絲反卵力管反猶食音飼下同别彼列反
夏曰礿	薦尚麥苗麥始熟可礿故曰礿〇礿予若反本又作禴同
秋曰甞	薦尚黍肫甞者先辭也秋榖成者非一黍先熟可得薦故曰甞
冬曰烝	薦尚稻鴈烝衆也氣盛貌冬萬物畢成所薦衆多芬芳備具故曰烝無牲而祭謂之薦天子四祭四薦諸侯二祭三薦大夫士再祭再薦祭於室求之於幽祭於堂求之於明祭於祊求之於逺皆孝子博求之意也大夫求諸明士求諸幽尊卑之差也殷人先求諸明周人先求諸幽質文之義也禮天子諸侯卿大夫牛羊豕凡三牲曰大牢天子元士諸侯之卿大夫羊豕凡二牲曰少牢諸侯之士特豕天子之牲角握諸侯角尺卿大夫索牛〇祊必庚反少詩照反索所百反
常事不書此何以書譏何譏爾譏亟也	亟數也屬十二月巳烝今復烝也不異烝祭名而言烝者取冬祭所薦衆多可以包四時之物○亟去兾反數也注及下同數所角反屬十音燭下同今復抶又反下同
亟則黷黷則不敬	黷渫黷也〇黷徒木反渫息列反
君子之祭也敬而不黷	君子生則敬養死則敬享故將祭宫室旣脩牆屋旣繕百物旣備序其禮樂具其百官散齊七日致齊三日夫婦齊戒沐浴盛服君牽牲夫人奠酒君親獻尸夫人薦豆卿大夫相君命婦相夫人洞洞乎屬屬乎如弗勝如將失之濟濟乎致其敬也愉愉乎盡其忠也勿勿乎其欲饗之也文王之祭事死如事生孝子之至也〇養餘亮反散齊素旦反下側皆反相君息亮反下同洞洞大董反勝音升濟濟子禮反又似兮反愉愉羊朱反勿勿如字
䟽則怠怠則忘	怠解〇䟽音踈下注同解古賣反
士不及兹四者則冬不裘夏不葛	禮本下爲士制兹此也四者四時祭也䟽數之節靡所折中是故君子合諸天道感四時物而思親也祭必於夏之孟月者取其見新物之月也裘葛者禦寒暑之美服士有公事不得及此四時祭者則不敢美其衣服蓋思念親之至也故孔子曰吾不與祭如不祭○折中之設反下丁仲反御寒魚吕反又如字不與音預
〇天王使家父來聘	家采地父字也天子中大夫氏采故稱字不稱伯仲也
〇夏五月丁丑烝何以書譏亟也	與上祀同爲亟也
〇秋伐邾婁〇冬十月雨雪何以書記異也何異爾不時也	周之十月夏之八月未當雨雪此隂氣大盛兵象也是後有郎師龍門之戰㳅血尤深〇雨雪于付反㳅古流字
〇祭公來遂逆王后于紀祭公者何天子之三公也	天子置三公九卿二十七大夫八十一元士凡百二十官下應十二子祭者采也天子三公氏采稱爵〇祭公側介反後祭仲祭叔放此應應對之應
何以不稱使	据宰周公稱使
㛰禮不稱主人	時王者有母也
遂者何生事也	生猶造也專事之辭
大夫無遂事此其言遂何	据待君命然後卒大夫也
成使乎我也	以上來無事知遂成使于我〇成使所吏反注及下成使同
其成使乎我奈何使我爲媒可則因用是往逆矣	㛰禮成於五先納采問名納吉納徴請期然後親迎時王者遣祭公來使魯爲媒可則因用魯往迎之不復成禮疾王者不重妃匹逆天下之母若迎婢妾將謂海内何哉故譏之不言如紀者辟有外文〇媒亡盃反請期音情又七井反迎魚敬反妃匹音配絶句
女在其國稱女此其稱王后何王者無外其辭成矣九年春紀季姜歸于京師其辭成矣則其稱紀季姜何自我言紀父母之於子雖爲天王后猶曰吾季姜	明子尊不加於父母
京師者何天子之居也	以季姜言歸
京者何大也師者何衆也天子之居必以衆大之辭言之	地方千里周城千雉宫室官府制度廣大四方各以其職來貢莫不備具所以必自有地者治自近始故據土與諸侯分職而聽其政焉即春秋所謂内治其國也書季姜歸者明魯爲媒當有送迎之禮〇治自直吏反
○夏四月○秋七月○冬曹伯使其丗子射姑來朝諸侯來曰朝此丗子也其言朝何	据臣子一例當言聘〇射音亦
春秋有譏父老子代從政	烏明近附近之近幾音祈
此偏戰也何以不言師敗績	据十三年師敗績偏一面也結日定地各居一面鳴鼔而戰不相詐
内不言戰言戰乃敗矣	春秋䚰王於魯戰者敵文也王者兵不與諸侯敵戰乃其巳敗之文故不復言師敗績魯不復出主名者兵近都城明舉國無大小當戮力拒之○不復扶又反下同戮音六又力彫反字亦作勠
十有一年春正月齊人衛人鄭人盟于惡曹	月者桓公行惡諸侯所當誅屬上三國來戰于郎今復使微者盟故爲魯懼危録之〇行下孟反屬音燭今復扶又反下故復同爲于僞反
○夏五月癸未鄭伯寤生卒	○寤吾故反
〇秋七月葬鄭莊公	莊公殺叚所以書葬者叚當國本當從討賊辭不得與殺大夫同例
九月宋人執鄭祭仲祭仲者何鄭相也	不言大夫者欲見持國重〇相息亮反見賢徧反下同
何以不名賢也何賢乎祭仲	据身執君出不能防難〇防難乃旦反下同
以爲知權也	權者稱也所以别輕重喻祭仲知國重君輕君子以存國除逐君之罪雖不能防其難罪不足而功有餘故得爲賢也不引度量者取其平實以無私〇稱尺證反别彼列反
其爲知權奈何古者鄭國處于留先鄭伯有善于鄶公者通乎夫人以取其國而遷鄭焉	遷鄭都於鄶也〇鄶古外反
而野留	野鄙也傳本上事者解宋所以得執祭仲因以爲戒
莊公死巳葬祭仲將往省于留塗出于宋宋人執之	宋人宋莊公也
謂之曰爲我出忽而立突	突宋外甥〇爲于僞反下注爲突非能爲突爲賂爲突歸爲承同
祭仲不從其言則君必死國必亡	祭仲死而忽旋爲突所驅逐而出奔經不書忽奔見微弱甚是時宋強而鄭弱祭仲探宋莊公本弑君而立非能爲突將以爲賂動守死不聽令自入見國無拒難者必乗便將滅鄭故深慮其大者也〇令自力呈反下同便婢面反
從其言則君可以生易死國可以存易亡少遼緩之	宋當從突求賂鄭守正不與則突外乖於宋内不行於臣下遼假緩之
則突可故出而忽可故反是不可得則病	防突有賢才是計不可得行則巳病逐君之罪
然後有鄭國	已雖病逐君之罪討出突然後能保有鄭國猶愈於國之亡
古人之有權者祭仲之權是也	古人謂伊尹也湯孫大甲驕蹇亂德諸侯有叛志伊尹放之桐宫令自思過三年而復成湯之道前雖有逐君之負後有安天下之功猶祭仲逐君存鄭之權是也〇大音泰
權者何權者反於經然後有善者也權之所設舎死亡無所設	設施也舎置也如置死亡之事不得施
行權有道自貶損以行權	身蒙逐君之惡以存鄭是也
不害人以行權	已納突不害忽是也
殺人以自生亡人以自存君子不爲也	祭仲死則忽死忽死則鄭亡生者乃所以生忽存鄭非苟殺忽以自生亡鄭以自存反覆道此者皆所以解上死亡不施於巳宋不稱公者脅鄭立篡首惡當誅非伯執也祭仲不稱行人者時不銜君命出使但往省留耳執例時此月者爲突歸鄭奪正鄭伯出奔○覆芳服反使所吏反
〇突歸于鄭突何以名	据忽復歸子鄭俱祭仲所納繫國稱丗子不但名也
挈乎祭仲也	挈猶提挈也突當國本當言鄭突欲明祭仲從宋人命提挈而納之故上繫於祭仲不繫國者使與外納同也時祭仲勢可殺突以除忽害而立之者忽内未能懷保其民外未能結助諸侯如殺之則宋軍強乗其弱滅鄭不可救故少遼緩之○挈苦結反提挈也
其言歸何	据小白言入
順祭仲也	順其計䇿與使行權故使無惡
○鄭忽岀奔衛忽何以名	据朱子旣葬稱子
春秋伯子男一也辭無所貶	春秋改周之文從殷之質合伯子男爲一一辭無所貶皆從子夷狄進爵稱子是也忽稱子則與諸侯改伯從子辭同於成君無所貶損故名也名者縁君薨有降旣葬名義也此非罪貶也君子不奪人之親故使不離子行也王者起所以必改質文者爲承衰亂救人之失也天道本下親親而質省地道敬上尊尊而文煩故王者始起先本天道以治天下質而親親及其衰敝其失也親親而不尊故後王起法地道以治天下文而尊尊及其衰敝其失也尊尊而不親故復反之於質也質家爵三等者法天之有三光也文家爵五等者法地之有五行也合三從子者制由中也○省所景反
〇柔㑹宋公陳侯蔡叔盟于折柔者何吾大夫之未命者也	以俠卒也輙發傳者無氏嫌貶也所以不卒柔者深薄桓公不與有恩禮於大夫也盟不日者未命大夫盟㑹用兵上不及大夫下重於十罰疑從輕故責之略蔡侯稱叔者不能防正其姑姊妹使淫於陳佗故貶在字例○折之設反又時設反一本作析思歷反
○公㑹宋公于夫童	〇夫童音扶下音鍾又如字左氏作夫鍾
○冬十有二月公㑹宋公于闞	○闞口暫反
十有二年春正月○夏六月壬寅公㑹紀侯莒子盟于毆蛇	○毆蛇丘于反又音曲侯反蛇音移又音池左氏作曲池
○秋七月丁亥公㑹宋公燕人盟于榖丘	○燕音烟
○八月壬辰陳侯躍卒	不書葬者佗子也佗不稱侯者嫌貶在名例不當絶故復去躍葬也○躍予若反佗子大何反故復扶又反下同去起吕反
○公㑹宋公于郯	〇郯音談二傳作虚
〇冬十有一月公㑹宋公于龜○丙戍公㑹鄭伯盟于武父	〇父音甫
〇丙戍衛侯晉卒	不蒙上日者春秋獨晉書立記卒耳當蒙上日與不嫌異於篡例故復出日明同
〇十有二月及鄭師伐宋丁未戰于宋戰不言伐此其言伐何辟嫌也惡乎嫌嫌與鄭人戰也	時宋主名不出不言伐則嫌内微者與鄭人戰於宋地故舉伐以明之宋不出主名者兵攻都城與郎同義○惡乎音烏十三年傳同
此偏戰也何以不言師敗績内不言戰言戰乃敗矣十有三年春二月公㑹紀侯鄭伯已巳及齊侯宋公衛侯燕人戰齊師宋師衛師燕師敗績曷爲後日	据鞌之戰先書日○鞌音安
恃外也其恃外奈何得紀侯鄭伯然後能爲日也	得紀侯鄭伯之助然後乃能結戰日以勝君子不掩人之功不蔽人之善故後日以明之〇勝詩證反蔽必婢反
内不言戰此其言戰何	据公敗宋師于菅〇菅古顔反
從外也	從外諸侯相與戰例
曷爲從外	据戰于宋不從外言敗績
恃外故從外也	明當歸功於紀鄭故從紀鄭言戰
何以不地	据在下句
近也惡乎近近乎圍郎亦近矣郎何以地郎猶可以地也	郎雖近猶尚可言其處今親戰龍門兵攻城池尤危故恥之績功也非義不戰故以功言之不言功者取其積聚師衆有尊卑上下次第行伍必出萬死而不奔北故以自敗爲文明當坐也燕戰稱人敗績稱師者重敗也戰少而敗多言及者明見我者爲主故得汲汲敗勝之文〇處昌慮反行户郎反
○三月葬衛宣公	背殯用兵而月不危之者衛弱於齊宋不從亦有危故量力不責也〇背殯音佩後背璸皆放此
○夏大水	爲龍門之戰死傷者衆民悲哀之所致〇爲于僞反
〇秋七月〇冬十月十有四年春正月公㑹鄭伯于曹○無冰何以書記異也	周之正月夏之十一月法當堅冰無冰者温也此夫人淫泆隂而陽行之所致〇泆音逸行下孟反
〇夏五鄭伯使其弟語來盟夏五者何無聞焉爾	來盟者聘而盟也不言聘者舉重也内不出主名者主國也莅盟可知莅盟來盟例皆時時者從内爲王義明王者當以至信先天下〇莅盟音利又音類下同
○秋八月壬申御廩災御廩者何粢盛委之所藏也	黍稷曰粢在器曰盛委積也御者謂御用于宗廟廩者釋治榖名禮天子親耕東田千畒諸侯百畒后夫人親西郊采桑以共粢盛祭服躬行孝道以先天下〇廩力甚反粢盛音咨下音成委于鬼反注同積子賜反共音恭
御廩災何以書記災也	火自出燒之曰災先是龍門之戰死傷者衆桓無惻痛於民之心不重宗廟之尊逆天危先祖鬼神不饗故天應以災御廩〇應應對之應
○乙亥甞常事不書此何以書譏何譏爾譏甞也	譏新有御廩災而甞之
