論語陽貨第十七何晏集解	九卄四章
譬諸小人其猶穿窬之盗也與	孔安國曰為人如此猶小人之有盗心穿穿壁窬窬牆之也
子曰郷原德之賊也	周生烈曰所至之郷輙原其人情而為巳意以待之是賊亂德者也一曰郷向也古字同謂人不能剛毅而見人輙原其趣向容媚而合之言此所以賊德也
子曰道聽而塗說德之棄	馬融曰聞之於道路則傳而說之
子曰鄙夫可與事君哉	孔安國曰言不可與事君
其未得之患得之	患得之者患不能得之楚俗言
既得之患失之苟患失無所不至矣	鄭玄曰無所不至者言邪媚無所不為也
子曰古者民有三疾今也或是之亡也	苞氏曰言古者民疾與今時異也
古之狂也肆	苞氏曰肆極意敢言也
今之狂也蕩	孔安國曰蕩無所據
古之矝也㢘	馬融曰有㢘隅也
今之矝也忿戾	孔安國曰悪理多怒
古之愚也直今之愚也詐而巳矣子曰悪紫之奪朱	孔安國曰朱正色紫間色之好者悪其邪好而奪正色
悪鄚聲之亂雅樂	苞氏曰鄚聲淫聲之哀者悪其奪雅樂也
悪利口之覆邦家	孔安國曰利口之人多言少實苟能恱媚時君傾覆其國家也
子曰予欲無言子貢曰子如不言則小子何述焉	言之為益少故欲無言也
子曰天何言哉四時行焉百物生焉天何言哉孺悲欲見孔子孔子辭之以疾將命者出户取瑟而歌使之聞之	孺悲鲁人也孔子不欲見故辭以疾為其將命者不知巳故歌令將命者悟所以令孺悲思也
宰我問三年之䘮期巳久矣君子三年不為禮禮必壞三年不為樂樂必崩舊糓既沒新糓既升鑚燧改火期可巳矣	馬融曰周書月令有更火春取榆栁之火夏取棗杏之火季憂取乗柘之火秋取柞楢之火冬取槐檀之火一年之中鑚火各異木故曰改火也
子曰食夫稻也衣夫錦也於女安乎曰安之女安則為之夫君子之居䘮食旨不甘聞樂不樂居處不安故不為也今女安則為之	孔安國曰旨羙也責其無仁於親故再言女安則為之
宰我出曰予之不仁也子生三年然後免於父母之懷	馬融曰子生未三嵗爲父母所懐抱也
夫三年之䘮天下之通䘮也	孔安國曰自天子達於庶人
予也有三年之愛於其父母乎	孔安國曰言子之於父母欲報之德昊天罔極而予也有三年之愛也
子曰飽食终日無所用心難矣哉不有博弈者乎為之猶賢乎巳	為其無所據樂善生淫慾
子路曰君子尚勇乎子曰君子義以為上君子有勇而無義為亂小人有勇而無義為盗子貢問曰君子亦有悪乎子曰有悪悪稱人之悪者	苞氏曰好稱說人悪所以為悪也
悪居下流而訕上者	孔安國曰訕謗毀也
悪勇而無禮者悪果敢而窒者	馬融曰窒窒塞也
曰賜也亦有悪也悪徼以為智者	孔安國曰徼抄也抄人之意以為巳有
悪不遜以為勇者悪訐以為直者	苞氏曰訐謂政發人之隂私
子曰唯女子與小人為難飬也近之則不遜逺之則怨子曰年四十而見悪焉其终也巳	鄭玄曰年在不惑而爲人所悪终無善行也
