論語八佾第三何晏集解	凢卄六章
曰邦君樹塞門管氏亦樹塞門邦君爲兩君之好有反坫管氏亦有反坫	鄭玄曰反玷反爵之玷也在兩楹之間人君有别外内於門樹屏以蔽之也若與鄰國君爲好㑹其獻酢之礼更酌酌畢則各反爵於玷上今管仲皆僭爲之如是是不知礼也
管氏而知礼孰不知礼子語魯太師樂曰樂其可知巳也始作翕如也	大師樂官名也五音始奏翕如盛也
從之純如也	從讀曰縱言五音既發放縱盡其聲純純和諧也
皦如也	言其音節明也
繹如也以成	縱之以純如皦如繹如言樂始於翕如而成於三也
儀封人請見	鄭玄曰儀蓋衛邑也封人官名也
曰君子之至於斯者吾未甞不得見也從者見之	苞氏曰從者弟子随孔子行者也通使得見也
出曰二三子何患於喪乎天下之無道乆矣	孔安國曰語諸弟子言何患於夫子聖徳之將喪亡邪天下之無道巳乆矣極衰必有盛也
天將以夫子爲木鐸	孔安國曰木鐸施政教之時所振也言天將命孔子制法度以号令於天下也
子謂韶盡羙矣又盡善也	孔安國曰韶舜樂也謂以聖徳受禪故曰盡善也
謂武盡羙矣未盡善也	孔安國曰武武王樂也以征伐取天下故曰未盡善也
子	_
曰	_
居	_
上	_
不	_
寛	_
爲	_
禮	_
不	_
敬	_
臨	_
喪	_
不	_
哀	_
吾	_
何	_
以	_
觀	_
之	_
哉	_
