少牢饋食禮第十六儀禮鄭氏注少牢饋食之禮	禮將祭祀必先擇牲繫于牢而芻之羊豕曰少牢諸侯之卿大夫祭宗庿之牲
佐食上利升牢心舌載于肵俎心皆安下切上午割勿没其載于肵俎末在上舌皆切本末亦午割勿没其載于肵橫之皆如初爲之于爨也	牢羊豕也安平也平割其下於載便也凡割本末食必正也午割使可絶也勿没爲其分散也肵之爲言敬也所以敬尸也周禮祭尚肺事尸尚心舌心舌知滋味今文切皆爲刌
佐食遷肵俎于阼階西西縮乃反佐食二人上利升羊載右胖髀不升肩臂臑膞骼正脊一脡脊一橫脊一短脅一正脅一代脅一皆二骨以並腸三胃三長皆及俎拒舉肺一長終肺祭肺三皆切肩臂臑膞骼在兩端脊脅肺肩在上	升之以尊卑載之以體次各有宜也拒讀爲介距之距俎距脛中當橫節也凡牲體之數及載備於此
下利升豕其載如羊無腸胃體其載于俎皆進下	進下變於食生也所以交於神明不敢以食道敬之至也鄕飮酒禮進腠羊次其體豕言進下互相見
司士三人升魚腊膚魚用鮒十有五而俎縮載右首進腴	右首進腴亦變於食生也有司載魚橫之少儀曰羞濡魚者進尾
腊一純而俎亦進下肩在上	如羊豕凡腊之體載禮在此
膚九而俎亦橫載革順	列載於俎令其皮相順亦者亦其骨體
卒脀祝盥于洗升自西階主人盥升自阼階祝先入南面主人從戸内西面	將納祭也
主婦被錫衣侈袂薦自東房韭菹醓醢坐奠于筵前主婦賛者一人亦被錫衣侈袂執葵菹蠃醢以授主婦主婦不興遂受陪設于東韭菹在南葵菹在北主婦興入于房	被錫讀爲髲鬄古者或剔賤者刑者之髮以被婦人之紒爲飾因名髲鬄焉此周禮所謂次也不纚笄者大夫妻尊亦衣綃衣而侈其袂耳侈者蓋半士妻之袂以益之衣三尺三寸祛尺入寸韭菹醓醢朝士之豆也而饋食用之豐大夫禮葵菹在䋫今文鬄爲緆蠃爲蝸
佐食上利執羊俎下利執豕俎司士三人執魚腊膚俎序升自西階相從入設俎羊在豆東豕亞其北魚在羊東腊在豕東特膚當俎北端	相助也
主婦自東房執一金敦黍有蓋坐設于羊俎之南婦賛者執敦稷以授主婦主婦興受坐設于魚俎南又興受賛者敦黍坐設于稷南又興受賛者敦稷坐設于黍南敦皆南首主婦興入于房	敦有首者尊者噐飾也飾蓋象龜周之禮飾噐各以其類龜有上下甲今文曰主婦入于房
祝酌奠遂命佐食啓會佐食啓會蓋二以重設于敦南	酌奠酌酒爲神奠之後酌者酒尊要成也特牲饋食禮曰祝洗酌奠奠于鉶南重累之
主人西面祝在左主人再拜稽首祝祝曰孝孫某敢用柔毛剛鬛嘉薦普淖用薦歲事于皇祖伯某以某妃配某氏尚饗主人又再拜稽首	羊曰柔毛豕曰剛鬛嘉薦菹醢也普淖黍稷也普大也淖和也德能大和乃有黍稷春秋傳曰奉粢以告曰潔粢豐盛謂其三時不害而民和年豐也
祝出迎尸于庿門之外主人降立于阼階東西面祝先入門右尸入門左	主人不出迎尸伸尊也特牲饋食禮曰尸入主人及賔皆辟位出亦如之祝入門右者辟尸盥也旣則後尸
宗人奉槃東面于庭南一宗人奉匜水西面于槃東一宗人奉簞巾南面于槃北乃沃尸盥于槃上卒盥坐奠簞取巾興振之三以授尸坐取簞興以受尸巾	庭南没霤
祝延尸尸升自西階入祝從	由後詔相之曰延延進也周禮曰大祝相尸禮祝從從尸升自西階
主人升自阼階祝先入主人從	祝接神先入冝也
尸升筵祝主人西面立于戸内祝在左	主人由祝後而居右尊也祝從尸尸即席乃卻居主人左
祝主人皆拜妥尸尸不言尸荅拜遂坐	拜妥尸拜之使安坐也尸自此荅拜遂坐而卒食其間有不啐奠不嘗鉶不告㫖大夫之禮尸彌尊也不告㫖者爲𥘉亦不饗所謂曲而殺
祝反南面	未有事也墮祭爾敦官各肅其職不命
尸取韭菹辯㨎于三豆祭于豆間上佐食取黍稷于四敦下佐食取牢一切肺于俎以授上佐食上佐食兼與黍以授尸尸受同祭于豆祭	牢羊豕也同合也合祭於俎豆之祭也黍稷之祭爲墮祭將食神餘尊之而祭之今文辯爲徧
上佐食舉尸牢肺正脊以授尸上佐食爾上敦黍于筵上右之	爾近也或曰移也右之便尸食也重言上佐食明更起不相因
主人羞肵俎升自阼階置于膚北	羞進也肵敬也親進之主人敬尸之加
上佐食羞兩鉶取一羊鉶于房中坐設于韭菹之南下佐食又取一豕鉶于房中以從上佐食受坐設于羊鉶之南皆芼皆有柶尸扱以柶祭羊鉶逐以祭豕鉶嘗羊鉶	芼菜也羊用苦豕用薇皆有滑
食舉	舉牢肺正脊也先飮啗之以爲道也
三飯	食以黍
上佐食舉尸牢幹尸受振祭嚌之佐食受加于肵	幹正脅也古文幹爲肝
上佐食羞胾兩瓦豆有醢亦用瓦豆設于薦豆之北	設於薦豆之北以其加也四豆亦䋫羊胾在南豕胾在北無臐曉者尚牲不尚味
尸又食食胾上佐食舉尸一魚尸受振祭嚌之佐食受加于肵横之	又復也或言食或言飯食大名小數曰飯魚横之者異於肉
又食上佐食舉尸腊肩尸受振祭嚌之上佐食受加于肵	腊魚皆一舉者少牢二牲略之腊必舉肩以肩爲終也别舉魚腊崇威儀
又食上佐食舉尸牢骼如初	如舉幹也
又食	不舉者卿大夫之禮不過五舉須侑尸
尸告飽祝西面於主人之南獨侑不拜侑曰皇尸未實侑	侑勸也祝獨勸者更則尸飽實猶飽也祝旣侑復反南面
尸又食上佐食舉尸牢肩尸受振祭嚌之佐食受加于肵	四舉牢體始於正脊終於肩尊於終始
尸不飯告飽祝西面于主人之南	祝當賛主人辭
主人不言拜侑	祝言而不拜主人不言而拜親䟽之宜
尸又三飯	爲祝一飯爲主人三飯尊卑之差凡十一飯下人君也
上佐食受尸牢肺正脊加于肵	言受者尸授之也尸授牢幹而實舉于俎豆食畢操以授佐食焉
主人降洗爵升北面酌酒乃酳尸尸拜受主人拜送	酳猶羡也旣食之而又飮之所以樂之古文酳作酌
尸祭酒啐酒賔長羞牢肝用俎縮執俎肝亦縮進末鹽在右	羞進也縮從也鹽在肝右便尸㨎之古文縮爲蹙
尸左執爵右兼取肝㨎于俎鹽振祭嚌之加于菹豆卒爵主人拜祝受尸爵尸荅拜	兼兼羊豕
祝酌受尸尸醋主人主人拜受爵尸荅拜主人西面奠爵又拜	主人受酢酒俠爵拜彌尊尸
上佐食取四敦黍稷下佐食取牢一切肺以授上佐食上佐食以綏祭	綏或作挼挼讀爲墮將受嘏亦尊尸餘而祭之古文墮爲肵
主人佐執爵右受佐食坐祭之又祭酒不興遂啐酒	右受佐食右手受墮於佐食也至此言坐祭之者明尸與主人爲禮也尸恒坐有事則起主人恒立有事則坐
祝與二佐食皆出盥于洗入二佐食各取黍于一敦上佐食兼受搏之以授尸尸執以命祝	命祝以嘏辭
卒命祝祝受以東北面于戸西以嘏于主人曰皇尸命工祝承致多福無疆于女孝孫來女孝孫使女受祿于天冝稼于田眉壽萬年勿替引之	嘏大也予主人以大福工官也承猶傳也來讀曰釐釐賜也耕種曰稼勿猶無也替廢也引長也言無廢止時長如是也古文嘏爲格祿爲福眉爲微替爲㭈㭈或爲臷臷替聲相近
主人坐奠爵興再拜稽首興受黍坐振祭嚌之詩懷之實于左𬒮挂于季指執爵以興坐卒爵執爵以興坐奠爵拜尸荅拜執爵以興出宰夫以籩受嗇黍主人嘗之納諸内	詩猶承也實於左𬒮便右手也季猶小也出出戸也宰夫掌飮食之事者收歛曰嗇明豐年乃有黍稷也復嘗之者重之至也納猶入也古文挂作卦
主人獻祝設席南面祝拜于席上坐受	室中迫狹
主人西面荅拜	不言拜送下尸
薦兩豆菹醢	葵菹蠃醢
佐食設俎牢髀橫脊一短脅一腸一胃一膚三魚一橫之腊兩髀屬于尻	皆升下體祝賤也魚橫者四物其俎殊之也腊兩髀屬于尻尤賤不殊
祝取菹㨎于醢祭于豆間祝祭爼	大夫祝俎無肺祭用膚逺下尸不嚌之膚不盛
祭酒啐酒肝牢從祝取肝㨎于鹽振祭嚌之不興加于俎卒爵興	亦如佐食授爵乃興不拜旣爵大夫祝賤也
主人酌獻上佐食上佐食戸内牖東北面拜坐受爵主人西面荅拜佐食祭酒卒爵拜坐授爵興	不啐而卒爵者大夫之佐食賤禮略
俎設于兩階之間其俎折一膚	佐食不得成禮於室中折者擇取牢正體餘骨折分用之有脀而無薦亦逺下尸
主人又獻下佐食亦如之其脀亦設于階間西上亦折一膚	上佐食旣獻則出就其俎特牲記曰佐食無事則中庭北面謂此時
有司賛者取爵于篚以升授主婦賛者于房戶	男女不相因特牲饋食禮曰佐食卒角主人受角降反于篚
婦賛者受以授主婦主婦洗于房中出酌入戸西面拜獻尸	入尸西面拜由便也不北面者辟人君夫人也拜而後獻者當俠拜也昬禮曰婦洗在北堂直室東隅
尸拜受主婦主人之北西面拜送爵	拜於主人之北西面婦人位在肉此拜於北則上拜於南矣由便也
尸祭酒卒爵主婦拜祝受尸爵尸荅拜易爵洗酌授尸	祝出易爵男女不同爵
主婦拜受爵尸荅拜上佐食綏祭主婦西面于主人之北受祭祭之其綏祭如主人之禮不嘏卒爵拜尸荅拜	不嘏夫婦一體綏亦當作挼古文爲肵
主婦以爵出賛者受易爵于篚以授主婦于房中	賛者有司賛者也易爵亦以授婦賛者婦賛者受房戸外入授主婦
主婦洗酌獻祝祝拜坐受爵主婦荅拜于主人之北卒爵不興坐授主婦	不俠拜下尸也今文曰祝拜受
主婦受酌獻上佐食于戶内佐食北面拜坐受爵主婦西面荅拜祭酒卒爵坐授主婦主婦獻下佐食亦如之主婦受爵以入于房	不言拜於主人之北可知也爵奠於内篚
賔長洗爵獻于尸尸拜受爵賔戸西北面拜送爵尸祭酒卒爵賔拜祝受尸爵尸荅拜祝酌授尸賔拜受爵尸拜送爵賔坐奠爵遂拜執爵以興坐祭遂飮卒爵執爵以興坐奠爵拜尸荅拜賔酌獻祝祝拜坐受爵賔北面荅拜祝祭酒啐酒奠爵于其筵前	啐酒而不啐爵祭事畢示醉也不獻佐食將儐尸禮殺
主人出立于阼階上西面祝出立于西階上東面祝告曰利成	利猶養也成畢也孝子之養禮畢
祝入尸謖主人降立于阼階東西面	謖起也謖或作休
祝先尸從遂出于庿門	事尸之禮訖於庿門
祝反復位于室中主人亦入于室復位祝命佐食徹肵俎降設于堂下阼階南	徹肵俎不出門將儐尸也肵俎而以儐尸者其本爲不反魚肉耳不云尸俎未歸尸
司宫設對席乃四人𧃊	大夫禮四人餕明惠大也
上佐食盥升下佐食對之賔長二人備	備四人餕也三餕亦盥升
司士進一敦黍于上佐食又進一敦黍于下佐食皆右之于席上	右之者東面在南西面在北
資黍于羊俎兩端兩下是餕	資猶減也減置於羊俎兩端則一賔長在上佐食之北一賔長在下佐食之南今文資作齎
司士乃辯舉𧃊者皆祭黍祭舉	舉舉膚今文辯爲徧
主人西面三拜𧃊者𧃊者奠舉于俎皆荅拜皆反取舉	三拜旅之示徧也言反者拜時或去其席在東面席者東面拜在西面席者皆南面拜
司士進一鉶于上𧃊又進一鉶于次𧃊又進二豆湆于兩下乃皆食食舉	湆肉汁也
卒食主人洗一爵升酌以授上𧃊賛者洗三爵酌主人受于戸内以授次𧃊若是以辯皆不拜受爵主人西面三拜𧃊者𧃊者奠爵皆荅拜皆祭酒卒爵奠爵皆拜主人荅壹拜	不拜受爵者大夫餕者賤也荅壹拜略也古文一爲壹也
𧃊者三人興出	出降實爵于篚反賔位
上𧃊止主人受上𧃊爵酌以醋于戸内西面坐奠爵拜上𧃊荅拜坐祭酒啐酒	主人自酢者上𧃊獨止當尸位尊不酌也
上𧃊親嘏曰主人受祭之福胡壽保建家室	親嘏不使祝授之亦以黍
主人興坐奠爵拜執爵以興坐卒爵拜上𧃊荅拜上𧃊興出主人送乃退	送佐食不拜賤
