論語公冶長第五何晏集解	凢廿九章
或乞醯焉乞諸其隣而與之	孔安國曰乞之四隣以應求者用意委曲非爲直人也
子曰巧言令色足恭	孔安國曰足恭便僻之貌也
左丘明恥之丘亦恥之	孔安國曰左丘明鲁大夫也
匿怨而友其人	孔安國曰心内相怨而外詐親也
左丘明恥之丘亦恥之顔淵季路侍子曰盍各曰爾志子路曰願車馬衣輕裘與朋友共敝之而無憾	孔安國曰憾恨也
顔淵曰願無伐善	孔安國曰自無稱巳之善也
無施勞	孔安國曰無以勞事置施於人也
子路曰願聞子之志子曰老者安之朋友信之少者懷之子曰巳矣乎吾未見能見其過而内自訟者也	苞氏曰訟猶責也言人有過莫能自責也
子	_
曰	_
十	_
室	_
之	_
邑	_
必	_
有	_
忠	_
信	_
如	_
丘	_
者	_
焉	_
不	_
如	_
丘	_
之	_
好	_
學	_
者	_
也	_
