論語先進第十一何晏集解	凢二十三章
子曰由之鼓瑟奚爲於丘之門	馬融曰言子路鼓瑟不合雅頌也
門人不敬子路子曰由也升堂矣未入於室也	馬融曰升我堂矣未入室耳門人不解謂孔子言爲賤子路故復解之也
子貢問師與啇也孰賢乎子曰師也過啇也不及	孔安國曰言俱不得中也
曰然則師愈與子曰過猶不及也	愈猶勝也
季氏富於周公	孔安國曰周公天子之宰卿士也
而求也爲之聚斂而附益之	孔安國曰冉求爲季氏宰爲之急賦稅也
子曰非吾徒也小子鳴皷而攻之可也	鄭玄曰小子門人也鳴皷聲其罪以責之
柴也愚	弟子髙柴也字子羔愚愚直之愚也
參也魯	孔安國曰魯鈍也曽子遲鈍也
師僻也	馬融曰子張才過人失在邪僻文過也
由喭也	鄭玄曰子路之行失於吸喭也
子曰回也其庶乎屢空賜不受命而貨殖焉憶則屢中	言回庶幾聖道雖數空匱而樂在其中矣賜不受教命唯財貨是殖億度是非盖羙回所以勵賜也一曰屢猶每也空猶虚中也以聖人之善教數子之庶幾猶不至於知道者各内有此害也其於庶幾每能虚中者唯回懷道深逺不虚心不能知道子貢無數子病然亦不知道者雖不窮理而幸中雖非天命而偶冨亦所以不虚心也
子張問善人之道子曰不踐迹亦不入於室	孔安國曰踐循也言善人不循追舊迹而巳亦多少能創業然亦不能入於聖人之奥室也
子曰論篤是與君子者乎色荘者乎	論篤者謂口無擇言也君子者謂身無鄙行也色莊者不惡而嚴以遠小人者也言此三者皆可以爲善人者也
子路問聞斯行諸	苞氏曰賑窮救之之事也
子曰有父兄在如之何其聞斯行之也	孔安國曰當白父兄不可得自專也
冉有問聞斯行諸子曰聞斯行之公西華曰由也問聞斯行諸子曰有父兄在求也問聞斯行諸子曰聞斯行之赤也惑敢問	孔安國曰惑其問同而荅異也
子曰求也退故進之由也兼人故退之	鄭玄曰言冉有性謙退子路務在勝尚人各因其人之失而正也
子畏於匡顔淵後	孔安國曰言與孔子相失故在後也
子曰吾以汝為死矣曰子在回何敢死	苞氏曰言夫子在巳無所敢死也
季子然問仲由冉求可謂大臣與	孔安國曰季子然季氏之子弟自多得臣此二子故問之
子曰吾以子爲異之問曽由與求之問	孔安國曰謂子問異事耳則此二人之問安足爲大臣乎
所謂大臣者以道事君不可則止今由與求也可謂具臣矣	孔安國曰言備臣數而巳也
曰然則從之者與	孔安國曰問爲臣皆當從君所欲邪
子曰弑父與君亦不從也	孔安國曰二子雖從其主亦不與爲大逆也
子路使子羔爲費宰子曰賊夫人之子	苞氏曰子羔學未熟習而使爲攻所以賊害人也
子路曰有民人焉有社稷焉何必讀書然後爲學	孔安國曰言治民事神於是而習亦學也
子曰是故悪夫佞者	孔安國曰疾其以口給應遂巳非而不知窮也
子路曽晢	孔安國曰曽晢曽參父也名點
冉有公西華侍坐子曰以吾一日長乎爾無吾以也	孔安國曰言我問汝汝無以我長故難對也
居則曰不吾知也	孔安國曰汝常居云人不知巳
如或知爾則何以哉	孔安國曰如有用汝有則何以爲治乎
子路率爾而對	率爾先三人對也
曰千乗之國攝乎大國間加之以師旅因之以飢饉	苞氏曰攝攝迫乎大國之間也
由也爲之比及三年可使有勇且知方也	方義方也
夫子哂之	馬融曰哂笑也
求爾何如對曰方六七十如五六十	求性謙退言欲得方六七十如五六十里小國治之而巳也
求也爲之比及三年可使足民也如其禮樂以俟君子	孔安國曰求自云能足民而巳謂衣食足也若禮樂之化當以待君子謙辭也
赤爾何如對曰非曰能之也願學焉宗廟之事如㑹同端章甫願爲小相焉	鄭玄曰我非自言能也願學爲之宗廟之事謂祭祀也諸侯時見曰會殷見曰同端玄端也衣玄端冠章甫諸侯曰視朝之服也小相謂相君之禮者也
點爾何如鼓瑟希	孔安國曰思所以對故音希也
鏗爾舎瑟而作對曰異乎三子者之撰	孔安國曰置瑟起對也撰具也爲政之具也鏗爾者投瑟之聲也
子曰何傷乎亦各言其志也	孔安國曰各言巳志於義無傷之
曰暮春者春服旣成得冠者五六人童子六七人浴乎沂風乎舞􁒤詠而歸	苞氏曰暮春者季春三月也春服既成者衣單祫之時也我欲得冠者五六人童子六七人浴於沂水之上風凉於舞􁒤之下歌詠先王之道歸夫子之門也
夫子喟然歎曰吾與點也	周生烈曰善點之獨知時之
三子者出曽晢後曽晢曰夫三子者之言何如子曰亦各言其志也已矣曰夫子何哂由也子曰爲國以礼其言不讓是故哂之	苞氏曰爲國以礼礼貴讓子路言不讓故笑之
唯求則非邦也與安見方六七十如五六十而非邦也者唯赤則非邦也與宗廟之事如㑹同非諸侯如之何	孔安國曰明皆諸侯之事與子路同徒笑子路不讓也
赤也爲之小孰能為之大相	孔安國曰赤謙言小相耳孰能爲大相者也
