則陽第二十五	以人名篇
耰	音憂司馬云鋤也廣雅云椎也字林云摩田器也
厭飡	音孫本又作飧
離其	力智反下同
以衆爲	如字王云凡事所可爲者也遯離滅亡皆由衆爲衆爲所謂鹵莽也司馬本作爲僞
欲惡	烏路反注並同
之孽	魚列反
萑	音丸葦類
葦	于鬼反蘆也
蒹	古恬反薕也
葭	音加亦蘆也
並潰	回内反
漏發	李云謂精氣散泄上潰下漏不擇所出也
漂	本亦作瘭徐敷妙反又匹招反一音必招反
疽	七餘反瘭疽謂病瘡膿出也
疥	音界
溲	本或作廋所求反
膏	司馬云謂虚勞人尿上生肥白沫也皆爲利欲感動失其正氣不如深耕熟耰之有實
不齊	才細反又如字
柏矩	有道之人
辜	辜罪也李云謂應死人也元嘉本作幸人
強之	其良反字亦作彊
朝服	直遥反
幕	音莫司馬云覆也
號天	戸刀反
大菑	音哉
離之	離著也
所好	呼報反
匿	女力反
爲物而愚	一本作遇
不識	反物性而強令識之
大爲難而罪不敢	王云凡所施爲者皆用物之所能則莫不易而敢矣而故大爲艱難令出不能物有不敢者則因罪之
所易	以豉反
不勝	音升注同
民知	音智下同
蘧	其居反
詘	起勿反廣雅云曲也郭音黜
然與	音餘又如字
然乎	言未然
大史	音太
大􁂥	吐刀反人名
伯常騫	起䖍反人名
狶	本亦作俙同虚豈反又音希郭音郗李音熙
韋	李云狶韋者太史官名
湛	丁南反樂之久也李常淫反
樂	音洛
不應	應對之應
諸侯之際	司馬云盟會之事
同濫	徐胡暫反或力暫反浴器也
史鰌	音秋司馬云史魚也
所搏	音博
弊	郭作幣帛也徐扶世反司馬音蔽云引衣裳自蔽
而扶翼	司馬云謂公及浴女相扶翼自隱也此殊郭義
故墓	一本作大墓
沙丘	地名
掘之	其月反又其勿反
數仞	所主反
洗而	西禮反
不馮	音憑
其子靈公	郭讀絶句司馬以其子字絶句云言子孫不足可憑故使公得此處爲冢也
奪而里	而汝也里居處也一本作奪而埋之
蒯	起怪反
聵	五怪反蒯聵衞莊公名
女處	音汝下昌慮反
之見	賢遍反
大公	音太下同
丘里之言	李云四井爲邑四邑爲丘五家爲鄰五鄰爲里古者鄰里井邑土風不同猶今郷曲各自有方俗而物不齊同
十姓百名	一姓爲十人十姓爲百名則有異有同故合散以定之
積卑	如字又音婢
合水	一本作合流
合并而爲公	合羣小之稱以爲至公之一也
天不賜	賜與也
國治	直吏反
淳淳	如字王云流動流貌
反覆	芳服反
所拂	扶弗反戾也又音弗又音弼
自殉殊面	廣雅云面向也謂心各不同而自殉焉殊向自殉是非天隔故有所正者亦有所差
離也	力智反
比于大澤	本亦作宅
百材皆度	度居也雖別區異所大澤爲居雖木石異端同以大山爲壇此可以當丘里之言也
而讀	李云讀猶語也
強字	巨丈反
惡起	音烏
欲惡	烏路反
橋起	居表反下同又音羔王云髙勁言所起之勁疾也
片合	音判又如字
隨序	謂變化相隨有次序也序或作原一本作享
橋運之相使	橋運謂相橋代頓至次序以相通理橋運以相制使也
所復	扶又反
季眞接子	李云二賢人
孰徧	音遍徐音篇
吠	符廢反
大知	音智
不可徂	一本作阻
