秋水第十七	借物名篇
蚤	音早說文跳蟲齧人者也淮南子鴟夜聚蚤察分豪末許愼云鴟夜聚食蚤蝨不失也司馬本作蚉音文云鴟鵂鶹夜取蚉食今郭本亦有作蚉者崔本作爪云鵂鶹夜聚人爪於巢中也
瞋	尺夷反向處辰反司馬云張也崔音眩又師愼反本或作瞑
師是	或云師順也
師治	直吏反注皆同
不舎	音捨下同
簒夫	初患反取也下如字
女惡	音汝後放此下音烏
反衍	如字又以戰反崔云無所貴賤乃反爲美也本亦作畔衍李云猶漫衍合爲一家
反覆	芳服反
與道大蹇	向紀輦反徐紀偃反本或作與天道蹇崔本蹇作浣云猶洽也
謝施	如字司馬云謝代也施用也崔云不代其德是謂謝施
參	初林反
差	初冝反
嚴乎	魚檢反又如字
繇繇	音由
泛泛	孚劒反字又作汎
畛	之忍反
域	于逼反舊于目反
令去	力呈反
五藏	才浪反
其薄	如字崔云謂以體著之
之行	如字
蹢	丈益反又持革反
䠱	丈緑反又音濁
屈伸	音申
反要	於妙反
夔	求龜反一足獸也李云黃帝在位諸侯於東海流山得奇獸其狀如牛蒼色無角一足能走出入水即風雨目光如日月其音如雷名曰䕫黃帝殺之取皮以冒鼓聲聞五百里
憐	音蓮
蚿	音賢又音玄司馬云馬蚿蟲也廣雅云蛆渠馬蚿
蚿憐蛇蛇憐風風憐目目憐心	司馬云夔一足蚿多足蛇無足風無形目形綴於此明流於彼心則質幽爲神遊外
趻	勑甚反郭菟減反一音初稟反
卓	本亦作踔同勑角反李云趻卓行貌
唾	吐卧反
噴	普悶反又芳奔反又孚問反
如霧	音務郭武貢反
可勝	音升
悗然	亡本反
蓬蓬	歩東反徐扶公反李云風貌
鰌	音秋李云藉也藉則削也本又作䠓子六反又七六反迫也
折大	之舌反
蜚大	音飛又扶貴反
孔子遊於匡宋人圍之數	色主反
匝	子合反司馬云宋當作衞匡衞邑也衞人誤圍孔子以爲陽虎虎嘗暴於匡人又孔子弟子顏尅時與虎俱後尅爲孔子御至匡匡人共識尅又孔子容貌與虎相似故匡人共圍之
不惙	本又作輟同丁劣反
入見	賢遍反
吾語	魚據反
蛟	音交
漁父	音甫
兕	徐履反
大難	乃旦反
閒堂	音閑
无幾	居豈反
將甲	如字本亦作持甲
公孫龍問於魏牟	司馬云龍趙人牟魏之公子
少學	詩照反
長而	張丈反
之行	下孟反
之知	音智
汒焉	莫剛反郭音莽
論之	力困反
及與	音余下助句放此
所開	如字本亦作關兩通本或作閡
吾喙	許穢反又昌銳反
隱机	於靳反
大息	音泰
埳井	音坎郭音陷
之鼃	本又作蛙戸媧反司馬云埳井壞井也鼃水蟲形似蝦蟇
之鱉	必滅反字亦作鼈
吾樂	音洛下之樂大樂同
跳	音條
井幹	古旦反司馬云井欄也諸詮之音西京賦作韓音
甃	側救反李云如䦨以塼爲之著井底䦨也字林壯謬反云井壁也
赴水	如字司馬本作踣云赴也
蹶	其月反又音厥
泥則沒足滅跗	方于反郭音附司馬云滅沒也跗足跗也李云言踊躍於塗中
還	音旋司馬云顧視也
虷	音寒井中赤蟲也一名蜎爾雅云蜎蠉郭注云井中小蛣蟩赤蟲也蜎音求兖反蠉音況兖反蛣蟩音吉厥
蟹	戸買反
科斗	苦禾反科斗蝦蟇子也
夫擅	市戰反專也
一壑	火各反
巳縶	豬立反司馬云拘也三蒼云絆也
非樂	音岳又五敎反
逡	七旬反
九潦	音老
弗爲	于僞反下同
頃久	司馬云猶早晚也
適適	始赤反又丈革反郭菟狄反
規規	如字又虚役反李徐紀睡反適適規規皆驚視自失貌
之竟	音境後同
蚉	音文
商蚷	音渠郭音巨司馬云商蚷蟲名北燕謂之馬蚿一本作蜄徐市軫反
不勝	音升
可強	其丈反
方跐	音此郭時紫反又側買反廣雅云蹋也蹈也履也司馬云測也
大皇	音泰
奭然	音釋
四解	戸買反
索之	所白反
壽陵餘子	司馬云壽陵邑名未應丁夫爲餘子
邯	音寒
鄲	音丹邯鄲趙國都也
匍	音蒲又音符
匐	蒲北反又音服
口呿	起據反司馬云開也李音袪又巨劫反
濮水	音卜陳地水也
楚王	司馬云威王也
先焉	先謂宣其言也
巾笥	息嗣反或音司
而藏之	李云藏之以笥覆之以巾
惠子相	息亮反下同
梁	相梁惠王
子恐	丘勇反
摉	字又作捜或作廋所求反李悉溝反云索也說文云求也
鵷	於袁反
鶵	仕俱反李云鵷鶵鸞鳳之屬也
醴泉	音禮李云泉甘如醴
嚇	本亦作乎同許嫁反又許伯反司馬云嚇怒其聲恐其奪已也詩箋云以口拒人曰嚇
嗜	時志反
好	呼報反
豪梁	本亦作濠音同司馬云濠水名也石絶水曰梁
鯈魚	徐音條說文直留反李音由白魚也爾雅云鮂黒鰦郭注即白鯈也一音篠謂白鯈魚也
從容	七容反
魚樂	音洛注下皆同
以難	乃旦反
方復	扶又反
其處	昌慮反
