莊子雜篇庚桑第二十三	以人名篇本或作庚桑楚
而扻	莊筆反又作櫛亦作楖皆同郭音節徐側冀反
數米	色主反
而炊	昌垂反向云理於小利也
竊竊	如字司馬云細語也一云計校之貌崔本作察察
軋	烏黠反向音乙
戾拂	符弗反
任知	音智注同
有殺	音試本又作弑下同
穴阫	普回反向音裴云阫牆也言無所畏忌
吾語	魚據反
女	音汝後皆放此
南榮趎	昌于反向音疇一音紹俱反徐直俱反又敕俱反又處由反李云庚桑弟子也漢書古今人表作南榮疇或作儔又作壽淮南作南榮幬云敕蟜趹歩百舎不休亦作疇
蹵然	子六反
巳長	丁丈反
將惡	音烏
其分	扶問反後以意求之
思慮	息吏反下同
可強	其丈反下章可強同
亦辟	婢亦反開也崔云相著也音必亦反
或閒	閒厠之閒注同
勉聞道	崔向云勉強也本或作
達耳矣	崔向云僅達於耳未徹入於心也
奔蜂	孚恭反司馬云奔蜂小蜂也一云土蜂
藿蠋	音蜀司馬云豆藿中大靑蟲也
越雞	司馬向云小雞也或云荆雞也
能伏	扶又反
鵠	本亦作鶴同戸各反一音戸沃反
卵	力管反
魯雞	向云大雞也今蜀雞也
贏糧	音盈案方言贏儋也齊楚陳宋之閒謂之贏一音果
曰唯	惟癸反
挾三	音協
懼然	向紀俱反本又作戄音同又況縛反
因失吾問	元嘉本問作聞
向吾	本又作嚮同
眉睫	音接釋名云目毛也
規規	李云失神貌一云細小貌
若喪	息浪反注同
揭	其列其謁二反
竿	音干
而求諸海也	向云言以短小之物欲測深大之域也
女亡人哉	崔云喪亡性情之人也
所好	呼報反
去其	起吕反
所惡	烏路反注同
復見	扶又反
洒濯	大角反
鬱鬱	崔云孰洒貌
津津	如字崔本作律律云惡貌
猶有惡也	李云惡計未盡也
外獲	向音霍崔云恢廓也又如字本亦作韄音獲又乙虢反又烏邈反又音羈李云縛也三蒼云佩刀靶韋也
而捉	徐側角反崔作促云迫促也
内揵	郭其輦反徐其偃反關也向云閉也又音蹇下同
繆	莫侯反又音稠結也崔向云綢繆也
放道	如字向方往反云依也
加病	如字元嘉本作知病崔本作駕云加也
衞生	李云防衞其生令合道也
當則	丁浪反後放此
能舎	音捨下同
翛	音蕭徐始六反又音育崔本作隨云順也
㣚	本又作侗大董反又音慟向敕動反云直而無累之謂三蒼云殻直貌崔同字林云大也
礙也	五代反
噑	戸羔反本又作號音同
而嗌	音益崔云喉也司馬云咽也李音厄謂噎也一本作而不嗌案如李音有不字
不嗄	於邁反本又作嚘徐音憂司馬云楚人謂啼極無聲爲嗄崔本作喝云啞也
終日握	李云捲手曰握
不掜	五禮反向音藝崔云寄也廣雅云捉也
共其	如字崔云壹也
不瞚	字又作瞬同音舜動也本或作瞑莫經反
偏不	徐音篇
委	於危反
蛇	以支反
冰解	音蟹
交食	崔云交俱也李云共也
交樂	音洛
相攖	於營反徐又音嬰廣雅云亂也崔云猶貫也
若槁	苦老反
惡有	音烏
愛惡	烏路反下同
宇泰定	王云宇器宇也謂器宇閒泰則靜定也
學者學其所不能學也	言人皆欲學其所不能知凡所能者故是能於所能夫能於所能者則雖習非習也
敗之	補邁反或作則元嘉本作則
備物以將形	備具也將順也
億度	待洛反
以滑	音骨
靈臺	郭云心也案謂心有靈智能住持也許愼云人心以上氣所往來也
不見其誠己而發	謂不自照其内而外馳也
每發而不當	丁浪反爾雅云每雖也謂雖有發動不中當
幽閒	音閑
劵内	字又作卷徐音勸
劵分	符問反下同崔云劵分明也則冝方云反
期費	芳貴反下同廣雅云期卒也費耗也言若存分外而不止者卒有所費耗也
以爲	于僞反
賈人	音古
人見其跂猶之魁	苦回反安也一云主也
然	謂衆人巳見其跂求分外而猶自安可羞愧之甚也
物且	且始也
焉	於䖍反注同
莫㦧	七坎反廣雅云痛也元嘉本作濳
鏌	音莫
鎁	也嗟反鏌鎁良劒名
五藏	才浪反後皆放此
其分	符問反注及下皆同一音方云反
所惡	烏路反下及注皆同
故出而不反	謂情識外馳而不反觀於内也
見其鬼	王云永淪危殆資死之術巳行及之故曰見鬼也
出而得是謂得死	若情識外馳以爲得者是曰得死耳非理也
滅而有實鬼之一也	廣雅云滅殄也盡也實塞也旣殄塞純朴之道而外馳澆薄之境雖復行尸於世與鬼何別故云鬼一也
出无本入无竅	苦弔反出生也入死也本始也竅孔也所以知有形累於無形者以其出入無本竅故也
欻然	訓勿反
乎處	昌據反下注同
有長	丁丈反増也又如字下注同
本剽	本亦作摽同甫小反崔云末也李怖遥反徐又敷遥反下同
有所出	夫生必有所出也
而无	此明所出是無也旣是無矣何能有所出耶
竅者有實	旣言有竅竅必有實求實不得竅亦無也
有實而无乎處者宇也	三蒼云四方上下爲宇宇雖有實而無定處可求也
有長而无本剽者宙也	三蒼云往古來今曰宙說文曰舟輿所極覆爲宙長猶増也本始也宙雖有増長亦不知其始末所至者也
惡乎	音烏
爲喪	息浪反注同
融液	音亦
以分	方云反注同
爲尻	苦羔反
昭景也著	丁略反又張慮反
戴	本亦作載
也甲氏也著	張慮反久也又丁略反
封也非一也	一說云昭景甲三者皆楚同宗也著戴者謂著冠世世處楚朝爲衆人所戴仰也著封者謂世世處封邑而光著久也昭景甲三姓雖異論本則同也崔云昭景二姓楚之所顯戴皆甲姓顯封雖非一姓同出公族喻死生同也此兩說與注不同聊出之耳
已復	扶又反
有生黬	徐於減反司馬云烏簞反云黶有疵也有疵者欲披除之李烏感反字林云釡底黑也
披	普皮反
然曰移是	或云黬然聚而生披然散而死也
臘	力闔反
者之有膍	音毗司馬云牛百葉也本或作□音毘獐也
胲	古來反足大指也崔云備也案臘者大祭備物而肴有膍胲此雖從散禮應具不可散棄也
其偃	於晚反司馬郭皆云屏厠也又於建反
屏厠	歩定反又必領反下同
為是	于偽反
溲	所留反
因以死償節	常亮反廣雅云償報也復也案謂殺身以成名節成而身死故曰以死償節也
為知	音智
蜩	音條
學鳩	本或作鷽音同
蹍	女展反司馬李云蹈也廣雅云履也
鷔	五報反廣雅云妄也
嫗	於禹反注同
詡之	況甫反
未曽	才能反
辟金	必領反除也又婢亦反
之勃	本又作悖同必妹反
之謬	如字一本作繆亡侯反亦音謬
去徳	起呂反
惡欲	烏路反
哀樂	音洛
累徳	劣偽反後注同
知能	音智
不盪	本亦作蕩徒黨反郭云動也又徒浪反又吐浪反
徳之光	一本光字作先
晲也	魚計反又五禮反視也
謂治	直吏反
羿	五計反徐又戶計反
中微	丁仲反注同
己譽	音餘後章同
而俍	音良崔云良工也又音浪
唯蟲	一本唯作雖下句亦爾言蟲自能爲蟲者天也
惡天	烏路反下同
威也	崔本作或也
之籠	力東反
所好	呼報反下及注文同
湯以胞	本又作庖白交反
人籠伊尹	伊尹好廚故湯用爲庖人也
秦穆公以五羊之皮籠百里奚	百里奚好秦而拘於宛故秦穆公以五羊皮贖之於楚也或云百里好五色皮裘故因其所好也
介	音界郭云刖也又古黠反廣雅云獨也崔本作兀
拸畫	敕紙反又音他又與紙反本亦作移司馬云畫飾容之具無足故不復愛之一云移離也崔云移畫不拘法度也
不復	扶又反
胥靡	司馬云刑徒人也一云􁒦人也崔云腐刑也
夫復	音服徐扶又反
謵	音習
不餽	其愧反廣雅云遺也一音愧元嘉本作愧
而忘人	復者温復之謂也謵翫也夫人翫習者雖復小事皆所至惜今温復人之所習旣得之矣而不還歸以餽遺之此至愚不獲人之所習者也無復相爲之情故曰忘人
侮之	亡甫反
