大宗師第六	崔云遺形忘生當大宗此法也
有沴	音麗徐又徒顯反郭奴結反云陵亂也李同崔本作□云滿也
其心閒	音閑崔以其心屬上句
跰𨇤	步田反下悉田反崔本作邊鮮司馬云病不能行故跰𨇤也
而鑑	古暫反
曰嗟乎	崔云此子輿辭
女惡	音汝下同下烏路反
曰亡	如字絶句
予何惡	烏路反下及注同一音如字讀則連亡字為句
浸	子鴆反向云漸也
予因以求時夜	一本無求字
為彈	徒旦反
鴞	戸驕反
炙	章夜反
哀樂	音洛
縣	音𤣥
解	音蟹下及注同向云縣解無所係也
喘喘	川轉反又尺軟反崔本作惴惴
環而	如字徐音患李云繞也
叱避	昌失反
无怛	丁達反崔本作靼音怛案怛驚也鄭衆注周禮考工記不能驚怛是也
倚其	於綺反
鼠肝	向云委棄土壤而已王云取㣲蔑至賤
蟲臂	臂亦作膓崔本同
不翅	徐詩知反
彼近	如字
則悍	本亦作捍胡旦反又音旱說文云捍抵也
我且	如字徐子餘反
鏌	音莫
鋣	以嗟反鏌鋣劍名
鏌大鑪	劣奴反
惡乎	音烏
可解	如字下同
成然	如字崔同李云成然縣解之貌本或作戌音恤簡文云當作滅本又作□呼括反視髙貌本亦作俄然
蘧然	李音渠崔本作據又其據反蘧然有形之貌
覺	古孝反向崔本此下更有發然汗出一句云無係則津液通也崔云榮衞和通不以化爲懼也
相與	如字崔云猶親也或一音豫
相爲	如字或一音于僞反
愛爲	于僞反
撓	徐而小反郭許堯反
挑	徐徒了反郭李徒堯反又作兆李云撓挑猶宛轉也宛轉玄曠之中簡文云循環之名
莫然	如字崔云定也
有閒	如字崔李云頃也本亦作爲閒
編曲	必連反字林布千反郭父殄反史記甫連反李云曲蠶薄
相和	胡臥反
我猶	崔本作獨
人猗	於冝反崔云辭也
哀樂	音洛
惡知	音烏下皆同
稱情	尺證反
无以命之	崔李云命名也
而淡	徒暫反
而離	力知反下同
而應	應對之應下同
數子	所主反
坦然	吐但反
使女	音汝下同
縣	音玄注同
疣	音尤
決	徐古穴反
􁒞	胡亂反
潰	胡對反
反覆	芳服反
端倪	本或作淣同音崖徐音詣
芒然	莫剛反李云無係之貌
彷	薄剛反
徨	音皇
塵垢	如字崔本作塚坸云塚音塳坸垢同齊人以風塵爲逢堁
憒憒	工内反說文蒼頡篇並云亂也
以觀	古亂反示也注同
相造	七報反詣也下同
穿池	本亦作地崔同
相忘	音亡下同
畸人	居冝反司馬云不耦也不耦於人謂闕於禮敎也李其冝反云竒異也
而侔	音謀司馬云等也亦從也
孟孫才	李云三桓後才其名也崔云才或作牛
應内	應對之應
惡知	音烏下同
焉知	於䖍反下皆同
覺者	古孝反注下皆同
駭形	如字崔作咳云有嬰兒之形
旦宅	並如字王云旦暮改易宅是神居也李本作怛㤞上丹末反下陟嫁反云驚惋之貌崔本作靼宅靼怛也
所以乃	崔本乃作惡
庸詎	其庶反下章同
造適	七報反注同
獻笑	向云獻善也王云章也意有適章於笑故曰獻笑
及排	皮皆反
必樂	音洛下同
寥	本亦作廖力彫反李良救反
天一	崔本作造敵不及笑獻芥不及􁒟安排而造化不及眇眇不及雄漂淰雄漂淰不及簟筮簟筮乃入於漻天一
以上	時掌反
意而子	李云賢士也
資汝	資給也
爲軹	之是反郭之忍反崔云軹辭也李云是也
黥	其京反
劓	魚器反李云毁道德以爲仁義不似黥乎破玄同以爲是非不似劓乎
遥蕩	王云縱散也
恣	七咨反又如字
睢	郭李云許維反徐許鼻反李王皆云恣睢自得貌
復遊	扶又反下同
其藩	甫煩反李音煩司馬向皆云崖也崔云域也
盲者	本又作眇崔本作目云目或作刑刑黥劓也
以與	音豫下同
之好	如字又呼報反
黼黻	上音甫下音弗
之觀	古亂反
无莊據梁	司馬云皆人名李云无莊无莊飾也據梁強梁也
鑪	音盧
捶	本又作錘徐之睡反又之蘂反一音時蘂反李云錘鴟頭頗口句鐵以吹火也崔云盧謂之瓮捶當作甀盧甀之閒言小處也甀音丈僞反
鍜	丁亂反
曰噫	徐音醫李云歎聲也崔云辭也本亦作意音同又如字謂呼意而名也
我爲	于僞反注同
􁒟	子兮反司馬云碎也
長於	丁丈反
功見	賢遍反下文同
它日	崔本作異日下亦然
復見	扶又反下同
樂生	音洛又音嶽
蹵然	子六反崔云變色貌
墮	許規反徐又待果反
去	起吕反
知	音智
坐忘	崔云端坐而忘
无好	呼報反注同
何惡	烏路反
霖雨	本又作淋音林左傳云雨三日以往為霖
裹	音果
食	音嗣注同
有不任	音壬
其聲而趨	七住反
舉其詩焉	崔云不任其聲憊也趨舉其詩無音曲也
