大射儀第七儀禮鄭氏注大射之儀君有命戒射	將有祭祀之事當射宰告於君君乃命之言君有命政教冝由尊者
媵爵者立于洗南西面北上序進盥洗角觶升自西階序進酌散交于楹北降適阼階下皆奠觶再拜稽首執觶興公荅拜	序次第也猶代也先者旣酌右還而反與後酌者交於西楹北相左俟於西階上乃降徃來以右爲上古文曰降造阼階下
媵爵者皆坐祭遂卒觶興坐奠觶再拜稽首執觶興公荅再拜媵爵者執觶待于洗南	待待君命
小臣請致者	請君使一人與二人與不必君命
若命皆致則序進奠觶于篚阼階下皆北面再拜稽首公荅拜媵爵者洗象觶升實之序進坐奠于薦南北上降適阼階下皆再拜稽首送觶公荅拜	旣酌而代進徃來由尊北交於東楹北亦相左奠於薦南不敢必君舉
媵爵者皆退反位	反門右北面位
公坐取大夫所媵觶興以酬賔賔降西階下再拜稽首小臣正辭賔升成拜	公起酬賔於西階降尊以就卑也正長也小臣長辭變於燕升成拜復再拜稽首先時君辭之於禮若未成然
公坐奠觶荅拜執觶興公卒觶賔下拜小臣正辭賔升再拜稽首	不言成拜者爲拜故下實未拜也下不輒拜禮殺也下亦降也發端言降拜因上事言下拜
公坐奠觶荅拜執觶興賔進受虚觶降奠于篚易觶興洗	賔進以臣道就君受虚爵君不親酌凡爵不相襲者於尊者言更自敵以下言易更作新易有故之辭也不言公酬賔於西階上及公反位者尊君空其文也
公有命則不易不洗反升酌膳下拜小臣正辭賔升再拜稽首公荅拜	不易君義也不洗臣禮也
賔告于擯者請旅諸臣擯者告于公公許	旅序也賔欲以次序勸諸臣酒
賔以旅大夫于西階上擯者作大夫長升受旅	作使也使之以長幼之次先孤卿後大夫
賔大夫之右坐奠觶拜執觶興大夫荅拜	賔在右相飲之位
賔坐祭立卒觶不拜	酬而禮殺
若膳觶也則降更觶洗升實散大夫拜受賔拜送遂就席	言更觶尊卿尊卿則賔禮殺
大夫辯受酬如受賔酬之禮不祭酒卒受者以虚觶降奠于篚復位	卒猶巳也今文辯作徧
主人洗觚升實散獻卿于西階上	酬賔而後獻卿飲酒禮成於酬
司宮兼卷重席設于賔左東上	言兼卷則毎卿異席重席蒲筵緇布純席卿言東上統於君席自房來
卿升拜受觚主人拜送觚卿辭重席司宮徹之	徹猶去也重席雖非加猶爲其重累辭之辟君
乃薦脯醢卿升席庶子設折俎	卿折俎未聞蓋用脊脅臑折肺卿有俎者射禮尊
卿坐左執爵右祭脯醢奠爵于薦右興取肺坐絶祭不嚌肺興加于俎坐挩手取爵遂祭酒執爵興降席西階上北面坐卒爵興坐奠爵拜執爵興	陳酒肴君之惠也不嚌肺亦自貶於君也
主人荅拜受爵卿降復位	復西面位不酢辟君
辯獻卿主人以虚爵降奠于篚擯者升卿卿皆升就席若有諸公則先卿獻之如獻卿之禮席于阼階西北面東上無加席	公孤也席之北面爲大尊屈之也亦因阼階上近君近君則親寵茍敬私昵之坐
小臣又請媵爵者二大夫媵爵如初請致者若命長致則媵爵者奠觶于篚主人洗觚升獻大夫于西階上大夫升拜受觚主人拜送觚大夫坐祭立卒爵不拜旣爵主人受爵大夫降復位	旣盡也大夫卒爵不拜賤不備禮
胥薦主人于洗北西面脯醢無脀	胥宰官之吏主人下大夫也先大夫薦之尊之也不薦于上辟正主脀俎實
辯獻大夫遂薦之繼賔以西東上若有東面者則北上卒擯者升大夫大夫皆升就席	辯獻乃薦略賤也亦獻後布席也
乃席工于西階上少東小臣納工工六人四瑟	工謂瞽矇善歌諷誦詩者也六人大師少師各一人上工四人四瑟者禮大樂衆也
僕人正徒相大師僕人師相少師僕人士相上工	徒空手也僕人正僕人之長師其佐也士其吏也天子視瞭相工諸侯兼官是以僕人掌之大師少師工之長也凡國之瞽矇正焉杜蒯曰曠也大師也於是分别工及相者射禮明貴賤
相者皆左何瑟後首内弦挎越右手相	謂相上工者後首主於射略於此樂内弦挎越以右手相工由便也越瑟下孔所以發越其聲者也古文後首爲後手
後者徒相入	謂相大師少師者也上列官之尊卑此言先後之位亦所以明貴賤凡相者以工出入
小樂正從之	從大師也後升者變於燕也小樂正於天子樂師也
升自西階北面東上	工六人
坐授瑟乃降	相者也降立于西縣之北
小樂正立于西階東	不統於工明工雖衆位猶在此
乃歌鹿鳴三終	鹿鳴小雅篇也人君與臣下及四方之賔燕講道脩政之樂歌也言巳有旨酒以召嘉賔與之飲者樂嘉賔之來示我以善道又樂嘉賔有孔昭之明德可則傚也歌鹿鳴三終而不歌四牡皇皇者華主於講道略於勞苦與諮事
主人洗升實爵獻工工不興左瑟	工歌而獻之以事報之也洗爵獻工辟正主也獻不用觚工賤異之也工不興不能備禮左瑟便其右大師無瑟於是言左瑟者節也
一人	管謂吹簜以播新宫之樂其篇亡其義未聞笙從工而入旣管不獻略下樂也立于東縣之中
卒管大師及少師上工皆東坫之東南西面北上坐	不言縣北統於堂也於是時大樂正還北面立于其南
擯者自阼階下請立司正	三爵旣備上下樂作君將留群臣而射宜更立司正以監之察儀法也
公許擯者遂爲司正	君許其請因命用之不易之者俱相禮其事同也
司正適洗洗角觶南面坐奠于中庭	奠觶者著其位以顯其事威儀多也
升東楹之東受命于公西階上北面命賔諸公卿大夫公曰以我安賔諸公卿大夫皆對曰諾敢不安	以我安者君意殷勤欲留之以我故安也
司正降自西階南面坐取觶升酌散降南面坐奠觶	奠於中庭故處
興右還北面少立坐取觶興坐不祭卒觶奠之興再拜稽首左還南面坐取觶洗南面反奠于其所北面立	皆所以自昭明於衆也將於觶南北面則右還於觶北南面則左還如是得從觶西徃來也必從觶西徃來者爲君在阼不背之也
司射適次袒決遂執弓挾乗矢於弓外見鏃於弣右巨指鉤弦	司射射人也次若今時更衣處張幃席爲之耦次在洗東南袒左免衣也决猶闓也以象骨爲之著右巨指所以鈎弦而闓之遂射韝也以朱韋爲之著左臂所以遂弦也方持弦矢曰挾乗矢四矢弣弓杷也見鏃焉順其射也右巨指右手大擘以鉤弦弦在旁挾由便也古文挾皆作接
自阼階前曰爲政請射	爲政謂司馬也司馬政官主射禮
遂告曰大夫與大夫士御於大夫	因告選三耦於君御猶侍也大夫與大夫爲耦不足則士侍於大夫與爲耦也今文於爲于
遂適西階前東面右顧命有司納射器	納内也
射器皆入君之弓矢適東堂賔之弓矢與中籌豐皆止于西堂下衆弓矢不挾緫衆弓矢楅皆適次而俟	中閭中筭噐也籌筭也豐可奠射爵者衆弓矢三耦及卿大夫以下弓矢也司射矢亦止西堂下衆弓矢不挾則納公與賔弓矢者挾之楅承矢噐今文俟作待
工人士與梓人升自北階兩楹之間䟽數容弓若丹若墨度尺而午射正莅之	工人士梓人皆司空之屬能正方圜者一從一横曰午謂畫物也射正司射之長
卒畫自北階下司宫埽所畫物自北階下	埽物重射事也工人士梓人司宫位在北堂下
大史俟于所設中之西東面以聽政	中未設也大史俟焉將有事也郷射禮曰設中南當楅西當西序東面
司射西面誓之曰公射大侯大夫射參士射干射者非其■侯中之不獲卑者與尊者爲耦不異侯大史許諾	誓猶告也古文異作辭
遂比三耦	比選次之也不言面者大夫在門右北靣士西方東面
三耦俟于次北西面北上	未知其耦今文俟爲立
司射命上射曰某御於子命下射曰子與某子射卒遂命三耦取弓矢于次	取弓矢不拾者次中隱蔽處
司射入于次搢三挾一个出于次西面揖當階北面揖及階揖升堂揖當物北面揖及物揖由下物少退誘射	搢扱也挾一个挾於弦也个猶枚也由下物而少退謙也誘猶教也夫子循循然善誘人
射三侯將乗矢始射干又射參大侯再發	將行也行四矢象有事於四方詩云四矢反兮以御亂兮
卒射北面揖	揖於當物之處不南面者爲不背卿
及階揖降如升射之儀遂適堂西改取一个挾之	改更也不射而挾矢示有事也
遂取扑搢之以立于所設中之西南東面	扑所以撻犯教者也於是言立著其位也郷射記曰司射之弓矢與扑倚于西階之西
司馬師命負侯者執旌以負侯	司馬師正之佐也欲令射者見侯與旌深志於侯中也負侯獲者也天子服不氏下士一人徒四人掌以旌居乏待獲析羽爲旌
負侯者皆適侯執旌負侯而俟司射適次作上耦射	作使也
司射反位上耦出次西面揖進上射在左並行當階北面揖及階揖上射先升三等下射從之中等	上射在左便射位也中猶間也
上射升堂少左下射升上射揖並行	並併也併東行
皆當其物北面揖及物揖皆左足履物還視侯中合足而俟	視侯中各視其侯之中大夫耦則視參中參中十四尺土耦則視干中干中十尺
司馬正適次袒決遂執弓右挾之出升自西階適下物立于物間左執弣右執簫南揚弓命去侯	司馬正政官之屬簫弓末揚弓者執下末揚猶舉也適下物由上射後東過也命去侯者將射當獲也郷射禮曰西南面立于物間
負侯皆許諾以宫趨直西及乏南又諾以商至乏聲止	宫爲君商爲臣其聲和相生也郷射禮曰獲者執旌許諾古文聲爲磬
授獲者退立于西方獲者興共而俟	大侯服不氏負侯徒一人居乏相代而獲參侯于侯徒負侯居乏不相代郷射禮曰獲者執旌許諾聲不絶以至于乏坐東面偃旌興而俟古文獲皆作護非也
司馬正出于下射之南還其後降自西階遂適次釋弓說決拾襲反位	拾遂也郷射禮曰司馬反位立于司射之南
司射進與司馬正交于階前相左由堂下西階之東北面視上射命曰毋射獲母獵獲上射揖司射退反位	射獲矢中乏也從旁爲獵
乃射上射旣發挾矢而后下射射拾發以將乗矢	拾更也將行也
獲者坐而獲	坐言獲也
舉旌以宫偃旌以商	再言獲也
獲而未釋獲	但言獲未釋筭古文釋爲舎
卒射右挾之北面揖揖如升射	右挾之右手挾弦
上射降三等下射少右從之中等並行上射於左與升射者相左交于階前相揖適次釋弓說決拾襲反位	上射於左由下射階上少右乃降待之言襲者凡射皆袒
三耦卒射亦如之司射去扑倚于階西適阼階下北面吿于公曰三耦卒射反搢扑反位司馬正袒決遂執弓右挾之出與司射交于階前相左	出出於次也袒時亦適次
升自西階自右物之後立于物間西南面揖弓命取矢	揖推之
負侯許諾如初去侯皆執旌以負其侯而俟	俟小臣取矢以旌指教之
司馬正降自西階北面命設楅	此出于下射之南還其後而降之
小臣師設楅司馬正東面以弓爲畢	畢所以教助執事者郷射記曰乃設楅于中庭南當洗東肆
旣設楅司馬正適次釋弓說決拾襲反位小臣坐委矢于楅北括司馬師坐乗之	乗四四數之
卒若矢不備則司馬正又袒執弓升命取矢如初曰取矢不索乃復求矢加于楅卒司馬正進坐左右撫之興反位	左右撫分上下射此坐皆北面
司射適西階西倚扑升自西階東面請射于公	倚扑者將即君前不敢佩刑噐也升堂者欲諸公卿大夫辯聞也
公許遂適西階上命賔御于公諸公卿則以耦告于上大夫則降即位而后告	告諸公卿於堂上尊之也
司射自西階上北面告于大夫曰請降司射先降搢扑反位大夫從之降適次立于三耦之南西面北上	適次由次前而北西面立
司射東面于大夫之西比耦大夫與大夫命上射曰某御於子命下射曰子與某子射卒遂比衆耦	衆耦士也
衆耦立于大夫之南西面北上若有士與大夫爲耦則以大夫之耦爲上	爲上居群士之上
命大夫之耦曰子與某子射吿於大夫曰某御於子	士雖爲上射其辭猶尊大夫
命衆耦如命三耦之辭諸公卿皆未降	言未降者見其志在射
遂命三耦各與其耦拾取矢皆袒決遂執弓右挾之	此命入次之事也司射旣命而反位不言之者上射出當作取矢事未訖
一耦出西面揖當楅北面揖及楅揖	三耦同入次其出也一一上射出西面立司射作之乃揖行也當楅楅正南之東西
上射東面下射西面上射揖進坐橫弓卻手自弓下取一个兼諸弣興順羽且左還毋周反面揖	橫弓者南踣弓也郤手自弓下取矢者以左手在弓表右手從裏取之便也兼并也并矢於弣當順羽旣又當執弦順羽者手放而下備不整理也左還反其位毋周右還而反東面也君在阼還周則下射將背之古文且爲阻
下射進坐橫弓覆手自弓上取一个兼諸弣興順羽且左還毋周反面揖	橫弓亦南踣弓也人東西郷以南北爲橫覆手自弓上取矢以左手在弓裏右手從表取之便也
旣拾取矢梱之	梱齊等之也古文梱作魁
兼挾乗矢皆内還南面揖	内還者上射左下射右不皆右還亦以君在阼嫌下射故左還而背之也上以陽爲内下以隂爲内因其冝可也
適楅南皆左還北面揖搢三挾一个	楅南郷當楅之位也
揖以耦左還上射於左	以猶與也言以者耦之事成於此意相人耦也上射轉居左便其反位也上射少北乃東面
退者與進者相左相揖退釋弓矢于次說決拾襲反位二耦拾取矢亦如之後者遂取誘射之矢兼乗矢而取之以授有司于次中皆襲反位	有司納射噐因留主授受之
司射作射如初一耦揖升如初司馬命去侯負侯許諾如初司馬降釋弓反位司射猶挾一个去扑與司馬交于階前適阼階下北面請釋獲于公	猶守故之辭於此言之者司射旣誘射恒執弓挾矢以掌射事備尚未知當教之也今三耦卒射衆足以知之矣猶挾之者君子不必也
公許反搢扑遂命釋獲者設中以弓爲畢北面	北面立于所設中之南當視之也郷射禮曰設中南當楅西當西序
大史釋獲小臣師執中先首坐設之東面退大史實八筭于中橫委其餘于中西興共而俟	先猶前也命大史而小臣師設之國君官多也小臣師退反東堂下位郷射禮曰橫委其餘于中西南末
司射西面命曰中離維綱揚觸梱復公則釋獲衆則不與	離猶過也獵也侯有上下綱其邪制躬舌之角者爲維或曰維當爲絹絹網耳揚觸者謂矢中他物揚而觸侯也梱復謂矢至侯不著而還復復反也公則釋獲優君也衆當中鵠而著古文梱作魁
唯公所中中三侯皆獲	值中一侯則釋獲
釋獲者命小史小史命獲者	傳告服不使知此司射所命
司射遂進由堂下北面視上射命曰不貫不釋上射揖司射退反位	貫猶中也射不中鵠不釋筭古文貫作關
釋獲者坐取中之八筭改實八筭興執而俟	執所取筭
乃射若中則釋獲者每一个釋一筭上射於右下射於左若有餘筭則反委之	委餘筭禮貴異
又取中之八筭改實八筭于中興執而俟三耦卒射賔降取弓矢于堂西	不敢與君並俟告取之以升俟君事畢
諸公卿則適次繼三耦以南	言繼三耦明在大夫北
公將射則司馬師命負侯皆執其旌以負其侯而俟	君尊若始焉
司馬師反位隷僕人埽侯道	新之
司射去扑適阼階下吿射于公公許適西階東告于賔	告當射也今文曰阼階下無適
遂搢扑反位小射正一人取公之決拾于東坫上一小射正授弓拂弓皆以俟于東堂	授弓當授大射正拂弓去塵
公將射則賔降適堂西袒決遂執弓搢三挾一个升自西階先待于物北北一笴東面立	不敢與君併笴矢幹東面立郷君也
司馬升命去侯如初還右乃降釋弓反位	還右還君之右也猶出下射之南還其後也今文曰右還
公就物小射正奉決拾以笥大射正執弓皆以從於物	笥萑葦噐大射正舎司正親其職
小射正坐奠笥于物南遂拂以巾取決興賛設決朱極三	極猶放也所以韜指利放弦也以朱韋爲之三者食指將指無名指無極放弦契於此指多則痛小指短不用
小臣正賛袒公袒朱𥜗卒袒小臣正退俟于東堂小射正又坐取拾興賛設拾以笥退奠于坫上復位	旣袒乃設拾拾當以韝𥜗上
大射正執弓以袂順左右隈上再下壹左執弣右執簫以授公公親揉之	順放之也隈弓淵也揉宛之觀其安危也今文順爲循古文揉爲紐
小臣師以巾内拂矢而授矢于公稍屬	内拂恐塵及君也稍屬不搢矢
大射正立于公後以矢行吿于公	若不中使君當知而改其度
下曰留上曰揚左右曰方	留不至也揚過去也方出旁也
公旣發大射正受弓而俟拾發以將乗矢	公下射也而先發不留尊也
公卒射小臣師以巾退反位大射正受弓	受弓以授有司於東堂
小射正以笥受決拾退奠于坫上復位大射正退反司正之位小臣正賛襲公還而后賔降釋弓于堂西反位于階西東面	階西東面賔降位
公卽席司正以命升賔賔升復筵而后卿大夫繼射諸公卿取弓矢于次中袒決遂執弓搢三挾一个出西面揖揖如三耦升射卒射降如三耦適次釋弓說決拾襲反位衆皆繼射釋獲皆如初	諸公卿言取弓矢衆言釋獲互言也
卒射釋獲者遂以所執餘獲適阼階下北面吿于公曰左右卒射	司射不告者釋獲者於是有事冝終之也餘獲餘筭也無餘筭則無所執古文曰餘筭
反位坐委餘獲于中西興共而俟司馬袒執弓升命取矢如初負侯許諾以旌負侯如初司馬降釋弓如初小臣委矢于楅如初	司馬司馬正於是司馬師亦坐乗矢
賔諸公卿大夫之矢皆異束之以茅卒正坐左右撫之進束反位	異束大夫矢尊殊之也正司馬正也進前也又言束整結之示親也
賔之矢則以授矢人于西堂下	是言矢人則納射器之有司各以其器名官職不言君矢小臣以授矢人于東堂下可知
司馬釋弓反位而后卿大夫升就席	此言其升前小臣委矢於楅
司射適階西釋弓去扑襲進由中東立于中南北面視筭	釋弓去扑射事巳也
釋獲者東面于中西坐先數右獲	固東面矣復言之者少南就石獲
二筭爲純	純猶全也耦隂陽也
一純以取實于左手十純則縮而委之	縮從也於數者東西爲從古文縮皆作蹙
每委異之	易校數
有餘純則橫諸下	又異之也自近爲下
一筭爲竒竒則又縮諸純下	又從之
興自前適左	從中前北也更端故起
東面坐	少北於故
坐兼斂筭實于左手一純以委十則異之	變於右也
其餘如右獲	謂所縮所橫者
司射復位釋獲者遂進取賢獲執之由阼階下北面告于公	賢獲勝黨之筭也執之者齊而取其餘
若右勝則曰右賢於左若左勝則曰左賢於右以純數告若有竒者亦曰竒	告曰某賢於某若干純若干竒
若左右鈞則左右各執一筭以告曰左右鈞還復位坐兼斂筭實八筭于中委其餘于中西興共而俟司射命設豐	當飮不勝者射爵
司宫士奉豐由西階升北面坐設于西楹西降復位勝者之弟子洗觶升酌散南面坐奠于豐上降反位	弟子其少者也不授者射爵猶罰爵略之
司射遂袒執弓挾一个搢扑東面于三耦之西命三耦及衆射者勝者皆袒決遂執張弓	執張弓言能用之也右手挾弦
不勝者皆襲說決拾卻左手右加弛弓于其上遂以執弣	固襲說決拾矣復言之者起勝者也不勝者執弛弓言不能用之也兩手執弣無所挾也
司射先反位	居前俟所命入次而來飲
三耦及衆射者皆升飮射爵于西階上	不勝之黨無不飲
小射正作升飮射爵者如作射一耦出揖如升射及階勝者先升升堂少右	先升尊賢也少右辟飲者亦因相飲之禮然
不勝者進北面坐取豐上之觶興少退立卒觶進坐奠于豐下興揖	立卒觶不祭不拜受罰不備禮也右手執觶左手執弓
不勝者先降	後升先降略之不由次也降而少右復並行
與升飮者相左交于階前相揖適次釋弓襲反位僕人師繼酌射爵取觶實之反奠于豐上退俟于序端	僕人師酌者君使之代弟子也自此以下辯爲之酌
升飮者如初三耦卒飮若賔諸公卿大夫不勝則不降不執弓耦不升	此耦謂士也諸公卿或闕士爲之耦者不升其諸公卿大夫相爲耦者不降席重耻尊也
