莊子外篇天運第十四	音義曰以義名篇天運司馬作天貟
至願名譽并焉	所至願者適也得適而仁孝之名都去矣
是以道不渝	去華取實故也
北門成問於黃帝曰帝張咸池之樂於洞庭之野吾始聞之懼復聞之怠卒聞之而惑蕩蕩黙黙乃不自得	不自得坐忘之謂也○北門成人姓名也懼如字或音句下同一本作戄音况縛反案⬤文懼是正字戄古文
帝曰女殆其然哉吾奏之以人徴之以天行之以禮義建之以太清	由此觀之知夫至樂者非音聲之謂也必先順乎天應乎人得於心而適於性然後發之以聲奏之以曲耳故咸池之樂必待黃帝之化而後成焉○徴如字古本多作微大音泰
夫至樂者先應之以人事順之以天理行之以五德應之以自然然後調理四時太和萬物四時迭起萬物循生一盛一衰文武倫經一清一濁隂陽調和流光其聲	自然律吕以滿天地之間但當順而不奪則至樂全○迭大節反一本作遞大計反
蟄蟄始作吾驚之以雷霆	因其自作而用其所以動○蟄沈執反郭音執爾雅云静也霆音廷又音挺徒佞反電也
其卒無尾其始無首	運轉無極
一死一生一僨一起所常無窮	以變化爲常則所常者無窮也○僨方問反司馬云仆也
而一不可待女故懼也	⬤聞無窮之變不能待之以一故懼然悚聽
吾又奏之以隂陽之和燭之以日月之明	所謂用天之道
其聲能短能長能柔能剛變化齊一不主故常	齊一於變化故不主故常
在谷滿谷在阬滿阬	至樂之道無不周也○阬苦庚反爾雅云虚也
⬤郤守神	塞其兊也○郤去逆反與⬤義同兊徒外反
以物爲量	大制不割○量音亮
其聲揮綽	所謂闡諧
其名高明	名當其實則高明也
是故⬤神守其幽	不離其所○離力智反
日月星辰行其紀	不失其度
吾止之於有窮	常在極上住也
流之於無止	隨變而往也
子欲慮之而不能知也望之而不能見也逐之而不能及也	故闇然恣使化去
儻然立於四虚之道	弘敞無偏之謂○儻敕黨反一音敞
倚於槁梧而吟	無所復爲也○倚於綺反槁枯老反
目知窮乎所欲見力屈乎所欲逐吾旣不及巳夫	言物之知力各有所齊限○知音智齊才細反
形充空虚乃至委蛇女委蛇故怠	夫形充空虚無身也無身故能委蛇委蛇任性而悚懼之情怠也○委於危反徐如字蛇以支反又作施徐音絶
吾又奏之以無怠之聲	意旣怠矣乃復無怠此其至也
調之以自然之命	命之所有者非爲也皆自然耳
故若混逐叢生	混然無係隨叢而生○叢才公反
林樂而無形	至樂者適而巳適在體中故無别形○樂音洛亦如字
布揮而不曵	自布耳○揮音輝廣雅云振也
幽昏而無聲	所謂至樂
動於無方	夫動者豈有方而後動哉
居於窈冥	所謂寧極○窈烏了反
或謂之死或謂之生或謂之實或謂之榮行流散徙不主常聲	隨物變也
世疑之稽於聖人	明聖人應非也唱也稽古兮反
聖也者逹於情而遂於命也	故有情有命者莫不資焉
天機不張而五官皆備此之謂天樂	忘樂而樂足非張而後備
無言而心⬤	心⬤在適不在言也○⬤音恱注同
故有焱氏爲之頌曰聽之不聞其聲視之不見其形充滿天地苞裹六極女欲聽之而無接焉而故惑也	此乃無樂之樂樂之至也○焱必遥反本亦作炎苞音包本或作包
樂也者始於懼懼故祟	懼然竦聽故是祟耳未大和也○崇雖遂反
吾又次之以怠怠故遁	迹稍㓕也
卒之於惑惑故愚愚故道道可載而與之俱也	以無知爲愚愚乃至也
孔子西遊於衛顔淵問師金曰以夫子之行爲奚如師金曰惜乎而夫子其窮哉顔淵曰何也師金曰夫芻狗之未陳也盛以篋⬤巾以文繡尸祝齊戒以將之及其巳陳也行者踐其首脊蘇者取而㸑之而已將復取而盛以篋⬤巾以文繡遊居寢臥其下彼不得夢必且數焉	廢弃之物於時無用則更致他妖也○師金李云師魯大師也金其名也行下孟反芻狗李云結芻爲狗巫祝用之盛音成下同篋苦牒反本或作筐⬤延善反郭怡靣反李云笥也盛狗之物也司馬云合也齊戒側皆反本亦作齋蘇李云蘇草也取草者得以炊也案方言云江淮南楚之間謂之蘇史記云樵蘇後㸑注云蘇取草也㸑七丸反復扶又反且如字徐子餘反數音朔李音米又音美字林云物入眼爲病也司馬云厭也音一琰反
今而夫子亦取先王巳陳芻狗取弟子遊居寢臥其下故伐樹於宋削迹於衛窮於商周是非其夢邪圍於陳蔡之間七日不火食死生相與鄰是非其眯邪	此皆絶聖棄知之意耳無所稍嫌也夫先王典禮所以適時用也時過而不弃即爲民妖所以興矯效之端也
夫水行莫如用舟而陸行莫如用車以舟之可行於水也而求推之於陸則没世不行尋常古今非水陸與周魯非舟車與今蘄行周於魯是猶推舟於陸也勞而無功身必有殃彼未知夫無方之傳應物而不窮者也	時移世異禮亦宜變故因物而無所係焉斯不勞而有功也○推郭吐回反又如字下同與音餘下曰蘄音祈求也無方之傳直專反下注同司馬云方常也
且子獨不見夫桔橰者乎引之則俯舍之則仰彼人之所引非引人也故俯仰而不得罪於人故夫三皇五帝之禮義法度不矜於同而矜於治	期於合時冝應治體而巳○桔音結橰音羔治直吏反注同
故譬三皇五帝之禮義法度其猶柤棃橘柚邪其味相反而皆可於口故禮義法度者應時而變者也	彼以爲美而此或以爲⬤故當應時而變然後皆適也○柤側加反抽由救反
今取猨狙而衣以周公之服彼必齕齧挽裂盡去而後慊觀古今之異猶猨狙之異乎周公也故西施病心而矉其里其里之醜人見而美之歸亦捧心而矉其里其里之富人見之堅閉門而不出貧人見之挈妻子而去之走彼知美矉而不知矉之所以美	况夫禮義當其時而用之則西施也時過而不棄則醜人也○猨音⬤狙七餘反衣於旣反齕音紇挽音晚去起吕反慊苦牒反李云足也本亦作嗛音同矉徐扶真反又扶人反通俗文云蹙頞曰矉其里絶句捧敷勇反郭音奉挈苦結反
惜乎而夫子其窮哉孔子行年五十有一而不聞道乃南之沛見老聃老聃曰子來乎吾聞子北方之賢者也子亦得道乎孔子曰未得也老子曰子惡乎求之哉曰吾求之於度數五年而未得也老子曰子又惡乎求之哉曰吾求之於隂陽十有二年而未得	此皆寄孔老以明絶學之義也○沛音貝司馬云老子陳國相人相今屬苦縣與沛相近惡音烏下同
老子曰然使道而可獻則人莫不獻之於其君使道而可進則人莫不進之於其親使道而可以吿人則人莫不吿其兄弟使道而可以與人則人莫不與其子孫然而不可者無他也中無主而不止	心中天受道之質則雖聞道而過去也
外無正而不行	中無主則外物亦無正已者也故未嘗通也
由中出者不受於外聖人不出	由中岀者聖人之道也外有能受之者乃出耳
由外入者無主於中聖人不隱	由外入者假學以成性者也雖由假學成然要當內有其質若無主於中則無以藏聖道也
名公器也	夫名者天下之所共用○名公器釋名云名鳴也名平也器用也尹文子云名有三科一曰命物之名方圜是也二曰毀譽之名善惡是也三曰况謂之名愛憎是也凡此是毀譽之名也
不可多取	矯飾過實多取者也多取而天下亂也
仁義先王之蘧廬也	猶傳舍也○蘧音渠司馬郭云蘧廬猶傳舍也
止可以一⬤而不可久處覯而多責	夫仁義者人之性也人性有變古今不同也故遊寄而過去則冥若無滯而係於一方則見見則僞生僞生而責多矣○覯古候反見也遇也
古之至人假道於仁託⬤於義	隨時而變無常迹也
以遊逍遥之虚食於苟簡之田立於不貸之圃逍遥無爲也	有爲則非仁義○虚音墟本亦作墟苟簡王云苟且也簡略也司馬本簡作間云分別也貸敕敗反司馬云施惠也圃音⬤
苟簡易養也	且從其簡故易養也○易以䜴反注同
不貸無出也	不貸者不損巳以爲物也○爲于僞反
古者謂是采眞之遊	遊而任之則眞采也采眞則色不僞矣
以富爲是者不能讓祿以顯爲是者不能讓名親權者不能與人柄	天下未有以所非自累者而各没命於所是所是而以没其命者非立乎不貸之圃也
操之則慄舍之則悲	舍之悲者操之不能不慄也○操七刀反舍音捨注同
而一無所鑒以闚其所不休者是天之戮民也	言其知進而不知止則性命䘮矣所以爲戮○䘮息浪反
怨恩取與諌教生殺八者正之器也唯循大變無所湮者爲能用之故曰正者正也其心以爲不然者天門弗開矣	守故不變則失正矣○湮音因李云塞也亦滯也郭音煙又烏節反司馬本作歅疑也簡文作甄云隔也天門一云謂心也一云大道也
孔子見老聃而語仁義老聃曰夫播穅眯目則天地四方易位矣蚊虻⬤膚則通昔不寐矣	外物加之雖小而傷性巳大也○播甫佐反又彼我反穅音康字亦作康蚊音文字亦作蟁虻音盲字亦作蝱替子盍反郭子合反司馬云齧也通昔昔夜也
夫仁義⬤然乃憤吾心亂莫大焉	尚之以加其性故亂○⬤七惑反憤扶粉反本人作憒古內反
吾子使天下無失其朴	質全而仁義著
吾子亦放風而動揔德而立矣	風自動而依之徳自立而秉之斯易持易行之道也○放方往反風而動司馬云放依也依無爲之風而動也易持易行並以䜴反
又奚傑然若⬤建鼔而求亡子者邪	言夫掲仁義以趨道德之鄕其猶擊鼓而求逃者無由得也○傑郭居竭反又居謁反巨竭反掲其列其謁二反
夫鵠不日浴而白烏不日黔而黑	自然各已足○鵠本又作鶴同胡洛反黔巨淹反徐其金反司馬云黒也
黑白之朴不足以爲辯	俱自然耳無所偏尚
名譽之觀不足以爲廣	夫至足者忘名譽忘名譽乃廣耳○觀古亂反司馬本作讙
泉涸魚相與處於陸相呴以濕相濡以沬	言仁義之譽皆生於不足○涸胡洛反呴况付反又况于反濡如主反又如羽反沬音末
不若相忘於江湖	斯乃忘仁而仁者也○相忘並如字
孔子見老聃歸三日不談弟子問曰夫子見老聃亦將何規哉孔子曰吾乃今於是乎見龍龍合而成體散而成章	謂老聃能變化○不談本亦作不言
乗乎雲氣而養乎隂陽	言其因御無方自然巳足
予口張而不能嗋予又何規老聃哉子貢曰然則人固有尸居而龍見雷聲而淵黙發動如天地者乎賜亦可得而觀乎遂以孔子聲見老聃老聃方將倨堂而應微曰予年運而往矣子將何以戒我乎子貢曰夫三王五帝之治天下不同其係聲名一也而先生獨以爲非聖人如何哉老聃曰小子少進子何以謂不同對曰堯授舜舜授禹禹用力而湯用兵文王順紂而不敢逆武王逆紂而不肯順故曰不同老聃曰小子少進余語女三王五帝之治天下黃帝之治天下使民心一民有其親死不哭而民不非也	若非之則強哭○脅許劫反合也見賢遍反賜亦本又作賜也倨居慮反跂也三王本或作三皇依注作王是也餘皆作三皇語魚據反下同強其丈反
堯之治天下使民心親民有爲其親殺其殺而民不非也	殺降也言親䟽有降殺○僞于僞反殺其殺並所戒反降也注同
舜之治天下使民心競民孕婦十月生子子生五月而能言	教之速也○孕以證反
不至乎孩而始誰	誰者別人之意也未孩巳擇人言其競教速成也○孩亥才反⬤文云⬤也别彼列反下同
則人始有天矣	不能同彼我則心競於親䟽故不終其天年也
禹之治天下使民心變人有心而兵有順	此言兵有順則天下巳有不順故也
殺盗非殺	盗自應死殺之順也故非殺
人自爲種而天下耳	不能大齊萬物而人人自別斯人自爲種也承百代之流而會乎當今之變其弊至於斯者非禹也故曰天下耳言聖知之迹非亂天下而天下必有斯亂○種章勇反註同
是以天下大駭儒墨皆起	此乃百代之弊○駭胡楷反
其作始有倫而今乎婦女	今之以女爲婦而上下悖逆者非作始之無理但至理之弊遂至於此
何言哉	弊生於理故無所復言○復扶又反
余語女三皇五帝之治天下名曰治之而亂莫甚焉	必弊故也
三皇之知上悖日月之明下睽山川之精中墮四時之施其知㦧於⬤蠆之尾鮮規之獸莫得安其性命之情者而猶自以爲聖人不可耻乎其無耻也子貢蹵蹵然立不安	子貢本謂老子獨經三王故欲同三王於五帝耳今又見老子通毀五帝上及三皇則失其所以爲談矣○知音智下同悖⬤對反睽苦圭反又音圭乖也墮許規反施式䜴反⬤七感反⬤敕邁反又音例本又作厲郭音頼又敕界反蠆許謁反或敕邁反或云依字上當作蠆下當作蠍通俗文云長尾爲蠆短尾爲蠍鮮規之獸李云鮮規明貌一云小蟲也一云小獸也蹵子六反
孔子謂老聃曰丘治詩書禮樂易春秋六經自以爲久矣孰知其故矣以奸者七十二君論先王之道而明周召之迹一君無所鉤用甚矣夫人一之難⬤也道之難明邪老子曰幸矣子之不遇治世之君也夫六經先王之陳迹也豈其所以迹哉	所以迹者眞性也夫任物之眞性者其迹則六經也○奸音干三蒼云犯也鉤取也矣夫音符篇末同⬤始銳反治直吏反
今子之所言猶迹也夫迹履之所出而迹豈履哉	况今之人事則以自然爲履六經爲迹
夫白鶂之相視眸子不運而風化蟲雄鳴於上風雌應於下風而化	鶂以眸子相視蟲以鳴聲相應俱不待合而便生子故曰風化○鶂五歷反三蒼云鶬鶂也司馬云鳥子也相視眸茂侯反子不運而風化司馬云相待風氣而化生也又云相視而成隂陽蟲雄鳴於上風雌應於下風而化一本作而風化司馬云雄者黿⬤雌者鼈⬤
⬤自爲雌雄故風化	夫同⬤之雌雄各自有以相感相感之異不可勝極苟得其⬤其化不難故乃有遥感而風化也○⬤自爲雌雄故風化或⬤云方之物⬤猶如草木異種而同⬤也山海經云亶爰之山有獸焉其狀如狸而有髮其名曰師⬤帶山有鳥其狀如鳯五采文其名曰奇⬤皆自牝牡也勝音升
性不可易命不可變時不可止道不可壅	故至人皆順而通之○壅於勇反
苟得於道無自而不可	雖化者無方而皆可也
失焉者無自而可	所在皆不可也
孔子不出三月復見曰丘得之矣烏鵲孺魚傅沫細要者化	言物之自然各有性也○復扶又反見賢遍反又如字烏鵲孺如喻反李云孚乳而生也傅音附又音付本亦作傳直專反沬音末司馬云傳沬者以沫相育也一云傳口中沫相與而生子也細要一遥反者化蜂之屬也司馬去取桑蟲祝使似已也案即詩所謂螟蛉有子果贏⬤之
有弟而兄啼	言人之性舎長而視㓜故啼也○舎音捨長張丈反
久矣夫丘不與化爲人不與化爲人安能化人	夫與化爲人者任其自化者也若繙六經以⬤則䟽也
老	_
子	_
曰	_
可	_
丘	_
得	_
之	_
矣	_
南	_
華	_
眞	_
經	_
卷	_
第	_
五	_
