莊子內篇齊物論第二	夫自是而非彼美巳而惡人物莫不皆然然故是非雖異而彼我均也○論力頓反李如字惡烏路反
激者謞者叱者吸者呌者譹者宎者咬者	此略與衆竅之聲殊○激經歷反如水激也李古弔反司馬云聲若激喚也李又驅弔反謞音孝李虚交反簡文云若箭去之聲司馬云若讙謞聲叱昌實反徐音七司馬云若叱咄聲吸許及反司馬云若嘘吸聲也呌古弔反郭古幼反李居耀反司馬云若呌呼聲也譹音豪郭又戸報反司馬云若譹哭聲宎徐於堯反一音杳又於弔反司馬云深者也若深宎突然咬於交反或音狡司馬云聲哀切咬咬然又許拜反
前者唱于而隨者唱喁冷風則小和飄風則大和	夫聲之宫商雖千變萬化唱和大小莫不稱其所受而各當其分○唱于如字喁五恭反徐又音愚又五斗反李云于喁聲之相和也泠風音零李云泠泠小風也和胡卧反下及注皆同飄風鼻遥反又符遥反李敷遥反司馬云疾風也爾雅云回風爲飄稱尺證反分符問反下不出者兒
厲風濟則衆竅爲虚	濟止也烈風作則衆竅實反其止則衆竅虚虚實雖異其於各得則同○厲風司馬云大風向郭云烈風濟子細反向云止也
而獨不見之調調之刀刀乎	調調刀刀動搖貌也言物聲旣異而形之動搖亦又不同也動雖不同其得齊一耳豈調調獨是而刀刀獨非乎○調音條刀徐都堯反向云調調刀刀皆動搖貌搖如字又羊照反
子游曰地⬤則衆竅是巳人⬤則比竹是已敢問天⬤子綦曰夫吹萬不同而使其自已也	此天⬤也夫天⬤者豈復別有一物哉即衆竅比竹之屬接乎有生之⬤會而共成一天耳無旣無矣則不能生有有之未生又不能爲生然則生生者誰哉塊然而自生耳自生耳非我生也我旣不能生物物亦不能生我則我自然矣自巳而然則謂之天然天然耳非爲也故以天言之以天言之所以明其自然也豈蒼蒼之謂哉而或者謂天⬤役物使從巳也夫天且不能自有况能有物哉故天也者萬物之總名也莫適爲天誰主役物乎故物各自生而無所出焉此天道也○比毗志反又必履反李扶必反注同復扶又反適丁歷
#SB1_0534-053.png#pagemissing	反簡文云寛心也窖古孝反司馬云深也李云穴也案穴地藏縠曰窖簡文云深心也
小恐惴惴大恐縵縵	此盖恐悸之異○恐曲勇反下及注同惴之瑞反李云小心貌爾雅云懼也縵縵李云齊死生貌悸其季反
其發若機栝其司是非之謂也其留如詛盟其守勝之謂也	此盖動止之異○機栝古活反機弩牙栝箭栝詛惻據反盟音明徐武耕反郭武病反
其殺如秋冬以言其日消也	其衰殺日消有如此者○殺色界反徐色例反注同
其溺之所爲之不可使復之也	其溺而遂往有如此者○溺奴狄反郭奴徼反
其厭也如緘以言其老洫也	其厭没於欲老而愈洫有如此者○厭於葉反徐於冉反又於感反緘徐古咸反洫本亦作溢同音逸郭許鵙反又已質反
近死之心莫使復陽也	其利患輕禍隂結遂志有如此者○近附近之近復陽陽謂生也
喜怒哀樂慮嘆變熱姚佚啓態	此盖性情之異者○樂音洛熱之渉反司馬云不動貌姚郭音遥徐李勑弔反佚音逸態勑代反李又奴載反
樂出虚蒸成菌	此盖事變之異也自此以上略舉天⬤之無方自此以下明無方之自然也物各自然不知所以然而然則形雖彌異自然彌同也○蒸之膺反菌其損反向云結也上時掌反
日夜相代乎前而莫知其所萌	日夜相代代故以新也夫天地萬物變化日新與時倶往何物萌之哉自然而然耳○萌武耕反
已乎已乎旦暮得此其所由以生乎	言其自生○暮本又作莫音同
非彼無我非我無所取是亦近矣	彼自然也自然生我我自然生故自然者即我之自然豈逺之哉
而不知其所爲使	凡物云云皆百爾耳非相爲使也故任之而理自至矣○相爲于僞反下未爲同
若有眞宰而特不得其眹	萬物萬情趣舎不同有若眞宰使之然也起索眞宰之眹迹而亦終不得則明物皆自然無使物然也○特崔云特辭也眹李除忍反兆也趣舎七喻反字或作取下音捨或音赦下皆放此索所百反
可行已信	今夫行者信已可得行也
而不見其形	不見所以得行之形
有情而無形	情當其物故形不別見也○當丁浪反不皆同見賢遍反
百骸九竅六藏賅而存焉	付之自然而莫不皆存也○骸戸皆反六藏才浪反案心肺肝脾腎謂之五藏大小腸膀胱三焦謂之六府身别有九藏氣天地人天以候頭角之氣人候耳目之氣地候口齒之氣三部各有天地人三三而九神藏五形藏四故九今此云六藏未見所岀賅徐古來反司馬云備也小爾雅同簡文云兼也
吾誰與爲親	直自存耳
汝皆⬤之乎其有私焉	皆⬤之則是有所私也有私則不能賅而存矣故不⬤而自存不爲而自生也○皆⬤音⬤注同今本多即作恱字後皆放此
如是皆有爲臣妾乎	若皆私之則志過其分上下相冒而莫爲臣妾矣臣妾之才而不安臣妾之任則失矣故知君臣上下手足外內乃天理自然豈直人之所爲哉
其臣妾不足以相治乎	夫臣妾但各當其分耳未爲不足以相治也相治也者若手足耳目四支百體各有所司而更相御用也○更音庚
其遞相爲君臣乎	夫時之所賢者爲君才不應世者爲臣若天之自高地之自卑首自在上足自居下豈有遞哉雖無錯於當而必自當也○遞音弟徐又音第應應謂之應錯七索反下同
其有眞君存焉	任之而自爾則非僞也
如求得其情與不得無益損乎其眞	凡得眞性用其自爲者雖復皂⬤猶不顧毀譽而自安其業故知與不知皆自若也若乃開希幸之路以下冒上物䘮其眞人忘其本則毀譽之間俯仰失錯也○復扶又反下同譽音餘䘮息浪反
一受其成形不亡以待盡	言物各有分故知者守知以待終而愚者抱愚以至死豈有能中易其性者也
與物相刃相靡其行盡如馳而莫之能止不亦悲乎	羣品云云逆順相交各信其偏見而恣其所行莫能自反此比衆人之所悲者亦可悲矣而衆人未嘗以此爲悲者性然故也物各性然又何物足悲哉
終身役役而不見其成功	夫物情無極知足者鮮故得此不止復逐於彼皆疲役終身未厭其志死而後巳故其成功者無時可見也○骸息淺反
薾然疲役而不知其所歸可不哀邪	凡物各以所好役其形骸至于疲困⬤然不知所以好此之歸趣云何也○⬤然乃結反徐李乃協反崔音捻云忘貌簡文云疲病困之狀好呼報反下同
人謂之不死奚益	言其實與死同
其形化其心與之然可不謂大哀乎	言其心形並馳困而不反比於凡人所哀則此眞哀之大也然凡人未嘗以此爲哀則凡所哀者不足哀也
人之生也固若是芒乎其我獨芒而人亦有不芒者乎	凡此上事皆不知所以然而然故曰芒也今夫知者皆不知所以知而自知矣生者不知所以生而自生矣萬物雖異至於生不由知則未有不同者也故天下莫不芒也○芒莫剛反又音亡芒芒昧也簡文云芒同也
夫隨其成心而師之誰獨且無師乎	夫心之足以制一身之用者謂之成心人自師其成心則人各自有師矣人各自有師故付之而自當
奚必知代而心自取者有之愚者與有焉	夫以成代不成非知也心自得耳故愚者亦師其成心未肯用其所謂短而舎其所謂長者也○與音豫舎音捨字亦作捨下同
未成乎心而有是非是今日適越而昔至也	今日適越昨日何由至哉未成乎心是非何由生哉明夫是非者羣品之所不能無故至人兩順之○昔至崔云昔夕也向云昔者昨日之謂也
是以無有爲有無有爲有雖有神禹且不能知吾獨且柰何哉	理無是非而或者以爲有此以無有爲有也或心已成雖聖人不能解故付之自若而不強知也○強其丈反
夫言非吹也言者有言	各有所⬤故異於吹○吹如字又叱瑞反崔云吹猶籟也
其所言者特未定也	我以爲是而彼以爲非彼之所是我又非之故未定也未定也者由彼我之情偏
果有言邪	以爲有言邪然未足以有所定
其未嘗有言邪	以爲無言邪則㩀巳已有言
其以爲異於鷇音亦有辯乎其無辯乎	夫言與鷇音其致一也有辯無辯誠未可定也天下之情不必同而所言不能異故是非紛紜莫知所定○鷇苦豆反李音殻司馬云鳥子欲出者也
道惡乎隱而有眞僞言惡乎隱而有是非	道焉不在言何隱蔽而有眞僞是非之名紛然而起○惡音烏下皆同眞僞一本作眞詭崔本作眞然烏於䖍反
道惡乎往而不存	皆存
言惡乎存而不可	皆可
道隱於小成言隱於榮華	夫小成榮華自隱於道而道不可隱則眞僞是非者行於榮華而止於實當見於小成而滅於大全也○當丁浪反後可以意求不復重出見賢遍反
故有儒墨之是非以是其所非而非其所是	儒墨更相是非而天下皆儒墨也故百家並起各私所見而未始出其方也○更音庚
欲是其所非而非其所是則莫若以明	夫有是有非者儒墨之所是也無是無非者儒墨之所非也今欲是儒墨之所非而非儒墨之所是者乃欲明無是無非也欲明無是無非則莫若還以儒墨反覆相明反覆相明則所是者非是而所非者非非矣非非則無非非是則無是○覆芳服反下同
物無非彼物無非是	物皆自是故無非是物皆相彼故無非彼無非彼則天下無是矣無非是則天下無彼矣無彼無是所以玄同也
自彼則不見自知則知之故曰彼出於是是亦因彼	夫物之偏也皆不見彼之所見而獨自知其所知自知其所知則自以爲是自以爲是則以彼爲非矣故曰彼出於是是亦因彼彼是相因而生者也
彼是方生之⬤也雖然方生方死方死方生方可方不可方不可方可因是因非因非因是	夫死生之變猶春秋冬夏四時行耳故生死之狀雖異其於各安所遇一也今生者方自謂生爲生而死者方自謂生爲死則無生矣生者方自謂死爲死而死者方自謂死爲生則無死矣無生無死無可無不可故儒墨之辨吾所不能同也至於各冥其分吾所不能異也○
是以聖人不由而照之于天亦因是也	夫懷豁者因天下之是非而自無是非也故不由是非之⬤而是非無患不當者直明其天然而無所奪故也
是亦彼也	我亦爲彼所彼
彼亦是也	彼亦自以爲是
彼亦一是非此亦一是非	此亦自是而非彼彼亦自是而非此此與彼各有一是一非於體中也
果且有彼是乎哉果且無彼是乎哉	今欲謂彼爲彼而彼復自是欲謂是爲是而是復爲彼所彼故彼是有無未果定也○復扶又反下同
彼是莫得其偶謂之道樞	偶對也彼是相對而聖人兩順之故無心者與物冥而未嘗有對於天下也此居其樞要而會其玄極以應夫無方也○樞尺朱反樞要也應應對之應前注同後可以意求不復重音
樞始得其環中以應無窮	夫是非反覆相尋無窮故謂之環環中空矣今以是非爲環而得其中者無是無非也無是無非故能應夫是非是非無窮故應亦無窮
是亦一無窮非亦一無窮也	天下莫不自是而莫不相非故一是一非兩行無窮唯渉空得中者曠然無懷乗之以遊也
故曰莫若以明以指喻指之非指不若以非指喻指之非指也以馬喻馬之非馬不若以非馬喻馬之非馬也天地一指也萬物一馬也	夫自是而非彼彼我之常情也故以我指喻彼指則⬤指於我指獨爲非指矣此以指喻指之非指也若覆以彼指還喻我指則我指於彼指復爲非指矣此以非指喻指之非指也將明無是無非莫若反覆相喻反覆相喻則彼之與我旣同於自是又均於相非均於相非則天下無是同於自是則天下無非何以明其然邪是若果是則天下不得復有非之者也非若果非亦不得復有是之者也今是非無主紛然殽亂明此區區者各信其偏見而同於二致耳仰觀俯察莫不皆然是以至人知天地一指也萬物一馬也故浩然大寧而天地萬物各當其分同於自得而無是無非也○天地一指也萬物一馬也崔云指百體之一體馬萬物之一物浩戶老反
可乎可	可於巳者即謂之可
不可乎不可	不可於巳者即謂之不可
道行之而成	無不成也
物謂之而然	無不然也
惡乎然然於然惡乎不然不然於不然物固有所然物固有所可	各然其所然各可其所可
無物不然無物不可故爲是舉莛與楹厲與西施恢恑憰怪道通爲一	夫莛横而楹縱厲醜而西施好所謂齊者豈必齊形狀同䂓矩哉故舉縱横好醜恢恑憰怪各然其所然各可其所可則形雖萬殊而性同得故曰道通爲一也○無物不然無物不可崔本此下更有可於可而不可於不可不可於不可而可於可爲于僞反下爲是皆同莛徐音庭李音挺司馬云屋梁也楹音盈司馬云屋柱也厲如字惡也李音賴司馬云病⬤西施司馬云夏⬤也案勾踐所獻吳王美女也恢徐苦回反大也郭苦虺反簡文本作弔恑九委反徐九彼反李云戾也橘怪音决李云橘⬤也怪異也縱本亦作從形容反
其分也成也	夫物或此以爲散而彼以爲成○分如字
其成也毀也	我之所謂成而彼或謂之毀
凡物無成與毀復通爲一	夫成毀者生於自見而不見彼也故無成與毀猶無是與非也○復扶又反
唯逹者知通爲一爲是不用而寓諸庸庸也者用也用也者通也通也者得也	夫逹者無滯於一方故忽然自忘而⬤當於自用自用者莫不條暢而自得也
適得而幾矣	幾盡也至理盡於自得也○幾音機盡也下同徐具衣反
因是已	逹者因而不作
已而不知其然謂之道	夫逹者之因是豈知因爲善而因之哉不知所以因而自因耳故謂之道也○謂之道向郭絶句崔讀謂之道勞云因自然是道之功也
勞神明爲一而不知其同也謂之朝三何謂朝三曰狙公賦芧曰朝三而莫四衆狙皆怒曰然則朝四而莫三衆狙皆恱名實未虧而喜怒爲用亦因是也	夫逹者之於一豈勞神哉若勞神明於爲一不足賴也與彼不一者無以異矣亦同衆狙之或因所好而自是也○狙公七徐反又緇慮反司馬云狙公典狙官也崔云養猨狙者也李云老狙也廣雅云狙獮猴芧音序徐食汝反李音予司馬云橡子也朝三莫四司馬云朝三升莫四升也好呼報反下文皆同
是以聖人和之以是非而休乎天鈞	莫之偏任故付之自均而止也○鈞本又作均崔云鈞陶鈞也
是之謂兩行	任天下之是非
古之人其知有所至矣惡乎至有以爲未始有物者至矣盡矣不可以加矣	此忘天地遺萬物外不察乎宇宙內不覺其一身故能曠然無累與物倶往而無所不應也
其次以爲有物矣而未始有封也	雖未都忘猶能忘其彼此
其次以爲有封焉而未始有是非也	雖未能忘彼此猶能忘彼此之是非也
是非之彰也道之所以虧也	無是非乃全也
道之所以虧愛之所以成	道虧則情有所偏而愛有所成未能忘愛釋私玄同彼我也
果且有成與虧乎哉果且無成與虧乎哉	有之與無斯不能知乃至
有成與虧故昭氏之鼔琴也無成與虧故昭氏之不鼔琴也	夫聲不可勝舉也故吹管操弦雖有繁手遺聲多矣而執籥鳴弦者欲以彰聲也彰聲而聲遺不彰聲而聲全故欲成而虧之者昭文之鼔琴也不成而無虧者昭文之不鼔琴也○勝音升操七刀反籥羊灼反昭文司馬云古善琴者
昭文之鼔琴也師曠之枝策也惠子之據梧也三子之知幾乎	幾盡也夫三子者皆欲辨非巳所明以明之故知盡慮窮形勞神倦或枝策假寐或據梧而暝○枝策司馬云枝杜也策杖也崔云舉杖以擊節梧音吾司馬云梧琴也崔云琴瑟也知音智暝亡千反
皆其盛者也故載之末年	賴其盛故能久不爾早困也○故載之未年崔云書之於今也
唯其好之也以異於彼	言此三子唯獨好其所明自以殊於衆人
其好之也欲以明之	明示衆人欲使同乎我之所好
彼非所明而明之故以堅白之昧終	是猶對牛鼔簧耳彼竟不明故巳之道術終於昧然也○堅白司馬云謂堅石白馬之辨也又云公孫龍有卒劒之法謂之堅白崔同又云或曰設矛伐之⬤爲堅辨白馬之名爲白簧音黄
而其子又以文之綸終終身無成	昭文之子又乃終文之緒亦卒不成○綸音倫崔云琴瑟弦也
若是而可謂成乎雖我亦成也	此三子雖求明於彼彼竟不明所以終身無成若三子而可謂成則雖我之不成亦可謂成也
若是而不可謂成乎物與我無成也	物皆自明而不明彼若彼不明即謂不成則萬物皆相與無成矣故聖人不顯此以耀彼不捨巳而逐物從而任之各冥其所能故曲成而不遺也今三子欲以巳之所好明示於彼不亦妄乎
是故滑疑之耀聖人之所圖也爲是不用而寓諸庸此之謂以明	夫聖人無我者也故滑疑之耀則圖而域之恢恑橘怪則通而一之使羣異各安其所安衆人不失其所是則巳不用於物而萬物之用用矣物皆自用則孰是孰非哉故雖故蕩之變屈奇之異曲而從之寄之自用則用雖萬珠歷然自明○滑古没反司馬云亂也屈求物反
今且有言於此不知其與是⬤乎其與是不⬤乎⬤與不⬤相與爲⬤則與彼無以異矣	今以言無是非則不知其與言有者⬤乎不⬤乎欲謂之⬤則我以無爲是而彼以無爲非斯不⬤矣然此雖是非不同亦固未免於有是非也則與彼⬤矣故曰⬤與不⬤又相與爲⬤則與彼無以異也然則將大不⬤莫若無心旣遣是非又遣其遣遣之又遣之以至於無遣然後無遣無不遣而是非自去矣
雖然請甞言之	至理無言言則與⬤故試⬤言之
有始也者	有始則有終
有未始有始也者	謂無終始而一死生
有未始有夫未始有始也者	夫一之者未若不一而自齊斯又忘其一也
有有也者	有有則美惡是非具也
有無也者	有無而未知無無也則是非好惡猶未離懷○好惡並如字離力智反
有未始有無也者	知無無矣而猶未能無知
有未始有夫未始有無也者俄而有無矣而未知有無之果孰有孰無也	此都忘其知也爾乃俄然始了無耳了無則天地萬物彼我是非豁然⬤斯也○俄徐音峩⬤斯苦角反斯又作澌音賜字思利反
今我則巳有謂矣	謂無是非即復有謂○復扶又反
而未知吾所謂之其果有謂乎其果無謂乎	又不知謂之有無爾乃蕩然無纎芥於胷中也○芥古邁反又音界
天下莫大於秋豪之末而大山爲小莫壽乎殤子而彭祖爲天地與我並生而萬物與我爲一	夫以形相對則大山大於秋豪也若各㩀其性分物冥其極則形大未爲有餘形小不爲不足苟各足於其性則秋豪不獨小其小而太山不獨大其大矣若以性足爲大則天下之足未有過於秋豪也若性足者非大則雖太山亦可稱小矣故曰天下莫大於秋豪之末而太山爲小太山爲小則天下無大矣秋豪爲大則天下無小也無小無大無壽無夭是以蟪蛄不羡大椿而欣然自得斥鴳不貴天池而榮願以足苟足於天然而安其性命故雖天地未足爲壽而與我並生萬物未足爲異而與我同得則天地之生又何不並萬物之得又何不一哉○秋豪如字依字應作豪司馬云兎毫在秋而成王逸任楚辭云銳毛也案毛至秋而耎細故以喻小也大山音泰殤子短命者也或云年十九以下爲殤
旣巳爲一矣且得有言乎	萬物萬形同於自得其得一也巳自一矣理無所言
旣已謂之一矣且得無言乎	夫名謂生於不明者也物或不能自明其一而以此逐彼故謂一以正之旣謂之一即是有言矣
一與言爲二二與一爲三自此以往巧歷不能得而況其凡乎	夫以言言一而一非言也則一與言爲二矣一旣一矣言又二之有一有二得不謂之三乎夫以一言言一猶乃成三況尋其支流凡物殊稱雖有善數莫之能紀也故一之者與彼未殊而忘一者無言而自一○稱尺證反數色主反
故自無適有以至於三而況自有適有乎	夫一無言也而有言則至三況尋其末數其可窮乎
無適焉因是已	各止於其所能乃最是也
夫道未始有封	宜然無不在也夫道未始有封崔云齊物七章此連上章而班固⬤在外篇
言未始有常	彼此言之故是非無定主
爲是而有畛也	道無封故萬物得恣其分域○爲于僞反畛徐之忍反郭李音眞謂封域畛陌也
請言其畛有左有右	各異便也○有左有右崔本作有在宥也便婢靣反
有倫有義	物物有理事事有宜○有倫有義崔本作有論有議
有分有辯	羣分而⬤別也○分如字注同別彼列反下皆同
有競有爭	並逐曰競對辯曰争○争争闘之争注同
此之謂八德	略而判之有此八德
六合之外聖人存而不論	夫六合之外謂萬物性分之表耳夫物之性表雖有理存焉而非性分之內則未嘗以感聖人也故聖人未嘗論之若論之則是引萬物使學其所不能也故不論其外而八畛同於自得也
六合之內聖人論而不議	陳其性而安之
春秋經世先王之志聖人議而不辯	順其成迹而擬乎至當之極不執其所是以非衆人也
故分也者有不分也辯也者有不辯也	夫物物自分事事自別而欲由已以分別之者不見彼之自別也○分如是下及注同
曰何也聖人懷之	以不辨爲懷耳聖人無懷
衆人辯之以相示也故曰辯也者有不見也	不見彼之自辨故辨已所知以示之
夫大道不稱	付之自稱無所稱謂○稱尺證反注同
大辯不言	已自別也
大仁不仁	無愛而自存也
大廉不嗛	夫至足者物之去來非我也故無所容其嗛盈○嗛郭欺簟反徐音謙
大勇不忮	無往而不順故能無險而不往○忮徐之䜴反又音䜴李之移反害也李云徤也
道昭而不道	以此明彼彼此倶失矣○昭音照
言辯而不及	不能及其自分
仁常而不成	物無常愛而常愛必不周
廉清而不信	激然廉清貪名者耳非眞廉也
勇忮而不成	忮逆之勇天下共疾之無敢舉足之地也
五者园而幾向方矣	此五者皆以有爲傷當者也不能上乎本性而求外無巳大外不可求而求之譬猶以圓學方以魚慕烏耳雖希翼鸞鳳擬規日月此愈近彼愈逺實學彌得而性彌失故齊物而徧尚之累去矣○园崔音刓徐五丸反司馬云圎也郭音團幾徐其衣反向方本亦作嚮音同下皆放此近附近之近逺于萬反
故知止其所不知至矣	所不知者皆性分之外也故止於所知之內而至也
孰知不言之辯不道之道若有能知此之謂天府	浩然都任之也
注焉而不滿酌焉而不竭	至人之心若鏡應而不藏故曠然無盈虚之變也○注徐之喻反
而不知其所由來	至理之來自然無迹
此之謂葆光	任其自明故其光不弊也○葆光音保崔云若有若無謂之葆光
故昔者堯問於舜曰我欲伐宗膾胥敖南靣而不釋然其故何也	於安任之道未弘故聽朝而不怡也將寄明齊一之理於大聖故發自怪之問以起對也○膾徐古外反胥息徐反華胥國敖徐五高反司馬云宗膾胥敖三國名也崔云宗一也膾二也胥敖三也朝直遥反
舜曰夫三子者猶存乎蓬艾之間	夫物之所安無陋也則蓬艾乃三子之妙處也○處昌慮反
若不釋然何哉昔者十日並出萬物皆照	夫重明登天六合倶照無有蓬艾而不光⬤也○重直龍反⬤皮⬤反
而況德之進乎日者乎	夫日月雖無私於照猶有所不及德則無不得也而今欲奪蓬艾之願而伐使從巳於至道豈弘哉故不釋然神解耳若乃物暢其性各安其所安無逺近幽深付之自若皆得其極則彼無不當而我無不怡也○解音蟹
齧缺問乎王倪曰子知物之所同是乎曰吾惡乎知之	所同未必是所異不獨非而彼我莫能相正故無所用其知○齧五結反缺丘恱反王倪徐五嵇反李音詣高士傳云王倪堯時賢人也天地篇云齧缺之師惡音烏下皆同
子知子之所不知邪曰吾惡乎知之	若自知其所不知即爲有知有知則不能任羣才之自當
然則物無知邪曰吾惡乎知之	都不知乃曠然無不任矣
雖然嘗試言之	以其不知故未敢正言試言之耳
庸詎知吾所謂知之非不知邪	魚游於水水物所同咸謂之知然自魚觀之則向所謂知者復爲不知矣夫蛣⬤之知非於轉丸而笑蛣⬤者乃以蘇合爲貴故所同之知未可正據○庸詎徐本作巨其庶反郭音鉅李云庸用也詎何也猶言何用也服䖍云詎猶未也復扶又反蛣丘一反⬤丘良反爾雅云蛣⬤⬤蜋也
庸詎知吾所謂不知之非知邪	所謂不知者直是不同耳亦自一家之知
且吾嘗試問乎女	已不知其正故試問女○女音汝注及下同巳音紀
民溼寢則腰疾偏死鰌然乎哉木處則惴慄恂懼猨猴然乎哉三者孰知正處	此畧舉三者以明萬物之異便○偏死司馬云偏枯死也鰌徐音秋司馬云魚名惴之瑞反慄音栗恂郭音荀徐音峻恐貌崔云戰也班固作眴也猨音猿猴音侯便婢靣反
民食芻豢麋鹿食薦蝍且甘帶鴟鴉⬤䑕四者孰知正味	此畧舉四者以明美惡之無主○芻⬤倶反小爾雅云秆謂之芻秆音古但反豢徐音患又胡滿反司馬云牛羊曰芻犬豕曰豢以所食得名也麋音眉薦牋練反司馬云美草也崔云甘草也郭璞云三蒼云六畜所食曰薦蝍音即且字或作蛆子徐反李云蝍且蟲名也廣雅云蜈公也爾雅云蒺蔾蝍蛆郭璞注云似蝗大腹長角能食蛇腦蒺音疾蔾音棃帶如字崔云蛇也司馬云小蛇也蝍蛆好食其眼鴟尺夷反鴉本亦作鴟於加反崔云烏也⬤市志反字或作⬤崔本作其惡烏路反
猨猵狙以爲雌麋與鹿交鰌與魚游毛嬙麗⬤人之所美也魚見之深入鳥見之高飛麋鹿見之決驟四者孰知天下之正色哉	此畧舉四者以明天下所好之不同也不同者而非之則無以知所同之必是○猵篇靣反徐敷靣反又敷畏反郭李音之狙七餘反司馬云狙一名獦牂似猨而狗頭憙與雌猨交也崔云徧狙一名獦牂其雄憙與猨雌爲牝牡向云猵狙以猨爲雌也獦音⬤雌音妻一音如字毛嬙徐在良反司馬云毛嬙古美人一云越王美⬤也麗⬤力知反下同麗⬤晉獻公之嬖以爲夫人崔孝作西施决喜缺反李云疾貌崔云疾走不顧爲决徐古惠反郭音古穴反驟上救反又在遘反好呼報反
自我觀之仁義之端是非之塗樊然殽亂吾惡能知其辯	夫利於彼者或害於此而天下之彼我無窮則是非之竟無常故唯莫之辯而任其自是然後蕩然俱得○樊音煩殽徐戶交反郭作散悉旦反之竟音境今本或作境下放此
齧缺曰子不知利害則至人固不知利害乎	未能妙其不知故猶嫌至人當知之斯懸之未解也○解音蟹
王倪曰至人神矣	無心而無不順
大澤焚而不能熱河漢沍而不能寒疾雷破山風振海而不能驚	夫神全形具而體與物冥者雖渉至變而未始非我故蕩然無蠆介於胷中也○沍戸故反徐又戸各反李戶格反向曰凍也崔云沍猶涸也蠆勑邁反又音豸介古邁反又音界
若然者乗雲氣	⬤物而行非我動也
⬤日月	有晝夜而無死生也
而遊乎四海之外	夫唯無其知而任天下之自爲故馳萬物而不窮也
死生無變於已	與變爲體故死生若一
而況利害之端乎	況利害於死生愈不足以介意
瞿鵲子問乎長梧子曰吾聞諸夫子聖人不從事於務	務自來而理自應耳非從而事之也○瞿其倶反長梧子李云居長梧下因以爲名崔云名丘簡文云長梧封人也夫子向云瞿鵲之師
不就利不違害	任而直前無所避就
不喜求	求之不喜直取不怒
不緣道	獨至者也
無謂有謂有謂無謂	凡有稱謂者皆非吾所謂也彼各自謂耳故無彼有謂而有此無謂也稱尺正反下放此
而遊乎塵垢之外	凡非眞性皆塵垢也而遊崔本作而施
