莊子雜篇盗跖第二十九	音義曰以人名篇
且吾聞之古者禽獸多而人民少於是民皆巢居以避之晝拾橡栗暮栖木上故命之曰有巢氏之民古者民不知衣服夏多積薪冬則煬之故命之曰知生之民神農之世卧則居居起則于于民知其母不知其父與麋鹿共處耕而食織而衣無有相害之心此至德之隆也然而黃帝不能致德與⬤尤戰於涿鹿之野流血百里	〇橡音象煬羊亮反⬤尤神農時諸侯始造兵者也神農之後第八帝曰榆罔世⬤尤氏強與榆罔爭王逐榆罔榆罔與黃帝合謀擊殺⬤尤漢書音義云⬤尤古之天子一曰庶人貪者涿鹿音卓本又作濁司馬云涿鹿地名故城今在上谷郡西南八十里也
堯舜作立羣臣湯放其主武王殺紂自是之後以強陵弱以衆⬤寡湯武以來皆亂人之徒也	○殺音弑下同
今子脩文武之道掌天下之辯以教後世縫衣淺帶矯言僞行以迷惑天下之主而欲求冨貴焉盗莫大於子天下何故不謂子爲盗丘而乃謂我爲盗跖	○摓本又作縫扶㳟反徐扶公反音馮淺帶縫帶使淺俠矯紀表反
子以甘辭⬤子路而使從之使子路去其危冠解其長劒而受教於子天下皆曰孔丘能止⬤禁非	〇⬤始銳反又如字去起吕反危冠李云危高也子路好勇冠似雄雞形背⬤豭斗用表已勇也
其卒之也子路欲殺衛君而事不成身菹於衛東門之上是子教之不至也	〇卒子恤反菹莊居反
子自謂才士聖人邪則再逐於魯削跡於衛窮於齊圍於陳蔡不容身於天下子教子路菹此患上無以爲身下無以爲人子之道豈足貴邪世之所高莫⬤黃帝黃帝尚不能全德而戰涿鹿之野流血百里堯不慈舜不孝禹偏枯湯放其主武王伐紂文王拘羑里此六子者世之所高也孰論之皆以利惑其眞而強反其情性其行乃甚可羞也	〇以爲于僞反下同堯不慈不授子也文王囚羑里紂之二十年囚文王強其丈反羞如字本又作惡烏路反
世之所謂賢士伯夷叔齊辭⬤竹之君而餓死於首陽之山骨肉不葬鮑焦飾行非世抱木而死申徒狄諌而不聽⬤石自投於河爲魚鼈所食	〇⬤石自投於河申徒狄將投於河崔喜止之曰吾聞聖人曰士民父母⬤濡足故不救溺人可乎申徒狄曰不然昔桀殺龍逢紂殺比干而亡天下吳殺子胥陳殺泄治而滅其國非聖人不仁不用故也遂沈河而死
介子推至忠也自割其股以食文公文公後背之子推怒而去抱木而燔死	〇食音嗣燔音煩燒也
尾生與女子期於梁下女子不來水至不去抱梁柱而死此四者無異於磔犬流豕操瓢而乞者皆離名輕死不念本養壽命者也	〇尾生一本作㣲生戰國䇿作尾生高高誘以爲魯人磔竹客反廣雅云張也操七曹反瓢俾揺反乞者李云言上四人不得其死猶猪狗乞兒流轉溝中者也乞或作走離力智反念本本或作卒
世之所謂忠臣者莫⬤王子比干伍子胥子胥沈江比干剖心此二子者世謂忠臣也然卒爲天下⬤	〇剖普口反
自上觀之至于子胥比干皆不足貴也丘之所以說我者⬤告我以⬤事則我不能知也⬤告我以人事者不過此矣皆吾所聞知也今吾告子以人之情目欲視色耳欲聽聲口欲察味志氣欲盈	〇⬤如字又始銳反
人上壽百歲中壽八十下壽六十除病瘦死䘮憂患其中開口而⬤者一月之中不過四五日而巳矣天與地無窮人死者有時操有時之具而託於無窮之間忽然無異騏驥之馳過⬤也	〇上壽音受又如字下同瘦色又反
不能說其志意養其壽命者皆非通道者也丘之所言皆吾之所棄也亟去走歸無復言之子之道狂狂汲汲詐巧虚僞事也非可以全眞也奚足論哉	〇說音悅亟紀力反急也本或作極復扶又反狂狂如字又居况反汲汲本亦作伋音急又音及巧苦好反又如字
孔子再拜趨走出門上車執轡三失目芒然無見色⬤死⬤據軾低頭不能出氣	〇上時掌反三息暫反又如字芒莫則反
歸到魯東門外適遇柳下季柳下季曰今者闕然數日不見車馬有行色得微徃見跖邪孔子仰天而歎曰然柳下季曰跖得無逆汝意⬤前乎孔子曰然丘所謂無病而自灸也疾走料虎頭編虎須幾不免虎口哉	此篇⬤明因衆之所欲亡而亡之雖王紂可去也不因衆而獨用巳雖盗跖不可御也〇行如字灸乆又反料音聊編音鞭又蒲顯反徐扶顯反本或作編音同須一本作料頭編虎須㡬音祈去起吕反
子張問於滿茍得曰盍不爲行	〇滿茍得人姓名盍胡臘反爲行下孟反下注同盍何不也勸何不爲德行
無行則不信不信則不任不任則不利故觀之名計之利而義眞是也⬤棄名利反之於心則夫士之爲行不可一日不爲乎滿茍得曰無耻者冨多信者顯夫名利之大者幾在無耻而信故觀之名計之利而信眞是也⬤棄名利反之於心則夫士之爲行抱其天乎子張曰昔者桀紂貴爲天子富有天下今謂臧聚曰汝行如桀紂則有怍色有不服之心者小人所賤也仲尼墨翟窮爲匹夫今爲宰相曰子行如仲尼墨翟則變容易色稱不足者士誠貴也	〇臧聚司馬云謂臧獲盗濫竊聚之人怍音昨宰相息亮反下相而同
故⬤爲天子未必貴也窮爲匹夫未必賤也貴賤之分在行之美惡滿苟得曰小盗者狗大盗者爲諸侯諸侯之門義士存焉昔者桓公小白殺兄入嫂而管仲爲臣田成子常殺君竊國而孔子受幣論則賤之行則下之則是言行之情悖戰於胷中也不亦拂乎	〇嫂先早反司馬云以嫂爲室家臣或作相殺申志反論力頓反悖布内反拂扶弗反
故書曰孰惡孰美成者爲首不成者爲尾子張曰子不爲行即將䟽戚無倫貴賤無義長㓜無序五紀六位將何以爲别乎滿茍得曰堯殺長子舜流母弟䟽戚有倫乎湯放桀武王殺紂貴賤有義乎王季爲適周公殺兄長㓜有序乎儒者僞辭墨者兼愛五紀六位將有别乎	〇長丁丈反五紀司馬云歲月日星辰歷數六位君臣父子夫婦别彼列反下同堯殺長子崔云堯殺長子考監明舜流母弟弟謂象也流放也孟子云舜封象於有⬤不得有爲於其國天子使吏治其國而納其貢稅焉故謂之放也適丁歷反
且子正爲名我正爲利名利之實不順於理不⬤於道	〇且子正爲名假設之辭也爲音于爲反下爲利同⬤本亦作鑑同
吾日與子訟於無約曰小人殉財君子殉名其所以變其情易其性則異矣乃至於棄其所爲而殉其所不爲則一也	〇日人實反約如字徐於妙反
故曰無爲小人反殉而天無爲君子從天之理⬤枉⬤直相而天極靣觀四方與時消息⬤是⬤非執而圓機獨成而意與道徘徊無轉而行無成而義將失而所爲無赴而富無徇而成將棄而天比干剖心子胥抉眼忠之禍也直躬證父尾生溺死信之患也鮑子立乾勝子不自理廉之害也孔子不見母匡子不見父義之失也此上世之所傳下世之所語以爲士者正其言必其行故服其殃離其患也	此章言尚行則行矯貴士則七僞故蔑行賤士以全其内然後行高而士貴耳〇抉眼烏穴反鮑子立乾司馬云鮑子名焦周末人汙時君不仕探⬤而食子貢見之謂曰何爲不仕食禄荅曰無可士者子貢曰汗時君不食其禄惡其政不踐其土今子惡其君處其土食其⬤何志行之相違乎鮑焦遂弃其⬤而餓死韓詩外傳同又云槁洛水之上也勝子不自理一本理作俚本又作申子自理或云謂申徒狄抱甕之河也古本作申子不自理謂申生也孔子不見母李云未聞匡子不見父司馬云匡子名章齊人諌其父爲父所逐終身不見父案此事見孟子傳丈專反
無足問於知和曰人卒未有不興名就利者彼富則人歸之歸則下之下則貴之夫見下貴者所以長生安體樂意之道也今子獨無意焉知不足邪意知而力不能行邪故推正不志邪知和曰今夫此人以爲與巳同時而生同郷而處者以爲夫絶俗過世之士焉是專無主正所以覽古今之時是非之分也與俗化	○無足一本作無知則下遐嫁反下同樂意音洛下同知不音智下知謀同故推正不忘邪忘或作妄言君臣但推尋正道不忘故不用富貴邪爲智力不足故不用邪過世之士焉言人心易動但人與賢人俱生便自謂過於世人况親自爲富貴者乎
世去至重棄至尊以爲其所爲也此其所以論長生安體樂意之道不亦逺乎慘怛之疾恬愉之安不⬤於體⬤惕之恐欣懽之喜不⬤於心	〇慘七感反怛丹曷反恐丘勇反
知爲爲而不知所以爲是以貴爲天子富有天下而不免於患也無足曰夫富之於人無所不利窮美究埶至人之所不得逮聖人之所不能及	〇窮猶盡也䆒埶音勢本亦作⬤一音藝䆒竟也
俠人之勇力而以爲威強秉人之知謀以爲明察因人之德以爲賢良非享國而嚴⬤君父	〇俠音協
且夫聲色滋味權勢之於人心不待學而樂之體不待象而安之夫欲惡避就固不待師此人之性也天下雖非我孰能辭之	〇惡烏路反
知和曰知者之爲故動以百姓不違其度是以足而不爭無以爲故不求不足故求之爭四處而不自以爲貪有餘故辭之棄天下而不自以爲廉廉貪之實非以迫外也反⬤之度⬤爲天子而不以貴驕人富有天下而不以財戲人計其患慮其反以爲害於性故辭而不受也非以要名譽也	〇要一遥反
堯舜爲帝而雍非仁天下也不以美害生也善卷許由得帝而不受非虚辭讓也不以事害巳此皆就其利辭其害而天下稱賢焉則可以有之彼非以興名譽也無足曰必持其名苦體絶甘約養以持生則亦乆病長阨而不死者也	〇阨音厄又烏賣反
知和曰平爲福有餘爲害者物莫不然而財其甚者也今冨人耳營鍾鼓筦籥之聲口嗛於芻豢醪醴之味以感其意遺忘其業可謂亂矣	〇筦音管本亦作管籥音藥一本筦籥作壎箎嗛苦簟反醪力刀反
侅溺於馮氣若負重行而上也可謂苦矣	〇侅徐音礙五代反又戸該反飲食至咽爲侅一云徧也馮氣馮音憤憤滿也下同言憤畜不通之氣也上時掌反
貪財而取慰貪權而取竭静居則溺體澤則馮可謂疾矣	〇慰亦作畏
爲欲富就利故滿若堵耳而不知避且溤而不舎可謂辱矣財積而無用服膺而不舎滿心戚醮求益而不止可謂憂矣	舎音捨下同戚醮在遥反李云顦顇也又音子妙反
内則疑刦請之賊外則畏寇盗之害内周樓疏外不敢獨行可謂畏矣	〇刦許業反又曲業反内周樓䟽李云重樓内匝䟽軒外通謂設備守具
此六者天下之至害也皆遺忘而不知察及其患至求盡性竭財單以反一日之無故而不可得也	〇單音丹本或作蘄音祈
故觀之名則不見求之利則不得繚意絶體而爭此不亦惑乎	此章言知足者常足〇繚音了又魯弔反理也
南	_
華	_
眞	_
經	_
卷	_
第	_
九	_
