莊子雜篇列御寇第三十二	音義曰以人名篇或無别字
如而夫者一命而吕鉅再命而於車上儛三命而名諸父孰恊唐許	而夫謂凡夫也唐謂堯許謂許由也言而夫與考父者誰同於唐許之事也〇而夫郭云凡夫也吕鉅矯皃孰協唐許恊同也唐唐堯許許由皆崇讓者也言考父與而夫誰同於唐許也
賊莫大乎德有心	有心於爲德非眞德也夫眞德者忽然自得而不知所以德也
而心有睫	率心爲德猶之可耳役心於眉睫之間則僞巳甚矣○睫音接
及其有睫也而内視内視而敗矣	乃欲探射幽隱以有爲事則心與事俱敗矣〇射食亦反
凶德有五中德爲首何謂中德中德也者有以自好也而吡其所不爲者也	吡訾也夫自是而非彼則攻之者非一故爲凶首也⬤中無自好之情則恣萬物之所是所是各不自失則天下皆思奉之矣○好呼報反注同吡匹爾反又芳爾反訾子爾反皆思奉之矣本或作皆畢事也
窮有八極逹有三必形有六府美髯長大壯麗勇敢八者俱過人也因以是窮	窮於受役也然天下未曾窮於所短而恒以所長自困〇髯人⬤反曾才能反
縁循偃佒困畏不⬤人三者俱通逹	縁循杖物而行者也偃佒不能俯執者也困畏怯弱者也此三者旣不以事見任乃將接佐之故必逹也〇偃佒於丈反本亦作央同偃佒守分歸一也杖守亮反
知慧外通	通外則以無涯傷其内也〇知音智
勇動多怨	怯而靜乃厚其身耳〇乃厚其身耳元嘉本厚作後一本作乃後恒無怨也
仁義多則	天下皆望其愛然愛之則有不周矣故多責
逹生之情者傀	傀然大恬解之皃〇傀郭徐呼懷反字林公回反云偉也解音蟹
逹於知者肖	肖失散也〇知音智肖音消
逹大命者隨	泯然與化俱也
逹小命者遭	毎在節上住乃悟也
人有見宋王者錫車十乗以其十乗驕穉莊子莊子曰河上有家貧恃緯蕭而食者其子没於淵得千金之珠其父謂其子曰取石來鍜之夫千金之珠必在九重之淵而驪龍頷下子能得珠者必遭其睡也使驪龍而寤子尚奚微之有哉今宋國之深非直九重之淵也宋王之猛非直驪龍也子能得車者必遭其睡也使宋王而寤子爲⬤粉夫	夫取富貴必順乎民望也⬤挾竒⬤乗天衢以嬰人主之心者明君之所不受也故如有所譽必有所試於斯民不違僉曰舉之以合萬夫之望者此三代所以直道而行之也〇乗繩證反下同驕穉直吏反又池夷反李云自驕而穉莊子也緯蕭如字緯織也蕭荻蒿也織蕭以爲畚而賣之本或作葦音同鍜丁亂反謂槌破之重直龍反驪龍力馳反驪龍黒龍也頷戸感反⬤子⬤反夫音符挾戸牒反僉七潜反
或聘於莊子莊子應其使曰子見夫犧牛乎衣以文繡食以芻叔及其牽而入於太廟雖欲爲⬤犢其可得乎	樂生者畏犧而辝聘髑髏聞生而臏此死生之情異而各自當也〇使所吏反衣於旣反食音嗣芻音初俱反蒭草也叔大豆也大廟音太髑音獨髏音樓矉毗人反子六反
莊子將死弟子欲厚葬之莊子曰吾以天地爲棺槨以日月爲連璧星辰爲珠璣萬物爲齎送吾葬具豈不備邪何以加此弟子曰吾恐烏鳶之食夫子也莊子曰在上爲烏鳶食在下爲螻蟻食奪彼與此何其偏也以不平平其平也不平	以一家之平平萬物未⬤任萬物之自平也〇璣音祈又音機一音其旣反齎音資本又作濟子詣反鳶以全反螻音樓蟻魚綺反
以不徴徴其徴也不徴	徴應也不因萬物之自應而欲以其所見應之則必有不合矣
明者唯爲之使	夫執其所見受使多矣安能使物哉
神者徴之	唯任神然後能至順故無徃不應也
夫明之不勝神也乆矣	明之所及不過於形骸也至順則無逺近幽深皆各自得
而愚者恃其所見入於人其功外也不亦悲乎	夫至順則用發於彼而功藏於物⬤恃其所見執其自是雖欲入人其功之外也
