莊子外篇至樂第十八	音義曰以義名篇樂音洛
名止於實義設於適是之謂條逹而福持	實而適故條逹性常得故福持
列子行食於道從見百歲髑髏攓蓬而指之曰唯予與女知而未甞死未甞生也	各以所遇爲樂○道從如字司馬云從道旁也本或作徒攓居輦反徐紀偃反又起䖍反司馬云扶也或音厥蓬歩東反徐音扶公反
若果養乎予果歡乎	歡養之實未有定在○若果一本作汝果元嘉本作汝過養司馬本作暮云死也予果元嘉本音予過歡乎司馬本作嚾云呼聲謂生也
種有幾	變化種數不可勝計○種章勇反注同幾居豈反勝音升
得水則爲㡭得水土之際則爲鼃蠙之衣生於陵屯則爲陵舄陵舄得鬱棲則爲烏足烏足之根爲蠐螬其葉爲胡蝶胡蝶胥也化而爲蟲生於竈下其狀若脫其名爲鴝掇鴝掇千日爲鳥其名爲乾餘骨乾餘骨之沫爲斯彌斯彌爲食醯頥輅生乎食醯黃軦生乎九猷瞀芮生乎腐蠸羊奚比乎不箰乆竹生青寧青寧生程程生馬馬生人人又反入於機萬物皆出於機皆入於機	此言一氣而萬形有變化而無死生也○得水則爲㡭此古絶字徐音絶今讀音繼司馬本作繼云萬物雖有兆朕得水上氣乃相繼而生也本或作斷又作續斷得水土之際則爲鼃戸蝸反蠙歩田反徐我賢反郭父因反又音賔李婢軨反之衣司馬云言物根在水土際布在水中就水上視不見抄之可得如張緜在水中楚人謂之鼃蠙之衣生於陵屯司馬音徒門反云阜也郭音純則爲陵舄音昔司馬云言物因水成而陸産生於陵屯化作車前改名陵舄也一名澤舄隨燥溼變也然不知其祖言物化無常形也人之死也亦或化爲草木草木之精或化爲人也陵馬得鬰栖則爲烏足司馬云鬰栖蟲名烏足草名生水邉也言鬰栖在陵舄之中則化爲烏足也李云鬰栖糞壤也言陵舄在糞化爲烏足也烏足之根爲蠐音齊螬音曹司馬本作螬䗲云蝎也其葉爲胡蝶音牒司馬云胡蝶蛺蝶也草化爲蟲蟲化爲草夫始有極胡蝶胥也一名胥也化而爲蟲生放竈下司馬云得⬤氣而生也其狀若脫它括反司馬音恱云新出皮恱好也鴝其倶反掇丁活反乾音干沫音末李云口中汁也斯彌李云蟲也食如字司馬本作蝕醯許⬤反李音濠司馬云蝕醯若酒上蠛蠓也蠛音眠結反蠓音無孔反頥以之反輅音路一音洛黃軦音况徐李休往反司馬云頥輅黃軦皆蟲名九猷音由李云九宜爲乆乆老也猷蟲名也瞀莫豆反又莫住反又亡角反芮如銳反徐如悅反腐音輔蠸音權郭音歡司馬云亦蟲名也爾雅云一名守⬤一名忿䑕也羊奚比毗志反箰息尹反司馬云羊奚草名根似蕪菁與乆竹比合而爲物皆生於非⬤也青寧司馬云蟲名青寧生程李云未聞程生馬馬生人俗本多誤故具録之
南	_
華	_
眞	_
經	_
卷	_
第	_
六	_
