莊子外篇知北遊第二十二	音義曰以義名篇
萬物畜而不知此之謂本根	畜之而不得其本性之根故不知其所以畜也〇畜本亦作滀同勑六反注同
可以觀於天矣	與天同觀
齧缺問道乎⬤衣⬤衣曰⬤正汝形一汝視天和將至攝汝知一汝度神將來舎德將爲汝美道將爲汝居汝朣焉如新生之犢而無求其故言未卒齧缺睡寐⬤衣大⬤行歌而去之曰形⬤槁骸心⬤死⬤眞其實知不以故自持	與變俱也○⬤衣音披本亦作披瞳救紅反郭⬤絳反李云未有知貌齧缺睡寐體向所⬤畏其視聽以寐耳受道速故⬤衣喜也⬤音恱槁苦老反
媒媒晦晦無心而不可與謀彼何人哉	獨化者也○媒音妹又武朋反晦音誨李云媒媒晦貌
舜問乎丞曰道可得而有乎曰汝身非汝有也汝何得有夫道	夫身者非汝所能有也塊然而自有耳身非汝所有而况無哉○丞如字李云舜師也一云古有四輔前疑後丞盖官名夫音符塊苦對反
舜曰吾身非吾有也孰有之哉曰是天地之委形也生非汝有是天地之委和也性命非汝有是天地之委順也	⬤身是汝有者則美惡死生當制之由汝今氣聚而生汝不能禁也氣散而死汝不能止也明其委結而自成耳非汝有也〇委司馬云委積也
孫子非汝有是天地之委蛻也	氣自委結而蟬蛻也○蛻吐卧反又音恱又敕外反又始銳反又始劣反
故行不知所徃處不知所持食不知所味	皆在自爾中來故不知也
天地之彊陽氣也又胡可得而有邪	彊陽猶運動耳明斯道也庻可以遺身而忘生也〇天地之強陽氣也郭云強陽猶運動耳案言天地尚運動况氣聚之生何可得執而留也
孔子問於老聃曰今日晏間敢問至道老聃曰汝齊戒䟽⬤而心澡雪而精神掊擊而知夫道窅然難言哉將爲汝言其崖略夫昭昭生於冥冥有倫生於無形精神生於道	皆所以明其獨生而無所資借〇晏於諌反徐於顯反又於見反間音閑齊側皆反⬤音藥或云漬也掊普口反徐方垢反知音智窅烏丁反爲于僞反無形謂太初也
形本生於精	皆由精以至粗〇形本生於精謂常道也
而萬物以形相生故九竅者胎生八竅者卵生	言萬物雖以形相生亦皆自然耳故胎卵不能易種而生明神氣之不可爲也〇竅苦弔反卵力管反種章勇反
其來無迹其徃無崖無門無房四逹之皇皇也	夫率自然之性遊無迹之塗者放形骸於天地之間⬤精神於八方之表是以無門無房四逹皇皇逍遥六合與化偕行也
邀於此者四枝彊思慮恂逹耳目聦明其用心不勞其應物無方	人生而遇此道則天性全而精神定〇邀古堯反思息嗣反恂音荀
天不得不高地不得不廣日月不得不行萬物不得不昌此其道與	言此皆不得不然而自然耳非道能使然也〇天不得不高謂不得一道不能爲高也與音餘下皆同
且夫博之不必知辯之不必慧聖人以斷之矣	斷棄知慧而付之自然也博之不必知博觀異書爲博斷端管反註同
若夫益之而不加益損之而不加損者聖人之所保也	使各保其正分而巳故無用知慧爲也
淵淵乎其⬤海	容恣無量
魏魏乎其終則復始也	與化俱者乃積無窮之紀可謂魏魏○魏魏魚威反復扶又反
運量萬物而不匱	用物而不役巳故不匱也○運量音亮萬物而不匱求位反謂使物自動物物各足量也
則君子之道彼其外與	各取於身而足
萬物皆徃資焉而不匱此其道與	還用物故我不匱此明道之贍物在於不贍不贍而物自得故曰此其道與言至道之無功無功乃足稱道也〇贍渉艶反下同
中國有人焉非隂非陽	無所偏名
處於天地之間直且爲人	敖然自放所遇而安了無功名○且如字舊子餘反
將反於宗	不逐末也
自本觀之生者喑醷物也	直聚氣也〇喑音䕃郭音闇李音飮一音於感反醷於界反郭於感反李音意一音他感反李郭皆云喑醷聚氣貌
雖有壽夭相去幾何須⬤之⬤也奚足以爲堯桀之是非	死生猶未足殊况壽夭之間哉○幾居豈反
果蓏有理	物無不理但當順之○蓏徐力果反
人倫雖難所以相齒	人倫有知慧之變故難也然其知慧自相齒耳但當從而任之
聖人遭之而不違	順所遇也
過之而不守	宜過而過
調而應之德也偶而應之道也	調偶和合之謂也
帝之所興王之所起也	如斯而巳
人生天地之間⬤白駒之過郤忽然而巳	乃不足惜○白駒或云日也卻去逆反本亦作⬤⬤孔也
注然勃然莫不出焉油然漻然莫不入焉	出入者變化之謂耳言天下未有不變也○勃歩忽反油音由漻音流李音礫
巳化而生又化而死	俱是化也
生物哀之	死物不哀
人⬤悲之	死⬤不悲
解其天弢墮其天⬤	獨脫也○天弢敕刀反字林云弓衣也墮許規反⬤陳筆反
紛乎宛乎	變化煙煴〇宛於阮反絪音因本亦作烟音因緼於云反本亦作煴音同
魂魄將徃乃身從之乃大歸乎	無爲用心於其間也
不形之形形之不形	不形形乃成若形之則敗其形矣〇敗⬤邁反
是人之所同#SB1_0537-098.png#pagemissing曰何其愈下邪曰在瓦甓曰何其愈甚邪曰在屎溺東郭子不應莊子曰夫子之問也固不及質	舉其標質言無所不在而方復怪此斯不及質也○螻力侯反蟻魚綺反稊大西反本又作稊稗歩計反本又作稗蒲賣反李云稊稗二草名甓本又作礕歩歷反屎尸旨反舊詩百反本或作矢溺乃弔反
正獲之問於監市履狶也毎下愈況	狶大豕也夫監市之履豕以知其肥瘦者愈履其難肥之處愈知豕肥之要今問道之所在而每况之於下賤則明道之不逃於物也必矣○正獲之問於監古衘反市履狶虚豈反毎下愈况李云正亭卒也⬤其名也監市又魁也狶大豕也履踐也夫市魁履豕履其股脚狶難肥處故知豕肥耳問道亦况下賤則知道也痩色救反處音遽
汝唯莫必無乎逃物	⬤必謂無之逃物則道不周矣道而不周則未足以爲道
至道⬤是大言亦然	明道不逃物
周徧咸三者異名同實其指一也甞相與遊乎無何有之官同合而論無所終窮乎	⬤遊有則不能周徧咸也故同合而論之然後知道之無不在知道之無不在然後能曠然無懷而遊彼無窮也〇徧音遍
甞相與無爲乎澹而靜乎漠而清乎調而間乎	此皆無爲故也〇澹徒暫反間音閑
寥巳吾志	寥然空虚
#SB1_0537-101.png#pagemissing謂物際者也	物有際故毎相與不能㝠然眞所謂際者也
不際之際際之不際者也	不際者雖有物物之名直明物之自物耳物物者竟無物也際其安在乎
謂盈虚衰殺彼爲盈虚非盈虚彼爲衰殺非衰殺彼爲本末非本末彼爲積散非積散也	旣明物物者無物又明物之不能自物則爲之者誰乎哉皆忽然而自爾也○殺色界反徐所例反下同
妸荷甘與神農同學於老龍吉神農隱几闔戸晝瞑妸荷甘日中奓戸而入曰老龍死矣神農隱几擁杖而起嚗然放杖而⬤	起而悟夫死之不足驚故還放杖而⬤也○妸於河反荷音河本或作苛老龍吉李云懷道人也隱於靳反下同闔戸臘反瞑音眠奓郭處野反又音奢徐都嫁反又處夜反司馬云開也嚗音剶又孚邈反又孚貌反李云放杖聲也投杖本亦作放杖
曰天知予僻陋慢訑故棄予而死巳矣夫子無所發予之狂言而死矣夫	自肩吾巳下皆以至言爲狂而不信也故非老龍連叔之徒莫足與言也〇僻匹亦反慢武半反徐無見反郭如字訑徒旦反徐徒見反郭音但夫音符
弇堈弔聞之曰夫體道者天下之君子所繫焉	言體道者人之宗主〇弇音奄堈音剛弔李云弇堈體道人弔其名繫焉謂爲物所歸投也
今於道秋豪之端萬分未得處一焉	秋豪之端細矣又未得其萬分之一
而猶知藏其狂言而死又况夫體道者乎	明夫至道非言之所得也唯在乎自得耳
視之無形聽之無聲於人之論者謂之冥冥所以論道而非道也	冥冥而猶復非道明道之無名也〇復扶又反
於是泰清問乎無窮曰子知道乎無窮曰吾不知又問乎無爲無爲曰吾知道曰子之知道亦有數乎曰有曰其數⬤何無爲曰吾知道之可以貴可以賤可以約可以散此吾所以知道之數也泰淸以之言也問乎無始曰⬤是則無窮之弗知與無爲之知孰是而孰非乎無始曰不知深矣知之淺矣弗知內矣知之外矣於是泰淸中而歎曰弗知乃知乎知乃不知乎孰知不知之知	凡得之不由於知乃㝠也〇與無爲之知並如字中崔本作卬
無始曰道不可聞聞而非也道不可見見而非也道不可言言而非也	故黙成乎不聞不見之域而後至焉
知形形之不形乎	形自形耳形形者竟無物也
道不當名	有道名而竟無物故名之不能當也
無始曰有問道而應之者不知道也雖問道者亦未聞道	不知故問問之而應則非道也不應則非問者所得故雖問之亦終不聞也
道無問問無應	絶學去教而歸於自然之意也〇去起吕反
無問問之是問窮也	所謂責空
無應應之是無内也	實無而假有以應者外矣
以無内待問窮⬤是者外不觀乎宇宙内不知乎大初是以不過乎崐崘不遊乎大虚	⬤夫婪落天地遊虚渉逺以入乎㝠㝠者不應而巳矣〇大初音泰婪力男反
光曜問乎無有曰夫子有乎其無有乎光曜不得問而孰視其狀貌窅然空然終日視之而不見聽之而不聞摶之而不得也光曜曰至矣其孰能至此乎予能有無矣而未能無無也及爲無有矣何從至此哉	此皆絶學之意也於道絶之則夫學者乃在根本中來矣故學之善者其唯不學乎〇窅烏了反摶音博
大馬之捶鉤者年八十矣而不失豪芒	玷捶鉤之輕重而無豪芒之差也〇捶郭音丁果反徐之累反李之睡反大馬司馬也司馬郭云捶者玷捶鉤之輕重而不失之豪芒也或⬤云江東三魏之間人皆謂鍜爲捶音字亦同郭失之今不從此⬤也玷丁恬反
大馬曰子巧與有道與曰臣有守也臣之年二十而好捶鉤於物無視也非鉤無察也是用之者假不用者也以長得其用而况乎無不用者乎物孰不資焉	都無懷則物來皆應〇與音餘下同好呼報反長丁丈反
冉求問於仲尼曰未有天地可知邪仲尼曰可古猶今也	言天地常存乃無未有之時
冉求失問而退明日復見曰昔者吾問未有天地可知乎夫子曰可古猶今也昔日吾昭然今日吾昧然敢問何謂也仲尼曰昔之昭然也神者先受之	虚心以待命斯神受也○復扶又反見賢遍反
今之昧然也且又爲不神者求邪	思求更致不了○爲于僞反
無古無今無始無終	非唯無不得化而爲有也有亦不得化而爲無矣是以夫有之爲物雖千變萬化而不得一爲無也不得一爲無故自古無未有之時而常存也
未有子孫而有子孫可乎	言世世無極〇言其要有由不得無故而有傳世故有子孫不得無子而有孫也如是天地不得先無而今有也
冉求未對仲尼曰已矣未應矣不以生生死	夫死者獨化而死耳非夫生者生此死也
不以死死生	死者亦獨化而生耳
死生有待邪	獨化而足
皆有所一體	死與生各自成體
有先天地生者物邪物物者非物物出不得先物也猶其有物也猶其有物也無巳	誰得先物者乎哉吾以隂陽爲先物而隂陽者即所謂物耳誰又先隂陽者乎吾以自然爲先之而自然即物之自爾耳吾以至道爲先之矣而至道者乃至無也旣以無矣又奚爲先然則先物者誰乎哉而猶有物無已明物之自然非有使然也〇有先悉薦反下及注同
聖人之愛人也終無巳者亦乃取於是者也	取於自爾故恩流百代而不廢也
顔淵問乎仲尼曰回嘗聞諸夫子曰無有所將無有所迎回敢問其遊仲尼曰古之人外化而内不化	以心順形而形自化
今之人内化而外不化	以心使形
與物化者一不化者也	常無心故一不化一不化乃能與物化耳
安化安不化	化與不化皆任彼耳斯無心也
安與之相靡	直無心而恣其自化耳非將迎
#SB1_0537-112.png#pagemissing#SB1_0537-113.png#pagemissing夫務免乎人之所不免者豈不亦悲哉至言去言至爲去爲	皆自得也
齊知之所知則淺矣	夫由知而後得者假學者耳故淺也〇齊才細反又如字
南	_
華	_
眞	_
經	_
卷	_
第	_
七	_
