南華真經卷第九郭象子玄註陸德明音義莊子雜篇外物第二十六	音義曰以義名篇
雖相與爲君臣時也易世而無以相賤	所以爲人齊同
故曰至人不留行焉	唯所遇而因之故能與化俱
夫尊古而卑今學者之流也	古無所尊今無所卑而學者尊古而卑今失其原矣
且以狶韋氏之流觀今之世夫孰能不波	隨時因物乃平泯也〇狶虚豈反不波波高下貌
唯至人乃能遊於世而不僻	當時應務所在爲正〇僻匹亦反
順人而不失已	本無我我何失焉
彼教不學	教因彼徃故非學也
承意不彼	彼意自然故承而用之則夫萬物各至其我
目徹爲明耳徹爲聦鼻徹爲鸇口徹爲甘心徹爲知知徹爲德凡道不欲壅壅則哽哽而不止則跈	當通而塞則理有不泄而相騰踐也〇鸇舒延反哽庚猛反塞也跈女展反廣雅云履也止也本或作蹍同
跈則衆害生	生起也
物之有知者恃息	凡根生者無知亦作恃息也
其不殷非天之罪	殷當也夫息不由知由知然後失當失當而後不通故知恃息息不恃知也然知欲之用制之由人非不得巳之符也○殷如字一音於靳反
天之穿之日夜無降	通理有常運
人則顧塞其竇	無性任天竇乃開〇竇音豆
胞有重閬	閬空曠也〇胞普交反腹中貽重直龍反閬音浪
心有天遊	遊不係也
室無空虛則婦姑勃豀	爭處也〇勃豀音奚勃爭也豀空也司馬去勃豀反戾也無空虚以容其私則反戾共闘爭也
心無天遊則六鑿相攘	攘逆○鑿在報反相攘如羊反司馬云謂六情攘奪
大林丘山之善於人也亦神者不勝	自然之理有⬤物而通也
德溢乎名	夫名高則利深故脩德者過其當
名溢乎⬤	夫禁⬤則名美於德
謀稽乎誸	兹急也急而後考其謀○誸音賢郭音玄向本作弦云堅正也
知出乎爭	平徃則無用知
柴生乎守	柴塞也○柴積也
官事果乎衆宜	衆之所宜者不一故官事立也
春雨日時草木怒生銚鎒於是乎始脩	夫事物之生皆有由〇銚七遥反削也能有所穿削也又他尭反鎒乃豆反似鋤田具也
草木之到植者過半而不知其然	夫事由理發故不覺〇到植時力反又音值立也本亦作置司馬云鋤㧞反之更生者曰到植
靜然可以補病	非不病也
皆⬤可以休老	非不老也〇⬤子斯反徐子智反本亦作揃子淺反三蒼云揃猶翦也玉篇云滅也⬤本亦作搣音滅又武齊反字林云⬤也⬤音千米反
寧可以止遽	非不遽也
雖然⬤是勞者之務也非佚者之所未嘗過而問焉	⬤是猶有勞故佚者超然不顧○佚音逸
聖人之所以駴天下神人未嘗過而問焉	神人即聖人也聖言其外神言其内駴戸楷反王云謂改百姓之視聽也徐音戒謂上不問下也
賢人所以駴世聖人未嘗過而問焉君子所以駴國賢人未嘗過而問焉小人所以合時君子未嘗過而問焉	趨歩各有分高下各有等
演門有親死者以善毀爵爲官師其黨人毀而死者半	慕賞而孝去真逺矣斯尚賢之過也〇演門以善反宋城門名
堯與許由天下許由逃之湯與務光務光怒之紀他聞之帥弟子而踆於⬤水諸侯弔之三年申徒狄因以踣河	其波蕩傷性遂至於此〇他徒何反踆音存字林云古蹲字徐七旬反又音尊窽音⬤又音科司馬云水名弔之司馬云恐其自沈故弔之踣徐芳附反普豆反字林云僵也李云頓也郭薄杯反
荃者所以在魚得魚而忘荃蹄者所以在兎得兎而忘蹄言者所以在意得意而忘言吾安得夫忘言之人而與之言哉	至於兩聖無意乃都無所言也〇荃七全反崔音孫香草也可以餌魚或云積柴水中使魚依而食焉一云魚笱也蹄大兮反兎罥也又云兎弶也係其脚故云蹄也罥音古縣反弶音巨亮反得夫音符
