莊子雜篇則陽第二十五	音義曰以人各篇
此則所謂然與然乎	自謂然者天下未之然也〇與音餘又如字然乎言未然
仲尼問於大史大弢伯常蹇狶韋曰夫衛靈公飮酒湛樂不聽國家之政田獵畢弋不應諸侯之際其所以爲靈公者何邪大弢曰是因是也	靈即是無道之謚也〇太史音泰弢吐刀反人名伯常蹇起䖍反人名狶本亦作俙同虚豈反又音希郭音郗李音熈韋李云狶韋者太史官名湛丁南反樂之乆也李常⬤反樂音洛應應對之應諸侯之際司馬云盟㑹之事
伯常騫曰夫靈公有妻三人同濫而浴	男女同浴此無禮也〇同濫徐明暫反或力暫反浴器也
史鰌奉御而進所搏幣而扶翼	以鰌爲賢而奉御之勞故⬤幣而扶翼之使其不得終禮此其所以爲肅賢也幣者奉御之物〇史鰌音秋司馬云史魚也⬤音博弊郭作弊帛也徐扶世反司馬音蔽云引衣裳自蔽扶翼司馬云謂公及浴女相扶翼自隱也此殊郭義
其慢⬤彼之甚也見賢人⬤此其肅也是其所以爲靈公也	欲以肅賢⬤其私慢靈有二義亦可謂善故仲尼問焉
狶韋曰夫靈公也死⬤葬於故墓不吉⬤葬於沙丘而吉掘之數仞得石槨焉洗而視之有銘焉曰不馮其子靈公奪而里之夫靈公之爲靈也乆矣	子謂蒯聵也言不馮其子靈公將奪女處也夫物皆先有其命故來事可知也是以凡所爲者不得不爲凡所不爲者不可得爲而愚者以爲之在巳不亦妄乎〇故墓一本作大墓沙丘地名掘其月反又其勿反數所主反洗西禮反馮音憑其子靈公郭讀絶句司馬以其子字絶句云言子孫不足可憑故使公得此處爲冡也奪而里而汝也里居處也一本作奪而埋之蒯起怪反瞶五怪反蒯瞶衛莊公名女音汝處昌慮反
之二人何足以識之	徒識巳然之見事耳未知巳然之出於自然也〇見賢遍反
少知問於大公調曰何謂丘里之言大公調曰丘里者合十姓百名而以爲風俗也合異以爲同散同以爲異令指馬之百體而不得馬而馬係於前者立其百體而謂之馬也是故丘山積卑而爲高江河合水而爲大大人合并而爲公	無私於天下則天下之風一也〇大公音泰下同丘里李云四井爲邑四邑爲丘五家爲鄰五鄰爲里古者鄰里井邑士風不同猶今郷曲各自有方俗而物不齊同十姓百名一姓爲十人十姓爲百名則有異有同故合散以定之卑如字又音婢合水一本作合流合并而爲公合羣小之稱以爲至公之一也
是以自外入者有主而不執由中出者有正而不距	自外入者大人之化也由中出者民物之性也性各得正故民無違心化必至公故主無所執所以能合丘里而并天下一萬物而夷羣異也
四時殊氣天不賜故歲成	殊氣自有故能常有⬤本無之而由天賜則有時而廢〇賜與也
五官殊職君不私故國治	殊職自有其才故任之耳非私而與之〇治直吏反
文武大人不賜故德備	文者自文武者自武非大人所賜也⬤由賜而能則有時而闕矣豈唯文武凡性皆然
萬物殊理道不私故無名無名故無爲無爲而無不爲	名止於實故無爲實各自爲故無不爲
時有終始世有變化	故無心者斯順
禍福淳淳	流行反覆〇淳淳如字王云流動流貌覆芳服反
至有所拂者而有#SB1_0537-229.png#pagemissing而期曰萬物者以數之多者號而讀之也	夫有數之物猶不止於萬况無數之數謂道而足邪〇讀李云讀猶也
是故天地者形之大者也隂陽者氣之大者也道者爲之公	物得以通通物無私而強字之曰道〇強巨丈反
因其大以號而讀之則可也	所謂道可道也
巳有之矣乃將得比哉	名已有矣故乃將無可得而比邪
則若以斯辯譬猶狗馬其不及逺矣	今名之辯無不及逺矣故謂道猶未足也必在乎無名無言之域而後至焉雖有名故莫之比也
少知曰四方之内六合之#SB1_0537-231.png#pagemissing此物之所有	皆物之所有自然而然耳非無能有之也〇隨序謂變化相隨有次序也序或作原一本作享橋運之相使橋運謂相橋代頓至次序以相通理橋運以相制使也
言之所盡知之所至極物而巳	物表無所復有故言知不過極物也〇復扶又反
覩道之人不隨其所廢不原其所起	廢起皆自爾無所原隨也
此議之所止	極於自爾故無所議
少知曰季真之莫爲接子之或使二家之議孰正於其情孰徧於其理	季真曰道莫爲也接子曰道或使或使者有使物之功也〇季真接子李云二賢人徧音遍徐音篇
大公調曰#SB1_0537-233.png#pagemissing	故求之於言意之表而後至焉
未生不可忌	突然自生制不由我我不能禁
巳死不可徂	忽然自死吾不能違〇可徂一本作阻
死生非遠也理不可覩	近於身中猶莫見其自爾而欲憂之
或之使莫之爲疑之所假	此二者世所至疑也
吾觀之本其徃無窮吾求之末其來無止無窮無止言之無也與物同理	物理無窮故其言無窮然後與物同理也
或使莫爲言之本也與物終始	恒不爲而自使然也
道不可有有不可無	道故不能使有而有者常自然也
道之爲名所假而行	物所由而行故假名之曰道
或使莫爲在物一曲夫胡爲於大方	舉一隅便可知
言而足則終日言而盡道	求道於言意之表則足
言而不足則終日言而盡物	不能忘言而存意則不足
道物之極言黙不足以載	夫道物之極常莫爲而自爾不在言與不言
非言非黙議其有極	極於自爾非言黙而議也
南	_
華	_
真	_
經	_
卷	_
第	_
八	_
