莊子外篇山木第二十	音義曰舉事以名篇
孔子問子桑虖曰吾再逐於魯伐樹於宋削迹於衞窮於商周圍於陳蔡之間吾犯此數患親交益疏徒友益散何與子桑雽曰子獨不聞假人之亡與林回棄千金之壁負赤子而趨或曰爲其布與赤子之布寡矣	布謂匹帛也〇桑雽音戸本又作⬤音于李云桑姓雽其名隱人也或云姓桑⬤名隱伐樹於衛一本作伐樹於宋削迹於衛數所主反何與音餘下放此假古雅反李云國名林回司馬云殷之逃民之姓名爲如字下同又皆于僞反布謂貨財也
爲其累與赤子之累多矣棄千金之璧負赤子而趨何也林回曰彼以利合此以天屬也夫以利合者迫窮禍患害相棄也以天屬者迫窮禍患害相收也夫相收之與相棄亦遠矣且君子之交淡⬤水小人之交甘⬤醴君子淡以親	去利故淡道合故親也淡如字又徒暫反
小人甘以絶	飾利故甘利不可常故有時而絶也
彼無故以合者則無故以離	夫無故而自合者天屬也合不由故則故不足以離之也然則有故而合必有故而離矣
孔子曰敬聞命矣徐行翔佯而歸絶學捐書弟子無挹於前其愛益加進	去飾任素故也〇無挹音揖李云無所執持也去起吕反
異日桑雽又曰舜之將死眞冷禹曰汝戒之哉形莫⬤縁情莫⬤率	因形率情不矯之以利也○眞司馬本作直冷音零與司馬云冷曉也謂以真道曉語禹也冷或爲命又作令命尤敎也
縁則不離率則不勞	刑不假故常全情不矯故常逸
不離不勞則不求文以待形	任朴而直前也
不求文以待形固不待物	朴素而足
莊子衣大布而⬤之正緳係履而過魏王魏王曰何先生之憊邪莊子曰貧也非憊也士有道德不能行憊也衣弊履穿貧也非憊也此所謂非遭時也王獨不見夫騰猿乎其得柟梓豫章也攬蔓其枝而王長其間雖羿蓬⬤不能眄睨也	遭時得地則申其長枝故雖古之善射莫之能害〇衣於旣反大布司馬云麤布也緳賢節反又苦結反司馬云帶也係履李云履穿故係過古禾反魏王司馬云惠王也憊皮拜反又薄計反司馬本作病勝音騰本亦作騰柟音南木名⬤舊歷敢反蔓音萬郭武半反王徃况反司馬本作徃長丁亮反本又作張音同司馬直良反云兩枝相去長遠也羿音詣或戸係反蓬⬤符恭反徐扶公反司馬云羿古之善射者蓬⬤羿之弟子眄莫練反舊莫顯反本或作睥普計反睨音詣郭五岑反李云邪視也枝其綺反
及其得柘⬤枳枸之間也危行側視振動悼慓此筋骨非有加急而不柔也處⬤不便未足以逞其能也今處昏上亂相之間而欲無憊奚可得邪此比干之見剖心徴也夫	勢不便而強爲之則受戮矣〇柘章夜反析吉氏反又音⬤枸音矩悼如字又直弔反便婢面反注同相息亮反見賢遍反強上聲下同
孔子窮於陳蔡之間七日不火食左據槁木右擊槁枝而歌焱氏之風有其具而無其數有其聲而無宫角木聲與人聲犂然有當於人之心顔回端拱還目而窺之仲尼恐其廣已而造大也愛巳而造哀也曰回無受天損易	唯安之故易〇槁苦老反下同焱氏必遥反古之無爲帝王也犂然力兮反又力之反司馬云犂然猶栗然當丁浪反還音旋窺徐起規反造司馬云造適也易以豉反註下同
無受人益難	物之倘來不可禁禦
無始而非卒也	於今爲始者於昨爲卒則所謂始者即是卒矣言變化之無窮
人與天一也	皆自然
夫今之歌者其誰乎	任其自爾則歌者非我也
回曰敢問無受天損易仲尼曰飢渴寒暑窮桎不行天地之行也運物之泄也	不可逃也○桎之實反運司馬云動也泄息列反司馬云發也徐以世反
言與偕之偕之謂也	所謂不識不知而順帝之則也〇言我也
爲人臣者不敢去之執臣之道猶⬤是而况乎所以待天乎	所在皆安不以損爲損斯待天而不受其損也
何謂無受人益難仲尼曰始用四逹	感應旁通爲四逹
爵禄並至而不窮	旁通故可以御高大也
物之所利乃非巳也	非已求而取之
吾命有在外者也	人之生必外有接物之命非如瓦石止於形質而巳
君子不爲盗賢人不爲竊吾⬤取之何哉	盗竊者私取之謂也今賢人君子之致爵禄非私取也受之而巳
故曰鳥莫知於鷾鴯目之所不宜處不給視雖落其實棄之而走	避禍之速○知音智鷾音意鴯音而或云鷾鴯燕也目之所不冝處昌吕反言不可止處目巳羅絡知之故弃之也
其畏人也而襲諸人間	未有自䟽外於人而人存之者也畏人而入於人間此鳥之所以稱知也
社稷存焉爾	况之至人則玄同天下故天下樂推而不厭相與社而稷之斯無受人益之所以爲難也
何謂無始而非卒仲尼曰化其萬物而不知其禪之者	莫覺其變〇禪市戰反司馬云授予也
焉知其所終焉知其所始正而待之而巳耳	日夜相代未始有極故正而待之無所爲懷也〇焉於䖍反下同
何謂人與天一邪仲尼曰有人天也有天亦也	凡所謂天皆明不爲而自然
人之不能有天性也	言自然則自然矣人安能故有此自然哉自然耳故曰性
聖人晏然體逝而終矣	晏然無矜而體與變俱也
莊周遊乎雕陵之樊覩一異鵲自南方來者翼廣七尺目大運寸感周之顙而集於栗林莊周曰此何鳥哉翼殷不逝目大不覩蹇裳躩歩執彈而留之覩一蟬方得美䕃而忘其身螳蜋執翳而搏之見得而忘其形	執木葉以自翳於蟬而忘其形之見乎異鵲也○雕徐音彫本亦作彫陵之彫樊音煩司馬云雕陵陵名樊藩也謂遊栗園藩籬之內也樊或作埜埜古野字廣光浪反運寸司馬云可回一寸也感周之顙息蕩反李云感觸也翼殷不逝目大不覩司馬云殷大也曲折曰逝李云翼大逝難目大視希故不見人蹇起䖍反躩李驅碧反徐九縳反司馬云疾行也案即論語云足躩如也彈徒旦反留力救反司馬云⬤留伺其便也螳音堂蜋音郎執翳於計反司馬云執草以自翳也搏郭音博徐音付見乎賢遍反
異鵲從而利之見利而忘其眞	目能覩翼能逝此鳥之真性也今見利故忘之〇真司馬云真身也
莊周⬤然曰噫物固相累	相爲利者恒相爲累〇⬤敕律反
二⬤相召也	夫有欲於物者物亦有欲之
捐彈而反走虞人逐而誶之	誶問之也〇誶本又作訊音信問也司馬云以周爲盜栗也
莊周反入三月不庭藺且從而問之夫子何爲頃間甚不庭乎莊周曰吾守形而忘身	夫身在人間世有夷險⬤推夷易之形於此世而不度此世之所宜斯守形而忘身者也○三月不庭一本作三日司馬云不出坐庭中三月藺力信反一本作簡且子餘反司馬云藺且莊子弟子易以豉反度直洛反
觀於濁水而迷於清淵	見彼而不明即因彼以自見幾忘反鑒之道也〇見賢遍反
且吾聞諸夫子曰入其俗從其俗	不違其禁令也
今吾遊於雕陵而忘吾身異鵲感吾顙遊於栗林而忘真栗林虞人以吾爲戮吾所以不庭也	以見問爲戮夫莊子推平於天下故每⬤言以出意乃毀仲尼賤老聃上掊擊乎三皇下痛病其一身也〇掊普口反
陽子之宋⬤於逆旅逆旅人有妾二人其一人美其一人惡惡者貴而美者賤陽子問其故逆旅小子對曰其美者自美吾不知其美也其惡者自惡吾不知其惡也陽子曰弟子記之行賢而去自賢之行安徃而不愛哉	言自賢之道無時而可○陽子司馬云陽朱也去起吕反行下孟反
