莊子雜篇漁父第三十一	音義曰以人名篇
客悽然變容曰甚矣子之難悟也人有畏影惡迹而去之走者舉足愈數而迹愈多走愈疾而影不離身自以爲尚遲疾走不休絶力而死不知處隂以休影處靜以息迹愚亦甚矣子審仁義之間察同異之際觀動靜之變適受與之度理好惡之情和喜怒之節而幾於不免矣	悟魚據反下同本或作悟數音朔離力智反
謹脩而身愼守其眞還以物與人則無所累矣今不脩之身而求之人不亦外乎孔子愀然曰請問何謂眞客曰眞者精誠之至也不精不誠不能動人故強哭者雖悲不哀強怒者雖嚴不威強親者雖⬤不和眞悲無聲而哀眞怒未發而威眞親未⬤而和眞在内者神動於外是所以貴眞也其用於人理也事親則慈孝事君則忠貞飮酒則歡樂處䘮則悲哀	強其丈反下同樂音洛下同
忠貞以功爲主飮酒以樂爲主處䘮以哀爲主事親以適爲主功成之美無一其迹矣事親以適不論所以矣飮酒以樂不選其具矣處喪以哀無問其禮矣禮者世俗之所爲也眞者所以受於天也自然不可易也故聖人法天貴眞不拘於俗愚者反此不能法天而恤於人不知貴眞禄禄而受變於俗故不足惜哉子之蚤湛於僞而晚聞大道也	禄禄如字又音緑謂形見爲禮也司馬云録領録也蚤音早字亦作早湛丁南反下同
孔子又再拜而起曰今者丘得遇也⬤天幸然先生不羞而比之服役而身教之敢問舎所在請因受業而卒學大道	得過也謂得過失也過或作遇比如字謂親見比欲也又毗志反
客曰吾聞之可與徃者與之至於妙道不可與徃者不知其道愼勿與之身乃無咎子勉之吾去子矣吾去子矣乃刺船而去延縁葦間	刺七亦反
顔淵還車子路授綏孔子不顧待水波定不聞挐音而後敢乗	波定李云謂戰如波也案謂船行故水波去逺則波定
子路旁車而問曰由得爲役乆矣未嘗見夫子遇人如此其威也萬乗之主千乗之君見夫子未甞不分庭伉禮夫子猶有倨傲之容今漁父杖挐逆立而夫子曲要磬折言拜而應得無太甚乎門人皆怪夫子矣漁父何以得此乎	〇旁歩浪反乗繩證反下同倨音據傲五報反要一遥反折之設反
孔子伏軾而歎曰甚矣由之難化也湛於禮義有間矣而樸鄙之心至今未去	〇湛或作其
進吾語汝夫遇長不敬失禮也見賢不尊不仁也彼非至仁不能下人下人不精不得其眞故長傷身惜哉不仁之於人也禍莫大焉而由獨擅之	〇下遐嫁反下及注同
且道者萬物之所由也庶物失之者死得之者生爲事逆之則敗順之則成故道之所在聖人尊之今漁父之於道可謂有矣吾敢不敬乎	此篇言無江海而間者能下江海之士也夫孔子之所放任豈直漁父而巳哉將周流六虚旁通無外蠢動之⬤咸得盡其所懷而窮理致命固所以爲至人之道也〇間音閑⬤如兖反
