南華眞經卷第五郭象子玄註陸德明音義莊子外篇天地第十二	音義曰以事名篇
故形非道不生生非德不明存形窮生立德明道非王德者邪蕩蕩乎忽然出勃然動而萬物從之乎此謂王德之人	忽勃皆無心而應之貌動出無心故萬物從之斯蕩蕩矣故能存形窮生立德明道而成王德也
視乎冥冥聽乎無聲冥冥之中獨見曉焉無聲之中獨聞和焉	若夫視聽而不⬤之於寂則有闇昧而不和也
故深之又深而能物焉	窮其原而後能物物
神之又神#SB1_0536-009.png#pagemissing	反司馬云喫詬多力也
乃使象㒺象㒺得之黃帝曰異哉象㒺乃可以得之乎	明得眞者非用心也象罔然即眞也
堯之師曰許由許由之師曰齧缺齧缺之師曰王倪王倪之師曰⬤衣堯問於許由曰齧缺可以配天乎	謂爲天子○倪徐五⬤反⬤音披
吾藉王倪以要之	欲因其師以要而使之○要一遥反注同
許由曰殆哉圾乎天下	圾危也○圾本又作岌五急反又五合反郭李云危也
齧缺之爲人也聦明叡知給數以敏其性過人	聦敏過人則使人⬤之屢傷於人也○數音朔
而又乃以人受天	用知以求復其自然
彼審乎禁過而不知過之所由生	夫過生於聦知而又後知以禁之其過彌甚矣故曰無過在去知不在於強禁○去起吕反強其文反
與之配天乎彼且乘人而無天	若與之天下彼且遂使後世任知而失眞
方且本身而異形	夫以萬物爲本則羣變可一而異形可同斯迹也將遂使後世由已以制物則萬物乖矣○且如字凡言方且者言方將有所爲也
方且尊知而火馳	賢者當位於前則知見尊於後奔競而火馳也
方且爲緒使	將興後世事役之端
方且爲物絯	將遂使後世拘牽而制物○絯徐戸隔反廣雅公才反云束也與郭義同今用廣雅音
方且四顧而物應	將遂使後世⬤麾以動物令應工務○令力呈反
方且應衆宜	將遂使後世不能忘善而利仁以應冝也
方且與物化	將遂使後世與物相逐而不能自得於內
而未始有恒	此皆盡當時之宜也然今日受其德而明日承其弊矣故曰未始有恒
夫何足以配天乎雖然有族有祖	其事⬤可得而祖效
可以爲衆父而不可以爲衆父父	衆父父者所以迹也
治亂之率也	言非但治主乃爲亂率○治直吏反注同率色⬤反注同又色律反
北靣之禍也	夫桀紂非能殺賢臣乃頼聖知之迹以禍之
南靣之賊也	田恒非能殺君乃資仁義以賊之○殺音試本又作弑音同
堯觀乎華華封人曰嘻聖人請祝聖人使聖人壽堯曰辭使聖人富堯曰辭使聖人多男子堯曰辭封人曰壽富多男子人之所欲也女獨不欲何邪堯曰多男子則多懼富則多事壽則多辱是三者非所以養德也故辭封人曰始也我以女爲聖人邪今然君子也天生萬民必授之職多男子而授之職則何懼之有	物皆得所而志定也○華胡化反又胡花反司馬云地名也封人司馬云守封疆人也嘻音熈祝之又反又州六反女音汝後同
富而使人分之則何事之有	寄之天下故無事也
夫聖人鶉居	無意而其安也○鶉音淳居鶉居謂無常處也又云如鶉之居猶言野處
而鷇食	仰物而足○鷇口豆反食爾雅云主哺鷇鷇食者言仰物而足也
鳥行而無彰	率性而動非常迹也
天下有道則與物皆昌	猖狂⬤行而自⬤大方也
天下無道則脩德就間	雖湯武之事苟順天應人未爲不間也故無爲而無不爲者非不間也○間音閑注同
千歲厭世去而上僊	夫至人極壽命之長任窮理之變其生也天行其死也物化故云厭世而上僊也僊音仙
乗彼白雲至于帝鄕	氣之散無不之
三患莫至身常無殃則何辱之有封人去之堯隨之曰請問封人曰退已堯治天下伯成子高立爲諸侯堯授舜舜授禹伯成子高辭爲諸侯而耕禹往見之則耕在野禹趨就下風立而問焉曰昔堯治天下吾子立爲諸侯堯授舜舜授予而吾子辭爲諸侯而耕敢問其故何也子高曰昔堯治天下不賞而民勸不罰而民畏今子賞罰而民且不仁德自此衰刑自此立後世之亂自此始矣夫子闔行邪無落吾事俋俋乎耕而不顧	夫禹時三聖相承治成德備功美漸去故史籍無所載仲尼不能間是以雖有天下而不與焉斯乃有而無之也故考其時而禹爲最優計其人則雖三聖故一堯耳時無聖人故天下之心俄然歸啓夫至公而居當者付天下於百姓取與之非巳故失之不求得之不辭忽然而往侗然而來是以受非毀於廉節之士而名列於三王未足怪也莊子因斯以明堯之弊弊起於堯而釁成於禹况後世之無聖乎⬤逺迹於子高便棄而不治將以絶聖而反一遺知而寧極耳其實則未聞也夫莊子之言不可以一⬤詰或以黃帝之迹秃堯舜之脛豈獨貴堯而賤禹哉故當遺其所⬤而錄其絶聖棄知之意焉○伯成子高通變經云老子從此天地⬤闢以來吾身一壬三百變後世得道伯成子高是也闔本亦作盍胡臘反落猶發也俋俋徐於執反徐直立反李云耕貌一云耕人行貌又音秩又於十反字林云勇壯貌治直吏反間間厠之間與音預同音洞又音同
泰初有無無有無名	無有故無所名○泰初易⬤云氣之始也
一之所起有一而未形	一者有之⬤至妙者也至妙故未有物理之形耳夫一之所起起於至一非起於無也然莊子之所以屢稱無
#SB1_0536-018.png#pagemissing	合於喙鳴○喙丁豆反又充芮喜穢二反
喙鳴合與天地爲合	天地亦無心而自動
其合緡緡若愚若昬	坐忘而自合耳非照察以合之○緡咸巾反
是謂玄德同乎大順	德玄而所順者大矣
夫子問于老聃曰有人治道若相放可不可然不然	若相放效強以不可爲可不然爲然斯矯其性情也○夫子仲尼也相放甫狂反注同本亦作方如字又甫往反強其兩反
辯者有言曰離堅白若縣㝢	言其高顯易見○縣音玄㝢音字司馬云辯明白若縣室在人前也易以䜴反
若是則可謂聖人乎老聃曰是胥易技係勞形⬤心者也執留之狗成思猨狙之便自山林來	言此皆失其常然也○技其綺反執留如字本又作留音同一本作狸亦如字司馬云狸竹䑕也一云執留之狗謂有能故⬤留係成愁思也猨音⬤狙七徐反便婢靣反徐扶靣反司馬云言便捷見捕
丘予告若而所不能聞與而所不能言凡有首有趾無心無耳者衆	首趾猶始終也無心無耳言其自化
有形者與無形無狀而皆存者盡無	言有形者善變不能與無形無狀者並存也故善治道者不以故自持也將順日新之化而巳
其動止也其死生也其廢起也此又非其所以也	此言動止死生盛衰廢興未始有恒皆自然而然非其所用而然故放之而自得也
有治在人	不在乎主自用
忘乎物忘乎天其名爲忘巳	天物皆忘非獨忘巳復何所有哉○復扶又反
忘已之人是之謂入於天	人之所不能忘者巳也巳猶忘之又奚識哉斯乃不識不知而冥於自然
將閭葂見季徹曰魯君謂葂也曰請受教辭不獲命旣已告矣未知中否請嘗薦之吾謂魯君曰必服恭儉抜出公忠之屬而無阿私民孰敢不輯季徹局局然⬤曰若夫子之言於帝王之德猶螳蜋之怒臂以當車軼則必不勝任矣	必服恭儉非忘儉而儉也抜出公忠非忘忠而忠也故雖無阿私而不足以勝矯詐之任也○將一本作蔣閭萬於反葂字亦作莬音免又音晚郭音同蔣閭莬人姓名也一云姓蔣閭名葂或云姓蔣名閭葂也季徹人姓名也蓋季氏之族魯君或云定公中丁仲反輯音集爾雅曰和也又側立反郭思魚反局局其玉反一云大⬤之貌螳蜋音堂郎軼音轍勝音升注同
且若是則其自爲處危其觀臺	此皆自處高顯若臺觀之可覩也○處其據反本又作處觀古亂反注同
多物將往	將使物不止於本性之分而矯⬤自多以附之
投迹者衆	亢足投迹不安其本歩也
蔣閭葂覤覤然驚曰葂也汒若於夫子之所言矣雖然願先生之言其風也季徹曰大聖之治天下也搖蕩民心使之成教易俗舉滅其賊心而皆進其獨志若性之自爲而民不知其所由然	夫志各有趣不可相效也故因其自揺而揺之則雖揺而非爲也因其自蕩而蕩之則雖蕩而非動也故其賊心自㓕獨志自進教成俗易悶然無迹履性自爲而不知所由皆云我自然矣舉皆也○覤許逆反又生責反或云驚懼之貌汒本或作芒武剛反郭武蕩反悶音門
若然者豈兄堯舜之教民溟涬然弟之哉	溟涬甚貴之謂也不肯多謝堯舜而推之爲兄也○兄元嘉本作足溟亡頂反涬戸頂反
欲同乎德而心居矣	居者不逐於外也心不居則德不同也
子貢南遊於楚反於⬤過漢隂見一丈人方將爲圃畦鑿隧而入井抱甕而出灌搰搰然用力甚多而見功寡子貢曰有械於此一日浸百畦用力甚寡而見功多夫子不欲乎爲圃者卬而視之曰奈何曰鑿木爲機後重前輕挈水若抽數如泆湯其名爲橰爲圃者忿然作色而⬤曰吾聞之吾師有機械者必有機事有機事者必有機心機心存於胷中則純白不備純白不備則神生不定神生不定者道之所不載也吾非不知羞而不爲也	夫用時之所用者乃純備也斯人欲脩純備而抱一守古失其㫖也○圃布戸反又音布園也李云菜⬤曰圃畦戸圭反李云呼中曰畦⬤文云五十畒曰畦隧音遂李云道也甕鳥送反字林作瓮搰苦骨反徐李苦滑反郭忽滑反用力貌一音胡没反械戶戒反字林作械李云器械也浸子鴆反司馬云灌也卬音抑本又作仰挈口節反抽敕留反李云引也司馬崔本作流數所角反徐所錄反泆湯音逸本或作溢李云疾速如湯沸溢也司馬本作佚蕩亦言其往來數疾如佚蕩佚蕩唐佚也橰本又作橋或作臯同音羔徐居橋反司馬李云桔橰也吾師謂老子也
子貢瞞然慙俯而不對有間爲圃者曰子奚爲者邪曰孔丘之徒也爲圃者曰子非夫博學以擬聖於于以蓋衆獨弦哀歌以賣名聲於天下者乎汝方將忘汝神氣墮汝形骸而庶幾乎	不忘不墮則無庶幾之道○瞞武版反又亡安反字林云目皆平貌李天典反慙貌一音門又亡于反司馬本作撫音武崔本作撫於于並如字本或作於吁音同司馬云夸誕貌一云行仁恩之貌蓋司馬本作善墮許規反
而身之不能治而何暇治天下乎子往矣無乏吾事子貢卑陬失色頊頊然不自得行三十里而後愈其弟子曰向之人何爲者邪夫子何故見之變容失色終日不自反邪曰始吾以爲天下一人耳	謂孔子也○乏廢也陬走侯反徐側留反李云卑陬愧懼貌一云顔色不自得也頊頊本又作旭旭許玉反李云自失貌向許亮反本又作郷音同後倣此
不知復有夫人也吾聞之夫子事求可功求成用力少見功多者聖人之道	聖人之道即用百姓之心耳○復扶又反夫音符下夫人同
今徒不然執道者德全德全者形全形全者神全神全者聖人之道也託生與民並行而不知其所之汒乎淳備哉功利機巧必忘夫人之心	此乃聖王之道非夫人也子貢聞其假脩之⬤而服之未知純白者之同乎世也○汒莫剛反心或作道
若夫人者非其志不之非其心不爲雖以天下譽之得其所謂謷然不顧以天下非之失其所謂儻然不受天下之非譽無益損焉是謂全德之人哉我之謂風波之民	此宋榮子之徒未足以爲全德子貢之迷没於此人即若列子之心醉於季咸也○譽音餘下同謷五羔反司馬本作謷儻本亦作精司馬本作㒉同勑蕩反郭此更反
反於魯以吿孔子孔子曰彼假脩渾沌氏之術者也	以其背今向古修爲世事故知其非眞渾沌也○渾胡本反沌徒本反背音佩
識其一不知其二	徒識修古抱灌之朴而不知因時任物之易也○易以䜴反
治其內而不治其外	夫眞渾沌都不治也豈以外內爲異而偏有所治哉
夫明白入素無爲復朴體性抱神以遊世俗之間者汝將固驚邪	此眞渾沌也故與世同波而不自失則雖遊於世俗而泯然無迹豈必使汝驚哉
且渾沌氏之術予與汝何足以識之哉	在彼爲彼在此爲此渾沌玄同孰識之哉所識者常識其迹耳
諄芒將東之大壑適遇⬤風於東海之濱⬤風曰子將奚之曰將之大壑曰奚爲焉曰夫大壑之爲物也注焉而不滿酌焉而不竭吾將遊焉⬤風曰夫子無意于橫目之民乎願聞聖治諄芒曰聖治乎官施而不失其冝抜舉而不失其能畢見其情事而行其所爲	皆因而任之○諄郭之倫反又述倫反芒本或作汒武剛反李云望之諄諄察之芒芒故曰諄芒一云姓名也或云霧氣也壑火各反李云大壑東海也⬤風本亦作宛徐於阮反李云小貌謂遊世俗也一云⬤風姓名一云扶搖大風也濵音賓酌一本作取橫目之民李云倮虫之屬欲令其治之也聞本或依司馬云作問下同治直吏反下皆同施始支反又始智反司馬云施政布教各得其宜
行言自爲而天下化	使物爲之則不化也
手撓顧指四方之民莫不俱至此之謂聖治	言其指麾顧眄而民各至其性也任其自爲故○手撓而小反又而了反司馬云動也一云謂指麾四方也顧指如字向云顧指者言指麾顧盻而治也或音頥本亦作頥以之反謂舉頥指麾也
願聞德人曰德人者居無思行無慮	率自然耳
不藏是非美惡	無是非於胷中而任之天下○惡烏路反
四海之內共利之之謂恱共給之之爲安	無自私之懷也
怊乎若嬰兒之失其母也儻乎若行而失其道也財用有餘而不知其所自來飮食取足而不知其所從此謂德人之容	德者神人迹也故曰容○怊音超字林云悵也徐尺遥反郭音條儻敕黨反司馬本作容牟凶反或云依注當作客
願聞神人	願聞所以迹也
曰上神乗光與形㓕亡	乗光者乃無光
此謂照曠	無我而任物空虚無所攘者非闇塞也
致命盡情天地樂而萬事銷亡	情盡命至天地樂矣事不妨樂斯無事矣○樂音洛注同銷徐音消
萬物復情此之謂混冥	情復而混冥無迹也○混胡本反
門無⬤與赤張滿稽觀於武王之師赤張滿稽曰不及有虞氏乎故離此患也門無⬤曰天下均治而有虞氏治之邪其亂而後治之與	言二聖俱以亂故治之則揖讓之與用師直是時異耳未有勝⬤於其間也○門無⬤司馬本作無畏云門姓無畏字也滿本或作蒲稽古奚反李云門赤張氏也無⬤滿稽名也治直吏反下及注均治並同與音餘本又作邪
赤張滿稽曰天下均治之爲願而何計以有虞氏爲	均治則願各足矣復何爲計有虞氏之德而推以爲君哉許無⬤之言是也○復扶又反下章注同
有虞氏之藥瘍也	天下皆患創亂故求虞氏之藥○瘍音羊李云頭創也言創以喻亂求虞氏薬治之司馬云疵瘍也創⬤良反
秃而施髢病而求醫孝子操藥以脩慈父其色燋然聖人羞之	明治天下者非以爲榮○秃吐木反髢大細反司馬云髲也又吐帝反郭音毛李云髦髮也操七刀反燋將遙反又音撨
至德之世不尙賢	賢當其位非尚之也
不使能	能者自爲非使之也
上如標枝	出物上而不自高也○標方小反徐方遥方又方妙反言樹標之枝無心在上也
民如野鹿	放而自得也
端正而不知以爲義相愛而不知以爲仁實而不知以爲忠當而不知以爲信	率性自然非由知也
蠢動而相使不以爲賜	用其自動故動而不謝○蠢郭處允反動也
是故行而無迹	王能任其自行故無迹也
事而無傳	各止其分故不傳敎於彼也○傳文專反
孝子不䛕其親忠臣不諂其君臣子之盛也親之所言而然所行而善則世俗謂之不肖子君之所言而然所行而善則世俗謂之不肖臣而未知此其必然邪	此直違俗而從君親故俗謂不肖耳未知至當正在何許○䛕羊朱反郭貽附反諂敕檢反肖音⬤
世俗之所謂然而然之所謂善而善之則不謂之道䛕之人也然則俗故嚴於親而尊於君邪	言俗不爲尊嚴於君親而從俗俗不謂之諂明尊嚴不足以服物則服物者更在於從俗也是以聖人未甞獨異於世必與時消息故在皇爲皇在王爲王豈有背俗而用我哉○之道音導下同背音佩
謂已道人則勃然作色謂已䛕人則怫然作色	世俗遂以多同爲正故謂之道䛕則作色不受○勃歩忽反謂巳䛕人本多作衆人下同司馬云衆人凡人也怫符弗反郭敷謂反
而終身道人也終身䛕人也	亦不問道理期於相善耳
合譬飾辭聚衆也是終始本末不相坐	夫合譬飾辭應受道䛕之罪而世復以此得人以此聚衆亦爲從俗者⬤不見罪坐也○坐才臥反注同
垂衣裳設采色動容貌以媚一世而不自謂道䛕與夫人之爲徒通是非而不自謂衆人愚之至也	世皆至愚乃更不可不從○夫音符
知其愚者非大愚也知其惑者非大惑也大惑者終身不解大愚者終身不靈	夫聖人道同而帝王殊迹者誠世俗之惑不可解故隨而任之○解音蟹又佳買反不靈本又作無靈司馬云靈曉也
三人行而一人惑所適者猶可致也惑者少也二人惑則勞而不至惑者勝也而今也以#SB1_0536-039.png#pagemissing適不得矣	各自信據故不知所之○以二缶鍾⬤應作垂鍾應作踵言垂脚空中必不得有之適也司馬本作二垂鍾云鍾注意也適司馬云至也
而今也以天下惑予雖有祈嚮其庸可得邪知其不可得也而強之又一惑也故莫若釋之而不推	即而同之○強其丈反下注同
不推誰其比憂	趣令得當時之適不強推之令解也則相與無憂於一世矣○比毗至反司馬本作鼻云始也令力呈反下同解音蟹
厲之人夜半生其子遽取火而視之汲汲然唯恐其似巳也	厲惡人也言天下皆不願爲惡及其爲惡或迫於苛役或迷而失性耳然迷者自思復而厲者自思善故我無爲而天下自化○厲音頼又如字遽巨據反本或作蘧音同汲音急苛音何
百年之木破爲犧樽靑黃而文之其斷在溝中比犧樽於溝中之斷則美惡有間矣其於失性一也跖與曾史行義有間矣然其失性均也且夫失性有五一曰五色亂目使目不明二曰五聲亂耳使耳不聦三曰五臭薫鼻困惾中顙四曰五味濁口使口厲爽五曰趣舍滑心使性飛揚此五者皆生之害也而楊墨乃始離⬤自以爲得非吾所謂得也夫得者困可以爲得乎則鳩鴞之在於籠也亦可以爲得矣且夫趣舍聲色以柴其內皮弁鷸冠搢笏紳脩以約其外內支盈於柴柵外重纆繳睆睆然在纆繳之中而自以爲得則是罪人交臂歷指而虎豹在於囊檻亦可以爲得矣	○犧音羲又素河反斷徒亂反下同本或作故困如字本或作悃音同惾子公反郭音俊又素奏反李云困惾猶刻賊不通也中丁仲反顙桑蕩反濁本又作噣音同滑李音骨本亦作噣離力智反⬤丘䜴反鷸尹必反徐音述本又作音同鳥名也一名翠似燕紺色出鬱林取其羽毛以飾冠笏音忽紳音申帶也柵楚格反郭音策重直龍反纆音墨繳音灼郭古弔反睆睆環版反李云窮視貌一云眠目貌交臂歷指司馬云交臂反縛也歷指猶歷樓貌檻戸覽反
