莊子外篇馬蹄第九	音義曰舉事以名篇
#?治天下者不然	以不治治之乃善治也
彼民有常性織而衣耕而食是謂同德	夫民之德小異而大同故性之不可去者衣食也事之不可廢者耕織也此天下之所同而爲本者也守斯道者無爲之至也○去羗吕反
一而不黨命曰天放	放之而自一耳非黨也故謂之天放○放如字崔本作牧云養也
故至德之世其行塡塡其視顚顚	此自足於內無所求及之貌○塡塡徐音田又徒偃反質重貌崔云重遲也一云詳徐貌淮南作莫莫顚顚丁田反崔云專一也淮南作溟溟
當是時也山無蹊隧澤無舟梁	不求非望之利故止於一家而足○蹊徐音兮李云
#SB1_0535-098.png	徑也隧徐音遂崔云道也
萬物羣生連屬其鄕	混芒而同得也則與一世而淡漠焉豈國異而家殊也○連屬其鄕王云旣無國異家殊故其鄕連屬混胡本反芒莫剛反淡徒暫反漠音莫
禽獸成羣草木遂長	足性而止無呑夷之欲故物全○長丁丈反又直良反吞敕恩反又音夭
是故禽獸可係羈而遊鳥鵲之巢可攀援而闚	與物無害故物馴也○攀本又作扳普班反援音⬤廣雅云牽也引也闚去規反馴似遵反或音純
夫至德之世同與禽獸居族與萬物並惡乎知君子小人哉同乎無知其德不離	知則離道以善也○惡音烏離力智反注皆同
同乎無欲是謂素樸	欲則離性以飾也○樸普剥反
素樸而民性得矣	無煩乎知欲也重意老三章常使民無知無欲
及至聖人	聖人者民得性之迹耳非所以迹也此云及至聖人猶云及至其迹也
蹩躠爲仁踶跂爲義而天下始疑矣澶漫爲樂摘僻爲禮而天下始分矣	夫聖迹旣彰則仁義不眞而禮樂離性徒得形表而巳矣有聖人即有斯弊吾若是何哉○蹩歩結反向崔本作弊音同躠本又作薛悉結反向崔本作殺音同又音素⬤反踶直氏反向同崔音緹跂丘氏反一音吕氏反崔音枝李云蹩躠踶⬤皆用心爲仁義之貌澶本又作澶徒旦反又吐旦反向崔本作但音憚漫武半反向崔本作曼音同李云澶漫猶縱逸也崔云但曼⬤⬤也一云澶漫牽引也摘敕歷反又渉革反辟匹壁反向音檗徐敷歷反李父歷反本或作僻音同李云紏擿邪辟而爲禮也一音婦赤反法也崔云擿辟多節分如字下分皆同
故純樸不殘孰爲犧樽白玉不毀孰爲珪璋道德不廢安取仁義性情不離安用禮樂五色不亂孰爲文采五聲不亂孰應六律	凡此皆變樸爲華弃本崇末於其天素有殘廢矣世雖貴之非其貴也○犧尊音羲尊或作樽司馬云畫犧牛象以飾樽也王肅云刻爲牛頭鄭玄云畫鳳凰羽飾尊婆娑然也音先河反珪璋音章李云皆器名也銳上方下曰珪半珪曰璋情性不離如字別離也
夫殘樸以爲器工匠之罪也毀道德以爲仁義聖人之過也	工匠則有規矩之制聖人則有可尚之迹
夫馬陸居則食草飲水喜則交頸相靡怒則分背相踶馬知已此矣	御其眞知乗其自陸則萬里之路可致而羣馬之性不失○頸領也居郢反又祁盈反靡如字李云摩也一云愛也踶大計反又徒⬤反又徒祁反李云踶謂也廣雅字韻聲⬤並同通俗文云小謂之踶知李音智下同
夫加之以衡扼齊之以月題而馬知介倪闉扼鷙曼詭銜竊轡故馬之知而能至盗者伯樂之罪也	馬性不同而齊求其用故有力竭而熊作者○扼於革反衡轅前横木縛軛者也扼又馬頸者也月題徒兮反司馬崔云馬額上當顱如月形者也介徐古八反倪徐五圭反郭五第反李云介倪猶脾倪也崔云介出俾倪也闉音因鷙徐敕二反郭音躓曼武半反郭武諌反李云闉曲也鷙抵也曼突也崔云闉扼鷙曼距扼頓遲也司馬云言曲頸於扼以抵突也一云鷙曼旁出也詭九彼反銜口中勒也或云詭銜吐出銜也竊轡齧轡也崔云詭銜竊轡戾銜撅盗艱轡也熊吐代反
夫赫胥氏之時民居不知所爲行不知所之含哺而熈鼔腹而遊民能以此矣	此民之眞能也○赫本或作呼百反胥氏司馬云赫胥氏上古帝王也一云有赫然之德使民胥附故曰赫胥蓋炎帝也哺音歩○
及至聖人屈折禮樂以匡天下之形縣⬤仁義以慰天下之心而民乃始踶⬤好知爭歸於利不可止也此亦聖人之過也	其過皆由乎迹之可尚也○縣音玄踶直氏反⬤丘氏反好呼報反知音智
