春秋經傳集解昭四第二十三杜氏盡十七年經十有三年春叔弓帥師圍費	不書南蒯以費叛不以告廟費音秘
以入楚及郊陳蔡欲爲名故請爲武軍	欲築壘壁以示後人爲復讎之名壘力軌切壁本亦作辟音壁
蔡公知之曰欲速且役病矣請藩而巳乃藩爲軍	藩籬也藩方元切籬本亦作離力知切
蔡公使須務牟與史猈先入因正僕人殺大子禄及公子罷敵	須務牟史猈楚大夫蔡公之黨也正僕大子之近官牟亡侯切猈皮皆切徐扶蟹切又扶移切或扶瞻切本或作􁇳音同罷音皮徐甫綺切又蒲買切
公子比爲王公子黒肱爲令尹次于魚陂	竟陵縣城西北有甘魚陂陂彼冝切
公子棄疾爲司馬先除王宫使觀從從師于乾谿而遂告之	從乾谿之師告使叛靈王
且曰先歸復所後者劓	劓截鼻劓魚器切
師及訾梁而潰	靈王還至訾梁而衆散訾子斯切潰戸内切
王聞羣公子之死也自投于車曰人之愛其子也亦如余乎侍者曰甚焉小人老而無子知擠于溝壑矣	擠隊也擠子細切說文云排也又子禮切壑許各切隊直類切
王曰余殺人子多矣能無及此乎右尹子革曰請待于郊以聽國人	聽國人之所與
王曰衆怒不可犯也曰若入於大都而乞師於諸侯王曰皆叛矣曰若亡於諸侯以聽大國之圖君也王曰大福不再祗取辱焉然丹乃歸于楚	然丹子革棄王而歸楚祗音支
王㳂夏將欲入鄢	夏漢别名順流爲㳂順漢水南至鄢㳂以全切夏戸雅切鄢徐於建切又於晚切入本又作至
芋尹無宇之子申亥曰吾父再奸王命	謂斷王旌執人於章華宮芋于付切徐又音羽奸音于斷丁管切
王弗誅惠孰大焉君不可忍惠不可棄吾其從王乃求王遇諸棘闈以歸	棘里名闈門也闈音韋孔晁云棘楚邑闈巷門
夏五月癸亥王縊于芋尹申亥氏	癸亥五月二十六日皆在乙卯丙辰後傳終言之經書四月誤縊一䜴切
申亥以其二女殉而葬之觀從謂子干曰不殺棄疾雖得國猶受禍也子干曰余不忍也子玉曰人將忍子	子王觀從殉似俊切謂子干曰本或作謂子干
吾不忍俟也乃行國毎夜駭曰王入矣	相恐以靈王也駭户楷切恐丘勇切
乙卯夜棄疾使周走而呼曰王至矣	周徧也乙卯十八日呼好故切徧音遍
國人大驚使蔓成然走告子干子晳曰王至矣國人殺君司馬將來矣	司馬謂棄疾也言司馬見殺以恐子干
君若早自圖也可以無辱衆怒如水火焉不可爲謀又有呼而走至者曰衆至矣二子皆自殺	不書弒君位未定也弑申志切
丙辰棄疾即位名曰熊居葬子干干訾實訾敖	不成君無號謚者楚皆謂之敖熊音雄
殺囚衣之王服而流諸漢乃取而葬之以靖國人使子旗爲令尹	子旗蔓成然衣於旣切旗音其
〇楚師還自徐	前年圍徐之師
具人敗諸豫章獲其五師	定二年楚人伐呉師于豫章具人見舟于豫章而潜師于巢以軍楚師於豫章又柏舉之役呉人舎舟于淮汭而自豫章與楚夾漢此皆當在江北淮水南蓋後徙在江南豫章帥所類切謂蕩侯潘子司馬裻嚻尹午陵尹喜五人見賢遍切汭如銳切
〇平王封陳蔡復遷邑	復九年所遷邑
致羣賂	始舉事時所貨賂賂音路
施舎寛民宥罪舉職	舉職脩廢宫宥音又
召觀從王曰唯爾所欲	觀從敎子干殺棄疾棄疾今召用之明在君爲君之義爲于僞切
對曰臣之先佐開卜乃使爲卜尹	佐卜人開龜兆
使枝如子躬聘于鄭且致犫櫟之田	犫櫟本鄭邑楚中取之平王新立故還以賂鄭櫟力狄切
事畢弗致	知鄭自說服不復須賂故說音恱復扶又切下復使同
鄭人請曰聞諸道路將命寡君以犫櫟敢請命對曰臣未聞命旣復王問犫櫟降服而對	降服如今解冠也謝違命
曰臣過失命未之致也王執其手曰子母勤姑歸不榖有事其告子也	王善其有權有事將復使之毋音無
他年芋尹申亥以王柩告乃改葬之𥘉靈王卜曰余尚得天下	尚庶幾柩其乆切
不吉投龜詬天而呼曰是區區者而不余卑	區區小天下詬本又作訽呼豆切徐許后切呼火故切卑必利切徐甫至切與也
余必自取之民患王之無厭也故從亂如歸𥘉共王無冢適	冢大也厭於鹽切共音恭適丁歷切下無適同
有寵子五人無適立焉乃大有事于羣望	羣望星辰山川
而祈曰請神擇於五人者使主杜稷乃徧以璧見於羣望曰當璧而拜者神所立也誰敢違之旣乃與巴姬密埋璧於大室之庭	巴姬共王妾大室祖廟徧音遍見賢遍切下注微見同巴必加切埋亡皆切大音㤗
使五人齊而長入拜	從長幼以次拜齊側皆切本又作齋長丁丈切
康王跨之	過其上也跨苦化切
靈王肘加焉子干子晳皆逺之平王弱抱而入再拜皆厭紐	微見璧細以爲審識肘中九切逺于萬切厭於甲切徐於輒切紐女九切識申志切又如字
鬪韋龜屬成然焉	知其將立故託其子屬音燭
且曰棄禮之芉姓有亂必季實立楚之常也獲神一也	當璧拜芈彌爾切
有民二也	民信之
令德三也	無苛慝
寵貴四也	貴妃子
居常五也	棄疾季
有五利以去五難誰能害之子干之官則右尹也數其貴寵則庶子也以神所命則又逺之其貴亡矣	位不尊去起吕切數所主切逺于萬切亡音無又如字
其寵棄矣	父旣没故
民無懷焉	非令德
國無與焉	無内主
將何以立宣子曰齊桓晉文不亦是乎	皆庶賤
對曰齊桓衛姬之子也有寵於僖	衛姬齊僖公妾
有鮑叔牙賔須無隰朋以爲輔佐有莒衛以爲外主	齊桓出奔莒衛有舅氏之助
有國髙以爲内主	國氏髙氏齊上卿
從善如流	言其疾也
下善齊肅	齊嚴也肅敬也下遐嫁切齊側皆切
不藏賄	清也賄呼罪切
不從欲	儉也從子用切
施舎不倦	施舎猶言布恩德
求善不厭是以有國不亦冝乎我先君文公狐季姬之子也有寵於獻好學而不貳	言篤志厭於豔切好呼報切
生十七年有士五人	狐偃趙衰顚頡魏武子司空季子五士從出衰初危切頡戸結切從才用切
有先大夫子餘子犯以爲腹心	子餘趙衰子犯狐偃
有魏犫賈佗以爲股肱	魏犫魏武子也稱五人而說四士賈佗又不在本數蓋叔向所賢佗徒河切
有齊宋秦楚以爲外主	齊妻以女宋贈以馬楚王享之秦伯納之妻七計切
有欒卻狐先以爲内主	謂欒枝郤縠狐突先軫也欒魯官切郤去逆切縠戸木切
亡十九年守志彌篤惠懷棄民	惠公懷公不恤民也
民從而與之獻無異親民無異望	獻公之子九人唯文公在
天方相晉將何以代文此二君者異於子于共有寵子國有奥主	謂棄疾也相息亮切共音㳟奥烏報切
無施於民無援於外去晉而不送歸楚而不逆何以兾國	傳言子千所以蒙弑君之名棄疾所以得國施式豉切
〇晉成虒祁	在八年虒音斯
諸侯朝而歸者皆有貳心	賤其奢也
爲取郠故	取郠在十年爲于僞切郠工杏切
晉將以諸侯來討叔向曰諸侯不可以不示威	知晉德薄欲以威服之
乃並徵會告于呉秋晉侯會呉子于良	下邳有良城縣邳皮悲切
水道不可呉人辭乃還	辭不會
七月丙寅治兵于邾南甲車四千乗	三十萬人乗繩證切下及注同
羊舌鮒攝司馬	鮒叔向弟也攝兼官鮒音附
遂合諸侯于平丘子産子大叔相鄭伯以會子産以幄幕九張行	幄幕軍旅之帳幄於角切幕音莫四合象宫室曰幄在上曰幕
子大叔以四十旣而悔之毎舎損焉及會亦如之	亦九張也傳言子産之適冝大叔之從善
次于衛地叔鮒求貨於衛淫芻蕘者	欲使衛患之而致貨芻初俱切說文云刈草也蕘如遥切飼牲日芻草薪曰蕘
衛人使屠伯饋叔向羹與一篋錦	屠伯衛大夫屠音徒饋其位切篋苦協切
曰諸侯事晉未敢攜貳況衛在君之宇下	屋字之下喻近也
而敢有異志芻蕘者異於他日敢請之	請止之
叔向受羹反錦	受羹示不逆其意且非貨
曰晉有羊舌鮒者瀆貨無厭	瀆數也瀆徒木切厭於鹽切數音朔
亦將及矣	將及禍
爲此役也	役事也爲如字或于僞切
子若以君命賜之其巳容從之未退而禁之	禁芻蕘者
晉人將㝷盟齊人不可	有貳心故
晉侯使叔向告劉獻公	獻公王卿士劉子
曰抑齊人不盟若之何對曰盟以厎信	厎致也厎音旨
君苟有信諸侯不貳何患焉告之以文辭董之以武師雖齊不許君庸多矣	董督也庸功也討之有辭故功多也
天子之老請帥王賦元戎十乗以先啓行	天子大夫稱老元戎戎車在前者啓開也行道也
遲速唯君	欲佐晉討齊
叔向告于齊曰諸侯求盟巳在此矣今君弗利寡君以爲請對曰諸侯討貳則有㝷盟若皆用命何盟之㝷	託用命以拒晉
叔向日國家之敗有事而無業事則不經	業貢賦之業
有業而無禮經則不序	須禮而有次字
有禮而無威序則不共	禮須威嚴而後共
有威而不昭共則不明	威須昭告神明而後信義著
不明棄共百事不終所由傾覆也	信義不明則棄威不威棄禮無禮無經無經無業故百事不成覆芳服切
是故明王之制使諸侯歳聘以志業	志識也歳聘以脩其職業
間朝以講禮	三年而十朝正班爵之義率長幼之序間間廁之間長丁丈切
再朝而會以示威	六年而一會以訓上下之則制財用之節
再會而盟以顯昭明	十二年而一盟所以昭信義也凡八聘四朝再會王一巡守盟于方嶽之下守手又切嶽音岳
志業於好	聘也好呼報切
講禮於等	朝也
示威於衆	會也
昭明於神	􁋼也
自古以來未之或失也存亡之道恒由是興晉禮主盟	依先王先公舊禮主諸侯盟
懼有不治奉承齊犧	齊盟之犧牲治直吏切舊如字犧許宜切
而布諸君求終事也	終竟也
君曰余必廢之何齊之有唯君圖之寡君聞命矣齊人懼對曰小國言之大國制之敢不聽從旣聞命矣敬共以往遲速唯君叔向曰諸侯有間矣	間隙也
不可以不示衆八月辛未治兵	習戰
建而不旆	建立旌旗不曳其旆旆游也旆歩貝切
壬申復旆之諸侯畏之	軍將戰則旆故曳旆以恐之復扶又切恐丘勇切
邾人莒人愬干晉曰魯朝夕伐我幾亡矣	自昭公即位邾魯同好又不朝夕伐莒無故怨愬晉人信之所謂讒慝弘多愬音素朝夕如字幾音祈
我之不共魯故之以	不共晉貢以魯故也共音恭下同
晉侯不見公使叔向來辭曰諸侯將以甲戍盟寡君知不得事君矣請君無勤	託謙辭以絶魯
子服惠伯對曰君信蠻夷之訴	蠻夷謂邾莒
以絶兄弟之國棄周公之後亦唯君寡君聞命矣叔向曰寡君有甲車四千乗在雖以無道行之必可畏也況其率道其何敵之有牛雖瘠僨於豚上其畏不死	僨仆也瘠在亦切僨方問切仆音付又蒲北切
南蒯子仲之憂其庸可棄乎	棄猶忘也
若奉晉之衆用諸侯之師因邾莒𣏌鄫之怒	四國近魯數以小事相忿鄫巳滅其民猶存故并以恐魯鄫才陵切近附近之近數音朔
以討魯罪間其二憂	因南蒯子仲二憂爲間隙
何求而弗克魯人懼聽命	不敢與盟與音預下不與同
甲戍同盟于平丘齊服也	經所以稱同
令諸侯日中造于除	除地爲壇盟會處造七報切壇本或作墠音善處昌慮切
癸酉退朝	先盟朝晉先悉薦切
子産命外僕速張於除	張幄幕
子大叔止之使待明日及夕子産聞其未張也使速往乃無所張矣	地巳滿也傳言子産毎事敏於大叔
及盟子産爭承	承貢賦之次
曰昔天子班貢䡖重以列	列位也
列尊貢重周之制也	公侯地廣故所貢者多
卑而貢重者甸服也	甸服謂天子畿内共職貢者
鄭伯男也而使從公侯之貢	言鄭國在甸服外爵列伯子男不應岀公侯之貢
懼弗給也敢以爲請諸侯靖兵好以爲事	靖息也好呼報切
行理之命	行理使人通聘問者使所吏切
無月不至貢之無藝	藝法制
小國有闕所以得罪也諸侯脩盟存小國也貢獻無極亡可待也存亡之制將在今矣自日中以爭至于昏晉人許之旣盟子大叔咎之日諸侯若討其可瀆乎	瀆易也各其九切易以䜴切
子産曰晉政多門	政不出一家
貳偷之不暇何暇討	貳不壹偷苟且
國不競亦陵何國之爲	不競爭則爲人所侵陵不成爲國爭爭鬪之爭下爭競同
公不與盟	信邾莒之訴欲討魯故
晉人執季孫意如以幕蒙之	蒙裹也裹音果
使狄人守之司鐸射	魯大夫鐸待洛切射食亦切又食夜切
懷錦奉壷飲冰以蒲伏焉守者御之乃與之錦而入	蒲伏竊往飲季孫水箭筩蓋可以取飲奉芳勇切蒲本又作匍同歩都切又音扶本亦作扶伏本又作匐同蒲北切又音服守手又切又如字御魚吕切飲於鴆切筩音童又音勇
晉人以平子歸子服湫從	湫子服惠伯從至晉湫子小切徐音椒又子烏切案子服湫又作子服椒云一人耳從才用切
子産歸未至聞子皮卒哭且曰吾巳	巳猶㳏竟
無爲爲善矣唯夫子知我	言子皮知己之善
仲尼謂子産於是行也足以爲國基矣詩曰樂旨君子邦家之基	詩小雅言樂與君子爲治乃國家之基本治直吏切
子産君子之求樂者也且曰合諸侯藝貢事禮也	嫌爭競不順故以禮明之
〇鮮虞人聞晉師之悉起也	五年傳日遺守四千今甲車四千乗故爲悉起
而不警邊且不脩備	言夷狄無謀警音景
晉荀呉自著雍以上軍侵鮮虞及中人驅衝競	中山望都縣西北有中人城驅衝車與狄爭逐
大獲而歸	爲十五年晉伐鮮虞起
〇楚之滅蔡也靈王遷許胡沈道房申於荆焉平王即位旣封陳蔡而皆復之禮也	滅蔡在十一年許胡沈小國也道房申皆故諸侯楚滅以爲邑荆荆山也傳言平王得安民之禮汝南有呉防縣即防國
隱大子之子廬歸于蔡禮也	隱大子大子有也廬蔡平侯
悼大子之子呉歸千陳禮也	悼大子偃師也呉陳惠公
〇冬十月葬蔡靈公禮也	國復成禮以葬也此陳蔡事傳皆言禮嫌楚所封不得比諸侯故明之
〇公如晉荀呉謂韓宣子曰諸侯相朝講舊好也執其卿而朝其君有不好焉不如辭之乃使士景伯辭公于河	景伯士文伯之子彌牟也好呼報切
〇呉滅州來令尹子期請伐呉王弗許曰吾未撫民人未事鬼神未脩守備未定國家而用民力敗不可悔州來在呉猶在楚也子姑待之	傳言平王所以能有國守手又切
〇季孫猶在晉子服惠伯私於中行穆子	私與之語
曰魯事晉何以不如夷之小國魯兄弟也土地猶大所命能具若爲夷棄之使事齊楚其何瘳於晉	瘳差也爲于僞切下爲夷將爲同瘳勑留切差𥘉賣切
親親與大賞共罰否所以爲盟主也子其圖之諺曰臣一主二	言一臣必有二主道不合得去事他國諺音彦
吾豈無大國	言非獨晉可事
穆子告韓宣子且曰楚滅陳蔡不能救而爲夷執親將焉用之乃歸季孫惠伯曰寡君未知其罪合諸侯而執其老	老尊卿稱焉於䖍切稱尺證切
若猶有罪死命可也	死晉命也
若曰無罪而惠免之諸侯不聞是逃命也何免之爲請從君惠於會	欲得盟㑹見遣不欲私去
宣子患之謂叔向曰子能歸季孫乎對曰不能鮒也能	鮒叔魚
乃使叔魚叔魚見季孫曰昔鮒也得罪於晉君自歸於魯君	蓋襄二十一年坐叔虎與欒氏黨并得罪坐才卧切
微武子之賜不至於今	武子季平子祖父
雖獲歸骨於晉猶子則肉之敢不盡情歸子而不歸鮒也聞諸吏將爲子除館於西河	西使近河近附近之近
其若之何且泣	泣以信其言
平子懼先歸惠伯待禮	待見遣之禮
經十有四年春意如至自晉	書至者喜得免
〇三月曹伯滕卒	無傳四同盟
〇夏四月	無傳
〇秋葬曹武公	無傳
〇八月莒子去疾卒	未同盟去起吕切
〇冬莒殺其公子意恢	以禍亂告不必繫於爲卿故雖公子亦書意恢與亂君爲黨故書名惡之恢苦囬切惡烏路切
傳十四年春意如至自晉尊晉罪己也	以舎族爲尊晉罪己舎音捨
尊晉罪己禮也	禮脩己而不責人
〇南蒯之將叛也盟費人司徒老祁慮癸	二人南蒯家臣祁巨夷切字林上尸切
僞癈疾使請於南蒯曰臣願受盟而疾興若以君靈不死請待間而盟	間差也差初賣切
許之二子因民之欲叛也請朝衆而盟	欲因合衆以作亂
遂劫南蒯曰羣臣不忘其君	君謂季氏劫居業切
畏子以及今三年聽命矣子若弗圖費人不忍其君將不能畏子矣	不能復畏子釋文畏子以及今絶句復扶又切
子何所不逞欲請送子	送使出奔
請期五日	南蒯請期兾有變
遂奔齊侍飲酒於景公公曰叛夫	戲之
對曰臣欲張公室也	張彊也
子韓晳曰	齊大夫晳星曆切
家臣而欲張公室罪莫大焉	言越職
司徒老祁慮癸來歸費	歸魯
齊侯使鮑文子致之	南蒯雖叛費人不從未專屬齊二子逐蒯而復其舊故經不書歸費齊使文子致邑欲以假好非事實也好呼報切
〇夏楚子使然丹簡上國之兵於宗丘且撫其民	上國在國都之西酉方居上流故謂之上國宗丘楚地
分貧振窮	分與也振救也分如字徐甫問切
長孤㓜養老疾收介特	介特單身民也收聚不使流散長丁丈切介音界又古賀切單音丹
救災患宥孤寡	寛其賦稅宥音又稅如銳切
赦罪戾詰姦慝	詰責問也戾力計切詰起吉切慝他得切
舉淹滯	淹滯有才德而未叙者
禮新叙舊	新羈旅也
禄勲合親	勲功也親九族
任良物官	物事也
使屈罷簡東國之兵於召陵	兵在國都之東者罷音皮召上照切
亦如之	如然丹
好於邊疆	結好四鄰好呼報切疆居良切
息民五年而後用師禮也○秋八月莒著丘公卒郊公不慼	郊公著丘公子著直居切徐直據切
國人弗順欲立著丘公之弟庚輿	庚輿莒共公輿音餘本亦作與共音恭
蒲餘侯惡公子意恢而善於庚輿	蒲餘侯莒大夫兹夫也意恢莒羣公子惡烏路切
郊公惡公子鐸而善於意恢	鐸亦羣公子鐸待洛切
公子鐸因蒲餘侯而與之謀曰爾殺意恢我出君而納庚輿許之	爲下冬殺意恢傳
〇楚令尹子旗有德於王不知度	有佐立之德
與養氏比而求無厭	養氏子旗之黨養由基之後比毗志切厭楚鹽切本又作饜
王患之九月甲午楚子殺鬪成然而滅養氏之族使鬪辛居鄖以無忘舊勲	辛子旗之子鄖公辛鄖音云
〇冬十三月蒲餘侯兹夫殺莒公子意恢郊公奔齊公子鐸逆庚輿於齊齊隰黨公子鉏送之有賂田	莒賂齊以田鉏仕居切
〇晉邢侯與雍子爭鄐田	邢侯楚申公巫臣之子也雍子亦故楚人鄐許六切又超六切
乆而無成士景伯如楚	士景伯晉理官
叔魚攝理	攝伐景伯
韓宣子命斷舊獄罪在雍子雍子納其女於叔魚叔魚蔽罪邢侯	蔽斷也斷丁亂切蔽必世切徐甫世切王補弟切
邢侯怒殺叔魚與雍子於朝宣子問其罪於叔向叔向曰三人同罪施生戮死可也	施行罪也
雍子自知其罪而賂以買直鮒也鬻獄邢侯專殺其罪一也己惡而掠美爲昏	掠取也昏亂也鬻羊六切賣也掠音亮
貪以敗官爲墨	墨不潔之稱敗必邁切又如字稱尺證切
殺人不忌爲賊	忌畏也
夏書曰昏墨賊殺	逸書三者皆死刑
臯陶之刑也請從之乃施刑侯而尸雍子與叔魚於市仲尼曰叔向古之遺直也	言叔向之直有古人遺風陶音遥施如字服云施罪於邢侯也孔晁注國語云廢也尸氏切
治國制刑不隱於親	謂國之大問己所荅當也至於他事則冝有隱當丁浪切
三數叔魚之惡不爲末減	末薄也減輕也皆以正言之數色具切爲于僞切末武葛切
曰義也夫可謂直矣	於義未安直則有之夫舊音扶一讀芳于切
平丘之會數其賄也	謂言瀆貨無厭
以寛衛國晉不爲暴歸魯季孫稱其詐也	謂言鮒也能
以寛魯國晉不爲虐邢侯之獄言其貪也以正刑書晉不爲頗三言而除三惡加三利	三惡暴虐頗也三惡除則三利加頗普何切
殺親益榮	榮名益巳
猶義也夫	三罪唯荅宣子問不可以不正其餘則以直傷義故重疑之重直用切
經十有五年春王正月呉子夷末卒	無傳未同盟
○二月癸酉有事子武宫籥入叔弓卒去樂卒事	略書有事爲叔弓卒起也武官魯武公廟成六年復立之籥羊略切去起吕切爲于僞切復扶又切
〇夏蔡朝呉出奔鄭	朝呉不逺䜛人亦以見逐而書名遠于萬切
〇六月丁巳朔日有食之	無傳
〇秋晉荀呉帥師伐鮮虞〇冬公如晉傳十五年春將禘子武公戒百官	齊戒禘大計切齊側皆切
梓愼曰禘之日其有咎乎吾見赤黑之祲非祭祥也喪氛也	祲妖氛也蓋見於宗廟故以爲非祭祥也氛惡氣也咎其九切祲子鴆切氛芳云切徐扶云切見賢遍切
其在涖事乎	涖臨也涖音利
二月癸酉禘叔弓涖事籥入而卒去樂卒事禮也	大臣卒故爲之去樂去起㠯切爲于僞切
〇楚費無極害朝呉之在蔡也	朝呉蔡大夫有功於楚干王故無極恐其有寵疾害之費扶味切
欲去之乃謂之曰王唯信子故處子於蔡子亦長矣而在下位辱必求之吾助子請	請求上位長丁丈切
又謂其上之人	蔡人在上位者
曰王唯信呉故處諸蔡二三子莫之如也而在其上不亦難乎弗圖必及於難夏蔡人逐朝呉朝呉出奔鄭王怒曰余唯信呉故寘諸蔡且後呉吾不及此女何故去之無極對曰臣豈不欲呉	非不欲善呉難乃旦切寘之豉切女音汝
然而前知其爲人之異也	言其多權謀
吳在蔡蔡必速飛去呉所以翦其翼也	以鳥喻也言呉在蔡必能使蔡速彊而背楚背必佩切
〇六月乙丑王大子壽卒	周景王子
○秋八月戊寅王穆后崩	大子壽之母也傳爲晉荀躒如周葬穆后起
〇晉荀呉帥師伐鮮虞圍鼔	鼓白狄之别鉅鹿下曲陽縣有鼓聚聚才喻切
鼔人或請以城叛穆子弗許左右曰師徒不勤而可以獲城何故不爲穆子曰吾聞諸叔向曰好惡不愆民知所適事無不濟	愆過也適歸也好呼報切惡烏路切或並依字讀愆起䖍切
或以吾城叛吾所甚惡也人以城來吾獨何好焉賞所甚惡若所好何	無以復加所好復技又切
若其弗賞是失信也何以庇民力能則進否則退量力而行吾不可以欲城而邇姦所喪滋多使鼓人殺叛人而繕守備圍鼓三月鼓人或請降使其民見曰猶有食邑姑脩而城軍吏曰獲城而弗取勤民而頓兵何以事君穆子曰吾以事君也獲一邑而敎民怠將焉用邑邑以賈怠不如完舊	完猶保守庇必利切又音秘喪息浪切繕市戰切守手又切降户江切見賢遍切焉於䖍切賈音古
賈怠無卒	卒終也
棄舊不祥鼔人能事其君我亦能事吾君率義不爽	爽差也
好惡不愆城可獲而民知義所	知義所在也荀呉必其熊獲故因以示義
有死命而無二心不亦可乎鼓人告食竭力盡而後取之克鼔而反不戮一人以鼓子鳶鞮歸	鳶鞮鼓君名鳶本又作鳶恱全切鞮丁兮切
〇冬公如晉平丘之會故也	平立㑹公不輿盟季孫見執今旣得免故往謝之輿音預
〇十二月晉荀躒如周葬穆后籍談爲介旣葬除喪以文伯宴樽以魯壷	文伯荀躒也魯壷魯所獻壷樽躒力狄切本又作櫟同介音界樽本或作尊又作鐏同
王曰伯氏諸侯皆有以鎭撫王室晉獨無有何也	感魯壼而言也鎭撫王室謂貢獻之物
文伯揖籍談	文伯無辭揖籍談使對
對曰諸侯之封也皆受明器於王室	謂明德之分器分扶問切年内同
以鎭撫其社稷故能薦彞器於王	薦獻也彛常也謂可常寳之器若魯壷之屬彜以之切
晉居深山戎狄之與鄰而逺於王室王靈不及拜戎不暇	言王寵靈不見及故數爲戎所加陵遠于萬切又如字數音朔
其何以獻器王曰叔氏而忘諸乎	叔籍談也
叔父唐叔成王之母弟也其反無分乎密須之鼔與其大路丈所以大蒐也	密須姞姓國也在安定隂密縣文王伐之得其鼔路以蒐蒐所求切姞其吉切又其乙切
闕鞏之甲武所以克商也	闕鞏國所出鎧鞏九勇切錯開代切
唐叔受之以處參虛匡有戎狄	參虚實沈之次晉之分野參所金切
其後襄之二路	周襄王所賜晉文公大路戎路
鏚鉞秬鬯	鏚斧也鉞金鉞秬黑黍鬯香酒鏚音戚鉞音越秬音巨鬯音暢
彤弓虎賁文公受之以有南陽之田	事在僖二十八年彤徒冬切賁音奔
撫征東夏非分而何夫有勲而不廢	加重賞夏戸雅切
有績而載	書功於䇿
奉之以土田	有南陽
撫之以彞器	弓鉞之屬
旌之以車服	襄之二路
明之以文章	旌旗
子孫不忘所謂福也福祚之不登叔父焉在	言福祚不在叔父當在誰邪釋文福祚之不登叔父絶句焉於䖍切下將焉同
且昔而髙祖孫伯黶司晉之典籍以爲大政故曰籍氏	孫伯黶晉正卿籍談九世祖黶於斬切
及辛有之二子董之晉於是乎有董史	辛有周人也其二子適晉爲大史籍黶與之共董督晉典因爲董氏董孤其後
