春秋經傳集解定上第二十七	定公名宋襄公之子昭公之弟謚法安民大慮曰定
叔孫請見子家子子家子辭曰覊未得見而從君以出	出時成子未爲卿覊居冝切子家子名見賢遍切下同從才用切注義從同又如字下從君從公放此
君不命而薨覊不敢見	言未受昭公之命託辭以距叔孫
叔孫使告之曰公衍公爲實使羣臣不得事君	二子始謀逐季氏
若公子宋主社稷則羣臣之願也	宋昭公弟定公
凡從君出而可以入者將唯子是聽子家氏未有後季孫願與子從政此皆季孫之願也使不敢以告	不敢叔孫成子名
對曰若立君則有卿士大夫與守龜在覊弗敢知若從君者則貌而出者入可也	貌出謂以義從公與季氏無實怨守手又切
寇而出者行可也	與季氏爲寇讎者自可去
若覊也則君知其出也	君昭公
而未知其入也覊將逃也喪及壊隤公子宋先入從公者皆自壞隤反	出奔壞徐音懷又户怪切隤徒囬切
六月癸亥公之喪至自乾侯戊辰公即位	諸侯薨五日而殯殯則嗣子即位癸亥昭公喪至五日殯於宫定公乃即位
季孫使役如闞公氏將溝焉	闞魯羣公墓所在也季孫惡昭公欲溝絶其兆域不使與先君同闞口暫切惡烏路切又如字
榮駕鵞曰生不能事死又離之以自旌也	駕鵞魯大夫榮成伯也旌章也駕音加鵞五何切旌音精
縱子忍之後必或恥之乃止季孫問於榮駕鵞曰吾欲爲君謚使子孫知之	爲惡謚
對曰生弗能事死又惡之以自信也將焉用之乃止秋七月癸巳葬昭公於墓道南孔子之爲司寇也溝而合諸墓	明臣無貶君之義惡如字又烏路切焉於䖍切
○昭公出故季平子禱于焬公九月立煬宫	平子逐君懼而請禱於煬公昭公死於外自以爲獲福故立其宫
○周鞏簡公棄其子弟而好用逺人	簡公周卿士逺人異族也爲明年鞏氏賊簡公張本鞏九勇切好呼報切
經二年春王正月○夏五月壬辰雉門及兩觀災	無傳雉門公宮之南門兩觀闕也天火曰災觀古亂切
○秋楚人伐具	囊瓦稱人見誘以敗軍囊乃郎切
○冬十月新作雉門及兩觀	無傳
傳二年夏四月辛酉鞏氏之羣子弟賊簡公	傳言棄親用踈所以敗也
○桐叛楚	桐小國廬江舒縣西南有桐鄉
呉子使舒鳩氏誘楚人	舒鳩楚屬國
曰以師臨我	敎舒鳩誘楚使以師臨呉
我伐桐爲我使之無忌	呉伐桐也僞若畏楚師之臨己而爲伐其叛國以取媚者也欲使楚不忌呉所謂多方以誤之爲于僞切
秋楚囊瓦伐呉師于豫章	從舒鳩言
呉人見舟于豫章	僞將爲楚伐桐見賢遍切
而濳師于巢	實欲以擊楚
冬十月呉軍楚師于豫章敗之	楚不忌故
遂圍巢克之獲楚公子繁	繁守巢大夫
○邾莊公與夷射姑飲酒私出	射姑邾大夫出辟酒射音亦一音夜
閽乞肉焉奪之杖以敲之	奪閽杖以𫾣閽頭也爲明年邾子卒傳閽音昏守門人也敲苦孝切又苦學切說文作毃云擊頭也字林同又一曰擊聲也口交切又口卓切訓此㪣云橫擿也又或作茅或作刜口交切
經三年春王正月公如晉至河乃復	無傳
○二月辛卯邾子穿卒	再同盟穿音川
○夏四月○秋葬邾莊公	六月乃葬緩
○冬仲孫何忌及邾子盟于拔	拔地闕拔皮八切
傳三年春二月辛卯邾子在門臺	門上有臺
臨廷閽以缾水沃廷邾子望見之怒閽曰夷射姑旋焉	旋小便廷音庭缾歩丁切本又作瓶
命執之	見其不潔執射姑
弗得滋怒自投于牀廢于鑪炭爛遂卒	廢隋也鑪力呉切炭他旦切隋徒火切
先葬以車五乗殉五人	欲藏中之潔故先内車及殉别爲便房蓋其遺命先悉薦切又如字乗繩證切殉辭俊切藏才浪切
莊公卞急而好潔故及是	卞躁疾也卞皮彦切好呼報切躁早報切
○秋九月鮮虞人敗晉師于平中	平中晉地
獲晉觀虎恃其勇也	爲五年士鞅圍鮮虞張本
○冬盟于郯	郯即抜也郯音談
脩邾好也	公即位故脩好
○蔡昭侯爲兩佩與兩裘	佩㑉王也
以如楚獻一佩一裘於昭王昭王服之以享蔡侯蔡侯亦服其一子常欲之弗與三年止之唐成公如楚有兩肅爽馬子常欲之	成公唐惠侯之後肅爽駿馬名肅如字又所六切爽音霜駿音俊
弗與亦三年止之唐人或相與謀請代先從者許之飲先從者酒醉之竊馬而獻之子常子常歸唐侯自拘於司敗	竊馬者自拘從才用切飲於鴆切拘九于切
曰君以弄馬之故隱君身	隱憂約也弄魯貢切
棄國家羣臣請相夫人以償馬必如之	相助也夫人謂養馬者相息亮切夫音扶償市亮切
唐侯曰寡人之過也二三子無辱皆賞之蔡人聞之固請而獻佩于子常子常朝見蔡侯之徒命有司曰蔡君之久也官不共也	言楚所以禮遣蔡侯之物不共備故共音恭
明日禮不畢將死	遣蔡侯之禮
蔡侯歸及漢執玉而沈曰余所有濟漢而南者有若大川	自誓言若復渡漢當受禍明如大川沈音鴆復扶又切
蔡侯如晉以其子元與其大夫之子爲質焉而請伐楚	爲明年㑹召陵張本質音致
經四年春王二月癸巳陳侯呉卒	無傳未同盟而赴以名癸巳正月七日書二月從赴
三月公㑹劉子晉侯宋公蔡侯衛侯陳子鄭伯許男曹伯莒子邾子頓子胡子滕子薛伯𣏌伯小邾子齊國夏于召陵侵楚	於召陵先行㑹禮入楚竟故書侵夏戸雅切召上照切竟音境
○夏四月庚辰蔡公孫姓帥師滅沈以沈子嘉歸殺之	姓音生又作生
○五月公及諸侯盟于臯鼬	召陵㑹劉子諸侯㧾言之也繁昌縣東南有城臯亭復稱公者㑹盟異處故鼬由又切復扶又切處昌慮切
○𣏌伯成卒于㑹	無傳成音城
○六月葬陳惠公	無傳
○許遷于容城	無傳
○秋七月公至自㑹	無傳
○劉卷卒	無傳即劉蚠也劉子奉命出盟召陵死則天王爲告同盟故不具爵卷音權又眷免切蚠扶粉切爲于僞切下爲蔡同
○葬𣏌悼公	無傳
○楚人圍蔡	不服故也
○晉士鞅衛孔圉帥師伐鮮虞	無傳孔圉孔覊孫士鞅即范鞅圉魚吕切
○葬劉文公	無傳
○冬十有一月庚午蔡侯以呉子及楚人戰于柏舉楚師敗績	師能左右之曰以皆陳曰戰大崩曰敗績呉爲蔡討楚從蔡計謀故書蔡侯以呉子言能左右之也囊瓦稱人貪以致敗不能死難罪賤之柏舉楚地昭三十一年傳曰六年十二月庚辰呉其入郢今以十一月者并數閏陳直覲切難乃旦切數所主切
○楚囊瓦出奔鄭	書名惡之惡烏路切
○庚辰呉入郢	弗地曰入呉不稱于史略文
傳四年春三月劉文公合諸侯于召陵謀伐楚也	文公王官伯也晉人假王命以討楚之久留蔡侯故曰文公合諸侯
○晉荀寅求貨於蔡侯弗得言於范獻子曰國家方危諸侯方貳將以襲敵不亦難乎水潦方降疾瘧方起中山不服	中山鮮虞潦音老瘧魚略切
棄盟取怨無損於楚	晉楚同盟伐之爲取怨
而失中山不如辭蔡侯吾自方城以來楚未可以得志	晉敗楚侵方城在襄十六年
祇取勤焉乃辭蔡侯晉人假羽旄於鄭鄭人與之	折羽爲旌王者遊車之所建鄭私有之因謂之羽旄借觀之祇音支旄音毛析星曆切
明日或旆以㑹	或賤者也繼旐曰斾令賤人施其旆執以從㑹示卑鄭旆歩具切旐音兆令力呈切下令蔡同
晉於是乎失諸侯	傳言晉無禮所以遂弱
將㑹衛子行敬子言於靈公	子行敬子衛大夫
曰㑹同難	難得冝
嘖有煩言莫之治也	嘖至也煩言忿爭嘖仕責切一音責爭爭鬪之爭
其使祝佗從	祝佗大祝子魚佗徒河切從才用切下師從旅從同大音泰下大祝大卜大史大原同
公曰善乃使子魚子魚辭曰臣展四體以率舊職猶懼不給而煩刑書若又共二	共二職共音恭
徼大罪也且夫祝社稷之常隷也	隷賤臣也徼古堯切夫音扶
社稷不動祝不出竟官之制也	社稷動謂國遷竟音境
君以軍行祓社釁鼓	師出先有事祓禱於社謂之冝社於是殺牲以血塗鼓鼙爲釁鼓祓音弗徐音廢釁許靳切鼙歩西切本又作鞞
祝奉以從	奉社主也從如字又才用切
於是乎出竟若嘉好之事	謂朝㑹好呼報切
君行師從	二千五百人
卿行旅從	五百人
臣無事焉公曰行也及臯鼬	將盟
將長蔡於衛	欲令蔡先衛㰱長丁丈切先悉薦切下先衛同㰱所洽切又所甲切
衛侯使祝佗私於萇弘曰聞諸道路不知信否若聞蔡將先衛信乎萇弘曰信蔡叔康叔之兄也	蔡叔周公兄康叔周公弟
先衛不亦可乎子魚曰以先王觀之則尚德也昔武王克商成王定之選建明德以藩屏周故周公相王室以尹天下	尹正也藩方元切相悉亮切
於周爲睦	睦親厚也以盛德見親厚
分魯公以大路大旂	魯公伯禽也此大路金路錫同姓諸侯車也交龍爲旂周禮同姓以封分扶問切下並同路本亦作輅音路旂其依切錫星曆切
夏后氏之璜	璜美五名夏戸雅切璜音黃
封父之繁弱	封父古諸侯也繁弱大弓名父音甫下武父同封父國名繁扶元切
殷民六族條氏徐氏蕭氏索氏長勺氏尾勺氏使帥其宗氏輯其分族將其類醜	醜衆也索素洛切勺市灼切輯音集又七入切
以法則周公用即命于周	即就也使六族就周受周公之击制
是使之職事干魯	共魯公之職事共音恭下共王同
以昭周公之明德	昭顯也
分之土田陪敦	陪増也敦厚也陪本亦作培同歩回切
祝宗卜史	大祝宗人大卜大史凡四官
備物典䇿	典䇿春秋之制策本又作冊亦作筴或作笧皆𥘉革切
官司彞器	官司百官也彞器常用器彞羊之切
因商奄之民	商奄國名也與四國流言或迸散在魯皆令即屬魯懷柔之迸彼諍切令徐力呈切
命以伯禽	伯禽周公丗子時周公唯遣伯禽之國故皆以付伯禽
而封於少皥之虚	少皥虚曲阜也在魯城内少詩照切皥胡老切虚起居切
分康叔	康叔衛之祖
以大路少帛綪茷旃旌	少帛雜帛也緒茷大赤取染草名也通帛爲旃析羽爲旌綪七見切按歩貝切又音吠旃章然切
大吕	鍾名
殷氏七族陶氏施氏繁氏錡氏樊氏饑氏終葵氏封畛土略自武父以南及圃田之北竟	畛塗所徑也略界也武父衛北界圃田鄖藪名陶徒刀切繁歩河切錡魚綺切畛之忍切一音眞圃布五切本亦作甫田塗音徒徑音經藪素口切
取於有閻之土以共王職	有閻衛所受朝宿邑蓋近京畿近附近之近下近我同
取於相土之東都以㑹王之東蒐	爲湯沐邑王東巡守以助祭泰山相息亮切蒐所求切守手又切
耼季授土	耼季周公弟司空聃乃甘切
陶叔授民	陶叔司徒
命以康誥而封於殷虚	康誥周書殷虚朝歌也
皆啓以商政疆以周索	皆魯衛也啓開也居殷故地因其風俗開用其政疆理土地以周法索法也疆居良切注及下同
分唐叔	唐叔晉之祖
以大路密須之鼔	密須國名
闕鞏	甲名鞏九勇切
沽洗	鍾名沽音孤洗息典切
懷姓九宗職官五正	懷姓唐之餘民九宗一姓爲九族職官五正五官之長長丁丈切下長衛同
命以唐誥而封於夏虚	唐誥誥命篇名也夏虚大夏今大原晉陽也
啓以夏政	亦因夏風俗開用其政
疆以戎索	大原近戎而寒不與中國同故自以戎法
三者皆叔也而有令德故昭之以分物不然文武成康之伯猶多而不獲是分也唯不尚年也管蔡啓商惎間王室	惎毒也周公攝政管叔蔡叔開道紂子禄父以毒亂王室惎音忌間間廁之間道音導
王於是乎殺管叔而蔡蔡叔	周公稱王命以討二叔蔡放也上蔡素達切下蔡如字
以車七乗徒七十人	與蔡叔車徒而放之乗䋲證切
其子蔡仲改行帥德周公舉之以爲已卿士	爲周公臣行下孟切
見諸王而命之以蔡	命爲蔡侯見賢遍切
其命書云王曰胡無若爾考之違王命也	胡蔡仲名
若之何其使蔡先衛也武王之母弟八人周公爲大宰康叔爲司寇耼季爲司空五叔無官豈尚年哉	五叔管叔鮮蔡叔度成叔武霍叔處毛叔聃也
曹文之昭也	文王子與周公異母昭上饒切說又作紹
晉武之穆也	武王子
曹爲伯甸非尚年也	以伯爵居甸服言小甸徒練切
今將尚之是反先王也晉文公爲踐土之盟衛成公不在夷叔其母弟也猶先蔡	踐土召陵二㑹經書蔡在衛上霸主以國大小之序也子魚所言盟㰱之次
其載書云王若曰晉重	文公重直龍切
魯申	僖公
衛武	叔武
蔡甲午	莊侯
鄭捷	文公捷在接切
齊潘	昭公潘普安切
宋王臣	成公未王臣本或作壬如林切
莒期	兹丕公也齊序鄭下周之宗盟異姓爲後丕普悲切
藏在周府可覆視也吾子欲復文武之略	略道也覆芳服切
而不正其德將如之何萇弘說告劉子與范獻子謀之乃長衛侯於盟○反自召陵鄭子大叔未至而卒晉趙簡子爲之臨甚哀曰黃父之㑹	在昭二十五年說音恱爲于僞切下爲沈同臨力鴆切父音甫
夫子語我九言曰無始亂無怙冨無恃寵無違同無敖禮無驕能	以能驕人語魚據切怙音戸敖五報切
無復怒	復重也復扶又切
無謀非德	非所謀也
無犯非義	傳言簡子能用善言所以遂興
○沈人不㑹于召陵晉人使蔡伐之夏蔡滅沈秋楚爲沈故圍蔡伍貟爲呉行人以謀楚楚之殺郤宛也	在昭二十七年貟音云
伯氏之族出	郤宛黨
伯州犂之孫嚭爲呉大宰以謀楚楚自昭王即位無歳不有呉師蔡侯因之以其子乾與其大夫之子爲質於呉冬蔡侯呉子唐侯伐楚	唐侯不書兵屬於呉蔡犂力兮切嚭普鄙切乾其連切質音致
舎舟于淮汭	呉乗舟從淮來過蔡而舎之舎音赦置也又音捨棄也汭人銳切
自豫章與楚夾漢	豫章漢東江北地名夾古治切
左司馬戍謂子常曰子㳂漢而與之上下	㳂縁也縁漢上下遮使勿渡㳂恱全切上時掌切遮正奢切
我悉方城外以毀其舟	以方城外人毀吾所舎舟
還塞大隧直轅冥阨	三者漢東之隘道隧音遂冥亡丁切本或作寘之䜴切阨於懈切本或作隘音同
子濟漢而伐之我自後擊之必大敗之旣謀而行武城黒謂子常	黒楚武城大夫
曰呉用木也我用革也	用軍器
不可乆也不如速戰史皇謂子常楚人惡子而好司馬	史皇楚大夫司馬沈尹戍惡烏路切好呼報切
若司馬毀呉舟于淮塞城口而入	城口三隘道之揔名
是獨克呉也子必速戰不然不免乃濟漢而陳自小别至于大别	禹貢漢水至大别南入江然則此二别在江夏界陳直覲切下同夏戸雅切
三戰子常知不可欲奔	知呉不可勝
史皇曰安求其事	求知政事
難而逃之將何所入子必死之初罪必盡說	言致死以克呉可以免貪賄致寇之罪難乃旦切
十一月庚午二師陳于柏舉	經所以書戰二師呉楚師
闔廬之弟夫槩王晨請於闔廬曰楚瓦不仁	瓦子常名
其臣莫有死志先伐之其卒必奔而後大師繼之必克弗許夫槩王曰所謂臣義而行不待命者其此之謂也今日我死楚可入也以其屬五千先擊子常之卒子常之卒奔楚師亂呉師大敗之子常奔鄭史皇以其乗廣死	以戰死卒子怱切下同乗繩證切廣古曠切
呉從楚師及清發	清發水名
將擊之夫槩王曰困獸猶鬪況人乎若知不免而致死必敗我若使先濟者知免後者慕之蔑有鬪心矣半濟而後可擊也從之又敗之楚人爲食呉人及之奔食而從之敗諸雍澨五戰及郢	奔食食者走不陳故不在戰數噬市制切
已卯楚子取其妹季芉卑我以出渉睢	睢水出新城昌魏縣東南至枝江縣入江是楚王西走芉面爾切楚姓卑必利切丗族譜季芈卑我皆乎王女也服云卑我季芉之字雎七餘切
鍼尹固與王同舟王使執燧象以奔呉師	燒火燧繫象尾使赴呉師驚却之鍼之林切燧音遂
庚辰呉入郢以班處宫	以尊卑班次處楚王宫室
子山處令尹之宫	子山呉王子
夫槩王欲攻之懼而去之夫槩王入之	入令尹宫也言呉無禮所以不能遂充
左司馬戍及息而還	息汝南新息也聞楚敗故還
敗呉師于雍澨傷	司馬先敗呉師而身被創創初良切
初司馬臣闔廬故恥爲禽焉	司馬甞在呉爲闔廬臣是以今恥於見禽
謂其臣曰誰能免吾首呉句卑曰臣賤可乎司馬曰我實失子可哉	夫不知子賢句古侯切
三戰皆傷曰吾不可用也巳句卑布裳剄而裹之	司馬巳死剄取其首剄古頂切裹音果
藏其身而以其首免	傳言司馬之忠壯
楚子渉睢濟江入于雲中	入雲夢澤中所謂江南之夢夢如字又音蒙
王寢盗攻之以戈擊王王孫由于以背受之中肩王奔鄖鍾建負季芈以從	鍾建楚大夫中丁仲切鄖音云從才用切下同又如字
由于徐蘇而從	以皆受戈故當時問絶
鄖公辛之弟懷將弑王曰平王殺吾父我殺其子不亦可乎	辛蔓成然之子鬪辛也昭十四年楚平王殺成然殺或作弒申志切下我殺同蔓音萬
辛曰君討臣誰敢讎之君命天也若死天命將誰讎詩曰柔亦不茹剛亦不吐不侮矜寡不畏彊禦唯仁者能之	詩大雅言仲山甫不辟彊陵弱茹音汝矜古頑切
違彊陵弱非勇也乗人之約非仁也滅宗廢祀非孝也	弑君罪應滅宗
動無令名非知也必犯是余將殺女鬪辛與其弟巢以王奔隨呉人從之謂隨人曰周之子孫在漢川者楚實盡之天誘其衷致罰於楚而君又竄之	竄匿也知音智女音汝衷音忠竄七亂切匿女力切
周室何罪君若顧報周室施及寡人以㢡天衷	㢡成也施以䜴切
君之惠也漢陽之田君實有之楚子在公官之北	隨公官也
呉人在其南子期似王	子期昭王兄公子結也
逃王而己爲王曰以我與之王必免隨人卜與之不吉乃辭呉曰以隨之辟小而密邇於楚楚實存之丗有盟誓至于今未改若難而棄之何以事君執事之患不唯一人	一人楚王辟四亦切難乃且切
若鳩楚竟敢不聽命呉人乃退	鳩安集也竟音境
罏金初官於子期氏實與隨人要言	要言無以楚王與呉并欲脫子期鑪本又作鑢金名音慮氏也
王使見	王喜其意欲引見之以比王臣且欲使盟隨人見賢遍切下注敢見同
辭曰不敢以約爲利	此約謂要言也此一時之事非爲德舉故辭不敢見亦不肯爲盟主約如字又於妙切
王割子期之心以與隨人盟	當心前割取血以盟示其至心
初伍貟與申包胥友	包胥楚大夫包必交切
其亡也謂申包胥曰我必復楚國	復報也
申包胥曰勉之子能復之我必能興之及昭王在隨申包胥如秦乞師曰呉爲封豕長蛇以荐食上國	荐數也言呉貪害如蛇豕荐在薦切數所角切
虐始於楚寡君失守社稷越在草莽使下臣告急曰夷德無厭若鄰於君疆埸之患也	呉有楚則與秦鄰草莽舊作茅亡交切今本多作莽莫蕩切下同厭於鹽切疆居良切埸音亦
逮呉之未定君其取分焉	與呉共分楚地逮音代分扶問切
若楚之遂亡君之上也若以君靈撫之丗以事君	撫存恤也
秦伯使辭焉曰寡人聞命矣子姑就舘將圖而告對曰寡君越在草莽未獲所伏	伏猶處也
下臣何敢即安立依於庭牆而哭日夜不絶聲勺飲不入口七日秦哀公爲之賦無衣	詩秦風取其王子興師脩我戈矛與子同仇與子偕作與子偕行勺市灼切又音灼爲于僞切仇音求
九頓首而坐	無衣三章章三頓首
秦師乃出	爲明年包胥以秦師至張本
經五年春王三月辛亥朔日有食之	無傳
○夏歸粟于蔡	蔡爲楚所圍飢乏故魯歸之粟
○於越入呉	於發聲也
○六月丙申季孫意如卒○秋七月壬子叔孫不敢卒	無傳
○冬晉士鞅帥師圍鮮虞傳五年春王人殺子朝于楚	因楚亂也絡閔馬父之言
○夏歸粟于蔡以周亟矜無資	亟急也亟紀力切
○越入呉呉在楚也○六月季平子行東野	東野季氏邑行下孟切下恒子同
還未至丙申卒于房陽虎將以璵璠斂	璵璠美玉君所佩璵本又作與音餘璠音煩又方煩切斂力驗切
仲梁懷弗與	懐亦季氏家臣
曰改歩改玉	昭公之出季孫行君事佩璵璠祭宗廟今定公立復臣位改君歩則亦當去璵璠去起㠯切
陽虎欲逐之告公山不狃不狃曰彼爲君也子何怨焉	不狃季氏臣費宰子洩也爲君不欲使僣狃女九切爲于僞切洩息列切潜子念切
旣葬桓子行東野	桓子意如子季孫斯
及費子洩爲費宰逆勞於郊桓子敬之勞仲梁懷仲梁懷弗敬	懷時從桓子行輕慢子洩勞力報切下從父從王並同
子洩怒謂陽虎子行之乎	行逐懷也爲下陽虎囚桓子起
○申包胥以秦師至秦子蒲子虎帥車五百乗以救楚	五百乗三葛七千五百人乗繩證切注同
子蒲曰吾未知呉道	道猶法術
使楚人先與呉人戰而自稷㑹之大敗夫槩王于沂	稷沂皆楚地沂魚依切
呉人獲薳射於柏舉	薳射楚大夫射食亦切又食夜切
其子帥奔徒	奔徒楚散卒卒子忽切
以從子西敗呉師於軍祥	楚地
秋七月子期子蒲滅唐	從呉伐楚故
九月夫槩王歸自立也以與王戰而敗	自立爲呉王號夫槩
奔楚爲堂谿氏	傳終言之谿若兮切
呉師敗楚師于雍澨秦師又敗呉師呉師居麇	麇地名麇九倫切
子期將焚之子西曰父兄親暴骨焉不能收又焚之不可	前年楚人與呉戰多死麇中言不可并焚暴步卜切
子期曰國亡矣死者若有知也可以歆舊祀	言楚呉復楚則祭祀不廢歆許金切
豈憚焚之焚之而又戰呉師敗又戰于公壻之谿	楚地名
呉師大敗呉子乃歸囚闉輿罷闉輿罷請先遂逃歸	輿罷楚大夫請先至呉而逃歸言呉唯得楚一大夫復矢之所以不克闉音因輿音餘又作與羊女切罷音皮復扶又切
葉公諸梁之弟后臧從其母於具不待而歸	諸梁司馬沈尹戍之子葉公子髙也呉入楚獲后臧之母楚定臧棄母而歸葉舒渉切從如字又才用切
葉公終不正視	不義之
○乙亥陽虎囚季桓子及公父文伯	文伯季桓子從父昆弟也陽虎欲爲亂恐二子不從故囚之父音甫
而逐仲梁懷冬十月丁亥殺公何藐	藐季氏族藐亡角切又彌小切
已丑盟桓子于稷門之内	魯南城門
庚寅大詛逐公父歜及秦遄皆奔齊	歜即又伯也秦遄平子姑壻也傳言季氏之亂詛莊慮切敏昌欲切遄市專切
○楚子入于郢	呉師巳歸
初鬪辛聞呉人之爭宫也曰吾聞之不讓則不和不和不可以逺征呉爭於楚必有亂有亂則必歸焉能定楚王之奔隨也將渉於成臼	江夏竟陵縣西有臼水出聊屈山西南入漢焉於䖍切臼其九切屈其勿切又君勿切
藍尹亹渉其帑	亹楚大夫藍力甘切亹亡匪切帑音奴
不與王舟及寧王欲殺之	寧安定也
子西曰子常唯思舊怨以敗君何效焉王曰善使復其所吾以志前惡	惡過也
王賞鬪辛王孫由于王孫圉鍾建鬪巢申包胥王孫賈宋木鬪懷	九子皆從王有大功者
子西曰請舎懷也	以初謀弑王也舎音捨又音赦弑申志切
王曰大德滅小怨道也	終從其兄免王大難是大德難乃旦切
申包胥曰吾爲君也非爲身也君旣定矣又何求且吾尤子旗其又爲諸	子旗蔓成然也以有德於平王求欲無厭平王殺之在昭十四年爲于僞切厭於鹽切
遂逃賞王將嫁季芉季芉辭曰所以爲女子逺丈夫也鍾建負我矣以妻鍾建以爲樂尹	司樂大夫遠于萬切妻七細切
王之在隨也子西爲王輿服以保路國于脾洩	脾洩楚邑也失王恐國人潰散故僞爲王車服立國脾洩以保安道路人脾婢支切洩息列切
聞王所在而後從王王使由于城麇	於麇築城
復命子西問髙厚焉弗知子西曰不能如辭	言自知不能當辭勿行
城不知髙厚小大何知對曰固辭不能子使余也人各有能有不能王遇盗於雲中余受其戈其所猶在袒而視之背曰此余所能也脾洩之事余亦弗能也	傳言昭王所以復國有賢臣也袒音但
○晉士鞅圍鮮虞報觀虎之役也	三年觧虞獲晉觀虎
經六年春王正月癸亥鄭游速帥師㓕許以許男斯歸	游速大叔子
○二月公侵鄭○公至自侵鄭	無傳
○夏季孫斯仲孫何忌如晉○秋晉人執宋行人樂祁犂	稱行人言非其罪犂力兮切又力之切
○冬城中城	無傳公爲晉侵鄭故懼而城之爲于僞切
○季孫斯仲孫忌帥師圍鄆	無傳何忌不言何闕文鄆貳於齊故圍之鄆音運
傳六年春鄭滅許囚楚敗也○二月公侵鄭取厈爲晉討鄭之伐胥靡也	胥靡周地也周儋翩因鄭人以作亂鄭爲之伐胥靡故晉使魯討之厈鄭地取厈不書歸之晉爲于僞切儋丁甘切翩音篇
往不假道於衛及還陽虎使季孟自南門入出自東門	陽虎將逐三桓欲使得罪於鄰國
舎於豚澤衛侯怒使彌子瑕追之	彌子瑕衛嬖大夫豚杜孫切嬖必計切
公叔文子老矣	文子公叔發
輦而如公曰尤人而效之非禮也昭公之難君將以文之舒鼎	衛文公之鼎難乃旦切
成之昭兆	寳龜
定之鞶鑑	鞶帶而以鏡爲飾也今西方羌胡猶然古之遺服鞶又作盤歩丹切又蒲官切鑑古暫切
苟可以納之擇用一焉公子與二三臣之子諸侯苟憂之將以爲之質	爲質求納魯昭公質音致
此羣臣之所聞也今將以小忿蒙舊德	蒙覆也
無乃不可乎大姒之子	大姒文王妃大音泰姒音似
唯周公康叔爲相睦也而效小人以棄之不亦誣乎天將多陽虎之罪以斃之君姑待之若何乃止	止不伐魯師
