春秋經傳集解襄元第十四	陸云襄公名午成公子母定以謚法因事有功曰襄辟土有德曰襄
張老爲中軍司馬	代魏絳
士富爲候奄	代張老士富士㑹别族
○楚司馬公子何忌侵陳陳叛故也〇許靈公事楚不㑹于雞澤冬晉知武子帥師伐許經四年春王三月已酉陳侯午卒	前年大夫盟雞澤三月無己酉日誤
○夏叔孫豹如晉○秋七月戊子夫人姒氏薨	成公妾襄公母姒𣏌姓
〇葬陳成公	無傳
○八月辛亥葬我小君定姒	無傳定謚也赴同祔姑反哭成喪皆以正夫人禮母以子貴踰月而葬速
〇冬公如晉○陳人圍頓傳四年春楚師爲陳叛故猶在繁陽	前年何忌之師侵陳今猶未還繁陽楚地在汝南鮦陽縣南爲于僞切鮦孟康音紂直乆切一音童或音直勇切非
韓獻子患之言於朝曰文王帥殷之叛國以事紂唯知時也	知時未可爭
今我易之難哉	晉力未能服楚受陳爲非時
三月陳成公卒楚人將伐陳聞喪乃止	軍禮不伐喪
陳人不聽命	不聽楚命
臧武仲聞之曰陳不服於楚必亡大國行禮焉而不服在大猶有咎而況小乎夏楚彭名侵陳陳無禮故也	爲下陳圍頓傳咎九切
○穆叔如晉報知武子之聘也	武子聘在元年
晉侯享之金奏肆夏之三不拜	肆夏樂曲名周禮以鍾鼔奏九夏其二日肆夏一名樊三曰韶夏一名遏四日納夏一名渠蓋擊鍾而奏此三夏曲夏戸雅切注及下皆同九夏一日王夏二日肆夏三日韶夏四日納夏五日章夏六日齊夏七日族夏八日陔夏九日驁夏肆夏一名樊國語云金奏肆夏樊遏渠杜遂分爲三夏之别名吕叔王云肆夏時邁也樊遏執竸也渠思文也韶上招切褐於葛切納夏本或爲夏納誤渠其居切
工歌文王之三又不拜	工樂人也文王之三大雅之首文王太明緜
歌鹿鳴之三三拜	小雅之首鹿鳴四杜皇皇者華
韓獻子使行人子貟問之	行人通使之官貟音云徐于貧切使所吏切下同
曰子以君命辱於敝邑先君之禮藉之以樂以辱吾子	藉薦也藉在夜切
吾子舎其大而重拜其細敢問何禮也對曰三夏天子所以享元侯也使臣弗敢與聞	元侯牧伯舎音捨重直用切下皆同與音預下及與同牧徐音目
文王兩君相見之樂也臣不敢及	及與也文王之三皆稱文王之德受命作周故諸侯㑹同以相樂樂音洛
鹿鳴君所以嘉寡君也敢不拜嘉	晉以叔孫爲嘉賔故歌周鳴之詩取其我有嘉賔叔孫奉君命而來嘉叔孫乃所以嘉魯君
四牡君所以勞使臣也敢不重拜	詩言使臣乗四牡騑騑然行不止勤勞也晉以叔孫來聘故以此勞之勞力報切注勞之同騑芳非切
皇皇者華君敎使臣曰必諮於周	皇皇者華君遣使臣之詩言忠臣奉使能光輝君命如華之皇皇然又當諮于忠信以補已不及忠信爲周其詩日周爰諮諏周爰諮謀周爰諮度周爰諮詢言必於忠信之人諮此四事諏子須切度待洛切詢音荀
臣聞之訪問於善爲咨	問善道
咨親爲詢	問親戚之義
咨禮爲度	問禮冝
咨事爲諏	問政事
咨難爲謀	問患難難乃旦切
臣獲五善敢不重拜	五善爲諮詢度諏謀
○秋定姒薨不殯于廟無櫬不虞	櫬親身棺季孫以定姒本賤旣無器備議其喪制欲殯不過廟又不反哭過古禾切
匠慶謂季文子	匠慶魯大匠
曰子爲正卿而小君之喪不成	謂如季孫所議則爲夫人禮不成
不終君也	慢其母是不終事君之道
君長誰受其咎	言襄公長將責季孫長丁丈切
初季孫爲已樹六檟於蒲圃東門之外	蒲圃場圃名季文子樹檟欲自爲櫬爲于僞切下注爲定姒爲言執事同圃市古切場直良切
匠慶請木	爲定姒作櫬
季孫曰略	不以道取爲略
匠慶用蒲圃之檟季孫不御	御止也傳言遂得成禮故經無異文御魚吕切
君子曰志所謂多行無禮必自及也其是之謂乎○冬公如晉聽政	受貢賦多少之政
晉侯享公公請屬鄫	鄫小國也欲得使屬魯如須句顓臾之比使助魯出貢賦公時年七歳蓋相者爲之言鄫今琅邪鄫縣句其俱切顓音專臾羊朱切比必二切相息亮切
晉侯不許孟獻子曰以寡君之密邇於仇讎而願固事君無失官命	晉官徴發之命
鄫無賦於司馬	晉司馬又掌諸侯之賦
爲執事朝夕之命敝邑敝邑褊小闕而爲罪	闕不共也朝夕如字褊必淺切共音恭
寡君是以願借助焉	借鄫以自助借子亦切注同
晉侯許之	爲明年叔孫豹鄫丗子巫如晉傳
○楚人使頓間陳而侵伐之故陳人圍頓	間伺間鈌間間厠之間伺音司下間音閑又間厠之間又如字
○無終子嘉父使孟樂如晉	無終山戎國名孟樂其使臣使所吏切
因魏莊子納虎豹之皮以請和諸戎	欲戎與晉和莊子魏絳
晉侯曰戎狄無親而貪不如伐之魏絳曰諸侯新服陳新來和將觀於我我德則睦否則攜貳勞師於戎而楚伐陳必弗能救是棄陳也諸華必叛	諸華中國
戎禽獸也獲戎失華無乃不可乎夏訓有之曰有窮后羿	夏訓夏書有窮國名后君也羿有窮君之號夏戸雅切羿音詣
公曰后羿何如	怪其言不次故問之
對曰昔有夏之方衰也后羿自鉏遷于窮石因夏民以代夏政	禹孫大康淫放失國夏人立其弟仲康仲康亦微弱仲康卒子相立羿遂代相號日有窮鉏羿本國名鉏仕居切大音泰相息亮切
恃其射也	羿善射
不脩民事而淫干原獸	淫放原野
棄武羅伯因熊髠尨圉	四子皆羿之賢臣髠苦門切尨莫邦切圉魚吕切
而用寒浞寒浞伯明氏之讒子弟也	寒國北海平壽縣東有寒亭伯明其君名浞仕角切徐在角切
伯明后寒棄之夷羿收之	夷氏
信而使之以爲已相浞行媚于内	内宫人
而施賂于外愚弄其民	欺罔之
而虞羿于田	樂之以遊田樂音洛下樂安同
樹之詐慝以取其國家	樹立也慝他得切後同
外内咸服	信浞詐
羿猶不悛	悛改也悛七全切
將歸自田	羿獵還
家衆殺而亨之以食其子	食羿子亨普彭切煑也食音嗣
其子不忍食諸死于窮門	殺之於國門
靡奔有鬲氏	靡夏遺臣事羿者有鬲國名今乎原鬲懸鬲音革
浞因羿室	就其如妾
生澆及豷恃其讒慝詐僞而不德于民使澆用師滅斟灌及斟㝷氏	二國夏同姓諸侯仲康之子后相所依樂安壽光縣東南有灌亭北海平壽縣東南有斟亭澆五弔切豷許器切斟之林切灌古亂切
處澆于過處豷于戈	過戈皆國名東萊掖縣北有過郷戈在宋鄭之間過古禾切注及下同戈古禾切掖音亦漢書作夜孟康音掖
靡自有鬲氏收二國之燼	燼遺民燼才刃切
以滅浞而立少康	少康夏后相子少詩照切
少康滅澆于過后杼滅豷于戈	后杼少康子杼直吕切
有窮由是遂亡失人故也	浞因羿室故不改有窮之號
昔周辛甲之爲大史也命百官官箴王闕	辛申周武王大史闕過也使百官各爲箴辭戒王過箴之林切
於虞人之箴	虞人掌田獵
曰芒芒禹跡畫爲九州	芒芒逺貌畫分也芒莫郎切畫乎麥切
經啓九道	啓開九州之道
民有寢廟獸有茂草各有攸處德用不擾	人神各有所歸故德不亂攸處如字本或作攸家擾如小切
在帝夷羿冒于原獸	冒貪也冒莫報切又亡北切
忘其國恤而思其麀牡	言但念獵麀音憂鹿牡也牡茂后切
武不可重	重猶數也重直用切數所角切
用不恢于夏家	羿以好武雖有夏家而不能恢大之恢苦囬切
獸臣司原敢告僕夫	獸臣虞人告僕夫不敢斥尊
虞箴如是可不懲乎於是晉侯好田故魏絳及之	及后羿事好呼報切懲直升切
公曰然則莫如和戎乎對曰和戎有五利焉戎狄荐居貴貨易土	荐聚也易猶輕也荐於薦切又才遜切或云草也易以䜴切徐神䜴切
土可賈焉一也邊鄙不聳民狎其野穡人成功二也	聳懼狎習也賈音古聳息勇切
戎狄事晉四鄰振動諸侯威懷三也以德綏戎師徒不勤甲兵不頓四也	頓壞也
鑒于后羿而用德度	以后羿爲鍳戒
逺至邇安五也君其圖之公說使魏絳盟諸戎脩民事田以時	傳言晉侯能用善謀說音恱
〇冬十月邾人莒人伐鄫臧紇救鄫侵邾敗于狐駘	臧紇武仲也鄫屬魯故救之狐駘邾地魯國畨縣東南有目台亭紇恨發切駘徒來切徐勑才切畨本又作蕃應劭音皮一音方袁切白襃魯國記云陳子遊爲魯相畨子也國人爲諱改曰皮也台吐才切
國人逆喪者皆髽魯於是乎始髽	髽麻髮合結也遭喪者多故不能備凶服髽而巳髽側瓜切結音計本又作髻又作紒音同
國人誦之曰臧之孤裘敗我於狐駘	臧紇時服狐裘
我君小子朱儒是使朱儒朱儒使我敗於邾	襄公幼弱故曰小子臧紇短小故日朱儒敗不書魯人諱之朱本或作侏亦音朱
經五年春公至自晉○夏鄭伯使公子發來聘	發子産父
〇叔孫豹鄫丗子巫如晉	此魯大夫故書巫如晉巫亡扶切
○仲孫蔑衛孫林父㑹呉于善道	魯衛俱受命於晉故不言及呉先在善道二大夫往㑹之故曰㑹呉善道地闕
〇秋大雩〇楚殺其大夫公子壬夫	書名罪其貪
○公㑹晉侯宋公陳侯衛侯鄭伯曹伯莒子邾子滕子薛伯齊丗子光呉人鄫人于戚	穆叔使鄫人聽命于㑹故鄫見經不復殊呉者呉來㑹于戚見賢遍切復扶又切
○公至自㑹	無傳
○冬戍陳	諸侯在戚㑹皆受命戍陳各還國遣戍不復有告命故獨書魯戍
○楚公子貞帥師伐陳○公㑹晉侯宋公衛侯鄭伯曹伯齊丗子光救陳〇十有二月公至自救陳	無傳
〇辛未季孫行父卒傳五年春公至自晉	公在晉旣聽屬鄫聞其見伐遥命臧紇出救故傳稱經公至以明之
○王使王叔陳生愬戎于晉	王叔周卿士也戎陵虣周室故告愬盟主愬悉路切虣白報切
晉人執之士魴如京師言王叔之貳於戎也	王叔反有二心於戎夫奉使之義故晉執之使所吏切
〇夏鄭子國來聘通嗣君也	鄭僖公𥘉即位
○穆叔覿鄫大子于晉以成屬鄫	覿見也前年請屬鄫故將鄫大子巫如晉以成之覿直歷切見賢遍切
書曰叔孫豹鄫大子巫如晉言比諸魯大夫也	豹與巫俱受命於魯故經不書及比之魯大夫
○呉子使壽越如晉	夀越呉大夫
辭不㑹于雞澤之故	三年㑹雞澤呉不至今來謝之
且請聽諸侯之好	更請㑹好呼報切
晉人將爲之合諸侯使魯衛先㑹呉且告㑹期	以其道逺故使魯衛先告期爲于僞切
故孟獻子孫文子㑹呉于善道	二子皆受晉命而行
〇秋大雩旱也	雩夏祭所以折甘雨若旱則又脩其禮故雖秋雩非書過也然䋥與過雩同文是以傳每釋之日旱也雩而獲雨故書雩而不書早
○楚人討陳叛故	討治也
曰由令尹子辛實侵欲焉乃殺之書曰楚殺其大夫公子壬夫貪也君子謂楚共王於是不刑	陳之叛楚罪在子辛共王旣不能素明法敎陳叛之日又不能嚴斷威刑以謝小國而擁其罪人興兵致討加禮於陳而陳恨彌篤乃怨而歸罪子辛子辛之貪雖足以取死然共王用刑爲失其節故言不刑共音恭斷丁亂切
詩曰周道挺挺我心扃扃講事不令集人來定	逸詩也挺挺正直也扃扃明察也講謀也言謀事不善當聚致賢人以定之挺他頂切扃工逈切徐孔潁切
巳則無信而殺人以逞不亦難乎	共王伐宋封魚石背盟敗于鄢陵殺子反公子申及壬夫八年之中戮殺三卿欲以屬諸侯故君子以爲不可背音佩
夏書曰成允成功	亦逸書也允信也言信成然後有成功
○九月丙午盟于戚㑹呉且命戍陳也	公及其㑹而不書盟非公後㑹蓋不以盟告廟
穆叔以屬鄫爲不利使鄫大夫聽命于㑹	鄫近魯竟故欲以爲屬國旣而與莒有忿魯不能救恐致譴責故復乞還之傳言鄫人所以見於戚㑹近附近之近下陳近同竟音境譴棄戰切復扶又切見賢遍切
○楚子囊爲令尹	公子貞囊乃郎切
范宣子曰我喪陳矣楚人討貳而立子囊必改行	改子辛所行喪息浪切行如字徐下孟切
而疾討陳	疾急也
陳近於楚民朝夕急能無往乎有陳非吾事也無之而後可	言晉力不能及陳故七年陳侯逃歸朝夕如字
冬諸侯戍陳	備楚
子囊伐陳十一月甲午㑹于城棣以救之	公及救陳而不及㑹故不書城棣城棣鄭地陳留酸棗縣西南有棣城棣力計切又徒妹切
○季文子卒大夫入斂公在位	在阼階西郷斂力豔切鄉許亮切
宰庀家器爲葬備	庀具也庀匹婢切
無衣帛之妾無食粟之馬無藏金玉無重器備	器備謂珍寶甲兵之物衣於旣切食如字又音嗣重如字又直龍切
君子是以知季文子之忠於公室也相三君矣而無私積可不謂忠乎	相息亮切積于賜切
經六年春王三月壬午𣏌伯姑容卒○夏宋華弱來奔	華椒孫
○秋葬𣏌桓公	無傳
○滕子來朝〇莒人滅鄫○冬叔孫豹如邾〇季孫宿如晉	行父之子
〇十有二月齊侯滅萊	書十二月從告
傳六年春𣏌桓公卒始赴以名同盟故也	𣏌入春秋未甞書名桓公三與成同盟故赴以名
○宋華弱與樂轡少相狎長相優又相謗也	狎親習也優調戲也少詩照切狎戸甲切長丁丈切調徒弔切
子蕩怒以弓梏華弱于朝	子蕩樂轡也張弓以貫其頸若械之在手故曰梏梏古毒切貫古亂切
平公見之曰司武而梏於朝難以勝矣	司武司馬言其懦弱不足以勝敵懦乃亂切又乃卧切
遂逐之夏宋華弱來奔司城子罕曰同罪異罰非刑也專戮於朝罪孰大焉亦逐子蕩子蕩射子罕之門曰幾日而不我從	言我射女門女亦堂以不勝任見逐射食亦切幾居豈切女音汝勝音升
子罕善之如初	言子罕雖見辱不迫忿所以得安
○秋滕成公來朝始朝公也○莒人滅鄫鄫恃賂也	鄫有貢賦之賂在魯恃之而慢莒故滅之
〇冬穆叔如邾聘且脩平	平四年狐駘戰
〇晉人以鄫故來討曰何故亡鄫	鄫屬魯恃賂而慢莒魯不致力輔助無何以還晉㝷便見滅故晉責魯
○季武子如晉見且聽命	始代父爲卿見大國且謝亡鄫聽命受罪見賢遍切
〇十一月齊侯滅萊萊恃謀也	賂夙沙衛之謀也事在二年
於鄭子國之來聘也四月晏弱城東陽而遂圍萊	子國聘在五年二年晏弱城東陽至五年四月復託治城因遂圍萊復扶又切
甲寅堙之環城傅於堞	堞女牆也堙土山也周城爲土山及女牆堙音因環戸關切又音患傅音附堞音牒一名婢亦謂之俾倪徐養渉切
及杞桓公卒之月	此年三月
乙未王湫帥師及正輿子棠人軍齊師	王湫故齊人成十八年奔萊正輿子萊大夫棠萊邑也北海即墨縣有棠郷三人帥别邑兵來解圍湫子小切徐子鳥切
齊師大敗之	敗湫等
丁未入萊萊共公浮柔奔棠正輿子王湫奔莒莒人殺之四月陳無宇獻萊宗器于襄官	無宇桓子陳完玄孫襄宫齊襄公廟共音恭
晏弱圍棠十一月丙辰而滅之遷萊于郳	遷萊子于郳國郳五兮切本或作遷于郳萊衍字
髙厚崔杼定其田	定其疆界髙厚髙固子疆居良切
經七年春郯子來朝〇夏四月三卜郊不從乃免牲	稱牲旣卜日也卜郊又非禮也郯音談
○小邾子來朝〇城費	南遺假事難而城之費音秘難乃旦切
〇秋季孫宿如衛〇八月螽	無傳爲災故書
〇冬十月衛侯使孫林父來聘〇壬戍及孫林父盟〇楚公子貞帥師圍陳○十有二月公㑹晉侯宋公陳侯衛侯曹伯莒子于鄬	謀救陳陳侯逃歸不成救故不書救也鄬鄭地鄬于軌切字林几吹切
○鄭伯髠頑如㑹未見諸侯丙戍卒于鄵	實爲子駟所弑以瘧疾赴故不書弑稱名爲書卒同盟故也如會會於鄬也未見諸侯未至會所而死鄵鄭地不欲再稱鄭伯故約文上其名於㑹上鄵七報切又采南切字林千消切弑音試爲于僞切上時掌切
○陳侯逃歸	畏楚逃晉而歸
傳七年春郯子來朝始朝公也〇夏四月三卜郊不從乃免牲孟獻子曰吾乃今而後知有卜筮夫郊祀后稷以祈農事也	郊祀后稷以配天后稷周始祖能播殖者
是故啓蟄而郊郊而後耕今旣耕而卜郊冝其不從也	啓蟄夏正建寅之月耕謂春分蟄直立切夏戸雅切
○南遺爲費宰	費季氏邑
叔仲昭伯爲隧正	隧正主役徒昭伯叔仲惠伯之孫隧音遂
欲善季氏而求媚於南遺謂遺請城費	使遺請城
吾多與而役故季氏城費	傳言禄去公室季氏所以強
〇小邾穆公來朝亦始朝公也	亦郯子也
〇秋季武子如衛報子叔之聘且辭緩報非貳也	子叔聘在元年言國家多難故不時報難乃旦切
○冬十月晉韓獻子告老公族穆子有廢疾	穆子韓厥長子成十八年爲公族大夫長丁丈切下師長同
將立之	代厥爲卿
辭曰詩曰豈不夙夜謂行多露	詩言雖欲早夜而行懼多露之濡巳義取非禮不可妄行
又曰弗躬弗親庶民弗信	詩小雅言譏在位者不躬親政事則庶民不奉信其命言巳有疾不能躬親政事
無忌不才讓其可乎請立起也	無忌穆子名起無忌弟宣子也
與田蘇游而曰好仁	田蘇晉賢人蘇言起好仁好呼報切
詩曰靖共爾位好是正直神之聽之介爾景福	靖安也介助也景大也詩小雅言君子當思不出其位求正直之人與之並立如是則神明順之致大福也共音恭介音界
恤民爲德	靖共其位所以恤民
正直爲正	正已心
正曲爲直	正人曲
參和爲仁	德正直三者備乃爲仁參七南切或音三
如是則神聽之介福降之立之不亦可乎	言起有此三德故可立
庚戍使宣子朝遂老	韓厥致仕
晉侯謂諱無忌仁使掌公族大夫	爲之師長
○衛孫文子來聘且拜武子之言	緩報非貳之言
而㝷孫桓子之盟	盟在戍三年
公登亦登	禮登階臣後君一等後胡豆切
叔孫穆子相趨進曰諸侯之㑹寡君未甞後衛君	敵體並登相息亮切下駟相同後如字徐胡豆切
今吾子不後寡君寡君未知所過吾子其少安	安徐也
孫子無辭亦無悛容	悛改也悛七全切
穆叔曰孫子必亡爲臣而君過而不悛亡之本也詩曰退食自公委蛇委蛇	委蛇順貌詩召南言人臣自公門入私門無不順禮委於危切蛇以支切召上照切
謂從者也	從順行
