春秋經傳集解襄三第十六杜氏盡二十二年經十有六年春王正月葬晉悼公	踰月而葬速也
孟孺子速徼之	孟獻子之子莊子速也徽要也孺本又作􁅈如住切速夲亦作遫音同徼古堯切要一遥切
齊侯曰是好勇去之以爲之名速遂塞海陘而還	海陘魯隘道好呼報切陘音刑徐古定切隘於懈切
〇冬穆叔如晉聘且言齊故	言齊再伐魯
晉人曰以寡人之未禘祀	禘祀三年喪畢之吉祭禘大計切
與民之未息	新伐許及楚
不然不敢忘穆叔曰以齊人之朝夕釋憾於敝邑之地是以大請敝邑之急朝不及夕引領西望曰庶幾乎	庶幾晉來救朝夕如字憾夲又作感户暗切
比執事之間恐無	呼豆切駡馬嫁切
曰親逐而君爾父爲厲	厲惡鬼林父逐君在十四年
是之不憂而何以田爲夏衛石買孫蒯伐曹取重丘	孫蒯不書非卿
曹人愬于晉	爲明年晉人執石買傳愬悉路切
〇齊人以其未得志于我故	前年圍成辟孟孺子
秋齊侯伐我北鄙圍桃髙厚圍臧紇于防	防臧紇邑紇恨發切
師自陽關逆臧孫至于旅松	陽關在泰山鉅平縣東旅松近防地也魯師畏齊不敢至防近附近之近下居近同
郰叔紇臧疇臧賈帥甲三百宵犯齊師送之而復	耶叔紇叔梁紇臧疇臧賈臧紇之昆弟也三子與臧紇共在防故夜送臧紇於旅松而復還守防耶側留切復扶又切又音服
齊師去之	失臧紇故
齊人獲臧堅	堅臧紇之族
齊侯使夙沙衛唁之且曰無死	使無自殺唁音彦
堅稽首曰拜命之辱抑君賜不終姑又使其刑臣禮於士以杙抉其傷而死	言使賤人來言已是惠賜不終也夙沙衛奄人故謂之刑臣杙羊職切抉烏穴切徐又古穴切傷如字一本作痬音羊
〇冬邾人伐我南鄙爲齊故也	齊未得志於魯故邾助之爲于僞切
〇宋華閱卒華臣弱臯比之室	臣閱之弟臯比閱之子弱侵易之比音毗易以䜴切
使賊殺其宰華呉賊六人以鈹殺諸盧門合左師之後	盧門宋城門合向戌邑後屋後鈹普皮切
左師懼曰老夫無罪賊曰臯比私有討於呉遂幽其妻	幽吴妻也
曰卑余而大璧	卑與也卑必利切
宋公聞之曰臣也不唯其宗室是暴大亂宋國之政必逐之左師曰臣也亦卿也大臣不順國之恥也不如蓋之乃舎之左師爲已短䇿苟過華臣之門必騁	惡之騁勑領切惡烏路切
十一月甲午國人逐瘈狗瘈狗入於華臣氏國人從之華臣懼遂奔陳	華臣心不自安見逐狗而驚走瘈徐居丗切一音制字林作狾九丗切云狂犬也
〇宋皇國父爲大宰爲平公築臺妨於農收	周十一月今九月收斂時大音泰後放此爲于僞切妨音芳收如字又手又切
子罕請俟農功之畢公弗許築者謳曰澤門之晳實興我役	澤門宋東城南門也皇國父白晳而居近澤門謳烏侯切澤門本或作臯門者誤晳星歷切徐思益切
邑中之黔實慰我心	子罕黒色而居邑中黔徐音琴一音其廉切
子罕聞之親執朴	朴杖朴普卜切
以行築者而抶其不勉者曰吾儕小人皆有闔廬以辟燥濕寒暑	闔謂門戸閉塞行下孟切抶恥乙切儕仕皆切闔户臘切廬力居切
今君爲一臺而不速成何以爲役	役事也
謳者乃止或問其故子罕曰宋國區區而有詛有祝禍之本也	傳善子罕分謗區丘于切小貌詛莊慮切祝之又切謗𥙷浪切
〇齊晏桓子卒	晏嬰父也
晏嬰麤縗斬	斬不緝之也縗在胸前麤三升布麤本又作麁縗本又作衰七雷切注同絹七入切
苴絰帶杖菅屨	苴麻之有子者取其麤也杖竹杖菅屨草屨苴七徐切絰直結切以苴麻爲絰及帶杖禮記云苴杖竹也管古顔切屨九具切
食鬻居倚廬寢苫枕草	此禮與士喪禮略同其異唯枕草耳然枕由亦非喪服正文鬻之六切又羊六切謂朝一溢米暮一溢米盧於倚切廬倚東牆而爲之故曰倚廬苫傷廉切編草也枕之鴆切注同王儉云夏枕􁏷冬枕草凷音苦對切一音苦怪切
其老曰非大夫之禮也	時之所行士及大夫縗服各有不同晏子爲大夫而行士禮其家臣不解故譏之解音蟹
曰唯卿爲大夫	晏子惡直巳以斥時失禮故孫辭略荅家老
經十有八年春白狄來	不言朝不能行朝禮
〇夏晉人執衛行人石買	石買即是伐曹者冝即懲治本罪而晉因其爲行人之使執之故書行人以罪晉使所吏切
〇秋齊師伐我北鄙	不書齊侯齊侯不入竟竟音境
○冬十月公㑹晉侯宋公衛侯鄭伯曹伯莒子邾子滕子薛伯𣏌伯小邾子同圍齊	齊數行不義諸侯同心俱圍之數所角切
○曹伯負芻卒于師	無傳禮當與許男同三同盟芻初俱切
〇楚公子午帥師伐鄭傳十八年春白狄始來	白狄狄之别名未甞與魯接故曰始
○夏晉人執衛行人石買于長子執孫蒯于純留	長子純留二縣今皆屬上黨郡孫蒯不書父在位蒯非卿長丁丈切或如字純徒温切或如字地理志作屯
爲曹故也	前年衛伐曹爲于僞切
〇秋齊侯伐我北鄙中行獻子將伐齊夢與厲公訟弗勝	厲公獻子所弑者弑申志切
公以戈擊之首隊於前跪而戴之奉之以走見梗陽之巫臯	梗陽晉邑在太原晉陽縣南臯巫名也夢井見之隊直位切跪其委切奉芳勇切梗古杏切臯古刀切
他日見諸道與之言同	巫亦夢見獻子與厲公訟
巫曰今兹主必死若有事於東方則可以逞	巫知獻子有死徴故勸使決意伐齊
獻子許諾晉侯伐齊將濟河獻子以朱絲係玉二瑴	雙玉曰㲄㲄古學切
而禱曰齊環怙恃其險負其衆庶	環齊靈公名負依也禱丁老切又丁報切怙音戸
棄好背盟陵虐神主	神主民也謂數伐魯殘民人好呼報切背音佩數所角切
曾臣彪將率諸侯以討焉	彪晉平公名稱臣者明上有天子以謙告神曽臣猶末臣
其宦臣偃實先後之	守官之臣偃獻子名先悉薦切後戸豆切守手又切又如字
苟捷有功無作神羞	羞恥也
官官偃無敢復濟	偃信巫言故以死自誓復扶又切下注復欲同
唯爾有神裁之沈玉而濟冬十月㑹于魯濟㝷溴梁之言同伐齊	溴梁在十六年盟曰同討不庭沈音鴆或如字濟子禮切
齊侯禦諸平隂塹防門而守之廣里	平隂城在濟北盧縣東北其城南有防防有門於門外作塹横行廣一里故經書圍禦魚吕切塹七豔切廣古曠切
夙沙衛曰不能戰莫如守險	謂防門不足爲險
弗聽諸侯之士門焉齊人多死范宣子告析文子	析文子齊大夫子家析星歷切
曰吾知子敢匿情乎魯人莒人皆請以車千乗自其郷入旣許之矣若入君必失國子盍圖之子家以告公公恐晏嬰聞之曰君固無勇而又聞是弗能乆矣	不能乆敵晉匿女力切乗繩證切盍戸臘切恐曲勇切
齊侯登巫山以望晉師	巫山在盧縣東北
晉人使司馬斥山澤之險雖所不至必旆而䟽陳之	斥候也䟽建旌旗以爲陳示衆也斥音尺又昌夜切旆歩蓋切陳直覲切
使乗車者左實右僞以旆先	僞以衣服爲人形也建旆以先驅
輿曵柴而從之	以揚塵
齊侯見之畏其衆也乃脫歸	脫不張旗幟脫勑活切又他外切幟申志切又赤志切
丙寅晦齊師夜遁師曠告晉侯曰鳥烏之聲樂齊師其遁	鳥烏得空營故樂也遁徒困切樂音洛
邢伯告中行伯	邢伯晉大夫邢侯也中行伯獻子
曰有班馬之聲	夜遁馬不相見故鳴班别也别彼列切
齊師其遁叔向告晉侯曰城上有烏齊師其遁十一月丁卯朔入平隂遂從齊師夙沙衛連大車以塞隧而殿	此衛所欲守險連大並如字隧音遂道也殿都練切
殖綽郭最曰子殿國師齊之辱也	奄人殿師故以爲辱最子㑹切
子姑先乎乃代之殿衛殺馬於隘以塞道	恨二子故塞其道欲使晉得之隘於懈切
晉州綽及之射殖綽中肩兩矢夾脰	脰頸也射食亦切下同中丁仲切夾古洽切或古恊切脰音豆
曰止將爲三軍獲不止將取其衷	不止復欲射兩矢中央衷音忠
顧曰爲私誓州綽曰有如日	言必不殺女明如日女音汝
乃弛弓而自後縛之	反縛之弛式氏切本又作施音同
其右具丙	州綽之右
亦舎兵而縛郭最皆衿甲面縛	衿甲不解甲舎音捨衿其鴆切
坐于中軍之鼔下晉人欲逐歸者魯衛請攻險	險固城守者守手又切
巳卯荀偃士匄以中軍克京兹	在平隂城東南
乙酉魏絳欒盈以下軍克邿	欒黶死其子盈佐下軍平隂西有邿山邿音詩
趙武韓起以上軍圍盧弗克十二月戊戌及秦周伐雍門之萩	秦周魯大夫趙武及之共伐萩也雍門齊城門雍於用切萩音秋本又作秋
范鞅門于雍門其御追喜以戈殺犬于門中	殺犬示間暇閒音閑
孟莊子斬其橁以爲公琴	莊子孺子速也橁木名橁勑倫切又相倫切
己亥焚雍門及西郭南郭劉難士弱率諸侯之師焚申池之竹木	二子晉大夫難乃多切又如字
壬寅焚東郭北郭范鞅門于揚門	齊西門
州綽門于東閭	齊東門
左驂迫還于門中以枚數闔	枚馬檛也闔門扇也數其板示不恐驂七南切廹音百還音旋又音患枚每囬切數所主切闔戸臘切撾陟瓜切恐曲勇切
齊侯駕將走郵棠	郵棠齊邑郵音尤
大子與郭榮扣馬	大子光也榮齊大夫扣音口
曰師速而疾略也	言欲略行其地無乆攻意行下孟切
將退矣君何懼焉且社稷之主不可以輕輕則失衆君必待之將犯之大子抽劒斷鞅乃止甲辰東侵及濰南及沂	濰水在東莞東北至北海都昌縣入海沂水出東莞蓋縣至下邳入泗輕遣政切下同斷音短維本又作維音同沂魚依切莞音官蓋古害切邳蒲悲切泗音四
〇鄭子孔欲去諸大夫	欲專權去起吕切下同
將叛晉而起楚師以去之使告子庚子庚弗許	子庚楚令尹公子午
楚子聞之使楊豚尹冝告子庚曰國人謂不榖主社稷而不出師死不從禮	不能承先君之業死將不得從先君之禮豚徒門切
不榖即位於今五年師徒不出人其以不榖爲自逸而忘先君之業矣	謂巳未甞統師自出
大夫圖之其若之何子庚歎曰君王其謂午懷安乎吾以利社稷也見使者稽首而對曰諸侯方睦於晉臣請甞之	甞試其難易也使所吏切易以䜴切
若可君而繼之不可收師而退可以無害君亦無辱子庚帥師治兵於汾	襄城縣東北有汾丘城汾扶云切
於是子蟜伯有子張從鄭伯伐齊	子張公孫黒肱
子孔子展子西守二子知子孔之謀	二子子展子西守手又切下完守同
完守入保	完城郭内保守
子孔不敢㑹楚師楚師伐鄭次於魚陵	魚陵魚幽山也在南陽犫縣北鄭地犫尺由切
右師城上棘遂涉潁次于旃然	將涉穎故於水邊權築小城以爲進退之備旃然水出熒陽城臯縣東入汴旃章延切汴皮彦切
蔿子馮公子格率銳師侵費滑胥靡獻于雍梁	胥靡獻于雍梁皆鄭邑河南陽翟縣東北有雍氏城蔿夲又作薳于委切馮皮冰切費扶味切滑于八切雍於用切
右囬梅山	在熒陽密縣東北回如字徐胡猥切
侵鄭東北至于蟲牢而反子庚門于純門信于城下而還	信再宿也牢力刀切純如字又市荀切
渉於魚齒之下	魚齒山之下有滍水故言泰山南武城縣
傳十九年春諸侯還自沂上盟于督揚曰大母侵小	督揚即祝柯也督丁毒切母音無
執邾悼公以其伐我故	伐魯在十七年
遂次于泗上疆我田	正邾魯之界也泗水名疆居良切
取邾田自漷水歸之于我	邾田在漷水止今更以漷爲界故曰取邾田
晉侯先歸公享晉六卿于蒲圃	六卿過魯圃布古切過古禾切
賜之三命之服軍尉司馬司空輿尉候奄皆受一命之服	如鞌戰還之賜唯無先輅鞌音安
賄荀偃束錦加璧乗馬先呉壽夢之鼎	荀偃中軍元帥故特賄之五匹爲束四馬爲乗壽夢呉子乗也獻鼎於魯因以爲名古之獻物必有以先今以璧馬爲鼎之先賄呼罪切乗繩證切先悉薦切又如字夢莫公切帥所類切
荀偃癉疽生瘍於頭	癉疸惡創癉丁但切徐音旦疽七徐切瘍音羊創初良切
濟河及著雍病目出大夫先歸者皆反士匄請見弗内請後曰鄭甥可	士匄中軍佐故問後也鄭甥荀呉其母鄭女著張慮切又直慮切雍於用切見賢遍切
二月甲寅卒而視不可含	目開口噤視如字徐市至切含戸暗切下同噤其䕃切
宣子盥而撫之曰事呉敢不如事主猶視	大夫稱主盥音管
欒懷子曰其爲未卒事於齊故也乎	懷子欒盈爲于僞切下注爲懷同
乃復撫之曰主苟終所不嗣事于齊者有如河乃瞑受含	嗣續也復扶又切瞑亡丁切一音士平切桓譚以爲荀偃病而目出初死其目未合尸冷乃合非其有所知也傳因其異而記之耳
宣子出曰吾淺之爲丈夫也	自恨以私待人
晉欒魴帥師從衛孫文子伐齊	爲懷子之言故也欒魴欒氏族不書兵并林父不别告也經書夏從告并如字又必政切
○季武子如晉拜師	謝討齊
晉侯享之范宣子爲政	代荀偃將中軍將子匠切後放此
賦黍苗	黍苗詩小雅美召伯勞來諸侯如隂雨之長黍苗也喻晉君憂勞魯國猶召伯召上照切下同勞力報切來力代切長丁丈切
季武子興再拜稽首曰小國之仰大國也如百榖之仰膏雨焉若常膏之其天下輯睦豈唯敝邑賦六月	六月尹吉甫佐天子征伐之詩以晉侯比吉甫出征以匡王國仰如字徐五亮切下同常膏古報切又如字輯音集本又作集
〇季武子以所得於齊之兵作林鍾而銘魯功焉	林鍾律名鑄鍾聲應林鍾因以爲名鑄之樹切應應對之應
臧武仲謂季孫曰非禮也夫銘天子令德	天子銘德不銘功
諸侯言時計功	舉得時動有功則可銘也
大夫稱伐	銘其功伐之勞
今稱伐則下等也	從大夫故
計功則借人也	借晉力也借如字又情亦切
言時則妨民多矣何以爲銘且夫大伐小取其所得以作彞器	彞常也謂鍾鼎爲宗廟之常器夫音扶彝以之切
銘其功烈以示子孫昭明德而懲無禮也今將借人之力以救其死若之何銘之小國幸於大國	以勝大國爲幸懲直升切
而昭所獲焉以怒之亡之道也	爲城西郛武城傳
〇齊侯娶于魯曰顔懿姬無子其姪鬷聲姬生光以爲大子	兄子曰姪顔鬷皆二姬母姓因以爲號懿聲皆謚娶七住切姪直結切鬷子公切
諸子仲子戎子戎子嬖	諸子諸妾姓子者二子皆宋女仲本亦作中音仲下皆放此嬖必計切
仲子生牙屬諸戎子	屬託之屬之蜀切
戎子請以爲大子許之	齊侯許之
仲子曰不可廢常不祥	廢立嫡之常嫡本或作適丁歷切
間諸侯難	事難成也間間厠之間
光之立也列於諸侯矣	列諸侯之㑹
今無故而廢之是專黜諸侯	謂光巳有諸侯之尊
而以難犯不祥也君必悔之公曰在我而巳遂東大子光	廢而徙之東鄙
使髙厚傅牙以爲大子夙沙衛爲少傅齊侯疾崔杼微逆光疾病而立之光殺戎子	終言之少詩照切下注公猶少同抒直吕切
尸諸朝非禮也婦人無刑	無黥刖之刑黥其京切刖音月又五刮切
雖有刑不在朝市	謂犯死刑者猶不暴尸暴蒲卜切
夏五月壬辰晦齊靈公卒	經書七月辛卯光定位而後赴
莊公即位	大子光也
執公子牙於句瀆之丘以夙沙衛易己衛奔髙唐以叛	光謂衛敎公易巳髙唐在祝阿縣西北句古侯切瀆音豆
○晉士匄侵齊及榖聞喪而還禮也	禮之常不必待君命
○於四月丁未	於此年四月
鄭公孫蠆卒赴於晉大夫范宣子言於晉侯以其善於伐秦也	十四年晉伐秦子蟜見諸侯師而勸之濟涇
六月晉侯請於王王追賜之大路使以行禮也	大路天子所賜車之揔名以行葬禮傳言大夫有功則賜服路
○秋八月齊崔杼殺髙厚於灑藍而兼其室	灑藍齊地灑色買切徐所綺切藍力甘切
書曰齊殺其大夫從君於昏也	傳解經不言崔杼殺而爲國討文
○鄭子孔之爲政也專	專權
國人患之乃討西宫之難	十年尉止等作難西宫子孔知而不言難乃且切下同
與純門之師	前年子孔召楚師至純門
子孔當罪以其甲及子革子良氏之甲守	以自守也守手又切下守備同
甲辰子展子西率國人伐之殺子孔而分其室書曰鄭殺其大夫專也	亦以國討爲文
子然子孔宋子之子也	子然子革父
士子孔圭嬀之子也	宋子圭嬀皆鄭穆公妾士子孔子良父嬀居危切
圭嬀之班亞宋子而相親也	亞文也亞於嫁切
二子孔亦相親也僖之四年子然卒	鄭僖四年魯襄六年
簡之元年士子孔卒	魯襄八年
司徒孔實相子革子良之室	司徒孔與二父相親故相助其子相息亮切
三室如一	言同心
故及於難	故二子并及難
子革子良出奔楚子革爲右尹	子革即鄭丹
鄭人使子展當國子西聽政立子産爲卿	簡公猶幼故大夫當國
〇齊慶封圍髙唐弗克	夙沙衛以叛故圍之
冬十一月齊侯圍之見衛在城上號之乃下	衛下與齊侯語號徐胡報切召也又户刀切
問守備焉以無備告揖之乃登	齊侯以衛告誠揖而禮之欲生之也衛志於戰死故不順齊侯之揖而還登城
聞師將傅食髙唐人殖綽工僂㑹夜縋納師	因其㑹食二子齊大夫傅音附食音嗣僂力侯切縋直僞切
醢衛于軍	醢音海
○城西郛懼齊也	前年與晉伐齊又鑄其器爲鍾故懼
○齊及晉平盟于大隧	大隧地闕隧音遂
故穆叔㑹范宣子于柯	齊晉平魯懼齊故爲柯㑹以自固
穆叔見叔向賦載馳之四章	四章日控于大邦誰因誰極控引也取其欲引大國以自救助控苦貢切
叔向曰肸敢不承命	叔向度齊未肯以盟服故許救魯度待洛切
穆叔歸曰齊猶未也不可以不懼乃城武城○衛石共子卒	石買共音恭
悼子不哀	買之子石惡
孔成子曰是謂蹷其夲	蹙猶拔也蹷其月切又居月切又居衛切
必不有其宗	爲二十八年石惡出奔傳
經二十年春王正月辛亥仲孫速㑹莒人盟于向	向莒邑向舒亮切
○夏六月庚申公㑹晉侯齊侯宋公衛侯鄭伯曹伯莒子邾子滕子薛伯𣏌伯小邾子盟于澶淵	澶淵在頓丘縣南今名繁汙此衛地又近戚田澶市然切汙音紆近附近之近
○秋公至自㑹	無傳
〇仲孫速帥師伐邾○蔡殺其大夫公子爕	莊公子爕息恊切
〇蔡公子履出奔楚	爕母弟也
○陳侯之弟黄出奔楚	稱弟明無罪也
〇叔老如齊〇冬十月丙辰朔日有食之	無傳
〇季孫宿如宋傳二十年春及莒平孟莊子㑹莒人盟于向督揚之盟故也	莒數伐魯前年諸侯盟督楊以和解之故二國自復共盟結其好數所角切下同解古買切又戸買切復扶又切下始復同好呼報切下同
○夏盟于澶淵齊成故也	齊與晉平
〇邾人驟至以諸侯之事弗能報也	驟數也謂十五年十七年伐魯
秋孟莊子伐邾以報之	旣盟而又代之非
〇蔡公子爕欲以蔡之晉	背楚背音佩
蔡人殺之公子履其母弟也故出奔楚	與兄同謀故
○陳慶虎慶寅畏公子黄之偪	二慶陳卿恐黄偪奪其政偪彼力切
愬諸楚曰與蔡司馬同謀	同欲之晉
楚人以爲討	討責陳
公子黄出奔楚	奔楚自理
初蔡文侯欲事晉曰先君與於踐土之盟	先君文侯父莊侯甲午也踐土􁋼在僖二十八年與音預
晉不可棄且兄弟也畏楚不能行而卒	宣十七年文侯卒
楚人使蔡無常	徴發無准
公子爕求從先君以利蔡不能而死書曰蔡殺其大夫公子爕言不與民同欲也	罪其違衆
陳侯之弟黄出奔楚言非其罪也	稱弟罪陳侯及二慶
公子黄將出奔呼於國曰慶氏無道求專陳國暴蔑其君而去其親五年不滅是無天也	爲二十三年陳殺二慶傳呼好故切去起吕切
○齊子初聘于齊禮也	齊魯有怨朝聘禮絶今始復通故白初繼好息民故曰禮
○冬季武子如宋報向戌之聘也	向戌聘在十五年
禇師叚逆之以受享	叚共公子子石也逆以入國受享禮禇張吕切叚徐徒亂切共音恭
賦常棣之七章以卒	武子賦也七章以卒盡八章取其妻子好合如鼔瑟琴冝爾室家樂爾妻帑言二國好合冝其室家相親如兄弟棣大計切樂音洛帑音奴
宋人重賄之歸復命公享之賦魚麗之卒章	魚麗詩小雅卒章曰物其有矣維其時矣喻聘宋得其時麗力馳切
公賦南山有臺	南山有臺詩小雅取其樂只君子邦家之基邦家之光喻武子奉使能爲國光暉只之氏切夲亦作旨使所吏切
武子去所曰臣不堪也	去所辟席
〇衛寗惠子疾召悼子	悼子寗喜
曰吾得罪於君悔而無及也名藏在諸侯之䇿曰孫林父寗殖出其君君入則掩之	掩惡名策𥘉革切出如字徐音黜
若能掩之則吾子也若不能猶有鬼神吾有餒而巳不來食矣	餒餓也餒奴罪切
悼子許諾惠子遂卒	爲二十六年衛侯歸傳
經二十有一年春王正月公如晉〇邾庶其以漆閭丘來奔	二邑在髙平南平陽縣東北有漆郷西北有顯閭亭以邑出爲叛適魯而言來奔内外之辭漆本或作淶徐音七閭力於切
〇夏公至自晉	無傳
〇秋晉欒盈出奔楚	盈不能防閑其母以聊奔亡稱名罪之
〇九月庚戌朔日有食之	無傳
〇冬十月庚辰朔日有食之	無傳
〇曹伯來朝〇公㑹晉侯齊侯宋公衛侯鄭伯曹伯莒子邾子于商任	啇任地闕任音壬
傳二十一年春公如晉拜師及取邾田也	謝十八年伐齊之師漷水之田
〇邾庶其以漆閭丘來奔	庶其邾大夫
季武子以公姑姊妻之	計公年不得有未嫁姑姊蓋寡者二人釋文公姑姊杜以公之姑及姊是二人也或曰列女傳稱梁有節姑妹謂父之妹也此云姑姊是父之姊也一人耳以杜氏爲誤案成二年楚侵及陽橋孟孫往賂以公衡爲質杜云衡成公子也楚師及宋公衡逃歸臧宣叔云衡父不忍數年之不宴以棄魯國則公衡之年下計猶十七八成公是其父固當三十有餘從成二年至此三十八歳姑又成公之姊則年近七十矣假令公衡非成公之子猶是成公之弟成九年伯姬歸于宋伯者長稱九年始嫁則爲成公之妹成公不得有姊矣若成公别有庶長之姊以成公公衡之年推之亦不復堪嫁故知二人也唯公羊以成公即位年幼據左氏成四年傳云公如晉晉侯見公不敬公歸欲求成于楚得季文子諌而止此非年幼也反覆推之杜氏不誤妻七計切及下同
皆有賜於其從者於是魯多盗季孫謂臧武仲曰子盍詰盗	詰治也從才用切下同盍胡臘切下盍反同詰起吉切
武仲曰不可詰也紇又不能季孫曰我有四封而詰其盗何故不可子爲司寇將盗是務去若之何不能武仲曰子召外盗而大禮焉何以止吾盗	吾謂國中去起吕切下皆同
子爲正卿而來外盗使紇去之將何以能庶其竊邑於邾以來子以姬氏妻之而與之邑	使食漆閭丘
其從者皆有賜焉若大盗禮焉以君之姑姊與其大邑其次皁牧輿馬	給其賤役從皁至牧凡八等之人皁在早切凡八等之人謂皁輿隸僚僕臺圉牧也
其小者衣裳劒帶是賞盗也賞而去之其或難焉紇也聞之在上位者洒濯其心壹以待人軌度其信可明徴也	徴驗也洒西禮切濯直角切度待洛切徴直升切
而後可以治人夫上之所爲民之歸也上所不爲而民或爲之是以加刑罰焉而莫敢不懲若上之所爲而民亦爲之乃其所也又可禁乎夏書曰念兹在兹	逸書也兹此也謂行此事當念使可施之於此
釋兹在兹	釋除也謂欲有所治除於人亦當顧巳得無亦有之
名言兹在兹	名此事言此事亦皆當今可施於此令力呈切
允出兹在兹	允信也信出於此則善亦在此
惟帝念功	言帝念功則功成也
將謂由已壹也信由已壹而後功可念也	言非但意念而巳當須信巳誠至
庶其非卿也以地來雖賤必書重地也	重地故書其人其人書則惡名彰以懲不義
〇齊侯使慶佐爲大夫	慶佐崔杼黨
復討公子牙之黨執父而專於國有死而巳吾蔑從之矣	言宣子專政盈欲以死作難難乃旦切
其謀如是懼害於主吾不敢不言范鞅爲之徴	證其有此
懷子好施士多歸之宣子畏其多士也信之懷子爲下卿	下軍佐好呼報切施式䜴切
宣子使城著而遂逐之	著晉邑在外易逐著直據切又張慮切易以䜴切
秋欒盈出奔楚宣子殺箕遺黄淵嘉父司空靖邴豫董叔邴師申書羊舌虎叔羆	十子皆晉大夫欒盈之黨也羊舌虎叔向弟邴音丙羆彼皮切
囚伯華叔向籍偃	籍偃上軍司馬
人謂叔向曰子離於罪其爲不知乎	譏其受囚而不能去知音智下及注同
叔向曰與其死亡若何	言雖囚何若於死亡
詩曰優哉游哉聊以卒歳知也	詩小雅言君子優游於衰丗所以辟害卒其壽是亦知也釋文詩小雅案今小雅無此全語唯采菽詩云優哉游哉亦是戾矣
樂王鮒見叔向曰吾爲子請叔向弗應出不拜	樂王鮒晉大夫樂桓子鮒音附應應對之應下注同一本作不應
其人皆咎叔向叔向曰必祁大夫	祁大夫祁奚也食邑於祁因以爲氏祁縣今屬大原咎其九切
室老聞之曰樂王鮒言於君無不行	其言皆得行
求赦吾子吾子不許	謂不應出不拜
祁大夫所不能也	不能動君
而曰必由之何也叔向曰樂王鮒從君者也何能行祁大夫外舉不棄讎内舉不失親其獨遺我乎詩曰有覺德行四國順之	詩大雅言德行直則天下順之行下孟切
夫子覺者也	覺較然正直較音角
晉侯問叔向之罪於樂王鮒對曰不棄其親其有焉	言叔向篤親親必與叔虎同謀
於是祁奚老矣	老去公族大夫
