春秋經傳集解莊公第三	莊公名同桓公子母姜謚法勝敵克亂曰壯
〇三月紀伯姬卒	無傳隱二年裂繻所逆者内女唯諸侯夫人卒葬皆書恩成於敵禮
○夏齊侯陳侯鄭伯遇于垂	無傳
〇紀侯大去其國	以國與季季奉社稷故不言滅不見迫逐故不言奔大去者不反之謂
〇六月齊侯葬紀伯姬	無傳紀季入酅爲齊附庸而紀侯大去其國齊侯加禮初附以崇厚義故攝伯姫之喪而以紀國夫人禮葬之
〇秋七月〇冬公及齊人狩于禚	無傳公越竟與齊微者俱狩失禮可知狩手又切竟音境
傳四年春王三月楚武王荆尸授師孑焉以伐隨	尸陳也荆亦楚也更爲楚
齊人宋人陳人蔡人伐衛傳五年秋郳犂來來朝名未王命也	未受爵命爲諸侯傳發附庸稱名例也其後數從齊桓以尊周室王命以爲小邾子數音朔
○冬伐衛納惠公也	惠公朔也桓十六年出奔齊
經六年春王正月王人子突救衛	王人王之微官也雖官卑而見授以大事故稱人而又稱字
〇夏六月衛侯朔入于衛	朔爲諸侯所納不稱歸而以國逆爲文朔懼失衆心以國逆告也歸入例在成十八年
〇秋公至自伐衛	無傳告於廟也
○螟	無傳爲災螟亡丁切
○冬齊人來歸衛俘	公羊榖梁經傳皆言衛寶此傳亦言寳唯此經言俘疑經誤俘囚也俘芳夫切
傳六年春王人救衛夏衛侯入放公子黔牟于周放寗跪于秦殺左公子洩右公子職	寗跪衛大夫宥之以逺曰放寗乃定切跪其毀切宥音又
乃即位君子以二公子之立黔牟爲不度矣夫能固位者必度於本末而後立衷焉不知其本不謀知本之不枝弗彊	本末終始也衷節適也譬之樹木本弱者其枝必披非人力所能彊成度待洛切衷丁仲切注同王音忠彊其丈切注同披普靡切又普知切
詩云本枝百丗	詩大雅言文王本枝俱茂蕃滋百丗也蕃音煩
〇冬齊人來歸衛寳文姜請之也	公親與齊共伐衛事畢而還文姜淫於齊侯故求其所獲珍寳使以歸魯欲說魯以謝慙國音悅
〇楚文王伐申過鄧鄧祁侯曰吾甥也	祁謚也姊妹之子曰甥祁巨支切字林上尸切
止而享之騅甥耼甥養甥請殺楚子	皆鄧甥仕於舅氏也騅音隹
鄧侯弗許三甥曰亡鄧國者必此人也若不早圖後君噬齊	若齧腹齊喻不可及噬市制切齊粗兮切齧五結切
其及圖之乎圖之此爲時矣鄧侯曰人將不食吾餘	言自害其甥必爲人所賤
對曰若不從三臣抑社稷實不血食而君焉取餘	言君無復餘焉於䖍切復扶又切
弗從還年楚子伐鄧	伐申還之年
十六年楚復伐鄧滅之	魯莊公十六年楚終彊盛爲經書楚事張本
經七年春夫人姜氏會齊侯于防	防魯地
〇夏四月辛卯夜恒星不見	恒常也謂常見之星辛卯四月五日月光尚微蓋時無雲日光不以昏没見賢遍切注及傳皆同
夜中星隕如雨	如而也夜半乃有雲星落而且雨其數多皆記異也日光不匿恒星不見而云夜中者以水漏知之夜中夜半也丁仲切又如字隕于閔切落也匿女力切
〇秋大水	無傳
〇無麥苗	今五月周之秋平地水出漂殺熟麥及五稼之苗漂匹妙切又匹遙切
〇冬夫人姜氏會齊侯于穀	無傳榖齊地今齊北榖城縣
傳七年春文姜會齊侯于防齊志也	文姜數與齊侯會至齊地則姦發夫人至魯地則齊侯之志故傳略舉二端以言之數音朔
〇夏桓星不見夜明也星隕如雨與雨偕也	偕俱也偕音皆
〇秋無麥苗不害嘉榖也	黍稷尚可更種故曰不害嘉榖
經八年春王正月師次于郎以俟陳人蔡人	無傳期共伐郕陳蔡不至故駐師于郎以待之
〇甲午治兵	治兵於廟習號令將以圍郕
〇夏師及齊師圍郕郕降于齊師	二國同討而齊獨納郕降戸江切傳皆同
〇秋師還	時史善公克己復禮全軍而還故特書師還
〇冬十有一月癸未齊無知弑其君諸兒	稱臣臣之罪也兒如字一音五兮切
傳八年春治兵于廟禮也夏師及齊師圍郕郕降于齊師仲慶父請伐齊師	齊不與魯共其功故欲伐之
公曰不可我實不德齊師何罪罪我之由夏書曰臯陶邁種德	夏書逸書也稱臯陶能勉種德邁勉也夏戸雅切後放此陶音遙
德乃降姑務脩德以待時乎	言苟有德乃爲人所降服姑且也
秋師還君子是以善魯莊公	傳言經所以即用舊史之文
〇齊侯使連稱管至父戍葵丘	連稱管至父皆齊大夫戍守也葵丘齊地臨湽縣西有地名葵丘稱尺證切又如字
瓜時而往曰及瓜而代期戍公問不至	問命也期音基本亦作朞
請代弗許故謀作亂僖公之母弟曰夷仲年生公孫無知有寵於僖公衣服禮秩如適	適大子適丁歷切
襄公絀之二人因之以作亂	二人連稱管至父絀勑律切
連稱有從妹在公宫無寵使間公	伺公之間隙從才用切下從者同間如字注同或古莧切非
曰捷吾以女爲夫人	捷克也宣無知之言捷在接切女音汝
冬十二月齊侯游于姑棼遂田干貝丘	姑棼貝丘皆齊地田獵也樂安博昌縣南有地名貝丘棼扶云切貝補蓋切
見大豕從者曰公子彭生也	公見大豕而從者見彭生皆妖鬼
公怒曰彭生敢見射之豕人立而啼公懼隊于車傷足喪屨反誅屨於徒人費	誅責也啼田兮切樂音洛見賢遍切射食亦切隊直類切喪息浪切屨九具切費音秘
弗得鞭之見血走出遇賊于門劫而束之費曰我奚御哉袒而示之背信之費請先入	詐欲助賊御魚吕切袒音伹
伏公而出鬪死于門中石之紛如死于階下	石之紛如齊小臣亦鬪死紛敷文切
遂入殺孟陽于牀	孟陽亦小臣代公居牀牀士良切
曰非君也不類見公之足于戸下遂弑之而立無知	經書十一月癸未長歷推之月六日也傳云十二月傳誤
初襄公立無常	政令無常
鮑叔牙曰君使民慢亂將作矣奉公子小白岀奔莒	鮑叔牙小白傅小白僖公庶子鮑歩卯切
亂作管夷吾召忽奉公子糾來奔	管夷吾召忽皆子糾傅也子糾小白庶兄來不書皆非卿也爲九年公伐齊納子糾齊小白入于齊傳召時照切糾居黝切
初公孫無知虐于雍廪	雍廪齊大夫爲殺無知傳廪力錦切
經九年春齊人殺無知	無知弑君而立未列於會故不書爵例在成十六年
〇公及齊大夫盟于蔇	齊亂無君故大夫得敵於公蓋欲迎子糾也來者非一人故不稱名蔇魯地琅邪繒縣北有蔇亭蔇其器切繒才陵切
〇夏公伐齊納子糾齊小白入于齊	一公子各有黨故雖盟而迎子糾當須伐乃得入又出在小白之後小白稱入從國逆之文本無位
〇秋七月丁酉葬齊襄公	無傳九月乃葬亂故
〇八月庚申及齊師戰于乾時我師敗績	小白旣定而公猶不退師歷時而戰戰遂大敗不稱公戰公敗諱之乾時齊地時水在樂安界岐流旱則竭涸故曰乾時乾音干岐其冝切又巨移切涸戸各切
〇九月齊人取子糾殺之	公子爲賊亂則書齊實告殺而書齊取殺者時史惡齊志在譎以求管仲非不忍其親故極言之惡烏路切譎古穴切
〇冬浚洙	無傳洙水在魯城北下合泗浚深之爲齊備浚蘇俊切洙音殊水名泗音四
傳九年春雍廪殺無知公及齊大夫盟于蔇齊無君也夏公伐齊納子糾桓公自莒先入	桓公小白
秋師及齊師戰于乾時我師敗績公喪戎路傳乗而歸	戎路兵車傳乗乗他車喪息浪切傳直專切又丁戀切乗繩證切注傳乗同乗他車如字
秦子梁子以公旗辟于下道	二子公御及戎右也以誤齊師辟音避本亦作避又婢亦切
是以皆止	止獲也
鮑叔帥師來言曰子糾親也請君討之	鮑叔乗勝而進軍志在生得管仲故託不忍之辭
管召讎也請受而甘心焉	管仲射桓公故曰讎甘心言欲快意戮殺之召時照切讎市由切射食亦切
乃殺子糾于生竇	生竇魯地竇音豆
召忽死之管仲請囚鮑叔受之及堂阜而稅之	堂阜齊地東莞蒙隂縣西北有夷吾亭或曰鮑叔解夷吾縛於此因以爲名稅本又作說同吐活切又失鋭切解姑蟹切縛扶略切
歸而以告曰管夷吾治於髙傒	髙傒齊卿髙敬仲也言管仲治理政事之才多於敬仲治直吏切傒音兮
使相可也公從之	相息亮切
經十年春王正月公敗齊師于長勺	齊人雖成列魯以權譎稽之列成而不得用故以未陳爲文例在十一年長勺魯地勺上酌切陳直覲切十一年經注同
〇二月公侵宋	無傳侵例在二十九年
〇三月宋人遷宿	無傳宋彊遷之而取其地故文異於邢遷彊其犬切
〇夏六月齊師宋師次于郎	不言侵伐齊爲兵主背蔇之盟義與長勺同背音佩傳同
〇公敗宋師于乗丘	乗丘魯地乗繩證切
〇秋九月荆敗蔡師于莘	荊楚本號後改爲楚楚辟陋在夷於此始通上國然告命之辭猶未合典禮故不稱將帥莘蔡地莘所巾切率子匠切又作帥同所類切
以蔡侯獻舞歸	獻舞蔡季
〇冬十月齊師滅譚	譚國在濟南平陵縣西南傳曰譚無禮此直釋所以見滅經無義例他皆放此滅例在文十五年譚徒南切
譚子奔莒	不言岀奔國滅無所出
傳十年春齊師伐我	不書侵伐齊背蔇之盟我有辭
公將戰曹劌請見	曹劌魯人劌古衛切見賢遍切
其郷人曰肉食者謀之又何間焉	肉食在位者間猶與也間間厠之間與音預
劌曰肉食者鄙未能逺謀乃入見問何以戰公曰衣食所安弗敢專也必以分人對曰小惠未徧民弗從也	分公衣食所惠不過左右故曰未徧徧音遍
公曰犧牲王帛弗敢加也必以信	祝辭不敢以小爲大以惡爲美犧許冝切
對曰小信未孚神弗福也	孚大信也
公曰小大之獄雖不能察必以情	必盡己情察審也
對曰忠之屬也	上思利民忠也屬音蜀
可以一戰戰則請從公與之乗	共乗兵車從才用切之乗繩證切
戰于長勺公將鼓之劌曰未可齊人三鼔劌曰可矣齊師敗績公將馳之劌曰未可下視其轍	視車跡也三息暫切又如字轍直列切
登軾而望之曰可矣遂逐齊師旣克公問其故對曰夫戰勇氣也一鼓作氣再而衰三而竭彼竭我盈故克之夫大國難測也懼有伏焉	恐詐奔軾音式伏如字舊扶又切
吾視其轍亂望其旗靡故逐之	旗靡轍亂怖遽旗音其靡音美怖普布切遽其據切
〇夏六月齊師宋師次于郎公子偃曰宋師不整可敗也	公子偃魯大夫
宋敗齊必還請擊之公弗許自雩門竊出蒙臯比而先犯之	雩門魯南城門臯比虎皮雩音于比音毗
公從之大敗宋師于乗丘齊師乃還○蔡哀侯娶于陳息侯亦娶焉息嬀將歸過蔡蔡侯曰吾姨也	妻之姊妹曰姨
止而見之弗賔	不禮敬也
息侯聞之怒使謂楚文王曰伐我吾求救於蔡而伐之楚子從之秋九月楚敗蔡師于莘以蔡侯獻舞歸〇齊侯之出也過譚譚不禮焉及其入也諸侯皆賀譚又不至	以九年入過古禾切
冬齊師滅譚譚無禮也譚子奔莒同盟故也	傳言譚不能及遠所以亡
經十有一年春王正月	無傳
〇夏五月戊寅公敗宋師于鄑	鄑魯地傳例曰敵未陳曰敗某師鄑子斯切
〇秋宋大水	公使弔之故書
〇冬王姬歸于齊	魯主昏不書齊侯逆不見公
傳十一年夏宋爲乗丘之役故侵我公禦之宋師未陳而薄之敗諸鄑凡師敵未陳曰敗某師	通謂設權譎變詐以勝敵彼我不得成列成列而不得用故以未陳獨敗爲文爲于僞切陳直覲切
皆陳曰戰	堅而有備各得其所成敗決於志力者也
大崩曰敗績	師徒撓敗若沮岸崩山喪其功績故曰敗績撓乃孝切又乃巧切沮在吕切壞也又子餘切岸崩謂之沮喪息浪切
得儁曰克	謂若大叔叚之比才力足以服衆威權足以自固進不成爲外冠彊敵退復狡壯有二君之難而實非二君克而勝之則不言彼敗績但書所克之名儁音俊本或作俊比必利切復扶又切狡交卯切將側亮切難乃且切
覆而敗之曰取某師	覆謂威力兼備若羅網所掩覆一軍皆見擒制故以取爲文
京師敗曰王師敗績于某	王者無敵於天下天下非所得與戰者然春秋之丗據有其事事列於經則不得不因申其義有時而敗則以自敗爲文明天下莫之得校京師敗本或作京師敗績者非校音教
○秋宋大水公使弔焉曰天作淫雨害於粢盛若之何不弔	不爲天所愍弔
對曰孤實不敬天降之災又以爲君憂拜命之辱	謝辱厚命
臧文仲曰宋其興乎	臧文仲魯大夫
禹湯罪己其興也悖焉	悖盛貌悖蒲忽切一作勃同
桀紂罪人其亡也忽焉	忽速貌紂直久切
且列國有凶稱孤禮也	列國諸侯無凶則常稱寡人
言懼而名禮其庶乎	言懼罪已名禮稱孤其庶庶幾於興言懼而名禮絶句或以名絶句者非
旣而聞之曰公子御說之辭也	宋莊公子御魚吕切本或作禦說音恱
臧孫達曰是冝爲君有恤民之心〇冬齊侯來逆共姬	齊桓公也共音恭
〇乗丘之役	在十年
公以金僕姑射南宫長萬	金僕姑矢名南宫長萬宋大夫射食亦切長丁丈切
公右歂孫生搏之	搏取也不書獲萬時未爲卿歂市專切搏音博
宋人請之宋公靳之	戲而相愧曰靳魯聽其得還靳居覲切服云恥而惡之曰靳
曰始吾敬子今子魯囚也吾弗敬子矣病之	萬不以爲戲而以爲己病爲宋萬弒君傳
經十有二年春王三月紀叔姬歸于酅	無傳紀侯去國而死叔姬歸魯紀季自定於齊而後歸之全守節義以終婦道故繫之紀而以初嫁爲文賢之也來歸不書非寧且非大歸酅音攜
〇夏四月〇秋八月甲午宋萬弑其君捷及其大夫仇牧	捷閔公不書葬亂也萬及仇牧皆宋卿仇牧稱名不警而遇賊無善事可襃警居領切
○冬十月宋萬出奔陳	奔例在宣十年
傳十二年秋宋萬弑閔公于蒙澤	蒙澤宋地梁國在蒙縣
遇仇牧于門批而殺之	手批之批音普迷切又蒲穴切字林云擊也父迷父節二切
遇大宰督于東宮之西又殺之	殺督不書宋不以告大音泰
立子游	子游宋公子
羣公子奔蕭公子御說奔亳	蕭宋邑今沛國蕭縣亳宋邑蒙縣西北有亳城亳歩各切
南宮牛猛獲帥師圍亳	牛長萬之子猛獲其黨
冬十月蕭叔大心	叔蕭大夫名
及戴武宣穆莊之族	宋五公之子孫
以曹師伐之殺南宮牛于師殺子游于宋立桓公	桓公御說
猛獲奔衛南宫萬奔陳以乗車輦其母一日而至	乗車非兵車駕人曰輦宋去陳二百六十里言萬之多力南宫萬奔陳本或作長萬長衍字也下亦然乗繩證切注同
宋人請猛獲于衛衛人欲勿與石祁子曰不可	石祁子衛大夫
天下之惡一也惡於宋而保於我保之何補得一夫而失一國與惡而棄好非謀也	宋衛本同好國好呼報切注同
衛人歸之亦請南宫萬于陳以賂陳人使婦人飮之酒而以犀革裹之比及宋手足皆見宋人皆醢之	醢肉醬井醢猛獲故言皆於陳以賂絶句飲於鴆切犀音西裹音果比必利切見賢遍切醢音海
經十有三年春齊侯宋人陳人蔡人邾人會于北杏	北杏齊地杏戸猛切
○夏六月齊人滅遂	遂國在濟北蛇丘縣東北蛇音移
〇秋七月〇冬公會齊侯盟于柯	此柯今濟比東阿齊之阿邑猶祝柯今爲祀阿柯古何切
傳十三年春會于北杏以平宋亂	宋有弑君之亂齊桓欲脩霸業
遂人不至夏齊人滅遂而戍之	戍守也
〇冬盟于柯始及齊平也	始與齊桓通好好音呼報切
○宋人背北杏之會	背音佩十四年經注同
經十有四年春齊人陳人曹人伐宋	背北杏會故
〇夏單伯會伐宋	旣伐宋單伯乃至故曰會伐宋單伯周大夫
○秋七月荆入蔡	入例在文十五年
○冬單伯會齊侯宋公衛侯鄭伯于鄄	鄄衛地今東郡甄城也齊桓脩霸業卒平宋亂宋人服從欲歸功天子故赴以單伯會諸侯爲文鄄音絹甄音絹又音眞或音旃又舉然切或作鄄
傳十四年春諸侯伐宋齊請師于周	齊欲崇天子故請師假王命以示大順經書人傳言諸侯者揔衆國之辭
夏單伯會之取成于宋而還〇鄭厲公自櫟侵鄭	厲公以桓十五年入櫟遂居之櫟音歷
及大陵獲傅瑕	大陵鄭地傅瑕鄭大夫
傅瑕曰苟舎我吾請納君與之盟而赦之六月甲子傅瑕殺鄭子及其二子而納厲公	鄭子莊四年稱伯會諸侯今見殺不稱君無謚者微弱臣子不以君禮成喪告諸侯舍音捨鄭子子儀
初内蛇與外蛇鬪於鄭南門中内蛇死六年而厲公入公聞之問於申繻曰猶有妖乎對曰人之所忌其氣𦦨以取之妖由人興也	尚書洛誥無若火始𦦨𦦨未盛而進退之時以喻人心不堅正蛇市奢切繻音須妖於驕切𦦨音豔注同誥古報切
人無釁焉妖不自作人棄常則妖興故有妖厲公入遂殺傅瑕使謂原繁曰傅瑕貳	言有二心於已釁許靳切
周有常刑旣伏其罪矣納我而無二心者吾皆許之上大夫之事吾願與伯父圖之	上大夫卿也伯父謂原繁疑原繁有二心
且寡人出伯父無裏言	無納我之言裏音
入又不念寡人	不親附巳
寡人憾焉對曰先君桓公命我先人典司宗祏	桓公鄭始受封君也宗祏宗廟中藏主石室言巳丗爲宗廟守臣憾户暗切祏音石藏主石函也守手又切
社稷有主而外其心其何貳如之苟主社稷國内之民其誰不爲臣臣無二心天之制也子儀在位十四年矣	子儀鄭子也
而謀召君者庸非貳乎	庸用也
莊公之子猶有八人若皆以官爵行賂勸貳而可以濟事君其若之何臣聞命矣乃縊而死	莊公子猶有八人傳唯見四人子忽子亹子儀竝死獨厲公在八人名字祀傳無聞縊一賜切
〇蔡哀侯爲莘故䋲息嬀以語楚子	莘授在十年繩譽也爲于僞切萃所巾切語魚據切徳食承切說文作譝譽音餘又如字
楚子如息以食人享遂滅息	僞設享食之具食音嗣
以息嬀歸生堵敖及成王焉未言	未與王言堵丁古切敖五羔切杜云楚人謂未成君爲敖史記作杜敖
楚子問之對曰吾一婦人而事二夫縱弗能死其又奚言楚子以蔡侯滅息遂伐蔡	欲以說息嬀說音悅
秋七月楚入蔡君子曰商書所謂惡之易也如火之燎于原不可鄉邇其猶可撲滅者其如蔡哀侯乎	商書盤庚言惡易長而難滅易以䜴切注同燎力召切又力弔切郷許亮切撲普卜切盤歩干切本又作般長丁丈切
〇冬會于鄄宋服故也經十有五年春齊侯宋公陳侯衛侯鄭伯會于鄄〇夏夫人姜氏如齊	無傳夫人文姜齊桓公姊妹父母在則禮有歸寜没則使卿寜
○秋宋人齊人邾人伐郳	宋主兵故序齊上郳五兮切
〇鄭人侵宋〇冬十月傳十五年春復會焉齊始霸也	始爲諸侯長復扶又切長丁丈切
○秋諸侯爲宋伐郳	郳附庸屬宋而叛故齊桓爲之伐郳爲于僞切
鄭人間之而侵宋	間間厠之間一本作聞
經十有六年春王正月○夏宋人齊人衛人伐鄭	宋主兵也班序上下以國大小爲次征伐則以主兵爲先春秋之常也他皆放此
○秋荆伐鄭〇冬十有二月會齊侯宋公陳侯衛侯鄭伯許男滑伯滕子同盟二幽	書會魯㑹之不書其人微者也言同盟服異也陳國小每盟會皆在衛下齊桓始霸楚亦始彊陳侯介於二大國之間而爲三恪之客故齊桓因而進之遂班在衛上終於春秋滑國都費河南緱氏縣幽宋地介音界恪苦各切一本或無之客二字費扶味切又音秘緱古侯切又苦侯切
〇邾子克卒	無傳克儀父名稱子者蓋齊桓請王命以爲諸侯再同盟
傳十六年夏諸侯伐鄭宋故也	鄭侵宋故宋故也本或作爲宋故
〇鄭伯自櫟入	在十四年
緩告于楚秋楚伐鄭及櫟爲不禮故也鄭伯治與於雍糾之亂者	在桓十五年爲干僞切下同與音預
九月殺公子閼刖彊鉏	二子祭仲黨斷足曰刖公子閼安末切案隱十一年鄭有公孫閧距此三十五年不容復有公子閼若非閼字誤則子當爲孫刖音月又五刮切鉏仕魚切斷丁管切
公父定叔出奔衛	共叔叚之孫定謚也父音甫王音如字共音恭
三年而復之曰不可使共叔無後於鄭使以十月入曰良月也就盈數焉	數滿於十
君子謂彊鉏不能衛其足	言其不能早辟害
○冬同盟于幽鄭成也○王使虢公命曲沃伯以一軍爲晉侯	曲沃武公遂并晉國僖王因就命爲晉侯小國故一軍并如字王必政切
初晉武公伐夷執夷詭諸	夷詭諸周大夫夷采地名詭九委切采七代切後放此
蔿國請而免之	蔿國周大夫蔿于委切
旣而弗報	詭諸不報施於蔿國施始䜴切
故子國作亂謂晉人曰與我伐夷而取其地	使晉取夷地
遂以晉師伐夷殺夷詭諸周公忌父出奔虢	周公忌父王卿士辟子國之難難乃旦切
惠王立而復之	魯桓十五年經書桓王崩魯莊三年經書葬桓王自此以來周有莊王又有僖王崩葬皆不見於經傳王室微弱不能復自通於諸侯故傳因周公忌父之事而見惠王惠王立在此年之末見賢遍切下同復扶又切
經十有七年春齊人執鄭詹	齊桓始伯鄭旣伐宋又不朝齊詹爲鄭執政大臣詣齊見執不稱行人罪之也行人例在襄十一年諸執大夫皆稱人以執之大夫賤故詹之廉切伯音霸又如字本又作霸
○夏齊人殱于遂	殱盡也齊人戍遂翫而無備遂人討而盡殺之故時史因以自盡爲文殱子廉切翫五亂切盡津忍切
〇秋鄭詹自齊逃來	無傳詹不能伏節守死以解國患而遁逃苟免書逃以賤之遁徒遜切
〇冬多麋	無傳麋多則害五稼故以災書麋亡悲切
傳十七年春齊人執鄭詹鄭不朝也〇夏遂因氏頜氏工婁氏須遂氏饗齊戍醉而殺之齊人殱焉	饗酒食也四族遂之彊宗齊滅遂戍之在十三年頜烏納切又苦荅切婁力侯切饗本又作享
經十有八年春王三月日有食之	無傳不書日官失之
〇夏公追戎于濟西	戎來侵魯公逐之於濟水之西
〇秋有􁉃	􁉃短狐也蓋以含沙射人爲災􁉃本又作蜮音或本草謂之射工短本又作斷同丁管切狐又作弧音胡射食亦切
〇冬十月傳十八年春虢公晉侯朝王王饗醴命之宥	王之覲羣后始則行饗禮先置醴酒示不忘古飲宴則命以幣物宥助也所以助歡敬之意言備設醴音禮宥音又
皆賜玉五瑴馬三匹非禮也	雙玉爲榖瑴立角又作珏
王命諸侯名位不同禮亦異數不以禮假人	侯而與公同賜是借人禮借子夜切
〇虢公晉侯鄭伯使原莊公逆王后于陳陳嬀歸于京師	虢晉朝王鄭伯又以齊執其卿故求王爲援皆在周倡義爲王定昏陳人敬從得同姓宗國之禮故傳詳其事不書不告爲于僞切
實惠后	陳嬀後號惠后寵愛少子亂周室事在僖二十四年故傳於此並正其后稱少詩照切稱尺證切
〇夏公追戎于濟西不言其來諱之也	戎來侵魯魯人不知去乃追之故諱不言其來
〇秋有􁉃爲災也〇初楚武王克權使鬪緍尹之	權國名南郡當陽縣東南有權城鬪緍楚大夫緍亡巾切
以叛圍而殺之	緍以權叛以叛絶句本或作畔俗字也
遷權於那處	那處楚地南郡編縣東南有那口城那又作耼同乃多切處昌吕切又昌慮切編必綿切又歩典切
使閻敖尹之	閻敖楚大夫
及文王即位與巴人伐申而驚其師	驚巴師
巴人叛楚而伐那處取之遂門于楚	攻楚城門
閻敖游涌而逸	涌水在南郡華容縣閻敖旣不能守城又游涌水而走涌音勇水名
楚子殺之其族爲亂冬巴人因之以伐楚經十有九年春王正月〇夏四月〇秋公子結媵陳人之婦于鄄遂及齊侯宋公盟	無傳公子結魯大夫公羊榖梁皆以爲魯女媵陳侯之婦其稱陳人之婦未入國略言也大夫出竟有可以安社稷利國家者則專之可也結在鄄聞齊宋有會權事之宜去其本職遂與二君爲盟故備書之本非魯公意而又失媵陳之好故冬各來伐媵以證切又繩證切送也竟音境好呼報切
〇夫人姜氏如莒	無傳非父母國而往書姦
〇冬齊人宋人陳人伐我西鄙	無傳幽之盟魯使微者會鄄之盟又使媵臣行所以受敵鄙邊邑
傳十九年春楚子禦之大敗於津	禦巴人爲巴人所敗津楚地或曰江陵縣有津郷
還鬻拳弗納遂代黃	鬻拳楚大閽黄嬴姓國今弋陽縣鬻音育拳求圎切閽音昏守門人也嬴音盈姓也字從女
敗黃師于踖陵	踖陵黄地踖在亦切又七略切
還及湫有疾	南郡鄀縣東南有湫城湫子小切鄀音若
夏六月庚申卒鬻拳葬諸夕室	夕室地名夕朝夕之夕
亦自殺也而葬於絰皇	絰皇冡前闕生守門故死不失職絰田結切絰皇闕也
初鬻拳彊諫楚子楚子弗從臨之以兵懼而從之鬻拳曰吾懼君以兵罪莫大焉遂自刖也楚人以爲大閽謂之大伯	若今城門校尉官彊其丈切大音泰校戸教切字從木
使其後掌之	使其子孫常王此官
君子曰鬻拳可謂愛君矣諫以自納於刑刑猶不忘納君於善	言愛君明非臣法也楚能盡其忠愛所以興
〇初王姚嬖于莊王生子頽	王姚莊王之妾也姚姓姚羊消切嬖必計切頽徒囬切
子頽有寵蔿國爲之師及惠王即位	周惠王莊王孫
取蔿國之圃以爲囿	圃園也囿苑也圃必古切又音布囿音又徐于目切苑於阮切
邊伯之宫近於王宫王取之	邊伯周大夫近附近之近
王奪子禽祝跪與詹父田	公子周大夫跪求委切
而收膳夫之秩	膳夫石速也秩禄也收式周切
故蔿國邊伯石速詹父子禽祝跪作亂因蘇氏	蘇氏周大夫桓王奪其十二邑以與鄭自此以來遂不和
秋五大夫奉子頽以伐王	石速士也故不在五大夫數
不克出奔温	温蘇氏邑
