春秋經傳集解宣下第十一杜氏盡十八年經十有二年春葬陳靈公	無傳賊討國復二十二月然後得葬
君之惠也孤之願也非所敢望也敢布腹心君實圖之左右曰不可許也得國無赦王曰其君能下人必能信用其民矣庸可幾乎退三十里而許之乎	退一舍以禮鄭下遐嫁切幾音冀
潘尫入盟子良出質	潘尫楚大夫子良鄭伯弟尫烏黄切質音致
〇夏六月晉師救鄭荀林父將中軍	代郤欽將子匠切下及注同下尹將將左將右放此
先縠佐之	彘季代林父縠戸木切又作榖同彘直例切
士會將上軍	河曲之役郤缺將上軍宣八年代趙盾爲政將中軍士會代將上軍
郤克佐之	郤缺之子代臾駢臾羊朱切駢蒲邊切
趙朔將下軍	代奱盾
欒書佐之	欒盾之子代趙朔
趙括趙嬰齊爲中軍大夫	括嬰齊皆趙盾異母弟
鞏朔韓穿爲上軍大夫荀首趙同爲下軍大夫	荀首林父弟趙同趙嬰兄鞏九勇切
韓厥爲司馬	韓萬玄孫
及河聞鄭旣及楚平桓子欲還曰無及於鄭而勦民焉用之	桓子林父勦勞也勦初交切徐子小切焉於䖍切
楚歸而動不後	動兵伐鄭
隨武子曰善	武子士會
會聞用師觀釁而動	釁罪也釁許靳切服云間也
德刑政事典禮不易不可敵也不爲是征	言征伐爲有罪不爲有禮爲于僞切注同
楚軍討鄭怒其貳而哀其卑叛而伐之服而舎之德刑成矣伐叛刑也柔服德也二者立矣昔歳入陳	討徵舒
今兹入鄭民不罷勞君無怨讟	讟謗也罷音皮讟徒木切
政有經矣	經常也
荆尸而舉	荆楚也尸陳也楚武王始更爲此陳法遂以爲名陳直覲切下同
商農工賈不敗其業而卒乗輯睦	歩曰卒車曰乗賈音古卒子忽切注同乗䋲證切主皆同輯音集又七入切
事不奸矣	奸犯也奸音干
蔿敖爲宰擇楚國之令典	宰令尹蔿敖孫叔敖蔿于僞切
軍行右轅左追蓐	在車之右者挾轅爲戰備在左者追求草蓐爲宿備傳曰令尹南轅又曰改乗轅楚陳以轅爲主蓐音辱挾胡牒切又古洽切又古恊切
前茅慮無	慮無如今軍行前有斥侯蹹伏皆持以絳及白爲幡見騎賊舉絳幡見歩賊舉白幡備慮有無也茅明也或曰時楚以茅爲旌識蹹徒臘切幡芳元切騎其寄切識申志切一音志
中權後勁	中軍制謀後以精兵爲殿勁吉政切殿丁練切
百官象物而動軍政不戒而備	物猶類也戒勑令
能用典矣其君之舉也内姓選於親外姓選於舊	言親䟽並用
舉不失德賞不失勞老有加惠	賜老則不計勞
旅有施舎	族客來者施之以惠舎不勞役
君子小人物有服章	尊卑别也别彼列切
貴有常尊賤有等威	威儀有等差差初佳切又初宜切
禮不逆矣德立刑行政成事時典從禮順若之何敵之見可而進知難而退軍之善政也兼弱攻昧武之善經也	昧昏亂經法也昧音妹
子姑整軍而經武乎	始且也
猶有弱而昧者何必楚仲虺有言曰取亂侮亡兼弱也	仲虺湯左相薛之祖奚仲之後虺許鬼切侮亡吕切相息亮切
汋曰於鑠王師遵養時晦	汋詩頌篇名鑠美也言美武王能遵天之道須暗昧者惡積而後取之汋章略切於音烏鑠舒若切注同
耆昧也	耆致也致討於昧耆音旨徐其夷切下同
武曰無競惟烈	武詩頌篇名烈業也言武王兼弱取昧故成無疆之業疆居良切
撫弱耆昧以務烈所可也	言當務從武王之功業撫而取之以務烈所絶句
彘子曰不可	彘子先縠
晉所以霸師武臣力也今失諸侯不可謂力有敵而不從不可謂武由我失霸不如死且成師以出聞敵彊而退非夫也	非丈夫
命爲軍帥而卒以非夫唯羣子能我弗爲也以中軍佐濟	佐彘子所帥也濟渡河帥所類切下及注有帥元帥三帥同
知莊子曰此師殆哉	莊子荀首知音智
周易有之在師䷆	坎下坤上師
之臨䷒	兊下坤上臨師初六變而之臨
曰師出以律否臧凶	此師卦初六爻辭律法否不也臧子郎切
執事順成爲臧逆爲否	今彘子逆命不順成故應否臧之凶應應對之應
衆散爲弱	坎爲衆今變爲兊兊柔弱
川壅爲澤	坎爲川今變爲兊兊爲澤是川見壅壅於勇切本又作雍注皆同
有律以如已也	如從也法行則人從法法敗則法從人坎爲法象今爲衆則散爲川則壅是失法之用從人之象
故曰律否臧且律竭也	竭敗也坎變爲兊是法敗
盈而以竭夭且不整所以凶也	水遇夭塞不得整流則竭涸也夭於表切
不行之謂臨	水變爲澤乃成臨卦澤不行之物
有帥而不從臨孰甚焉此之謂矣	譬彘子之違命亦不可行
果遇必敗	遇敵
彘子尸之	主此禍
雖免而歸必有大咎	爲明年晉殺先縠傳咎其九切
韓獻子謂桓子	獻子韓厥
曰彘子以偏師陷子罪大矣子爲元帥師不用命誰之罪也失屬亡師爲罪巳重不如進也	令鄭屬楚故曰失屬彘子以偏師陷故曰亡師令力呈切
事之不捷惡有所分	捷成也
與其專罪六人同之不猶愈乎	三軍皆敗則六卿同罪不得獨責元帥
師遂濟楚子比師次于郔	郔鄭北地郔音延
沈尹將中軍	沈或作寢寝縣也今汝隂固始縣沈音審
子重將左子反將右將飲馬於河而歸	子反公子側飲於鴆切
聞晉師旣濟王欲還嬖人伍參欲戰	參伍奢之祖父嬖必計切徐甫詣切字林方䜴切叄七南切
令尹孫叔敖弗欲曰昔歳入陳今兹入鄭不無事矣戰而不捷參之肉其足食乎参曰若事之捷孫叔爲無謀矣不捷參之肉將在晉軍可得食乎令尹南轅反旆	迴車南郷旆軍前大旗旆蒲貝切鄉又作嚮許亮切
伍參言於王曰晉之從政者新未能行令其佐先縠剛愎不仁未肯用命	愎很也愎皮逼切很胡墾切
其三帥者專行不獲	欲專其所行而不得
聽而無上衆誰適從	聽彘子趙同趙括則爲軍無上令衆不知所從適丁歷切
此行也晉師必敗且君而逃臣若社稷何王病之告令尹改乗轅而北之次于管以待之晉師在敖鄗之間	熒陽京縣東北有管城敖鄗二山在熒陽縣西北乗繩證切管古緩切管城管叔所封也或作管古顔切非也敖五刀切鄗苦交切
鄭皇戍使如晉師曰鄭之從楚社稷之故也未有貳心楚師驟勝而驕其師老矣而不設備子撃之鄭師爲承	承繼也戌雖律切使所吏切驟仕敕切
楚師必敗彘子曰敗楚服鄭於此在矣必許之欒武子曰	武子欒書敗必邁切
楚自克庸以來	在文十六年
其君無日不討國人而訓之	討治也
于民生之不易禍至之無日戒懼之不可以怠	于曰也易以䜴切
在軍無日不討軍實而申儆之	軍實軍器敬敬領切
于勝之不可保紂之百克而卒無後訓之以若敖蚡冒篳路藍縷以啓山林	若敖蚡冐皆楚之先君篳路柴車藍縷敝衣言此一君勤儉以啓土紂直九切蚡扶粉切冒莫報切篳音必藍力甘切縷力主切
箴之曰民生在勤勤則不匱不可謂驕	箴誡箴章金切匱其位切
先大夫子犯有言曰師直爲壯曲爲老我則不德而徼怨子楚我曲楚直不可爲老	不德謂以力爭諸侯徼要也要一遥切
其君之戎分爲二廣	君之親兵廣古曠切下及注皆同
廣有一卒卒偏之兩	十五乗爲一廣司馬法百人爲卒二十五人爲兩車十五乗爲大偏今廣十五乗亦用舊偏法復以二十五人爲承副卒子忽切注同乗䋲證切不同復扶又切下不復逐同
右廣初駕數及日中左則受之以至于昏内官序當其夜	内官近官序次也序當其夜一本作序當其次
以待不虞不可謂無備子良鄭之良也師叔楚之崇也	師叔潘尫爲楚人所崇貴
師叔入盟子良在楚楚鄭親矣來勸我戰我克則來不克遂往以我卜也鄭不可從趙括趙同曰率師以來唯敵是求克敵得屬又何俟必從彘子	得屬服鄭
知季子曰原屏咎之徒也	知季莊子也原趙同屏趙括徒黨也知音智荀首後爲智氏屏歩丁切
趙莊子曰欒伯善哉	莊子趙朔欒伯武子
實其言必長晉國	實猶充也欒書之身行能充此言則當執晉國之政也長丁兩切行下孟切
楚少宰如晉師	少宰官名少詩召切注及下同
曰寡君少遭閔凶不能文	閔憂也
聞二先君之出入此行也	二先君楚成王穆王
將鄭是訓定豈敢求罪于晉二三子無淹乆	淹留也
随季對曰昔平王命我先君文侯曰與鄭夾輔周室母廢王命今鄭不率	率遵也夾古洽切舊古協切毋音無
寡君使羣臣問諸鄭豈敢辱候人	候人謂伺候望敵者候戸豆切伺音司一音息嗣切
敢拜君命之辱彘子以爲謟使趙括從而更之曰行人失辭	言誤對謟勑檢切
寡君使羣臣遷大國之迹於鄭	遷徙也
曰無辟敵羣臣無所逃命楚子又使求成于晉晉人許之盟有日矣	有期日
楚許伯御樂伯攝叔爲右以致晉師	單車挑戰又示不欲崇和以疑晉之羣帥單音丹挑徒了切下文同帥所類切
許伯曰吾聞致師者御靡旌摩壘而還	靡旌驅疾也摩近也摩末多切壘力軌切近附近之近
樂伯曰吾聞致師者左射以菆	左車左也菆矢之善者射食亦切下三字同菆側留切
代御執轡御下兩馬掉鞅而還	兩飾也掉正也示間暇兩或作􁎆皆力掌切又音亮掉徒弔切徐乃較切鞅於丈切間音閑
攝叔曰吾聞致師者右入壘折馘	折馘斷耳折之設切注同馘古獲切斷音短
執俘而還皆行其所聞而復晉人逐之左右角之	張兩角從旁夾攻之
樂伯左射馬而右射人角不能進矢一而巳麋興於前射麋麗龜	麗著也龜背之隆髙當心者麋亡悲切著直略切
晉鮑癸當其後使攝叔奉麋獻焉曰以歲之非時獻禽之未至敢膳諸從者鮑癸止之曰其左善射其右有辭君子也旣免	止不復逐從才用切下從者同
晉魏錡求公族未得	錡魏犨子欲爲公族大夫錡魚綺切犫尺周切
而怒欲敗晉師請致師弗許請使許之遂往請戰而還楚潘黨逐之及熒澤見六麋射一麋以顧獻白子有軍事獸人無乃不給於鮮敢獻於從者	熒澤在熒陽縣東新殺爲鮮見六得一言其不如楚敗必邁切又如字使所吏切熒户扄切射食亦切觧音仙注同
叔黨命去之	叔黨潘黨潘尫之子
趙旃求卿未得	旃趙穿子
且怒於失楚之致師者請挑戰弗許請召盟許之與魏錡皆命而往郤獻子曰二憾往矣	獻子郤克憾胡暗切
弗備必敗彘子曰鄭人勸戰弗敢從也楚人求成弗能好也師無成命多備何爲士季曰備之善若二子怒楚楚人乗我喪師無日矣	乗猶登也好呼報切下同喪息浪切
不如備之楚之無惡除備而盟何損於好若以惡來有備不敗且雖諸侯相見軍衛不徹警也	徹去也警音景去起吕切
彘子不可	不肯設備
士季使鞏朔韓穿帥七覆于敖前	帥將也覆爲伏兵七處覆扶又切注同帥如字將子兩切處昌慮切
故上軍不敗趙嬰齊使其徒先具舟于河故敗而先濟潘黨旣逐魏錡	言魏錡見逐而退
趙旃夜至於楚軍	二人雖俱受命而行不相隨趙旃在後至
席於軍門之外使其徒入之	布席坐示無所畏也
楚子爲乗廣三十乗分爲左右右廣雞鳴而駕日中而說	說舎也乗䋲證切下三十乗十乗并注同說舒銳切注及下同
左則受之日入而說許偃御右廣養由基爲右彭名御左廣屈蕩爲右	楚王更迭載之故各有御右屈居勿切更音庚迭直結切
乙卯王乗左廣以逐趙旃趙旃弃車而走林屈蕩搏之得其甲裳	下曰裳搏音博
晉人懼二子之怒楚師也使軘車逆之	軘車兵車名軘徒温切
潘黨望其塵使騁而告曰晉師至矣楚人亦懼王之入晉軍也遂出陳孫叔曰進之寧我薄人無人薄我詩云元戎十乗以啓先行先人也	元戎戎車在前也詩小雅言王者軍行必有戎車十乗在前開道先人爲備騁勑景切陳直覲切下注皆同先悉薦切注下同
軍志曰先人有奪人之心薄之也	奪敵戰心
遂疾進師車馳卒奔乗晉軍桓子不知所爲鼔於軍中曰先濟者有賞中軍下軍爭舟舟中之指可掬也	兩手曰掬卒子忽切下及下注同掬九六切
晉師右移上軍未動	言餘軍皆移去唯上軍在經所以書戰言猶有陳
工尹齊將右拒卒以逐下軍	工尹齊楚大夫右拒陳名拒音矩本亦作矩下同
楚子使唐狡與蔡鳩居告唐惠侯	二子楚大夫唐屬楚之小國義陽安昌縣東南有上唐鄉狡古卯切
曰不榖不德而貪以遇大敵不穀之罪也然楚不克君之羞也敢藉君靈以濟楚師	藉猶假借也
使潘黨率游闕四十乗	游車𥙷闕者乗䋲證切下之乗注易乗皆同
從唐侯以爲左拒以從上軍駒伯曰待諸子	駒伯郤克上軍佐也
隨季曰楚師方壯若萃於我吾師必盡	萃集也萃似醉切
不如收而去之分謗生民不亦可乎	同奔爲分謗不戰爲生民
殿其卒而退不敗	以其所將卒爲軍後殿殿多練切注同
王見右廣將從之乗屈蕩戸之曰君以此始亦必以終	戸止也中易乗則恐軍人惑
自是楚之乗廣先左	以乗左得勝故
晉人或以廣隊不能進	廣兵車隊直類切
楚人惎之脫扄	惎敎也扄車上兵闌惎其器切扄古熒切徐公冥切服云扃横木校輪間一曰車前横木也西京賦云旗不脫扃薛綜云扄所以止旗也
少進馬還又惎之拔旆投衡乃出	還便旋不進旆大旗也拔旗投衡上使不帆風差輕帆凡劔切本又作帊普霸切差初賣切
顧曰吾不如大國之數奔也趙旃以其良馬二濟其兄與叔父以他馬反遇敵不能去棄車而走林逢大夫與其二子乗	逢氏數所角切乗繩證切
謂其二子無顧	不欲見趙旃
顧曰趙傁在後	傁老稱也傁素口切稱尺證切
怒之使下指木曰尸女於是授趙旃綏以免明日以表尸之	表所指木取其尸女音汝
皆重獲在木下	兄弟累尸而死重直龍切
楚熊負覊囚知罃知莊子以其族反之	負覊楚大夫知罃知莊子之子族家兵反還戰罃於耕切還音環
厨武子御	武子魏錡厨直誅切
下軍之士多從之	知莊子下軍大夫故
毎射抽矢菆納諸厨子之房	抽擢也菆好箭房箭舎射食夜切又食亦切擢且角切
厨子怒曰非子之求而蒲之愛	蒲楊栁可以爲箭
董澤之蒲可勝旣乎	董澤澤名河東聞喜縣東北有董池陂旣盡也勝音升陂彼冝切
知季曰不以人子吾子其可得乎吾不可以苟射故也射連尹襄老獲之遂載其尸射公子糓臣囚之以二者還	榖臣楚王子射食亦切下同
及昏楚師軍於邲晉之餘師不能軍	不能成營屯
宵濟亦終夜有聲	言其兵衆將不能用將子匠切
丙辰楚重至於邲	重輜重也重直勇切又直用切注上重字同輜側其切重直用切
遂次于衡雍潘黨曰君盍築武軍	築軍營以章武功雍於用切蓋戸臘切
而收晉尸以爲京觀	積尸封土其上謂之京觀觀古亂切注及下京觀同
臣聞克敵必示子孫以無忘武功楚子曰非爾所知也夫文止戈爲武	文字
武王克商作頌曰載戢干戈載櫜弓矢	戢藏也橐韜也詩美武王能誅滅暴亂而息兵戢側立切櫜古刀切韜他刀切
我求懿德肆于時夏允王保之	肆遂也夏大也言武王旣息兵又能求美德故遂大而信王保天下夏戸雅切注同
又作武其卒章曰耆定爾功	武頌篇名耆致也言武王誅紂致定其功耆音旨注同
其三曰鋪時繹思我徂惟求定	其三三篇鋪布也繹陳也時是也思辭也頌美武王能布政陳敎使天下歸往求安定鋪普呉切徐音敷繹音亦
其六曰綏萬邦屢豐年	其六六篇綏安也屢數也言武王旣安天下數致豐年此三六之數與今詩頌篇次不同蓋楚樂歌之次第屢力住切下注同數所角切下數致同
夫武禁暴戢兵保大定功安民和衆豐財者也	此武士德
故使子孫無忘其章	著之篇章使子孫不忘
今我使二國暴骨暴矣觀兵以威諸侯兵不戢矣暴而不戢安能保大猶有晉在焉得定功所違民欲猶多民何安焉無德而強爭諸侯何以和衆利人之幾	幾危也暴骨蒲卜切或作曝焉得於䖍切強其丈切
而安人之亂以爲巳榮何以豐財	兵動則年荒
武有七德我無一焉何以示子孫其爲先君宫告成事而巳	祀先君告戰勝
武非吾功也古者明王伐不敬取其鯨鯢而封之以爲大戮於是乎有京觀以懲淫慝	鯨鯢大魚名以喻不義之人吞食小國鯨其京切鯢五兮切懲直升切慝他得切
今罪無所	晉罪無所犯也
而民皆盡忠以死君命又可以爲京乎祀于河作先君宫告成事而還	傳言楚莊有禮所以遂興
是役也鄭石制實入楚師將以分鄭而立公子魚臣辛未鄭殺僕叔及子服	僕叔魚臣也子服石制也
君子曰史佚所謂母怙亂者謂是類也	言恃人之亂以要利佚音逸毋音無怙音户要一遥切
詩曰亂離瘼矣爰其適歸	詩小雅離憂也瘼病也爰於也言禍亂憂病於何所歸乎歎之瘼音莫
歸於怙亂者也夫	恃亂則禍歸之夫音扶
〇鄭伯許男如楚	爲十四年晉伐鄭傳
〇秋晉師歸桓子請死晉侯欲許之士貞子諫曰不可	貞子士渥濁渥於角切
城濮之役晉師三日榖	在僖二十八年濮音卜
文公猶有憂色左右曰有喜而憂如有憂而喜乎	言憂喜失時
公曰得臣猶在憂未歇也	歇盡也歇許竭切
困獸猶鬪況國相乎及楚殺子玉	子玉得臣相息亮切下熊相同
公喜而後可知也	喜見於顔色見賢遍切
曰莫余毒也巳是晉再克而楚再敗也楚是以再丗不競	成王至穆王競其敬切
今天或者大警晉也	警戒也
而又殺林父以重楚勝其無乃乆不競乎林父之事君也進思盡忠退思補過社稷之衛也若之何殺之夫其敗也如日月之食焉何損於明晉侯使復其位	言晉景所以不失霸重直用切
○冬楚子伐蕭宋華椒以蔡人救蕭蕭人囚熊相冝僚及公子丙王曰勿殺吾退蕭人殺之王怒遂圍蕭蕭潰申公巫臣曰師人多寒王巡三軍拊而勉之	拊撫慰勉之僚了彫切潰戸內切拊芳甫切
三軍之士皆如挾纊	纊綿也言說以忘寒挾戸牒切纊音曠說音恱
遂傅於蕭還無社與司馬卯言號申叔展	還無社蕭大夫司馬卯申叔展皆楚大夫也無社素識叔展故因卯呼之傅音附還音旋卯馬鮑切號徐戸到切一音戸刀切
叔展曰有麥麴乎曰無有山鞠窮乎曰無	麥麴鞠窮所以禦濕欲使無社逃泥水中無社不解故曰無軍中不敢正言故謬語麴去六切鞠起弓切禦魚吕切下同解音蟹下同
河魚腹疾奈何	叔展言無禦濕藥將病
曰目於眢井而拯之	無社意解欲入非故使叔展視虚廢井而求拯巳出溺爲拯眢烏九切字林云井無水也一皮切拯拯救之拯注同
若爲茅絰哭井則巳	叔展又敎結茅以表井須哭乃應以爲信絰直結切巳音紀舊音以應應對之應
明日蕭潰申叔視其井則茅絰存焉號而出之	號哭也傳言蕭人無守心〇號戸刀切注同守手又切
晉原縠宋華椒衛孔逹曹人同盟于淸丘	原縠先縠
曰恤病討貳於是卿不書不實其言也	宋伐陳衛救之不討貳也楚伐宋晉不救不恤病也
宋爲盟故伐陳	陳貳於楚故爲于僞切
衛人救之孔達曰先君有約言焉若大國討我則死之	衛成公與陳共公有舊好故孔達欲背盟救陳而以死謝晉爲十四年衛殺孔達傳約於妙切又如字共音恭好呼報切背音佩十四年經及注並同
經十有三年春齊師伐莒〇夏楚子伐宋○秋螽	無傳爲災故書
〇冬晉殺其大夫先縠	書名以罪討
傳十三年春齊師伐莒莒恃晉而不事齊故也○夏楚子伐宋以其救蕭也	救蕭在前年
君子曰清丘之盟唯宋可以免焉	宋討陳之貳今宋見伐晉衛不顧盟以恤宋而經同貶宋大夫傳嫌華椒之罪累及其國故曰唯宋可以免緊劣僞切
〇秋赤狄伐晉及清先縠召之也	邲戰不得志故召狄欲爲變清一名清原
○冬晉人討邲之敗與清之師歸罪於先縠而殺之盡滅其族君子曰惡之來也已則取之其先縠之謂乎	盡滅其族謂誅巳甚故曰惡之來也
○清丘之盟晉以衛之救陳也討焉	㝷清丘之盟以責衛
使人弗去曰罪無所歸將加而師孔達曰苟利社稷請以我說	欲自殺以說晉使所吏切說如字又音恱下同
罪我之由我則爲政而亢大國之討將以誰任	亢禦也謂禦宋討陳也亢苦浪切任音壬
我則死之	爲明年殺孔達傳
經十有四年春衛殺其大夫孔逹	書名背盟于大國罪之
〇夏五月壬申曹伯壽卒	無傳文十四年盟新城
○晉侯伐鄭○秋九月楚子圍宋〇葬曹文公	無傳
〇冬公孫歸父會齊侯于榖傳十四年春孔逹縊而死衛人以說于晉而免	以殺告故免于伐縊一賜切
遂告于諸侯曰寡君有不令之臣達構我敝邑于大國旣伏其罪矣敢告	諸殺大夫亦皆告
衛人以爲成勞復室其子	以有平國之功故以女妻之復扶又切妻七計切
使復其位	襲父禄位
〇夏晉侯伐鄭爲邲故也	晉敗於邲鄭遂屬楚為于僞切
告於諸侯蒐焉而還	蒐簡閱車馬蒐所留切閱音恱
中行桓子之謀也曰示之以整使謀而來鄭人懼使子張代子良于楚	十二年子良質於楚子張穆公孫行戸郎切質音致
鄭伯如楚謀晉故也鄭以子良爲有禮故召之	有讓國之禮
〇楚子使申舟聘于齊曰無假道于宋	申舟無畏
亦使公子馮聘于晉不假道于鄭甲舟以孟諸之役惡宋	文十年楚子田孟諸無畏抶宋公僕馮皮氷切惡烏路切抶勑乙切
曰鄭昭宋聾	昭明也聾闇也聾力工切
晉使不害我則必死王曰殺女我伐之見犀而行	犀申舟子以子託王示必死使所吏切下使者同女音汝見賢遍切
及宋宋人止之華元曰過我而不假道鄙我也鄙我亡也	以我比其邊鄙是與亡國同過古卧切又古禾切
殺其使者必伐我伐我亦亡也亡一也乃殺之楚子聞之投袂而起	投振也𬒮䄂也袂面丗切䄂徐又切
屨及於窒皇	窒皇寢門闕屨九具切窒直結切
劔及於寢門之外車及於蒲胥之市秋九月楚子圍宋〇冬公孫歸父會齊侯于榖見晏桓子與之言魯樂桓子告髙宣子	桓子晏嬰父宣子髙固樂音洛
曰子家其亡乎懷於魯矣	子家歸父字懷思也
懷必貪貪必謀人謀人人亦謀己一國謀之何以不亡	爲十八年歸父奔齊傳
〇孟獻子言於公曰臣聞小國之免於大國也聘而獻物	物玉帛皮幣也
於是有庭實旅百	主人亦設籩豆百品實於庭以荅賔
朝而獻功	獻其治國若征伐之功於牧伯
於是有容貌采章嘉淑而有加貨	容貌威儀容顏也采章車服文章也嘉淑令辭稱讃也加貨命宥幣帛也言往共則來報亦備
謀其不免也誅而薦賄則無及也	薦進也見責而往則不足解罪賄呼罪切
今楚在宋君其圖之公說	爲明年歸父㑹楚子傳說音悅
經十有五年春公孫歸父會楚子于宋〇夏五月宋人及楚人平	平者揔言二國和故不書其人
○六月癸卯晉師滅赤狄潞氏以潞子嬰兒歸	潞赤狄之别種潞氏國故稱氏子爵也林父稱師從告潞音路種章勇切
〇秦人伐晉	無傳
〇王札子殺召伯毛伯	稱殺者名兩下相殺之辭兩下相殺則殺者有罪王札子王子札也蓋經文倒札字札側八切徐側乙切召上照切倒丁老切
〇秋螽	無傳螽音終
〇仲孫蔑會齊髙固于無婁	無傳無婁杞邑
〇初稅畝	公田之法十取其一今又履其餘畝復十收其一故哀公曰二吾猶不足遂以爲常故曰初稅治銳切復扶又切
〇冬蝝生	螽子以冬生遇寒而死故不成螽蝝恱全切字林尹絹切劉歆云蚍蜉子也董仲舒云蝗子
〇饑	風雨不和五稼不豐
傳十五年春公孫歸父㑹楚子于宋	終前年傳
宋人使樂嬰齊告急于晉晉侯欲救之伯宗曰不可	伯宗晉大夫
古人有言曰雖鞭之長不及馬腹	言非所撃
天方授楚未可與爭雖晉之彊能違天乎諺曰高下在心	度時制宜度待洛切
川澤納汙	受汀濁汙音烏注同
山藪藏疾	山之有林藪毒害者居之藪素口切
瑾瑜匿瑕	匿亦藏也雖美玉之質亦或居藏瑕穢瑾其靳切瑜羊朱切匿女力切
國君含垢	忍垢恥垢古口切本或作詬音同
天之道也	晉侯恥不救宋故伯宗爲說小惡不損大德之喻爲于僞切
君其待之	待楚衰
乃止使解揚如宋使無降楚曰晉師悉起將至矣鄭人囚而獻諸楚楚子厚賂之使反其言	反言晉不救解音蟹降戸江切
不許三而許之登諸樓車使呼宋人而告之	樓車車上望櫓櫓音魯
遂致其君命楚子將殺之使與之言曰爾旣許不榖而反之何故非我無信女則弃之速即爾刑對曰臣聞之君能制命爲義臣能承命爲信信載義而行之爲利謀不失利以衛社稷民之主也義無二信	欲爲義者不行兩信女音汝下注而女同
信無二命	欲行信者不受二命
君之賂臣不知命也受命以出有死無霣	霣廢隊也霣于敏切隊直類切
又可賂乎臣之許君以成命也	成其君命
死而成命臣之禄也寡君有信臣	己不廢命
下臣獲考	考成也
死又何求楚子舎之以歸夏五月楚師將去宋	在宋積九月不能服宋故
申犀稽首於王之馬前曰毋畏知死而不敢廢王命王弃言焉王不能荅	未服宋而去故曰弃言
申叔時僕	僕御也
曰築室反耕者宋必聽命從之	築室於宋分兵歸田示無去志王從其言
宋人懼使華元夜入楚師登子反之牀起之曰寡君使元以病告	兵法因其郷人而用之必先知其守將左右謁者守門者舎人之姓名因而利道之華元蓋用此術得以自通守手又切將子匠切道音導
曰敝邑易子而食析骸以爨	爨炊也析思歷切骸戸皆切本又作骨公羊傳作骸何休注云骸骨也爨七亂切
雖然城下之盟有以國斃不能從也	寜以國斃不從城下盟斃婢丗切
去我三十里唯命是聽子反懼與之盟而告王退三十里宋及楚平華元爲質盟曰我無爾詐爾無我虞	楚不詐宋宋不備楚盟不書不告質音致
○潞子嬰兒之夫人晉景公之姊也酆舒爲政而殺之又傷潞子之目	酆舒潞相酆芳忠切相息亮切
晉侯將伐之諸大夫皆曰不可酆舒有三儁才	儁絶異也言有才藝勝人者三儁音俊
不如待後之人伯宗曰必伐之狄有五罪儁才雖多何補焉不祀一也耆酒二也弃仲章而奪黎氏地三也	仲章路賢人山黎氏黎侯國上黨壺閞縣有黎亭耆市志切黎禮兮切
虐我伯姬四也傷其君目五也怙其儁才而不以荗德滋益罪也後之人或者將敬奉德義以事神人而申固其命	審其政令
若之何待之不討有罪曰將待後後有辭而討焉毋乃不可乎夫恃才與衆亡之道也商紂由之故滅	由用也
天反時爲災	寒暑易節
地反物爲妖	羣物失性
民反德爲亂亂則妖災生故文反正爲乏	文字
盡在狄矣晉侯從之六月癸卯晉荀林父敗赤狄于曲梁辛亥滅潞	曲梁今廣平曲梁縣也書癸卯從赴
酆舒奔衛衛人歸諸晉晉人殺之〇王孫蘇與召氏毛氏爭政	三人皆王卿士
使王子捷殺召戴公及毛伯衛	王子捷即王札子
卒立召襄	襄召戴公之子
