春秋經傳集解定下第二十八杜氏盡十五年經八年春王正月公侵齊	報前年伐我西鄙
陽越射之不中築者闔門	季孫旣得入乃閑門射食亦切下同中丁仲切闔戸臘切
有自門前射陽越殺之陽虎劫公與武叔	武叔叔孫不敢之子州仇也劫居業切仇音求
以代孟氏公斂處父師成人自上東門入	魯東城之北門
與陽氏戰于南門之内弗勝又戰于棘下	城内地名
陽氏敗陽虎說甲如公宫取寳玉大弓以出舎于五父之衢寢而爲食其徒曰追其將至虎曰魯人聞余出喜於徴死何暇追余	徴召也陽虎召季氏於蒲圃將
旣而告人曰己衰絰而生子余何故舎鍾	己子明也舎音捨
子明聞之怒言於公曰右師將不利戴氏	樂氏戴公族
不肯適晉將作亂也不然無疾乃逐桐門右師	逐之在明年終叔孫昭子之言
○鄭駟歂殺鄧析而用其竹刑	鄧析鄭大夫欲改鄭所鑄舊制不受君命而私造刑法書之於竹簡故言竹刑
君子謂子然於是不忠苟有可以加於國家者棄其邪可也	加猶益也棄不責其邪惡也邪似嗟切
靜女之三章取彤管焉	詩邶風也言靜女三章之詩雖說美女義在彤管彤管赤管筆女史記事規誨之所執彤徒冬切邶音佩說音恱
竿旄何以告之取其忠也	詩鄘風也錄竿旄詩者取其中心願告人以善道也言此二詩皆以一善見采而鄧析不以一善存身鄘音容
故用其道不棄其人詩云蔽芾甘棠勿翦勿伐召伯所茇	詩召南也召伯決訟於蔽芾小棠之下詩人思之不伐其樹茇草舎也芾方味切召音邵茇畔末切
思其人猶愛其樹況用其道而不恤其人乎子然無以勸能矣	傳言子然嗣大叔爲政鄭所以衰弱
○夏陽虎歸寳玉大弓	無益近用而祗爲名故歸之祗音支
書曰得器用也凡獲器用曰得	器用者謂物之成器可爲人用者也
得用焉曰獲	謂用器物以有獲若麟爲田獲俘爲戰獲麟本又作麟吕辛切俘芳夫切
○六月伐陽關	討陽虎也
陽虎使焚萊門	陽關邑門
師驚犯之而出奔齊請師以伐魯曰三加必取之	三加兵於魯
齊侯將許之鮑文子諫曰臣甞爲隷於施氏矣	施氏魯太夫文子鮑國也成十七年齊人召而立之至今七十四歳於是文子蓋九十餘矣
魯未可取也上下猶和衆庶猶睦能事大國	大國晉也
而無天菑若之何取之陽虎欲勤齊師也齊師罷大臣必多死亡己於是乎奮其詐謀夫陽虎有寵於季氏而將殺季孫以不利魯國而求容焉	求自客菑音災罷音皮
親富不親仁君焉用之君富於季氏而大於魯國兹陽虎所欲傾覆也魯免其疾而君又收之無乃害乎齊侯執陽虎將東之陽虎願東	陽虎欲西奔晉知齊必反己故詐以東爲願焉於䖍切傾本又作頃音傾覆芳服切
乃囚諸西鄙盡借邑人之車鍥其軸麻約而歸之	鍥刻也欲絶追者鍥苦結切軸音逐
載葱靈寢於其中而逃	䓤靈輜車名葱初江切或音忽輜側其切說文云衣車也
追而得之囚於齊又以葱靈逃奔宋遂奔晉適趙氏仲尼曰趙氏其丗有亂乎	受亂人故
秋齊侯伐晉夷儀	爲衛討也爲于僞切下同
敝無存之父將室之辭以與其弟	無存齊人也室之爲取婦
曰此役也不死反必娶於髙國	髙氏國氏齊貴族也無存欲必有功還取卿相之女娶士住切相息亮切
先登求自門出死於霤下	旣入城夷儀人不服故鬪死於門屋霤下也霤力又切
東郭書讓登	登城非人所樂故讓衆使後而已先登樂如字又五孝切
犂彌從之曰子讓而左我讓而右使登者絶而後下	恐書先下故又譎以讓之下入城也犂力兮切譎古穴切
書左彌先下	書從彌言左行彌遂自先下亦讓也
書與王猛息	戰訖共止息
猛曰我先登書斂甲曰曩者之難今又難焉	斂甲起欲擊猛曩乃黨切嚮也難乃旦切
猛笑曰吾從子如驂之靳	靳車中馬也猛不敢與書爭言己從書如驂馬之隨靳也傳言齊師和所以能克驂七南切騑馬也靳居覲切本或作如驂之有靳非也爭爭鬪之爭又如字
晉車千乗在中牟	救夷儀也今熒陽有中牟縣迴逺疑非也乗繩證切
衛侯將如五氏	齊侯在五氏將往助之
卜過之龜焦	衛至五氏道過中牟畏晉故卜龜焦兆不成不可以行事也
衛侯曰可也衛車當其半寡人當其半敵矣	衛侯怒晉甚不復顧卜欲以身當五百乗復扶又切
乃過中牟中牟人欲伐之衛禇師圃亡在中牟曰衛雖小其君在焉未可勝也齊師克城而驕其帥又賤	城謂夷儀也帥謂東郭書禇中呂切帥所類切注同
遇必敗之不如從齊乃伐齊師敗之	獲齊車五百乗事見哀十五年見賢遍切
齊侯致禚媚杏於衛	二邑皆齊西界以荅謝衛意禚諸若切媚武兾切杏亡猛切
齊侯賞犂彌犂彌辭曰有先登者臣從之晳幘而衣貍製	晳白也幘齒上下相值製裘也晳星曆切幘音䇿又音責說文作䶦音義同衣於旣切貍力之切製音制
公使視東郭書曰乃夫子也吾貺子	貺賜也貺音況
公賞東郭書辭曰彼賔旅也	言彼與我若賔主相讓旅俱進退
乃賞犂彌齊師之在夷儀也齊侯謂夷儀人曰得敝無存者以五家免	給其五家令常不共役事令力呈切共音恭
乃得其尸公三襚之	襚衣也比殯三加禭深禮厚之禭音遂比必利切
與之犀軒與直蓋	犀軒卿車直蓋髙蓋
而先歸之坐引者以師哭之	停喪車以盡哀也君方爲位而哭故挽喪者不敢立挽音晚
親推之三	齊侯自推喪中輪三轉推如字又他囬切
經十年春王三月及齊平	平前八年再侵齊之怨
○夏公㑹齊侯于夾谷	平故夾古洽切又古協切二傳作頰谷古木切
○公至自夾谷	無傳
○晉趙鞅帥師圍衛○齊人來歸鄆讙龜隂田	三邑皆汶陽田也泰山博縣北有龜山隂田在其北也㑹夾谷孔子相齊人服義而歸魯田鄆音運讙火官切汶音問相息亮切
○叔孫州仇仲孫何忌帥師圍郈	郈叔孫氏邑郈音后字林下遘切
○秋叔孫州仇仲孫何忌帥師圍郈○宋樂大心出奔曹	傳在前年春書名罪其稱疾罪不適晉
○宋公子地出奔陳	貪弄馬以距君命書名罪之也弄魯貢切
○冬齊侯衛侯鄭游速㑹于安甫	無傳安甫也闕
○叔孫州仇如齊○宋公之弟辰曁仲佗石彄出奔陳	曁與也宋公寵向魋不聽辰請辰忿而將大臣出奔虚請自忿稱弟示首惡也仲佗石彄皆爲國卿不能匡君靜難而爲辰所牽帥出奔稱名亦罪之也曁其器切佗徒河切彄苦侯切魋大囬切難乃旦切
傳十年春及齊平○夏公㑹齊侯于祝其實夾谷	夾谷即祝其也
孔丘相	相㑹儀也相息亮切注同
犂彌言於齊侯曰孔丘知禮而無勇若使萊人以兵劫魯侯必得志焉	萊人齊所滅萊夷也犂力兮切劫居業切
齊侯從之孔丘以公退曰士兵之	以兵擊萊人
兩君合好而裔夷之俘以兵亂之	裔逺也好呼報切下偪好同裔以制切俘芳夫切下同
非齊君所以命諸侯也裔不謀夏夷不亂華俘不干盟兵不偪好於神爲不祥	盟將告神犯之爲不善夏戸雅切偪彼力切
於德爲愆義於人爲失禮君必不然齊侯聞之遽辟之	辟去萊兵也愆去連切遽其據切辟婢亦切又音避去起吕切
將盟齊人加於載書曰齊師出竟而不以甲車三百乗從我者有如此盟	如此盟記之禍竟音境乗繩證切詛側據切
孔丘使兹無還揖封	無還魯大夫還音旋
曰而不反我汶陽之田吾以共命者亦如之	須齊歸汶陽田乃當共齊命於是孔子以公退賤者終其事要盟不㓗故略不書共音恭要一遥切
齊侯將享公孔丘謂梁丘據曰齊魯之故吾子何不聞焉	故舊典
事旣成矣	㑹事成
而又享之是勤執事也且犧象不出門嘉樂不野合	犧象酒器犧尊象尊也嘉樂鍾磬也犧許冝切又息河切
饗而旣具是棄禮也若其不具用秕稗也	秕榖不成者稗草之似榖者言享不具禮穢薄若秕稗秕音鄙字林音比又必履切稗皮賣切
用秕稗君辱棄禮名惡子盍圖之夫享所以昭德也不昭不如其巳也乃不果享	孔子知齊侯懷詐故以禮距之盍户臘切
齊人來歸鄆讙龜隂之田	陽虎九年以此奔齊經文倒者次魯事
○晉趙鞅圍衛報夷儀也	前年齊爲衛伐晉夷儀故伐衛以爲報爲于僞切
初衛侯伐邯鄲午於寒氏	邯鄲廣平縣也午晉邯鄲大夫寒氏即五氏也前年衛人助齊伐五氏邯音寒鄲音丹
城其西北而守之宵􁋛	午衆宵散城其西北而守之一本或作城其西北隅􁋛子潜切
及晉圍衛午以徒七十人門於衛西門殺人於門中曰請報寒氏之役	衛開門與午鬪
渉佗曰夫子則勇矣然我往必不敢啓門亦以徒七十人且門焉歩左右皆至而立如植	至其門下歩行門左右然後立待如立木不動以示整佗徒河切植市力切一音值
日中不啓門乃退反役晉人討衛之叛故曰由渉佗成何	捘衛侯手故
於是執渉佗以求成於衛衛人不許晉人遂殺渉佗成何奔燕君子曰此之謂棄禮必不鈞	言必見殺不得與人等
詩曰人而無禮胡不遄死渉佗亦遄矣哉	詩鄘風遄速也遄市專切
○初叔孫成子欲立武叔公若藐固諫曰不可	藐叔孫氏之族藐音邈又亡小切
成子立之而卒公南使賊射之不能殺	公南叔孫家臣武叔之黨射食亦切下同
公南爲馬正使公若爲郈宰武叔旣定使郈馬正侯犯殺公若弗能其圉人曰	武叔之圉人
吾以劒過朝公若必曰誰之劒也吾稱子以告必觀之吾僞固而授之末則可殺也	僞爲固陋不知禮者以劒鋒末授之鋒芳逢切
使如之公若曰爾欲呉王我乎	見劍向己逆呵之鱄諸殺具王亦用劒刺之向許亮切亦作嚮呵呼多切刺七亦切
遂殺公若侯犯以郈叛	犯以不能副武叔之命故叛叛而以圍告廟故書圍
武叔㦤子圍郈弗克秋二子及齊師復圍郈弗克叔孫謂郈工師駟赤	工師掌工匠之官復扶又切
曰郈非唯叔孫氏之憂社稷之患也將若之何對曰臣之業在揚水卒章之四言矣	揚水詩唐風卒章四言日我聞有命在掦水卒章本或作揚之水卒章
叔孫稽首	謝其受己命
駟赤謂侯犯曰居齊魯之際而無事必不可矣	無所服事
子盍求事於齊以臨民不然將叛侯犯從之齊使至駟赤與郈人爲之宣言於郈中	詐爲齊使言也使所吏切注同爲于僞切下注爲齊同
曰侯犯將以郈易于齊齊人將遷郈民	謂易其民人
衆兇懼	不欲遷兇音凶一音凶勇切
駟赤謂侯犯曰衆言異矣	不與始同
子不如易於齊與其死也猶是郈也而得紓焉何必此	言以郈民易取齊人與郈無異勝於守郈爲叛人所殺紓音舒
齊人欲以此偪魯必倍與子地	言非徒得民又將得齊地偪彼力切倍歩罪切
且盍多舎甲於子之門以備不虞侯犯曰諾乃多舎甲焉侯犯請易於齊齊有司觀郈將至駟赤使周走呼曰齊師至矣郈人大駭介侯犯之門甲以圍侯犯駟赤將射之	僞爲侯犯射郈人呼火故切介音界
侯犯止之曰謀免我侯犯請行許之	郈人許之
駟赤先如宿	宿東平無鹽縣故宿國
侯犯殿毎出一門郈人閉之	閉其後門殿丁見切
及郭門止之曰子以叔孫氏之甲出有司若誅之	誅責也
羣臣懼死駟赤曰叔孫氏之甲有物吾未敢以出	物識也赤還救侯犯也識申志切又如字
犯謂駟赤曰子止而與之數	數甲以相付數色主切
駟赤止而納魯人侯犯奔齊齊人乃致郈	致其名簿也爲下武如齊傳簿歩古切
○宋公子地嬖蘧富獵	地宋景公弟辰之兄也嬖必計切蘧其居切獵力輒切
十一分其室而以其五與之	與富獵也
公子地有白馬四公嬖向魋魋欲之	向魋司馬桓魋也
公取而朱其尾鬛以與之	與魋也鬣力輒切爾雅舎人注云馬􁍅也􁍅子工切
地怒使其徒抶魋而奪之魋懼將走公閉門而泣之目盡腫母弟辰曰子分室以與獵也而獨卑魋亦有頗焉子爲君禮	禮辟君也抶勑乙切腫章勇切頗普多切
不過出竟君必止子公子地岀奔陳公弗止辰爲之請弗聽辰曰是我迋吾兄也	迋欺也竟音境爲于僞切注猶爲同迋求往切又古況切
吾以國人出君誰與處冬母弟辰曁仲佗石彄出奔陳	佗仲幾子彄禇師叚子皆宋卿衆之所望故言國人禇張吕切
○武叔聘于齊	謝致郈也經書辰奔在聘後者從告
齊侯享之曰子叔孫若使郈在君之他竟寡人何知焉屬與敝邑際故敢助君憂之	以致郈德叔孫屬音燭
對曰非寡君之望也所以事君封疆社稷是以	以猶爲也疆居良切
敢以家隷勤君之執事夫不令之臣天下之所惡也君豈以爲寡君賜	言義在討惡非所以賜寡君惡烏切十一年傳注皆同又如字
經十有一年春宋公之弟辰及仲佗石彄公子地自陳入于蕭以叛	蕭宋邑稱地例在前年
○夏四月秋宋樂大心自曹入于蕭	入蕭從叛人叛可知故不書叛
○冬及鄭平	平六年侵鄭取匡之怨
○叔還如鄭涖盟	還叔詣曽孫還音旋還叔詣曽孫案丗族譜叔還是叔弓曽孫此云叔詣誤也
傳十一年春宋公母弟辰曁仲佗石彄公子地入于蕭以叛秋	不狃費宰也輒不得志於叔孫氏
公與三子入于季氏之宫登武子之臺費人攻之弗克入及公側	至臺下
仲尼命申句須樂頎下伐之	二子魯大夫仲尼時爲司寇句音劬頎音祈
費人北國人追之敗諸姑蔑二子奔齊	二子不狃叔孫輒
遂墮費將墮成公斂處父謂孟孫墮成齊人必至于北門	成在魯北竟故
且成孟氏之保障也無成是無孟氏也子僞不知	佯不知障之尚切又音章子僞不知並如字一本僞作爲佯本亦作陽音同
我將不墮冬十二月公圍成弗克經十有三年春齊侯衛侯次于垂葭	二君將使師伐晉次垂葭以爲之援葭音加
○夏築蛇淵囿	無傳書不時也囿音又
○大蒐于比蒲	無傳夏蒐非時蒐所求切比音毗
○衛公孟彄帥師伐曹	無傳
○秋晉趙鞅入于晉陽以叛	書叛惡可知
○冬晉荀寅士吉射入于朝歌以叛	吉射士鞅子射食亦切又食夜切朝如字
○晉趙鞅歸于晉	韓魏請而復之故曰歸言韓魏之彊猶列國
○薛弑其君比	無傳稱君君無道
傳十三年春齊侯衛侯次于垂葭實郥氏	垂葭改名郥氏髙平鉅野縣西南有郥亭郥古閴切
使師伐晉將濟河諸大夫皆曰不可邴意兹曰可	意兹齊大夫邴彼命切又音丙
銳師伐河内	今河内汲郡
傳必數日而後及絳	傳告晉傳張戀切又直專切數所主切
絳不三月不能出河則我旣濟水矣乃伐河内齊侯皆斂諸大夫之軒唯邴意兹乗軒	以其言當當丁浪切
齊侯欲與衛侯乗	共載乗繩證切下同
與之宴而駕乗廣載甲焉使告曰晉師至矣齊侯曰比君之駕也寡人請攝	以己車攝代衛車廣古曠切比必利切
乃介而與之乗驅之或告曰無晉師乃止	傳言齊侯輕所以不能成介音界輕遣政切
○晉趙鞅謂邯鄲午曰歸我衛貢五百家吾舎諸晉陽午許諾	十年趙鞅圍衛衛人懼貢五百家鞅置之邯鄲今欲徙著晉陽晉陽趙鞅邑著丁略切
歸告其父兄父兄皆曰不可衛是以爲邯鄲	言衛以五百家在邯鄲常爲是故與邯鄲親爲于僞切又如字
而寘諸晉陽絶衛之道也不如侵齊而謀之	侵齊則齊當來報欲因懼齊而徒則衛與邯鄲好不絶寘之䜴切好呼報切
乃如之而歸之于晉陽	欲如是謀而後歸衛貢
趙孟怒召午而囚諸晉陽	趙鞅不察其謀謂午不用命故囚之
使其從者說劒而入渉賔不可	渉賔午家臣不肯說劒入欲謀叛從才用切說他活切
乃使告邯鄲人曰吾私有討於午也二三子唯所欲立	十趙鞅同族別封邯鄲故使邯鄲人更立午宗親
遂殺午趙稷渉賔以邯鄲叛	稷趙午子
夏六月上軍司馬籍秦圍邯鄲午荀寅之甥也荀寅范吉射之姻也	壻父曰姻荀寅子娶吉射女
而相與睦故不與圍邯鄲將作亂	作亂攻趙鞅與音預又如字
董安于聞之	安于趙氏臣
告趙孟曰先備諸趙孟曰晉國有命始禍者死爲後可也安于曰與其害於民寧我獨死	懼見攻必傷害民
請以我說趙孟不可	晉國若計可殺我以自解說
秋七月范氏中行氏伐趙氏之宫趙鞅奔晉陽晉人圍之范臯夷無寵於范吉射而欲爲亂於范氏	臯夷范氏側室子行戸郎切
梁嬰父嬖於知文子	文子荀躒知音智
文子欲以爲卿韓簡子與中行文子相惡	簡子韓起孫不信也中行文子荀寅也惡如字又烏路切下同
魏襄子亦與范昭子相惡	襄子魏舒孫曼多也昭子士吉射曼音萬
故五子謀	五子范臯夷梁嬰父知文子韓簡子魏襄子
將逐荀寅而以梁嬰父伐之逐范吉射而以范臯夷代之荀躒言於晉侯曰君命大臣始禍者死載書在河	爲盟書沈之河躒力狄切沈如字又音鴆
今三臣始禍而獨逐鞅刑巳不鈞矣請皆逐之冬十一月荀躒韓不信魏曼多奉公以伐范氏中行氏弗克二子將伐公齊髙彊曰三折肱知爲良醫	高彊齊子尾之子昭十年奔魯遂適晉三如字又息暫切折之設切肱古弘切
唯伐君爲不可民弗與也我以伐君在此矣三家未睦	三家知韓魏
可盡克也克之君將誰與若先伐君是使睦也弗聽遂伐公國人助公二子敗從而伐之丁未荀寅士吉射奔朝歌韓魏以趙氏爲請	經所以書趙鞅歸
十二月辛未趙鞅入于絳盟于公宫	傳録晉衰亂
○初衛公叔文子朝而請享靈公	欲令公臨其家令力呈切
退見史鰌而告之	史鰌史魚鰌音秋
史鰌曰子必禍矣子富而君貪罪其及子乎文子曰然吾不先告子是吾罪也君旣許我矣其若之何史鰌曰無害子臣可以免	言能執臣禮
富而能臣必免於難上下同之	言尊卑皆然難乃旦切
戍也驕其亡乎	戍文子之子
富而不驕者鮮吾唯子之見驕而不亡者未之有也戍必與焉	與禍難鮮息淺切與音預
及文子卒衛侯始惡於公叔戍以其富也公叔戍又將去夫人之黨	靈公夫人南子黨宋朝之徒惡烏路切去起吕切朝如字
夫人愬之曰戍將爲亂	爲明年戊來奔傳愬音素
經十有四年春衛公叔戍來奔○衛趙陽出奔宋	陽趙黶孫書名者親富不親仁黶於减切
○二月辛巳楚公子結陳公孫佗人帥師滅頓以頓子牂歸○夏衛北宫結來奔	亦黨公叔戊皆惡之佗吐何切又徒河切牂子郎切惡烏路切
○五月於越敗呉于檇李	於越越國也使罪人詳呉亂陳故從未陳之例書敗也檇李呉郡嘉興縣南醉李城檇音醉依說文從木陳直覲切
○呉子光卒	未同盟而赴以名
○公㑹齊侯衛侯于牽	魏郡黎陽縣東北有牽城黎力兮切
○公至自㑹	無傳
○秋齊侯宋公㑹于洮	洗曹地洮吐刀切
○天王使石尚來歸脤	無傳石尚天子之士石氏尚名脤祭社之肉盛以脤器以賜同姓諸侯親兄弟之國與之共福脤市軫切盛音成
○衛丗子蒯聵出奔宋	蒯苦怪切聵五怪切
○衛公孟彄出奔鄭	彄書名與蒯聵黨罪之
○宋公之弟辰自蕭來奔	無傳稱宋公之弟例在十年
○大蒐于比蒲	比音毗
○邾子來㑹公	無傳㑹公于比蒲來而不用朝禮故曰㑹
○城莒父及霄	無傳公叛晉助范氏故懼而城二邑也此年無冬史闕文父音甫切
傳十四年春衛侯逐公叔戍與其黨故趙陽奔宋戍來奔	終史魚之言
○梁嬰父惡董安于謂知文子曰不殺安于使終爲政於趙氏趙氏必得晉國盍以其先發難也討於趙氏文子使告於趙孟曰范中行氏雖信爲亂安于則發之是安于與謀亂也晉國有命始禍者死二子旣伏其罪矣敢以告	告使討安于盍戸臘切難乃且切與音預
趙孟患之安于曰我死而晉國寧趙氏定將焉用生人誰不死吾死莫矣乃縊而死趙孟尸諸市而告於知氏曰主命戮罪人安于旣伏其罪矣敢以告知伯從趙孟盟	知伯荀躒焉於䖍切莫音暮縊一四切
而後趙氏定祀安于於廟	趙氏廟
○頓子牂欲事晉背楚而絶陳好二月楚滅頓	傳言小不事大所以亡背音佩好呼報切
○夏衛北宫結來奔公叔戍之故也○呉伐越	報五年越入呉
越子勾踐禦之陳于擕李	勾踐越王允常子勾古侯切陳直覲切
勾踐患呉之整也使死士再禽焉不動	使敢死之士往輒爲呉所禽欲使呉師亂取之而呉不動
使罪人三行屬劒於頸	以劒注頸行戸郎切下同屬之欲切下同又之住切
而辭曰二君有治	治軍旅
臣奸旗鼔	犯軍令
不敏於君之行前不敢逃刑敢歸死遂自到也師屬之目越子因而伐之大敗之靈姑浮以戈擊闔廬	姑浮越大夫到古頂切本又作刎闔戸臘切
闔廬傷將指取其一屨	其足大指見斬遂失屨姑浮取之將子匠切屨九具切
還卒於陘去檇李七里	釋經所以不書滅陘音刑
夫差使人立於庭	夫差闔廬嗣子夫音扶庭音廷
苛出入必謂己曰夫差而忘越王之殺而父乎則對曰唯不敢忘三年乃報越	後三年哀元年唯惟鬼切舊以水切
○晉人圍朝歌公㑹齊侯衛侯于脾上梁之間	脾梁間即牽脾婢支切
謀救范中行氏	齊魯叛晉故助范中行也
析成鮒小王桃甲率狄師以襲晉	二子晉大夫范中行氏之黨析星歷切魝音附桃如字本又作姚
戰于絳中不克而還士鮒奔周小王桃甲入于朝歌秋齊侯宋公㑹于洮范氏故也	謀救范氏
○衛侯爲夫人南子召宋朝	甫子宋女也朝宋公子舊通于南子在宋呼之爲于僞切
㑹于洮大子蒯聵獻盂于齊過宋野	蒯聵衛靈公大子盂邑名也就㑹獻之故自衛行而過宋野盂音于
野人歌之曰旣定爾婁豬盍歸吾艾豭	婁豬求子豬以喻南子艾豭喻宋朝艾老也婁力侯切字林作力付切豬張魚切盍戸臘切艾五蓋切注同字林作音艾三毛聚居者豭音加牡豕也
大子羞之謂戲陽速曰從我而朝少君	速大子家臣戲許冝切少詩照切本亦作小
少君見我我顧乃殺之速曰諾乃朝夫人夫人見大子大子三顧速不進夫人見其色啼而走	見大子色變知其欲殺己
曰蒯聵將殺余公執其手以登臺大子奔宋盡逐其黨故公孟彄出奔鄭自鄭奔齊大子告人曰戲陽速禍余戲陽速告人曰大子則禍余大子無道使余殺其母余不許將戕於余	戕殘殺也戕在良切
若殺夫人將以余說余是故許而弗爲以紓余死諺曰民保於信吾以信義也	使義可信不必信言紓音舒諺音彦
○冬十二月晉人敗范中行氏之師於潞獲籍秦髙彊	二子黨范氏者終景王言籍父無後路音路父音甫
又敗鄭師及范氏之師于百泉	鄭助范氏故并敗
經十有五年春王正月邾子來朝○鼷䑕食郊牛牛死改卜牛	無傳不言所食處舉死重也改卜禮也鼷音兮處昌慮切
○二月辛丑楚子滅胡以胡子豹歸○夏五月辛亥郊	無傳書過
○壬申公薨于髙寢	髙寢宫名不於路寢失其所
