春秋經傳集解哀上第二十九	哀公名蔣定公之子蓋夫人定姒所生敬王二十八年即位謚法恭仁短折曰哀
其亡也以民爲土芥是其禍也	芥草也芥古邁切
楚雖無德亦不艾殺其民呉日敝於兵暴骨如莽	草之生於廣野莾莽然故曰草莽艾魚廢切暴歩卜切莽亡黨切
而未見德焉天其或者正訓楚也	使懼而改過
禍之適呉其何日之有	言今至
陳侯從之及夫差克越乃脩先君之怨秋八月呉侵陳脩舊怨也	傳言呉不脩德而脩怨所以亡
○齊侯衛侯㑹于乾侯救范氏也師及齊師衛孔圉鮮虞人伐晉取棘蒲	魯師不書非公命也孔圉孔烝鉏曾孫鮮虞狄帥賤故不書圉魚吕切烝之承切鉏仕居切
○呉師在陳楚大夫皆懼曰闔廬惟能用其民以敗我於柏舉今聞其嗣又甚焉將若之何子西曰二三子恤不相睦無患呉矣昔闔廬食不二味居不重席室不崇壇	平地作室不起壇也重直龍切壇徒丹切
器不彤鏤	彤丹也鏤刻也彤徒冬切鏤魯豆切
宫室不觀	觀臺榭觀古亂切榭音謝
舟車不飾衣服財用擇不取費	選取堅厚不尚細靡費芳味切
在國天有菑癘	癘疾疫也葘音災本或作天無菑癘非注同疫音役
親巡孤寡而共其乏困在軍熟食者分而後敢食	必須軍士皆分熟食不敢先食分猶徧也共音恭熟食者分如字一讀以分字連下句徧音遍
其所甞者卒乗與焉	所甞甘珍非常食卒子忽切乗繩證切與音預
勤恤其民而與之勞逸是以民不罷勞死知不曠	知身死不見曠棄罷音皮
吾先大夫子常易之所以敗我也	易猶反也
今聞夫差次有臺榭陂池焉	積土爲髙曰臺有木曰榭過再宿曰次陂披冝切
宿有妃嬙嬪御焉	妃嬙貴者嬪御賤者皆内官嬙本又作廧或作嬙在羊切嬪毗人切
一日之行所欲必成玩好必從珍異是聚觀樂是務視民如讎而用之日新夫先自敗也巳安能敗我	爲二十二年越滅呉起好呼報切夫先自敗也巳夫音扶本或作夫差先自敗者非
○冬十一月晉趙鞅伐朝歌	討范中行氏
經二年春王二月季孫斯叔孫州仇仲孫何忌帥師伐邾取漷東田及沂西田	邾人以賂取之易也漷火虢切又音郭沂魚依切易以䜴切
○癸巳叔孫州仇仲孫何忌及邾子盟于句繹	句繹邾地取邑盟以要之句古侯切繹音亦要以遥切
○夏四月丙子衛侯元卒	定四年盟臯鼬
○滕子來朝	無傳
○晉趙鞅帥師納衛丗子蒯聵于戚○秋八月甲戌晉趙鞅帥師及鄭罕達帥師戰于鐵鄭師敗績	皆陳曰戰大崩曰敗績鐵在戚城南罕達子皮孫鐵天結切陳直覲切
○冬十月葬衛靈公	無傳七月而葬緩
○十有一月蔡遷于州來	長楚而請遷故以自遷爲文
○蔡殺其大夫公子駟	懷土而欺大國故罪而書名
傳二年春伐邾將伐絞	絞邾邑絞古卯切
邾人愛其土故賂以漷沂之田而受盟○初衛侯遊于郊子南僕	子南靈公子郢也僕御也郢以井切
公曰余無子將立女	蒯聵奔無大子女音汝
不對他日又謂之對曰郢不足以辱社稷君其改圖君夫人在堂三揖在下	三揖卿大夫士揖一入切
君命祗辱	言立適當以禮與外内同之今君私命事必不從適爲辱祗音支適丁歷切下適孫同
夏衛靈公卒夫人曰命公子郢爲大子君命也對曰郢異於他子	言用意不同
且君没於吾手若有之郢必聞之	言當以臨没爲正
且亡人之子輒在	輒蒯聵之子出公也靈公適孫
乃立輒六月乙酉晉趙鞅納衛大子于戚宵迷陽虎曰右河而南必至焉	是時河北流過元城界戚在河外晉軍巳渡河故欲出河右而南
使大子絻	絻者始發喪之服絻音問喪音桑
八人衰絰僞自衛逆者	欲爲衛人逆故衰絰成服衰七雷切絰田結切
告於門哭而入遂居之○秋八月齊人輸范氏粟鄭子姚子般送之	子姚罕達子般駟弘般音班
士吉射逆之趙鞅禦之遇於戚陽虎曰吾車少以兵車之旆與罕駟兵車先陳	旆先驅車也以先驅車益以兵車以示衆陳直覲切
罕駟自後隨而從之彼見吾貌必有懼心	晉人先陳鄭人隨之不知其虚實見車多必懼
於是乎㑹之	㑹合戰
必大敗之從之卜戰龜焦	兆不成
樂丁曰詩曰爰始爰謀爰契我龜	樂丁晉大夫詩大雅言先人事後卜筮契苦計切又苦結切
謀協以故兆詢可也	詢諮詢也故兆始納衛大子卜得吉兆言今旣謀同可不須更卜謀協以故兆絶句詢思遵切
簡子誓曰范氏中行氏反易天明	不事君也
斬艾百姓欲擅晉國而滅其君寡君恃鄭而保焉今鄭爲不道棄君助臣二三子順天明從君命經德義除詬恥在此行也克敵者上大夫受縣下大夫受郡	周書作雖篇千里百縣縣有四郡艾魚廢切擅市戰切而滅其君滅或作戕音殘詬呼豆切又音苟雒音洛千里百縣縣方百里縣有四郡郡方五十里
士田十萬	十萬畝也
庶人工商遂	得遂進仕
人臣隷圉免	去厮役厮役如字字又作斯音同何休注公羊云艾草爲防者曰厮汲水漿者曰役蘇林注漢書云厮取薪者韋昭云析薪曰厮
志父無罪君實圖之	志父趙簡子之一名也言巳事濟君當圖其賞父音甫服云趙鞅入晉陽以畔後得歸改名志父春秋仍舊猶書趙鞅
若其有罪絞縊以戮	絞所以縊人物縊一賜切戮音六
桐棺三寸不設屬辟	屬辟棺之重數王棺四重君再重大夫一重釋文桐棺三寸禮記云夫子制於中都四寸之棺五寸之椁以斯知不欲速朽也鄭康成注云此庶人之制也案禮上大夫棺八十屬六寸下大夫棺六寸屬四寸無三寸棺制也桐用難朽之木桐木易壞不堪爲棺故以為罰墨子尚儉有桐棺三寸不設屬音燭注同次大棺也辟歩歷切注同親身棺也禮大夫無辟重直龍切下同王棺四重禮記云水兕革棺被之其厚三寸柂棺一梓棺二柂棺辟也梓棺二屬與大棺也𬒳水牛及兕之革爲一重辟爲二重屬爲三重大棺爲四重君再重君謂侯伯子男侯伯巳下無革棺屬與辟爲一重大棺爲再重上公則唯無水革耳兄革與辟爲一重屬爲再重大棺爲三重大夫一重大夫唯屬與大棺爲一重今云不設辟者時僣耳非王禮也
素車樸馬	以載柩樸普角切柩其又切
無入于兆	兆葬域
下卿之罰也	爲衆設賞自設罰所以能克敵爲于僞切
甲戌將戰郵無恤御簡子衛大子爲右	郵無恤王良也郵音尤
登鐵上	鐵丘名
望見鄭師衆大子懼自投于車下子良授大子綏而乗之曰婦人也	言其怯怯去業切
簡子巡列曰畢萬匹夫也七戰皆獲有馬百乗死於牖下	畢萬晉獻公卿也皆獲有功死於牖下言得壽終乗繩證切牖羊九切
羣子勉之死不在寇	言有命
繁羽御趙羅宋勇爲右	三子晉大夫
羅無勇麋之	麋束縛也麋丘隕切
吏詰之御對曰痁作而伏	痁瘧疾也詰起吉切痁詩占切瘧魚略切
衛大子禱曰曽孫蒯聵敢昭告皇祖文王	周文王皇大也禱丁老切又丁報切
烈祖康叔	烈顯也
文祖襄公	繼業守文故曰文祖蒯聵襄公之孫
鄭勝亂從	勝鄭聲公名􁑐君助臣爲從於亂
晉午在難	午晉定公名雞乃且切下注爲難同
不能治亂使鞅討之	鞅簡子名
蒯聵不敢自佚備持矛焉	戎右持矛佚音逸矛亡侯切
敢告無絶筋無折骨無面傷以集大事無作三祖羞	集成也筋居銀切
大命之上也駕而乗材兩靷皆絶	村橫木明細小也傳言簡子不讓下自伐
○呉洩庸如蔡納聘而稍納師師畢入衆知之	元年蔡請遷子呉中悔故因聘襲之洩息列切又息引切中丁仲切
蔡侯告大夫殺公子駟以說	殺駟以說呉言不時遷駟之爲
哭而遷墓	將遷與先君辭故哭
冬蔡遷于州來經三年春齊國夏衛石曼姑帥師圍戚	曼姑爲子圍父知其不義故推齊使爲兵首戚不稱衛非叛人曼音萬爲于僞切
○夏四月甲午地震	無傳
○五月辛卯桓宫僖宮災	天火曰災
○季孫斯叔孫州仇帥師城啓陽	無傳魯黨范氏故懼晉比年四城啓陽今琅邪開陽縣
○宋樂髠帥師伐曹	無傳髠苦孫切
○秋七月丙子季孫斯卒○蔡人放其大夫公孫獵于呉	無傳公子駟之黨
○冬十月癸卯秦伯卒	無傳不書名未同盟
○叔孫州仇仲孫何忌帥師圍邾	無傳
傳三年春齊衛圍戚求援子中山	中山鮮虞
○夏五月辛卯司鐸火	司鐸宫名鐸待洛切
火踰公宫桓僖災	桓公僖公廟
救火者皆曰顧府	言常人愛財
南宫敬叔至命周人出御書俟於宫	敬叔孔子弟子南宫閱周人司周書典籍之官御書進於君者也使待命於官閱音恱
曰庀女而不在死	庀具也庀匹婢切女音汝
子服景伯至命宰人出禮書	景伯子服何也宰人冢宰之屬
以待命命不共有常刑	待求之命共音恭
校人乗馬巾車脂轄	校人掌馬巾車掌車乗馬使四四相從爲駕之易校戸敎切乗繩證切下同轄戸瞎切本又作鎋同爲于僞切易以䜴切
百官官備府庫愼守官人肅給	國有火災恐有變難故愼爲備難乃旦切
濟濡帷幕鬱攸從之	鬱攸火氣也濡物於木出用爲濟濟子細切又子禮切帷位悲切幕音莫攸音由
蒙葺公屋	以濡物冐覆公屋葺七入切又子入切
自太廟始外内以悛	悛次也先尊後卑以次救之悛七全切
助所不給有不用命則有常刑無赦公父文伯至命校人駕乗車	乗車公車
季桓子至御公立于象魏之外	象魏門闕
命救火者傷人則止財可爲也命藏象魏	周禮正月縣教令之法千象魏使萬民觀之故謂其書爲象魏縣音玄
曰舊章不可亡也富父槐至曰無備而官辦者猶拾瀋也	槐富父終生之後瀋汁也言不備而責辦不可得父音甫槐音懐辨辦具之辦拾音十瀋尺審切北土呼汁爲瀋
於是乎去表之槀	表表火道風所向者去其槀積去起吕切槀古老切向許亮切積子賜切
道還公宫	開除道周帀公宫使火無相連還本又作環戸關切又音患同
孔子在陳聞火曰其桓僖乎	言桓僖親盡而廟不毀冝爲天所災
○劉氏范氏丗爲婚姻	劉氏周卿士范氏晉大夫
萇弘事劉文公	爲之屬大夫
故周與范氏趙鞅以爲討	責周與范氏
六月癸卯周人殺萇弘	終違天之禍
○秋季孫有疾命正常曰無死	正常桓子之寵臣欲付以從事故勑令勿從己死今力呈切
南孺子之子男也則以告而立之	南孺子季桓子之妻言若生男告公而立之孺如住切
女也則肥也可	肥康子也
季孫卒康子即位旣葬康子在朝	在公朝也
南氏生男正常載以如朝告曰夫子有遺言命其圉臣曰南氏生男則以告於君與大夫而立之今生矣男也敢告遂奔衛康子請退	退辟位也
公使共劉視之	共劉魯大夫共音恭
則或殺之矣乃討之	討殺者
召正常正常不反	畏康子也傳儀言季氏家事
○冬十月晉趙鞅圍朝歌師于其南	范中行所在
荀寅伐其郛	伐其北郭圍郛芳夫切
使其徒自北門入已犯師而出	荀寅使在外救已之徒擊趙氏圍之北門因外内攻得出
癸丑奔邯鄲十一月趙鞅殺士臯夷惡范氏也	惡范氏而殺其族言遷怒惡烏路切
經四年春王二月庚戌盗殺蔡侯申	賤者故稱盗不言殺其君賤盗也殺申志切蔡侯申今本皆如此案宣十七年蔡侯申卒是文侯也今昭侯是其玄孫不容與髙祖同名未詳何者誤也
○蔡公孫辰出奔呉	弑君賊之黨故書名
○葬秦惠公	無傳
○宋人執小邾子	無傳邾子無道於其民故稱人以執
○夏蔡殺其大夫公孫姓公孫霍	皆我君黨姓音生又作生或音性
○晉人執戎蠻子赤歸于楚	晉恥爲楚執諸侯故稱人以告若蠻子不道於其民也赤本屬楚故言歸耻為于爲切
○城西郛	無傳魯西郭備晉也
○六月辛丑亳社災	無傳天火也亳社殷社諸侯有之所以戒亡國亳歩各切
○秋八月甲寅滕子結卒	無傳同盟於臯鼬
○冬十有二月葬蔡昭公	無傳亂故是以緩
○葬滕頃公	無傳
傳四年春蔡昭侯將如呉諸大夫恐其又遷也承	承音懲蓋楚言懲直升切
公孫翩逐而射之入於家人而卒	翩蔡大夫翩音篇射食亦切下同
以兩矢門之衆莫敢進	翩以矢自守其門
文之鍇後至	鍇蔡大夫鍇音楷又音皆又客駭切
曰如牆而進多而殺二人	併行如牆俱進併歩頂切
鍇執弓而先翩射之中肘鍇遂殺之故逐公孫辰而殺公孫姓公孫盱	肝即霍也中丁仲切肘女九切盱況子切
○夏楚人旣克夷虎	夷虎蠻夷叛楚者
乃謀北万左司馬眅申公壽餘葉公諸梁致蔡於負函	三子楚大夫也此蔡之故地人民楚因以爲邑致之者㑹其衆也眅普版切字林匹姦切葉始渉切函音咸
致方城之外於繒關	負函繒關皆楚地繒才陵切
曰呉將泝江入郢	逆流曰泝泝音素郢以井切又以政切
將奔命焉爲一昔之期襲梁及霍	僞辭當備呉夜結期明日便襲梁霍使不知之梁河南梁縣西南故城也梁南有霍陽山皆蠻子之邑也
單浮餘圍蠻氏蠻氏潰	浮餘楚大夫單音善潰戸内切
蠻子赤奔晉隂地	隂地河南山北自上雒以東至陸渾渾戸門切
司馬起豐析與狄戎	楚司馬眅也析縣屬南郷郡析南有豐郷皆楚邑發此二邑人及戎狄析星歷切
以臨上雒左師軍于菟和	菟和山在上雒東也菟音徒
右師軍于倉野	倉野在上雒縣
使謂隂地之命大夫士蔑	命大夫別縣監尹監古銜切
曰晉楚有盟好惡同之若將不廢寡君之願也不然將通於少習以聽命	少習商縣武關也將大開武關道以伐晉少詩照切又如字
士蔑請諸趙孟趙孟曰晉國未寧安能惡於楚必速與之	未寧時有范中行之難難乃旦切
士蔑乃致九州之戎	九州戎在晉隂地陸渾者
將裂田以與蠻子而城之	以詐蠻子
且將爲之卜	卜城爲于僞切
蠻子聽卜遂執之與其五大夫以卑楚師于三戸	今丹水縣比三戸亭卑必利切
司馬致邑立宗焉以誘其遺民	楚復詐爲蠻子作邑立其宗主復扶又切
而盡俘以歸○秋七月齊陳乞弦施衛寗跪救范氏	陳乞僖子弦㢮弦多跪其委切
庚午圍五鹿	五鹿晉地
九月趙鞅圍邯鄲冬十一月邯鄲降荀寅奔鮮虞趙稷奔臨	臨晉邑降戸江切
十二月弦施逆之遂墮臨國夏伐晉取邢任欒鄗逆畤隂人盂壷口	八邑晉地欒在趙國平棘縣西北鄗即髙邑縣也路縣東有壺口關墮許規切邢音刑任音壬欒力官切鄗呼洛切郭璞三蒼解詁音􁂄字林火沃切韋昭呼告切闞駟云讀磽确同畤音止盂音于
㑹鮮虞納荀寅于柏人	晉邑也今趙國柏人縣也弦施與鮮虞㑹也
經五年春城毗	無傳備晉也毗頻夷切
○夏齊侯伐宋	無傳
○晉趙鞅帥師伐衛○秋九月癸酉齊侯杵臼卒	再同盟也杵昌吕切臼求又切
○冬叔還如齊○閏月葬齊景公	無傳
傳五年春晉圍柏人荀寅士吉射奔齊初范氏之臣王生惡張柳朔言諸昭子使爲柏人	爲柏人宰也昭子范吉射也惡烏路切下同柳良乆切
昭子曰夫非而讎乎對曰私讎不及公	公家之事也夫音扶
好不廢過惡不去善義之經也臣敢違之及范氏出	出柏人奔齊好呼報切去起吕切
張柳朔謂其子爾從主勉之我將止死王生授我矣	授我死節
吾不可以僭之遂死於柏人	爲吉則距晉戰死僭子念切後同爲于僞切
○夏趙鞅伐衛范氏之故也遂圍中牟	衛助范氏故也
○齊燕姬生子不成而死	燕姬景公夫人不成未冠也燕於賢切冠古喚切
諸子鬻姒之子荼嬖	諸子庶公子也鬻姒景公妾茶安儒子鬻音育姒音似茶音舒又音徒又丈加切嬖必計切
諸大夫恐其爲大子也言於公曰君之齒長矣未有大子若之何公曰二三子間於憂虞則有疾疢亦姑謀樂何憂於無君	景公意欲立荼而未發故以此言塞大夫請長丁丈切間音閑又音間厠之間又如字疢勑覲切本或作疹乃結切樂音洛
公疾使國惠子髙昭子立荼	惠子國夏昭子髙張
寘羣公子於萊	萊齊東鄙邑寘之䜴切羣或作諸萊音來
秋齊景公卒冬十月公子嘉公子駒公子黔奔衛公子鉏公子陽生來奔	皆景公子在萊者黔巨廉切又音琴鉏仕居切
萊人歌之曰景公死乎不與埋三軍之事乎不與謀師乎師乎何黨之乎	師衆也黨所也之往也稱謚蓋葬後而爲此歌哀羣公子失所與音預埋亡皆切
○鄭駟秦富而侈嬖大夫也而常陳卿之車服於其庭鄭人惡而殺之子思曰詩曰不解于位民之攸塈	子思子産子國參也詩大雅改所也塈息也侈昌氏切又尺氏切惡烏路切解佳賣切暨許器切
不守其位而能乆者鮮矣商頌曰不僭不濫不敢怠皇命以多福	僭差也濫溢也皇暇也言駟秦違詩商頌故受禍鮮息淺切濫力暫切溢音逸
經六年春城邾瑕	無傳備晉也任城亢父縣北有邾婁城瑕音遐任音壬亢苦浪切又音剛父音甫
○晉趙鞅帥師伐鮮虞○呉伐陳○夏齊國夏及髙張來奔	二子阿君廢長立少旣受命又不能全書名罪之也長丁丈切少詩照切
○叔還㑹呉于柤	無傳柤莊加切
○秋七月庚寅楚子軫卒	未同盟而赴以名軫之忍切史記作珍
○齊陽生入于齊	爲陳乞所逆故書入
○齊陳乞弑其君荼	弑荼者朱毛與陽生也而書陳乞所以明乞立陽生而荼見弑則禍由乞始也楚比劫立陳乞流涕子家憚老皆疑於免罪故春秋明而書之以爲弑主弑音試下皆同
○冬仲孫何忌帥師伐邾	無傳
○宋向巢帥師伐曹	無傳
傳六年春晉伐鮮虞治范氏之亂也	四年鮮虞納荀寅子柏人
○呉伐陳復脩舊怨也	元年未得志故也復扶又切
楚子曰吾先君與陳有盟不可以不救乃救陳師于城父	陳盟在昭十三年父音甫
○齊陳乞僞事髙國者	髙飛國夏受命立荼陳乞欲害之故先僞事焉
毎朝必驂乗焉所從必言諸大夫	言其罪也乗繩證切
曰彼皆偃蹇將棄子之命	偃蹇驕敖偃約免切蹇紀晚切敖五報切
皆曰髙國得君	得君寵也
必偪我盍去諸固將謀子子早圖之圖之莫如盡滅之需事之下也	需疑也偪音逼盍戸臘切去起吕切下同需音須一音臨弱待疑也
及朝則曰彼虎狼也見我在子之側殺我無日矣請就之位	欲與諸大夫謀髙國故求就之
又謂諸大夫曰二子者禍矣恃得君而欲謀二三子曰國之多難貴寵之由盡去之而後君定旣成謀矣盍及其未作也先諸作而後悔亦無及也大夫從之夏六月戊辰陳乞鮑牧	牧鮑國孫難乃且切牧州牧之牧
及諸大夫以甲入于公宫昭子聞之與惠子乗如公戰于莊敗	髙國敗也莊六軌之道乗繩證切
國人追之國夏奔莒遂及髙張晏圉弦施來奔	晏圉嬰之子圉施不書非卿圉魚吕切
○秋七月楚子在城父將救陳卜戰不吉卜退不吉王曰然則死也再敗楚師不如死	前巳敗於柏舉今若退還亦是敗
棄盟逃讎亦不如死死一也其死讎乎命公子申爲王不可則命公子結亦不可則命公子啓	申子西結子期啓子閭皆昭王兄
五辭而後許將戰王有疾庚寅昭王攻大冥卒于城父	大冥陣地呉師所在辭本又作辤說文云辭不受也受辛冝辭也辭籕文冥亡丁切
子閭退曰君王舎其子而讓羣臣敢忘君乎從君之命順也	從命可立舎音捨
立君之子亦順也二順不可失也與子西子期謀潜師閉塗逆越女之子章立之而後還	潜師密發也閉塗不通外使也越女昭王妾章惠王
是歲也有雲如衆赤鳥夾日以飛日楚子使問諸周大史周大史曰其當王身乎	日爲人君妖氣守之故以爲當王身雲在楚上唯楚見之故禍不及他國夾古洽切大音泰
若禜之可移於令尹司馬	禜禳祭禜音訓禳如羊切
王曰除腹心之疾而寘諸股肱何益不榖不有大過天其天諸有罪受罰又焉移之遂弗禜𥘉昭王有疾卜曰河爲祟王弗祭大夫請祭諸郊王曰三代命祀祭不越望	諸侯望祀竟内山川星辰祟息遂切
江漢睢漳楚之望也	四水在楚界睢七餘切
禍福之至不是過也不榖雖不德河非所獲罪也遂弗祭孔子曰楚昭王知大道矣其不失國也冝哉夏書曰惟彼陶唐帥彼天常	逸書言堯循天之常道釋文楚昭王知大道矣本或作天道非夏戸雅切此語在尚書五子之歌書無帥彼天常一句下亦微異
有此兾方今失其行亂其紀綱乃滅而亡	滅亡謂夏桀也唐虞及夏同都兾州不易地而亡由於不知大道故行如字又下孟切尚書作厥道乃滅而亡尚書乃作厎滅亡
又曰允出兹在兹由已率常可矣	又逸書言信出已則福亦在己
○八月齊邴意兹來奔	高國黨
○陳僖子使召公子陽生	召在七月今在八月下記事之次
陽生駕而見南郭且于	且于齊公子鉏在魯南郭且子餘切
曰甞獻馬於季孫不入於上乗故又獻此請與子乗之	畏在家人聞其言故欲二人共載以試馬爲辭上乗繩證切
出萊門而告之故	魯郭門也
闞止知之先待諸外	闞止陽生家臣子我也待外欲俱去闞昔暫切
公子曰事未可知反與壬也處	壬陽生子簡公
戒之遂行	戒使無洩言洩息列切
逮夜至於齊國人知之	故以昏至不欲令人知之國人知而不言言陳氏得衆
僖子使子士之母養之	隱於僖子家内子士母僖子妾
與饋者皆入	陳僖子又令陽生隨饋食之人入處公宫饋其位切
冬十月丁卯立之將盟	盟諸大夫
鮑子醉而往其臣差車鮑點	點鮑牧臣也差車王車之官差所冝切點之廉切又如字
曰此誰之命也陳子曰受命于鮑子遂誣鮑子曰子之命也	見其醉故誣之
鮑子曰女忘君之爲孺子牛而折其齒乎而背之也	孺子荼也景公甞銜䋲爲牛使荼牽之荼頓地故折其齒女音汝折之舌切又市列切背音佩
悼公稽首	悼公陽生
曰吾子奉義而行者也若我可不必亡一大夫	言己可爲君必不怨鮑子
若我不可不必亡一公子	公子自謂也恐鮑子殺己故要之
義則進否則退敢不唯子是從廢興無以亂則所願也鮑子曰誰非君之子乃受盟	言陽生亦君之子固可立
使胡姬以安孺子如頼	胡姬景公妾也頼齊邑安號也
去鬻姒	荼之母去起吕切
殺王甲拘江說囚王豹于句竇之丘	三子景公嬖臣荼之黨也拘音俱說音稅句音鉤
公使朱毛告於陳子	朱毛齊大夫
曰微子則不及此然君異於器不可以二器二不匱君二多難敢布諸大夫僖子不對而泣曰君舉不信羣臣乎	舉皆也
以齊國之困困又有憂	内有飢荒之困又有兵革之憂
少君不可以訪是以求長君庶亦能容羣臣乎不然夫孺子何罪毛復命公悔之	悔失言少詩照切長丁丈切夫音扶孺或作同
毛曰君大訪於陳子而圖其小可也	大謂國政小謂殺荼
使毛遷孺子於駘不至殺諸野幕之下葬諸殳冒淳	恐駘人不從故毛駐於野張帳而殺之駘齊邑殳冒淳地名實以冬殺經書秋者史書秋記始事遂連其死通以冬吉魯駘他才切又徒來切幕音莫殳音珠冒亡報切淳音純駐中住切
經七年春宋皇瑗帥師侵鄭○晉魏曼多帥師侵衛○夏公㑹呉于鄫	鄫今琅邪鄫縣瑗于眷切鄫本又作繒才陵切
○秋公伐邾○八月已酉入邾以邾子益來	他國言歸於魯言來内外之辭
○宋人圍曹○冬鄭駟弘帥師救曹傳七年春宋師侵鄭鄭叛晉故也	定八年鄭始叛
○晉師侵衛衛不服也	五年晉伐衛至今未服
○夏公㑹呉于鄫	呉欲霸中國
呉來徴百牢子服景伯對曰先王未之有也呉人曰宋百牢我	是時呉過宋得百牢牢力刀切過古禾切
魯不可以後宋且魯牢晉大夫過十	晉大夫范鞅也在昭二十一年後如字又戸豆切
呉王百牢不亦可乎景伯曰晉范鞅貪而棄禮以大國懼敝邑故敝邑十一牢之君若以禮命於諸侯則有數矣	有常數
君亦棄禮則有淫者矣	淫過也
周之王也制禮上物不過十二	上物天子之牢上如字又時掌切
以爲天之大數也	天有十一次故制禮象之
今棄周禮而曰必百牢亦唯執事呉人弗聽景伯曰呉將亡矣棄天而背本	違周爲背本
不與必棄疾於我	放棄凶疾來伐擊我
乃與之大宰嚭召季康子	嚭吳大夫
康子使子貢辭大宰嚭曰國君道長	蓋言君長大於道路長丁丈切
