春秋經傳集解僖下第七杜氏盡三十三年經二十有七年春杞子來朝〇夏六月庚寅齊侯昭卒	十九年與魯大夫盟于齊
〇夏四月己巳晉侯齊師宋師秦師及楚人戰于城濮楚師敗績	宋公齊國歸父秦小子憖旣次城濮以師屬晉不與戰也子玉及陳蔡之師不書楚人恥敗告文略也大崩曰敗績濮音卜憖魚覲切與音預
楚殺其大夫得臣	子玉違其君命以取敗稱名以殺罪之
衛侯出奔楚五月癸丑公會晉侯齊侯宋公蔡侯鄭伯衛子莒子盟于踐土	踐土鄭地王子虎臨盟不同歃故不書衛侯岀奔其弟叔武攝位受盟非王命所加從未成君之禮故稱子而序鄭伯之下經書癸丑月十八日也傳書癸亥月二十八日經傳必有誤踐似淺切土如字或一音杜歃所洽切本又作喢
陳侯如會	無傳陳本與楚楚敗懼而屬晉來不及盟故曰如㑹
公朝于王所	無傳王在踐土非京師故曰王所
六月衛侯鄭自楚復歸于衛	復其位曰復歸晉人感叔武之賢而復衛侯衛侯之入由于叔武故以國逆爲文例在成十八年
衛元咺出奔晉	元咺衛大夫雖爲叔武訟訴失若臣之節故無賢文奔例在宣十年咺況晚切爲于僞切下爲其同訢本又作愬蘇路切
陳侯𣢾卒	無傳凡四同盟
〇秋𣏌伯姬來	無傳莊公女歸寜曰來
公子遂如齊	無傳聘也
〇冬公會晉侯齊侯宋公蔡侯鄭伯陳子莒子邾子秦人于温	陳共公稱子先君未葬例在九年宋襄公稱子自在本班陳共公稱子降在鄭下陳懷公稱子而在鄭上傳無義例蓋主㑹所次非襃貶也共音恭下共公同
天王狩于河陽	晉地今河内有河陽縣晉實召王爲其辭逆而意順故經以王狩爲辭狩本又作守音同
壬申公朝于王所	壬申十月十日有日而無月史闕文
晉人執衛侯歸之于京師	稱人以執罪及民也例在成十五年諸侯不得相治故歸之京師
衛元咺自晉復歸于衞	元咺與衛侯訟得勝而歸從國逆例者明衛侯無道於民國人與元咺
諸侯遂圍許	晉温諸侯也許比再㑹不至故因會共伐之比如字王得利切
曹伯襄復歸于曹	晉惑侯獳之言而復曹伯故從國逆之例獳乃侯切
遂會諸侯圍許	言遂得復而行不歸國也
傳二十八年春晉侯將伐曹假道于衛	曹在衛東故
衛人弗許還自南河濟	從汲郡南渡出衛南而東汲音急
侵曹伐衛正月戊申取五鹿	五鹿衛地
二月晉郤縠卒原軫將中軍胥臣佐下軍上德也	先軫以下軍佐超將中軍故曰上德胥臣司空季子將子匠切注同胥思徐切
晉侯齊侯盟于斂盂	歛盂衛地斂徐音廉又力檢切盂音于
衛侯請盟晉人弗許衛侯欲與楚國人不欲故出其君以說于晉衛侯出居于襄牛	襄牛衛地說音恱或如字
公子買戍衛	晉伐衛衛楚之昏姻魯欲與楚故伐衛
楚人救衛不克公懼於晉殺子叢以說焉	召子叢而殺之以謝晉說音恱
謂楚人曰不卒戍也	詐告楚人言子叢不終戍事而歸故殺之殺子叢在楚救衛丁經在上者救衛赴晚至
晉侯圍曹門焉多死	攻曹城門
曹人尸諸城上	磔晉死人於城上磔張宅切
晉侯患之聽輿人之謀曰稱舎於墓	輿衆也舎墓爲將發冡輿音餘爲如字又于僞切
師遷焉曹人兇懼	遷至曹人墓兇兇恐懼聲兇凶勇切恐丘勇切
爲其所得者棺而出之因其兇也而攻之三月丙午入曹數之以其不用僖負羈而乗軒者三百人也且曰獻狀	軒大夫車言其無德居位者多故責其功狀棺古患切一音官軒許言切
令無入僖負羈之宫而免其族報施也	報飧璧之施施始䜴切注同飱音孫
魏犨顚頡怒曰勞之不圖報於何有	二子各有從亡之勞頡戸結切從才用切
爇僖負羈氏	爇燒也爇如恱切
魏犨傷於胷公欲殺之而愛其材	材力
使問且視之病將殺之魏犫束胸見使者曰以君之靈不有寧也	言不以病故自安寜見賢遍切使所吏切
距躍三百曲踊三百	距躍超越也曲踊跳踊也百猶勵也距昔巨躍羊略切三如字又息暫切百音陌下倣此跳徒彫切勵音邁
乃舎之殺顚頡以徇于師立舟之僑以爲戎右	舟之僑故虢臣閔二年奔晉以代魏犨爲先歸張本舎如字又音捨下同徇似俊切
宋人使門尹般如晉師告急	門尹般宋大夫般音班
公曰宋人告急舎之則絶	與晉絶
告楚不許我欲戰矣齊秦未可若之何	未肯戰
先軫曰使宋舎我而賂齊秦	求救於齊秦舎音捨
藉之告楚	假借齊秦使爲宋請藉在亦切爲于僞切
我執曹君而分曹衛之田以賜宋人楚愛曹衛必不許也	不許齊秦之請
喜賂怒頑能無戰乎	言齊秦喜得宋賂而怒楚之頑必自戰也不可告請故曰頑
公說執曹伯分曹衛之田以卑宋人楚子入居于申	申在方城内故而入說音恱卑必利切
使申叔去穀	二十六年申叔戍榖
使子玉去宋曰無從晉師晉侯在外十九年矣而果得晉國	晉侯生十七年而亡亡十九年而反凡二十六年至此四十矣
險阻艱難備甞之矣民之情僞盡知之矣天假之年	獻公之子九人唯文公在故曰天假之年
而除其害	除惠懷吕郤
天之所置其可廢乎軍志曰允當則歸	無求過分軍志兵書當丁浪切分扶問切
又曰知難而退又曰有德不可敵此三志者晉之謂矣	謂今與晉遇當用此三志
子玉使伯棼請戰	伯棼子􁇡椒也鬪伯比之孫棼扶云切王扶粉切
曰非敢必有功也願以間執讒慝之口	間執猶塞也讒慝若蔿賈之言謂子玉不能以三百乗入閒閒厠之閒注同慝吐得切乗繩證切
王怒少與之師唯西廣東宫與若敖之六卒實從之	楚子還申遣此兵以就前圍宋之衆楚有左右廣又大子有宫甲分取以給之若敖楚武王之祖父葬若敖者子玉之祖也六卒子玉宋人之兵六百人言不悉師以益之廣古曠切注同卒子怱切注同
子玉使宛春告於晉師曰請復衛侯而封曹臣亦釋宋之圍	衛侯未出竟曹伯見執在宋巳失位故言復衛封曹宛於元切又於阮切竟音境
子犯曰子玉無禮哉君取一臣取二	君取一以釋宋圍惠晉侯臣取二復衛曹爲己功
不可失矣	言可伐
先軫曰子與之定人之謂禮楚一言而定三國我一言而亡之我則無禮何以戰乎不許楚言是弃宋也救而弃之謂諸侯何	言將爲諸侯所怪
楚有三施我有三怨怨讎巳多將何以戰不如私許復曹衛以攜之	私許二國使告絶于楚而後復之攜離也施始䜴切
執宛春以怒楚旣戰而後圖之	須勝負決乃定計
公說乃拘宛春於衛且私許復曹衛曹衛告絶於楚子玉怒從晉師晉師退軍吏曰以君辟臣辱也且楚師老矣何故退子犯曰師直爲壯曲爲老豈在乆乎微楚之惠不及此	重耳過楚楚成王有贈送之惠說音恱拘言俱過古禾切
退三舎辟之所以報也	一舎三十里初楚子云若反國何以報我故以退三舎爲報
背惠食言以亢其讎	亢猶當也讎謂楚也背音偑下及注同亢苦浪切
我曲楚直其衆素飽不可謂老	直氣盈飽
我退而楚還我將何求若其不還君退臣犯曲在彼矣退三舎楚衆欲止子玉不可夏四月戊辰晉侯宋公齊國歸父崔夭秦小子憖次于城濮	國歸父崔天齊大夫也小子憖秦穆公子也城濮衛地夭於表切
楚師背酅而舎	酅丘陵險阻名酅戸圭切
晉侯患之聽輿人之誦	恐衆畏險故聽其歌誦
曰原田毎每舎其舊而新是謀	髙平曰原喻晉君美盛若原田之草每每然可以謀立新功不足念舊惠每亡囬切又梅對切舍音捨
公疑焉	疑衆謂已背舊謀新
子犯曰戰也戰而捷必得諸侯若其不捷表裏山河必無害也	晉國外河而内山
公曰若楚惠何欒貞子曰漢陽諸姬楚實盡之	貞子欒枝也水北曰陽姬姓之國在漢北者楚盡滅之
思小惠而忘大恥不如戰也晉侯夢與楚子搏	搏手搏搏音博
楚子伏己而盬其腦	盬啑也盬音古腦乃老切啑子荅切又所荅切又子甲切
是以懼子犯曰吉我得天楚伏其罪吾且柔之矣	晉侯上向故得天楚子下向地故伏其罪腦所以柔物子犯審見事冝故權言以荅夢向或作嚮許亮切下同
子玉使鬪勃請戰	鬪勃楚大夫
曰請與君之士戲君馮軾而觀之得臣與寓目焉	寓寄也馮皮冰切軾音式與音預寓音遇
晉侯使欒枝對曰寡君聞命矣楚君之惠未之敢忘是以在此爲大夫退其敢當君乎旣不獲命矣	不獲止命爲于僞切
敢煩大夫謂二三子	煩鬪勃令戒勑子玉子西之屬令力呈切
戒爾車乗敬爾君事詰朝將見	詰朝平旦乗䋲證切下及注皆同詰起吉切朝如字注同見如字又賢遍切
晉車七百乗韅靷鞅靽	五萬二千五百人在背曰韅在胷曰靷在腹曰鞅在後曰靽言駕乗脩備韅許見切說文作云著掖皮靷以刄切說文云軸也鞅於杖切說文云頸皮也靽音半一云縶也背如字
晉侯登有莘之虚以觀師曰少長有禮其可用也	有莘故國名少長猶言大小莘所巾切虚丘魚切少詩照切注同長丁丈切注同
遂伐其木以益其兵	伐木以益攻戰之具與曵柴亦是也攻如字又音貢
己巳晉師陳于華北胥臣以下軍之佐當陳蔡子玉以若敖之六卒將中軍曰今日必無晉矣子西將左子上將右	子西鬪冝申子卜鬪勃陳直覲切卒子忽切下同將子匠切下及注同
胥臣蒙馬以虎皮先犯陳蔡陳蔡奔楚右師潰	陳蔡屬楚右師潰戸外切
狐毛設二斾而退之	斾大旗也又建二斾而退使若大將稍却斾薄貝切
欒枝使輿曵柴而僞遁	曵柴起塵詐爲衆走遁徒困切
楚師馳之原軫郤溱以中軍公族橫擊之	公族公所率之軍
狐毛狐偃以上軍夾攻子西楚左師潰楚師敗績子玉收其卒而止故不敗	三軍唯中軍完是不大崩夾古洽切又音頰
晉師三日館榖	館舎也食楚軍榖三日
及癸酉而還甲午至于衡雍作王宫于踐土	衡雍鄭地今熒陽卷縣襄王聞晉戰勝自往勞之故爲作宫雍於用切卷音權又丘權切勞切報切爲于僞切
郷役之三月	郷猶屬也城濮役之前三月郷許亮切本又作曏同屬音燭
鄭伯如楚致其師爲楚師旣敗而懼使子人九行成于晉	子人氏九名爲于僞切
晉欒枝入盟鄭伯五月丙午晉侯及鄭伯盟于衡雍丁未獻楚俘于王駟介百乗徒兵千	駟介四馬𬒳甲徒兵步卒駟音四介音界𬒳皮義切卒子忽切
鄭伯傅王用平禮也	傅相也以周平王享晉文侯仇之禮享晉侯相息亮切
己酉王享醴命晉侯宥	旣饗又命晉侯助以束帛以將厚意
王命尹氏及王子虎内史叔興父䇿命晉侯爲侯伯	以䇿書命晉侯爲伯也周禮九命作伯尹氏王子虎皆王卿士也叔興父大夫也三官命之以寵晉
賜之大賂之服戎輅之服	大輅金輅戎輅戎車二輅各有服
彤弓一彤矢百玈弓矢千	形赤弓玈黒弓弓一矢百則矢千弓十矣諸侯賜弓矢然後專征伐彤徒冬切玈音盧本或作旅字非也矢千本或作玈矢千後人專輒加也
秬鬯一卣	秬黑黍鬯香酒所以降神卣器名秬音臣鬯勑亮切㔽音酉又音由爾雅云卣中尊也
虎賁三百人曰王謂叔父敬服王命以綏四國糾逖王慝	逖遠也有惡於王者糾而遠之賁音奔逖勑歷切慝他得切
晉侯三辭從命曰重耳敢再拜稽首奉揚天子之丕顯休命	稽首首至地丕大也休美也三息暫切又如字後例放此丕普悲切休許虯切注同
受䇿以出出入三覲	出入猶去來也從來至去凡三見王見賢遍切
衛侯聞楚師敗懼出奔楚遂適陳	自襄牛出
使元咺奉叔武以受盟	奉使攝君事使攝君事並如字或讀連上奉字爲句使音所吏切非也
癸亥王子虎盟諸侯于王庭	踐土宫之庭書踐土别於京師别彼列切
要言曰皆㢡王室無相害也有渝此盟明神殛之俾隊其師無克祚國	㢡助也渝變也殛誅也俾使也隊隕也克能也㢡將丈切渝羊朱切殛紀力切本又作極下是殛同俾本亦作卑必爾切隊直類切祚才故切隕于敏切
及而玄孫無有老幼君子謂是盟也信	合義信
謂晉於是役也能以德攻	以文德教民而後用之攻如字一音公送切
初楚子玉自爲瓊弁玉纓未之服也	弁以鹿子皮爲之瓊玉之别名次之以飾弁及纓詩云會弁如星瓊未營切說文云赤玉弁本又作玣皮彦切㑹本又作璯古外切又戸外切
先戰夢河神謂己曰卑余余賜女孟諸之麋	孟諸宋藪澤水草之交曰麋先如字又悉薦切卑必利切與也女音汝麋亡皮切藪素口切
弗致也大心與子西使榮黃諫	大心子玉之子子西子玉之族子玉剛愎故因榮黄榮黃榮季也愎反逼切
弗聽榮季曰死而利國猶或爲之況瓊玉乎是糞土也而可以濟師將何愛焉	因神之欲以附百姓之願濟師之理糞弗問切
弗聽出告二子曰非神敗令尹令尹其不勤民實自敗也	盡心盡力無所愛惜爲勤盡津忍切
旣敗王使謂之曰大夫若入其若申息之老何	申息二邑子弟皆從子玉而死言何以見其父老從如字又才用切
子西孫伯曰得臣將死二臣止之曰君其將以爲戮	孫伯即大心子玉子也二子以此荅王使言欲令子玉往就君戮使所吏切下前使同令力呈切
及連榖而死	至連榖王無赦命故自殺也文十年傳曰城濮之役王使止子玉曰無死不及子西亦自殺縊而縣絶故得不死王時别遣追前使連穀楚地殺得臣經在踐上盟上傳在下者說晉事畢而次及楚屬文之冝榖胡木切縊一賜切一音於計切縣音玄屬音燭
晉侯聞之而後喜可知也	喜見於顔色見賢遍切
曰莫余毒也巳蔿吕臣實爲令尹奉巳而巳不在民矣	言其自守無大志
或訴元咺於衛侯曰立叔武矣其子角從公公使殺之	角元咺子從扌用切又如字
咺不廢命奉夷叔以入守	夷謚守手又切
六月晉人復衛侯	以叔武受盟於踐土故聽衛侯歸聽吐丁切
寗武子與衛人盟于宛濮	武子寗俞也陳留長垣縣西南有宛亭近濮水宛於阮切俞羊朱切近附近之近
曰天禍衛國君臣不協以及此憂也	衛侯欲與楚國人不欲故不和也
今天誘其衷	衷中也衷音忠或丁仲切下同
使皆降心以相從也不有居者誰守社稷不有行者誰扞牧圉	牛曰牧馬曰圉扞戸旦切牧音目
不協之故用昭乞盟于爾大神以誘天衷自今日以往旣盟之後行者無保其力居者無懼其罪有渝此盟以相及也	以惡相及
明神先君是紏是殛國人聞此盟也而後不貳	傳言叔武之賢寗俞之忠衛侯所以書復歸
衛侯先期入	不信叔武先悉薦切
寗子先長牂守門以爲使也與之乗而入	長牂衛大夫寗子患公之欲速故先入欲安喻國人牂子郎切使所吏切
公子歂犬華仲前驅	衛侯遂驅奄寗子未備二子衛大夫歂市專切華戸化切又如字
叔武將沐聞君至喜捉髮走出前驅射而殺之公知其無罪也枕之股而哭之	公以叔武尸枕其股射食亦切下注同枕支鴆切注同
歂犬走出	手射叔武故
公使殺之元咺出奔晉	元咺以衛侯驅入殺叔武故至晉愬之
城濮之戰晉中軍風于澤	牛馬因風而走皆失之
亡大斾之左旃	大斾旗名繋旐曰斾通帛曰旃旃章然切爾雅云因章曰旃
祁瞞奸命	掌此二事而不脩爲奸軍今瞞莫于切奸音干
司馬殺之以徇于諸侯使茅茷代之師還壬午濟河舟之僑先歸士會攝右	權代舟之僑也士㑹隨武子士蔿之孫筏扶廢切僑其驕切
秋七月丙申振旅愷以入于晉	愷樂也愷開在切樂音洛
獻俘授馘飲至大賞	授數也獻楚俘於廟馘古獲切數色主切
徵會討貳	徵召諸侯將冬會于温
殺舟之僑以徇于國民於是大服君子謂文公其能刑矣三罪而民服	三罪顚頡祁瞒舟之僑
詩云惠此中國以綏四方不失賞刑之謂也	詩大雅言賞刑不失則中國受惠四方安靖
〇冬會于温討不服也	討衛許
衛侯與元咺訟	爭殺叔武事
寗武子爲輔鍼莊子爲坐士榮爲大士	大士治獄官也周禮命夫命婦不躬坐獄訟元咺又不宜與其君對坐故使鍼莊子爲主又使衛之忠臣及其獄官質正元咺傳曰王叔之宰與伯輿之大夫坐獄於王庭各不身親蓋今長吏有罪先驗吏卒之義鍼其廉切坐如字或一音才卧切長丁丈切卒子忽切
衛侯不勝	三子辭屈
殺士榮刖鍼莊子謂寗俞忠而免之執衛侯歸之于京師寘諸深室	深室别爲囚室肘音月又五刮切寘之䜴切
寗子職納橐饘焉	寗俞以君在幽隘故親以衣食爲己職槖衣囊饘麋也言其忠至所慮者深橐音託饘之然切隘於賣切囊乃郎切麋亡皮切
元咺歸于衛立公子瑕	瑕衛公子適適音的
〇是會也晉侯召王以諸侯見且使王狩	晉侯大合諸侯而欲尊事天子以爲名義自嫌強大不敢朝周喻王出狩因得盡羣臣之禮皆譎而不正之事見賢遍切
仲尼曰以臣召君不可以訓故書曰天王狩于河陽言非其地也	使若天王自狩以失地故書河陽實以屬晉非王狩地
且明德也	隱其召君之闕欲以明晉之功德河陽之狩趙盾之弒泄冶之罪皆違凡變例以起大義危疑之理故特稱仲尼以明之弒音試泄息列切冶音也危疑如字一本危作佹九委切
壬申公朝于王所	執衛侯經在朝王下傳在上者告執晚
丁壬諸侯圍許	十月十五日有日無月
晉侯有疾曹伯之豎侯獳貨筮史	賢掌通内外者史晉史
使曰以曹爲解	以滅曹爲解故解户賣切注同又古買切
齊桓公爲㑹而封異姓	封邢衛
今君爲會而滅同姓曹叔振鐸文之昭也	叔振鐸曹始封君丈王之子鐸待洛切
先君唐叔武之穆也且合諸侯而滅兄弟非禮也與衛偕命	私許復曹衛
而不與偕復非信也同罪異罰非刑也	衛巳復故
禮以行義信以守禮刑以正邪舍此三者君將若之何公說復曹伯遂會諸侯于許晉侯作三行以禦狄荀林父將中行屠擊將右行先蔑將左行	晉置上中下三軍今復增置三行以辟天子六軍之名三行無佐疑大夫帥邪似嗟切舎音捨說音恱行戸郎切下及注同將子匠切屠音徒撃古狄切一音計蔑亡結切復扶又切
經二十有九年春介葛盧來	介東夷國也在城陽黔陬縣葛盧介君名也不稱朝不見公且不能行朝禮雖不見公國賔禮之故書介音界黔臣廉切又音琴陬子侯切又側留切
公至自圍許	無傳
〇夏六月會王人晉人宋人齊人陳人蔡人秦人盟于翟泉	翟泉今洛陽城内大倉西南池水也魯侯諱盟天子大夫諸侯大夫又違禮􁋼公侯王子虎違禮下盟故不言公會又皆稱人翟直歷切大倉音泰
〇秋大雨雹	雨于付切
○冬介葛盧來傳二十九年春介葛盧來朝舎于昌衍之上	魯縣東南有昌平城衍以善切
公在會饋之芻米禮也	嫌公行不當致饋故曰禮也饋其媿切芻初俱切
〇夏公會王子虎晉狐偃宋公孫固齊國歸父陳轅濤塗秦小子憖盟于翟泉㝷踐土之盟且謀伐鄭也	經書蔡人而傳無名氏即微者秦小子憖在蔡下者若宋向戍之後㑹轅音袁濤音桃憖魚覲切向式亮切
卿不書罪之也	晉侯始霸翼戴天子諸侯輯睦王室無虞而王子虎下盟列國以瀆大典諸侯大夫上敵公侯虧禮傷敎故貶諸大夫諱公與盟輯音集又七入切瀆徒木切上時掌切又如字與音預
在禮卿不會公侯會伯子男可也	大國之卿當小國之君故可以㑹伯子男諸卿之見貶亦兼有此闕故傳重發之重直用切
〇秋大雨雹爲災也〇冬介葛盧來以未見公故復來朝禮之加燕好	燕燕禮也好好貨也一歳再來故加之復扶又切好呼報切注同
介葛盧聞牛鳴曰是生三犧皆用之矣其音云問之而信	傳言人聽或通鳥獸之情犧詐宜切
經三十年春王正月〇夏狄侵齊〇秋衛殺其大夫元咺及公子瑕	咺見殺稱名者訟君求直又先歸立公子瑕非國人所與罪之也瑕立經年未㑹諸侯故不稱君
衛侯鄭歸于衛	魯爲之請故從諸侯納之例例在成十八年爲于僞切
晉人秦人圍鄭	晉軍函陵秦軍氾南各使微者圍鄭故稱人函音咸汜音凡傳同
介人侵蕭	無傳
〇冬天王使周公來聘	周公天子三公兼冡宰也兼如字又經念切
公子遂如京師遂如晉	如京師報宰周公
傳三十年春晉人侵鄭以觀其可攻與否狄閒晉之有鄭虞也夏狄侵齊	齊晉與國間間厠之間
〇晉侯使醫衍酖衛侯	衍醫名晉侯實怨衛侯欲殺而罪不及死故使醫因治疾而加酖毒衍以善切酖音鴆
寗俞貨醫使薄其酖不死	寗侯視衛侯衣食故得知之
公爲之請納玉於王與晉侯皆十㲄王許之	雙玉曰㲄公本與衛同好故爲之請爲于僞切及注同㲄音角好呼報切
秋乃釋衛侯衛侯使賂周歂冶廑曰苟能納我吾使爾爲卿	恐元咺距己故賂周治歂市專切冶音也廑音覲又音謹人名也漢書音義云古勤字也鄭氏音勤
周冶殺元咺及子適子儀	子儀瑕母弟不書殺賤也適丁歷切
公入祀先君周冶旣服將命	服卿服將入廟受命
周歂先入及門遇疾而死冶廑辭卿	見周歂死而懼
〇九月甲午晉侯秦伯圍鄭以其無禮於晉	文公亡過鄭鄭不禮之過古禾切
且貳於楚也晉軍函陵秦軍氾南	此東汜也在熒陽中牟縣南
佚之狐言於鄭伯曰國危矣若使燭之武見秦君師必退	佚之狐燭之武皆鄭大夫佚音逸
公從之辭曰臣之壯也猶不如人今老矣無能爲也巳公曰吾不能早用子今急而求子是寡人之過也然鄭亡子亦有不利焉許之夜縋而出	縋縣城而下縋大僞切縣音玄
見秦伯曰秦晉圍鄭鄭旣知亡矣若亡鄭而有益於君敢以煩執事	執事亦謂秦
越國以鄙逺君知其難也	設得鄭以爲秦邊邑則越晉而難保
焉用亡鄭以陪鄰	陪益也焉於䖍切下焉取之同陪蒲囬切
鄰之厚君之薄也若舎鄭以爲東道主行李之往來共其乏困	行李使人舍音捨又如字共音恭本亦作供使所吏切
君亦無所害且君甞爲晉君賜矣許君焦瑕朝濟而夕設版焉君之所知也	晉君謂惠公也焦瑕晉河外五城之二邑朝濟河而夕設版築以距秦言背秦之速朝如字注同版音板背音佩
夫晉何厭之有旣東封鄭又欲肆其西封	封疆也肆申也厭於鹽切疆居良切
若不	晉作三行今罷之更爲上下新軍河東聞喜縣北有清原行戸郎切
趙衰爲卿	二十七年命趙衰爲卿讓於欒枝今始從原大夫爲新軍帥帥所類切
〇冬狄圍衛衛遷于帝丘卜曰三百年衛成公夢康叔曰相奪子享	相夏后啓之孫居帝丘享祭也曰音越或人實切非也相息亮切注及下同夏戸雅切下同
公命祀相寗武子不可曰鬼神非其族類不歆其祀	歆猶饗也歆許金切
𣏌鄫何事	言𣏌鄫夏後自當祀相
相之不享於此乆矣非衛之罪也	言帝丘乆不祀相非衛所絶
不可以間成王周公之命祀	諸侯受命各有常祀間間厠之間
請改祀命	改祀相之命
〇鄭洩駕惡公子瑕鄭伯亦惡之故公子瑕出奔楚	瑕文公子傳爲納瑕張本洩駕亦鄭大夫隱五年洩駕距此九十年疑非一人惡烏路切下同
經三十有二年春王正月〇夏四月已丑鄭伯捷卒	無傳文公也三同盟捷在接切
衛人侵狄	報前年狄圍衛
〇秋衛人及狄盟	不地者就狄廬帳盟廬力於切帳張亮切
〇冬十有二月已卯晉侯重耳卒	同盟踐土狄泉
傳三十二年春楚鬪章請平于晉晉陽處父報之晉楚始通	陽處父晉大夫晉楚自春秋以來始交使命爲和同使所吏切
〇夏狄有亂衛人侵狄狄請平焉秋衛人及狄盟〇冬晉文公卒庚辰將殯于曲沃	殯窆棺也曲沃有舊宫焉窆彼驗切一本作塗
出絳柩有聲如牛	如牛呴聲柩其救切禮云在牀曰尸在棺曰柩呴呼口切
卜偃使大夫拜曰君命大事將有西師過軼我擊之必大捷焉	聲自柩出故曰君命大事戎事也卜偃聞秦密謀故因柩聲以正衆心過古禾切又古卧切軼直結切又音逸
杞子自鄭使告于秦	三十年秦使大夫杞子戍鄭
曰鄭人使我掌其北門之管	管籥也籥餘若切
若潛師以來國可得也穆公訪諸蹇叔蹇叔曰勞師以襲逺非所聞也	蹇叔秦大夫蹇紀輦切
師勞力竭逺主備之無乃不可乎師知所爲鄭必知之勤而無所必有悖心	將害良善悖必内切
且行千里其誰不知公辭焉	辭不受其言
召孟明西乞白乙使出師於東門之外	孟明百里孟明視西乞西乞術白乙白乙丙
蹇叔哭之曰孟子吾見師之出而不見其入也公使謂之曰爾何知中壽爾墓之木拱矣	合手曰拱言其過老悖不可用孟子本或作孟兮壽音授又如字拱九勇切
蹇叔之子與師哭而送之曰晉人禦師必於殽	殽在弘農澠池縣西殽本又作崤戸交切劉昌宗音豪澠緜善切與羊恕切
殽有二陵焉	大阜曰陵
