哀公問第二十七	陸曰魯哀公也鄭云善其問礼著謚以顯之
孔子對曰古之爲政愛人爲大所以治愛人禮爲大所以治禮敬爲大敬之至矣大昏爲大大昏至矣大昏旣至冕而親迎親之也親之也者親之也是故君子興敬爲親舎敬是遺親也弗愛不親弗敬不正愛與敬其政之本與	大昏囯君取礼也至矣言至大也㒷敬爲親言相敬則親○迎逆敬反下及注同舎音捨不親不正一本不皆作弗与音餘下本与敬与並同重言古之爲政爱人爲大二下文一敬之至矣礼器篇敬之至也親之也親之也者親之也二一見郊特牲其政之本与下文一
公曰寡人願有言然冕而親迎不巳重乎	巳猶大也怪親迎乃服祭服○大音㤗
孔子愀然作色而對曰合二姓之好以継先聖之後以爲天地宗廟社稷之主君何謂巳重乎	先聖周公也○好呼報反重言合二姓之好二昏義篇將合二姓之好以継先聖之後以爲宗廟社稷之主昏義篇上以事宗廟下以継後丗也
公曰寡人固不固焉得聞此言也寡人欲問不得其辭請少進	固不固言吾由鄙固故也請少進欲其爲言以曉巳○焉於䖍反爲于僞反
孔子曰天地不合萬物不生大昏萬丗之嗣也君何謂巳重焉孔子遂言曰内以治宗廟之禮足以配天地之神明出以治直言之禮足以立上下之敬物恥足以振之囯恥足以興之爲政先禮禮其政之本與	宗廟之礼祭宗廟也夫婦配天地有日月之象焉礼器曰君在阼夫人在房大明生於東月生於西此隂陽之分夫婦之位也直猶正也正言謂出政教也政教有夫婦之礼焉昏義曰天子聽外治后聽内聀教順成俗外内和順囯家理治此之謂盛徳物猶事也事耻臣耻也振猶救也囯耻君耻也君臣之行有可耻者礼足以救之足以興復之○分扶問反治直吏反下同行下孟反下君之行同
孔子遂言曰昔三代明王之政必敬其妻子也有道妻也者親之主也敢不敬與子也者親之後也敢不敬與君子無不敬也敬身爲大身也者親之枝也敢不敬與不能敬其身是傷其親傷其親是傷其本傷其本枝從而亡三者百姓之象也身以及身子以及子妃以及妃君行此三者則愾乎天下矣大王之道也如此囯家順矣	愾猶至也大王居豳爲狄所伐乃曰土地所以養人也君子不以其所養害所養乃去之歧是言百姓之身猶吾身也百姓之妻子猶吾妻子也不忍以土地之故而害之去之𡵨而王迹㒷焉○妃芳菲反愾許乙反又許氣反大音㤗注同豳彼貧反重言敢不敬与二祭統篇敢不敬乎君子无不敬也曲礼上母不敬
公曰敢問何謂敬身孔子對曰君子過言則民作辭過動則民作則君子言不過辭動不過則百姓不命而敬恭如是則能敬其身能敬其身則能成其親矣	則法也民者化君者也君之言雖過民猶称其辝君之行雖過民猶以爲法重意君子言不過辝動不過則中庸君子動而爲天下道言而爲天下則能敬其身則能成其親矣中庸反諸身不誠不順其親矣
公曰敢問何謂成親孔子對曰君子也者人之成名也百姓歸之名謂之君子之子是使其親爲君子也是爲成其親之名也巳孔子遂言曰古之爲政愛人爲大不能愛人不能有其身不能有其身不能安土不能安土不能樂天不能樂天不能成其身	有猶保也不能保身者言人將害之也不能安土動移失業也不能樂天不知巳過而怨天也○樂天音洛下及注同怨於元反又於願反
公曰敢問何謂成身孔子對曰不過乎物	物猶事也
公曰敢問君子何貴乎天道也孔子對曰貴其不巳如日月東西相從而不巳也是天道也不閉其乆是天道也無爲而物成是天道也巳成而明是天道也	巳猶止也是天道也者言人君法之當如是也日月相從君臣相朝㑹也不閉其乆通其政敎不可以倦无爲而成使民不可以煩也巳成而明照察有功○朝直遥反炤音照本亦作照重意是天道也中庸天之道也
公曰寡人惷愚冥煩子志之心也	志讀爲識識知也冥煩者言不能明理此事子之心所知也欲其要言使易行○惷始容反徐昌容反又湯邦反一音丁絳反字林丑凶反又日絳反愚也冥莫亭反徐亡定反志依注音識徐音試易以豉反
孔子蹴然辟席而對曰仁人不過乎物孝子不過乎物是故仁人之事親也如事天事天如事親是故孝子成身	蹴然敬貌物猶事也事親事天孝敬同也孝經曰事父孝故事天明㪯无過事以孝事親是所以成身○蹴子六反又在育反辟音避
公曰寡人旣聞此言也無如後罪何	旣聞此言也者欲勤行之也无柰後日過於事之罪何爲謙辝
孔子對曰君之及此言也是臣之福也	善哀公及此言此言善言也
