樂記第十九	○陸曰鄭云名樂記者以其記樂之義
宫亂則荒其君驕商亂則陂其官壞角亂則憂其民怨徴亂則哀其事勤羽亂則危其財匱五者皆亂迭相陵謂之慢如此則國之滅亡無日矣	君臣民事物其道乱則其音應而乱荒猶散也陂傾也書曰王耄荒易曰无平不陂○陂彼義反注同傾也匱其媿反乏也迭田莭反散蘇旦反耄莫报反
鄭衛之音亂丗之音也比於慢矣	比猶同也○比毗志反注同又如字
桑間濮上之音亡國之音也其政散其民流誣上行私而不可止也	濮水之上地有桑間者亡囯之音於此之水出也昔殷紂使師延作靡靡之樂巳而自沈於濮水後師㳙過焉夜聞而冩之爲晋平公鼔之是之謂也桑間在濮陽南誣罔也○濮音卜水名誣音无注同㳙古玄反爲于僞反下爲作法度同
凡音者生於人心者也樂者通倫理者也	倫猶類也理分也○分扶問反
是故知聲而不知音者禽獸是也知音而不知樂者衆庶是也唯君子爲能知樂	禽獸知此爲声耳不知其宫商之変也八音並作克諧曰楽○諧户皆反
是故審聲以知音審音以知樂審樂以知政而治道備矣是故不知聲者不可與言音不知音者不可與言樂知樂則幾於禮矣禮樂皆得謂之有德德者得也	幾近也聽楽而知政之得失則能正君臣民事物之礼也○治直吏反下民治行同幾音譏一音巨依反注同
是故樂之隆非極音也食饗之禮非致味也	隆猶盛也極窮也食音嗣下食饗同
清廟之瑟朱弦而䟽越壹倡而三歎有遺音者矣大饗之禮尚玄酒而爼腥魚大羹不和有遺味者矣	清廟謂作楽歌清廟也朱弦練朱弦練則声濁越瑟底孔也畫䟽之使声遟也倡發歌句也三歎三人從歎之耳大饗祫祭先王以腥魚爲爼实不臑孰之大羹肉湆不調以塩菜遺猶餘也○䟽音踈下同倡昌諒反注同腥音星和胡卧反厎都礼反畫音獲祫音洽臑音而湇去及反重言大羹不和三○見礼器第十萹一見郊特牲十一篇
是故先王之制禮樂也非以極口腹耳目之欲也將以教民平好惡而反人道之正也	教之使知好惡也○好惡上呼報反下烏路反又並如字後好惡二字相連者皆放此重言先王之制礼也三一檀弓上一礼器
人生而静天之性也感於物而動性之欲也	言性不見物則无欲
物至知知然後好惡形焉	至來也知知毎物來則又有知也言見物多則欲益衆形猶見也○見賢遍反
好惡無節於内知誘於外不能反躬天理滅矣	節法度也知猶欲也誘猶道也引也躬猶巳也理猶性也○誘音酉道音導
夫物之感人無窮而人之好惡無節則是物至而人化物也人化物也者滅天理而窮人欲者也	窮人欲言无所不爲
於是有悖逆詐僞之心有淫泆作亂之事是故強者脅弱衆者暴寡知者詐愚勇者苦怯疾病不養老幼孤獨不得其所此大亂之道也是故先王之制禮樂人爲之節	言爲作法度以遏其欲○悖布内反下同泆音逸強其良反脅許怯反知音智怯起劫反遏於葛反本亦作節
衰麻哭泣所以節䘮紀也鐘鼔干戚所以和安樂也昏姻冠笄所以别男女也射郷食饗所以正交接也	男二十而冠女許嫁而笄成人之礼射郷大射郷飲酒也○衰七雷反楽音洛冠古乱反注同笄音雞别彼列反下文注皆同
禮節民心樂和民聲政以行之刑以防之禮樂刑政四逹而不悖則王道備矣樂者爲同禮者爲異同則相親異則相敬	同謂協好惡也異謂别貴賤也
樂勝則流禮勝則離	流謂合行不敬也離謂析居不和也○勝始證反析思歴反
合情飾貌者禮樂之事也	欲其並行斌斌然○飭音勑本又作飾音式斌彼貧反本又作彬
禮義立則貴賤等矣樂文同則上下和矣好惡著則賢不肖別矣刑禁暴爵舉賢則政均矣仁以愛之義以正之如此則民治行矣	等階級也○著張慮反肖音笑
樂由中出	和在心也
禮自外作	敬在貌也
樂由中岀故静禮自外作故文	文猶動也
大樂必易大禮必簡	易簡若於清廟大饗然○易以䜴反注同
樂至則無怨禮至則不爭揖譲而治天下者禮樂之謂也	至猶逹也行也○争争閫之争
暴民不作諸侯賔服兵革不試五刑不用百姓無患天子不怒如此則樂逹矣合父子之親明長㓜之序以敬四海之内天子如此則禮行矣	賔協也試用也○長丁丈反
大樂與天地同和大禮與天地同節	言順天地之氣与其数
和故百物不失	不失其性
節故祀天祭地	成物有功报焉
明則有禮樂	教人者
幽則有鬼神	助天地成物者也易曰是故知鬼神之情狀与天地相似五帝德說黄帝德曰死而民畏其神者百年春秋傳曰若敖氏之鬼然則聖人之精氣謂之神賢知之氣謂之鬼○敖五羔反賢知下音智
如此則四海之内合敬同愛矣禮者殊事合敬者也樂者異文合愛者也禮樂之情同故明王以相㳂也	㳂猶因述也孔子曰殷因於夏礼所損益可知也周因於殷礼所損益可知也㳂或作縁○㳂悅專反因也述也
故事與時並	㪯事在其時也礼器曰堯授舜舜授禹湯放桀武王伐紂時也
名與功偕	爲名在其功也偕猶俱也堯作大章舜作大韶禹作大夏湯作大濩武王作大武各因其得天下之功○偕古諧反俱也濩户故反下同
故鐘鼔管磬羽籥干戚樂之器也屈伸俯仰綴兆舒疾樂之文也簠簋爼豆制度文章禮之器也升降上下周還禓襲禮之文也	綴謂鄼舞者之位也兆其外營域也○伸音申綴丁劣反徐丁衛反下綴逺綴短皆同簠簋上音甫下居洧反並祭器名上下時掌反還音旋禓思歴反襲音習鄼作𬋩反後同
故知禮樂之情者能作識禮樂之文者能述	述謂訓其義也
作者之謂聖述者之謂明明聖者述作之謂也樂者天地之和也禮者天地之序也和故百物皆化序故羣物皆别	化猶生也别謂形躰異也
樂由天作禮以地制	言法天地也
過制則亂過作則暴	過猶誤也暴失文武之意
明於天地然後能興禮樂也論倫無患樂之情也欣喜歡愛樂之官也	倫猶類也患害也官猶事也
中正無邪禮之質也莊敬恭順禮之制也	質猶本也○邪字又作耶同似嗟反
若夫禮樂之施於金石越於聲音用於宗廟社稷事乎山川鬼神則此所與民同也	言情官質制先王所專也
王者功成作樂治定制禮	功成治定同時耳功主於王業治王於教民明堂位說周公曰治天下六年朝諸侯於明堂制礼作楽○王如字徐于况反治定直吏反注治定治主下治辯同
其功大者其樂備其治辯者其禮具	辯徧也○辯本又作辯舊音遍案廣雅辯徧也薄莧反徧音遍
干戚之舞非備樂也	楽以文德爲備若咸池者孔子曰韶尸美矣又尽善也謂武尽美矣未尽善也
孰亨而祀非逹禮也	逹其也郊特牲曰郊血大饗腥三献爓一献孰至敬不饗味而貴氣臭也○亨沈普衡反饗許兩反爓在亷反
五帝殊時不相㳂樂三王異丗不相襲禮	言其有損益也
樂極則憂禮粗則偏矣	楽人之所好也害在淫侉礼人之所勤也害在倦畧○粗倉都反後皆同偏音篇下同好呼報反侉苦瓜反
及夫敦樂而無憂禮備而不偏者其唯大聖乎	敦厚也○夫音扶下皆放此
天髙地下萬物散殊而禮制行矣	礼爲異也
流而不息合同而化而樂興焉	樂爲同也
春作夏長仁也秋歛冬藏義也仁近於樂義近於禮	言楽法陽而生礼法隂而成○夏長上户嫁反下丁丈反下注長養皆同近附近之近又其靳反下同
樂者敦和率神而從天禮者别冝居鬼而從地	敦和樂貴同也率循也従順也別冝礼尚異也居鬼謂居其所爲亦言循之也鬼神謂先聖先賢也○悙音純本又作敦
故聖人作樂以應天制禮以配地禮樂明備天地官矣	官猶事也各得其事
天尊地卑君臣定矣卑髙巳陳貴賤位矣動静有常小大殊矣方以類聚物以羣分則性命不同矣在天成象在地成形如此則禮者天地之别也	卑髙謂山澤也位矣尊卑之位象山澤也動靜隂湯用事大小万物也大者常存小者遀陽岀入方謂行蟲也物謂殖生者也性之言生也命生之長短也象光耀也形躰貌也○卑如字又音婢下同
地氣上齊天氣下降隂陽相摩天地相蕩鼔之以雷霆奮之以風雨動之以四時煖之以日月而百化興焉天子之爲樂也以賞諸侯之有德者也德盛而教尊五榖時孰然後賞之以樂故其治民勞者其舞行綴逺其治民逸者其舞行綴短	民勞則德薄鄼相去逺舞人少也民逸則德盛鄼相去近舞人多也○行戸剛反下同
故觀其舞知其德聞其謚知其行也	謚者行之迹也○行下孟反注同
大章章之也	堯楽名也言堯徳章明也周礼闕之或作大卷
咸池備矣	黄帝所作楽名也堯増脩而用之咸皆也池之言施也言德之无不施也周礼曰大咸○大咸如字一本作大卷卷音權
韶繼也	舜楽名也韶之言紹也言舜能継紹堯之德周礼曰大韶○韶上遥反注同
夏大也	禹楽名也言禹能大堯舜之德周礼曰大夏
殷周之樂盡矣	言尽人事也周礼曰大濩大武○濩音護
天地之道寒暑不時則疾風雨不節則饑教者民之寒暑也教不時則傷丗事者民之風雨也事不節則無功	教謂楽也○譏居祈反
然則先王之爲樂也以法治也善則行象德矣	以法治以楽爲治之法行象德民之行順君之德也○治直吏反注同
夫豢豕爲酒非以爲禍也而獄訟益繁則酒之流生禍也	以榖食犬豕曰豢爲作也言豢豕作酒本以饗祀養賢而小人飲之善配以致獄訟○豢音患養也食音嗣􁏴許具反
是故先王因爲酒禮壹獻之禮賔主百拜終日飲酒而不得醉焉此先王之所以備酒禍也	壹献士飲酒之礼百拜以喻多
故酒食者所以合歡也樂者所以象德也禮者所以綴淫也	綴猶止也○綴知劣反
是故先王有大事必有禮以哀之有大福必有禮以樂之哀樂之分皆以禮終	大事謂死䘮也○楽音洛下所楽哀楽康楽皆同分扶問反
樂也者聖人之所樂也而可以善民心其感人深其移風易俗故先王著其教焉	著猶立也謂立司楽以下使教囯子○著知慮反
夫民有血氣心知之性而無哀樂喜怒之常應感起物而動然後心術形焉	言在所以感之也術所由也形猶見也○知音智應於甑反萹内同見賢遍反
是故志微噍殺之音作而民思憂嘽諧慢易繁文簡節之音作而民康樂粗厲猛起奮末廣賁之音作而民剛毅廉直勁正莊誠之音作而民肅敬寛𥙿肉好順成和動之音作而民慈愛流辟邪散狄成滌濫之音作而民淫亂	志微意細也呉公子札聽鄭風而曰其細巳甚民弗堪也簡節少易也奮末動使四支也賁讀爲憤憤怒氣充實也春秋傳曰血氣狡憤肉肥也狄滌往来疾貌也濫僣差也此皆民心无常之俲也肉或爲潤○噍子遥反殺色界反又色例反思息吏反又音斯啴昌善反諧户皆反慢本又作慢莫諌反易以䜴反注同粗七奴反賁依注讀爲憤扶粉友勁吉正反𥙿羊樹反肉而救反肥也注同好呼报反辟匹亦反邪似嗟反後皆同狄他歴反注同滌大歴反注同濫力暫反札側八反賁讀音奔又𥙷義反狡本又作交古夘反又音郊僣于念反傚户教反
是故先王本之情性稽之度數制之禮義合生氣之和道五常之行使之陽而不散隂而不密剛氣不怒柔氣不懾四暢交於中而發作於外皆安其位而不相奪也	生氣隂陽氣也五常五行也宻之言閉也懾猶恐懼也○稽古奚反道音導行下孟反攝之渉反暢勑亮反恐曲勇反
然後立之學等廣其節奏省其文采以繩德厚	等差也各用其才之差斈之廣謂増習之省猶審也文采謂節奏合也繩猶度也周礼大司楽以楽語教囯子㒷道諷誦言語以楽舞教囯子舞雲門大卷大咸大韶大夏大濩大武○省西嶺反度大洛反㒷道上許膺反下音導諷芳鳯反卷音權
律小大之稱比終始之序以象事行	律六律也周礼典同以六律六同辨天地四方隂陽之声以爲楽噐小大謂髙声正声之類也終始謂始於宫終於羽宗廟黄鍾爲宫大吕爲角大蔟爲徴應鍾爲羽以象事行宮爲君商爲臣○称尺證反比毗志反大簇音泰簇七豆反
使親䟽貴賤長幼男女之理皆形見於樂故曰樂觀其深矣	謂同聽之莫不和敬莫不和順莫不和親○長㓜丁丈反下同見賢遍反
土敝則草木不長水煩則魚鼈不大氣衰則生物不遂丗亂則禮慝而樂淫是故其聲哀而不莊樂而不安慢易以犯節流湎以忘本廣則容姦狹則思欲感條暢之氣而滅平和之德是以君子賤之也	遂猶成也慝穢也廣謂声緩也狹謂声急也感動也動人條暢之善氣使失其所○敝音弊慝吐得反注及下同易以䜴反湎綿鮮反狹音洽注同和胡卧反穢字又作􁏳紆廢反徐音烏㑹反
凡姦聲感人而逆氣應之逆氣成象而淫樂興焉正聲感人而順氣應之順氣成象而和樂興焉倡和有應回邪曲直各歸其分而萬物之理各以類相動也	成象者謂人楽習焉○倡昌尚反又音唱下同分扶問反
是故君子反情以和其志比類以成其行姦聲亂色不留聦明淫樂慝禮不接心術惰慢邪辟之氣不設於身體使耳目鼻口心知百體皆由順正以行其義	反猶本也術猶道也○行下孟反惰徒卧反辟匹亦反知音智
然後發以聲音而文以琴瑟動以干戚飾以羽旄從以簫管奮至德之光動四氣之和以著萬物之理	奮猶動也動至德之光謂降天神出地祗假祖考著猶成也○著張慮反假古迫反
是故清明象天廣大象地終始象四時周還象風雨五色成文而不亂八風從律而不姦百度得數而有常小大相成終始相生倡和清濁迭相爲經	清明謂人声也廣大謂鍾鼔也周還謂舞者五色五行也八風従律應莭至也百度百刻也言日月晝夜不失正也清謂蕤賔至應鍾也濁謂黄鍾至中吕○還音旋注同迭大結反中音仲
故樂行而倫清耳目聦明血氣和平移風易俗天下皆寕	言楽用則正人理和隂陽也倫謂人道也
故曰樂者樂也君子樂得其道小人樂得其欲以道制欲則樂而不亂以欲忘道則惑而不樂	道謂仁義也欲謂邪淫也
是故君子反情以和其志廣樂以成其教樂行而民郷方可以觀德矣	方猶道也○郷許亮反重意射義此可以觀德行矣祭統可以觀政矣
德者性之端也樂者德之華也金石絲竹樂之器也詩言其志也歌咏其聲也舞動其容也三者本於心然後樂器從之是故情深而文明氣盛而化神和順積中而英華發外唯樂不可以爲僞	三者本志也声也容也言无此本於内則不能爲楽也詩言其志一本无言字咏音詠
樂者心之動也聲者樂之象也文采節奏聲之飾也君子動其本樂其象然後治其飾是故先鼔以警戒三歩以見方再始以著往復亂以飭歸奮疾而不拔極幽而不隠獨樂其志不厭其道備舉其道不私其欲是故情見而義立樂終而德尊君子以好善小人以聽過故曰生民之道樂爲大焉	文采楽之威儀也先鼔將奏楽先擊鼔以警戒衆也三歩謂將舞必先三㪯足以見其舞之漸也再始以著往武王除䘮至盟津之上紂未可伐還歸二年乃遂伐之武舞再更始以明伐時再往也復乱以飭歸謂嗚鐃而退明以整歸也奮疾謂舞者也極幽謂歌者也○警音景見方賢遍反下及注皆同著張慮反注同復音伏飭音勑注同拔歩葛反又皮八反獨楽皇音洛又音岳厭於艶反好呼報反以聽過本或作以聖過如字鐃女交反
樂也者施也禮也者報也	言楽岀而不反而礼有往來也施始䜴反
樂樂其所自生而禮反其所自始樂章德禮報情反始也	自由也重言楽楽其所自生二檀弓重意楽也者楽其所自成礼也者反其所自生礼器萹○礼不忘其本檀弓
所謂大輅者天子之車也龍旂九旒天子之旌也青黒縁者天子之寳龜也從之以牛羊之羣則所以贈諸侯也	贈諸侯謂来朝將去報之以礼○流本又作旒音流縁恱绢反朝直遥反
樂也者情之不可變者也禮也者理之不可易者也	理猶事也
樂統同禮辨異	統同同和合也辨異異尊卑也
禮樂之說管乎人情矣	𬋩猶包也
窮本知變樂之情也著誠去僞禮之經也禮樂偩天地之情逹神明之德降興上下之神而凝是精粗之體領父子君臣之節	偩猶依象也降下也㒷猶岀也凝成也精粗謂万物大小也領猶理治也○去起吕反偩音負粗七奴反治直吏反
是故大人舉禮樂則天地將爲昭焉	言天地將爲之昭然明也
天地訢合隂陽相得煦嫗覆育萬物然後草木茂區萌逹羽翼奮角觡生蟄蟲昭蘇羽者嫗伏毛者孕鬻胎生者不殰而卵生者不殈則樂之道歸焉耳	訢讀爲熹猶蒸也氣曰煦体曰嫗屈生曰區无䚡曰觡昭曉也蟄蟲以發岀爲曉更息曰蘇孕任也鬻生也内敗曰殰殈裂也今斉人語有殈者○訢依注音熹許其反一讀依字音欣煦許具反徐况甫反嫗於具反徐於甫反下及注同區依注音句古侯反徐丘于反一音烏侯反萌莫耕反奮方問反觡古伯反蟄直立反伏扶又反孕以證反鬻音育生也徐又扶袁反胎也才反殰音獨鄭云内敗曰殰案謂懷任不成也字林云胎敗卵力𬋩反殈呼閴反范音溢徐况逼反一音况狄反卵折不成曰殈猶裂也蒸之膺反䚡息才反内乃對反或作骨肉之字者誤
樂者非謂黄鍾大吕弦歌干揚也樂之末節也故童者舞之鋪筵席陳尊爼列籩豆以升降爲禮者禮之末節也故有司掌之	言礼楽之本由人君也礼本著誠去僞楽本窮本知変○鋪普胡反又音敷去起吕反
樂師辨乎聲詩故北面而弦宗祝辨乎宗廟之禮故後尸商祝辨乎䘮禮故後主人	辨猶别也正也弦謂鼔琴瑟也後尸居後賛礼儀此言知本者尊知末者卑
是故德成而上藝成而下行成而先事成而後	德三德也行三行也藝才技也先謂位在上也後謂位在下也○上如字或時掌反行下孟反注同技其綺反
是故先王有上有下有先有後然後可以有制於天下也	言尊卑備乃可制作以爲治法○治直吏反
魏文侯問於子夏曰吾端冕而聽古樂則唯恐卧聽鄭衛之音則不知倦敢問古樂之如彼何也新樂之如此何也	魏文侯晋大夫畢万之後僣諸侯者也端玄衣也古楽先王之正楽也
子夏對曰今夫古樂進旅退旅和正以廣弦匏笙簧㑹守拊鼔始奏以文復亂以武治亂以相訊疾以雅君子於是語於是道古脩身及家平均天下此古樂之發也	旅猶俱也俱進俱退言其斉一也和正以廣无姦声也㑹猶合也皆也言衆皆待擊鼓乃作周礼大師職曰大祭祀帥瞽登歌合奏擊拊下𬋩播楽器合奏鼔􁇭文謂鼓也武謂金也相即拊也亦以節楽拊者以韋爲表裝之以糠糠一名拊因以名焉今斉人或謂糠爲相雅亦楽器名也狀如漆筩中有椎○夫音扶下同廣如字舊古曠反匏白交反笙音生簧音黄拊音抚注同復音伏相息亮反注同即拊也以韋爲之实之以糠王云輔相也徐思章反訊音信大師音泰播彼佐反􁇭音胤糠音康􁇀音七筩音勇椎直追反
令夫新樂進俯退俯姦聲以濫溺而不止及優侏􁏵獶雜子女不知父子樂終不可以語不可以道古此新樂之發也	俯猶曲也言不斉一也濫濫竊也溺而不止声淫乱无以治之獶猕猴也言舞者如猕猴戯也乱男女之尊卑獶或爲優○俯本又作府濫力暫反溺乃狄反優音憂侏音朱􁏵音儒獶乃刀反狝猴也依字亦作猱猕音弥武夷反本亦作弥猴音侯本亦作侯
今君之所問者樂也所好者音也夫樂者與音相近而不同	言文侯好音而不知楽也鏗鏘之類皆爲音應律乃爲楽○好呼報反注同近附近之近徐如字鏗苦耕反鎗七羊反又士衡反
文侯曰敢問何如	欲知音楽異意重言敢問何如二一見仲尼燕居二十八
子夏對曰夫古者天地順而四時當民有德而五榖昌疾疢不作而無妖祥此之謂大當然後聖人作爲父子君臣以爲紀綱紀綱旣正天下大定天下大定然後正六律和五聲弦歌詩頌此之謂德音德音之謂樂	當謂楽不失其所○當丁浪反下及注同疢敕覲反
詩云莫其德音其德克明克明克類克長克君王此大邦克順克俾俾于文王其德靡悔旣受帝祉施于孫子此之謂也	此有德之音所謂楽也德正應和曰莫照臨四方曰明勤施无私曰類教誨不倦曰長慶賞刑威曰君慈和徧服曰順俾當爲比声之誤也擇善従之曰比施延也言文王之德皆能如此故受天福延於後丗也〇莫亡伯反長丁丈反注同王此于况反俾依注音比必履反注同徐扶志反祉敕紀反施以䜴反注施延同和如字又胡卧反炤上音照本亦作照臨如字施始䜴反徧音遍重言此之謂也九下文傳祭義䘮服四制各一經解三
今君之所好者其溺音乎	言无文王之德則所好非楽也
文侯曰敢問溺音何從出也	玩習之乆不知所由岀也○玩又作翫音五換反
子夏對曰鄭音好濫淫志宋音燕女溺志衛音趨數煩志齊音敖辟喬志此四者皆淫於色而害於德是以祭祀弗用也	言四囯皆出此溺音滥滥竊姦声也燕安也春秋傳曰懷与安实敗名趍数讀爲促速声之誤也煩勞也祭祀者不用淫楽○燕於見反趍音促数音速敖字又作傲同五報反辟匹亦反徐芳益反喬徐音驕本亦作驕敗必迈反
詩云肅雍和鳴先祖是聽夫肅肅敬也雍雍和也夫敬以和何事不行	言古楽敬且和故无事而不用溺音无所施
爲人君者謹其所好惡而巳矣君好之則臣爲之上行之則民從之詩云誘民孔易此之謂也	誘進也孔甚也言民従君所好悪進之於善无難○易以䜴反重言君好之二一見緇衣二十三重意緇衣上之所好惡不可不謹也則民從之大斈而民從之
然後聖人作爲鞉鼔椌楬壎箎此六者德音之音也	六者爲本以其声質也控楬謂柷敔也壎箎或爲簨簴○鞉音桃椌苦江反柷也楬苦瞎反敔也壎許袁反篪直支反柷昌六反圉本又作敔魚吕反簨恤尹反簴音巨
然後鐘磬竽瑟以和之干戚旄狄以舞之此所以祭先王之廟也所以獻酬酳酢也所以官序貴賤各得其冝也所以示後丗有尊卑長㓜之序也	官序貴賤謂尊卑楽器列数有差次○竽音于和如字徐胡卧反酬市由反酳音㣧又仕覲反酢音昨長丁丈反
鐘聲鏗鏗以立號號以立横横以立武君子聽鐘聲則思武臣	号号令所以警衆也橫充也謂氣作充滿也○鏗苦耕反徐苦庚反号胡到反横古擴反充也下及注同
石聲磬磬以立辨辨以致死君子聽磬聲則思死封疆之臣	石声磬磬當爲罄字之誤也辨謂分明於莭義○磬依注音罄口挺反一音口定反聽磬口定反疆居良反下是疆同
絲聲哀哀以立廉廉以立志君子聽琴瑟之聲則思志義之臣	廉廉隅也
竹聲濫濫以立㑹㑹以聚衆君子聽竽笙簫管之聲則思畜聚之臣	濫之意猶擥聚也㑹猶聚也聚或爲最○濫力敢反下及注皆同㑹户外反又古外反下同畜勑六反擥力敢反
鼔鼙之聲讙讙以立動動以進衆君子聽鼔鼙之聲則思將帥之臣	聞讙囂則人意動作讙或爲歡動或爲勲○鼙歩西反讙呼端反又音喧將子亮反下注大將下將帥同帥本又作率所類反下將帥同囂許驕反又五羔反
君子之聽音非聽其鏗鏘而巳也彼亦有所合之也	以声合成巳之志○蹌七羊反又叱衡反徐敕庚反
賔牟賈侍坐於孔子孔子與之言及樂曰夫武之備戒之巳乆何也對曰病不得其衆也	武謂周舞也備戒擊䚳警衆病猶憂也以不得衆心爲憂憂其難也○牟亡侯反坐才卧反又如字
咏歎之淫液之何也對曰恐不逮事也	咏歎淫液歌遟之也逮及也事戎事也○咏歏上音詠下音歎夜音亦逮音代又大計反遟直兾反
發揚蹈厲之巳蚤何也對曰及時事也	時至武事當施也○蹈音悼蚤音早
武坐致右憲左何也對曰非武坐也	言武之事无坐也致謂膝至地也憲讀爲軒声之誤○依注音軒
聲淫及商何也對曰非武音也	言武歌在正其軍不貪商也時人或說其義爲貪商也
子曰若非武音則何音也對曰有司失其傳也若非有司失其傳則武王之志荒矣	有司典楽者也傳猶說也荒老耄也言典楽者失其說也而時人妄說也書曰王耄荒○傳直專反下文注同傳猶說也旄莫報反下同
子曰唯丘之聞諸萇弘亦若吾子之言是也	萇弘周大夫○萇直良反
賔牟賈起免席而請曰夫武之備戒之巳乆則旣聞命矣敢問遟之遟而又乆何也	遟之遟謂乆立於綴○遟之遟並直詩反徐直尼反
子曰居吾語女夫樂者象成者也揔干而山立武王之事也發揚蹈厲太公之志也武亂皆坐周召之治也	居猶安坐也成謂巳成之事也揔干持盾也山立猶正立也象武王持盾正立待諸侯也發揚蹈厉所以象威武時也武舞象戦鬪也乱謂失行列也失行列則皆坐象周公召公以文止武也○語魚據反女音汝下且女同大音㤗召音邵注及下同治直吏反下注及下同盾述尹反又音允行户剛反下同重言居吾語女仲尼燕居孔子曰居吾語女
且夫武始而北出再成而滅商三成而南四成而南國是疆五成而分周公左召公右六成復綴以崇	成猶奏也毎奏武曲一終爲一成始奏象觀兵盟津時也再奏象克殷時也三奏象克殷有餘力而反也四奏象南方荆蛮之囯復畔者服也五奏象周公召公分聀而治也六奏象兵還振旅也復綴反位止也崇充也凡六奏以充武楽也○夫音扶綴丁劣反又丁衛反注及下同孟本亦作盟音孟
天子夾振之而駟伐盛威於中國也	夾振之者王与大將夾舞者振鐸以爲莭也駟當爲四声之誤也武舞戦象也每奏四伐一擊一刺爲一伐牧誓曰今日之事不過四伐五伐○夾古洽反注及下同鐸大各反一刺本亦作壹刺七亦反
分夾而進事蚤濟也	分猶部曲也事猶爲也済成也舞者各有部曲之列又夾振之者象用兵務於早成也○分扶問反注同分部曲
乆立於綴以待諸侯之至也	象武王伐紂待諸侯也
且女獨未聞牧野之語乎	欲語以作武楽之意○牧野音也徐又以汝反欲語魚據反
武王克殷反商未及下車而封黄帝之後於薊封帝堯之後於祝封帝舜之後於陳下車而封夏后氏之後於𣏌投殷之後於宋封王子比干之墓釋箕子之囚使之行商容而復其位庶民弛政庶士倍禄濟河而西馬散之華山之陽而弗復乗牛散之桃林之野而弗復服車甲衅而藏之府庫而弗復用倒載干戈包之以虎皮將帥之士使爲諸侯名之曰建櫜然後天下知武王之不復用兵也	反商當爲及字之誤也及啇謂至紂都也牧誓曰至于啇郊牧野封謂故无土地者也投㪯徙之辝也時武王封紂子武庚於殷墟所徙者微子也後周公更封而大之積土爲封封比干墓崇賢也行猶視也使箕子視啇礼楽之官賢者所処皆令反其居也㢮政去其紂時苛政也倍禄復其紂時薄者也散猶放也桃林在華山傍甲鎧也衅釁字也包干戈以虎皮明能以武服兵也建讀爲鍵字之誤也兵甲之衣曰櫜鍵櫜言閉藏兵甲也詩曰載櫜弓矢春秋傳曰垂櫜而入周礼曰櫜之欲其約也薊或爲續祝或爲鑄○反依注音及封黄帝之後於薊音計今涿郡薊縣是也即燕囯之都也孔安囯司馬迁及鄭皆云燕囯郡邵公与周同姓案黄帝姓姬君奭盖其後也或黄帝之後封薊者㓕絶而更封燕郡乎疑不能明也而皇甫謐以邵公爲文王之庶子記傳更无所出又左傳冨辰之言亦无燕也○祝之六反𣏌音起使之行下孟反注同視也啇容如字孔安囯云殷之賢人也鄭云啇礼楽之官也復音伏弛始氏反注同廢也華如字又户化反而弗復扶又反下同衅字又作釁同許靳反倒丁老反建依注讀爲鍵其展反徐其偃反櫜音羔注同虚音墟令力呈反去起吕反苛音何本又作荷役也鎧苦代反又開改反鑄止樹反
