禮運第九	○陸曰鄭云禮運者以其記五帝三王相変易及隂陽轉旋之道
以酒以祭薦其血毛腥其爼孰其殽與其越席䟽布以幂衣其澣帛醴醆以獻薦其燔炙君與夫人交獻以嘉魂魄是謂合莫	此謂薦上古中古之食也周禮祝號有六一曰神號二曰鬼號三曰祗號四曰牲號五曰齎號六曰幣號號者所以尊神顯物也腥其爼謂豚解而腥之及血毛皆所以法於大古也孰其殽謂躰解而爓之此以下皆所法於中古也越席翦蒲席也幂覆尊也澣帛練染以爲祭服嘉樂也莫虚無也孝經說曰上通無莫○祝之六反徐之又反注同殽本或作肴户交反越席音活注同字書作趏杜元凱云結草幂本又作鼏同莫歴反衣其於旣反澣户管反示號音祗本又作祗齍音咨皇云黍稷大古音太下大史同爓似廉反染如豔反又如琰反樂也音洛
○然後退而合亨體其犬豕牛羊實其簠簋籩豆鉶羮祝以孝告嘏以慈告是謂大祥	此謂薦今丗之食也躰其犬豕牛羊謂分别骨肉之貴賤以爲衆爼也祝以孝告嘏以慈告各首其義也祥善也今丗之食於人道爲善也○鉶本又作鉶音刑盛和羮器形如小鼎羹音庚舊音衡別彼列反下文同
此禮之大成也	解子游以禮所成也
○孔子曰嗚呼哀哉我觀周道幽厲傷之吾舎魯何適矣	政亂禮失以爲魯尚愈○於音烏乎好奴反舎音捨下舎禮皆同重言嗚呼哀哉二一見檀弓上篇中
魯之郊禘非禮也周公其衰矣	非猶失也魯之郊牛口傷鼷䑕食其角又有四卜郊不從是周公之道衰矣言子孫不能奉行興之○禘大計反鼷音兮
𣏌之郊也禹也宋之郊也契也是天子之事守也	先祖法度子孫所當守○契息列反
故天子祭天地諸侯祭社稷○祝嘏莫敢易其常古是謂大假	假亦大也不敢改其常古之法度是謂大大也將言今不然重言天子祭天地諸侯祭社稷二一見王制第五又曲禮天子祭天地
○祝嘏辭說藏於宗祝巫史非禮也是謂幽國	藏於宗祝巫史言君不知有也幽闇也國闇者君與大夫俱不明也
醆斝及尸君非禮也是謂僣君	僣禮之君也醆斚先王之爵也唯魯與王者之後得用之耳其餘諸侯用時王之器而已○醆斚古雅反又音嫁爵名也夏曰醆殷曰斚周曰爵僣子念反注同
○冕弁兵革藏於私家非禮也是謂脅君	刼脅之君也冕弁君之尊服兵革君之武衛及軍器也〇脅許刼反
○大夫具官祭器不假聲樂皆具非禮也是謂亂國	臣之奢冨儗於國君敗乱之國也孔子謂管仲官事不攝焉得儉○儗音擬焉於䖍反
○故仕於公曰臣仕於家曰僕三年之䘮與新有昏者期不使以衰裳入朝與家僕雜居齊齒非禮也是謂君與臣同國	臣有䘮昏之事而不歸反服其衰裳以入朝或與僕相等軰而處是謂君臣共國無尊卑也有䘮昏不歸唯君耳臣有䘮昏當致事而歸僕又不可與士齒○期居其反朝直遥反注同或與僕相息亮反一讀如字則連下爲句等軰卜内反
故天子有田以處其子孫諸侯有國以處其子孫大夫有采以處其子孫是謂制度	言今不然也春秋昭元年秦伯之弟鍼岀奔晉刺其有千乗之國不能容其母弟○鍼其廉反又祗廉反乗時證反
故天子適諸侯必舎其祖廟而不以禮籍入是謂天子壞法亂紀	以禮籍入謂大史典禮執簡記奉諱悪也天子雖尊舎人宗廟猶有敬焉自拱勑也○壞音恠惡烏路反拱徐居勇反後拱持同重言天子適諸侯三禮器郊特牲各一
諸侯非問疾弔䘮而入諸臣之家是謂君臣爲謔	無故而相之是戯謔也陳靈公與孔寗儀行父數如夏氏以取弒焉○謔許約反寗本又作寕案左傳作寕公羊作寗各依字讀父音甫数色角反取弑申志反又如字
○是故禮者君之大柄也所以別嫌明微儐鬼神考制度别仁義所以治政安君也	疾今失禮如此爲言禮之大義也柄所操以治事○柄兵命反儐必刃反治政皇如字徐直吏反下文注以治事同爲于僞反下又爲遂爲皆同操七刀反
故政不正則君位危君位危則大臣倍小臣竊刑肅而俗敝則法無常法無常而禮無列禮無列則士不事也刑肅而俗敝則民弗歸也是謂疵國	又爲言政失君危之禍敗也粛駿也疵病也〇倍歩内反敝音弊本亦作弊疵才斯反峻恤俊反
○故政者君之所以藏身也	於此又遂爲之言政也藏謂輝光於外而形躰不見若日月星辰之神○輝音暉見賢遍反
是故夫政必本於天殽以降命	降下也殽天之氣以下教令天有運移之期隂陽之節也○殽户教反注及下同重言必本於天又上文一下文一
命降于社之謂殽地	謂教令由社下者也社土地之主也周禮土㑹之法有五地之物生○㑹古外反
降于祖廟之謂仁義	謂教令由祖下者大傳曰自禰率而上至于祖逺者輕仁也自祖率而下至于禰髙者重義也○上時掌反下上配上生皆同
降於山川之謂興作	謂教令由山川下者也山川有草木禽獸可作器物共國事○共音恭
降於五祀之謂制度	謂教令由五祀下者五祀有中􁆤門户竈行之神此始爲宫室制度
此聖人所以藏身之固也	政之行如此何用城郭溝池之爲
〇故聖人參於天地並於鬼神以治政也處其所存禮之序也玩其所樂民之治也	並併也謂比方之也存察也治所以樂其事居也○所樂音岳又音洛又五孝反好也注同治直吏反注同上以自治注自治成治皆放此併歩頂反
故天生時而地生財人其父生而師教之四者君以正用之故君者立於無過之地也	順時以養財尊師以教民而以治政則無過差矣易曰何以守位曰仁何以聚人曰財〇差𥘉佳反一音𥘉買反曰仁本亦作人重意故天生時而地生財禮器合於天時設於地財
〇故君者所明也非明人者也君者所養也非養人者也君者所事也非事人者也故君明人則有過養人則不足事人則失位	明猶尊也○養羊尚反又如字下同
故百姓則君以自治也養君以自安也事君以自顯也故禮逹而分定故人皆愛其死而患其生	則當爲明人之道身治居安名顯則不苟生也不義而死舎義而生是不愛死患生也○則君則音明出注分扶問反後文注除三分去一三分益一皆同舎音捨
○故用人之知去其詐用人之勇去其怒用人之仁去其貪	用知者之謀勇者之断仁者之施足以成治矣詐者害民信怒者害民命貪者害民財三者乱之原○知音智注同去羌吕反後皆同断丁乱反施始䜴反下施生同
○故國有患君死社稷謂之義大夫死宗廟謂之變	變當爲辯声之誤也辯猶正也君守社稷臣衛君宗廟者患謂見圍入○之變音辯出注
○故聖人耐以天下爲一家以中國爲一人者非意之也必知其情辟於其義明於其利逹於其患然後能爲之	耐古能字傳書丗異古字時有存者則亦有今誤矣意心所無慮也辟開也○耐音能辟婢亦反徐芳益反傳文專反
〇何謂人情喜怒哀懼愛惡欲七者弗學而能何謂人義父慈子孝兄良弟弟夫義婦聽長惠㓜順君仁臣忠十者謂之人義互註	左隱三年石碏曰君義臣行父慈子孝兄爱弟敬所謂六順也
講信脩睦謂之人利爭奪相殺謂之人患	極言人事○惡烏路反下皆同弟弟上如字下音悌長丁丈反争争闘之争重言講信脩睦四並本篇
故聖人之所以治人七情脩十義講信脩睦尚辭讓去争奪舎禮何以治之	唯禮可耳
飲食男女人之大欲存焉互註	孟萬章上好色人之所欲冨人之所欲
死亡貧苦人之大惡存焉故欲惡者心之大端也人藏其心不可測度也美惡皆在其心不見其色也欲一以窮之舎禮何以哉	言人情之難知明禮之重○度六洛反見賢遍反
○故人者其天地之德隂陽之交鬼神之㑹五行之秀氣也	言人兼此氣性純也
○故天秉陽垂日星	秉猶持也言天持陽氣施生照臨下也
地秉隂竅於山川播五行於四時和而后月生也是以三五而盈三五而闕	竅孔也言地持隂氣出内於山川以舒五行於四時此氣和乃后月生而上配日若臣功成進爵位也一盈一闕屈伸之義也必三五者播五行於四時也一曰水二曰火三曰木四曰金五曰土合爲十五之成数也○竅徐苦弔反播彼左反舒也五行四時絶句本亦作播五行於四時伸音申
五行之動迭相竭也五行四時十二月還相爲本也五聲六律十二管還相爲宫也五味六和十二食還相爲質也五色六章十二衣還相爲質也	竭猶負戴也言五行運轉更相爲始也五声宫啇角徴羽也其管陽曰律隂曰吕布十二辰始於黃鍾管長九寸下生者三分去一上生者三分益一終於南吕更相爲宫凡六寸也五味酸苦辛鹹甘也和之者春多酸夏多苦秋多辛冬多鹹皆有滑甘是謂六和五色六章畫繢事也周礼考工記曰士以黄其象乃无時変火以圜山以章水以龍鳥獸蛇雜四時五色之位以章之謂之巧也○迭大計反又田結反竭義作掲其列反負擔也還音旋下同六和户卧反注同更古衡反下同徴張里反南事律名京房律始於執始終於南事凡六十繢户對反園音環又音圎
○故人者天地之心也五行之端也食味别聲𬒳色而生者也	此言兼氣性之効也〇別彼列反𬒳皮義反徐扶義反
故聖人作則必以天地爲本以隂陽爲端以四時爲柄以日星爲紀月以爲量鬼神以爲徒五行以爲質禮義以爲器人情以爲田四靈以爲畜	天地以至於五行其制作所取象也禮義人情其政治也四靈者其徵報也此則春秋始於元終於麟包之矣吕氏說月令而謂之春秋事類相近焉量猶分也鬼神謂山川也山川助地通氣之象也器所以操事田人所捊治也禮之位賔主象天地介僎象隂陽四面之位象四時三賔象三光夫婦象日月亦是也○柄本又作枋兵命反量音亮下同畜許又反下同治直吏反麟良人反近附近之近操七刀反捊溥侯反徐音普溝反介撰上音界下音遵
以天地爲本故物可舉也	𥘉天地所養生
以隂陽爲端故情可睹也	情以隂陽通也○睹丁古反
以四時爲柄故事可勸也	事以四時成
以日星爲紀故事可列也	事以日與星爲候興作有次第
月以爲量故功有藝也	藝猶才也十二月各有分猶人之才各有所長也藝或爲倪○倪五計反視也
鬼神以爲徒故事有守也	山川守職不移
五行以爲質故事可復也	事下竟復由上始也
禮義以爲器故事行有考也	考成也器利則事成
人情以爲田故人以爲奥也	奥猶主也田無主則荒
四靈以爲畜故飲食有由也	由用也四靈與羞物爲羣
○何謂四靈麟鳯龜龍謂之四靈故龍以爲畜故魚鮪不淰鳯以爲畜故鳥不獝麟以爲畜故獸不狘龜以爲畜故人情不失	淰之言閃也獝狘飛走之貌也失猶去也龜北方之靈信則至矣○鮪于軌反魚名淰音審徐舒冉反矞字又作獝况必反狘况越反閃失冉反
○故先王秉蓍龜列祭祀瘞繒宣祝嘏辭說設制度故國有禮官有御事有職禮有序	皆卜筮所造置也埋牲曰瘞幣帛曰繒宣猶揚也繒或作贈○蓍音尸瘞於例反一音於器反繒本又作増同似仍反又則登反又似登反
○故先王患禮之不逹於下也	患下不信也
○故祭帝於郊所以定天位也祀社於國所以列地利也祖廟所以本仁也山川所以儐鬼神也五祀所以本事也故宗祝在廟三公在朝三老在學王前巫而後史卜筮瞽侑皆在左右王中心無爲也以守至正	此所以逹禮於下也教民尊神慎居處也宗宗人也瞽樂人也侑四輔也○儐皇音賔敬也舊必信反朝直遥反下同筮市制反瞽音古侑音又
○故禮行於郊而百神受職焉禮行於社而百貨可極焉禮行於祖廟而孝慈服焉禮行於五祀而正法則焉	言信得其禮則神物與人皆應之百神列宿也百貨金玉之屬○應應對之應宿音秀
故自郊社祖廟山川五祀義之脩而禮之藏也	脩猶飾也藏若其城郭然○藏如字徐才浪反
○是故夫禮必本於大一分而爲天地轉而爲隂陽變而爲四時列而爲鬼神其降曰命	聖人象此下之以爲教令○大音泰下注同
其官於天也	官猶法也此聖人所以法於天也
○夫禮必本於天	本於大一与天之義重言三上文一
動而之地	後法地也
列而之事	後法五祀五祀所以本事也
變而從時	後法四時
恊於分藝	恊合也言礼合於月之分猶人之才也○合於月之分本或作日月之分日衍字
其居人也曰養	養當爲義字之誤也下之則爲教令居人身爲義孝經說曰義由人出○養音義出注
其行之以貨力辭讓飲食冠昏䘮祭射御朝聘	貨摯幣庭實也力筯骸強者也不則偃罷○冠古乱反摯本又作贄音至罷音皮
○故禮義也者人之大端也所以講信脩睦而固人之肌膚之㑹筋骸之束也所以養生送死事鬼神之大端也所以逹天道順人情之大竇也	竇孔穴也○竇音豆重言所以養生送死二下文一事鬼神之大端也下文事鬼神之常也
故唯聖人爲知禮之不可以巳也故壞國䘮家亡人必先去其禮	言愚者之反聖人也○壞音恠又乎怪反䘮息浪反
○故禮之於人也猶酒之有糵也君子以厚小人以薄	皆得以爲美味性善者醇耳○蘖魚列反醇市春反
故聖王脩義之柄禮之序以治人情	治者去瑕穢養菁華也○菁子丁反
故人情者聖王之田也脩禮以耕之	和其剛柔
陳義以種之	樹以善道
講學以耨之	存是去非類也○耨奴豆反鉏也
本仁以聚之	合其所盛○盛市正反又音成
播樂以安之	感動使之堅固
故禮也者義之實也恊諸義而恊	協合也合禮於義則与義合不乖刺〇刺力逹反本或作制
則禮雖先王未之有可以義起也	以其合於義可以義起作
義者藝之分仁之節也	藝猶才也
恊於藝講於仁得之者強	有義則人服之也
仁者義之本也順之體也得之者尊	有仁則人仰之也
故治國不以禮猶無耜而耕也	無以入也○耜音似
爲禮不本於義猶耕而弗種也	嘉榖無由生也○種之用反不亦作弗何休注公羊云弗者不之深也下皆放此
爲義而不講之以學猶種而弗耨也	苗不殖草不除
講之以學而不合之以仁猶耨而弗穫也	無以知収之豐荒也○穫户郭反収如字又手又反
合之以仁而不安之以樂猶穫而弗食也	不知味之甘苦
安之以樂而不逹於順猶食而弗肥也	功不見也○見賢遍反
四體旣正膚革充盈人之肥也父子篤兄弟睦夫婦和家之肥也大臣法小臣廉官職相序君臣相正國之肥也天子以德爲惠以樂爲御諸侯以禮相與大夫以法相序士以信相考百姓以睦相守天下之肥也是謂大順大順者所以養生送死事鬼神之常也	常謂皆有礼用無匱乏也車或爲居重言見上文
故事大積焉而不苑並行而不繆細行而不失深而通茂而有間連而不相及也動而不相害也此順之至也	言人皆明於礼無有蓄乱滯合者各得其分理順其職也○苑于粉反積也繆音謬畜丑六反重言此順之至也二一見祭統二十五篇無此字
故明於順然後能守危也	能守自危之道也君子居安如危小人居危如瑞出人情至也
故天降膏露地出醴泉山出器車河出馬圖鳯皇麒麟皆在郊棷龜龍在宫沼其餘鳥獸之卵胎皆可俯而闚也	膏猶甘也器謂若銀罋用甑也馬圖龍馬負圖而出也㭯聚草也沼池也○澧本又作醴音禮麒麟音其下音栗人反㭯素口反徐揔㑹反澤也本或作藪沼之紹反卵力管反胎上才反俯音府窺本又作闚去規反甕本又作罋烏弄反徐於弄反
則是無故	非有他事使之然也
先王能脩禮以逹義體信以逹順故此順之實也	實猶誠也盡也
互註	易係辝河出圖洛出書聖人則之
