纂圖互註禮記卷第一曲禮上第一	陸德明音義曰本或作曲礼上者後人加也檀弓雜記放此曲礼者是儀礼之舊名委曲說礼之事
禮不踰節不侵侮不好狎	爲傷敬也人則習近為好狎〇侮徐亡撫反輕慢也好呼報反注同
脩身踐言謂之善行	踐履也言履而行之〇行下孟反下同
行脩言道禮之質也	言道言合於道質猶本也礼為之文飾耳重言礼之質也又樂記
禮聞取於人不聞取人	謂君人者取於人謂髙尚其道取人謂制服其身〇取於舊十樹反謂趣就師求道也皇如字謂取師之道取人如字謂制師使從已
禮聞来學不聞徃教	尊道藝
〇道德仁義非禮不成教訓正俗非禮不備分爭辨訟非禮不决君臣上下父子兄弟非禮不定宦學事師非禮不親班朝治軍涖官行法非禮威嚴不行禱祠祭祀供給鬼神非禮不誠不莊	分辨皆别也宦仕也班次也涖臨也莊敬也學或為御〇辨皮勉反徐方勉反上下上謂公卿下謂大夫上宦音患朝直遥反涖本亦作莊音利禱丁老反鄭云求福曰禱祠音詞求得曰祠共音㳟本或作供莊側良反徐側亮反
是以君子㳟敬撙節退讓以明禮	撙猶趍也〇撙祖本反趍七俱反就也向也
鸚鵡能言不離飛鳥猩猩能言不離禽獸今人而無禮雖能言不亦禽獸之心乎夫唯禽獸無禮故父子聚麀	聚猶共也鹿牝曰麀〇鸚本或作嬰厄耕反鵡本或作毋同音武离力智反下同猩本又作狌音生禽獸盧本作赱獸麀音憂牝鹿也牝頻忍反
是故聖人作爲禮以教人使人以有禮知自别於禽獸大上貴德	大上帝皇之丗其民施而不惟報〇大音泰注同大上謂三皇五帝之世施始豉反下同
其次務施報	三王之丗礼始㒷焉
禮尚徃來徃而不来非禮也來而不徃亦非禮也人有禮則安無禮則危	重言非礼也亦非礼也又曽子問重意人有礼則安無礼則危礼運篇失之者死得之者生
故曰禮者不可不學也夫禮者自卑而尊人雖負販者必有尊也而况冨貴乎	負販者尤輕佻志利宜若無礼然〇祧吐彫反販方萬反〇重言必有尊也又曽子問
冨貴而知好禮則不驕不淫貧賤而知好禮則志不懾	懾猶怯惑〇好呼報反下同懾之涉反怯丘刼反何㣧云惮所行為怯
〇人生十年曰㓜學	名曰㓜時始可學也内則曰十年岀就外傳居宿於外學書計〇重意十年曰㓜學内則十年斈㓜儀
二十曰弱冠三十曰壯有室	有室有妻也妻稱室〇冠古乱反重意二十曰弱冠三十曰壯有室内則二十而冠三十而有室
四十曰強而仕五十曰艾服官政	艾老也〇艾五盖反謂蒼艾色一音刈治也重意四十曰强而仕内則四十始仕
六十曰耆指使	指事使人也六十不與服戎不親斈○耆渠夷反賀揚云至也至老境也與音預
七十曰老而傳	傳家事任子孫是謂宗子之父○傳直專反沈直恋反
八十九十曰耄	耄惛忘也春秋傳曰謂老將知耄又及之〇耄本又作旄同亡報反注同惛音昬一音呼困反忘亡亮反又如字知音智
七年曰悼	悼怜愛也〇悼徒報反
悼與耄雖有罪不加刑焉	愛㓜而尊老
百年曰期頥	期猶要也頤養也不知衣服食味孝子要尽養道而己○頤羊時反要於遥反又如字下同飬道羊尚反又如字
大夫七十而致事	致其所掌之事於君而告老〇重意大夫七十而致事内則七十致仕
若不得謝	謝猶聽也君必有命勞苦辝謝之其有德尚壯則不聽耳〇聽吐丁反後可以意求皆不音勞如字又力報反
則必賜之几杖行役以婦人適四方乗安車自稱曰老夫	几杖婦人安車所以飬其身躰也安車坐乗若今小車也老夫老人稱也亦明君尊賢春秋傳曰老夫耄矣○坐乗繩證反稱尺證反
於其國則稱名	君雖尊異之自稱猶若臣
越國而問焉必告之以其制	鄰囯来問必問於老者以荅之制法度
○謀於長者必操几杖以從之	從猶就也〇長丁丈反下皆同操七刀反
長者問不辭讓而對非禮也	當謝不敏若曾子之為
○凡為人子之禮冬温而夏清昏定而晨省	安㝎其牀祍也省問其安否何如○憂遐嫁反清七性反字從水冷也祍而審反席也
在醜夷不爭	醜衆也夷猶儕也四皓曰陛下之等夷〇儕仕皆反等也沈才詣反皓户老反四皓園公綺李夏黄公甪里先生
〇夫為人子者三賜不及車馬	三賜三命也凡仕者一命而受爵再命而受衣服三命而受車馬車馬而身所以尊者備矣卿大夫士之子不受不敢以成尊比踰於父天子諸侯之子不受自卑逺於君〇逺于方反
故州閭郷黨稱其孝也兄弟親戚稱其慈也僚友稱其弟也執友稱其仁也交遊稱其信也	不敢重受賜者心也如此而五者備有焉周礼二十五家為閭四閭爲族五族為黨五黨爲州五州為郷僚友官同者執友志同者○僚本又作寮了彫反同官者弟大計反下注同
見父之執不謂之進不敢進不謂之退不敢退不問不敢對	敬父同志如事父
此孝子之行也	重言孝子之行也又祭統
○夫爲人子者出必告反必面	告面同耳反言面者從外来宜知親之顔色安否〇行下孟反告音谷重意出必告下篇反必告
所遊必有常所習必有業	縁親之意欲知之
恒言不稱老	廣敬
年長以倍則父事之	謂年二十於四十者人年二十弱冠成人有爲人父之端今四十於二十者有子道内則曰年二十悙行孝弟〇冠工喚反悙都温反
十年以長則兄事之五年以長則肩隨之	肩隨者與之並行差退〇差初佳反徐𥘉宜反
羣居五人則長者必異席	席以四人爲節因宜有所尊
〇爲人子者居不主奥坐不中席行不中道立不中門	謂與父同宫者也不敢當其尊處室中西南隅謂之奥道有左右中門謂棖闑之中央内則曰由命士以上父子皆異宫〇奥烏報反沈於六反處昌慮反下同棖直衡反闑也闑魚列五結二反上時掌反後以上皆同重意立不中門玉藻賔入不中門
食饗不爲槩	槩量也不制待賔客饌具之所有〇食音嗣饗本又作享香两反槩右愛反饌土恋反
祭祀不爲尸	尊者之䖏爲其失子之道然則尸卜筮無父者〇爲其于偽反下注除不爲狐皆同
聽於無聲視於無形	恒若親之将有教使然
不登髙不臨深不苟訾不苟笑	爲其近危辱也人之性不欲見毀訾不欲見笑君子樂然後笑〇訾音紫毀沈又将知反樂音洛
〇孝子不服闇不登危懼辱親也	服事也闇冥也不於闇冥之中從事爲卒有非常且嫌失礼也男女夜行以燭〇冥本亦作暝莫㝎反下文同卒才忽反
父母存不許友以死	爲忘親也死爲報仇讎
不有私財〇為人子者父母存冠衣不純素	為其有䘮象也純縁也玉藻曰縞冠玄武子姓之冠也縞冠素紕旣祥之冠也深衣曰具父母衣純以青〇純諸允反又之閠反下注皆同縁悅絹反縞古老反又古到反紕婢支反徐補移反重意父母存不有私財坊記篇父母在不敢私其財
孤子當室冠衣不純采	早䘮親雖除䘮不忘哀也謂年未三十者三十壯有室有代親之端不為孤也當室適子也深衣曰孤子衣純以素〇早䘮息浪反適丁厯反
〇㓜子常視母誑	視今之示字小未有所知常示以正物以正教之无誑欺〇視音示誑本或作同九况反欺也
童子不衣裘裳	裘大温消隂氣使不堪苦不衣裘裳便易〇衣於旣反下同大音泰徐池佐反便婢面反易以䜴反
立必正方不傾聽	習其自端正
長者與之提攜則两手奉長者之手	習其扶持尊者提攜謂率將行〇提大兮反攜户圭反奉芳勇反又扶㳟反下及注奉扄奉席奉箕皆同
負劒辟咡詔之	負謂置之於背劒謂挾之於旁辟咡詔之謂傾頭與語口旁曰咡〇辟匹亦反側也徐芳益反沈扶亦反注同咡如志反何云口耳之間曰咡挾音恊〇重意辟咡詔之少儀篇辟咡而對
則掩口而對	習其郷尊者屏氣也○俺於檢反郷許亮反本亦作嚮後文注皆同屏必領反
○從於先生不越路而與人言	尊不二也先生老人教學者〇從才用反下皆同
遭先生於道趨而進正立拱手	為有教使〇拱俱勇反
先生與之言則對不與之言則趨而退	爲其不欲與己並行
從長者而上丘陵則必郷長者所視	為逺視不察有所問〇上時掌反下同
登城不指城上不呼	為惑人〇呼火故反號呌也
将適舎求毋固	謂行而就人館固猶常也求主人物不可以舊常或時乏無周礼士訓下地物原其生以詔地求其類
將上堂聲必揚	警内人也〇警京領反
户外有二屨言聞則入言不聞則不入將入户視必下入户奉扄視瞻毋囬	不干掩人之私也奉扄敬也〇屨紀其反單下曰屨聞音問又如字下同視常止反下同徐音示扄古螢反何云関也二云門扇上鐶鈕瞻毋徐音如字
户開亦開户闔亦闔	不以後来変先〇圔胡臘反
有後入者闔而勿遂	示不拒人〇拒其許反
毋踐屨毋踖席摳衣趨隅必愼唯諾	趍隅升席必由下也愼唯諾者不先㪯見問乃應〇躇在亦反躐也摳苦侯反提也下及注同趍七俱反向也注同唯于癸反應辝也注同徐于比反沈以水反諸乃各反應應對之應
大夫士出入君門由闑右	臣統於君闑門撅〇闑魚列反撅也撅求月反門中木
不踐閾	閾門限也〇閾于逼反又况掝反重意不踐閾玉藻不履閾
〇凡與客入者每門讓於客	下賔也敵者迎於大門外聘礼曰君迎賔於大門内〇下遐嫁反
客至於寢門則主人請入爲席	為猶敷也雖君亦然〇敷芳夫反
然後出迎客客固辭	又讓先入
主人肅客而入	肅進也進客謂道之〇道音導
主人入門而右客入門而左	右就其右左就其左
主人就東階客就西階客若降等則就主人之階	降下也謂大夫於君士於大夫也不敢輙由其階卑統於尊不敢自專
主人固辭然後客復就西階	復其正〇復音服後同更不重出〇重言主人固辝又下文
主人與客讓登主人先登客從之拾級聚足	拾當為涉声之誤也級等也涉等聚足謂前足躡一等後足從之併〇拾依注音渉級音急階等攝女攝反併歩頂反
連歩以上	重蹉跌也連歩謂足相隨不相遇也〇上時掌反下皆同重直勇反徐治㳟反蹉本亦作差同七可反跌大結反遛古卧反後不音者放此
上於東階則先右足上於西階則先左足	近於相郷敬
〇帷薄之外不趨	不見尊者行自由不為容也入則容行而張足曰趨○帷位悲反帷幔也薄平搏反簾也
堂上不趨	爲其迫也堂下則趍〇為于僞反下並同迫音伯重言堂上不趍又見少儀問䘮
執玉不趨	志重玉也聘礼曰上介授賔玉於廟門外○介音界
堂上接武	武迹也迹相接謂每移足半躡之中人之迹尺二寸
堂下布武	武謂每移足各自成迹不相躡
室中不翔	又為迫也行而張拱曰翔
並坐不横肱	為害旁人〇並如字又歩頂反後放此肱古弘反
授立不跪授坐不立	為煩尊者俛仰受之〇跪求委反本又作危授坐本又作俛仰重意授立不跪授坐不立少儀受立不坐
〇凡為長者糞之禮必加帚於箕上	如是得两手奉箕㳟也謂𥘉執而徃時也弟子聀曰執箕膺厥中有帚〇爲于偽反糞本又作􁇗徐音奮掃席前曰􁇗帚之手反箕音基膺於陵反葉如字箕舌
以𬒮拘而退其塵不及長者	謂埽時也以𬒮擁帚之前埽而却行之〇𬒮武世反衣䄂未拘古侯反徐音俱埽先報反又先早反擁於勇反
以箕自郷而扱之	扱讀曰吸謂収糞時也箕去弃物以郷尊者則不㳟〇扱許急反歛也去丘吕反下注同
奉席如橋衡	横奉之令左昻右低如有首尾然橋井上㮮橰衡上低昂〇橋居廟反令力呈反昻本又作卬又作仰同五剛反又魚丈反下同㮮本又作契又作絜同音結橰古毫反㮮橰依字作桔橰見莊子
請席何郷請祍何趾	順尊者所安也祍卧席也坐問郷卧問趾因於隂陽日祍而審反趾音止重意請席何郷請祍何趾内則奉席請何郷将祍長者奉席請何祉
席南鄉北郷以西方爲上東郷西郷以南方為上	布席無常此其順之也上謂席端也坐在陽則上左坐在隂則上右○坐才卧反又如字
若非飲食之客則布席席間函丈	謂講問之客也函猶容也講問宜相對容丈足以指畫也飲食之客布席於牖前丈或為杖〇函胡南反丈如字丈尺之丈王肅作杖畫胡麥反牖羊九反
主人跪正席	雖来講問猶以客礼待之異於弟子
客跪撫席而辭	撫之者荅主人之親正
客徹重席主人固辭	徹去也去重席謙也再辝曰固〇重直龍反注同再辝曰固一本作曰固辝
客踐席乃坐	客安主人乃敢安也講問冝坐
主人不問客不先舉	客自外來宜問其安否无恙及所爲來故〇恙羊尚反尔雅云憂也為于偽反下同
将即席容毋怍	作顔色变也〇怍才洛反慙也
两手摳衣去齊尺	齊謂裳下緝也〇齊音咨注同本又作齋緝七立反
衣毋撥	掇發揚貌〇撥半末反
足毋蹶	蹶行遽貌〇蹶本又作蹙居衛反又求月反遽其據反
○先生書䇿琴瑟在前坐而遷之戒勿越	廣敬也在前謂當行之前〇策本又作莢初革反編蕳也
虚坐盡後	謙也〇尽律忍反後放此
食坐盡前	為汙席〇汙汙辱之汙又故反後放此
坐必安執爾顔	執猶守也
長者不及毋儳言	儳猶暫也非類雜〇儳仕鍳反
正爾容聽必㳟	聽先生之言旣說又敬○說音悦
毋勦說	勦猶􁂝也謂取人之說以為己說〇勦𥘉交反一音𥘉敎反􁂝取說如字注同徐舒銳反擥徐力敢反
毋雷同	雷之發声物无不同時應者人之言當各由已不當然也孟子曰人無是非之心非人也〇應應對之應下同
必則古昔稱先王	言必有依據
侍坐於先生先生問焉終則對	不敢錯乱尊者之言〇坐才卧反後放此〇重意侍坐於先生玉藻侍食於先生
請業則起請益則起	尊師重道也起若今摳衣前請也業謂篇卷也益謂受說不了欲師更明說之子路問政子曰先之勞之請益曰無倦○卷音眷
父召無諾先生召無諾唯而起	應辝唯㳟於諾○唯于癸反徐于比反重意父召無諾玉藻父命呼唯而不諾
侍坐於所尊敬毋餘席	必尽其所近尊者之端為有後來者〇爲于為反下為饌同
見同等不起	不爲私敬
燭至起	異晝夜
食至起	為饌変
上客起	敬尊者
燭不見䟦	䟦本也燭尽則去之嫌若烬多有厭倦〇見賢変反跋半未反去起吕反下風去免去同烬才性反厭於豔反下同
尊客之前不叱狗	主人於尊客之前不敢倦嫌若風去之〇叱尺質反狗古口反風芳鳯反
讓食不唾	嫌有穢惡唾吐卧反穢紆廢反徐烏外反惡烏路反
○侍坐於君子君子欠伸撰杖屨視日蚤莫侍坐者請出矣	以君子有倦意也撰猶持也〇欠丘歛反伸音身撰仕轉反屨紀具反下同蚤音早莫音暮重言侍坐於君子本篇二少儀一〇重意少儀問日之蚤莫
侍坐於君子君子問更端則起而對	離席對敬異事也君子必令復坐○離力智反令力呈反
侍坐於君子若有告者曰少間願有復也則左右屏而待	復白也言欲湏少空間有所白也屏猶退也隱也○間音閑注同
毋側聽	嫌探人之私也側聽耳属於垣〇探音貪属之玉反垣音袁
毋噭應毋滛視毋怠荒遊毋倨立毋跛坐毋箕寢毋伏歛髮毋髢冠毋免勞毋袒暑毋褰裳	皆爲其不敬噭号呼之声也滛視睇眄也忘荒放散身体也跛徧在也伏覆也髢髲也毋垂餘奸髲也免去也褰祛也髢或為肄〇噭古弔反視如字徐市志反倨音據跛彼義反又波我反髢徒細反髮垂如髲袒徒早反露也褰起連反爲于偽反下為妨為于皆為爲其爲後同号户髙反本又作啼字呼火故反又如字睇大計反眄莫遍反覆芳伏反髲皮義反祛丘魚反肄以二反餘也
〇侍坐於長者屨不上於堂	屦賤空則不陳於尊者之側〇上時掌反
解屨不敢當階	為妨後升者〇妨音方
就屨跪而舉之屏於側	謂獨退也就猶著也屏亦不當階〇着子畧反
郷長者而屨跪而遷屨俯而納屨	謂長者送之也不得屏迁之而已俯俛也納内也迁或爲還
離坐離立毋往參焉離立者不出中間	為干人私也离两也
〇男女不雜坐不同椸枷不同巾櫛不親授嫂叔不通問諸母不漱裳外言不入於梱内言不出於梱女子許嫁纓非有大故不入其門姑姊妺女子子已嫁而反兄弟弗與同席而坐弗與同器而食	皆爲重别防滛乱不雜坐謂男子在堂女子在房也椸可以枷衣者通問謂相称謝也諸母庶母也漱澣也庶母賤可使漱衣不可使漱裳裳賤尊之者亦所以逺别外言内言男女之聀也不出入者不以相問也梱門限也女子許嫁繁纓有從人之端也大故宫中有災変若疾病乃後入也女子有宫者亦謂由命士以上也春秋傳曰羣公子之舎則已卑矣女子十年而不出嫁乃成人可以出矣猶不与男子共席而坐亦逺别也〇椸羊支反衣枷也枷本又作架又音嫁古本無此字櫛側乙反嫂字又作㛮素早反漱悉侯反梱本又作閫苦本反别彼列反下及注同澣户菅反重言外言不入於梱内言不出於梱又内則女子子又䘮服表記重意内則篇男女不同椸枷又内言不岀外言不入
父子不同席	異尊早也重意内則男女不同席
男女非有行媒不相知名	見媒徃来傳婚姻之言乃相知姓〇媒音梅傳直專反
非受幣不交不親	重别有礼乃相纒固
故日月以告君	周礼凡取判妻入子者媒氏書之以告君謂此也〇判普叛反
齊戒以告鬼神	昏礼凡受女之礼皆於廟爲神席以告鬼神謂此也○斉側皆反
爲酒食以召郷黨僚友	會賔客也
以厚其别也	慎也
取妻不取同姓故買妾不知其姓則卜之	爲其近禽獸也妾賤或時非媵取之於賤者丗无本繫〇取七住反本亦作娶下賀取妻同媵羊證反又繩證反繋音計又户計反重言取妻不娶同姓故買妾不知其姓則卜之又坊記
寡婦之子非有見焉弗與為友	辟嫌也有見謂有竒才卓然衆人所知〇見賢遍反辟音避下同餘放此重言寡婦之子坊記重意坊記不有見焉則弗友也
○賀取妻者曰某子使某聞子有客使某羞	謂不在賔客之中使人徃者羞進也言進於客古者謂候爲進其礼盖壷酒束脩若大也不斥主人昏礼不賀
貧者不以貨財為禮老者不以筋力爲禮	礼許儉不非无也年五十始杖八十拜君命一坐再至〇筋音斤
〇名子者不以國不以日月不以隱疾不以山川	此在常語之中為後難諱也春秋傳曰名終将諱之隱疾衣中之疾也謂若黑臀黒肱矣疾在外者虽不得言尚可指擿此則无時可辟俗語云隱疾難爲醫〇臀徒孫反擿吐曆反或音的醫於其反重意内則凡名子不以日月不以國不以隱疾互注左桓六年子同生公問名於申繻對曰名有五有信有義有象有假有類不以國不以官不以山川不以隱疾故以國則廢名以官則廢聀以山川則廢主晋以僖侯廢司徒宋以武公廢司空先君献武廢二山是以大物不可以命
〇男女異長	各自為伯季也
男女二十冠而字	成人矣敬其名○冠古乱反重意上文二十曰弱冠内則二十而冠
父前子名君前臣名	對至尊无大小皆相名
女子許嫁笄而字	以許嫁為成人〇笄古兮反重意内則十有五年而笄
○凡進食之禮左殽右胾食居人之左羮居人之右	皆便食也殽骨体也胾切肉也食飯属也居人左右明其近也殽在爼胾在豆○殽户交反熟肉有骨曰殽胾仄吏反大腐食音嗣飯也注食飯属同羮古衡反便婢面反下同近如字
膾炙處外醯醤處内	殽胾之外内也近醯醬者食之主贈炙皆在豆〇膾古外反炙章夜反注同醢徐音海本又作醯呼兮反醬子匠反
葱㳿處末	㳿烝葱也処醯醤之左言末者殊加也㳿在豆〇㳿以制反烝之承反
酒漿處右	処羮之右此言若酒若漿耳两有之則左酒右漿此大夫士與賔客燕食之礼其礼食則冝放公食大夫礼云〇漿子羊反燕本亦作宴於遍反放方兩反食音嗣此儀礼篇名也後放此下及注執食同重意少儀客爵居左其飲居右
以脯脩置者左胊右末	亦便食也屈中曰朐〇胊其俱反
客若降等執食興辭	辝者辝主人之臨己食若欲食於堂下然
主人興辭於客然後客坐	復坐重言又下文
主人延客祭	延道也祭祭先也君子有事不忘本也客不降等則先祭〇客祭礼飲食必祭示有所先也于宝注周礼云祭五行六隂之伸與人起居道音導
祭食祭所先進	主人所先進先祭之所後進後祭之如其次
殽之序徧祭之	謂胾炙膾也以其本岀於性体也公食大夫礼魚腊湆醤不祭也〇徧音遍下注同腊音昔湆音泣
三飯主人延客食胾然後辯殽	先食胾後食殽殽尊也凡食殽辯於肩食肩則飽也〇飯扶晚反下注礼飯以手同依字書食旁作卞扶万反食旁作反扶晚反二字不同今則混之故隨俗而音此辯音遍下同
主人未辯客不虚口	俟主人之虚口謂酳也客自敵以上其酳不待主人飽主人不先飽也〇酳音胤又士覲反漱口也以酒曰酳以水曰漱
侍食於長者主人親饋則拜而食	勸長者食耳虽賤不得執食㒷辝拜而己示敬也〇饋其類反重言侍食於長者又下文
主人不親饋則不拜而食	以其礼於己不隆重意坊記主人親饋則客祭主人不親饋則客不祭
共食不飽	謙也謂共羮飯之大器也
共飯不澤手	爲汙手不絜也澤謂捼莎也礼飯以手澤或為擇〇爲于偽反汗下半反本或作汗捼乃禾反沈耳佳反莎息禾反又息隨反
毋摶飯	爲欲致飽不嫌〇摶徒端反為于僞反下皆同
毋放飯	去手箇飯於器中人所穢〇去起吕反
毋流歠	大歠嫌欲疾〇歠州悅反重言毋放飯毋流歠又少儀
毋咤食	嫌薄之〇咤陟嫁反叱咤也
毋齧骨	為有声響不敬〇齧五結反
毋反魚肉	爲己歴口人所穢
毋投與狗骨	為其賤飲食之物
毋固獲	爲其不廉也欲專之曰固爭取曰獲〇獲如字鄭横覇反一音護
毋揚飯飯黍毋以箸毋嚃羮	亦嫌欲疾也嚃爲不嚼菜〇飯扶晩反箸直慮反說文云飯敧也嚃他荅反一音吐計反又音退嚼疾略反
毋絮羮	爲其詳於味也絮猶調也〇絮勑慮反謂加以塩梅也
毋刺齒	爲其弄口也口容止〇刺七亦反弄魯凍反
毋歠醢	亦嫌詳於味也歠者爲其淡故○淡度敢反
客絮羮主人辭不能亨客歠醢主人辭以窶	優賔〇亨普彭反煑也窶其禹反貧也
濡肉齒决	决猶断也〇濡音字亦作断音短
乾肉不齒决	堅冝用手
毋嘬炙	為其貪食甚也嘬謂一㪯尽脔特牲少牢嚌之加于爼〇嘬初怪反炙章夜反脔力轉反少徐武照反凡少牢皆同斉才細反
卒食客自前跪徹飯齊以授相者	謙也自從也斉醬属也相者主人賛饌者公食大夫礼賔卒食北面取梁與醬以降也○卒子恤反後更不音者同斉本又作韲將兮反相息亮反及注同
主人興辭於客然後客坐	不聽親徹
侍飲於長者酒進則起拜受於尊所	降席拜受敬也燕飲之礼郷尊〇郷音向
長者辭少者反席而飲長者舉未釂少者不敢飲	不敢先尊者尽爵曰釂燕礼曰公辛爵而後飲也〇少式召反下皆同釂子妙反尽也先悉薦反又如字
長者賜少者賤者不敢辭	不最亢礼也賤者僮僕之属〇亢苦浪反僮音同
賜果於君前其有核者懷其核	嫌弃尊者物也木實曰果○核户革反
御食於君君賜餘器之漑者不冩其餘皆冩	重汙辱君之器也溉謂陶梓之器不漑謂萑竹之器也冩者傳己器中乃食之也勸侑曰御○溉古爱反重直勇反徐治龍反陶音桃瓦器也沈音遥萑音丸葦也傳直專反侑音又
餕餘不祭父不祭子夫不祭妻	食人之餘曰餕餕而不祭唯此類也食尊者之餘則祭盛之〇餕子閠反
御同於長者雖貳不辭	謂侍食於長者饌具与之同也貳謂重殽膳也辝之爲長者嫌〇重直龍反
偶坐不辭	盛僎不爲己〇偶五口反配也一曰副貳也坐才卧反又如字
羮之有菜者用梜其無菜者不用梜	梜猶著也今人或謂著為梜提○梜古叶反沈音甲字林作筴云箸也公治反箸直慮反
為天子削瓜者副之巾以絺	副析也既削又四析之乃横断之而巾覆焉〇爲于偽反下同削息畧反瓜古華反副普逼反絺勑宜反細葛析星歴反下同断音短下同
爲國君者華之巾以綌	華中裂之不四析也〇華胡瓜反綌去逆反瓫葛也
爲大夫累之	累倮也謂不巾覆也〇累力果反又如字倮力果反
士㚄之	不中裂横断去㚄而己〇㚄音帝去起吕反
庶人齕之	不横断〇齕恨没反徐胡切反
父母有疾冠者不櫛行不翔	憂不為容也〇冠如字徐右乱反爲如字徐于偽反
言不惰	憂不在私好惰不正之言〇惰徒禾反又徒卧反
琴瑟不御	憂不在樂
食肉不至變味飲酒不至變貌	憂不在味
笑不至矧怒不至詈	憂在心難変也齒本曰矧大笑則見〇矧本又作哂失忍反詈力智反罵詈
疾止復故	自若常也
有憂者側席而坐	側猶特也憂不在接人不布它面席
有䘮者專席而坐	降居処也專猶单也
〇水潦降不獻魚鼈	不饒多也〇潦音老雨水謂之潦
獻鳥者佛其首	爲其啄害人一佛戾也盖為小竹籠以冒之〇佛本又作拂扶弗反下同爲于偽反下爲其同啄吁廢反陟遘反又知胄丁角反戾力計反籠力東反冒莫報反
畜鳥者則勿佛也	畜飬也飬則馴〇畜許六反徐况又反馴似遵反狎也徐食倫反沈飬純反
獻車馬者執䇿綏献甲者執胄献杖者執末献民虜者操右𬒮献粟者執右契献米者操量鼓献熟食者操醤齊献田宅者操書致	凡操執者謂手所舉以告者也設其大者舉其小者便也甲鎧也胄兠鍪也民虜軍所獲也操其右袂制之契券要也右爲尊量鼓量器名〇綏音雖執以登車者胄直又反操七刀反持也下及注皆同契若計反量音亮又音良升斛鼓隱義云樂浪人呼為十二石者爲鼓齊本又作韲同子兮反便婢面反鎧苦愛反兠丁侯反鍪莫侯反券字又作絭音勸
凡遺人弓者張弓尚筋弛弓尚角	弓有徃来体皆欲令其下曲隤然順也遺人無時己㝎体則張之未定体則弛之〇遺于季反与也注同弛本又作施同隤式是反謂不張也注同隤本又作頽徒回反
右手執簫左手承弣	簫弭頭也謂之簫簫邪也弣把中〇弣音抚徐音甫下同弭亡婢反弓末也邪似嗟反把音霸手執処也
尊卑垂􁉄	􁉄佩巾也磬折則佩垂授受之儀尊卑一〇帨徐始銳反磬徐苦定反折徐時列反又之列反沈云舊音逝
若主人拜	拜受也
則客還辟辟拜	辟拜謙不敢當〇辟辟上扶亦反下音避注同
主人自受由客之左接下承弣	由從也從客之左右客尊之接下接客手下也承弣卻手則簫覆手与〇覆芳服反与音餘
郷與客並然後受	於堂上則俱南面礼敵者並授
進劒者左首	左首尊也
