纂圖互註禮記卷之六曽子問第七	○陸曰曽子孔子弟子曽參也以其所問多明於禮故著姓名以顕之
○曽子問曰䘮有二孤廟有二主禮與	恠時有之○与音餘下禮與同
孔子曰天無二日土無二王甞禘郊社尊無二上未知其爲禮也	尊喻卑也神雖多猶一一祭之重言天无二日土無二王三一見坊記一見䘮服四制○尊无二上二重見坊記
昔者齊桓公亟舉兵作僞主以行及反葬諸祖廟廟有二主自桓公始也	僞猶假也㪯兵以迁廟主行无則主命爲假主非也○亟徐起吏反
䘮之二孤則昔者衛靈公適魯遭季桓子之䘮衛君請弔哀公辭不得命公爲主客入弔康子立於門右北靣公揖讓升自東階西郷客升自西階弔公拜興哭康子拜稽顙於位有司弗辯也今之二孤自季康子之過也	辯猶正也若康子者君弔其臣之礼也鄰囯之君弔君爲之主主人拜稽顙非也當哭踊而巳靈公先桓子以魯哀公二年夏卒桓子以三年秋卒是出公也○郷許亮反先悉薦反夏户嫁反
○曽子問曰古者師行必以遷廟主行乎孔子曰天子廵守以遷廟主行載于齊車言必有尊也今也取七廟之主以行則失之矣	齊車金路○守手又反本亦作狩齊側皆反本亦作齋注及下同齊車祭祀所乗金輅也重意言必有尊也曲礼上必有尊也
當七廟五廟無虚主虚主者唯天子崩諸侯薨與去其國與祫祭於祖爲無主耳吾聞諸老聃曰天子崩國君薨則祝取羣廟之主而藏諸祖廟禮也卒哭成事而后主各反其廟	老聃古壽考者之號也與孔子同時藏諸主於祖廟象有凶事者聚也卒哭成事先祔之祭名也○祫音洽聃他甘反老聃即老子也祔音附
君去其國大宰取羣廟之主以從禮也	鬼神依人者也○從才用反下禆從而從同
祫祭於祖則祝迎四廟之主	祝接神者也
主岀廟入廟必蹕	蹕止行也○蹕音畢
老聃云○曽子問曰古者師行無遷主則何主孔子曰主命問曰何謂也孔子曰天子諸侯將岀必以幣帛皮圭告于祖禰遂奉以出載于齊車以行毎舎奠焉而后就舎	以脯醢禮神乃敢即安也所告而不以出即埋之
反必告設奠卒歛幣玉藏諸兩階之間乃岀蓋貴命也○子游問曰䘮慈母如母禮與	如母謂父卒三年也子游意以爲囯君亦當然禮所云者乃大夫以下父所使妾養妾子重意反必告曲禮出必告
孔子曰非禮也古者男子外有傳内有慈母君命所使教子也何服之有	言無服也此指謂囯君之子也大夫士之子爲庶母慈巳者服小功父卒乃不服
昔者魯昭公少䘮其母有慈母良及其死也公弗忍也欲䘮之有司以聞曰古之禮慈母無服	據囯君也良善也謂之慈母固爲其善囯君之妾子於礼不服也昭公年二十乃䘮齊歸猶无慼容是不少又安能不忍於慈母此非昭公明矣未知何公也○少䘮如字下及注皆同讀者亦息浪反
今也君爲之服是逆古之禮而亂國法也若終行之則有司將書之以遺後丗無乃不可乎公曰古者天子練冠以燕居公弗忍也遂練冠以䘮慈母䘮慈母自魯昭公始也	公之言又非也天子練冠以燕居盖謂庶子王爲其母○遺如字猶垂反又于季反
曽子問曰諸侯旅見天子入門不得終禮廢者幾	旅衆○幾居豈反下同
孔子曰四請問之曰大廟火日食后之䘮雨霑服失容則廢	大廟始祖廟宗廟皆然主於始祖耳○霑竹廉反
如諸侯皆在而日食則從天子救日各以其方色與其兵	示奉時事有所討也方色者東方衣青南方衣赤西方衣白北方衣黒兵未聞也○衣於旣反又如字下同
大廟火則從天子救火不以方色與兵○曽子問曰諸侯相見揖讓入門不得終禮廢者幾孔子曰六請問之曰天子崩太廟火日食后夫人之䘮雨霑服失容則廢	夫人君之夫人
○曽子問曰天子嘗禘郊社五祀之祭簠簋旣陳天子崩后之䘮如之何孔子曰廢	旣陳謂夙興陳饌牲器時也天子七祀言五者関中言之○禘大計反簠音甫徐方干反又音蒲簋音軌饌仕恋反又仕轉反下同
○曽子問曰當祭而日食大廟火其祭也如之何孔子曰接祭而巳矣如牲至未殺則廢	接祭而巳不迎尸也
天子崩未殯五祀之祭不行旣殯而祭其祭也尸入三飯不侑酳不酢而巳矣自啓至于反哭五祀之祭不行巳葬而祭祝畢獻而巳	旣葬弥吉畢献祝而後止郊社亦然唯甞禘宗廟俟吉也○飯扶晚反下同不侑音又絶句下皆放此酳音㣧又仕覲反酢才名反
○曽子問曰諸侯之祭社稷爼豆旣陳聞天子崩后之䘮君薨夫人之䘮如之何孔子曰廢	亦謂夙㒷陳饌牲噐時也
自薨比至于殯自啓至于反哭奉帥天子	帥循也所奉循如天子者謂五祀之祭也社稷亦然○比必利反
○曽子問曰大夫之祭鼎爼旣陳籩豆旣設不得成禮廢者幾孔子曰九請問之曰天子崩后之䘮君薨夫人之䘮君之大廟火日食三年之䘮齊衰大功皆廢外䘮自齊衰以下行也	斉衰異門則祭
其齊衰之祭也尸入三飯不侑酳不酢而巳矣大功酢而已矣小功緦室中之事而已矣	室中之事謂賔長献○長知丈反下文誄長同
士之所以異者緦不祭	然則士不得成礼者十一
所祭於死者無服則祭	謂若舅舅之子從母昆弟
曽子問曰三年之䘮弔乎孔子曰三年之䘮練不羣立不旅行	爲其苟語忘哀也○爲于僞反下爲彼爲親妻爲婦爲爲巳病皆同
君子禮以飾情三年之䘮而弔哭不亦虚乎	爲彼哀則不專於親也爲親哀則是妄弔
○曽子問曰大夫士有私䘮可以除之矣而有君服焉其除之也如之何孔子曰有君䘮服於身不敢私服又何除焉	重喻軽也私䘮家之丧也䘮服四制曰門外之治義断㤙○治直吏反断丁乱反重言可以除之矣二一見檀弓上苐三
於是乎有過時而弗除也君之䘮服除而后殷祭禮也	謂主人也支子則否○除如字徐直慮反
○曽子問曰父母之䘮弗除可乎	以其有終身之憂
孔子曰先王制禮過時弗舉禮也非弗能勿除也患其過於制也故君子過時不祭禮也	言制礼以爲民中過其時則不成礼○中如字又丁仲反重言先王制礼四檀弓上三
○曽子問曰君薨旣殯而臣有父母之䘮則如之何孔子曰歸居于家有殷事則之君所朝夕否	居家者因其哀後隆於父母殷事朔月月半薦新之奠也
曰君旣啓而臣有父母之䘮則如之何孔子曰歸哭而反送君	言送君則旣葬而㱕也㱕哭者服君服而㱕不敢私服也
曰君未殯而臣有父母之䘮則如之何孔子曰歸殯反于君所有殷事則歸朝夕否	其哀雜主於君
大夫室老行事士則子孫行事	大夫士其在君所之時則攝其事
大夫内子有殷事亦之君所朝夕否	謂夫之君旣殯而有舅姑之䘮者内子大夫適妻也妻爲夫之君如婦爲舅姑服斉衰○適丁歷反
○賤不誄貴㓜不誄長禮也	誄累也累列生時行迹讀之以作謚謚當由尊者成○誄力水反謂謚也行下孟反謚音示徐又以二反
唯天子稱天以誄之	以其无尊焉春秋公羊說以爲讀誄制謚於南郊若云受之於天然
諸侯相誄非禮也	礼當言誄於天子也天子乃使大史賜之謚
〇曽子問曰君出疆以三年之戒以椑從君薨其入如之何	其出有䘮備疑䘮入必異也戒猶備也謂衣衾也親身棺曰椑其餘可死乃具也○疆居良反椑薄曆反襯身棺謂杝棺也
孔子曰共殯服	此謂君以大歛殯服謂布深衣苴絰散帶垂殯時主人所服共之以待其來也其餘殯事亦皆具焉○共殯音恭注同下必刄反苴絰七餘反下大結反散息但反
則子麻弁絰䟽衰菲杖	棺柩未安不忍成服於外也麻弁絰者布弁而加環絰也布弁如爵弁而用布杖者爲巳病○弁皮彦反柩其又反如爵如或作加誤也爲巳音以
入自闕升自西階	闕謂毀宗也柩毀宗而入異於生也升自西階亦異生也所毀宗殯宫門西也於此正棺而服殯服旣塗而成服殷柩出毀宗周柩入毀宗礼相変也
如小歛則子免而從柩	謂君已小歛也主人布深衣不括髪者行逺不可无莭〇免音問
入自門升自阼階	親未在棺不忍異入使如生來反
君大夫士一節也曽子問曰君之䘮旣引聞父母之䘮如之何孔子曰遂旣封而歸不俟子	遂遂送君也封當爲窆子嗣君也○引以刄反下皆同封音窆彼験反
○曽子問曰父母之䘮旣引及塗聞君薨如之何孔子曰遂旣封改服而往	封亦當爲窆改服括髪徒跣布深衣扱上祍不以私䘮包至尊○旣封依注音窆彼験反塗音徒扱初洽反祍而審反又而鴆反
○曽子問曰宗子爲士庶子爲大夫其祭也如之何孔子曰以上牲祭於宗子之家	貴禄重宗也上牲大夫少牢
祝曰孝子某爲介子某薦其常事	介副也不言庶使若可以祭然○祝皇之六反舊之又反下同爲于僞反下注爲有異居爲无曰同介音界副也下同
若宗子有罪居于他國庶子爲大夫其祭也祝曰孝子某使介子某執其常事	此之謂宗子攝大夫○其祭也夲或此下有如之何三字非也
攝主不厭祭不旅不假不綏祭不配	皆辟正主厭厭飫神也厭有隂有陽迎尸之前祝酌奠奠之且饗是隂厭也尸謖之後徹薦爼敦設於西北隅是陽厭也此不厭者不陽厭也不旅不旅酬也假讀爲嘏不嘏不嘏主人也不綏祭謂今主人也綏周礼作墮不配者祝辝不言以某妃配某氏○厭本或作懕於艷反注下皆同綏注作墮同許垂又徐又况垂反注同辟音避下同飫於去反謖色六反起也敦音對又東論反嘏古雅反
布奠於賔賔奠而不舉	布奠謂主人酬賔奠觯於薦北賔奠謂取觯奠於薦南也此酬之始也奠之不􁏯止旅○觶之豉反字林音支
不歸肉	肉爼也謂与祭者留之共燕○㱕如字徐其位反与音預
其辭于賔曰宗兄宗弟宗子在他國使某辭	辝猶告也宿賔之辝与宗子爲列則曰宗兄若宗弟昭穆異者曰宗子而已其辝若云宗凡某在他囯使某執其常事使某告○其辝如字告也下及注同昭穆常遥反下音木後放此
○曽子問曰宗子去在他國庶子無爵而居者可以祭乎孔子曰祭哉	有子孫存不可以乏先祖之祀
請問其祭如之何孔子曰望墓而爲壇以時祭	不祭于廟元爵者賤逺辟正主○壇大丹反下注同注或作墠音善逺徐于万反
若宗子死告於墓而后祭於家	言祭於家容无廟也
宗子死稱名不言孝	孝宗子之稱不敢与之同其辝但言子某薦其常事○稱尺證反
身沒而已	至子可以稱孝
子游之徒有庶子祭者以此	以用也用此礼祭也
若義也	若順
今之祭者不首其義故誣於祭也	首本也誣猶妄也
○曽子問曰祭必有尸乎	言无益无用爲
若厭祭亦可乎	厭時无尸
孔子曰祭成䘮者必有尸尸必以孫孫㓜則使人抱之無孫則取於同姓可也	人以有子孫爲成人子不殤父義由此也重意尸必以孫曲礼上祭統二十五正云孫爲王父尸○孫糿則使人抱之曲礼上君子抱孫不抱子
祭殤必厭盖弗成也	厭飫而已不成其爲人
祭成䘮而無尸是殤之也	与不成人同
孔子曰有隂厭有陽厭	言祭殤之礼有於隂厭之者有於陽厭之者
曽子問曰殤不祔祭何謂隂厭陽厭	祔當爲備声之誤也言殤乃不成人祭之不備礼而云隂厭陽厭乎此失孔子指也祭成人始設奠於奥迎尸之前謂之隂厭尸謖之後改饌於西北隅謂之陽厭殤則不備○附依注音備本或作袝亦同奥於報反
孔子曰宗子爲殤而死庶子弗爲後也	族人以其倫代之明不序昭穆立之廟其祭之就其祖而已代之者主其礼
其吉祭特牲	尊宗子從成人也凡殤則特豚自卒哭成事之後爲吉祭
祭殤不舉無肵爼無玄酒不告利成	此其无尸及所降也其他如成人㪯肺脊肵爼利成礼之施於尸者○肵音其又忌依反敬也
是謂隂厭	是宗子而殤祭之於奥之礼小宗爲殤其祭礼亦如之
凡殤與無後者祭於宗子之家當室之白尊于東房是謂陽厭	凡殤謂庶子之適也或昆弟之子或從父昆弟无後者如有昆弟及諸父此則今死者皆宗子大功之内親共祖祢者言祭於宗子之家者爲有異居之道也无廟者爲墠祭之親者共其牲物宗子皆主其礼當室之白尊於東房異於宗子之爲殤當室之白謂西北隅得戸明者也明者曰陽凡祖廟在小宗之家小宗祭之亦然宗子之適亦爲凡殤過此以往則不祭也祭適者天子下祭五諸侯下祭三大夫下祭二士以下祭子而止○適丁暦反下同如有昆弟一本作如有共其音恭
○曽子問曰葬引至于堩日有食之則有變乎且不乎	堩道也変謂異礼○堩古鄧反且如字徐子餘反
孔子曰昔者吾從老聃助葬於巷黨及堩日有食之老聃曰丘止柩就道右止哭以聽變旣明反而后行曰禮也	巷黨黨名也就道右者行相左也変日食也反復也○從才用反又如字旣明反絶句
反葬而丘問之曰夫柩不可以反者也日有食之不如其巳之遲數則豈如行哉	巳止也数讀爲速
老聃曰諸侯朝天子見日而行逮日而舎奠大夫使見日而行逮日而舎	舎奠毎將舎奠行主○朝直遥反使色吏反下君使所使同
夫柩不蚤出不莫宿	侵晨夜則近奸冦○蚤音早莫音暮近附近之近
見星而行者唯罪人與奔父母之䘮者乎日有食之安知其不見星也	爲无日而慝作豫止也○慝他得反悪也
且君子行禮不以人之親痁患	痁病也以人之父母行礼而恐懼其有患害不爲也○痁始占反病也恐丘勇反
吾間諸老聃云○曽子問曰爲君使而卒於舎禮曰公館復私館不復凡所使之國有司所授舎則公館巳何謂私館不復也	復始死招䰟○爲于僞反又如字重言公館復私館不復三一見雜記下三十萹一見丧大記二十一
孔子曰善乎問之也	善其問難明也
自卿大夫之家曰私館公館與公所爲曰公館公館復此之謂也	公館若今縣官宫也宫所爲君所命使言巳者重言此之謂也九礼器大傳祭義䘮服内則各一樂記二經觧三
○曽子問曰下殤土周葬于園遂輿機而往塗邇故也	士周堲周也周人以夏后氏之堲周葬下殤於園中以其去成人逺不就墓也機輿尸之牀也以繩絙其中央反以繩從兩旁鉤之礼以機㪯尸輿之以就園而斂葬焉塗近故耳輿機或爲餘機〇迩音尓近也即本又作堲子栗反下同絙本又作縆古鄧反一音古恒反鉤本又作拘古侯反歛力驗反下同
今墓逺則其葬也如之何	今人斂下殤於宫中而葬於墓与成人同墓塗乃逺其葬當輿其棺乎載之也問礼之変也
孔子曰吾聞諸老聃曰昔者史佚有子而死下殤也墓逺	盖欲葬墓如長殤從成人也長殤有送葬車者則棺載之矣史佚成王時賢史也賢猶有所不知○佚音逸長丁丈反下同則棺古患反下文棺斂衣棺注棺謂皆同
召公謂之曰何以不棺斂於宫中	欲其斂於宮中如成人也斂於宫中則葬當載之○召本又作邵同上照反下同
史佚曰吾敢乎哉	畏知礼也
召公言於周公	爲史佚問○爲于僞反下爲辟下文有爲並同
周公曰豈不可	言是豈於礼不可不許也○周公曰豈絶句言是豈絶句於礼不可絶句
史佚行之	失指以爲許也遂用召公之言
下殤用棺衣棺自史佚始也	棺謂歛於棺
○曽子問曰卿大夫將爲尸於公受宿矣而有齊衰内䘮則如之何孔子曰出舎於公館以待事禮也	吉凶不可以同処○処昌慮反
孔子曰尸弁冕而出	爲君尸或弁者先祖或有爲大夫士者
卿大夫士皆下之	見而下車
尸必式	小俛礼之
必有前驅	爲辟道○辟婢亦反重言尸必式三一見曲礼上一見雜記上
○子夏問曰三年之䘮卒哭金革之事無辟也者禮與𥘉有司與	疑有司𥘉使之然○辟音避下同与音餘下皆同
孔子曰夏后氏三年之䘮旣殯而致事殷人旣葬而致事	致事還其聀位於君則卒哭而致事
記曰君子不奪人之親亦不可奪親也此之謂乎	二者恕也孝也重意君子不奪人之親亦不可奪親也雜記下二十二服問二十六君子不奪人之䘮亦不奪䘮也文王丗子不奪人親也
子夏曰金革之事無辟也者非與	疑礼當有然
孔子曰吾聞諸老聃曰昔者魯公伯禽有爲爲之也	伯禽周公子封於鲁有徐戎作難䘮卒哭而征之急玉事也征之作費誓○難乃旦反費音秘
今以三年之䘮從其利者吾弗知也	時多攻取之兵言非礼也
