肴户交反
是故學然後知不足教然後知困	斈則暏巳行之所矩教則見巳道之所未逹○暏丁古反行下孟反下注德行同
時過然後學則勤苦而難成	時過則思放也○過胡卧反
雜施而不孫則壞亂而不脩	小者不逹大者難識斈者所惑也○壞音恠徐胡拜反
獨學而無友則孤陋而寡聞	不相觀也
燕朋逆其師	燕猶䙝也䙝其朋友○燕音鷰䙝息列反下同
燕辟廢其學	䙝師之譬喻○辟音譬注及下罕辟同
此六者教之所由廢也	廢㓕
君子旣知教之所由興又知教之所由廢然後可以爲人師也故君子之教喻也道而弗牽強而弗抑開而弗逹	道示之以道塗也抑猶推也開爲發頭角○道音導注道示及下同強沈其良反徐其兩反下同爲于僞反下爲斈者同
道而弗牽則和強而弗抑則易開而弗逹則思和易以思可謂善喻矣	思而得之則深
學者有四失教者必知之人之學也或失則多或失則寡或失則易或失則止此四者心之莫同也	失於多謂才少者失於寡謂才多者失於易謂好問不識者失於止謂好思不問者○好呼报反下好思好述同
知其心然後能救其失也	救其失者多与易則抑之寡与止則進之
教也者長善而救其失者也善歌者使人繼其聲善教者使人繼其志	言爲之善者則後人楽放傚○長丁丈反下文及注同教如字一本作斈胡孝反放方往反傚胡教反
其言也約而逹微而臧罕譬而喻可謂繼志矣	師說之明則弟子好述之其言少而解臧善也○臧子郎反解胡買反下文注同
君子知至學之難易而知其美惡然後能博喻能博喻然後能爲師能爲師然後能爲長能爲長然後能爲君	美惡說之是非也長逹官之長○惡烏路反又如字
故師也者所以學爲君也	弟子斈於師斈爲君
是故擇師不可不慎也	師善則善
記曰三王四代唯其師此之謂乎	四代虞夏殷周
凡學之道嚴師爲難	嚴尊敬也
師嚴然後道尊道尊然後民知敬學是故君之所不臣於其臣者二當其爲尸則弗臣也當其爲師則弗臣也	尸主也爲祭主也
大學之禮雖詔於天子無北面所以尊師也	尊師重道焉不使処臣位也武王踐阼召師尚父而問焉曰昔黄帝顓頊之道存乎意亦忽不可得見与師尚父曰在丹書王欲聞之則斉矣王斉三日端冕師尚父亦端冕奉書而入負屏而立王下堂南靣而立師尚父曰先王之道不北靣王行西折而南東靣而立師尚父西靣道書之言〇顓音專頊許玉反与音餘斉側皆反下同奉芳勇反折之設反
善學者師逸而功倍又從而庸之不善學者師勤而功半又從而怨之	從隨也庸功也功之受其道有功於巳
善問者如攻堅木先其易者後其節目及其乆也相說以解不善問者反此	言先易後難以漸入○說音悅
善待問者如撞鍾叩之以小者則小鳴叩之以大者則大鳴待其從容然後盡其聲不善荅問者反此	從讀如冨父舂戈之舂舂容謂重撞擊也始者一声而已斈者旣開其端意進而復問乃極說之如撞鍾之成声矣從或爲松○撞丈江反叩音口從依注讀爲春式容反父音甫重直用反復扶又反
此皆進學之道也	此皆善問善荅也
記問之學不足以爲人師	記問謂豫誦雜難雜說至講時爲斈者論之此或時師不心解或斈者所未能問○難乃旦反
必也其聽語乎	必待其問乃說之
力不能問然後語之語之而不知雖舎之可也	舎之湏後○語魚據反下同舎音捨又如字注下同
良冶之子必學爲裘	仍見其家錮𥙷穿鑿之器也𥙷器者其金柔乃合有似於爲裘○冶音也錮音固穿字又作䆤音川鑿在洛反
良弓之子必學爲箕	仍見其家撓角幹也撓角幹者其材冝調調乃三躰相勝有似於爲楊桞之箕○箕音基注同撓而小反下同曲屈也一音乃孝反幹古旦反勝音升任也一本作称尺證反
始駕馬者反之車在馬前	以言仍見則貫即事易也○始駕者一本作始駕馬者貫古患反習也
君子察於此三者可以有志於學矣	仍讀先王之道則爲來事不惑
古之學者比物醜類	以事相况而爲之醜猶比也醜或爲計
鼔無當於五聲五聲弗得不和水無當於五色五色弗得不章學無當於五官五官弗得不治師無當於五服五服弗得不親	當猶主也五服斬衰至緦麻之親○當丁浪反主也下及注皆同治直吏反
君子曰大德不官	謂君也
大道不器	謂聖人之道不如器施於一物
大信不約	謂若胥命于蒲无盟約○約徐於妙反沈於畧反注同
大時不齊	或時以生或時以死○斉如字
察於此四者可以有志於本矣	本立而道生言以斈爲本則其德於民无不化於俗无不成
三王之祭川也皆先河而後海或源也或委也此之謂務本	源泉所岀也委流所聚也始岀一勺卒成不測○源本又作原委於僞反注同勺時酌反
