郊特牲第十一	○陸曰鄭云以其記祭天用騂犢之義也郊者祭夫之名用牛故曰特牲
大夫有獻弗親君有賜不面拜爲君之荅巳也	不面拜者於外告小臣小臣受以入也小臣掌三公及孤卿之復逆也
○郷人禓	禓強鬼也謂時儺索室毆疫逐強鬼也禓或爲献或爲儺○禓音傷鬼名也強其文反難乃多反下同本又作儺索色百反下文注皆同歐字又作驅同起居反
孔子朝服立于阼存室神也	神依人也
互註	語郷黨篇郷人儺朝服而立于阼階
孔子曰射之以樂也何以聽何以射	多其射容與樂節相應也重言何以聽何以射二一見射義四十六篇
孔子曰士使之射不能則辭以疾縣弧之義也	男子生而設弧於門左示有射道而未能也女子設􁉄○弧音胡􁉄始銳反
○孔子曰三日齊一日用之猶恐不敬二日伐鼔何居	居讀爲姬語之助也何居怪之也伐猶擊也齊者上樂而二日擊鼔則是成一日齊也○齊本又作齊同側皆反後放此何居音姬重言何居三檀弓上二
孔子曰繹之於庫門内祊之於東方朝市之於西方失之矣	祊之禮冝於廟門外之西室繹又於其堂神位在西也此二者同時而大名曰繹其祭禮簡而事尸禮大朝市冝於市之東偏周禮市有三期大市日側而市百族爲主朝市朝時而市啇賈爲主夕市夕時而市販夫販婦爲主○繹音亦祊百彭反賈音古販甫萬反
○社祭土而主隂氣也君南郷於北墉下荅隂之義也	牆謂之墉北墉社内北牆○庸本亦作墉音容
日用甲用日之始也	國中之神莫貴於社
天子大社必受霜露風雨以逹天地之氣也	大社王爲羣姓所立○大音太下文注大社大陽大廟大古大王皆同爲于僞反下文爲社爲焚皆同
是故䘮國之社屋之不受天陽也薄社北牖使隂明也	絶其陽通其隂而巳薄社殷之社殷始都薄○䘮息浪反薄本又作毫歩各反牖音酉
社所以神地之道也地載萬物天垂象取財於地取法於天是以尊天而親地也故教民美報焉家主中􁆤而國主社示本也	中􁆤亦土神也重言天垂象二下文一取財於地取法於天三年問篇上取象於天下取法於地
唯爲社事單出里唯爲社田國人畢作唯社丘乗共粢盛所以報本反始也	單出里皆往祭社於都鄙二十五家爲里畢作人則盡行非徒羡也丘十六井也四丘六十四井曰甸或謂之乗乗者以於車賦岀長轂一乗乗或爲鄰○乗時證反注同又徒徧反共音恭粢音資甸徒練反又䋲證反重意下文大報本反始也
○季春岀火爲焚也	謂焚萊也凡出火以火出建辰之月火始出
然後簡其車賦而歷其卒伍而君親誓社以習軍旅左之右之坐之起之以觀其習變也	簡歷謂算具陳列之也君親誓社誓吏士以習軍旅旣而遂田以祭社也言祭社則此是仲春之禮也仲春以火田田止弊火然後献禽至季春火出而民乃用火今云季春出火乃誓社記者誤也社或爲省○卒祖忽反算思管反省思淺反
而流示之禽而鹽諸利以觀其不犯命也	流猶行也行行田也鹽讀爲艶行田示之以禽使歆艶之觀其用命不也謂禽爲利者凡田大獸公之小禽私之○鹽依注音艶行行上如字下及下行田皆下孟反歆許金反
求服其志不貪其得	失伍而獲猶爲犯命
故以戰則克以祭則受福	重意禮器我戰則克祭則受福
○天子適四方先柴	所到必先燔柴有事於上帝也書曰歳二月東廵守至于岱宗柴○燔音煩守手又反岱音代
○郊之祭也迎長日之至也	易說曰三王之郊一用夏正夏正建寅之月也此言長日者建卯而晝夜分分而日長也○正音征下同重言郊之祭也互見下文
大報天而主日也	大猶徧也天之神日爲尊○徧音遍○重意祭義十四郊之祭大報天而主日
兆於南郊就陽位也	日太陽之精也
掃地而祭於其質也器用陶匏以象天地之性也	觀天下之物無可以稱其德○稱尺證反重言掃地而祭四一見篇末一見礼器十篇一見樂記十九○器用陶匏二篇末
於郊故謂之郊牲用騂尚赤也用犢貴誠也	尚赤者周也○騂息營反徐呼營反重言牲用騂二檀弓上一祭法二十三篇牲用犢
郊之用辛也周之始郊日以至	言日以周郊天之月而至陽氣新用事順之而用辛日此說非也郊天之月而日至魯礼也三王之郊一用夏正魯以无冬至祭天於圎丘之事是以建子之月郊天示先有事也用辛日者凡爲人君當斉戒自新耳周衰礼廢儒者見周礼尽在魯因推魯礼以言周事○圜本又作圎音貟凡爲如字或于僞反非也
卜郊受命于祖廟作龜于禰宫尊祖親考之義也	受命謂告之退而卜
卜之日王立于澤親聽誓命受教諌之義也	澤澤宮也所以擇賢之宫也旣卜必到澤宫擇可與祭祀者因誓勑之以礼也礼器曰㪯賢而置之聚衆而誓之是也○可與如字一音預
獻命庫門之内戒百官也大廟之命戒百姓也	王自澤宫而還以誓命重相申勑也庫門在雉門之外入庫門則至廟門外矣大廟者祖廟也百官公卿以下也百姓王之親也入廟戒親親也王自此還斉路寢之室庫或爲廏○還音旋下同重直用反廏九又反
祭之日王皮弁以聽祭報示民嚴上也	報猶白也夙㒷朝服以待白祭事者乃後服祭服而行事也周礼祭之日小宗伯逆粢省鑊告時于王告備于王也○鑊戸郭反
䘮者不哭不敢凶服汜埽反道郷爲田燭	謂郊道之民爲之也反道剗令新土在上也田燭田首爲燭也〇汜芳劔反本亦作汎埽素報反剗𥘉産反徐又𥘉展反令力呈反
弗命而民聽上	化王嚴上
祭之日王𬒳衮以象天	謂有日月星辰之章此魯礼也周礼王祀昊天上帝則服大裘而冕祀五帝亦如之魯侯之服自衮冕而下也○𬒳皮義反卷本又作衮同古本反注卷冕同冕亡展反字林亡辨反
戴冕璪十有二旒則天數也	天之大数不過十二○載丁代反本亦作戴璪音早過古禾反重意璪有二旒礼器玉藻篇藻十有二旒
十乗素車貴其質也旂十有二旒龍章而設日月以象天也	設日月畫於旂上素車殷路也魯公之郊用殷礼也重言貴其質也三一見下文一見郷飲酒四十四○旂十有二旒一見明堂十四龍章而設日月明堂篇日月之章
天垂象聖人則之郊所以明天道也	明謂則之以示人也
互註	易係辝天垂象見吉凶聖人象之河出圖洛出書聖人則之
帝牛不吉以爲稷牛	養牲必養二也
帝牛必在滌三月稷牛唯具所以别事天神與人鬼也	滌牢中所度除處也唯具遭時又選可用也○滌范音迪徐徒嘯反别彼列反所捜本又作痩所流反処昌慮反下之処同處皆同
萬物本乎天人本乎祖此所以配上帝也	言俱不可以配
郊之祭也大報本反始也	重言郊之祭也大報本反始也重見上文
○天子大蜡八	所祭有八神也○蜡八仕詐反蜡祭有八神先嗇一司嗇二農三郵表畷四貓虎五坊六水庸七昆蟲八
伊耆氏始爲蜡	伊耆氏古天子號也○耆巨夷反或云即帝堯是也
蜡也者索也	謂求索也
嵗十二月合聚萬物而索饗之也	嵗十二月周之正数謂建亥之月也饗者祭其神也萬物有功加於民者神使爲之也祭之以報焉造者配之也
蜡之祭也主先嗇而祭司嗇也	先嗇若神農者司嗇后稷是也
祭百種以報嗇也	嗇所樹蓺之功使尽饗之○種之勇反下之種也同
饗農及郵表畷禽獸仁之至義之盡也	農田畯也郵表畷謂田畯所以督約百姓於井間之處也詩云爲下國畷郵禽獸服不氏所教優猛獸也○郵本亦作尤有周反字或作卸畷丁劣反又丁衛反畯音俊督約因妙反優而沼反馴也重言仁之至義之尽也二一見下文
古之君子使之必報之迎貓爲其食田䑕也迎虎爲其食田豕也迎而祭之也	迎其神也○猫字又作貓音苗爲于僞反下同
祭坊與水庸事也	水庸溝也○坊音房後注同
曰士反其宅水歸其壑昆蟲母作草木歸其澤	此蜡祝辝也若辝同則祭同處可知矣壑猶坑也昆蟲暑生寒死螟螽之屬爲害者也○壑火各反祝之六反又之又反坑苦衡反螟莫經反螽音終
皮弁素服而祭素服以送終也葛帶榛杖䘮殺也蜡之祭仁之至義之盡也	送終䘮殺所謂老物也素服衣裳皆素○搸杖側巾反以榛木爲杖也殺所界反徐所例反注及下德之殺並同
黃衣黃冠而祭息田夫也	祭謂旣蜡臘先祖五祀也於是勞農以休息之論語曰黄衣狐裘○臘力合反勞力報反
野夫黃冠黃冠草服也	言祭以息民服象其時物之色季秋而草木黄落
大羅氏天子之掌鳥獸者也諸侯貢屬焉草笠而至尊野服也	諸侯於蜡使使者戴草笠貢鳥獸也詩云彼都人士臺笠緇撮又曰其餉伊黍其笠伊糾皆言野人之服也○笠音立使使上音史下及下使者皆色吏反撮七活反又七括反餉始尚反糾居黝反
羅氏致鹿與女而詔客告也以戒諸侯曰好田好女者亡其國	詔使者使歸以此告其君所以戒之○好呼報反下好女可好皆同
天子樹瓜華不歛藏之種也	華果蓏也又詔以天子樹瓜蓏而巳戒諸侯以蓄藏藴財利也○蓏力果反蓄丑六反又許六反藴於粉
反八蜡以記四方	四方方有祭也
四方年不順成八蜡不通以謹民財也	其方榖不孰則不通於蜡焉使民謹於用財蜡有八者先嗇一也司嗇二也農三也郵表畷四也貓虎五也坊八也水庸七也昆蟲八也
順成之方其蜡乃通以移民也	移之言羡也詩頌豊年曰爲酒爲醴烝畀祖妣以洽百礼此其羡之與○移以豉反注同羡才箭反又辝見反烝之承反卑必利反妣必履反與音餘
旣蜡而収民息已故旣蜡君子不興功	収謂収歛積聚也息民与蜡異則黄衣黄冠而祭爲臘必矣○旣蜡而収絶句積聚並如字徐上音兹賜反下才樹反
○恒豆之菹水草之和氣也其醢陸産之物也加豆陸産也其醢水物也	此謂諸侯也天子朝事之豆有昌本麋臡苑菹麏臡饋食之豆有葵菹蠃醢豚拍魚醢其餘則有雜錯云也○菹争居反醢音海䴢音眉臡字又作乃兮反字林作腝人兮反苑音夘又力首反麏九倫反蠃力戈反拍音博
籩豆之薦水土之品也不敢用常褻味而貴多品所以交於神明之義也非食味之道也	言礼以異爲敬○􁀔即見反又作薦同或作􁏰非重言所以交於神明之義也二一見本篇首
先王之薦可食也而不可耆也卷冕路車可陳也而不可好也武壯而不可樂也宗廟之威而不可安也宗廟之器可用也而不可便其利也所以交於神明者不可以同於所安樂之義也	武万舞也○耆市志反路本亦作輅音同樂皇音洛下同徐五孝反便婢靣反徐扶絹反重言所以交於神明者二下文一
酒醴之美玄酒明水之尚貴五味之本也黼黻文繡之美䟽布之尚反女功之始也莞簟之安而蒲越槀鞂之尚明之也大羮不和貴其質也大圭不琢美其質也丹􁇀雕幾之美素車之乗尊其樸也貴其質而巳矣所以交於神明者不可同於所安褻之甚也如是而后冝	尚質貴本其至如是乃得交於神明之冝也明水司烜以隂鑑所取於月之水也蒲越槀鞂藉神席也明之者神明之也琢當爲篆字之誤也幾謂􁇀飾沂鄂也○莞音官徐音丸簟大點反越音活注同槀又作藁古老反鞂簡八反徐古八反和胡卧反琢依注爲篆丈轉反雕多調反又作彫幾巨依反注同乗時證反撲普角反烜音毀鑑古暫反藉字夜反沂魚斤反鄂五各反重言大羮不和三一見礼器第十一見樂正十九○大圭不琢二一見礼器
鼎爼竒而籩豆偶隂陽之義也	牲陽也庶物隂也○竒居冝反重言二句重見篇首
黃目鬱氣之上尊也黃者中也目者氣之清明者也言酌於中而清明於外也	黄目黄彛也周所造於諸侯爲上也重意黄目欝氣之上尊也明堂篇周用黄目
祭天掃地而祭焉於其質而已矣醯醢之美而煎鹽之尚貴天産也割刀之用而鸞刀之貴貴其義也聲和而后斷也○冠義始冠之緇布之冠也	始冠三加先加緇布冠也○醯呼兮反本又作䤈同断丁乱反冠義古乱反下文注始冠冠而敝之而冠冠於阼冠而字之冠礼士礼冠皆同重意玉藻始冠緇布冠
大古冠布齊則緇之其緌也孔子曰吾未之聞也	太古無飾非時人緌也雜記曰大白緇布之冠不緌大白即太古白布冠今䘮冠也齊則緇之者鬼神尚幽闇也唐虞以上曰太古也○齊測皆反緌耳佳反上時掌反後以上皆同重意吾未之聞也檀弓上我未之聞也
冠而敝之可也	此重古而冠之耳三代改制齊冠不復用也以白布冠質以爲䘮冠也○敝本亦作弊婢丗反徐又房列反弃也復扶又反重言二一見玉藻十二篇
適子冠於阼以著代也	東序少北近主位也○適丁歷反近附近之近
醮於客位加有成也	毎加而有成人之道也成人則益尊醮於客位尊之也○醮子妙反
三加彌尊喻其志也	始加緇布冠次皮弁次爵弁冠益尊則志益大也
冠而字之敬其名也	重以未成人之時呼之重言以著代也三一見冠義四十三一見昏義四十四○冠於阼以著代也醮於客位加有成也三加弥尊冠而字之並重見冠義
委貌周道也章甫殷道也母追夏后氏之道也	常所服以行道之冠也或謂委貌爲玄冠也○母追上音牟下多雷反
周弁殷􁇥夏収	齊所服而祭也○冔况甫反字林作火于反
三王共皮弁素積	所不易於先代○重意祭義君皮弁素積
無大夫冠禮而有其昏禮古者五十而后爵何大夫冠禮之有	言年五十乃爵爲大夫也其有昏礼或改取也
諸侯之有冠禮夏之末造也	言夏𥘉以上諸侯雖有幼而即位者猶以士礼冠之亦五十乃爵命也至其衰未末成人者多見篡弑乃更即位則爵命之以正君臣而有諸侯之冠礼〇篡𥘉患反弑音試
天子之元子士也天下無生而貴者也	諸君副主猶云士也明人有賢行著德乃得貴也○行下孟反下徳行同
繼丗以立諸侯象賢也	賢者子孫恒能法其先父徳行
以官爵人德之殺也	言德益厚官益尊也
死而謚今也古者生無爵死無謚	古謂殷以前也大夫以上乃謂之爵死有謚也周制爵及命士雖及之猶不謚耳今記時死則謚之非礼也
禮之所尊尊其義也	言礼所以尊尊其有義也
失其義陳其數祝史之事也故其數可陳也其義難知也知其義而敬守之天子之所以治天下也	言政之要盡於禮之義
○天地合而后萬物興焉	自禮之義
夫昏禮萬丗之始也取於異姓所以附逺厚别也	同姓或則多相褻也○取音娶本又作娶逺皇于萬反别兵列反下及注皆同重意取於異姓曲礼取妻不取同姓
幣必誠辭無不腆	誠信也腆猶善也○腆天典反
告之以直信	直猶正也此二者所以教婦正直信也
信事人也信婦德也	事猶立也○信事側吏反又如字注同
壹與之齊終身不改故夫死不嫁	齊謂共牢而食同尊卑也齊或爲醮
男子親迎男先於女剛柔之義也天先乎地君先乎臣其義一也	先謂倡道也○迎魚敬反先悉見反下及注同倡昌亮反道音導重言男先於女二重出昏義四十四○其義一也四篇首一樂記祭義各一
執摰以相見敬章別也	言不敢相䙝也摯所奠鴈也○贄音至本亦作摯
男女有别然後父子親父子親然後義生義生然後禮作禮作然後萬物安	言人倫有別則氣性醇也重言男女有別四大傳䘮服小記昏義各一
無別無義禽獸之道也	言聚麀之乱類也○麀音憂
壻親御授綏親之也親之也者親之也	言已親之所以使之親已重意壻親御授綏昏義御婦車壻受綏重言親之也親之也音親之也一一一見哀公問二十七篇
敬而親之先王之所以得天下也	先王若太王文王
出乎大門而先男帥女女從男夫婦之義由此始也	先者車居前也○出乎大門而先如字絶句又悉遍反
婦人從人者也㓜從父兄嫁從夫夫死從子	從謂順其教令
夫也者夫也夫也者以知帥人者也	夫之言丈夫也夫或爲傅○知音智
玄冕齊戒鬼神隂陽也將以爲社稷主爲先祖後而可以不致敬乎	玄冕祭服也隂陽謂夫婦也
共牢而食同尊卑也故婦人無爵從夫之爵坐以夫之齒	爵謂夫命爲大夫則妻爲命婦○重言共牢而食同尊卑也二一見昏義四十四
器用陶匏尚禮然也	此謂大古之禮器也
三王作牢用陶匏	言大古無共牢之禮三王之丗作之而用大古之器重夫婦之始也
厥明婦盥饋舅姑卒食婦餕餘私之也	私之猶言恩也〇盥音管饋其位反一本無婦盥饋三字餕音俊
舅姑降自西階婦降自阼階授之室也	明當爲家事之主也重言舅姑降自西階婦降自阼階二一見昏義有先字
昏禮不用樂幽隂之義也樂陽氣也	幽深也欲使婦深思其義不以陽散之也重意昏禮不用樂曽子問士取婦之家三日不㪯樂檀弓上忌日不樂祭統篇齊者不樂
昏禮不賀人之序也	序猶代也
有虞氏之祭也尚用氣血腥爓祭用氣也	尚謂先薦之爓或爲䐲○䐲直輒反
殷人尚聲臭味未成滌蕩其聲樂三闋然後出迎牲聲音之號所以詔告於天地之間也	滌蕩猶揺動也○滌音狄徐又同弔反三如字徐息暫反
周人尚臭灌用鬯臭鬰合鬯臭隂逹於淵泉灌以圭璋用玉氣也旣灌然後迎牲致隂氣也蕭合黍稷臭陽逹於牆屋故旣奠然後􁃚蕭合羶薌	灌謂以圭瓉酌鬯始獻神也巳乃迎牲於庭殺之天子諸侯之礼也奠謂薦孰時也特牲饋食所云祝酌奠于鉶南是也䔥薌蒿也染以脂合黍稷燒之詩云取䔥祭脂羶當爲馨声之誤也奠或爲薦○灌用鬯臭絶句庾以鬯字絶句鬰字又作鬰同合鬯絶句􁃚䔥如恱反下音簘合如字徐音閤羶依注音馨許經反薌音香瓉在旦反鉶音刑蒿呼毛反染如琰反羶當失然反
凡祭慎諸此魂氣歸于天形魄歸于地故祭求諸隂陽之義也殷人先求諸陽周人先求諸隂	此其所以先後異也
詔祝於室坐尸於堂	謂朝事時也朝事延尸于户西南靣布主席東靣取牲膟膋燎于爐炭先肝于鬰鬯而燔之入以詔神於室又出以墮于主主人親制其肝所謂制祭也時尸薦以籩豆至薦孰乃更延主于室之奥尸來升席自北方坐于主北焉○祝之六反下及注並同又之又反膟音律膋力彫反燎力妙反又力吊反下文同爐音盧墮許恚反或許垂反奥烏報反重言詔祝於室二一見祭統二十四
用牲於庭	謂殺之時
升首於室	制祭之後升牲首於此墉下尊首尚氣也○墉音容
直祭祝于主	謂薦孰時也如特牲少牢饋食之爲也直正也祭以孰爲正則血腥之屬盡敬心耳
索祭祝于祊	索求神也廟門曰祊謂之祊者以於繹祭名也
不知神之所在於彼乎於此乎	室與堂與○室與堂與並音餘下逺者與同本作室与堂也与則如字讀重言於彼乎於此乎重見礼器篇
或諸逺人乎祭于祊尚曰求諸逺者與	尚庶幾也○逺人徐于万反
祊之爲言倞也	倞猶索也倞或爲諒○倞音亮
肵之爲言敬也	爲尸有肵爼此訓也○肵音祈爲尸于僞反
冨也者福也	人君嘏辝有冨此訓之也或曰福也者備也○嘏古雅反
首也者直也	訓所以升首祭也直或爲犆也犆徒得反
相饗之也	相謂詔侑也詔侑尸者欲使饗此饌也特牲饋食禮曰主人拜妥尸尸荅拜執奠祝饗○相息亮反生及下之相并注同侑音又妥他果反
嘏長也大也	主人受祭福曰嘏此訓也○長直良反徐知兩反
尸陳也	尸或詁爲主此尸神象當從主訓之言陳非也○詁音古
毛血告幽全之物也	幽謂血也
告幽全之物者貴純之道也	純謂中外皆善
血祭盛氣也祭肺肝心貴氣主也	氣主氣之所舎也周祭肺殷祭肝夏祭心
祭黍稷加肺祭齊加明水報隂也	祭黍稷加肺謂綏祭也明水司烜所取於月之水也齊五齊也五齊加明水則三酒加玄酒也○齊才細反注及下說齊并注同綏許恚反
取膟膋燔燎升首報陽也	膟膋腸間脂也與蕭合燒之亦有黍稷也
明水涗齊貴新也	涗猶清也五齊濁泲之使清謂之涗齊及取明水皆貴新也周禮㡛氏以涗水區絲涗齊或爲汎齊○說齊始銳反字又作涗泲子礼反下同㡛莫剛反漚烏豆反汎本又作泛同
凡涗新之也	新之者敬也
其謂之明水也由主人之絜著此水也	著猶成也言主人齊絜此水乃成可得也○齊側皆反篇未又注同
○君再拜稽首肉袒親割敬之至也敬之至也服也拜服也稽首服之甚也肉袒服之盡也	割解牲躰重言敬之至也九二見本篇一見礼器五見祭義二十四篇一見聘義四十八篇
祭稱孝孫孝子以其義稱也	謂事祖禰重言祭稱孝子孝孫二一見雜記上二十篇
稱曽孫某謂國家也	謂諸侯事五廟也於曽祖以上稱曽孫而巳
祭祀之相主人自致其敬盡其嘉而無與譲也	相謂詔侑尸也嘉善也
腥肆爓腍祭豈知神之所饗也主人自盡其敬而巳矣	治肉曰肆腍孰也爓或爲䐲○肆勑歷反注同腍而審反䐲直輒反
舉斝角詔妥尸古者尸無事則立有事而后坐也尸神象也祝將命也	妥安坐也尸始入舉奠斝若奠角將祭之祝則詔主人拜安尸使之坐尸
隂幽思也故君子三日齊必見其所祭者	齊三日者思其居処思其笑語思其志意思其所樂則見之也
