文王丗子第八	○陸曰文王周文王昌也鄭云以其善爲丗子之礼故著謚號標篇言可法也
周公相踐阼而治	踐履也代成王履阼階攝王位治天下也〇相息亮反治徐直吏反下注治定同一音如字重意周公相踐阼而治下文踐祚而治明堂篇周公踐天子之位以治天下
抗丗子法於伯禽欲令成王之知父子君臣長㓜之道也	抗猶舉也謂舉以丗子之法使與成王居而斈之○抗苦浪反長丁丈反後皆同重言抗丗子法於伯禽三重見下文〇欲令成王之知父子君臣長㓜之道也下文一道作義字又云欲其知父子君臣之道也
成王有過則撻伯禽所以示成王丗子之道也	以成王之過擊伯禽則足以感喻焉〇撻他逹反擊也
文子之爲丗子也	題上事
○凡學丗子及學士必時	四時各有冝斈士謂司徒論俊選所升於學者○學户教反教也下小樂正斈干籥師斈戈斈无舞戚同選息戀反後同
春夏學干戈秋冬學羽籥皆於東序	干盾也戈句矛㦸也干戈萬舞象武也用動作之時斈之羽籥籥舞象文也用安静之時斈之詩云左手執籥右手秉翟○夏户嫁反下放此籥羊灼反楯人凖反又音尹句古侯反翟大曆反重意王制春秋教以禮樂冬夏教以詩書
小樂正學干大胥賛之籥師學戈籥師丞賛之	四人皆樂官之属也通職秋冬亦學以羽籥小樂正樂師也周禮樂師掌國學之政教國子小舞大胥掌斈士之版以待教諸子春入斈舎菜合舞秋頒斈合声籥師掌教國子舞羽吹籥○大如字又音㤗胥息余反又息吕反注皆放此版音板本又作板舎菜音釋後舎菜同頒音班
胥鼔南	南南夷之樂也胥掌以六樂之㑹正舞位旄人教夷樂則以鼔節之詩云以雅以南以籥不僣○旄音毛僣七尋反又子念反
春誦夏弦大師詔之瞽宗秋學禮執禮者詔之冬讀書典書者詔之禮在瞽宗書在上庠	誦謂歌樂也弦謂以絲播詩陽用事則學之以声隂用事則學之以事因時順氣於功易成也周立三代之斈斈書於有虞氏之斈典謨之教所興也斈舞於夏后氏之斈文武中也斈禮樂於殷氏之斈功成治定与巳同也○大音太下文注大樂正大斈大傅大祖大寢皆同瞽音古瞽宗殷斈名庠音詳上庠虞斈名播波我反易以豉反
○凡祭與養老乞言合語之禮皆小樂正詔之於東序	斈以三者之威儀也養老乞言養老人之賢者因從乞善言可行者也合語謂郷射郷飲酒大射燕射之属也郷射記曰古者於旅也語○合如字徐音閤注同下大合樂放此重意與養老乞言王制内則云凡三王養老皆乞言
大樂正學舞干戚語說命乞言皆大樂正授數	斈以三者之義也慼斧也語說合語之說也数篇数○說如字徐始銳反注語說同
大司成論說在東序	論說課其義之深淺才能優劣此云樂正司業父師司成則大司成司徒之属師氏也師氏掌以美詔王教國子以三德三行及國中失之事也○論力門反徐力頓反注同行下孟反下文德行同
凡侍坐於大司成者逺近間三席可以問	間猶容也容三席則得指畫相分别也席之制廣三尺三寸三分則是所謂函文也○坐才卧反又如字逺近間並如字間猶容也注同徐古辨反同畫乎麥反別彼列反廣古曠反又如字三寸一本作廣三尺三寸三分函胡南反
終則負牆	郤就後席相辟○辟音避下辟君同重意夫子間居負牆而立
列事未盡不問	錯尊者之語不敬也
○凡學春官釋奠于其先師秋冬亦如之	官謂禮樂詩書之官周禮曰凡有有道者有德者使教焉死則以爲樂相祭於瞽宗此此之謂先師之類也若漢禮有髙堂生樂有制氏詩有毛公書有伏生億可以爲之也不言夏夏從春可知也釋奠者設薦饌酌奠而巳無迎尸以下之事○億本又作噫音抑
凡始立學者必釋奠于先聖先師及行事必以幣	謂天子命之教始立斈官者也先聖周公若孔子
凡釋奠者必有合也	國無先聖先師則所釋奠者當與鄰國合也
有國故則否	若唐虞有夔伯夷周有周公鲁有孔子則各自奠之不合也〇夔求龜反
○凡大合樂必遂養老	大合樂謂春入斈舎菜合舞秋頒斈合声於是時也天子則視斈焉遂養老者謂用其明日也郷飲酒郷射之禮明日乃息司正徴唯所欲以告於先生君子可也是養老之象類
凡語于郊者	語謂論說於郊斈
必取賢斂才焉或以德進或以事舉或以言揚	大樂正論造士之秀者升諸司馬曰進士謂此矣
曲藝皆誓之	曲藝爲小技能也誓謹也皆使謹習其事○技其彼反
以待又語	又語爲後復論說也○復扶又反
三而一有焉	三說之中有一善則取之以有曲藝不必盡善
乃進其等	進於衆斈者
以其序	又以其藝爲次
謂之郊人逺之	俟事官之缺者以代之逺之者不曰俊選曰郊人賤技藝○逺于萬反注同
於成均以及取爵於上尊也	董仲舒曰五帝名大斈曰成均則虞庠近是也天子飲酒于虞庠則郊人亦得酌于上尊以相旅○近附近之近
○始立學者旣興器用幣	興當爲釁字之誤也禮樂之器成則釁之又用幣告先聖先師以器成〇興依注爲釁音虚覲反
然後釋菜	告先聖先師以器成有時將用也○重意月令入斈釋菜
不舞不授器	釋菜禮輕也釋奠則舞舞則授器司馬之属司兵司戈司盾祭祀授舞者兵也
乃退儐于東序一獻無介語可也	言乃退者謂得立三代之斈者釋菜于虞庠則儐賔于東序魯之斈有米廩東序瞽宗也○儐必刄反本亦作擯注同介如字下注同副也廩力甚反
教丗子	亦題上事
○凡三王教丗子必以禮樂樂所以脩内也禮所以脩外也禮樂交錯於中發形於外是故其成也懌恭敬而温文	中心中也懌說擇○擇音亦重意樂所以修内也礼所以修外也樂記十九祭義二十四云樂也者動於内者也礼也者動於外者也
立大傳少傳以養之欲其知父子君臣之道也	養猶教也言養者積浸成長之○少傳詩照反下音賦後同浸子鴆反重言欲其知父子君臣之道也見上文
大傳審父子君臣之道以示之	謂爲之行其礼○爲于僞反下爲說其爲君皆同
少傳奉丗子以觀大傳之德行而審喻之	爲說其義
大傳在前少傳在後	謂其在斈時
入則有保出則有師	謂燕居出入時
是以教喻而德成也	以有四人維持之
師也者教之以事而喻諸德者也保也者慎其身以輔翼之而歸諸道者也	慎其身者謹安護之
記曰虞夏商周有師保有疑丞	記所云謂天子也取以成說
設四輔及三公不必備唯其人語使能也	語言也得能則用之无則巳不必備其官也小人処其位不如且闕
君子曰德德成而教尊教尊而官正官正而國治君之謂也仲尼曰昔者周公攝政踐阼而治抗丗子法於伯禽所以善成王也聞之曰爲人臣者殺其身有益於君則爲之况于其身以善其君乎周公優爲之	聞之者聞之於古也于讀爲迂迂猶廣也大也○治直吏反下而治囯治並同于依注作迂音同又音紆重言踐祚而治二前見萹首○抗丗子法於伯禽三上文一下文一
是故知爲人子然後可以爲人父知爲人臣然後可以爲人君知事人然後能使人成王㓜不能涖阼以爲丗子則無爲也	以爲丗子若爲丗子時
是故抗丗子法於伯禽使之與成王居	亦斈此礼於成王側
欲令成王之知父子君臣長㓜之義也君之於丗子也親則父也尊則君也有父之親有君之尊然後兼天下而有之是故養丗子不可不慎也	処君父之位覧海内之士而近不能教其子則其餘不足觀矣○令力呈反重言欲令成王之知父子君臣長㓜之義也重見篇首義字作道
行一物而三善皆得者唯丗子而巳其齒於斈之謂也	物猶事也
故丗子齒於學國人觀之曰將君我而與我齒讓何也曰有父在則禮然然而衆知父子之道矣其二曰將君我而與我齒讓何也曰有君在則禮然然而衆著於君臣之義也其三曰將君我而與我齒讓何也曰長長也然而衆知長㓜之節矣故父在斯爲子君在斯謂之臣居子與臣之節所以尊君親親也故學之爲父子焉學之爲君臣焉學之爲長幼焉	斈教○斈音效下及注同重言長長也二一見大傳十六○所以尊君親親也大傳中庸親親也
父子君臣長㓜之道得而國治語曰樂正司業父師司成一有元良萬國以貞丗子之謂也	司主也一一人也元大也良善也貞正也
周公踐阼	亦題上事
○庶子之正於公族者教之以孝弟睦友子愛明父子之義長㓜之序	正者政也庶子司馬之属掌囯子之倅爲政於公族者○弟大計反又作悌下孝弟皆同倅七對反副也
其朝于公内朝則東靣北上臣有貴者以齒	内朝路寢庭○朝直遥反後不出者並同
其在外朝則以官司士爲之	外朝路寢門之外庭司士亦司馬之属也掌群臣之班正朝儀之位也
其在宗廟之中則如外朝之位宗人授事以爵以官	宗人掌礼及宗廟也以爵貴賤異位也以官官各有所掌也若司徒奉牛司馬奉羊司空奉豕
其登餕獻受爵則以上嗣	上嗣君之適長子以特牲饋食礼言之受爵謂上嗣㪯奠也献謂㪯奠洗爵酌入也餕謂宗人遣㪯奠盥祝命之餕也大夫之嗣无此礼辟君也〇餕音俊適丁歷反盥音管
庶子治之雖有三命不踰父兄	治之治公族之礼也唯於内朝則然其餘㑹聚之事則与庶姓同一命齒于郷里再命齒于父族三命不齒不齒者特爲位不在父兄行列中○行户剛反
其公大事則以其䘮服之精麤爲序雖於公族之䘮亦如之以次主人	大事謂死䘮也其爲君雖皆斬衰序之必以本親也主人主䘮者次主人者主人恒在上主人雖有父兄猶不得下齒之
若公與族燕則異姓爲賔	同宗無相賔客之道
膳宰爲主人	燕尊不献酒
公與父兄齒	親親也
族食丗降一等	親者稠䟽者希○稠直由反密也
○其在軍則守於公禰	謂從軍者公禰行主也行以迁主言禰在外親也
公若有岀疆之政	謂朝覲㑹同也○疆居良反
庶子以公族之無事者守於公宫正室守大廟	正室適子也大廟大祖之廟○守如字又手又反下同
諸父守貴宫貴室	謂守路寢○守貴室本或作守貴宫貴室
諸子諸孫守下宫下室	下宫親廟也下室燕寢或言宫或言廟通異語
○五廟之孫祖廟未毀雖爲庶人冠取妻必告死必赴練祥則告	赴告於君也實四廟孫而言五廟者容顯考爲始封子也○冠古乱反取七喻反後放此重言五廟之孫至死必赴五句三重見篇未
族之相爲也宜弔不弔宜免不免有司罰之	弔謂六丗以往免謂五丗○爲于僞反下爲君同免音問下及注同
至于賵􁎚承含皆有正焉	承讀爲贈声之誤也正正礼也○賵芳鳯反下同賵音附承音贈出注含胡暗反本又作含賵賵唅遂皆贈䘮之物也車馬曰賵布帛曰賵珠玉曰唅衣服曰禭緫謂之贈贈猶送也
公族其有死罪則磬于甸人	不於市朝者隱之也甸人掌郊野之官縣縊殺之曰磬○甸大遍反縣音玄縊一智反
其刑罪則纎剸亦告于甸人	纎讀爲殱殱刺也剸割也宫割臏墨劓刖皆以刀鋸刺割人躰也告讀爲鞠讀書用法曰鞠○纎依注音鍼之林反徐子廉反注本或作纖讀爲殱者是依徐音而改也剸之免反告依注作鞠乆六反刺七以反又七智反下同臏頻忍反徐扶忍反劓魚器反鋸徐音據
公族無宫刑	宫割淫刑重言二一見篇末
獄成有司讞于公其死罪則曰某之罪在大辟其刑罪則曰某之罪在小辟	成平也讞之言白也辟亦罪也○讞魚列反言也辟婢亦反後不音者放此
公曰宥之	宥寛也欲寛其罪出於刑也○宥音又
有司又曰在辟公又曰宥之	又復也○復扶又反下不復復自行皆同
有司又曰在辟及三宥不對走岀致刑于甸人	對荅也先者君毎言宥則荅之以將更寛之至於三罪定不復荅走往刑之爲君之恩無巳重意及三宥王制五云王三又
公又使人追之曰雖然必赦之有司對曰無及也	罪旣正不可宥乃欲赦之重刑殺其類也
反命于公	白巳刑殺
公素服不舉爲之變如其倫之䘮無服	素服於凶事爲吉於吉事爲凶非䘮服也君雖不服臣卿大夫死則皮弁錫衰以居往弔當事則弁絰於土盖疑衰同姓則緦衰以弔之今无服者不往弔也倫謂親䟽之比也素服亦皮弁矣○爲之于僞反下不爲服爲忝祖注非爲又爲之舞同比必利反
親哭之	不往弔爲位哭之而巳君於臣使有司哭之
○公族朝于内朝内親也雖有貴者以齒明父子也	謂以宗族事㑹
外朝以官體異姓也	躰猶連結也
○宗廟之中以爵爲位崇德也	崇髙也
宗人授事以官尊賢也	官各有能重言尊賢也一見中庸三十二篇祭義二十四教不伐以尊賢也
登餕受爵以上嗣尊祖之道也	上嗣祖之正統重意大傳十六篇尊祖之義也
䘮紀以服之輕重爲序不奪人親也	紀猶事也重意曽子問弟七君子不奪人之親
公與族燕則以齒而孝弟之道逹矣	以至尊不自異於親之列
其族食丗降一等親親之殺也	殺差也○殺色戒反徐所例反差玄佳反徐𥘉冝反
戰則守於公禰孝愛之深也	行主君父之象
正室守大廟尊宗室而君臣之道著矣	以其不敢以庶守君所重
諸父諸兄守貴室子弟守下室而讓道逹矣	以其貴者守貴賤者守賤上言父子孫此言兄弟互相備也
○五廟之孫祖廟未毀雖及庶人冠取妻必告死必赴不忘親也親未絶而列於庶人賤無能也敬弔臨􁎚賵睦友之道也古者庶子之官治而邦國有倫邦國有倫而衆郷方矣	郷方言知所鄉○臨如字徐力鴆反治直吏反郷許亮反注同
公族之罪雖親不以犯有司正術也所以體百姓也	犯猶干也術法也○百姓本或作異姓非
刑于隱者不與國人慮兄弟也弗弔弗爲服哭于異姓之廟爲忝祖逺之也素服居外不聽樂私䘮之也骨肉之親無絶也公族無宫刑不翦其類也	翦割截也○逺于万反
○天子視學大昕鼔徵所以警衆也	早昩爽擊鼓以召衆也警猶起也周礼凡用樂大胥以鼔徴斈士○昕音欣說文云旦明日將出也讀若希警音景
衆至然後天子至乃命有司行事興秩節祭先師先聖焉	㒷猶㪯也秩常也莭猶礼也使有司攝其事㪯常礼祭先師先聖不親祭之者視斈觀礼耳非爲彼報也
有司卒事反命	告祭畢也祭畢天子乃入
始之養也	又之養老之處凡大合樂必遂養老是以往焉言始始立斈也○養如字徐羊尚反後皆依徐音處昌慮反下同
適東序釋奠於先老	親奠之者巳所有事也養老東序則是視斈於上庠
遂設三老五更羣老之席位焉	三老五更各一人也皆年老更事致仕者也天子以父兄養之示天下之孝弟也名以三五者取象三辰五星天所因以照明天下者群老無数其礼亡以郷飲酒礼言之席位之處則三老如賔五更如介羣老如衆賔必也○更江衡反注同蔡作叟素口反
適饌省醴養老之珍具	親視其所有
遂發咏焉退脩之以孝養也	發咏謂以樂納之退脩之謂旣迎而入献之以醴献畢而樂闋○咏音詠闋苦穴反終也
反登歌清廟	反謂献羣老畢皆升就席也反就席乃席立於西階上歌清廟以樂之○樂音洛重意明堂十四仲尼燕居二十七升歌倩庿
旣歌而語以成之也言父子君臣長㓜之道合德音之致禮之大者也	旣歌謂樂正告正歌備也語談說也歌備而旅旅而說父子君臣長㓜之道說合樂之所美以成其意鄉射記曰古者於旅也語
下管象舞大武大合衆以事逹有神興有德也	象周武王伐紂之樂也以管播其声又爲之舞皆於堂下衆謂所合學士也逹有神明天授命周家之有神也興有徳美文王武王有徳師樂爲用前歌後舞○重言下管象舞大武三明堂祭義各一
正君臣之位貴賤之等焉而上下之義行矣	由淸庿與武也
有司告以樂闋	闋終也告君以歌舞之樂終此所告者謂無筭樂
王乃命公侯伯子男及羣吏曰反養老㓜于東序終之以仁也	羣吏郷遂之官王於燕之末而命諸侯時朝㑹在此者各反養老如此禮是終其仁心孝經說所謂諸侯歸各帥於國大夫勤於朝州里􁄵於邑是也○􁄵皇音兾及也本又作愷又作駿駿亦作驥
○是故聖人之記事也慮之以大	謂先本於孝弟之道
愛之以敬	謂省其所以養老之具
行之以禮	謂親迎之如見父兄
脩之以孝養	謂親献之薦之
紀之以義	謂旣歌而語之
終之以仁	謂又以命諸侯歸於國復自行之
○是故古之人一舉事而衆皆知其德之備也古之君子舉大事必慎其終始而衆安得不喻焉	言其爲之本末露見盡可得而知也喻猶曉也
兊命曰念終始典于學	兊當爲說說命書篇名殷髙宗之臣傳說之所作典常也念事之終始常於斈斈礼義之府○兊注作說同音悅
○丗子之記曰朝夕至于大寢之門外問於内豎曰今日安否何如	朝夕朝朝暮夕也日中又朝文王之爲丗子非禮之制丗子之禮亡言此存其記○朝夕至于直遥反旦曰朝暮曰夕舊如字朝朝上如字下文朝夕之食上同下直遥反
内豎曰今日安丗子乃有喜色其有不安節則内豎以告丗子丗子色憂不滿容	色憂憂淺也不及文王行不能正履
内豎言復𥘉然後亦復𥘉朝夕之食上丗子必在視寒煖之節食下問所膳羞必知所進以命膳宰然後退	羞必知所進必知親所食○上時掌反重意重見篇首
若内豎言疾則丗子親齊玄而養	親猶自也養疾者齊玄玄冠玄端也○齊側皆反注同
膳宰之饌必敬視之	疾者之食齊和所欲或異○齊才細反和胡卧反
疾之藥必親嘗之	試毒味也重意疾之藥必親甞之曲禮下親有疾飲藥子先嘗之
嘗饌善則丗子亦能食	善謂多於前
嘗饌寡丗子亦不能飽	又不及武王一飯再飯
以至于復𥘉然後亦復𥘉	復常所服重言然後亦復𥘉三上文一篇首一
纂	_
圗	_
互	_
註	_
禮	_
記	_
卷	_
之	_
六	_
