中庸第三十一	陸曰鄭云以其記中和之爲用也庸用也孔子之孫子思作之以昭明聖祖之德也
詩曰妻子好合如鼔瑟琴兄弟旣翕和樂且耽宜爾室家樂爾妻帑	琴瑟聲相應和也翕合也耽亦樂也古者謂子孫日帑此詩言和室家之道自近者始〇好呼報反翕許急反樂音洛下及注同耽丁南反帑音奴子孫也本又作孥同尚書傳毛詩箋並云子也杜預注左傳云妻子也應應對之應和胡卧反
子曰父母其順矣乎	謂其教令行使室家順
子曰鬼神之爲德其盛矣乎視之而弗見聽之而弗聞體物而不可遺	躰猶生也可猶所也不有所遺言萬物无不以鬼神之氣生也重言視之而弗見聽之而不聞大斈四十二視而不見聽而不聞
使天下之人齊明盛服以承祭祀洋洋乎如在其上如在其左右	明猶潔也洋洋人想思其傍僾之貌〇斉側皆反本亦作齋洋音羊傍皇薄刚反謂左右也徐方岡反僾徐於愷反又音爱
詩曰神之格思不可度思矧可射思	格來也矧况也射厭也思皆声之助言神之來其形象不可億度而知事之盡敬而已况可厭倦乎○格古百反度待洛反注同矧詩忍反注同射音亦厭於豔反字又作猒下同盡子忍反
夫微之顯誠之不可揜如此夫	言神无形而著不言而誠○揜音掩於檢反此夫音扶著張慮反
子曰舜其大孝也與德爲聖人尊爲天子冨有四海之内宗廟饗之子孫保之	保安也〇与音餘重言德爲聖人至子孫保之二一見下文
故大德必得其位必得其禄必得其名必得其壽	名令聞也〇聞音問下令聞同
故天之生物必因其材而篤焉	材謂其質性也篤厚也言善者天厚其福惡者天厚其毒皆由其本而爲之
故栽者培之傾者覆之	栽讀如文王𥘉載之載栽猶殖也培益也今時人名草木之殖曰栽築牆立板亦曰栽栽或爲兹覆敗也○栽依注音災將才反注同植也培蒲回反覆芳伏反載之載並音災本或作烖同
詩曰嘉樂君子憲憲令德宜民宜人受禄于天保佑命之自天申之故大德者必受命	憲憲興盛之貌保安也佑助也〇嘉户嫁反詩本作假音同假嘉也皇音加善也憲音顯注同一音如字佑音祐下注同
子曰無憂者其唯文王乎以王季爲父以武王爲子父作之子述之	聖人以立法度爲大事子能述成之則何憂乎堯舜之父子則有凶頑禹湯之父子則寡令聞父子相成唯有文王
武五纉大王王季文王之緒壹戎衣而有天下身不失天下之顯名尊爲天子冨有四海之内宗廟饗之子孫保之	纉継也緒業也戎兵也衣讀如殷聲之誤也齊人言殷聲如衣虞夏殷周氏者多矣今姓有衣者殷之胄與壹戎殷者壹用兵伐殷也〇纉徐音纂哉管反大音泰下及注大王皆同壹戎衣依注衣作殷於巾反謂一用兵伐殷也尚書依字讀謂一著戎衣而天下大定胄與直救反下音餘
武王末受命周公成文武之德追王大王王季上祀先公以天子之禮斯禮也逹乎諸侯大夫及士庶人父爲大夫子爲士葬以大夫祭以士父爲士子爲大夫葬以士祭以大夫期之喪逹乎大夫三年之喪逹乎天子父母之喪無貴賤一也	末猶老也追王大王王季者以王迹起焉先公組紺以上至后稷也斯禮逹於諸侯大夫士庶人者謂葬之從死者之爵祭之用生者之禄也言大夫葬以大夫士葬以士則追王者改葬之矣期之喪逹於大夫者謂旁親所降在大功者其正統之期天子諸侯猶不降也大夫所降天子諸侯絶之不爲服所不臣乃服之也承葬祭說期三年之䘮者明子事父以孝不用其尊卑變〇未亡遏反追王于况反注追王同期音基注同組音祖紺古闇反組紺大王之父也亦曰諸盩盩音置留反以上時掌反不爲服于僞反重意天子之禮逹乎諸侯大夫及士庶人王制自天子逹于庶人大學自天子以至于庶人〇父爲士子爲大夫二一見䘮服小記
子曰武王周公其逹孝矣乎夫孝者善繼人之志善述人之事者也春秋脩其祖廟陳其宗器設其裳衣薦其時食	脩謂掃糞也宗器祭器也裳衣先祖之遺衣服也設之當以授尸也時食四時祭也○掃悉報反糞弗運反本亦作糞亦作拚同
宗廟之禮所以序昭穆也序爵所以辨貴賤也序事所以辨賢也旅酬下爲上所以逮賤也燕毛所以序齒也	序猶次也爵謂公卿大夫士也事謂薦羞也以辨䝨者以其事别所能也若司徒羞牛宗伯共雞牲矣文王丗子曰宗廟之中以爵爲位崇德也宗人授事以官尊賢也旅酬下爲上者謂若特牲饋食之禮賔弟子兄弟之子各舉觶於其長也逮賤者宗廟之中以有事爲榮也燕謂旣祭而燕也燕以髪色爲坐祭時尊尊也至燕親親也齒亦年也〇昭穆常遥反穆又作繆音同遝本又作逮同音代燕於見反注並同别彼列反共音恭饋其位反觯音至長丁丈反下謂長同重意宗廟之禮所以序昭穆也仲尼燕居二十八禘甞之禮所以仁昭穆也
踐其位行其禮奏其樂敬其所尊愛其所親事死如事生事亡如事存孝之至也	踐猶升也其者其先祖也踐或爲纉○重言事死如事生二一見祭義二十四〇孝之至也二一見祭義
郊社之禮所以事上帝也宗廟之禮所以祀乎其先也	社祭也神不言后土者省文〇省色領反○重意郊社之禮所以事上帝也仲尼燕居郊社之義所以仁鬼神也
明乎郊社之禮禘甞之義治國其如示諸掌乎	示讀如寘諸河于之寘寘置也物而在掌中易爲知力者也序爵辨賢尊尊親親治囯之要〇示依注音寘之䜴反易以䜴反知力音智本亦無力字治之要治音直吏反一本作治囯之要治則如字重意明乎郊社之禮褅甞之義治國其如示諸掌乎仲尼燕居云明乎郊社之義禘甞之禮治國其如指諸掌而巳乎
○哀公問政子曰文武之政布在方䇿其人存則其政舉其人亡則其政息	方版也䇿簡也息猶㓕也○方䇿𥘉革反版音板本亦作板
人道敏政地道敏樹	敏猶勉也樹謂殖草木也人之無政若地無草木矣敏或爲謀
夫政也者蒲盧也	蒲盧蜾蠃謂土蜂也詩曰螟蛉有子蜾蠃負之螟蛉桑蟲也蒲盧取桑蟲之子去而變化之以成爲已子政之於百姓若蒲盧之於桑蟲然○蒲盧並如字爾雅云蜾蠃蒲盧即今之細腰蜂也一名蠮螉蜾音果螺力果反本亦作蠃音同蜂芳封反字亦作蠭同螟莫瓶反蛉音零已音紀
故爲政在人	在於得賢人也
取人以身脩身以道脩道以仁	取人以身言明君乃能得人
仁者人也親親爲大義者宜也尊賢爲大親親之殺尊賢之等禮所生也	人也讀如相人偶之人以人意相存問之言○殺色界反徐所例反重言仁者人也二一見表記三十二
在下位不獲乎上民不可得而治矣	此句其属在下著脫誤重在此〇治直吏反一音如字脫音奪重直用反重言在下位不獲乎上民不可得而治矣二下文一
故君子不可以不脩身思脩身不可以不事親思事親不可以不知人思知人不可以不知天	言脩身乃知孝知孝乃知人知人乃知賢不肖知賢不肖乃知天命所保佑
天下之逹道五所以行之者三曰君臣也父子也夫婦也昆弟也朋友之交也五者天下之逹道也知仁勇三者天下之逹德也所以行之者一也	逹知
駢	常行百王所不變也○智下近乎知注言有知皆同重言所以行之者一也二一見下文
或生而知之或學而知之或困而知之及其知之一也	困而知之謂長而見禮義之事已臨之而有不足乃始學而知之此逹道也○長丁丈反己音紀
或安而行之或利而行之或勉強而行之及其成功一也	利謂貪榮名也勉強恥不若人〇强其兩反注同
子曰好學近乎知力行近乎仁知恥近乎勇知斯三者則知所以脩身知所以脩身則知所以治人知所以治人則知所以治天下國家矣	言有知有仁有勇乃知脩身則脩身以此三者爲基〇好呼報反近附近之近下同行皇如字徐下孟反
凢爲天下國家有九經曰脩身也尊賢也親親也敬大臣也體羣臣也子庶民也來百工也柔逺人也懷諸侯也	體猶接幼也子猶愛也逺人蕃國之諸侯也○子如字徐將吏反下句放此蕃方元反重言凢爲天下囯家有九經二下文一〇尊賢也二一見文王丗子第八又祭義二十四教不伐以尊賢也○親親也二一見下文一見大傳十六
脩身則道立尊賢則不惑親親則諸父昆弟不怨敬大臣則不眩體羣臣則士之報禮重子庶民則百姓勸來百工則財用足柔逺人則四方歸之懷諸侯則天下畏之	不惑謀者良也不眩所任明也○眩賢遍反
齊明盛服非禮不動所以脩身也去䜛逺色賤貨而貴德所以勸賢也尊其位重其禄同其好惡所以勸親親也官盛任使所以勸大臣也虫信重禄所以勸士也時使薄歛所以勸百姓也日省月試旣廪稱事所以勸百工也送往迎來嘉善而矜不能所以柔逺人也繼絶丗舉廢國治亂持危朝聘以時厚往而薄來所以懷諸侯也	同其好惡不特有所好惡於同姓雖恩不同義必同也尊重其禄位所以貴之不必授以官守天官不可私也官盛任使大臣皆有属官所任使不親小事也忠信重禄有忠信者重其禄也時使使之以時日省月試考校其成功也旣讀爲餼餼廪稍食也槀人職曰乗其事考其弓弩以下上其食○齊側皆反去起吕反逺于萬反好惡上呼報反下烏路反又並如字注同歛力驗反旣依注音餼許氣反廪彼錦反一本又力錦反稱尺證反朝直遥反槀苦報反一音古老反上時掌反重意所以勸百姓也文王丗子所以躰百姓也
凢爲天下國家有九經所以行之者一也凢事豫則立不豫則廢言前定則不跲事前定則不困行前定則不疚道前定則不窮	一謂當豫也跲躓也疚病也人不能病之○跲其刼反皇音給行下孟反疚音救躓徐音致
在下位不獲乎上民不可得而治矣	獲得也言臣不得於君則不得居位治民
獲乎上有道不信乎朋友不獲乎上矣信乎朋友有道不順乎親不信乎朋友矣順乎親有道反諸身不誠不順乎親矣誠身有道不明乎善不誠乎身矣	言知善之爲善乃能行誠○重意反諸身不誠不順乎親矣哀公問能敬其身則能成其身矣
誠者天之道也誠之者人之道也誠者不勉而中不思而得從容中道聖人也誠之者擇善而固執之者也	言誠者天性也誠之者斈而誠之者也因誠身說有大至誠〇中丁仲反又如字下中道同從七容反重言天之道也哀公問二十七是天道也○人之道也二下文一
博學之審問之愼思之明辨之篤行之有弗學學之弗能弗措也有弗問問之弗知弗措也有弗思思之弗得弗措也有弗辨辨之弗明弗措也有弗行行之弗篤弗措也人一能之已百之人十能之已千之果能此道矣雖愚必明雖柔必強	此勸人斈誠其身也果猶决也○措七路反下及注皆同置也强其良反
自誠明謂之性自明誠謂之教誠則明矣明則誠矣	自由也由至誠而有明德是聖人之性者也由明德而有至誠是賢人斈以成之也有至誠則必有明德有明德則必有至誠
唯天下至誠爲能盡其性能盡其性則能盡人之性能盡人之性則能盡物之性能盡物之性則可以賛天地之化育可以賛天地之化育則可以與天地參矣	盡性者謂順理之使不失其所也賛助也育生也助天地之化生謂聖人受命在王位致大平○大音泰
其次致曲曲能有誠誠則形形則著著則明明則動動則變變則化唯天下至誠爲能化	其次謂自明誠者也致至也曲猶小小之事也不能盡性而有至誠於有義焉而巳形謂人見其功也盡性之誠人不能見也著形之太者也明著之顯者也動動人心也變改惡爲善也變之乆則化而性善也
至誠之道可以前知國家將興必有禎祥國家將亡必有妖孽見乎蓍龜動乎四體禍福將至善必先知之不善必先知之故至誠如神	可以前知者言天不欺至誠者也前亦先也禎祥妖孽蓍龜之占雖其時有小人愚王皆爲至誠能知者岀也四體謂龜之四足春占後左夏占前左秋占前右冬占後右○禎音貞妖於驕反左傳云地反物爲妖說文作妖云衣服歌謡草木之怪謂之䄏孽魚列反說文作􁆂云禽獸虫蝗之怪謂之蠥見乎賢通反下不見注著見同一本乎作於蓍音尸注同爲于僞反〇重言必先知之三一見孔子閒居二十九
誠者自成也而道自道也	言人能至誠所以自成也有道藝所以自道逹○自道音導注自道同
誠者物之終始不誠無物	物萬物也亦事也大人無誠萬物不生小人無誠則事不成
是故君子誠之爲貴	言貴至誠
誠者非自成已而巳也所以成物也成己仁也成物知也性之德也合外内之道也	以至誠成巳則仁道立以至誠成物則知弥博此五性之所以爲德也外内所須而合也外内猶上下〇知音智注同
故時措之宜也	時措言得其時而用也
故至誠無息不息則乆乆則徴徴則悠逺悠逺則博厚博厚則髙明	徴猶效驗也此言至誠之德旣著於四方其髙厚日以廣大也徴或爲徹
博厚所以載物也髙明所以覆物也悠乆所以成物也博厚配地髙明配天悠乆無疆	後言悠乆者言至誠之德旣至博厚髙明配乎天地又欲其長乆行之〇疆居良反
如此者不見而章不動而變無爲而成天地之道可壹言而盡也	言其德化與天地相似可一言而盡要在至誠
其爲物不貳則其生物不測	言至誠無貳乃能生萬物多無數也○不貳本亦作㒃音二
天地之道博也厚也髙也明也悠也乆也	此言其著見成功也
今夫天斯昭昭之多及其無窮也日月星辰繫焉萬物覆焉今夫地一撮土之多及其廣厚載華嶽而不重振河海而不洩萬物載焉今夫山一卷石之多及其廣大草木生之禽獸居之寳藏興焉今夫水一勺之多及其不測黿鼉蛟龍魚鼈生焉貨財殖焉	此言天之髙明本生昭昭地之博厚本由撮土山之廣大本起卷石水之不測本從一勺皆合少成多自小致大爲至誠者亦如此乎昭昭猶耿耿小明也振猶収也卷猶區也○失音扶下同昭章遥反注同本亦作炤同撮七活反華嶽户化户瓜反本亦作山嶽洩息列反卷李音權又羌權反范羌阮吸注同藏才浪反勺徐市若反黿音元鼉徒何一音直丹反鮫音交本又作蛟鼈必列反耿公逈反又公頂反舊音孔頂反區差俱反
詩曰惟天之命於穆不巳蓋曰天之所以爲天也於乎不顯文王之德之純蓋曰文王之所以爲文也純亦不巳	天所以爲天文王所以爲文皆由行之無巳爲之不止如天地山川之云也易曰君子以順德積小以成髙大是與○於穆上音烏下於乎亦同乎好奴反愼如字一本又作順與音餘
大哉聖人之道洋洋乎發育萬物峻極于天	育生也峻髙大也○洋音羊峻思閏反重言峻拯于天二一見孔子閒居
優優大哉禮儀三百威儀三千待其人然後行故曰苟不至德至道不凝焉	言爲政在人政由禮也疑猶成也〇優於求反倡優也疑本又作疑魚澄反
故君子尊德性而道問學致廣大而盡精微極髙明而道中庸温故而知新敦厚以崇禮	德性謂性至誠者道猶由也問斈學誠者也廣大猶博厚也温讀如燖温之温謂故學之孰矣後時習之謂之温〇燖音尋
是故居上不驕爲下不倍國有道其言足以興國無道其黙足以容	興謂起在位也驕本亦作喬音嬌倍音佩黙亡北反
詩曰旣明且哲以保其身其此之謂與	保安也○哲陟列反徐本作知音智與音餘
子曰愚而好自用賤而好自專生乎今之丗反古之道如此者烖及其身者也	反古之道謂曉一孔之人不知今王之新政可從〇好呼報反下同烖音災
非天子不議禮不制度不考文	此天下所共行天子乃能一之也禮謂人所服行也度囯家宫室及車輿也文書名也
今天下車同軌書同文行同倫	今孔子謂其時〇行下孟反
雖有其位苟無其德不敢作禮樂焉雖有其德苟無其位亦不敢作禮樂焉	言作禮楽者必聖人在天子之位
子曰吾說夏禮𣏌不足徴也吾學殷禮有宋存焉吾學周禮今用之吾從周	徴猶明也吾能說夏禮顧𣏌之君不足與明之也吾從周行今之道〇𣏌音起重言吾從周三檀弓一坊記
王天下有三重焉其寡過矣乎	三重三王之禮○王于况反又如字
上焉者雖善無徴無徴不信不信民弗從下焉者雖善不尊不尊不信不信民弗從	上謂君也君雖善善无明徴則其善不信也下謂臣也臣雖善善而不尊君則其善亦不信也徴或爲證
故君子之道本諸身徴諸庶民考諸三王而不繆建諸天地而不悖質諸鬼神而無疑百丗以俟聖人而不惑質諸鬼神而無疑知天也百丗以俟聖人而不惑知人也	知天知人謂知其道也鬼神從天地者也易曰故知鬼神之情狀與天地相似聖人則之百丗同道〇徴或爲證繆音謬悖布内反後同
是故君子動而丗爲天下道行而丗爲天下法言而丗爲天下則逺之則有望近之則不厭	用其法度想思若其將來也〇逺如字又于萬反近如字又附近之近厭於艶反後皆同
詩曰在彼無惡在此無射庶幾夙夜以永終譽君子未有不如此而蚤有譽於天下者也	射厭也永長也〇射音亦注同蚤音早
仲尼祖述堯舜憲章文武上律天時下襲水土	此以春秋之義說孔子之德孔子曰吾志在春秋行在孝經二經固足以明之孔子祖述堯舜之道而制春秋而断以文王武王之法度春秋傳曰君子曷爲爲春秋撥亂丗反諸正莫近諸春秋其諸君子楽道堯舜之道與未不亦楽乎堯舜之知君子也又曰是子也繼文王之體守文王之法度文王之法無求而求故譏之也又曰王者孰謂謂文王也此孔拜兼包堯舜文武之盛德而著之春秋以俟後聖者也律述也述天時謂編年四時具也襲因也因水土謂記諸夏之事山川之異〇行下孟反断丁亂反曷爲于僞反又如字撥半未反近附近之近又如字與音餘編必綿反又甫連反
辟如天地之無不持載無不覆幬辟如四時之錯行如日月之代明萬物並育而不相害道並行而不相悖小德川流大德敦化此天地之所以爲大也	聖人制作其徳配天地如此唯五始可以當焉幬亦覆也小德川流浸潤萌牙喻諸侯也大德敦化厚生萬物喻天子也○幬或作燾辟音譬下同幬徒報反錯七各反當丁浪反又丁郎反浸子鴆反燾徒報反
唯天下至聖爲能聦明叡知足以有臨也寛𥙿温柔足以有容也發強剛毅足以有執也齊莊中正足以有敬也文理密察足以有别也	言德不如此不可以君天下也蓋傷孔子有其德而無其命○叡音銳知音智下聖知同齊側皆反別彼列反
溥博淵泉而時出之	言其臨下普徧思慮深重非得其時不出政教○溥音普徧音遍思息嗣反又如字
溥博如天淵泉如淵見而民莫不敬言而民莫不信行而民莫不說是以聲名洋溢乎中國施及蠻貃舟車所至人力所通天之所覆地之所載日月所照霜露所隊凢有血氣者莫不尊親故曰配天	如天取其運照不已也如淵取其清深不測也尊親尊而親之〇見賢遍反說音恱施以䜴反貉本又作貃武伯反說文云北方人也隊直類反
唯天下至誠爲能經綸天下之大經立天下之大本知天地之化育	至誠性至誠謂孔子也大經謂六藝而指春秋也大本孝經也論本又作綸同音倫
夫焉有所倚肫肫其仁淵淵其淵浩浩其天	安有所倚言無所偏倚也故人人自以𬒳德尤厚似偏頗者肫肫讀如誨爾忳忳之忳忳忳懇誠貌也肫肫或爲純純○焉於虔反倚依綺於寄二反注同肫依注音之淳反浩胡老反𬒳皮義反頗破河反懇若很反純純一音淳又之淳反
苟不固聦明聖知逹天德者其孰能知之	言唯聖人乃能知聖人也春秋傳曰未不亦楽乎堯舜之知君子明凡人不知
詩曰衣錦尚絅惡其文之著也故君子之道闇然而日章小人之道的然而日亡	言君子深逺難知小人淺近易知人所以不知孔子以其深逺禪爲絅錦衣之羙而君子以絅表之爲其文章露見似小人也〇絅本又作顈詩作褧同口逈反徐◛定反一音◍潁反惡烏路反著張慮反闇於感反又如字日而一反下同的丁歷反易以䜴反下易舉同禪爲音丹爲其于僞反見賢遍反
君子之道淡而不厭簡而文温而理知逺之近知風之自知微之顯可與入德矣	淡其味似薄也簡而文温而理猶簡而辨直而温也自謂所從來也三知者皆言其睹未察本探端知緒也入德入聖人之德〇淡徒暫反又大敢反下注同厭於豔反睹音覩探音貪
詩云濳雖伏矣亦孔之昭故君子内省不疚無惡於志	孔甚也昭明也言聖人雖隱居其德亦甚明矣疚病也君子自省身無愆病雖不遇丗亦無損害於巳志〇昭本又作炤同之召反又章遥反疚九又反遯大困反本又作遁字亦同愆起䖍反
君子所不可及也者其唯人之所不見乎詩云相在爾室尚不愧于屋漏	言君子雖隱居不失其君子之容德也相視也室西北隅謂之屋漏視女在室獨居耳猶不愧于屋漏屋漏非有人也况有人乎〇相息亮反注同愧本又作媿同九位反女音汝
故君子不動而敬不言而信詩曰奏假無言時靡有爭	假大也此頌也言奏大楽於宗廟之中人皆肅敬金聲玉色無有言者以時太平和合無所爭也○奏如字詩作鬷子公反假古雅反爭爭闘之爭注同太平音泰○重言不言而信二一見表記二十二
是故君子不賞而民勸不怒而民威於鈇鉞詩曰不顯惟德百辟其刑之	不顯言顯也辟君也此頌也言不顯乎文王之德百君尽刑之謂諸侯法之也○鈇方于反又音斧鉞音越辟音璧注同
是故君子篤恭而天下平詩曰予懷明德不大聲以色	予我也懷歸也言我歸有明德者以其不大声爲嚴厲之色以威我也
子曰聲色之於以化民未也詩曰德輶如毛	輶輕也言化民當以德德之易舉而用其輕如毛耳○未亡葛反輶音酉一音由注同易以䜴反
毛猶有倫上天之載無聲無臭至矣	倫猶比也載讀曰裁謂生物也言毛雖輕尚有所比有所比則有重上大之造生萬物人無聞其聲音亦無知其臭氣者化民之德清明如神淵淵浩浩然後善○載依注讀曰裁音災生也詩音再比必履反下同或音毗志反又必利反皆非也重直勇反又直容反
