谷風之什詁訓傳第二十毛詩小雅鄭氏箋谷風刺幽王也天下俗薄朋友道絶焉	谷音榖東風謂之谷風
舟人之子熊羆是裘	舟人舟揖之人熊羆是裘言冨也箋云舟當作周裘當作求聲相近故也周人之子謂周丗臣之子孫退在賤官使搏熊羆在冥氏穴氏之職羆彼皮反楫音接字又作檝近附近之近下同搏音博冥莫歴反
私人之子百僚是試	私人私家人也是試用於百官也箋云此言周衰群小得志僚力彫反字又作寮
或以其酒不以其漿	或醉於酒或不得漿
鞙鞙佩璲不以其長	鞙鞙玉貌璲瑞也箋云佩璲者以瑞玉爲佩佩之鞙鞙然居其官職非其才之所長也徒羙其佩而無其德刺其素飱鞙胡犬反字或作㻆璲音遂
維天有漢監亦有光	漢天河也有光而無所明箋云監視也喻王闓置官司而無督察之實監右蹔反闓音開字亦作開
跋彼織女終日七襄	跋隅貌襄反也箋云襄駕也駕謂更其肆也從且至暮七辰辰一移因謂乏七襄跋說文作歧丘䜴反徐又丘婢反更音庚歴也
雖則七襄不成報章	不能反報成章也箋云織女有織名爾駕則有西無東不如人織相反報成文章
睆彼牽牛不以服箱	睆明星貌何鼓謂之牽牛服牝服也箱大卑之箱也箋云以用也牽牛不可用於牝服之箱睆華板反箱息羊反牝頻忍反
東有啓明西有長庚	曰旦出謂明星爲啓明日旣入謂明星爲長庚庚續也箋云啓明長庚皆有助曰之名而無實光也
有捄天畢載施之行	捄畢貌畢所以掩兔也何嘗見其可用乎箋云祭噐有畢者所以助載鼎實今天畢則施於行列而巳
維南有箕不可以簸揚維北有斗不可以挹酒漿	挹㪺也簸波我反徐又甫佐反斗都口反沈音主挹音揖㪺矩于反廣雅云酌也
維南有箕載翕其舌維北有斗西柄之掲	翕合也箋云翕猶引也引舌者謂上星相近翕許急反柄彼病反掲居竭反徐起謁反
大東七章章八句四月大夫刺幽王也在位貪殘下國構禍怨亂並興焉	􁀌古又反
四月維夏六月徂暑	徂往也六月火星中暑盛而往矣箋云徂猶始也四月立夏矣至六月乃始盛暑興人爲惡亦有漸非一朝一夕
先祖匪人胡寜忍予	箋云匪非也寜猶曽也我先祖非人乎人則當知患難何爲魯使我當此亂丗乎難乃旦反
秋日淒淒百卉具腓	凄凄凉風也卉草也腓病也箋云具猶皆也凉風用事而衆草皆病興貪殘之政行而萬民困病淒夲亦棲七西反卉許貴反腓房非反韓詩云變也
亂離瘼矣爰其適歸	離憂瘼病適之也箋云爰曰也今政亂國將有憂病者矣曰此禍其所之歸乎言憂病之禍必自之歸爲亂瘼音莫
冬日烈烈飄風發發	箋云烈烈猶栗烈也發發疾貌言王爲酷虐慘毒之政如冬日之烈烈矣其亟急行於天下如飄風之疾也亟紀力反
民莫不榖我獨何害	箋云榖飬也民莫不得飬其父母者我獨何故覩此寒苦之害養餘亮反
山有嘉卉侯粟侯梅	箋云嘉善侯維也山有羙善之草生於梅栗之下人取其實蹂踐而害之令不得蕃茂喻上多賦歛冨人財盡而弱民與受困窮○蹂踐廣雅云履也蹂如乆反令力呈反蕃音煩与音豫
廢爲殘賊莫知其尤	廢􁇜也箋云尤過也言在位者貪殘爲民之害無自知其行之過者言􁇜於惡廢如字一音發􁇜時丗反下同一夲作廢大也此是生粛義行下孟反下之行同
相彼泉水載清載濁	箋云相視也我視彼泉水之流一則清一則濁刺諸侯並爲惡曽無一善相息亮反注同
我日構禍曷云能榖	􁀌成也曷逮也箋云構猶合集也曷之言何也榖善也言諸侯日作禍亂之行何者可謂能善曷舊何葛反一云毛安葛反
滔滔江漢南國之紀	㴞㴞大水貌其神足以綱紀一方箋云江也漢也南國之大水紀理衆川使不壅滯喻吴楚之君能長理旁側小國使得其所㴞吐刀反長張丈反
盡瘁以仕寜莫我有	箋云瘁病仕事也今王盡病其封畿之内以兵役之事使群臣有土地曽無自保有者皆懼於危亡也吴楚舊名貪殘今周之政乃反不如瘁夲又作萃似醉反下同
匪鶉匪鳶翰飛戾天匪鱣匪鮪潜逃于淵	鶉鵰也鵰鳶貪殘之鳥也大魚能逃處淵箋云翰髙戾至鱣鯉也言鵰翼之髙飛鯉鮪之處淵性自然也非鵰鳶能髙飛非鯉鮪能處淵皆驚駭避害爾喻民性安土重遷今而逃走亦畏亂政故鶉徒丸反字或作鳶以專反䲭也鱣張連反鮪于軌反鵰音彫
山有蕨薇隰有𣏌桋	𣏌枸檵也桋赤棘也箋云此言草木生各得其所人反不得其所傷之也蕨居月反桋夲亦作荑音夷枸音苟檵音計棘所革反爾雅云桋赤棘郭霜狄反
君子作歌維以告哀	箋云告哀言勞病而愬之
四月八章章四句北山大夫刺幽王也役使不均己勞於從事而不得飬其父母焉	使如字己音紀下注喻巳同飬餘亮反
陟彼北山言采其𣏌	箋云言我也登山而采𣏌非可食之物喻巳行役不得其事杞音起
偕偕士子朝夕從事	偕偕強壯貌士子有王事者也箋云朝夕從事言不得休止偕音皆徐音諧
王事靡盬憂我父母	箋云靡無也盬不堅固也王事無不堅固故我當盡力勤勞於役乆不得歸父母思巳而憂盬音古
溥天之下莫非王土率土之濵莫非王臣	溥大率循濵涯也箋云此言王之土地廣矣王之臣又衆矣何求而不得何使而不行溥音普濵音賔涯魚佳反字又作崖
大夫不均我從事獨賢	賢勞也箋云王不均大夫之使而專以我有賢才之故獨使我從事於役自苦之辭也
四牡彭彭王事傍傍	彭彭然不得息傍傍然不得巳傍布彭反
嘉我未老鮮我方將	將壯也箋云嘉鮮皆善也王善我年未老乎善我方壯乎何獨乆使我也鮮息淺反沈云鄭音仙
旅力方剛經營四方	旅衆也箋云王謂此事衆之氣力方盛乎何乃勞苦使之經營四方
或燕燕居息	燕燕安息貌
或盡瘁事國	盡力勞瘁以從國事
或息偃在牀或不巳于行	箋云不巳猶不止也
或不知叫號或慘慘劬勞	叫呼號召也叫夲又作古弔反號戸報反恊韻户刀反慘七感反字又作懆
或棲遟偃仰或王事鞅掌	鞅掌失容也箋云鞅猶何也掌謂捧之也負何捧持以趨走言促遽也棲音西仰夲又作卬音仰鞅於兩反何戸可反又音河捧芳勇反
或湛樂飲酒或慘慘畏咎	箋云咎猶罪過也湛都南反樂音洛咎其九反
或出入風議或靡事不爲	箋云風猶放也風音諷議如字恊句音冝
北山六章章六句三章章四句無將大車大夫悔將小人也	周大夫悔將小人幽王之時小人衆多賢者與之從事反見譛害自悔與小人並
無將大車祇自塵兮	大車小人之所將也箋云將猶扶進也祇適也鄙事者賤者之所爲也君子爲之不堪其勞以喻大夫而進舉小人適自作憂累故悔之祇音支累劣僞反篇未同夲或作辱
無思百憂祇自疧兮	疧病也箋云百憂者衆小事之憂也進舉小人使得居位不任其職愆負及巳故以衆小事爲憂適自病也疧都礼反任音壬愆起䖍反
無將大車維塵㝠冥	箋云冥冥者蔽人目明令無所見也猶進舉小人蔽傷己之功德冥莫庭反又莫逈反令力呈反
無思百憂不出于熲	熲光也箋云思衆小事以爲憂使人蔽闇不得出於光明之道熲古逈反沈又古頃反
無將大車維塵雝兮	箋云雝猶蔽也雝於勇反字亦作壅又於用反
無思百憂祇自重兮	箋云重猶累也重直龍反又直用反
無將大車三章章四句小明大夫悔仕於亂丗也	名篇曰小明者言幽王曰小其明損其政事以至於亂
明明上天照臨下土	箋云明明上天喻王者當光明如日之中也照臨下土喻王者當察理天下之事據時幽王不能然故舉以刺之
我征徂西至于艽野二月初吉載離寒暑	艽野逺荒之地𥘉吉朔日也箋云征行徂往也我行往之西方至於逺荒之地乃以二月朔日始行至今則更夏暑冬寒矣尚未得歸詩人牧伯之大夫使述其方之事遭亂丗勞苦而悔仕艽音求更音庚
心之憂矣其毒大苦	箋云憂之甚心中如有毒藥也大音㤗
念彼共人涕零如雨	箋云共人靖共爾位以待賢者之君共音恭注下皆同
豈不懷歸畏此罪罟	罟網也箋云懷思也我誠思歸畏此刑罪羅網我故不敢歸爾罟音古
昔我往矣日月方除曷云其還歳聿云莫	除除陳生新也箋云四月爲除昔我往至於艽野以四月自謂其時將即歸何言其還乃至歳晚尚不得歸除直慮反如字案鄭云四月爲除若依爾雅則宜餘舒三音莫音暮注及下同
念我獨兮我事孔庻心之憂矣憚我不暇	憚勞也箋云孔甚庻衆也我事獨甚衆勞我不暇皆言王政不均臣事不同也憚丁佐反徐又音旦亦作癉
念彼共人睠睠懷顧	箋云睠睠有往仕之志也睠音眷
豈不懷歸畏此譴怒	譴弃戰反怒乃路反
昔我往矣日月方奥	奥煖也奥於六反煖音暄又奴緩反
曷云其還政事愈蹙歳聿云莫采蕭穫菽	蹙從也箋云愈猶益也何言其還乃至於政事更益蹙急歳晚乃至采蕭獲菽尚不得歸蹙子六反穫户郭反菽音叔
心之憂矣自詒伊戚	戚憂也箋云詒遺也我冒亂丗而仕自遺此憂悔仕之辭遺唯季反下同冒莫報反又亡北反
念彼共人興言岀宿	箋云興起也夜卧起宿於外憂不能宿於内也
豈不懷歸畏此反覆	箋云反覆謂不以正罪見罪覆芳福反
嗟爾君子無恒安處	箋云恒常也嗟女君子謂其女未仕者也人之居無常安之處謂當安安而能遷孔子曰鳥則擇木處昌慮反
靖共爾位正直是與神之聽之式榖以女	靖謀也正直爲正能正人之曲曰直箋云共具式用榖善也有明君謀具女之爵位其志在於與正直之人爲治神明若祐而聽之其用善人則必用女是使聽天任命不汲汲求仕之辭言女位者位無常主賢人則是治直吏反祐音又本或作右又作佑並同
嗟爾君子無恒安息	息猶處也
靖共爾位好是正直神之聽之介爾景福	介景皆大也箋云好猶興也介助也神明聽之則將助女以大福謂遭是明君道施行也好呼報反注同介音界
小明五章三章章十二句二章章六句鼔鍾刺幽王也鼔鍾將將淮水湯湯憂心且傷	幽王用樂不與德比㑹諸侯于淮上鼔其淫樂以示諸侯賢者爲之憂傷箋云爲之憂傷者嘉樂不野合犧象不出門今乃於淮水之上作先王之樂失礼尤甚將七羊反將將聲也注同湯音傷湯湯流盛也下注同比毗志反爲于僞反下同犧素何反犧象皆罇名王音羲
淑人君子懷允不忘	箋云淑善懷至也古者善人君子其用禮樂各得其冝至信不可忘
鼔鍾喈喈淮水湝湝憂心且悲	喈喈猶將將湝湝猶湯湯悲猶傷也喈音皆湝户皆反
淑人君子其德不囬	回邪也邪似嗟反
鼔鍾伐鼛淮有三洲憂心且妯	鼛大鼔也三洲淮上地妯動也箋云妯之言悼也鼛古毛反鼔長丈二尺妯勑留反徐又直留反郭音爾雅盧叔反又音迪
淑人君子其德不猶	猶若也箋云猶當作瘉瘉病也猶如字瘉羊王反
鼔鍾欽欽鼔瑟鼔琴笙磬同音	欽欽言使人樂進也笙磬東方之樂也同音四縣皆同也箋云同音者謂堂上堂下八音克諧樂音岳縣音玄
以雅以南以籥不僭	爲雅爲南也舞四夷之樂大德廣所及也東夷之樂曰昧南夷之樂曰南西夷之樂曰朱離北夷之樂曰禁以爲籥舞若是爲和而不僣矣箋云雅萬舞也萬也南也籥也三舞不僣言進退之旅也周樂尚武故謂萬舞爲雅雅正也籥舞文樂也籥以灼反樂器也僣七心反沈又子念反又楚林反昧本又作韎音妹又莫戒反禁居䕃反
鼔鍾四章章五句楚茨刺幽王也政煩賦重田萊多荒饑饉降喪民卒流亡祭祀不饗故君子思古焉	田萊多荒茨棘不除也饑饉倉庾不盈也降䘮神不與福助也茨徐咨反萊音來
楚楚者茨言抽其棘自昔何爲我蓺黍稷	楚楚茨棘貌抽除也箋云茨蒺䔧也伐除蒺䔧與棘自古之人何乃勤苦爲此事乎我將樹黍稷焉言古者先王之政以農爲本茨言楚楚棘言抽互辭也抽勑留反徐直留反蓺魚丗反蒺音疾蔾音黎
我黍與與我稷翼翼我倉旣盈我庾維億	露積曰庾萬萬曰億箋云黍與與稷翼翼蕃蕪貌隂陽和風雨時則萬物成萬物成則倉庾充滿矣倉言盈庾言億亦互辭喻多也十萬曰億也與音餘注同積如字又子賜反蕃音煩廡音無又音武
以爲酒食以享以祀以妥以侑以介景福	妥安坐也侑勸也箋云享獻介助景大也以黍稷爲酒食獻之以祀先祖旣又迎尸使處神坐而食之爲其嫌不飽祝以主人之辭勸之所以助孝子受大福也妥湯果反侑音又坐才卧反爲于僞反
濟濟蹌蹌絜爾牛羊以往烝甞或剥或亨或肆或將	濟濟蹌蹌言有容也亨飪之也肆陳將齊也或陳于牙或齊其肉箋云有容言威儀敬慎也冬祭曰烝秋祭曰甞祭祀之禮各有其事有觧剥其皮者有煑熟之者有肆其骨體於爼者或奉持而進之者済子禮反濟濟大夫之容也蹌七羊反蹌蹌士之容也亨普庚反肆音四飪夲又作而甚反齊才細反下或齊同觧佳買反剥邦角反肆他歴反觧肆也奉芳勇反又如字
祝祭于祊祀事孔明	祊門内也箋云孔甚也明猶俻也絜也孝子不知神之所在故使祝博求之平生門内之旁待賔客之處祀禮於是甚明祊𥙷彭反說文作云門内祭先祖所彷徨也處昌慮反
先祖是皇神保是饗	皇大保安也箋云皇暀也先祖以孝子祀禮甚明之故精氣歸暀之其鬼神又安而饗其祭祀暀于况反下篇同
孝孫有慶報以介福萬壽無疆	箋云慶賜也疆竟界也疆居良反下篇同竟音境
執㸑踖踖爲爼孔碩或燔或炙	㸑饔㸑廪㸑也踖踖言㸑竈有容也燔取膟膋炙炙肉也箋云燔燔肉也炙肝炙也皆從獻之爼也其爲之於㸑必取肉也肝也肥碩羙者㸑七亂反注唯言㸑竈一字七端反餘並同踖七夕反又七略反燔音煩廪力甚反膟音律膋音寮脂膏炙之赦反
君婦莫莫爲豆孔庻爲賔爲客	莫莫言清靜而敬至也豆謂肉羞庻羞也繹而賔尸及賔客箋云君婦謂后也凡適妻稱君婦事舅姑之稱也庻䏧也祭祀之禮后夫人主共籩豆必取肉物肥䏧羙者莫音麥肉羞房中之羞或作肉羞非也適音的稱尺證反䏧字又作侈昌紙反何沈都可反共音恭亦作供
獻醻交錯禮儀卒度笑語卒獲	東西爲交邪行爲錯度法度也獲得時也箋云始主人酌賔爲獻賔旣酌主人主人又自飲酌賔曰醻至旅而爵交錯以徧卒盡也古者於旅也語醻市由反又作醻度如字沈徒洛反邪似嗟反徧音遍下同
神保是格報以介福萬壽攸酢	格來酢報也
我孔熯矣式禮莫愆工祝致告徂賚孝孫	熯敬也善其事曰工賚予也箋云我我孝孫也式法莫無愆過徂往也孝孫甚敬矣於禮法無過者祝以此故致神意告主人使受嘏旣而以嘏之物往予主人熯而善反又呼旦反賚如字徐音來嘏古雅反
苾芬孝祀神嗜飲食卜爾百福如幾如式	幾期式法也箋云卜予也苾苾芬芬有馨香矣女之以孝敬享祀也神乃歆嗜女之飲食今予女之百福其來如有期矣多少如有法矣此皆嘏辭之意苾蒲蔑反一音蒲必反下篇同芬乎云反嗜市志反毛巨之反下章同幾音機予羊汝反下同歆喜今反女音汝下同
旣齊旣稷旣匡旣勑永錫爾極時萬時億	稷疾勑固也箋云齊减取也稷之言即也永長極中也嘏之禮祝徧取黍稷牢肉魚擩于醢以授尸孝孫前就尸受之天子使宰夫受之以筐祝則釋嘏辟以勑之又曰長賜女以中和之福是萬是億言多無數齊王申毛如字整齊也鄭音資减取也一音才細反謂分齊也筐夲亦作匡丘方反擩而專反又音苪又而純反何耳誰反醢音海
禮儀旣備鍾鼔旣戒孝孫徂位工祝致告	致吿告利成也箋云鍾鼓旣戒戒諸在廟中者以祭禮畢孝孫往位堂下西靣位也祝於是致孝孫之意告尸以利成禮畢禮或作祀
神具醉止皇尸載起鼔鍾送尸神保聿歸	皇大也箋云具皆也皇君也載之言則也尸節神者也神醉而尸謖送尸而神歸尸出入奏肆夏尸稱君尊之也神安歸者歸於天也謖所六反起也夏户雅反
諸宰君婦廢徹不遟	箋云廢去也尸出而可徹諸宰徹去諸饌君婦籩豆而巳不遟以疾爲敬也廢方吠反徹直列反去起吕反下同
諸父兄弟備言燕私	燕而盡其私恩箋云祭祀畢歸賔客之爼同姓則留與之燕所以尊賔客親骨肉也
樂具入奏以綏後禄爾殽旣將莫怨具慶	綏安也安然後受福禄也將行也箋云燕而祭之之樂復皆入奏以安後曰之福禄骨肉歡而君之福禄安女之殽羞巳行同姓之臣無有怨者而皆愛君是其歡也復扶又反
旣醉旣飽小大稽首神嗜飲食使君壽考	箋云小大猶長幼也同姓之臣燕巳醉飽皆再拜稽首曰神乃歆嗜君之飲食使君壽且考此其慶辭長張丈反
孔惠孔時維其盡之子子孫孫勿替引之	替廢引長也箋云惠順也甚順於禮甚得其時維君德能盡之碩子孫勿廢而長行之替天帝反
楚茨六章章十二句信南山刺幽王也不能脩成王之業疆理天下以奉禹功故君子思古焉信彼南山維禹甸之畇畇原隰曾孫田之	甸治也畇畇墾辟貌曽孫成王也箋云信乎彼南山之野禹治而丘甸之今原隰墾辟則又成王之所佃言成王乃逺脩禹之功今王反不脩其業乎六十四井爲甸甸方八里居一成之中成方十里出兵車一乗以爲賦法甸毛田見反鄭繩證反畇音匀又作􁇝蘇遵反又音旬墾苦很反辟婢亦反佃音田夲亦作田乗繩證反
我疆我理	疆畫經界也理分地理也
南東其畝	或南或東
上天同雲雨雪雰雰	雰雰雪貌豊年之冬必有積雪雨于付反崔如字雰芳云反
益之以霡霂旣優旣渥	小雨曰霡霂箋云成王之時隂陽和風雨時冬有積雪春而益之以小雨潤澤則饒洽霡亡革反霂音木優說文作瀀音憂渥烏學反
旣霑旣足生我百榖疆場翼翼黍稷彧彧	埸畔也翼翼讓畔也彧彧茂盛貌埸音亦彧於六反
曽孫之穡以爲酒食卑我尸賔壽考萬年	箋云歛穫曰穡卑予也成王以黍稷之稅爲酒食至祭祀斎戒則以賜戸與賔尊尸與賔所以敬神也敬神則得壽考萬年卑必寐反斎側皆反
中田有廬疆場有瓜是剥是菹	剥瓜爲菹也箋云中由田中也農人作廬焉以便其田事於畔上種瓜瓜成又入其稅天子剥削淹漬以爲菹貴四時之異物廬力居反剥邦角反菹側居反便毗戰反削思約反淹英鉗反漬子賜反
獻之皇祖曽孫壽考受天之祜	箋云皇君祜福也獻瓜菹於先祖者順孝子之心也孝子則獲福祜音戸
祭以清酒從以騂牡享于祖考	周尚赤也箋云清謂玄酒也酒鬱鬯五齊三酒也祭之禮先以鬱鬯降神然後迎牲享于祖考納亨時騂息營反字林許營反享許兩反徐許亮反注及下同鬱雍勿反齊才細反亨普庚反
執其鸞刀以啓其毛取其血膋	鸞刀刀有鸞者言割中節也箋云毛以告純也膋脂膏也血以吿殺膋以升臭台之黍稷實之於䔥合馨香也膋音聊中丁仲反臭昌救反
是烝是享苾苾芬芬祀事孔明	烝進也箋云旣有牲物而進獻之苾苾芬芬然香祀禮於是則甚明也
先祖是皇報以介福萬壽無疆	箋云皇之言暀也先祖之靈歸暀是孝孫而報之以福彊居良反
信	_
南	_
山	_
六	_
章	_
章	_
六	_
句	_
谷	_
風	_
之	_
什	_
十	_
篇	_
五	_
十	_
四	_
章	_
三	_
百	_
五	_
十	_
六	_
句	_
