衛淇奥詁訓傳第五	鄭王俱云紂都之東也
桑之未落其葉沃若于嗟鳩兮無食桑葚于嗟女兮無與士耽	桑女功之所起沃若猶沃沃然鳩鶻鳩也食桑葚過則醉而傷其性耽樂也女與士耽則傷禮義箋云桑之未落謂其時仲秋也於是時國之賢者刺此婦人見誘故于嗟而戒之鳩以非時食葚猶女子嫁不以禮耽非禮之樂沃如字徐於縛反甚夲又作椹音甚桑實也耽都南反鶻音骨樂音洛下同
士之耽兮猶可說也女之耽兮不可說也	箋云說觧也士有百行可以功過相除至於婦人無外事維以貞信爲節行下孟反
桑之落矣其黃而隕自我徂爾三歳食貧淇水湯湯漸車帷裳	隕隋也湯湯水盛貌帷裳婦人之車也箋云桑之落矣謂其時季秋也復關以此時車來迎巳徂往也我自是往之女家女家乏榖食巳三歳貧矣言此者明巳之悔不以女今貧故也帷裳童容也我乃渡深水至漸車童容猶冐此難而往又明巳專心於女隕韻謹反湯音傷漸子廉反注同漬也濕也惟礼悲反隌字又作墮唐果反冒音墨難乃且也
女也不爽士貳其行	爽差也箋云我心於女故無差貳而復關之行有二意行下孟反下同
士也罔極二三其德	極中也
三歳爲婦靡室勞矣	箋云靡無也無居室之勞言不以婦事見困苦有舅姑曰婦
夙興夜寐靡有朝矣	箋云無有朝者常早起夜卧非一朝然言巳亦不觧惰觧音懈
言旣遂矣至于暴矣	箋云言我也遂猶乆也我旣乆矣謂三歳之後見遇侵薄乃至見酷暴浸子鴆反
兄弟不知咥其笑矣	咥咥然笑箋云兄弟在家不知我之見酷暴若其知之則咥咥然笑我咥許意反又音熈一音許四反說文云大笑也虚記反又大結反
静言思之躬自悼矣	悼傷也箋云靜安躬身也我安思君子之遇巳無終則身自哀傷
及爾偕老老使我怨	箋云及與也我欲與女俱至於老老乎女反薄我使我怨也
淇則有岸隰則有泮	泮坡也箋云泮讀爲畔畔崖也言淇與隰㫮有厓岸以自拱持今君子放恣心意曽無所拘制泮音判坡本作陂北皮反澤陂詩傳云障也呂忱北髲反陂阪也亦所以爲隰之限域也夲或作破字求詳觀王述意似作破拱俱勇反夲又作共音同
緫角之宴言笑晏晏信誓旦旦	緫角結髮也晏晏和柔也信誓旦旦然箋云我爲童女未笄結髪晏然之時女與我言笑晏晏然而和柔我其以信相誓旦旦耳言其懇惻𣢾誠宴如字本或作丱者非旦旦說文作􁇄是懇起很反惻本亦作楚力反
不思其反	箋云反復也今老而使我怨曽不復念其前言
反是不思亦巳焉哉	箋云巳焉哉謂此不可奈何死生自决之辭
氓六章章十句竹竿衛女思歸也適異國而不見荅思而能以禮者也籊籊竹竿以釣于淇	興也籊籊長而殺也釣以得魚如婦人待禮以成爲室家籊他歴反釣音弔段色界反
豈不爾思逺莫致之	箋云我豈不思與君子爲室家乎君子䟽逺巳巳無由致此道逺如字又于萬反注同
泉源在左淇水在右	泉源小水之源淇水大水也箋云小水有流入大水之道猶婦人有嫁於君子之禮今水相與爲左右而巳亦以喻巳不見荅
女子有行逺兄弟父母	箋云行道也女子有道當嫁耳不以不荅而違婦禮逺于萬反
淇水在右泉源在左巧笑之瑳佩玉之儺	瑳巧笑貌儺行有節度箋云巳雖不見荅猶不惡君子美其容貌與禮儀也瑳七可反沈又七何反難乃可反惡烏路反
淇水滺滺檜楫松舟	滺滺流貌檜栢葉松身楫所以櫂舟舟楫相配得水而行男女相配得禮而備箋云此傷巳仐不得夫婦之禮滺本亦作浟音由檜古活反又古㑹反木名楫本又作檝子葉反徐音集方言云楫謂之橈或謂之櫂釋名云楫􁇅也撥水舟行疾也橈音饒櫂直敎反
駕言出遊以冩我憂	出遊思卿衞之道箋云適異國而不見荅其除此憂維有歸耳郷許亮反
竹竿四章章四句芄蘭刺惠公也驕而無禮大夫刺之	惠公以功重即位自謂有才能而驕慢於大臣但習威儀不知爲政之禮芄音丸本亦作丸
芄蘭之支	興也芄蘭草也君子之德當柔潤温良箋云芄蘭柔弱恒蔓延於地有所依縁則起興者喻幼稚之君任用大臣乃能成其政蔓音萬舊無延字
童子佩觿	觿所以觧結成人之佩也人君治成人之事雖童子猶佩觿早成其德佩蒲對反依字從人或作玉傍者非觿許規反
雖則佩觿能不我知	不自謂無知以驕慢人也箋云此幼稚之君雖佩觿與其才能實不如我衆臣之所知爲也惠公自謂有才能而驕慢所以見刺與音餘亦佩韘與同
容兮遂兮埀帶悸兮	容儀可觀佩玉遂遂然埀其紳帶悸悸然有節度箋方容容刀也遂瑞也言惠公佩容刀與瑞及垂紳帶三尺則悸悸然行止有節度然其德不稱服悸其季反韓詩作萃垂皃紳音身稱尺證反
芄蘭之葉	箋云葉猶支也
童子佩韘	韘玦能射御則佩韘箋云韘之言沓所以彄沓手指韘失渉反玦本又作決音同沓待荅反彄苦侯反
雖則佩韘能不我甲	甲狎也箋云此君雖佩韘與其才能實不如我衆臣之所狎習甲如字爾雅同徐胡甲反韓詩作狎狎户甲反
容兮遂兮埀帶悸兮芄蘭二章章六句河廣宋襄公母歸于衛思而不止故作是詩也	宋桓公夫人衛文公之妹生襄公而出襄公即位夫人思宋義不可往故作詩以自止
誰謂河廣一葦杭之	杭渡也箋云誰謂河水廣與一葦加之則可以渡之喻狹也今我之不渡直自不往耳非爲其廣葦葦鬼反杭户郎反與音餘下逺與同狹音洽爲于僞反
誰謂宋逺跋予望之	箋云予我也誰謂宋國逺與我跋足則可以望見之亦喻近也今我之不往直以義不往耳非爲其逺跂丘䜴反
誰謂河廣曽不容刀	箋云不容刀亦喻狹小船曰刀刀如字字書作舠說文作並音刀
誰謂宋逺曽不崇朝	箋云崇終也行不終朝亦喻近
河廣二章章四句伯兮刺時也言君子行役爲王前驅過時而不反焉	衛宣公之時蔡人衛人陳人従王伐鄭伯也爲王前驅乆故家人思之爲于偽反又如字注下爲王並同従王伐鄭讀者或連下伯也爲句者非
伯兮朅兮邦之桀兮	伯州伯也朅武貌桀特立也箋云伯君子字也桀英桀言賢也朅丘列反桀其列反
伯也執殳爲王前驅	殳長丈二而无刃箋云兵車六䒭軫也戈也人也殳也車㦸也酋矛也皆以四尺爲差殳市朱反長如字又直亮反軫本亦作􁇆之忍反酋在由反矛音謀
自伯之東首如飛蓬	婦人夫不在无容飾
豈無膏沐誰適爲容	適主也適都歴反注同爲于偽反或如字
其雨其雨杲杲出日	杲杲然日復出矣箋云人言其雨其雨而杲杲然日復出猶我言伯且來伯且來復不來杲古老反岀如字沈推類反復扶又反下同
願言思伯甘心首疾	甘厭也箋云願念也我念思伯心不能巳如人心嗜欲所貪口朱不能絶也我憂思以生首疾厭於豔反下同嗜市志反思息嗣反
焉得諼草言樹之背	諼草令人志憂背北堂也箋云憂以生疾恐將危身欲忘之焉於䖍反諼本又作萱况衮反說文作藼云令人忘草也或作蕿背音佩沈如字令力呈反忘亡向反又如字
願言思伯使我心痗	痗病也痗音毎又音悔
伯兮四章章四句有狐刺時也衛之男女失時䘮其妃耦焉古者國有㓙荒則殺禮而多昬㑹男女之無夫家者所以育人民也	育生長也狐音胡䘮息浪反下注同妃音配下注同殺所戒反又所例反所以育人民也本或作蕃育者非長張丈反
有狐綏綏在彼淇梁	興也綏綏匹行貌石絶水曰梁綏音雖
心之憂矣之子無裳	之子无室家者在下曰裳所以配衣也箋云之子是子也時婦人䘮其妃耦寡而憂是子无裳无為作裳者欲与為室家無爲于偽反
有狐綏綏在彼淇厲	厲深可厲之旁厲力滯反
心之憂矣之子無帶	帶所以申束衣
有狐綏綏在彼淇側心之憂矣之子無服	言无室家若人无衣服
有狐三章章四句木瓜美齊桓公也衛國有狄人之敗出處于漕齊桓公救而封之遺之車馬器服焉衛人思之欲厚報之而作是詩也	瓜古花反遺唯季反注同
投我以木瓜報之以瓊琚	木瓜楙木也可食之木瓊玉之美者琚佩玉名瓊求營反說文云赤玉也琚音居徐又音渠楙音茂字亦作茂尓雅云楙木瓜也
匪報也永以爲好也	箋云匪非也我非敢以瓊琚為報木瓜之惠欲令斉長以為翫好結巳囯之恩也○一夲作结巳囯以為恩也
投我以木桃報之以瓊瑶	瓊瑶美玉瑶音遥
匪報也永以爲好也投我以木李報之以瓊玖	瓊玖玉名玖音乆字書云石黒色
匪報也永以爲好也	孔子曰吾於木瓜見苞苴之礼行箋云以果實相遺者必苞苴之尚書曰厥苞橘柚苴子餘反橘均栗反柚餘救反
木	_
瓜	_
三	_
章	_
章	_
四	_
句	_
衛	_
國	_
十	_
篇	_
三	_
十	_
四	_
章	_
二	_
百	_
三	_
句	_
