春秋經傳集解	佳買反舊夫子之經與丘明之傳各卷杜氏合而釋之故曰經傳集解
以度	待洛反一音如字
亟行	欺兾反數也
春蒐	所求反索也
秋獮	息淺反說文作殺也榖梁傳云春曰田秋曰蒐
冬狩	手又反圍守也
蒐索	所百反
不孕	以證反
爲苗	于僞反
農隙	去逆反
振旅	之愼反整也旅衆也
猶復	扶又反下同
以數	所主反注同
器械	戸戒反
辨等	如字又方免反別也
行伍	戸郎反
順少	詩照反注皆同
長	丁丈反下注同
鳥獸之肉	一本作其肉
於俎	莊吕反
不射	食亦反
皁隷	才早反
臣輿	音餘
雜猥	烏罪反
巡行	下孟反
捕魚	音歩一音摶
不從	才用反
他竟	音境
曲沃	烏毒反
傳見	賢遍反一本作具
衞牧	州牧之牧徐音目
以燕	於賢反國名
洩駕	息列反
曼伯	音萬
剛父	音甫
八音	金鍾石磬絲琴瑟竹簫管土塤木柷敔匏笙革鼓也
八風	八方之風謂東方谷風東南清明風南方凱風西南涼風西方閶闔風西北不周風北方廣莫風東北融風
匏	白交反
蹈之	徒報反
六佾	音逸
而僭	子念反
爲道	音導本亦作導
其郛	芳夫反郭也下同
於使	色吏反下同
之難	乃旦反
經六年渝平	羊朱反變也
于艾	五蓋反
言易	以豉反傳同
傳六年狐壤	如掌反
使者	所吏反
頃父	音傾
之長	丁丈反下文及注同
諸鄂	五各反
不復	扶又反下同
結好	呼報反
子佗	徒河反人名皆同
實難	乃旦反注同
不悛	七全反止也
之燎	力召反又力弔反
郷邇	本又作嚮同許亮反
郷近	附近之近
可撲	普卜反
周任	音壬
去草	起吕反
芟	所銜反刈也說文作癹匹未反云以足蹋夷草
蕰	紆粉反積也
信矣	如字一音申
公爲	于僞反
請糴	直歷反
傳見	賢遍反
焉依	如字或於䖍反非
雍縣	於用反
左右	音佐下音祐又並如字
不蔇	其器反至也
經七年與嫡	本又作適同丁歷反
沛國	音貝
琅邪	音郎
臨沂	魚依反
共縣	音恭
汎城	音凡
之使	所吏反下同
見夷	賢遍反
強虣	蒲報反
戰陳	直覲反
傳七年繼好	呼報反注同
爲宋	于僞反注爲宋同
爲援	于眷反
鄭復	扶又反
歃	色洽反歃血也
如忘	亡亮反服䖍云如而也
洩伯	息列反
政治	直吏反
請妻	七計反
爲鄭	于僞反
經八年句陽	古侯反
使宛	於阮反
歸祊	必彭反
費縣	音祕
見在	賢遍反
繼好	呼報反
宿與盟	音預下不與同
禱河	丁老反或丁報反
有邳	蒲悲反
邳來閒	如字
小斂	力驗反
傳八年泰山	如字東岳
能復	扶又反
巡守	手又反
所近	附近之近下同又如字
欲爲	于僞反下爲魯同
遂卑	必二反
鍼子	其廉反
誣其	亡符反
莊共	音恭本亦作恭
不與	音預
而背	音佩
紀好	呼報反注同
嬀汭	如銳反
胙之	才故反報也
舊邑之稱	尺證反
經九年震電	徒練反
雨雪	于付反傳同
挾卒	音協
華縣	户化反
傳九年雨霖	音林爾雅云久雨謂之淫淫雨謂之霖
不共	音恭本亦作供
說宋	音恱
宋使	所吏反注同
故復	扶又反
侵軼	直結反又音逸突也
覆	扶又反注及下同伏兵也
戎輕	遣政反
以逞	勑領反
解也	音蟹或佳買反
祝耼	乃甘反一音土甘反
衷戎	丁仲反又音忠
盡殪	於計反死也
三處	昌慮反
後駐	丁住反
將令	力呈反
要終	於遥反
經十年去氏	起吕反傳同
于菅	古顔反
未陳	直覲反
取郜	古報反字林又工竺反
伐載	音再字林作戴云故國在陳留
易也	以豉反傳注同
傳十年以勞	力報反注同
饔餼	許氣反
通稱	尺證反
經十一年薛侯	息列反
郲	音來
釐城	音來王元規力之反
與謀	音預
還使	音環
傳十一年爭長	丁丈反下注及文同
夏所	戸雅反
周諺	音彦俗言也
則度	大洛反
諸任	音壬注同
大宫	音泰大宫鄭祖廟
公孫閼	安葛反
挾	音協
輈	張留反車轅
大逵	求龜反爾雅云九達謂之逵杜云道方九軌此依考工記
傅于	音附注同
蝥	莫侯反
弧	音胡
射之	食亦反下及注同
隊而	直類反
周麾	許危反又許僞反招也
而呼	火故反
周徧	音遍
遁逃	徒頓反
不共	音恭本亦作供音同注及下同
與聞	音預
共億	於力反安也
餬其口	音胡粥也說文云寄食
鬻	本又作粥之育反又與六反
以壽	如字又音授
復奉	扶又反又音服
昬媾	古豆反
重昬	直龍反
覆亡	芳服反
不暇	行嫁反
禋祀	音因
絜齊	側皆反本亦作齋
之爲	于僞反
吾圉	魚吕反
財賄	呼罪反字林音悔
無寘	之豉反置也
乃亟	紀力反急也下注同
大岳	音泰
旣厭	於豔反
度德	待洛反
量力	音良下同
相時	息亮反
無累	劣僞反注同
使卒	尊忽反注同
出豭	音加豬別名
行出	戸剛反注同
以詛	側慮反
故令	力呈反
正邪	似嗟反下及注同
鄔劉	烏戸反
緱氏	古侯反一音苦候反
鄔聚	才遇反
蔿	尤委反
邘	音于
忿生	芳粉反
在沁	七浸反字林先衽反郭璞三蒼解詁音狗沁之沁沈文何䟽鴆反韋昭思金反水名
絺	勑之反
樊	扶袁反
隰	詳立反
郕	尚征反
櫕茅	才官反
向	舒亮反注同
軹縣	音紙
盟	音孟
陘	音刑
隤	徒回反
于竟	音境
鄎	音息一本作息
不度	待洛反
不韙	韋鬼反是也蒼頡篇同
其喪	息浪反
傳聞	直專反
臧否	音鄙又方九反注同
大宰	音泰注同
爲其	于僞反
少故	詩照反
菟裘	兔都反下音求
梁父	音甫
復居	扶又反下同
反譖	側鴆反
請殺	音試下同一音如字
賂尹氏	音路
而禱	丁老反或多報反
鍾巫	亡夫反
齊于	側皆反
社圃	布古反
寪氏	于委反
