桓公	名軌惠公之子隱公之弟母仲子史記亦名允諡法辟土服逺曰桓
而覆	扶又反伏兵也注同
諜之	徒協反伺也
數之	色主反
枝江	質而反
諜伺也	音笥
巡徧	音遍
經十三年傳十三年遂見	賢遍反
必濟	箋詣反
難言	乃旦反
風諫	方鳳反本亦作諷
不解	戸買反
狃於	女九反
狃􁇜	時世反又時設反
而好	呼報反又如字
假易	以豉反注同
不借	子夜反
貸	他代反
慢	武諫反
盡行	津忍反此類可以意求
使徇	似俊反宣令也
及鄢	於晚反又於萬反
亂次以濟	本或作亂次以濟其水
廬戎	如字本或作盧音同
縊于	一豉反自經死也
荒谷	如字本或作巟音同
冶父	音也
脩好	呼報反
經十四年之好	呼報反
曹與	音預
御廩	力錦反倉也
先其	悉薦反又如字
致齊	側皆反
傳十四年大逵	求龜反
大宫	音泰
之椽	直專反榱也圓曰椽方曰桷說文云周謂之椽齊魯謂之桷
經十五年倚任	於綺反
守介	音界
小行	下孟反
更立	音庚
牟人	亡侯反
于櫟	音歷
陽翟	徒歷反
袲	昌氏反
相縣	息亮反
傳十五年舎其	音捨
之汪	烏黃反池也
暴其	步卜反
檀伯	徒丹反
經十六年城向	失亮反
定之	丁佞反
傳十六年故復	扶又反
烝	之承反
急子	如字詩作伋
上淫	時掌反一音如字
屬諸	音燭下同
爲之	于僞反
右媵	羊政反
朔構	古豆反
會	古外反
公使	所吏反
諸莘	所巾反
惡用	音烏安也注同
飲以酒	於鴆反一本以作之
子洩	息列反
黔牟	其廉反又音琴
經十七年于趡	翠軌反
皆陳	直覲反
傳十七年疆事	居艮反注及下皆同
疆埸	音亦
虞度	待洛反下同
齊背	音佩下同
以厎	音旨下同
惡之	烏路反下及注所惡皆同
子亹	音尾
復惡	扶又反注同一音服則乖注意
復重	直用反下同
經十八年于濼	盧篤反又力角反一音洛說文匹沃反
言戕	在良反
傳十八年相瀆	徒木反
公謫	直革反責也王又丁革反
謫譴	遣戰反
爲公	于僞反
乗公	如字又繩證反注同
上車	時掌反
拉公	力荅反
幹而	古旦反
舊好	呼報反
歸咎	其九反
彌相	息亮反
而轘	音患車裂也
車裂	音列
以知	音智又如字
欲弑	申志反
屬諸	音燭
匹嫡	丁歷反注同
臣擅	市戰反
於難	乃旦反
