哀下第三十杜氏盡二十七年經十四年西狩	手又反冬獵也
而好	呼報反
卑下之	戸嫁反一本卑作早
桔	戸結反
柣	大結反
俘	芳夫反
酅	戸圭反
魁	苦回反
壘	力軌反
適子	丁歷反
不悛	七全反
惎知伯	其冀反毒也
遂喪	息浪反下同
後序申杼	時汝反又直吕反
汲郡	音急
簡編	必仙反又布千反下同
科斗	苦禾反科斗蟲名形似科斗
彖象	吐亂反
繫辭	戸計反
殤叔	音傷
大歳	音泰
周赧王	女版反
齊湣王	亡謹反一音亡巾反
足見	賢遍反
儀父	音甫
守于	手又反本亦作狩
數條	所主反
洞澤	大弄反一音童
爲泂	古熒反又音螢又音逈
熒澤	音螢
之甗	魚輦反又音言一音彦
仲壬	而林反
居亳	歩博反
大甲	音泰
中分	並如字又丁仲反
而相	息亮反下同
老叟	素口反
昬忘	亡亮反
爲其	于僞反
粗有	才故反又音麤
