襄三第十六杜氏盡二十二年經十六年湨梁	古闃反徐公壁反
之萩	音秋本又作秋
示閒	音閑
其橁	勑倫反又相倫反木名
劉難	乃多反或如字
左驂	七南反
迫	音百
還于	音旋一音患
以枚	每回反馬檛也
數	所主反注同
闔	户臘反門板
馬檛	陟瓜反
不恐	曲勇反
郵棠	音尤
扣馬	音口
畧行	下孟反
以輕	遣政反下同
斷鞅	音短
及濰	本又作維音同水名
及沂	魚依反
東莞	音官
蓋縣	古害反
下邳	蒲悲反
入泗	音四
欲去	起吕反下同
揚豚	徒門反
見使	所吏反
難易	以豉反
於汾	扶云反
子西守	手又反下完守同
犫縣	尺由反
旃然	章延反
入汴	皮彦反
薳	于委反夲又作蔿
子馮	皮氷反
侵費	扶味反
滑	于八反
雍梁	於用反
右回	如字徐胡猥反
蟲牢	力刀反
純門	如字一音市荀反
滍水	音蜼
多凍	丁弄反
幾盡	音祈
吾驟	仕救反
經十九年祝柯	古多反
漷水	好􁄹反徐音郭又虎伯反字林口郭口獲二反
西郛	芳扶反
傳十九年督揚	丁毒反
毋侵	音無
疆我	居良反
蒲圃	布古反
過魯	古禾反
如鞌	音安
賄荀	呼罪反
乗馬	繩證反注四馬爲乗同
先吳	悉薦反又如字
壽夢	莫公反
元帥	所類反
癉	丁但反徐音旦
疽	七徐反
生瘍	音羊
惡創	初良反
及著	張慮反又直慮反
雍	於用反
請見	賢遍反
而視	如字徐市至反下同
不可含	户暗反本亦作唅下同
口噤	其䕃反
盥而	音管
其爲	于僞反下注爲懷子同
乃復	扶又反
乃瞑	亡丁反一音亡平反桓譚以爲荀偃病而目出初死其目未合戸冷乃合非其有所知也傳因其異而記之耳
兵幷	如字又必政反
將中軍	子匠反後放此
召伯	上照反下同
勞	力報反
來	力代反
之長	丁丈反
之仰	如字徐五亮反下同
膏雨	如字徐古報反
常膏	古報反又如字
輯睦	音集本又作集
鑄鍾	之樹反
聲應	應對之應
則借	如字一音倩亦反
且夫	音扶
彞器	以之反
而懲	直升反
娶于	七住反
其姪	直結反
􁈻聲	子公反
中子	音仲亦作仲下皆放此
子嬖	必計反
屬諸	之蜀反注同
立適	丁歷反本或作嫡
閒諸侯	閒厠之閒
少傅	詩照反下注簡公猶少同
崔杼	直吕反
黥	其京反
刖	音月又五刮反
不暴	蒲卜反
於句	古侯反
瀆	音豆
灑藍	色買反徐所綺反藍音力甘反
之難	乃旦反注及下同
甲守	手又反下問守備同
圭嬀	居危反
亞宋子	於嫁反
實相	息亮反注同
號之	徐胡報反召也一音户刀反
將傅	音附
食髙唐	音嗣
工僂	吕侯反
夜縋	直僞反
醢衞	音海
大隧	音遂
控于	苦貢反
度齊	待洛反
共子	音恭
蹷其	徐求月反拔也一音居月反又居衞反
經二十年于向	舒亮反
于澶	市然反
繁汙	音紆
又近	附近之近
公子燮	悉協反
傳二十年莒數	所角反下同
和解	古買反又戸買反
自復	扶又反下始復同
其好	呼報反下皆同
背楚	音佩
之偪	彼力反
與於	音預
呼於	火故反
而去	起吕反
褚師	張吕反
段	徐徒亂反
共公子	音恭
常棣	大計反
樂爾	音洛
妻帑	音奴
魚麗	力馳反
樂只	之氏反本亦作旨
奉使	所吏反
之䇿	初革反
出其君	如字徐音黜
有餒	奴罪反餓也
經二十一年以漆	本或作淶徐音七
閭丘	力於反
商任	音壬
傳二十一年公姑姊	杜以公之姑及姊是二人也或曰列女傳稱梁有節姑妹謂父之妹也此云姑姊是父之姊也一人耳以杜氏爲誤案成二年楚侵及陽橋孟孫往賂以公衡爲質杜云衡成公子也楚師及宋公衡逃歸臧宣叔云衡父不忍數年之不宴以棄魯國則公衡之年下計猶十七八成公是其父固當三十有餘從成二年至此三十八歳姑又成公之姊則年近七十矣假令公衡非成公之子猶是成公之弟成九年伯姬歸于宋伯者長稱九年始嫁則爲成公之妹成公不得有姊矣若成公別有庶長之姊以成公公衡之年推之亦不復堪嫁故知二人也唯公羊以成公即位年幼據左氏成四年傳云公如晉晉侯見公不敬公歸欲求成于楚得季文子諫而止此非年幼也反覆推之杜氏不誤
妻之	七計反下同
其從	才用反下同
子盍	胡臘反下盍反同
詰盜	起吉反治也
務去	起吕反下皆同
皁牧	在早反
凡八等之人	謂皁輿隷僚僕臺圉牧也
洒	西禮反
濯	直角反
軌度	待洛反
不懲	直升反
當令	力呈反
復討	扶又反
公子鉏	仕居反
叔孫還	音旋
殺之	申志反又如字
闕地	求月反
繭	古典反緜衣也禮記云纊爲繭
衣裘	於旣反
鮮食	息淺反少也下鮮過并注同
瘠則	在亦反
痩也	所又反
彊逐	其丈反
不相能	如字徐乃代反
幾亡	其依反
不爲	于僞反下文吾爲同
作難	乃旦反
懷子好	呼報反
施	式豉反
城著	直據反又張慮反
易逐	以豉反
邵豫	音丙
叔罷	彼皮反
不知	音智下及注同
詩小雅	案今小雅無此全語唯采菽詩云優哉游哉亦是戾矣
王鮒	音附
弗應	應對之應下注同一本作不應
皆咎	其九反
德行	下孟反注同
較然	音角
乗馹	人實反傳也
無疆	居良反下注同
有謩	莫胡反
勲	如字書作訓
宥之	音又
鯀	古本反
殛	紀力反
大甲	音泰
而相	息亮反
右王	音又
宣子說	音恱
之乗	繩證反
入見公	賢遍反下文始見并注同
言爲國	于僞反下不爲己亦爲子皆同
妬叔	丁故反
禍女	音汝下同
人閒	閒廁之閒
於難	乃旦反
掠之	音亮
守臣	手又反注同
罪重	直用反注同
郊甸	徒練反
伏竄	七亂反
輔相	息亮反
保任	音壬
傚之	户敎反或作效
轘轅	音袁
錮欒	音固
齊殺	申志反下同
剽	匹妙反
知起	音智
中行喜	户郎反
邢蒯	苦怪反
先二子	悉薦反
欲與	音預下同
其枚	本亦作板
子爲	于僞反
嘗射	食亦反
經二十二年寵近	附近之近
傳二十二年之守	手又反
爲公	于僞反
雨過	古禾反
御叔	魚吕反又魚據反
焉用	於䖍反
多知	音智又如字
而傲	五報反
使人	所吏反注同
不任	音壬
之蠹	丁故反
少正	詩照反注及下少牢同
孫僑	其驕反
有戲	許冝反
不共	音恭下共祀同
觀釁	許靳反
差	初冝反又初佳反一音七何反注同
池	徐本作沱直知反一音徒何反注同
重之	直用反
石盂	音于
石􁒘	勑畧反
公孫夏	户雅反下同
見於	賢遍反又如字
嘗酎	直又反
與執	音預
燔焉	本又作膰音煩祭肉也
閒二年	閒厠之間又如字
先澶	悉薦反
罷病	音皮
荐至	在薦反仍也
不惕	他歴反懼也
朝夕	如字
堪任	音壬
黒肱	古弘反
盡歸	津忍反凡此例可求故特音之
復錮	扶又反注同下復使下注復生不復行皆同
馬數	所主反
十乗	繩證反
令富	力呈反
君焉	於䖍反下焉入同
泄命	息列反漏也又以制反
轘觀起	音患車裂也
四竟	音境下同
取殯	必刃反
吾與	音預
殺吾	如字一音試
遂縊	一賜反
公子齮	五綺反
屈建	居勿反
弗應	應對之應
不敢不見	賢遍反
游昄	呼板反
大叔	音泰
請舎	音捨
